Real Sto Return,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration,Real Det Return
3094.31,62,13.1236,21.8592,310000,-1020.6982421875,62,3100.78
3103.64,63,13.9257,21.9604,315000,-950.381591796875,63,3147.03
3090.98,64,13.5372,21.9563,320000,-908.9924926757812,64,3112.86
3116.59,65,14.6186,22.6365,325000,-940.8621826171875,65,3125.84
3123.13,66,13.6471,21.6021,330000,-921.924560546875,66,3133.94
3067.47,67,14.2648,22.5214,335000,-1032.2471923828125,67,3093.07
3067.76,68,13.7775,22.3553,340000,-1026.6483154296875,68,3079.08
3059.34,69,13.4714,22.1483,345000,-1019.3783569335938,69,3069.92
3069.58,70,13.8321,22.052,350000,-1099.509033203125,70,3125.41
3104.64,71,13.7004,22.1609,355000,-1037.055908203125,71,3114.38
3110.05,72,13.8068,22.0007,360000,-1041.856689453125,72,3112.3
3115.2,73,13.3041,21.9006,365000,-1083.31884765625,73,3158.14
3119.8,74,13.3859,21.7577,370000,-1042.6402587890625,74,3120.55
3114.64,75,13.6475,22.1618,375000,-1128.5469970703125,75,3121.37
3126.34,76,12.6626,21.3133,380000,-1106.030029296875,76,3148.32
3114.59,77,12.9017,21.555,385000,-1143.56640625,77,3127.46
3114.53,78,13.4169,21.8174,390000,-1121.24365234375,78,3130.97
3089.72,79,13.4726,21.1589,395000,-1138.4022216796875,79,3161.4
3144.66,80,12.7853,21.0744,400000,-1056.931640625,80,3162.12
3095.99,81,13.6086,22.3406,405000,-1197.6922607421875,81,3128.08
3127.44,82,12.626,20.6853,410000,-1149.546875,82,3136.51
3134.24,83,13.5214,21.6688,415000,-1267.13525390625,83,3139.48
3125.66,84,12.6033,21.0365,420000,-1258.2738037109375,84,3119.59
3124.94,85,13.8935,22.4137,425000,-1227.4288330078125,85,3127.09
3128.24,86,12.7457,21.3488,430000,-1190.25830078125,86,3142.99
3141.05,87,12.6435,21.1446,435000,-1116.3189697265625,87,3169.83
3152.57,88,13.0222,21.1372,440000,-1193.9385986328125,88,3175.19
3142.88,89,12.0548,20.6419,445000,-1247.4417724609375,89,3139.26
3142.67,90,13.0093,21.417,450000,-1226.5987548828125,90,3153.7
3183.12,91,12.9141,21.0838,455000,-1196.311279296875,91,3188.44
3152.32,92,13.4881,21.6736,460000,-1210.4276123046875,92,3165.94
3153.71,93,12.6796,21.3559,465000,-1216.8460693359375,93,3164.04
3137.76,94,12.8976,21.8316,470000,-1264.5283203125,94,3172.24
3178.35,95,12.8783,21.1131,475000,-1165.0059814453125,95,3188.85
3168.31,96,12.6938,21.5482,480000,-1323.3370361328125,96,3191.52
2891.42,97,12.1515,20.9554,485000,-1201.0601806640625,97,3193.82
3158.17,98,12.6768,21.2482,490000,-1193.1798095703125,98,3155.05
3161.19,99,13.0957,21.4053,495000,-1306.628662109375,99,3174.36
3176.31,100,13.1144,21.3974,500000,-1300.745849609375,100,3180.97
3199.08,101,12.3932,21.0181,505000,-1301.2529296875,101,3208.94
3187.93,102,12.5333,20.7643,510000,-1177.2200927734375,102,3200.19
3163.28,103,12.4133,20.8022,515000,-1372.994140625,103,3180.91
3158.56,104,12.563,20.9861,520000,-1398.2982177734375,104,3169.89
3183.55,105,12.2612,21.3439,525000,-1306.553955078125,105,3204.72
3081.53,106,13.1608,21.7252,530000,-1490.0029296875,106,3048.92
3179.69,107,13.2748,21.3688,535000,-1378.07177734375,107,3191.12
3201.81,108,12.8769,21.4334,540000,-1292.4932861328125,108,3210.17
3194.22,109,12.2295,20.9762,545000,-1365.5726318359375,109,3195.56
3109.67,110,12.995,21.5922,550000,-1405.8489990234375,110,3215.57
3020.56,111,12.4819,21.1269,555000,-1493.1815185546875,111,3183.86
2706.42,112,12.3236,21.3758,560000,-1461.8843994140625,112,3148.72
3221.0,113,12.9478,21.2229,565000,-1381.10107421875,113,3228.64
3141.25,114,12.6899,21.108,570000,-1358.0693359375,114,3212.31
3113.24,115,12.2745,20.5183,575000,-1375.462158203125,115,3233.01
3162.18,116,12.1174,20.4963,580000,-1413.5887451171875,116,3169.91
3181.55,117,12.4333,20.84,585000,-1421.084716796875,117,3186.58
3169.53,118,12.99,20.8616,590000,-1521.014892578125,118,3186.68
3191.65,119,13.2734,22.0005,595000,-1583.4945068359375,119,3196.61
3170.05,120,13.4548,21.7133,600000,-1586.5260009765625,120,3173.3
3181.86,121,12.8831,21.3917,605000,-1518.4725341796875,121,3195.17
3183.04,122,12.8999,21.3706,610000,-1633.6383056640625,122,3192.7
3204.91,123,13.1559,21.6419,615000,-1538.4862060546875,123,3211.28
3193.38,124,12.617,21.3476,620000,-1551.224365234375,124,3197.85
3183.76,125,13.1305,21.6549,625000,-1715.1529541015625,125,3192.03
3036.32,126,12.7717,21.2491,630000,-1656.3797607421875,126,3224.18
3189.36,127,12.2105,20.4102,635000,-1559.384521484375,127,3208.42
3228.2,128,13.3604,21.4012,640000,-1669.616455078125,128,3232.26
3200.46,129,12.8537,21.079,645000,-1719.9521484375,129,3212.34
3176.89,130,13.1287,21.3451,650000,-1695.4990234375,130,3171.44
3197.5,131,12.9712,21.4697,655000,-1617.7132568359375,131,3207.19
3213.76,132,12.8339,21.1956,660000,-1739.399169921875,132,3220.73
3210.95,133,12.4726,20.7079,665000,-1777.2698974609375,133,3221.04
3224.06,134,12.9716,21.6039,670000,-1646.5906982421875,134,3236.04
3233.38,135,12.5856,21.0791,675000,-1630.8538818359375,135,3247.21
3210.78,136,12.75,20.9865,680000,-1660.718017578125,136,3210.99
3237.57,137,12.9546,21.0051,685000,-1726.486328125,137,3238.7
3219.98,138,12.8804,21.0473,690000,-1724.7738037109375,138,3217.91
3215.88,139,12.1415,20.7195,695000,-1831.7520751953125,139,3224.68
3221.82,140,12.4397,20.4633,700000,-1813.043212890625,140,3228.75
3211.54,141,12.5816,20.827,705000,-1727.591796875,141,3218.09
3214.22,142,12.3054,20.5121,710000,-1796.862548828125,142,3223.67
3018.73,143,12.3861,20.8688,715000,-1795.1925048828125,143,3208.12
3102.02,144,12.4285,20.6664,720000,-1753.52392578125,144,3235.12
3180.61,145,13.0347,21.49,725000,-1945.1278076171875,145,3237.34
3168.07,146,13.1789,21.1058,730000,-1684.6417236328125,146,3208.26
3258.36,147,12.8972,20.5267,735000,-1618.2998046875,147,3253.39
2994.84,148,11.9619,21.0311,740000,-1743.8983154296875,148,3262.79
3146.69,149,11.7987,20.9998,745000,-1796.885498046875,149,3256.67
1615.21,150,12.581,21.0415,750000,-1872.1204833984375,150,3254.51
3037.39,151,12.3517,21.36,755000,-1867.150390625,151,3247.07
3243.5,152,12.8465,20.6746,760000,-1833.4356689453125,152,3258.97
3132.34,153,12.5953,20.9155,765000,-1993.5869140625,153,3223.51
3213.67,154,13.1391,21.1093,770000,-1739.0738525390625,154,3212.94
3244.97,155,12.7001,21.1716,775000,-1854.768310546875,155,3249.36
3249.39,156,12.535,20.4342,780000,-2012.2755126953125,156,3257.68
3066.56,157,11.8512,20.7814,785000,-1876.7313232421875,157,3242.46
3238.5,158,12.2399,20.5265,790000,-2056.4443359375,158,3233.01
3238.21,159,12.9689,21.0709,795000,-1967.3970947265625,159,3251.95
3168.58,160,11.8318,21.0075,800000,-1908.6234130859375,160,3267.09
3033.85,161,12.6318,21.4672,805000,-2091.87890625,161,3251.32
3262.59,162,12.0616,20.6138,810000,-1922.1993408203125,162,3271.42
3241.03,163,11.7362,20.1379,815000,-1955.2900390625,163,3252.9
3256.88,164,12.2819,20.5599,820000,-1859.9932861328125,164,3258.51
3243.74,165,12.4875,20.7285,825000,-1993.2579345703125,165,3244.95
3230.64,166,11.8928,20.2143,830000,-1926.757568359375,166,3235.4
3185.33,167,12.5426,20.5643,835000,-2131.482421875,167,3251.03
3147.07,168,11.9305,21.0529,840000,-2100.6337890625,168,3248.51
3255.54,169,12.3168,21.1015,845000,-1978.53759765625,169,3250.66
3255.65,170,13.0098,19.8945,850000,-1855.2120361328125,170,3253.02
3265.68,171,12.2444,20.4496,855000,-2096.888427734375,171,3271.98
3159.56,172,12.0819,20.5344,860000,-1961.4737548828125,172,3264.45
3173.32,173,12.116,20.4169,865000,-2199.9560546875,173,3252.16
3245.31,174,12.3522,20.886,870000,-2142.2822265625,174,3232.58
3262.75,175,12.1387,20.1087,875000,-2134.15625,175,3267.65
3236.29,176,12.1464,20.3206,880000,-2187.857177734375,176,3238.17
3167.85,177,12.0487,20.1556,885000,-1964.20849609375,177,3250.24
3166.82,178,12.6608,20.7593,890000,-2120.778564453125,178,3266.49
2921.92,179,13.32,21.2357,895000,-2243.143310546875,179,3257.77
3249.73,180,12.6178,20.4773,900000,-2311.758056640625,180,3226.56
3262.62,181,12.3787,20.3741,905000,-2308.715576171875,181,3270.19
3228.38,182,12.6862,20.7511,910000,-2297.464111328125,182,3224.83
3167.24,183,12.701,20.8016,915000,-2323.214599609375,183,3257.89
3237.57,184,12.6061,20.5754,920000,-2409.052490234375,184,3220.61
3243.16,185,13.0045,20.8069,925000,-2225.52197265625,185,3275.9
3141.8,186,12.2592,20.4346,930000,-2183.780517578125,186,3244.96
3136.18,187,12.5218,20.2459,935000,-2309.904296875,187,3261.45
3286.61,188,12.6951,20.501,940000,-2232.1826171875,188,3270.82
2608.11,189,11.9758,20.9525,945000,-2233.270263671875,189,3265.22
3056.51,190,12.549,20.5649,950000,-2354.12255859375,190,3246.57
3279.58,191,12.292,19.6774,955000,-2429.447509765625,191,3257.21
3232.79,192,11.678,19.9286,960000,-2615.45556640625,192,3235.77
2754.62,193,12.4114,21.3464,965000,-2469.33544921875,193,3245.01
3133.8,194,11.5468,20.2593,970000,-2168.820068359375,194,3279.32
3273.74,195,12.2325,20.1612,975000,-2323.8212890625,195,3248.34
3241.73,196,11.9227,19.6343,980000,-2210.1220703125,196,3254.15
3250.47,197,11.6144,19.3465,985000,-2354.9287109375,197,3240.27
3301.22,198,12.4722,20.0257,990000,-2268.21826171875,198,3292.29
3245.92,199,12.128,19.9604,995000,-2240.656494140625,199,3237.01
