Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return,Itration
221,1105000,904.3,72.9439,-9081.4482421875,30.2894,285.67,221
222,1110000,705.79,73.7492,-9195.4677734375,30.5801,269.47,222
223,1115000,757.1,73.9149,-9335.48828125,30.7287,253.95,223
224,1120000,808.58,71.3859,-9275.7900390625,30.4943,288.65,224
225,1125000,757.29,72.4574,-9322.3876953125,30.0834,190.95,225
226,1130000,753.13,72.7449,-9540.162109375,30.0574,230.51,226
227,1135000,849.19,72.452,-9733.8623046875,30.3243,236.45,227
228,1140000,803.13,74.296,-9763.771484375,30.4554,273.6,228
229,1145000,650.25,74.0703,-9895.3076171875,30.8548,241.37,229
230,1150000,852.23,73.397,-9956.8291015625,30.6035,287.55,230
231,1155000,951.68,71.8917,-9999.013671875,30.1216,229.07,231
232,1160000,812.97,72.6357,-10065.03515625,29.9734,261.96,232
233,1165000,816.64,72.2962,-10153.12890625,30.4481,212.92,233
234,1170000,704.08,74.1036,-10375.234375,31.1683,239.49,234
235,1175000,807.79,73.393,-10493.6201171875,30.8462,301.32,235
236,1180000,900.25,73.9263,-10525.4609375,30.5834,248.42,236
237,1185000,798.37,72.5705,-10510.248046875,30.4886,230.73,237
238,1190000,901.49,72.6926,-10704.9638671875,30.5656,267.1,238
239,1195000,752.15,72.1426,-10650.33203125,30.1585,225.63,239
240,1200000,857.78,72.1349,-10788.7119140625,30.5973,271.79,240
241,1205000,660.77,72.5182,-11015.3251953125,30.5334,240.51,241
242,1210000,752.89,73.6843,-10883.3662109375,30.4818,241.33,242
243,1215000,756.14,73.7776,-10997.0380859375,30.5189,226.59,243
244,1220000,605.59,73.4269,-11163.94140625,30.7261,190.92,244
245,1225000,801.13,72.5121,-11122.2978515625,30.3854,217.33,245
246,1230000,657.57,73.2204,-11358.390625,30.4889,242.54,246
247,1235000,854.08,73.405,-11476.8525390625,30.848,259.55,247
248,1240000,797.04,73.1691,-11451.115234375,30.2675,232.48,248
249,1245000,820.46,72.7738,-11376.9208984375,30.0796,216.05,249
250,1250000,837.99,72.5799,-11626.0546875,30.5498,274.0,250
251,1255000,789.91,72.8513,-11607.431640625,29.9627,232.72,251
252,1260000,886.62,73.6061,-11788.412109375,30.32,231.61,252
253,1265000,763.91,73.5207,-11738.8349609375,30.2474,282.21,253
254,1270000,699.89,73.9088,-11866.7275390625,30.4853,203.93,254
255,1275000,752.52,72.2472,-11926.68359375,30.2011,263.88,255
256,1280000,842.21,74.1272,-11987.044921875,30.3711,270.68,256
257,1285000,655.6,73.8446,-12130.8173828125,30.4902,200.16,257
258,1290000,803.96,73.7693,-12242.052734375,30.9389,229.37,258
259,1295000,849.07,73.6199,-12287.95703125,30.6529,309.91,259
260,1300000,751.57,72.9614,-12291.072265625,30.3244,242.8,260
261,1305000,758.53,72.4789,-12456.6328125,30.2331,300.02,261
262,1310000,901.33,72.758,-12416.98046875,30.0945,265.82,262
263,1315000,854.9,72.9603,-12490.783203125,30.1167,240.71,263
264,1320000,750.25,72.7152,-12767.8974609375,30.8763,213.32,264
265,1325000,866.15,73.6705,-12762.544921875,30.3953,236.24,265
266,1330000,754.71,73.5633,-12722.77734375,30.348,262.67,266
267,1335000,815.74,72.8662,-12714.498046875,30.1454,247.66,267
268,1340000,691.16,73.1117,-12916.0478515625,30.14,235.95,268
269,1345000,865.79,73.3977,-13095.3447265625,30.5006,198.33,269
270,1350000,708.18,73.1359,-13118.640625,30.5805,319.79,270
271,1355000,657.5,74.8225,-13304.3779296875,30.5698,241.45,271
272,1360000,734.44,74.3336,-13300.150390625,30.2867,274.03,272
273,1365000,913.85,72.6974,-13193.1376953125,30.2806,324.76,273
274,1370000,898.93,74.0915,-13406.6484375,30.9079,258.28,274
275,1375000,853.32,74.1461,-13567.63671875,30.591,265.2,275
276,1380000,1007.26,73.4095,-13496.927734375,30.1156,259.06,276
277,1385000,855.83,74.8703,-13705.7412109375,30.8352,221.85,277
278,1390000,799.7,73.0267,-13761.578125,30.9469,283.48,278
279,1395000,867.81,73.4517,-14012.6328125,30.5488,219.43,279
280,1400000,898.86,73.8869,-13948.5380859375,30.1844,223.98,280
281,1405000,798.22,73.5406,-13910.220703125,30.062,233.63,281
282,1410000,856.12,72.82,-14084.3779296875,29.8739,173.86,282
283,1415000,901.83,73.0363,-14184.3701171875,30.4183,192.89,283
284,1420000,808.94,73.9305,-14263.611328125,29.9273,252.08,284
285,1425000,710.39,72.3574,-14212.5791015625,29.8346,269.62,285
286,1430000,860.08,71.6874,-14096.1357421875,30.2265,221.57,286
287,1435000,808.01,74.0948,-14474.548828125,30.2105,255.2,287
288,1440000,705.97,71.2639,-14230.806640625,29.659,226.74,288
289,1445000,811.66,73.9241,-14626.5126953125,30.0172,210.5,289
290,1450000,891.85,73.5904,-14559.4580078125,30.7263,216.33,290
291,1455000,896.48,74.0999,-14677.263671875,30.5032,197.46,291
292,1460000,804.2,72.8323,-14891.701171875,30.2447,175.16,292
293,1465000,853.42,72.5557,-14829.740234375,29.9149,286.73,293
294,1470000,707.94,73.5025,-14947.60546875,29.7165,254.8,294
295,1475000,803.57,72.8957,-15098.880859375,30.3054,178.08,295
296,1480000,777.76,74.583,-15332.8671875,30.3467,201.12,296
297,1485000,663.75,74.108,-15196.05859375,30.5176,275.03,297
298,1490000,658.28,73.2716,-15260.7841796875,30.2496,199.78,298
299,1495000,663.09,73.8697,-15463.9736328125,30.1806,164.21,299
300,1500000,749.07,73.7256,-15464.2158203125,30.4462,223.47,300
301,1505000,534.11,73.1723,-15619.390625,30.0783,233.44,301
302,1510000,617.2,73.3427,-15650.8212890625,30.1762,235.25,302
303,1515000,753.32,74.8476,-15729.2783203125,30.5321,278.94,303
304,1520000,705.3,73.0814,-15919.8818359375,30.658,211.58,304
305,1525000,893.44,74.0312,-16013.5537109375,30.3267,198.78,305
306,1530000,846.47,73.7085,-15993.0439453125,30.705,246.36,306
307,1535000,716.04,73.0201,-15879.7646484375,30.1669,250.36,307
308,1540000,649.13,71.954,-16069.7822265625,30.114,180.02,308
309,1545000,897.17,72.9512,-16213.54296875,30.2709,232.9,309
310,1550000,573.92,73.6785,-16267.189453125,30.3813,235.77,310
311,1555000,567.75,71.5297,-16182.1748046875,29.6997,264.71,311
312,1560000,904.55,74.27,-16539.677734375,30.4733,190.35,312
313,1565000,904.23,74.1733,-16556.287109375,30.9111,262.62,313
314,1570000,708.81,74.0858,-16536.279296875,30.2564,248.49,314
315,1575000,897.75,72.9422,-16500.228515625,30.3563,255.35,315
316,1580000,849.05,72.8844,-16725.669921875,30.5819,219.17,316
317,1585000,739.71,74.0629,-17002.40234375,30.633,258.17,317
318,1590000,752.24,74.0702,-16651.05078125,30.0366,247.35,318
319,1595000,704.57,72.8124,-17094.50390625,30.2781,280.53,319
320,1600000,677.55,73.0799,-17155.95703125,30.2901,281.46,320
321,1605000,883.51,74.1775,-17134.994140625,30.3451,189.31,321
322,1610000,790.89,74.0386,-17227.1875,30.301,275.74,322
323,1615000,884.62,74.3153,-17289.16015625,30.7358,190.26,323
324,1620000,651.98,74.4801,-17338.9609375,30.6768,256.0,324
325,1625000,824.19,73.6389,-17456.5078125,30.4094,214.85,325
326,1630000,789.12,74.3835,-17525.009765625,30.425,206.11,326
327,1635000,936.27,75.0026,-17695.921875,31.1046,218.35,327
328,1640000,603.12,73.2488,-17765.453125,30.3201,262.76,328
329,1645000,865.48,73.4924,-17715.73828125,30.264,216.39,329
330,1650000,838.47,73.3186,-17549.228515625,30.2506,273.35,330
331,1655000,949.21,74.0915,-17739.0078125,30.2906,223.56,331
332,1660000,750.72,74.5218,-17952.529296875,30.735,271.27,332
333,1665000,821.59,74.0158,-17953.587890625,30.6249,271.51,333
334,1670000,738.47,72.7116,-17811.171875,30.2533,246.03,334
335,1675000,797.04,73.5107,-17967.0078125,30.2709,293.93,335
336,1680000,679.6,72.8213,-18035.486328125,30.6216,216.67,336
337,1685000,682.16,73.9589,-18117.37890625,30.7307,206.91,337
338,1690000,740.67,74.1144,-18272.744140625,30.7473,175.73,338
339,1695000,644.08,73.9108,-18214.724609375,30.5281,183.05,339
340,1700000,705.4,74.7557,-18390.3984375,31.1713,242.78,340
341,1705000,789.2,74.5106,-18213.0703125,30.4484,164.35,341
342,1710000,932.28,73.2071,-18364.974609375,30.727,256.43,342
343,1715000,691.93,74.7077,-18473.423828125,31.2119,248.99,343
344,1720000,788.15,74.068,-18386.5859375,30.3682,221.8,344
345,1725000,731.5,74.46,-18527.75390625,30.9861,269.49,345
346,1730000,743.35,73.5067,-18451.65234375,30.6588,210.55,346
347,1735000,496.74,75.1837,-18552.71484375,30.6343,235.91,347
348,1740000,497.26,74.2107,-18454.0703125,30.6562,201.28,348
349,1745000,768.4,75.8114,-18589.3828125,31.0572,249.18,349
350,1750000,784.74,74.1726,-18565.1484375,30.6015,255.06,350
351,1755000,629.52,73.528,-18517.984375,30.0337,248.58,351
352,1760000,685.77,73.7365,-18609.12109375,30.5721,187.28,352
353,1765000,635.52,74.0003,-18606.509765625,30.405,174.78,353
354,1770000,753.09,73.6258,-18726.87890625,30.6172,214.99,354
355,1775000,582.07,73.7044,-18547.328125,30.7313,143.23,355
356,1780000,849.28,74.2568,-18802.396484375,30.8973,262.2,356
357,1785000,643.92,75.4829,-18816.86328125,31.0448,192.67,357
358,1790000,645.48,75.1513,-18831.939453125,31.1079,211.86,358
359,1795000,679.44,75.0612,-18904.873046875,31.3091,285.15,359
360,1800000,635.91,75.2762,-18833.48046875,30.9613,203.75,360
361,1805000,590.33,74.4189,-18823.390625,30.3499,239.24,361
362,1810000,795.94,73.8264,-18795.8984375,30.8624,207.44,362
363,1815000,731.89,75.5953,-18960.2890625,30.9051,241.25,363
364,1820000,643.62,75.0013,-18930.53125,30.4935,238.58,364
365,1825000,642.32,74.9073,-18922.5390625,30.1864,174.9,365
366,1830000,645.61,75.1362,-18900.958984375,30.7373,248.75,366
367,1835000,532.24,74.6324,-18900.162109375,30.177,257.61,367
368,1840000,536.55,75.5918,-18941.177734375,30.4736,210.37,368
369,1845000,695.48,74.6961,-18922.939453125,30.4645,259.09,369
370,1850000,740.03,74.257,-18877.712890625,30.4319,202.17,370
