Real Sto Return,Running Env Steps,Itration,Reward Loss,Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL
2793.5,165000,33,-200.19105529785156,33,22.4354,3084.62,12.0364
2010.65,170000,34,-265.33111572265625,34,23.1876,3149.41,13.9527
3099.48,175000,35,-125.15440368652344,35,21.5917,3181.1,11.672
2646.88,180000,36,-160.69894409179688,36,21.6861,3166.35,12.7886
925.22,185000,37,-158.8000946044922,37,21.9573,225.84,12.5061
1009.52,190000,38,-456.95574951171875,38,24.5019,1001.78,20.3101
3153.01,195000,39,-143.24232482910156,39,22.6843,3186.65,12.7642
2963.88,200000,40,-133.84788513183594,40,21.6792,3174.34,12.7231
2511.14,205000,41,-94.7249526977539,41,22.1136,3224.21,13.2251
2564.97,210000,42,-216.43453979492188,42,24.3931,3183.14,16.5357
2762.41,215000,43,-210.6136932373047,43,23.3411,3225.65,12.6446
2230.1,220000,44,-109.42074584960938,44,22.1946,3199.96,12.8402
3066.9,225000,45,-120.56380462646484,45,21.7452,3190.0,13.4746
3154.33,230000,46,-157.9318389892578,46,22.0959,3218.6,16.9105
3095.28,235000,47,-118.84415435791016,47,23.2914,3178.05,14.7834
3140.03,240000,48,-154.4781951904297,48,22.6195,3162.9,15.4097
2903.62,245000,49,-180.5631561279297,49,21.7183,3182.5,14.0261
2993.97,250000,50,-114.39144897460938,50,20.2662,3242.77,10.9849
2269.5,255000,51,-294.9834289550781,51,22.5237,3184.2,18.0628
3017.49,260000,52,-134.51995849609375,52,23.4887,1956.56,14.602
3042.49,265000,53,-130.49819946289062,53,22.8454,3261.73,13.591
3014.28,270000,54,-167.2921142578125,54,22.4604,3067.11,17.2772
2857.62,275000,55,-136.42269897460938,55,21.7157,3087.33,12.5221
3124.86,280000,56,-137.39886474609375,56,21.5412,3095.06,13.2126
3052.33,285000,57,-181.31661987304688,57,21.9465,3068.24,13.2448
3012.95,290000,58,-151.91868591308594,58,20.9451,2811.24,11.0446
3252.01,295000,59,-115.64695739746094,59,20.1359,3242.71,12.7358
3180.91,300000,60,-120.78672790527344,60,20.7516,3283.48,12.1383
3102.6,305000,61,-174.85809326171875,61,22.4428,3209.38,12.6785
2997.1,310000,62,-161.51512145996094,62,21.09,3273.83,13.2685
3227.77,315000,63,-106.29010009765625,63,19.9225,3294.65,12.6654
3269.79,320000,64,-128.68267822265625,64,20.2357,3267.06,12.8522
3313.93,325000,65,-126.98883056640625,65,20.7364,3351.99,13.0035
2967.21,330000,66,-231.90963745117188,66,21.9379,3285.8,12.0752
3297.68,335000,67,-115.6777114868164,67,18.4875,3326.1,11.5115
3309.13,340000,68,-124.13495635986328,68,20.3017,3325.37,12.3118
2954.91,345000,69,-142.120361328125,69,19.6753,3362.98,11.0679
3333.13,350000,70,-133.84146118164062,70,21.4346,3371.07,13.3391
3353.26,355000,71,-131.4619140625,71,20.4748,3365.12,12.8805
3302.32,360000,72,-132.103271484375,72,19.5502,3320.34,12.1473
3300.87,365000,73,-141.1253204345703,73,19.2414,3334.55,11.5403
3312.82,370000,74,-174.5369110107422,74,18.2847,3343.59,12.1862
3054.53,375000,75,-222.62286376953125,75,20.4165,3283.02,12.8821
3322.12,380000,76,-164.8693084716797,76,20.7331,3341.09,11.8966
3400.6,385000,77,-103.6629638671875,77,20.0378,3418.84,12.9903
3319.29,390000,78,-139.08535766601562,78,18.6038,3343.49,11.0808
3221.59,395000,79,-110.84187316894531,79,18.4771,3385.66,11.6516
3019.41,400000,80,-123.78811645507812,80,18.2833,3380.26,11.2378
3337.75,405000,81,-127.66730499267578,81,18.2062,3347.29,10.9858
3242.75,410000,82,-85.99781799316406,82,16.8905,3427.41,9.8886
3380.42,415000,83,-121.69182586669922,83,18.5918,3420.23,11.4581
2925.71,420000,84,-125.09799194335938,84,18.5763,3446.55,11.4321
3081.7,425000,85,-212.8948516845703,85,18.3736,3389.86,11.8859
2961.09,430000,86,-190.9080810546875,86,18.2061,3369.79,13.179
3319.16,435000,87,-174.44729614257812,87,19.0355,3335.68,11.3932
3368.6,440000,88,-157.45156860351562,88,21.1781,3403.39,13.083
2578.36,445000,89,-143.91529846191406,89,18.4885,3366.72,12.2995
3367.95,450000,90,-144.6285858154297,90,19.6558,3349.69,12.3717
3252.96,455000,91,-112.48385620117188,91,17.4198,3413.85,10.7966
3388.26,460000,92,-136.81268310546875,92,17.2611,3398.91,10.7085
3197.14,465000,93,-105.80509948730469,93,17.3318,3434.75,11.6062
3394.47,470000,94,-145.71768188476562,94,19.0446,3409.35,12.8645
3350.89,475000,95,-153.05287170410156,95,18.163,3377.83,11.5962
3365.7,480000,96,-150.5784454345703,96,17.9675,3372.11,11.1241
3381.41,485000,97,-128.8876495361328,97,17.4579,3399.81,10.6853
3352.25,490000,98,-85.09272003173828,98,17.2729,3498.06,10.6131
3400.92,495000,99,-129.83935546875,99,17.7199,3415.11,10.9415
3192.79,500000,100,-150.62213134765625,100,17.4578,3434.44,10.6023
3368.05,505000,101,-139.64700317382812,101,17.2195,3392.69,10.0909
3220.49,510000,102,-125.91463470458984,102,17.5423,3443.27,10.8329
3226.25,515000,103,-128.6387481689453,103,17.5794,3437.32,10.7672
2722.33,520000,104,-127.89714050292969,104,18.0856,3497.63,11.0616
3009.31,525000,105,-199.1682586669922,105,17.9011,3373.89,10.6163
3014.12,530000,106,-172.32298278808594,106,17.9329,3439.16,11.0403
3320.52,535000,107,-147.2755126953125,107,16.9933,3458.42,11.351
3408.47,540000,108,-136.8886260986328,108,16.7509,3431.69,11.1435
3190.57,545000,109,-148.58978271484375,109,20.2585,3426.66,12.5777
3388.49,550000,110,-165.9806365966797,110,17.7164,3392.76,11.1264
3217.29,555000,111,-108.21348571777344,111,17.0864,3476.18,11.5057
2976.21,560000,112,-122.90495300292969,112,17.5025,3487.82,11.5604
2573.73,565000,113,-144.88023376464844,113,17.1354,3459.84,9.5741
3334.79,570000,114,-121.03992462158203,114,17.0764,3461.75,10.4644
2479.24,575000,115,-264.656982421875,115,17.7054,3450.14,27.1891
2562.2,580000,116,-281.4792785644531,116,18.2157,3480.78,20.1756
3257.89,585000,117,-246.57711791992188,117,19.3593,3403.27,12.9513
3449.46,590000,118,-127.67874908447266,118,17.9781,3479.81,11.8596
3397.58,595000,119,-181.04600524902344,119,18.6025,3398.71,11.7591
2924.99,600000,120,-209.0228271484375,120,17.6354,3375.65,10.3269
3471.35,605000,121,-64.7353515625,121,18.3843,3515.1,11.3803
3376.92,610000,122,-151.75718688964844,122,16.9999,3458.04,10.6728
3338.68,615000,123,-214.8414306640625,123,18.0852,3419.23,12.2947
2904.19,620000,124,-301.2229919433594,124,18.0738,3473.92,14.9667
2845.06,625000,125,-173.55477905273438,125,19.0811,3561.67,11.6636
3181.74,630000,126,-225.83746337890625,126,17.5878,3474.03,12.1029
3304.02,635000,127,-91.26508331298828,127,17.5765,3507.2,11.4019
1512.55,640000,128,-526.3244018554688,128,19.8004,1405.89,27.7131
2710.04,645000,129,-249.4263916015625,129,17.2281,3454.89,12.7351
2879.03,650000,130,-197.37612915039062,130,18.0495,3439.23,11.8642
3333.76,655000,131,-143.48208618164062,131,17.068,3464.34,10.2567
2613.44,660000,132,-272.91522216796875,132,17.2664,3486.87,16.2717
2592.91,665000,133,-260.3133850097656,133,18.3883,3439.98,12.7918
3257.29,670000,134,-146.29257202148438,134,17.937,3477.53,12.0417
3437.08,675000,135,-167.76507568359375,135,18.6958,3443.82,11.9497
2432.1,680000,136,-351.3888854980469,136,19.1933,3365.6,14.1877
3046.68,685000,137,-181.58811950683594,137,17.5921,3450.26,10.9848
3273.04,690000,138,-238.87884521484375,138,19.658,3393.85,11.0187
3223.24,695000,139,-156.23301696777344,139,18.7393,3536.7,11.3275
3076.12,700000,140,-172.41127014160156,140,17.6777,3439.76,11.0653
2404.92,705000,141,-260.79364013671875,141,18.1143,3483.12,12.0359
3420.32,710000,142,-174.83299255371094,142,17.3407,3414.94,10.1049
3321.81,715000,143,-168.73985290527344,143,16.9757,3414.51,10.7366
3329.06,720000,144,-188.90940856933594,144,17.8382,3497.22,11.9882
3468.1,725000,145,-162.64730834960938,145,17.9371,3470.06,11.435
3256.64,730000,146,-213.5799560546875,146,17.8804,3494.66,11.3811
3221.41,735000,147,-155.08604431152344,147,17.0765,3460.7,10.3353
3072.16,740000,148,-188.45045471191406,148,16.7293,3471.43,9.5887
3225.25,745000,149,-175.55433654785156,149,17.3625,3486.52,21.3793
3266.22,750000,150,-159.154541015625,150,17.4243,3479.58,10.2619
2889.59,755000,151,-140.7108917236328,151,18.3276,3498.77,11.4305
3206.02,760000,152,-188.5147705078125,152,17.8407,3431.64,11.732
1363.2,765000,153,-464.3362731933594,153,18.8178,3501.48,11.0984
3079.54,770000,154,-252.76834106445312,154,17.5133,3445.88,10.8281
3342.29,775000,155,-194.61781311035156,155,17.9904,3486.79,11.6826
3093.52,780000,156,-204.26524353027344,156,17.5366,3496.79,12.1775
3383.59,785000,157,-133.05032348632812,157,17.5781,3513.64,11.2888
3454.07,790000,158,-167.18482971191406,158,17.9276,3463.61,11.8947
3386.47,795000,159,-172.3553009033203,159,18.4004,3464.74,12.3017
3470.25,800000,160,-174.23963928222656,160,18.3393,3465.45,12.7902
3166.93,805000,161,-202.51333618164062,161,17.7815,3443.56,11.305
3445.28,810000,162,-188.3350067138672,162,17.5973,3486.08,11.3941
3452.93,815000,163,-181.65863037109375,163,17.7699,3481.87,11.9062
3364.44,820000,164,-169.95204162597656,164,17.9963,3464.62,11.2656
3292.81,825000,165,-203.5963592529297,165,17.5695,3520.05,12.4436
3461.17,830000,166,-185.82362365722656,166,17.0692,3453.24,11.7763
3417.1,835000,167,-214.31076049804688,167,17.6444,3439.42,11.4601
3449.16,840000,168,-156.8053436279297,168,16.111,3470.4,10.576
3355.02,845000,169,-173.357421875,169,17.0682,3479.79,11.3279
2967.25,850000,170,-275.89959716796875,170,18.5784,3489.4,22.0134
3464.47,855000,171,-160.76600646972656,171,16.6364,3477.69,10.9064
3367.35,860000,172,-206.84129333496094,172,17.7082,3461.49,12.4206
3464.96,865000,173,-177.54345703125,173,16.9815,3478.59,11.2297
3379.58,870000,174,-238.56622314453125,174,17.8051,3460.92,12.5717
3480.49,875000,175,-186.0833740234375,175,17.5721,3500.73,11.2718
3020.68,880000,176,-301.2045593261719,176,18.1211,3488.32,16.4898
3426.82,885000,177,-219.64454650878906,177,18.3079,3438.52,12.1436
3485.22,890000,178,-197.31539916992188,178,16.9442,3479.05,10.7458
3348.7,895000,179,-257.5158996582031,179,17.746,3357.49,11.1089
3434.26,900000,180,-222.66763305664062,180,16.6656,3448.89,10.2398
3080.07,905000,181,-305.8629150390625,181,17.5868,3416.66,10.2845
3432.43,910000,182,-246.66845703125,182,17.0533,3452.68,10.9226
3478.04,915000,183,-197.0680389404297,183,17.2298,3481.72,10.8395
3422.09,920000,184,-198.28414916992188,184,17.1921,3446.96,10.8933
3055.34,925000,185,-251.40017700195312,185,17.4689,3507.12,13.8442
3454.95,930000,186,-199.58055114746094,186,17.3536,3465.1,10.9171
3449.25,935000,187,-218.54144287109375,187,16.9461,3489.92,10.9761
3417.4,940000,188,-225.25865173339844,188,16.2233,3429.71,9.7772
3404.12,945000,189,-220.2361297607422,189,17.2851,3456.12,11.0871
3092.85,950000,190,-251.31344604492188,190,17.1268,3437.79,10.9574
3449.5,955000,191,-228.46656799316406,191,16.7859,3456.69,11.1649
3180.81,960000,192,-288.7210388183594,192,18.1572,3476.91,11.2885
3267.15,965000,193,-345.5674743652344,193,18.7386,3516.2,10.6309
3461.01,970000,194,-277.2845153808594,194,17.3857,3495.99,11.506
3459.49,975000,195,-239.92091369628906,195,18.073,3473.03,11.4152
3238.88,980000,196,-303.294189453125,196,17.8203,3433.97,10.8357
3374.09,985000,197,-293.6572570800781,197,17.7482,3497.83,10.7915
3400.94,990000,198,-223.5353546142578,198,17.091,3494.54,10.4546
3452.09,995000,199,-210.02418518066406,199,17.8985,3474.34,11.4033
