Itration,Running Env Steps,Real Det Return,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Running Reverse KL
77,385000,1106.7,77,-1061.9991455078125,68.3315,468.76,28.7943
78,390000,1084.41,78,-1097.3514404296875,70.7606,311.7,30.0395
79,395000,1096.02,79,-1094.9146728515625,67.4214,338.36,28.0728
80,400000,1232.95,80,-1108.8035888671875,67.2341,410.76,28.5821
81,405000,1521.55,81,-1075.6231689453125,64.5605,550.85,27.2941
82,410000,1412.86,82,-1133.0494384765625,66.6,584.73,27.9007
83,415000,1573.67,83,-1160.41845703125,67.5576,688.78,28.6003
84,420000,1347.9,84,-1200.767822265625,68.9544,686.76,29.0693
85,425000,1229.96,85,-1240.927001953125,68.9467,423.49,28.9985
86,430000,1194.47,86,-1212.1082763671875,66.1807,468.09,28.3768
87,435000,1296.0,87,-1284.3857421875,69.441,432.63,29.5168
88,440000,923.94,88,-1256.2650146484375,67.184,549.6,28.1013
89,445000,1272.88,89,-1296.9271240234375,67.9757,551.01,28.6024
90,450000,1888.35,90,-1233.6109619140625,65.7239,1179.24,29.592
91,455000,1619.35,91,-1239.89501953125,64.2192,1045.16,27.4868
92,460000,1382.21,92,-1370.408203125,67.6559,636.08,28.8245
93,465000,1010.66,93,-1356.73046875,66.4927,571.87,27.8012
94,470000,1529.5,94,-1316.3363037109375,65.7538,704.08,27.7145
95,475000,1640.01,95,-1363.7496337890625,66.192,733.58,28.0801
96,480000,962.04,96,-1401.7857666015625,66.1143,692.12,26.956
97,485000,1521.82,97,-1463.925537109375,69.0462,659.99,27.4275
98,490000,1460.52,98,-1296.3236083984375,64.1139,1190.43,26.4909
99,495000,2058.82,99,-1280.2203369140625,63.5924,1234.95,28.308
100,500000,2281.6,100,-1279.2275390625,65.5271,1275.53,29.336
101,505000,2098.04,101,-1422.0885009765625,65.0965,1384.49,27.5492
102,510000,1616.17,102,-1383.5506591796875,66.0599,1006.56,28.0496
103,515000,1952.13,103,-1148.9954833984375,61.7314,958.06,28.5157
104,520000,1896.32,104,-1435.8277587890625,64.4406,878.09,27.0299
105,525000,1580.6,105,-1332.151611328125,65.3022,1079.63,27.9692
106,530000,2118.69,106,-1349.7027587890625,64.188,1520.3,28.3652
107,535000,2769.23,107,-1180.5596923828125,65.0015,1912.35,32.8959
108,540000,2045.17,108,-1457.97216796875,65.654,1420.35,27.5863
109,545000,2393.92,109,-1235.69677734375,67.4123,1745.16,33.107
110,550000,2499.73,110,-1304.1253662109375,65.2303,1767.21,30.9653
111,555000,2861.25,111,-1233.2720947265625,64.7957,2180.52,33.2708
112,560000,3103.21,112,-1355.8499755859375,65.5553,1871.79,30.9756
113,565000,3128.39,113,-1107.454833984375,67.4313,2335.28,39.7518
114,570000,2036.75,114,-1482.69873046875,65.6608,1621.72,28.593
115,575000,2298.08,115,-1402.7880859375,65.7382,1733.03,32.029
116,580000,2612.23,116,-1319.5758056640625,66.3106,2056.81,33.1565
117,585000,3080.63,117,-1208.8065185546875,68.4435,2251.41,41.2819
118,590000,3017.22,118,-1378.416748046875,65.5114,1668.26,30.8937
119,595000,3231.99,119,-1237.261474609375,69.07,2678.5,38.3417
120,600000,3587.53,120,-1250.0059814453125,68.7828,2342.92,40.0663
121,605000,3808.14,121,-1245.13330078125,69.2539,2819.55,40.5379
122,610000,2286.09,122,-1502.062744140625,67.7261,1639.47,31.8488
123,615000,3559.74,123,-1241.8367919921875,68.5982,2816.7,39.9759
124,620000,3404.55,124,-1324.0736083984375,67.853,2625.76,38.7908
125,625000,3730.3,125,-1243.5535888671875,68.6651,3019.38,40.4292
126,630000,3603.24,126,-1137.8011474609375,72.1735,2928.17,44.7424
127,635000,3956.88,127,-1175.0946044921875,73.0175,2945.52,45.98
128,640000,3517.76,128,-1191.5601806640625,70.1763,2443.56,40.8379
129,645000,4090.66,129,-1205.584716796875,71.6106,3313.69,49.333
130,650000,3247.65,130,-1405.0758056640625,67.6477,2206.52,37.0731
131,655000,3312.15,131,-1294.40185546875,71.9803,2016.02,50.9663
132,660000,4044.97,132,-1069.135009765625,79.6885,3165.77,57.3565
133,665000,2981.42,133,-1279.6263427734375,75.1875,2677.95,56.5775
134,670000,3393.95,134,-1390.8046875,73.1525,2418.42,50.4305
135,675000,4425.52,135,-1219.291748046875,76.3346,2993.23,56.4481
136,680000,3553.16,136,-1300.159912109375,76.2217,2614.2,59.0013
137,685000,3982.88,137,-1277.800048828125,78.1809,3434.94,66.5006
138,690000,4532.34,138,-1277.0570068359375,85.6912,3345.95,63.6217
139,695000,3838.52,139,-1315.632568359375,89.3635,2636.31,75.3538
140,700000,3901.57,140,-1476.408935546875,75.2809,3266.37,54.3911
141,705000,4433.14,141,-1378.6568603515625,89.0505,3708.23,68.859
142,710000,4462.02,142,-1378.526611328125,87.5272,3676.8,73.2526
143,715000,3631.16,143,-1401.4962158203125,80.7791,3100.22,59.0419
144,720000,4089.12,144,-1412.30419921875,84.4368,3581.0,63.6973
145,725000,3896.0,145,-1504.93408203125,78.3855,3623.04,54.8204
146,730000,3783.74,146,-1532.247314453125,75.0851,2933.29,58.8875
147,735000,3150.52,147,-1490.37646484375,77.845,2821.79,60.4924
148,740000,4457.06,148,-1442.751220703125,85.6881,3872.39,67.022
149,745000,4140.04,149,-1508.3291015625,77.434,3307.01,65.5886
150,750000,4272.93,150,-1737.267822265625,74.28,3829.49,63.6955
151,755000,2903.26,151,-1564.4996337890625,76.1185,3821.87,59.8993
152,760000,3807.39,152,-1695.66845703125,74.78,3284.52,55.257
153,765000,3493.85,153,-1648.50634765625,74.6296,2555.91,54.1831
154,770000,4212.46,154,-1691.6964111328125,81.1764,3897.57,65.9614
155,775000,3859.85,155,-1984.940673828125,71.8019,3160.82,49.0381
156,780000,3936.38,156,-1749.4073486328125,79.8171,3017.14,61.8393
157,785000,4222.38,157,-1736.399169921875,80.2296,3991.82,66.2102
158,790000,4375.21,158,-1768.279296875,79.9955,3836.1,66.4435
159,795000,4111.64,159,-1939.1944580078125,75.8449,3415.58,62.5409
160,800000,4729.17,160,-1804.0604248046875,84.7491,3261.47,77.0865
161,805000,4901.68,161,-1878.0467529296875,77.1101,3975.56,64.6629
162,810000,4782.88,162,-1875.8477783203125,80.8291,3847.56,70.978
163,815000,4791.38,163,-1788.8436279296875,85.8172,3347.08,71.7807
164,820000,4133.38,164,-2017.8460693359375,76.0232,3472.25,62.9394
165,825000,4901.59,165,-1987.935546875,75.143,3772.51,64.1862
166,830000,4905.56,166,-1887.1473388671875,86.2406,4288.06,74.1554
167,835000,4722.35,167,-1928.1549072265625,85.7989,3510.64,74.7897
168,840000,5202.22,168,-2035.828125,83.7197,4403.61,72.6427
169,845000,3849.31,169,-2186.556884765625,73.2709,2910.7,60.3091
170,850000,5253.94,170,-2057.138427734375,80.3981,4402.55,73.7851
171,855000,5060.96,171,-2091.8515625,88.4409,4261.55,82.216
172,860000,4781.1,172,-2207.990234375,78.3128,4689.75,71.6861
173,865000,5036.66,173,-2233.8857421875,86.3045,4219.66,76.2617
174,870000,4779.86,174,-2129.969482421875,89.8572,4470.27,78.8605
175,875000,4634.35,175,-2462.178955078125,77.0688,4070.97,69.1486
176,880000,5164.07,176,-2260.4365234375,88.5181,4206.65,78.1385
177,885000,5183.61,177,-2257.1103515625,78.3592,4424.66,72.1651
178,890000,5218.23,178,-2316.81396484375,86.9876,4472.02,82.956
179,895000,4468.24,179,-2465.37841796875,76.037,4164.06,65.266
180,900000,4669.75,180,-2516.358154296875,84.4823,3884.24,79.2949
181,905000,4827.92,181,-2516.1298828125,77.9026,4689.7,71.8658
182,910000,5174.85,182,-2524.500244140625,86.7512,4786.28,81.6522
183,915000,4638.03,183,-2421.04931640625,90.2604,4027.62,89.5166
184,920000,5035.18,184,-2546.992431640625,78.4734,4142.3,67.6511
185,925000,4730.02,185,-2753.197021484375,82.0702,3680.98,84.5473
186,930000,4734.78,186,-2708.61083984375,78.6737,3971.9,77.5393
187,935000,4565.9,187,-2643.878173828125,80.5898,4108.53,77.4934
188,940000,5152.21,188,-2804.003662109375,77.7813,4665.2,79.8067
189,945000,4585.38,189,-2665.10498046875,82.941,3894.15,83.1426
190,950000,5149.18,190,-2831.4189453125,84.7966,4748.76,87.2677
191,955000,5180.62,191,-2937.524658203125,91.3262,4319.2,90.8016
192,960000,5231.74,192,-2867.92578125,91.118,4884.62,92.4285
193,965000,5186.21,193,-2974.715087890625,92.6661,4832.72,96.5351
194,970000,5284.26,194,-2891.91796875,88.1476,4675.69,89.3791
195,975000,4818.44,195,-3011.713623046875,74.0045,3536.26,63.1814
196,980000,4576.08,196,-3065.654296875,79.0551,4473.99,79.8019
197,985000,4607.44,197,-3083.857177734375,80.1648,4518.92,79.9521
198,990000,4388.26,198,-3084.1650390625,77.3866,4182.28,74.3357
199,995000,5225.91,199,-3089.07177734375,91.9332,4449.37,94.1292
200,1000000,5103.16,200,-3176.990966796875,93.2395,4808.76,98.222
201,1005000,5283.48,201,-3141.47900390625,92.2423,4361.21,95.6242
202,1010000,5279.01,202,-3260.017578125,92.5667,4752.38,99.8668
203,1015000,5023.29,203,-3328.59375,92.9631,4717.93,102.6308
204,1020000,5059.23,204,-3353.28466796875,92.2729,4814.68,97.3053
205,1025000,5306.42,205,-3457.20458984375,93.9228,4976.71,100.8624
206,1030000,5289.35,206,-3488.2724609375,92.4322,4558.64,99.2878
207,1035000,5277.86,207,-3548.22314453125,82.0167,4597.41,90.8266
208,1040000,5152.33,208,-3594.251220703125,94.6577,4766.65,102.0502
209,1045000,4917.94,209,-3693.9443359375,92.1562,4647.71,96.3937
210,1050000,5222.38,210,-3701.881103515625,92.016,4690.61,96.7728
211,1055000,5157.18,211,-3752.104248046875,93.4935,4504.23,96.2874
212,1060000,5115.07,212,-3756.058837890625,96.0256,4711.01,101.612
213,1065000,5234.28,213,-3845.921142578125,92.5577,4021.89,96.905
214,1070000,5087.73,214,-3823.616943359375,91.969,4700.12,101.0228
215,1075000,4822.52,215,-3927.617919921875,79.2798,4598.83,82.0444
216,1080000,5039.08,216,-4001.720458984375,93.2179,4577.39,100.0821
217,1085000,5030.33,217,-4012.200927734375,85.4034,4481.51,91.2441
218,1090000,4836.67,218,-4011.407470703125,93.6438,3177.77,101.8447
219,1095000,4252.34,219,-4064.82421875,95.0443,4658.62,108.5312
220,1100000,5178.61,220,-4181.6728515625,92.5613,4193.78,99.7253
221,1105000,5333.82,221,-4243.03076171875,93.6011,4866.6,102.3355
222,1110000,4504.19,222,-4242.3837890625,94.1367,4047.89,104.9904
223,1115000,5116.09,223,-4351.49365234375,93.9521,5004.56,103.434
224,1120000,5273.25,224,-4410.47900390625,91.7247,4378.0,101.0192
225,1125000,4960.65,225,-4488.28759765625,92.1225,4734.69,97.7982
226,1130000,5144.75,226,-4575.95849609375,94.0851,4866.19,103.1643
227,1135000,4750.9,227,-4521.3251953125,94.4578,4829.92,104.7078
228,1140000,5388.63,228,-4581.23681640625,93.4683,4737.88,101.5109
229,1145000,4862.9,229,-4700.68310546875,93.683,4555.47,105.6869
230,1150000,5094.66,230,-4716.37939453125,91.8919,4673.78,99.5379
231,1155000,4870.47,231,-4805.10205078125,93.0068,4412.81,106.5159
232,1160000,5142.24,232,-4822.02783203125,94.2961,4736.26,105.6441
233,1165000,4809.69,233,-4862.5341796875,86.8924,4620.38,99.9785
234,1170000,4374.39,234,-4957.642578125,93.9295,3996.29,106.7646
235,1175000,4979.89,235,-4984.826171875,94.2308,4726.12,103.2479
236,1180000,4484.31,236,-5173.70068359375,93.1755,3794.6,102.9774
237,1185000,5361.37,237,-5212.76123046875,93.5822,4522.12,103.5954
238,1190000,4585.35,238,-5284.67138671875,94.3232,4350.46,101.2504
239,1195000,4902.87,239,-5325.3212890625,91.5598,4690.09,101.2425
240,1200000,4407.89,240,-5394.2841796875,90.6333,4185.17,98.1925
241,1205000,4425.94,241,-5397.1748046875,91.5303,4451.39,101.6925
242,1210000,5013.36,242,-5527.41796875,92.0703,4303.49,99.3383
243,1215000,5225.59,243,-5509.7705078125,91.9799,4486.76,104.1525
244,1220000,4361.33,244,-5665.27099609375,95.0663,4778.1,107.7714
245,1225000,4780.49,245,-5914.634765625,95.6333,4796.53,107.6531
246,1230000,5255.64,246,-5808.0751953125,94.8324,4068.79,107.0362
247,1235000,5192.15,247,-5874.072265625,95.1311,4279.06,108.4665
248,1240000,5224.84,248,-5950.6630859375,82.7224,4222.18,92.5556
249,1245000,4523.52,249,-6107.33740234375,93.1506,4533.6,104.2802
250,1250000,5190.85,250,-6192.7392578125,94.9489,4613.62,103.5428
251,1255000,5033.63,251,-6244.23779296875,95.1316,3876.86,103.5642
252,1260000,4745.2,252,-6217.2802734375,93.7737,4448.71,107.9756
253,1265000,4767.81,253,-6335.939453125,93.0631,4741.75,104.9971
254,1270000,5078.49,254,-6318.57958984375,86.7996,3919.63,97.9443
255,1275000,4914.26,255,-6537.91552734375,93.597,4327.48,103.1387
256,1280000,5163.34,256,-6545.7314453125,91.7842,4516.35,98.6117
257,1285000,5225.07,257,-6594.61181640625,93.2651,4677.43,102.3577
258,1290000,5317.99,258,-6538.12451171875,85.1794,4532.36,97.7668
259,1295000,5089.3,259,-6810.916015625,95.4499,4832.71,106.9329
260,1300000,5250.7,260,-6781.7919921875,94.7615,4108.44,105.6351
261,1305000,5196.52,261,-6750.01611328125,93.8417,5223.24,106.2903
262,1310000,5050.41,262,-7052.7421875,94.7534,5114.43,107.3611
263,1315000,4769.87,263,-6974.60986328125,95.2275,4602.37,108.8108
264,1320000,5559.37,264,-7154.0966796875,92.2429,4193.56,101.0164
265,1325000,5081.73,265,-7202.97607421875,93.5899,4741.12,103.715
266,1330000,4216.34,266,-7022.09521484375,82.9712,4621.55,94.6046
267,1335000,5198.12,267,-7346.8671875,93.6626,5144.02,104.1446
268,1340000,4972.53,268,-7398.599609375,93.8483,5046.44,100.1707
269,1345000,5370.59,269,-7402.53369140625,95.3922,4683.21,105.0608
270,1350000,5262.38,270,-7410.78759765625,82.6868,4673.65,98.6253
271,1355000,5291.15,271,-7583.15576171875,91.5976,4003.01,102.6412
272,1360000,5608.96,272,-7663.44189453125,93.2039,4926.92,100.7163
273,1365000,4684.01,273,-7884.9453125,92.0862,5186.24,103.1496
274,1370000,5317.03,274,-7757.6923828125,91.9748,4895.08,99.7488
275,1375000,5436.24,275,-7848.89306640625,93.1628,4931.14,103.2672
276,1380000,4931.51,276,-7666.31591796875,80.1407,4176.02,89.7612
277,1385000,4591.11,277,-7827.2333984375,82.7926,4117.85,94.1074
278,1390000,5557.35,278,-8068.978515625,92.7415,4417.13,105.7407
279,1395000,5452.72,279,-8141.62060546875,92.5967,4757.42,103.353
280,1400000,5118.72,280,-8059.2138671875,81.3917,5080.51,95.1723
281,1405000,4981.2,281,-8101.50439453125,82.654,4987.82,96.647
282,1410000,5353.03,282,-8308.8369140625,91.581,4719.55,101.7518
283,1415000,5361.28,283,-8360.27734375,95.0456,4907.68,107.9954
284,1420000,5590.71,284,-8561.52734375,93.6204,5114.06,100.7244
285,1425000,5572.7,285,-8431.345703125,91.4164,4566.85,100.3738
286,1430000,5610.5,286,-8358.1669921875,81.9519,4007.46,92.3433
287,1435000,5139.37,287,-8672.4140625,91.9499,4981.22,103.7034
288,1440000,5194.63,288,-8598.390625,90.7032,4438.71,96.8443
289,1445000,5125.73,289,-8799.0419921875,92.7745,4648.4,101.3405
290,1450000,4950.18,290,-8753.07421875,93.6889,3821.47,103.1183
291,1455000,5581.97,291,-8579.7646484375,78.8712,4914.43,89.0302
292,1460000,5092.99,292,-8765.9638671875,81.5747,4823.6,93.3526
293,1465000,4830.34,293,-8732.4091796875,80.7365,4643.25,96.238
294,1470000,5657.04,294,-9010.755859375,87.2447,4612.15,98.4821
295,1475000,5244.24,295,-9246.080078125,89.2413,5019.6,94.0478
296,1480000,5404.66,296,-9213.6171875,90.7124,5096.13,97.3238
297,1485000,5625.31,297,-9369.9765625,91.6287,5288.84,102.0574
298,1490000,5253.44,298,-9489.2060546875,91.4252,4875.21,103.1858
299,1495000,5587.64,299,-9508.1181640625,89.9494,4321.4,98.9383
300,1500000,4529.66,300,-9733.498046875,91.9155,4983.41,102.9516
301,1505000,5166.7,301,-9574.373046875,90.2561,4726.74,100.5118
302,1510000,5610.03,302,-9761.9326171875,91.4946,4371.19,101.5132
303,1515000,5762.34,303,-9858.4736328125,92.7236,4640.05,104.3532
304,1520000,5603.65,304,-9952.732421875,92.3635,4667.5,103.3864
305,1525000,5131.45,305,-9986.2958984375,91.4927,4706.51,103.2184
306,1530000,5406.31,306,-10045.3896484375,90.5776,4532.94,102.4393
307,1535000,5182.64,307,-10090.42578125,89.8355,4774.23,100.0009
308,1540000,5654.95,308,-10320.169921875,93.1345,4654.64,103.7022
309,1545000,5491.21,309,-10165.91015625,90.4636,5293.71,103.7691
310,1550000,5503.34,310,-10378.1455078125,91.7527,4981.83,103.0008
311,1555000,5651.39,311,-10286.4375,91.6005,5020.22,102.4544
312,1560000,5550.03,312,-10536.615234375,93.1363,4700.4,105.9942
313,1565000,5716.49,313,-10213.525390625,82.1405,4913.06,97.4534
314,1570000,4880.96,314,-10493.8759765625,92.9365,4409.13,105.6209
315,1575000,5348.12,315,-10583.17578125,93.0127,4404.19,105.5626
316,1580000,5292.0,316,-10587.908203125,92.7071,4619.83,103.3531
317,1585000,5280.03,317,-10537.3076171875,90.7997,4752.9,100.4711
318,1590000,4789.47,318,-10409.3193359375,80.5117,5279.99,90.9656
319,1595000,5673.85,319,-10884.7734375,92.374,5215.48,105.8999
320,1600000,4928.71,320,-11053.5986328125,92.8956,5242.88,105.2999
321,1605000,5743.41,321,-10980.6923828125,94.5189,4573.0,106.2613
322,1610000,5303.24,322,-11014.2890625,93.6063,4679.47,106.9275
323,1615000,5154.24,323,-11050.61328125,92.4621,4151.39,106.1365
324,1620000,5608.18,324,-11216.2509765625,91.8724,4740.39,104.8903
325,1625000,5008.77,325,-11339.3857421875,90.5519,5126.65,100.12
326,1630000,5421.74,326,-10846.8603515625,79.9746,5200.77,94.2228
327,1635000,5413.21,327,-11402.0478515625,92.4152,4985.73,103.8952
328,1640000,5289.7,328,-11321.9111328125,91.9587,4693.57,105.082
329,1645000,5611.34,329,-11435.94140625,92.156,5101.96,103.1557
