Real Sto Return,Running Update Time,Itration,Reward Loss,Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL
1036.89,110,110,-1071.502197265625,1036.17,550000,27.7251,36.3223
1008.44,111,111,-1063.9197998046875,1004.65,555000,24.7304,34.5667
960.57,112,112,-1122.4403076171875,271.29,560000,36.3993,39.3018
675.09,113,113,-1134.4989013671875,551.35,565000,45.3268,40.5538
995.04,114,114,-1146.09521484375,994.14,570000,49.4235,40.1865
1019.18,115,115,-1153.52783203125,1018.98,575000,34.305,39.4253
237.39,116,116,-1067.018310546875,239.19,580000,45.4092,32.1312
182.7,117,117,-1026.96044921875,153.85,585000,40.6141,31.5201
1045.5,118,118,-1180.0059814453125,1045.63,590000,35.9231,38.431
725.48,119,119,-1133.963623046875,679.82,595000,33.8561,36.0942
1035.05,120,120,-1185.8433837890625,1039.76,600000,28.4423,36.1188
539.88,121,121,-771.4432373046875,570.74,605000,18.8825,30.5354
1025.08,122,122,-1215.2777099609375,1000.55,610000,28.6732,35.7114
962.82,123,123,-1136.0643310546875,952.34,615000,27.215,33.1776
912.41,124,124,-1205.526123046875,955.39,620000,61.8252,33.0477
1003.13,125,125,-1277.1171875,1003.12,625000,36.0194,38.8627
228.82,126,126,-1219.0704345703125,204.71,630000,38.6436,30.7712
273.33,127,127,-1027.662109375,307.82,635000,40.7818,30.521
20.2,128,128,-976.8433837890625,19.99,640000,29.0528,33.0212
2.34,129,129,-1316.877685546875,2.23,645000,56.2877,40.6106
52.84,130,130,-1135.294921875,47.24,650000,44.5109,30.9209
313.55,131,131,-971.0613403320312,323.25,655000,42.0944,30.3572
288.44,132,132,-1141.1199951171875,285.72,660000,35.7439,31.1016
293.7,133,133,-1039.916015625,299.6,665000,133.2518,31.6688
164.07,134,134,-1038.854248046875,180.79,670000,26.3603,31.3061
399.36,135,135,-1197.599853515625,552.56,675000,36.7202,32.7032
633.94,136,136,-1024.0194091796875,652.72,680000,22.302,31.6761
1016.34,137,137,-1417.3597412109375,1004.35,685000,41.9148,38.8168
1022.3,138,138,-1419.3927001953125,1021.75,690000,31.7735,35.5416
1029.67,139,139,-1436.4482421875,1020.35,695000,40.9173,37.101
1037.28,140,140,-1433.411865234375,1034.45,700000,27.4043,38.3047
1052.78,141,141,-1447.98291015625,1053.28,705000,34.6884,37.0189
995.27,142,142,-1467.22802734375,995.8,710000,50.7588,38.5929
887.39,143,143,-1480.6356201171875,623.09,715000,39.3857,37.4793
1000.11,144,144,-1490.7105712890625,1000.27,720000,46.5832,38.0756
1002.38,145,145,-1487.2919921875,1003.22,725000,36.6534,37.0415
997.79,146,146,-1393.6707763671875,997.78,730000,25.4435,36.4498
993.62,147,147,-1525.1256103515625,995.32,735000,38.0887,38.4771
731.37,148,148,-1552.0562744140625,664.28,740000,42.7967,36.4131
771.05,149,149,-1366.730224609375,772.52,745000,27.436,31.6093
185.9,150,150,-1562.58251953125,186.83,750000,36.5822,36.3818
1030.35,151,151,-1581.5631103515625,1026.56,755000,28.9895,35.7255
1008.7,152,152,-1591.780517578125,1009.82,760000,44.8358,37.2478
1009.64,153,153,-1613.4246826171875,1009.2,765000,51.7678,37.1518
421.39,154,154,-1496.9061279296875,449.0,770000,25.4196,31.6837
1007.56,155,155,-1589.5894775390625,1007.7,775000,32.1745,36.3168
1036.85,156,156,-1647.86328125,1036.55,780000,36.0493,36.5741
1040.99,157,157,-1662.8211669921875,1039.95,785000,35.8319,36.7469
980.34,158,158,-1699.859130859375,980.33,790000,35.8101,38.1347
1006.39,159,159,-1673.333740234375,1007.16,795000,27.3461,36.9772
989.49,160,160,-1649.04052734375,992.75,800000,34.0011,36.5652
990.26,161,161,-1739.834228515625,990.34,805000,50.879,40.2492
1051.68,162,162,-1744.010986328125,1051.85,810000,35.3374,39.7555
443.73,163,163,-1501.2767333984375,456.97,815000,25.0507,32.1823
991.89,164,164,-1773.377685546875,992.64,820000,54.1276,39.0041
190.26,165,165,-1169.7515869140625,201.12,825000,17.4218,30.0398
1050.74,166,166,-1793.07958984375,1050.08,830000,26.3139,37.6932
1044.16,167,167,-1803.958740234375,1043.0,835000,34.0281,37.4226
971.21,168,168,-1851.749755859375,971.55,840000,51.2061,39.553
1009.25,169,169,-1829.55322265625,1008.91,845000,35.4884,37.0328
1009.05,170,170,-1835.338134765625,1009.87,850000,45.4329,35.5064
1003.68,171,171,-1867.4365234375,1003.24,855000,47.1673,39.1314
1033.94,172,172,-1880.593017578125,1033.69,860000,29.6227,38.3583
988.35,173,173,-1907.392333984375,989.16,865000,38.6294,38.079
1024.11,174,174,-1904.2991943359375,1019.26,870000,27.8096,38.7416
202.79,175,175,-1886.4625244140625,772.13,875000,25.2912,36.8771
166.05,176,176,-1766.59228515625,307.48,880000,21.3381,36.3412
741.01,177,177,-1904.3939208984375,897.41,885000,29.7232,36.2286
47.23,178,178,-1991.2047119140625,45.97,890000,37.598,39.0892
1025.98,179,179,-1975.8028564453125,1026.6,895000,37.8977,36.5093
1023.82,180,180,-2012.4912109375,1023.65,900000,39.7529,38.2199
994.89,181,181,-2035.4986572265625,995.65,905000,49.8737,39.3952
997.98,182,182,-2043.557861328125,998.6,910000,48.2332,38.4792
720.41,183,183,-1822.163818359375,1055.83,915000,25.6248,31.9475
1043.81,184,184,-2066.861328125,1044.42,920000,28.4463,36.4383
999.37,185,185,-2023.082275390625,1016.53,925000,27.195,37.1269
148.48,186,186,-2041.798095703125,166.66,930000,30.2608,35.9028
646.19,187,187,-2070.566650390625,843.67,935000,31.6314,32.2813
349.32,188,188,-2105.5986328125,359.69,940000,28.4984,37.4003
984.06,189,189,-2142.983642578125,987.92,945000,35.5711,37.1074
1007.27,190,190,-2155.7666015625,1005.82,950000,36.9589,37.4111
1031.78,191,191,-2183.352783203125,1029.34,955000,33.9244,38.2837
1048.59,192,192,-2193.7158203125,1043.77,960000,32.2729,37.5747
1047.74,193,193,-2215.43359375,1048.73,965000,27.8853,36.874
1047.95,194,194,-2219.38037109375,1047.38,970000,32.2328,38.9764
987.08,195,195,-2280.5576171875,988.3,975000,47.2595,39.9081
850.28,196,196,-2177.482666015625,798.9,980000,37.0828,36.4273
1025.76,197,197,-2286.73583984375,1011.45,985000,37.0347,39.6076
1001.36,198,198,-2317.92333984375,1001.67,990000,43.2515,40.4323
1003.32,199,199,-2283.589111328125,1002.64,995000,42.4971,38.3731
