Itration,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return
135,4337.11,151.3202,339.6158,5118.48
136,5153.68,164.8094,347.0564,5142.68
137,4823.27,162.2725,343.8056,5105.18
138,5217.84,189.7405,360.358,4822.41
139,5216.58,171.1294,344.6185,4892.23
140,5055.43,156.9689,337.678,5204.89
141,4314.72,168.1529,346.5435,4604.77
142,5232.57,160.4564,339.7115,5041.5
143,4834.55,179.7911,352.5119,4723.23
144,4693.61,165.4883,343.9813,4987.13
145,4516.03,168.4554,346.7127,4864.77
146,5104.85,184.3098,352.5646,5265.81
147,4815.77,165.1341,347.6935,5013.02
148,5385.91,170.2296,343.0437,5269.99
149,5249.88,166.1368,344.8856,4910.7
150,4975.42,160.9197,342.9034,5163.1
151,2963.84,156.3079,338.1388,4784.36
152,4750.21,145.9898,336.5001,5180.34
153,4013.43,168.4369,344.5881,4920.16
154,4872.23,179.3525,352.5756,4877.69
155,4612.15,156.3645,342.7647,4993.25
156,4396.76,147.0724,336.705,5239.34
157,4810.46,163.963,343.8132,3772.98
158,4696.45,165.9864,340.797,5109.49
159,3665.96,173.0595,347.1535,4450.21
160,4675.59,162.4511,345.5958,5204.87
161,4266.59,166.3287,349.3955,4533.56
162,4504.02,150.6463,335.698,5104.42
163,4806.31,163.7193,342.0305,4891.93
164,4492.56,165.0289,347.9246,4399.33
165,2099.82,177.9596,351.1227,4468.84
166,4423.51,156.9992,348.4255,4878.83
167,4278.49,153.3573,332.9095,4791.96
168,4917.5,174.2236,349.2156,4728.75
169,3667.49,171.6872,345.1089,3837.61
170,5099.53,157.2935,340.4334,5060.31
171,4734.44,149.9837,339.7199,4923.39
172,3912.65,180.7268,351.6037,3858.29
173,4724.19,145.6808,336.2427,4628.25
174,5122.47,134.7995,329.8432,4171.94
175,4188.3,158.9799,341.1838,4415.62
176,4185.21,148.556,340.529,4787.81
177,4745.25,159.8036,345.4893,5038.83
178,5068.99,160.1873,341.6664,4861.47
179,4567.81,163.4085,344.3817,4865.11
180,3099.89,158.4491,346.2116,4017.25
181,5271.85,162.3493,344.0789,5106.46
182,5220.93,156.9091,337.3063,5007.06
183,4486.79,157.1251,345.5352,4975.36
184,5143.85,162.3152,344.3473,4670.41
185,5310.28,158.0898,341.7673,5061.85
186,4976.47,148.3974,343.2894,4577.53
187,5154.43,169.9549,348.3247,5106.57
188,4779.25,179.5597,354.6196,4578.54
189,5192.19,175.652,344.5081,5117.17
190,5151.32,153.6312,344.6805,4937.05
191,4719.63,159.6032,341.4977,5242.19
192,4369.12,140.9965,335.6097,4941.52
193,3715.85,197.5616,356.3919,3677.55
194,4820.08,145.9301,338.1268,4656.57
195,3320.49,192.9874,357.0535,4487.43
196,5185.5,159.332,342.6966,4781.89
197,5005.1,156.9161,344.0399,5174.22
