Itration,Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Running Update Time,Reward Loss,Running Env Steps
160,58.4147,618.32,24.1295,1570.43,160,-3226.77099609375,800000
161,69.7839,444.39,29.6786,838.34,161,-3973.662841796875,805000
162,66.9331,475.79,29.07,964.47,162,-3880.029052734375,810000
163,66.1458,358.93,28.5174,824.82,163,-3872.621826171875,815000
164,66.7347,422.08,28.675,1010.9,164,-4003.146240234375,820000
165,66.004,344.63,29.4909,847.75,165,-3998.193115234375,825000
166,66.6256,283.9,28.8024,804.43,166,-4046.1806640625,830000
167,69.9528,282.28,31.3378,637.9,167,-4269.08251953125,835000
168,61.8704,587.05,25.374,1054.48,168,-3666.191162109375,840000
169,66.0797,593.66,29.1615,1327.13,169,-4210.30908203125,845000
170,68.1635,281.9,28.1574,538.13,170,-4345.43212890625,850000
171,68.0409,176.34,29.9487,755.01,171,-4337.2177734375,855000
172,60.6154,265.88,24.1103,1076.24,172,-3868.88623046875,860000
173,69.2382,333.66,31.4672,736.05,173,-4546.595703125,865000
174,67.4428,237.53,28.8712,726.09,174,-4622.5791015625,870000
175,64.8522,249.45,29.5947,883.46,175,-4714.95068359375,875000
176,61.9235,622.92,25.5611,806.77,176,-4068.834228515625,880000
177,63.5147,507.07,26.4276,1323.52,177,-4392.19189453125,885000
178,62.3747,518.47,27.1264,849.99,178,-4516.38427734375,890000
179,64.8248,519.94,28.1114,650.26,179,-4782.6484375,895000
180,72.3053,284.4,32.426,738.68,180,-5321.0615234375,900000
181,69.4731,396.0,30.9705,858.98,181,-5178.517578125,905000
182,70.5525,391.49,30.3923,900.43,182,-5257.26318359375,910000
183,71.1499,262.47,34.7115,754.04,183,-5344.6865234375,915000
184,68.1036,306.4,31.2786,670.91,184,-5086.421875,920000
185,68.712,384.91,31.2672,881.19,185,-5432.390625,925000
186,67.4545,342.66,29.5781,713.42,186,-5516.6220703125,930000
187,71.4405,346.11,31.3958,906.53,187,-5671.78662109375,935000
188,69.0368,246.51,29.7738,857.19,188,-5551.65869140625,940000
189,66.456,255.24,27.8832,676.81,189,-5724.66064453125,945000
190,68.9417,219.96,29.5303,681.76,190,-5651.41650390625,950000
191,63.4587,331.96,27.4964,764.93,191,-5254.0224609375,955000
192,58.1232,724.08,23.2399,1296.88,192,-4707.70068359375,960000
193,69.0715,332.16,29.3264,763.51,193,-5996.7705078125,965000
194,65.7132,273.08,28.1392,737.36,194,-5984.85986328125,970000
195,71.4022,285.32,30.3397,620.21,195,-6050.16748046875,975000
196,67.5246,417.88,28.8474,862.48,196,-6091.17626953125,980000
197,69.9668,83.73,31.3322,496.18,197,-6385.63916015625,985000
198,60.493,408.26,25.4572,1237.72,198,-5525.8857421875,990000
199,63.5311,440.59,28.223,964.37,199,-6073.150390625,995000
200,71.3284,226.61,30.9747,628.33,200,-6726.05908203125,1000000
201,59.5014,733.31,24.8789,1336.9,201,-5285.25439453125,1005000
202,63.758,447.51,27.6955,936.61,202,-6420.06689453125,1010000
203,69.4236,387.39,31.6123,819.33,203,-6933.9716796875,1015000
204,71.4322,277.27,31.5221,569.63,204,-7105.42626953125,1020000
205,64.3372,475.94,28.0568,866.84,205,-6552.94482421875,1025000
206,68.7797,312.76,30.8307,638.93,206,-7193.0322265625,1030000
207,68.4063,293.63,30.2498,642.21,207,-7303.7509765625,1035000
208,68.3718,204.46,29.9179,647.73,208,-7365.35986328125,1040000
209,70.6581,189.92,32.1327,702.5,209,-7501.73828125,1045000
210,67.6035,168.24,28.749,436.03,210,-7585.13623046875,1050000
211,69.3751,204.16,28.2325,326.23,211,-7647.6318359375,1055000
212,68.2756,117.43,29.3903,336.19,212,-7667.7392578125,1060000
213,70.3093,102.54,29.9055,408.59,213,-8013.21875,1065000
214,68.5193,96.18,27.9498,231.65,214,-7964.30224609375,1070000
215,68.5841,153.9,28.1621,347.62,215,-8004.70166015625,1075000
216,68.9926,146.17,28.3921,514.02,216,-8218.7861328125,1080000
217,67.1958,171.57,27.5199,550.77,217,-8074.07373046875,1085000
218,67.4181,217.58,27.9814,749.42,218,-8150.72998046875,1090000
219,68.7125,153.07,29.4524,569.31,219,-8459.83984375,1095000
220,68.0519,182.56,29.5006,427.6,220,-8571.7451171875,1100000
221,66.5155,191.68,28.9661,603.31,221,-8464.7138671875,1105000
222,69.4151,167.63,30.0596,588.87,222,-8806.4716796875,1110000
223,67.2619,186.07,27.8651,634.54,223,-8690.529296875,1115000
224,70.0126,226.85,29.9767,615.81,224,-9118.564453125,1120000
225,70.7496,154.1,30.471,600.77,225,-9218.5146484375,1125000
226,68.6881,170.02,28.4967,525.68,226,-8980.6484375,1130000
227,68.6593,189.86,29.2198,464.56,227,-9418.4091796875,1135000
228,69.5123,183.52,29.4071,360.29,228,-9585.060546875,1140000
229,69.0537,156.32,29.0086,492.32,229,-9600.7275390625,1145000
230,71.6027,148.19,30.8254,613.44,230,-9858.0546875,1150000
231,69.2028,159.68,28.9511,378.1,231,-9647.6015625,1155000
232,69.5214,153.17,30.6648,432.17,232,-10112.1357421875,1160000
233,68.8085,129.13,28.5618,314.51,233,-9753.51953125,1165000
234,71.6897,162.68,30.0792,349.21,234,-10298.990234375,1170000
235,72.5919,185.86,31.0502,373.78,235,-10478.5576171875,1175000
236,69.4471,130.03,28.6741,416.14,236,-10089.9599609375,1180000
237,69.7395,205.86,29.7106,516.83,237,-10297.3388671875,1185000
238,70.549,161.67,30.6787,448.12,238,-10426.1103515625,1190000
239,69.4019,116.86,30.2556,474.71,239,-10681.4404296875,1195000
240,72.2255,136.21,32.2597,552.39,240,-10540.3408203125,1200000
241,68.504,110.39,29.752,488.23,241,-10598.94140625,1205000
242,71.7148,89.55,31.072,447.41,242,-10762.34765625,1210000
243,72.0837,89.78,31.8089,382.72,243,-10866.876953125,1215000
244,72.5367,123.43,31.6796,454.64,244,-11350.703125,1220000
245,73.2782,71.09,30.3691,469.02,245,-11068.619140625,1225000
246,72.7572,136.42,32.261,543.69,246,-11203.5166015625,1230000
247,70.9381,58.96,34.1548,520.32,247,-10802.9462890625,1235000
248,72.3969,57.72,32.0598,327.39,248,-11173.541015625,1240000
249,71.1439,133.97,30.0857,572.81,249,-11052.5,1245000
250,69.4854,155.02,28.8222,460.35,250,-11179.296875,1250000
251,71.3004,120.98,30.9953,524.95,251,-11389.5205078125,1255000
252,72.4364,115.6,30.31,357.92,252,-11456.3037109375,1260000
253,69.5908,151.84,29.6978,341.44,253,-11509.4501953125,1265000
254,70.62,165.12,30.1085,493.8,254,-11791.6328125,1270000
255,72.212,144.27,30.0235,471.82,255,-11938.3994140625,1275000
256,72.606,107.2,30.6009,374.37,256,-12286.9599609375,1280000
257,72.0053,85.08,29.2947,412.57,257,-12513.4453125,1285000
258,71.2074,109.94,29.8922,491.08,258,-12429.34375,1290000
259,71.8871,81.03,30.2668,403.74,259,-12896.1611328125,1295000
260,72.0385,101.07,31.1511,443.58,260,-12930.5224609375,1300000
261,72.584,123.02,30.2712,423.31,261,-12888.470703125,1305000
262,71.2324,110.13,29.6195,401.96,262,-12693.34765625,1310000
263,69.0478,107.13,28.6242,328.25,263,-12575.431640625,1315000
