Running Update Time,Real Det Return,Real Sto Return,Reward Loss,Itration,Running Forward KL,Running Env Steps,Running Reverse KL
190,3454.43,3420.02,-1233.10546875,190,17.8459,950000,11.9514
191,3417.12,3391.27,-1296.5845947265625,191,17.9043,955000,11.1101
192,3479.43,3450.53,-1261.57080078125,192,17.6627,960000,11.7064
193,3437.9,3412.98,-1390.0701904296875,193,18.5608,965000,11.938
194,3467.54,2932.16,-1609.94189453125,194,18.5316,970000,14.0204
195,3458.87,3430.21,-1241.976318359375,195,17.1689,975000,10.9376
196,3472.1,3459.6,-1343.469482421875,196,17.7504,980000,11.2579
197,3481.21,3260.47,-1313.005859375,197,17.0403,985000,10.8723
198,3449.1,3431.86,-1219.1767578125,198,16.9506,990000,11.1423
199,3484.15,3424.4,-1240.5780029296875,199,17.1032,995000,10.2704
