Running Forward KL,Real Det Return,Running Env Steps,Running Reverse KL,Itration,Running Update Time,Real Sto Return,Reward Loss
30.9735,204.86,150000,78.9072,30,30,200.89,-1995.896484375
39.2994,1025.76,155000,34.6623,31,31,1019.53,-1728.5235595703125
36.8094,983.15,160000,52.4916,32,32,982.35,-1696.624755859375
39.626,1005.4,165000,51.2536,33,33,1004.79,-1785.76416015625
32.3584,103.27,170000,95.1091,34,34,103.85,-1357.8955078125
36.2749,10.58,175000,100.71,35,35,10.96,1520.479736328125
32.6879,178.83,180000,37.6077,36,36,170.58,-1607.2705078125
32.8103,305.86,185000,61.2895,37,37,305.2,-1965.3204345703125
39.4607,1019.52,190000,35.9655,38,38,1017.64,-1999.7760009765625
38.9946,180.04,195000,47.5798,39,39,220.1,-2115.372802734375
38.7597,976.27,200000,53.5389,40,40,975.87,-2035.303955078125
39.9807,998.84,205000,53.8405,41,41,998.51,-2148.16455078125
39.8758,972.88,210000,55.6238,42,42,972.59,-2122.984619140625
40.0167,975.86,215000,55.4624,43,43,975.23,-2179.48876953125
36.4619,8.42,220000,182.9287,44,44,8.37,-1687.2457275390625
31.2764,131.84,225000,38.3841,45,45,149.7,-1398.598876953125
32.4224,241.21,230000,23.7969,46,46,240.92,-1613.1531982421875
32.2258,179.27,235000,132.2361,47,47,163.5,-1082.958251953125
38.6882,1003.72,240000,44.3118,48,48,1003.73,-2505.593505859375
33.0309,96.98,245000,127.6596,49,49,101.99,-856.700439453125
32.2316,216.09,250000,150.4228,50,50,212.01,-1447.490234375
39.124,661.04,255000,49.0747,51,51,663.52,-2600.19287109375
34.8697,589.42,260000,114.2476,52,52,238.13,-1285.696533203125
39.5339,989.49,265000,37.8513,53,53,989.9,-2683.302734375
39.0754,1007.41,270000,56.2754,54,54,1007.28,-2733.39501953125
32.2329,222.15,275000,83.9239,55,55,225.98,-1019.1046142578125
40.4489,1001.25,280000,51.1749,56,56,1001.08,-2913.566162109375
31.833,401.21,285000,24.3089,57,57,597.38,-2411.6611328125
33.2104,257.37,290000,41.6463,58,58,261.06,-1747.0909423828125
33.307,185.21,295000,153.3765,59,59,187.27,-999.8521728515625
33.343,182.51,300000,182.6098,60,60,182.04,-739.5726318359375
32.8855,176.93,305000,53.1774,61,61,179.12,-954.877197265625
33.8994,171.53,310000,90.9572,62,62,172.67,-1500.09716796875
31.9442,1231.73,315000,46.7187,63,63,999.24,-1720.821533203125
38.5791,984.75,320000,63.2432,64,64,941.59,-3255.17578125
38.9092,989.37,325000,53.5102,65,65,988.97,-3276.131591796875
38.1742,991.46,330000,50.7509,66,66,991.07,-3328.770263671875
33.8797,85.65,335000,46.6637,67,67,87.31,-3328.751220703125
35.1304,1050.88,340000,34.9498,68,68,724.04,-3329.595703125
39.4066,1011.56,345000,38.0746,69,69,1011.22,-3484.1796875
38.5629,995.44,350000,47.8155,70,70,996.06,-3475.765869140625
39.0969,977.17,355000,58.1121,71,71,977.3,-3547.613037109375
38.4442,974.39,360000,59.0615,72,72,973.99,-3564.77197265625
33.96,362.1,365000,44.3037,73,73,354.69,-2813.54541015625
35.1922,1047.28,370000,35.0933,74,74,1047.67,-3565.851806640625
37.3755,1058.05,375000,34.0246,75,75,1058.22,-3618.433349609375
38.1836,1049.19,380000,35.739,76,76,1049.25,-3690.021484375
33.9626,346.46,385000,77.5505,77,77,354.46,-2822.79833984375
32.8855,1284.46,390000,23.4306,78,78,1192.02,-3222.837890625
40.6168,978.16,395000,42.978,79,79,977.39,-3976.1376953125
38.6126,924.14,400000,61.3656,80,80,923.51,-3951.740966796875
38.7061,202.07,405000,60.5371,81,81,184.62,-4002.98583984375
37.7786,382.95,410000,48.9959,82,82,382.3,-4066.353271484375
37.8876,696.25,415000,49.1219,83,83,790.44,-4193.9384765625
38.0326,993.15,420000,55.0093,84,84,993.21,-4249.12158203125
37.6745,984.27,425000,51.2521,85,85,984.84,-4253.35009765625
37.7505,978.59,430000,51.1706,86,86,978.04,-4391.0888671875
36.8849,998.66,435000,36.2337,87,87,999.06,-4371.3466796875
37.3305,997.39,440000,40.4939,88,88,997.52,-4359.3271484375
36.4167,970.3,445000,29.3091,89,89,969.13,-4154.3544921875
35.9524,985.94,450000,26.2453,90,90,984.52,-4037.54736328125
31.8656,212.58,455000,65.4281,91,91,214.51,-3938.946533203125
30.7579,212.6,460000,17.0119,92,92,211.55,-2436.710205078125
32.9051,292.05,465000,27.5052,93,93,297.86,-3852.353515625
32.4797,251.95,470000,37.8752,94,94,263.79,-3914.22705078125
32.4372,294.22,475000,22.9626,95,95,300.09,-2762.760009765625
33.6869,1056.07,480000,21.4719,96,96,695.19,-4208.86669921875
31.744,292.25,485000,31.2252,97,97,296.45,-3165.143310546875
30.1099,213.28,490000,17.8673,98,98,231.83,-1964.95556640625
29.4931,148.81,495000,19.1362,99,99,151.25,-3415.673828125
32.3782,387.45,500000,22.4278,100,100,389.32,-3010.37744140625
31.4115,1042.39,505000,16.2289,101,101,499.4,-3988.461181640625
33.4303,589.25,510000,23.4712,102,102,538.12,-3988.737060546875
31.9947,410.17,515000,28.745,103,103,396.2,-4236.634765625
31.4762,322.5,520000,51.2491,104,104,316.27,-4492.34619140625
31.2592,405.22,525000,33.3989,105,105,386.46,-4592.82958984375
33.0705,355.14,530000,35.2222,106,106,334.59,-4807.72705078125
30.3545,406.58,535000,35.192,107,107,365.23,-4854.65283203125
31.3492,767.48,540000,30.3198,108,108,488.88,-4774.96484375
31.3002,328.53,545000,29.4659,109,109,359.44,-4625.685546875
28.7882,450.95,550000,50.2132,110,110,285.24,-4695.5380859375
30.405,146.44,555000,40.1696,111,111,221.28,-4540.05078125
31.8695,306.31,560000,44.2819,112,112,306.99,-4803.34326171875
32.2686,381.47,565000,52.6881,113,113,335.34,-5234.78076171875
31.4141,213.67,570000,41.8318,114,114,224.51,-5041.56787109375
33.1428,509.67,575000,25.5732,115,115,454.15,-5162.7294921875
32.7711,432.7,580000,47.4964,116,116,491.91,-5641.27099609375
29.091,260.6,585000,20.4445,117,117,260.47,-4150.580078125
29.0132,984.12,590000,97.534,118,118,335.27,-5090.3759765625
29.1332,286.43,595000,39.1902,119,119,278.31,-3880.4970703125
29.6203,276.89,600000,40.5938,120,120,276.76,-4754.9365234375
28.5731,247.94,605000,31.5914,121,121,290.27,-4417.41259765625
29.2071,556.32,610000,66.0507,122,122,482.97,-4635.63427734375
29.6008,357.76,615000,14.3608,123,123,315.65,-2178.652099609375
27.4868,510.47,620000,47.7962,124,124,487.88,-3115.14013671875
28.1398,463.65,625000,17.443,125,125,402.15,-2907.626220703125
28.0108,307.04,630000,24.4817,126,126,308.04,-2883.031494140625
28.0282,522.76,635000,36.0745,127,127,455.27,-4677.26171875
30.3152,411.75,640000,40.4046,128,128,347.25,-5375.79296875
28.9297,338.26,645000,40.854,129,129,319.53,-5167.4658203125
29.3759,355.9,650000,16.2798,130,130,355.43,-4311.3271484375
30.4679,257.25,655000,60.3792,131,131,253.94,-7002.87548828125
31.7261,232.88,660000,114.5441,132,132,236.47,-6652.84326171875
31.1528,260.27,665000,152.3031,133,133,222.19,-6941.20556640625
29.7872,291.04,670000,44.0596,134,134,449.77,-6048.75830078125
29.8028,551.68,675000,41.6459,135,135,424.91,-6016.9521484375
31.9469,126.52,680000,43.4653,136,136,89.3,-6329.81884765625
30.1125,373.91,685000,38.5136,137,137,364.67,-5321.15771484375
37.2325,1056.82,690000,27.2746,138,138,1059.35,-6652.1318359375
34.6206,1026.6,695000,28.219,139,139,903.67,-6550.306640625
32.2089,413.07,700000,93.1799,140,140,161.92,-7180.201171875
29.9499,458.29,705000,55.4656,141,141,450.97,-5651.9248046875
30.528,342.34,710000,17.0981,142,142,341.05,-5007.66357421875
35.3932,325.36,715000,92.8129,143,143,322.57,-6476.8212890625
33.6953,227.16,720000,69.7299,144,144,243.07,-7056.70166015625
38.4185,990.22,725000,39.6699,145,145,988.33,-7106.92236328125
29.8835,269.27,730000,15.0628,146,146,274.41,-3348.33203125
29.8967,489.71,735000,39.9462,147,147,506.09,-5950.8623046875
28.1805,569.48,740000,36.1484,148,148,523.25,-5746.90576171875
35.7143,1036.91,745000,22.2699,149,149,1033.56,-7167.857421875
35.6177,1051.99,750000,31.1062,150,150,1052.12,-7393.5439453125
36.2675,1049.97,755000,34.7437,151,151,1051.99,-7469.4609375
31.3134,631.93,760000,15.9696,152,152,414.45,-5398.06396484375
31.4649,152.79,765000,27.8626,153,153,147.65,-5426.515625
33.882,962.11,770000,22.2942,154,154,893.48,-6285.33203125
30.0962,678.66,775000,16.8403,155,155,732.92,-5703.0771484375
30.3825,458.63,780000,17.0473,156,156,505.53,-5572.119140625
34.1149,883.47,785000,35.9847,157,157,860.84,-7863.1826171875
36.4071,992.53,790000,50.9352,158,158,992.37,-7846.8447265625
35.6917,994.74,795000,41.9834,159,159,994.21,-7819.9921875
30.4191,330.39,800000,39.0185,160,160,331.82,-6944.2998046875
31.739,435.78,805000,24.4771,161,161,443.37,-6441.68505859375
30.8313,186.81,810000,38.6254,162,162,132.19,-7248.17529296875
29.6734,81.32,815000,33.4976,163,163,81.65,-6328.3115234375
31.492,392.34,820000,60.2259,164,164,382.97,-8063.77294921875
33.6235,192.12,825000,24.0634,165,165,193.0,-5519.66357421875
37.8361,278.95,830000,31.8852,166,166,282.96,-8419.0087890625
37.4644,977.56,835000,30.4472,167,167,976.7,-8301.615234375
32.9598,98.54,840000,48.2561,168,168,109.78,-9887.11328125
37.5743,1000.19,845000,36.654,169,169,1000.72,-8433.259765625
39.665,363.23,850000,42.448,170,170,366.51,-8607.0791015625
36.9121,1040.45,855000,32.5053,171,171,527.53,-8707.810546875
38.6383,1036.01,860000,31.5874,172,172,1035.89,-8721.71484375
32.1193,563.33,865000,30.0713,173,173,603.75,-7972.84765625
38.0766,986.98,870000,50.1503,174,174,985.6,-8820.564453125
37.1796,1030.66,875000,37.6086,175,175,1030.59,-8729.240234375
37.1856,1004.97,880000,35.6571,176,176,1005.21,-8984.482421875
37.3491,1021.49,885000,51.1126,177,177,1021.5,-9194.982421875
32.9149,564.16,890000,56.4613,178,178,919.96,-8869.4658203125
31.9944,202.4,895000,33.5438,179,179,178.74,-7600.2939453125
29.6116,825.5,900000,30.2671,180,180,216.07,-7310.60205078125
38.3916,1011.89,905000,52.3994,181,181,1011.97,-9624.0390625
40.6067,991.58,910000,54.0318,182,182,991.53,-9467.677734375
39.8786,995.3,915000,55.5889,183,183,995.3,-9505.732421875
39.0788,987.19,920000,42.3968,184,184,988.23,-9629.5849609375
39.1769,671.33,925000,44.9538,185,185,672.72,-9618.125
38.9006,973.07,930000,47.501,186,186,978.93,-9771.814453125
39.0725,996.9,935000,60.7191,187,187,996.6,-9947.6572265625
38.6313,995.82,940000,53.5018,188,188,995.91,-9941.1904296875
39.1551,989.97,945000,40.9026,189,189,989.83,-10004.2001953125
39.0876,999.25,950000,35.6868,190,190,998.24,-9943.5849609375
40.4119,991.31,955000,41.2233,191,191,991.35,-10006.9501953125
36.602,22.94,960000,128.6601,192,192,22.34,-7438.75341796875
37.1634,41.07,965000,59.6814,193,193,37.12,-7726.873046875
30.3074,159.5,970000,21.3959,194,194,146.12,-6941.18408203125
39.2828,995.35,975000,48.1903,195,195,996.26,-10308.36328125
36.8831,1021.31,980000,35.7938,196,196,1023.79,-10362.36328125
36.4905,1032.56,985000,42.6444,197,197,1025.08,-10522.583984375
32.2046,299.49,990000,50.6771,198,198,311.08,-9945.296875
31.4378,44.03,995000,19.2418,199,199,44.4,-8902.59375
