Running Update Time,Itration,Reward Loss,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Running Env Steps
81,81,-799.5999755859375,153.7,136.8042,36.8878,131.16,405000
82,82,-817.8968505859375,21.44,173.4962,37.6456,20.61,410000
83,83,-721.9065551757812,88.44,23.8085,33.3303,90.21,415000
84,84,-761.3827514648438,524.44,29.2879,33.0617,391.66,420000
85,85,-777.6585083007812,424.71,42.9673,36.3313,427.7,425000
86,86,-885.2356567382812,973.52,53.1942,37.4297,924.81,430000
87,87,-902.8043823242188,1007.08,43.7549,38.7615,1006.88,435000
88,88,-919.0758056640625,1006.2,41.7882,38.6369,1006.1,440000
89,89,-898.6484985351562,1063.07,31.9253,36.2159,1064.77,445000
90,90,-849.99951171875,48.7,58.5791,35.2302,49.78,450000
91,91,-954.6640014648438,997.33,58.3135,38.5967,997.22,455000
92,92,-944.155029296875,1032.86,32.8334,37.7183,1031.72,460000
93,93,-965.7694091796875,1036.74,35.1888,39.9329,1037.06,465000
94,94,-969.9712524414062,1012.49,28.5753,35.2333,1029.63,470000
95,95,-991.48193359375,997.15,43.6809,36.1807,996.56,475000
96,96,-982.5293579101562,1055.96,32.8046,37.2839,1040.7,480000
97,97,-1022.8053588867188,985.28,43.845,36.9025,985.4,485000
98,98,-1013.732666015625,1043.01,36.7463,37.3086,1042.36,490000
99,99,-1047.49267578125,1018.45,37.3488,37.0066,919.29,495000
100,100,-1048.3409423828125,82.37,159.3355,35.761,87.74,500000
101,101,-836.8505249023438,209.84,81.1426,31.9957,210.89,505000
102,102,-267.2994689941406,323.27,20.3809,28.984,324.87,510000
103,103,-924.8677368164062,288.75,34.9952,31.348,288.97,515000
104,104,-1106.8250732421875,996.02,34.6832,37.1301,994.69,520000
105,105,-1117.0572509765625,995.85,36.8022,38.3934,993.36,525000
106,106,-1130.86083984375,970.35,57.3365,38.7548,970.26,530000
107,107,-1127.1561279296875,1035.58,29.0842,38.2573,1035.66,535000
108,108,-1154.2388916015625,1007.88,38.049,37.0013,1007.95,540000
109,109,-1165.1507568359375,1005.17,40.8398,37.4585,1005.27,545000
110,110,-1184.469970703125,991.81,53.4648,38.293,990.5,550000
111,111,-1198.040771484375,1014.12,48.9461,37.7875,1014.03,555000
112,112,-1201.433837890625,974.24,52.932,38.5949,973.96,560000
113,113,-1218.6556396484375,995.49,47.8438,38.4288,995.29,565000
114,114,-1221.6900634765625,988.12,49.3802,37.8931,986.98,570000
115,115,-1233.8106689453125,973.63,53.0513,37.6394,973.31,575000
116,116,-1241.1212158203125,994.48,39.5576,37.1819,993.92,580000
117,117,-1253.0660400390625,1005.05,41.4414,38.2291,997.2,585000
118,118,-1263.3109130859375,992.41,37.2111,38.2537,991.63,590000
119,119,-1286.73388671875,990.12,38.1313,38.4982,991.1,595000
120,120,-1307.6031494140625,989.76,40.1795,38.9016,989.68,600000
121,121,-1327.2021484375,986.28,47.9931,39.2335,985.96,605000
122,122,-1342.7313232421875,987.9,43.6463,39.4148,987.25,610000
123,123,-1332.91015625,677.59,36.6354,37.4476,672.98,615000
124,124,-1319.4404296875,1012.27,33.691,35.6965,930.3,620000
125,125,-1383.3580322265625,1004.78,36.6493,37.9623,1003.65,625000
126,126,-1387.8956298828125,998.7,41.2197,40.2138,998.32,630000
127,127,-1423.1141357421875,3.11,240.2978,40.1395,3.23,635000
128,128,-1416.4197998046875,802.41,40.0999,38.6646,509.46,640000
129,129,-1445.9844970703125,997.3,58.8915,40.9465,997.1,645000
130,130,-1455.3167724609375,991.94,53.7735,38.5485,991.75,650000
131,131,-1122.1114501953125,208.45,30.3546,32.3735,211.11,655000
132,132,-1325.1124267578125,270.34,33.5729,34.214,270.7,660000
133,133,-1481.9482421875,982.25,44.4764,38.3893,981.19,665000
134,134,-1504.5050048828125,994.02,53.5068,38.2809,993.68,670000
135,135,-1457.8126220703125,1013.53,27.6519,37.2714,1011.13,675000
136,136,-1544.302001953125,1000.53,47.9433,40.3032,1000.6,680000
137,137,-1537.6051025390625,999.82,45.0359,34.9272,999.15,685000
138,138,-1567.6175537109375,1009.31,48.8932,38.2413,1009.26,690000
139,139,-1553.139892578125,1041.1,39.6623,37.8846,1040.88,695000
140,140,-1563.3626708984375,1049.28,39.1429,37.4202,1049.05,700000
141,141,-1572.7281494140625,1050.25,36.4746,37.2792,1050.53,705000
142,142,-1581.19873046875,1049.56,27.4826,36.7072,1049.8,710000
143,143,-1631.6480712890625,996.26,51.3853,40.6845,995.72,715000
144,144,-1655.3057861328125,999.03,49.6938,40.6806,998.75,720000
145,145,-1652.6082763671875,995.7,44.4117,41.2098,995.61,725000
146,146,-1637.8082275390625,996.3,27.3477,38.792,997.02,730000
147,147,-1645.651611328125,998.3,28.5945,39.4083,998.36,735000
148,148,-1673.352783203125,1017.38,31.4035,36.9147,1016.68,740000
149,149,-1718.2056884765625,11.78,212.6916,37.5973,12.15,745000
150,150,-1755.1978759765625,8.38,96.5517,37.9797,8.75,750000
151,151,-1742.4080810546875,714.58,38.2344,38.1744,661.54,755000
152,152,-1579.711181640625,185.34,42.2217,33.5299,187.07,760000
153,153,-1488.20166015625,222.71,75.3982,33.577,222.42,765000
154,154,-1603.3131103515625,263.74,47.1701,33.9453,262.91,770000
155,155,-1808.1295166015625,999.18,41.1266,38.4573,998.68,775000
156,156,-1802.31982421875,1023.37,28.0308,36.6908,1022.73,780000
157,157,-1779.2725830078125,996.72,35.665,38.4205,995.05,785000
158,158,-1836.6768798828125,995.05,47.1423,39.0539,994.48,790000
159,159,-1833.0045166015625,997.36,33.7974,37.6008,996.46,795000
160,160,-1655.0457763671875,294.58,30.1762,32.1463,295.79,800000
161,161,-727.656005859375,275.89,23.5735,32.8717,277.84,805000
162,162,-1177.6771240234375,264.44,20.7421,33.5197,277.62,810000
163,163,-1908.8109130859375,999.38,49.0262,37.993,999.22,815000
164,164,-1893.803466796875,1000.34,38.4762,36.9185,998.79,820000
165,165,-1912.76611328125,1002.07,34.3755,37.7914,1004.91,825000
166,166,-1956.9095458984375,55.3,60.3411,37.5721,55.48,830000
167,167,-1941.4898681640625,985.11,37.331,37.201,984.49,835000
168,168,-1551.6656494140625,392.18,32.3867,32.4437,389.84,840000
169,169,-1939.5762939453125,388.27,67.6011,33.8819,779.58,845000
170,170,-1968.9630126953125,1026.6,26.9815,35.0898,1025.7,850000
171,171,-2019.296875,991.6,49.2106,38.0972,990.0,855000
172,172,-1989.872802734375,103.78,41.4238,37.6757,103.71,860000
173,173,-2074.7080078125,990.03,59.2262,36.9506,953.51,865000
174,174,-2089.4189453125,989.81,58.7276,38.9983,989.75,870000
175,175,-2076.70166015625,503.61,33.7826,38.6992,821.46,875000
176,176,-2120.243408203125,985.73,53.9909,38.9347,985.56,880000
177,177,-1523.9248046875,155.8,25.1968,34.9124,118.89,885000
178,178,-1523.9072265625,209.19,46.0107,31.395,213.69,890000
179,179,-1321.4454345703125,89.97,44.2624,32.4597,97.4,895000
180,180,-2083.142578125,189.92,33.0625,34.7367,327.82,900000
181,181,-1762.1998291015625,648.91,30.0636,31.632,591.69,905000
182,182,-1797.9598388671875,531.08,25.7424,31.0314,521.61,910000
183,183,-2170.655517578125,1050.56,31.721,36.3391,742.82,915000
184,184,-2140.669677734375,1035.27,25.7707,34.9203,1037.11,920000
185,185,-2090.347412109375,1026.09,21.8528,34.6149,1030.4,925000
186,186,-2206.94140625,475.7,41.6405,37.421,436.22,930000
187,187,-2223.14697265625,1036.78,34.8758,35.3272,1037.32,935000
188,188,-2259.25927734375,1028.36,37.1019,36.7302,1027.91,940000
189,189,-2231.666015625,1011.17,29.6312,36.9505,1012.24,945000
190,190,-2331.701416015625,975.36,48.9886,38.4867,975.3,950000
191,191,-2335.92236328125,997.79,40.5953,38.1218,997.92,955000
192,192,-2354.375244140625,993.5,39.924,37.4029,993.71,960000
193,193,-2376.6865234375,995.67,36.5234,38.3564,997.11,965000
194,194,-2388.069580078125,968.51,54.0617,38.5204,969.24,970000
195,195,-2180.034423828125,4.86,56.2829,35.3188,4.78,975000
196,196,-2217.29931640625,100.07,53.1974,33.7706,93.86,980000
197,197,-2235.334228515625,13.74,74.7583,37.9631,13.95,985000
198,198,-2384.32666015625,1004.15,47.2487,36.4819,1004.5,990000
199,199,-2498.715576171875,995.25,58.8628,39.9164,995.1,995000
