Running Update Time,Running Reverse KL,Running Forward KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return
47,240.0471,345.618,47,-56942.2265625,235000,881.01,1300.14
48,226.2307,332.0098,48,-55635.34765625,240000,913.21,1573.52
49,240.325,346.4499,49,-57464.22265625,245000,1059.37,1138.31
50,205.788,325.8777,50,-53736.40234375,250000,880.61,1455.53
51,277.4094,377.0133,51,-62101.29296875,255000,652.94,1492.48
52,218.3454,322.6024,52,-51837.453125,260000,1326.86,2091.46
53,198.8649,318.5452,53,-49858.328125,265000,602.36,2155.46
54,234.7525,329.2853,54,-53048.35546875,270000,556.05,2126.13
55,212.535,324.4706,55,-51576.890625,275000,665.64,1659.26
56,199.4319,318.7435,56,-50895.66015625,280000,1741.74,1668.71
57,170.9294,323.1057,57,-48906.3515625,285000,1487.41,1881.55
58,210.8996,343.8574,58,-55080.76171875,290000,1691.09,1757.01
59,207.0155,327.4492,59,-51233.12109375,295000,2665.62,3049.86
60,198.8144,314.1627,60,-50245.921875,300000,1730.98,2396.69
61,169.4816,311.6109,61,-47064.44140625,305000,1552.72,2228.21
62,153.9064,315.3825,62,-44705.80859375,310000,2648.43,2845.66
63,127.5899,286.6124,63,-34969.1015625,315000,1471.36,3556.08
64,111.8289,291.8716,64,-29275.87890625,320000,1960.93,2969.89
65,157.2921,306.5624,65,-44643.55859375,325000,1693.42,3292.14
66,163.4434,314.3638,66,-49054.6875,330000,3401.19,3401.16
67,229.426,320.7122,67,-53018.17578125,335000,2642.36,3263.28
68,118.1819,298.003,68,-36265.6875,340000,1621.87,2620.69
69,136.939,301.3337,69,-41921.59375,345000,2397.16,2777.12
70,167.5344,310.9489,70,-49297.046875,350000,3718.73,3577.88
71,153.0945,304.1653,71,-45313.7734375,355000,2759.55,3482.48
72,122.3168,299.655,72,-37467.796875,360000,1892.15,2569.9
73,131.1377,300.7739,73,-42020.50390625,365000,3145.11,2920.78
74,140.0686,302.6329,74,-43117.43359375,370000,3831.13,3542.37
75,129.8545,298.5435,75,-42319.12109375,375000,3511.31,4051.37
76,152.599,301.8894,76,-45851.171875,380000,4746.19,4756.49
77,125.9002,302.0324,77,-41732.4140625,385000,2929.52,3229.03
78,137.7807,306.6149,78,-47749.40234375,390000,2257.55,3373.03
79,191.758,310.8598,79,-55616.8984375,395000,3260.88,2988.91
80,135.0095,303.4586,80,-47393.98046875,400000,4473.56,3391.45
81,104.9281,296.1814,81,-42257.60546875,405000,2342.54,3772.83
82,130.0709,301.3702,82,-45008.95703125,410000,3606.53,3840.29
83,139.3559,307.9652,83,-49501.3515625,415000,4068.51,3201.83
84,119.9044,297.6042,84,-45875.1875,420000,3458.41,3947.7
85,104.3687,301.1943,85,-42091.578125,425000,2730.47,3739.17
86,150.889,304.9064,86,-52988.953125,430000,4162.16,4341.41
87,118.5681,300.8102,87,-45883.359375,435000,4889.1,4280.96
88,122.8213,303.4056,88,-46718.94921875,440000,5294.88,4455.42
89,245.5415,342.5184,89,-67185.9140625,445000,2439.13,3336.56
90,152.3281,301.6584,90,-50776.34375,450000,4610.07,4417.07
91,155.3555,306.7356,91,-54633.140625,455000,4607.81,3398.55
92,143.1662,306.0783,92,-54472.11328125,460000,3359.94,3446.08
93,110.1337,294.1908,93,-47985.1015625,465000,4744.78,4452.85
94,136.5648,300.1828,94,-51200.28125,470000,5265.87,4052.48
95,94.1242,292.6101,95,-42173.4765625,475000,4942.29,3373.84
96,140.9749,302.9853,96,-54802.140625,480000,4321.75,3859.11
97,151.5051,304.6517,97,-55171.79296875,485000,5142.87,4294.81
98,114.27,287.2557,98,-48985.0390625,490000,4833.26,4499.74
99,110.9264,293.9235,99,-47526.7734375,495000,4116.48,3844.21
100,124.5475,299.3316,100,-53212.98828125,500000,3824.67,3795.99
101,164.1644,310.2597,101,-59164.8671875,505000,5050.83,4452.8
102,100.3729,294.3997,102,-49315.0,510000,4461.01,4233.55
103,131.0197,297.7456,103,-54828.89453125,515000,2342.71,4263.22
104,131.8374,298.7823,104,-53199.67578125,520000,4157.15,4520.89
105,109.7902,291.2818,105,-50537.7890625,525000,4585.88,4087.35
106,126.3342,299.229,106,-55766.1015625,530000,3760.19,3733.38
107,145.6671,301.7644,107,-57395.1640625,535000,2918.21,3635.0
108,159.4554,303.1017,108,-59245.46484375,540000,3830.4,4337.73
109,147.5737,297.3485,109,-57632.375,545000,1664.99,3439.85
110,102.1641,297.1406,110,-54761.7578125,550000,4186.23,4145.94
111,140.4223,299.0477,111,-58473.32421875,555000,4606.23,4333.84
112,118.7055,298.5368,112,-58147.1796875,560000,4506.5,3689.06
113,142.6577,302.2816,113,-60391.7109375,565000,1791.93,4108.38
114,117.8207,298.2126,114,-56741.11328125,570000,4501.07,4393.78
115,134.9284,299.182,115,-60814.38671875,575000,4788.28,4159.93
116,211.8482,317.1696,116,-68504.8984375,580000,3036.27,4397.34
117,139.9504,303.9636,117,-61628.8984375,585000,4836.97,4313.19
118,99.5997,295.2025,118,-57705.12109375,590000,3190.6,4464.37
119,155.2553,301.2502,119,-65820.9453125,595000,4902.18,4564.87
120,150.2303,295.1887,120,-63222.36328125,600000,1319.57,4167.34
121,118.8326,296.3551,121,-62624.359375,605000,2603.02,4597.6
122,147.8685,302.0585,122,-64881.67578125,610000,2835.48,3609.02
123,115.554,291.9052,123,-61148.7421875,615000,2534.81,4795.68
124,116.5512,294.3257,124,-62053.7578125,620000,2662.04,4580.75
125,118.0536,294.596,125,-62664.67578125,625000,3418.79,4755.32
126,120.8817,296.8261,126,-63238.69140625,630000,4349.58,4783.26
127,120.9269,296.9691,127,-63940.328125,635000,2591.71,4637.86
128,101.9279,295.0427,128,-64057.95703125,640000,4909.6,4708.27
129,131.0389,297.4652,129,-65211.40234375,645000,5241.47,5079.12
130,124.8661,296.176,130,-65901.3984375,650000,4849.69,4682.15
131,112.3181,293.5073,131,-64743.08984375,655000,4969.46,4625.0
132,102.5956,288.4026,132,-63372.69921875,660000,1236.33,4678.83
133,103.0764,293.0238,133,-65398.09375,665000,5054.23,4540.3
134,116.3868,295.6803,134,-66858.8671875,670000,2647.13,4570.79
135,99.8493,290.4482,135,-66436.5,675000,4212.82,4728.28
136,130.5459,293.7298,136,-68975.4609375,680000,4363.94,4501.51
137,111.1015,294.786,137,-68017.0078125,685000,4837.6,5067.67
138,93.8574,289.9482,138,-67609.5546875,690000,4894.78,4936.15
139,100.6279,294.1758,139,-69312.4375,695000,5223.97,5252.58
140,105.8521,287.7972,140,-69934.1875,700000,2176.13,4463.85
141,107.0391,288.4878,141,-69224.9921875,705000,5314.93,4371.32
142,154.0824,296.6366,142,-71771.7109375,710000,1615.07,4148.85
143,115.5744,297.2315,143,-70608.2265625,715000,5301.97,5051.14
144,119.7258,292.4731,144,-70523.8515625,720000,1050.41,4375.3
145,120.5976,296.89,145,-72344.28125,725000,735.9,3775.74
146,105.9629,299.005,146,-71746.796875,730000,3905.89,3702.91
147,100.4635,294.7207,147,-72803.0625,735000,5143.97,4821.05
148,119.2861,296.1575,148,-73812.34375,740000,5219.23,5098.17
149,142.0007,304.4946,149,-73857.1328125,745000,4787.28,4836.03
150,126.2796,294.9548,150,-74249.8671875,750000,3798.87,5227.78
151,124.3306,292.5526,151,-73723.21875,755000,3680.27,4306.42
152,115.9443,297.5999,152,-74925.2265625,760000,4963.84,4775.47
153,108.8479,297.5398,153,-75124.421875,765000,5028.54,4888.74
154,103.2795,301.1174,154,-76185.40625,770000,2599.35,4945.69
155,119.259,297.6955,155,-75704.125,775000,3535.51,3835.87
156,102.1167,293.6363,156,-74943.0078125,780000,3090.66,5037.67
157,107.702,294.7341,157,-76310.25,785000,1149.18,4701.15
158,106.0863,302.5544,158,-77087.2265625,790000,3277.72,4341.78
159,116.5999,301.441,159,-76342.453125,795000,3809.1,4162.29
160,96.2921,292.3706,160,-76536.078125,800000,3046.41,4273.44
161,103.9987,291.5874,161,-77663.1171875,805000,4134.24,4879.65
162,104.3571,297.4229,162,-77852.09375,810000,2799.67,4604.65
163,105.1413,300.3798,163,-78484.921875,815000,4714.26,5058.64
164,94.2145,289.7175,164,-76816.015625,820000,4042.42,4218.69
165,105.1172,290.8927,165,-78868.0859375,825000,670.45,4393.53
166,89.6084,288.0031,166,-78321.875,830000,5324.2,4985.81
167,93.2413,288.7401,167,-78393.2578125,835000,3243.39,5039.49
168,102.5157,286.0433,168,-79224.8515625,840000,689.78,4903.08
169,91.1233,284.3823,169,-79365.8203125,845000,4414.54,5251.43
170,101.4537,290.6717,170,-80392.2578125,850000,998.84,4966.0
171,88.0216,287.2719,171,-79689.0,855000,1788.4,5191.23
172,103.26,292.4833,172,-80138.7890625,860000,4709.71,4805.83
173,93.6079,285.7813,173,-80553.5703125,865000,2026.11,4751.17
174,85.8712,285.9809,174,-80098.0546875,870000,559.61,4652.93
175,85.8729,284.9469,175,-80259.65625,875000,1809.1,4849.42
176,103.4508,293.3681,176,-81694.109375,880000,2135.24,4345.91
177,101.4132,288.322,177,-82358.03125,885000,4432.5,5138.98
178,92.7436,289.0071,178,-82837.9140625,890000,4296.56,4962.07
179,130.4721,289.7685,179,-81558.4453125,895000,907.11,4677.27
180,82.3333,281.632,180,-82277.1171875,900000,4985.23,5217.87
181,88.7154,288.178,181,-82187.2734375,905000,5241.95,5203.94
182,88.6951,284.4446,182,-82677.765625,910000,999.0,4526.25
183,84.3859,284.8717,183,-83649.3984375,915000,5191.63,5235.56
184,223.7965,317.0895,184,-81882.078125,920000,490.03,3480.73
185,99.1739,289.893,185,-82726.3671875,925000,1580.82,4777.45
186,116.6017,298.401,186,-83706.078125,930000,4515.5,4259.82
187,130.3605,295.9572,187,-83211.9765625,935000,571.29,3821.2
188,97.6129,288.0976,188,-83625.03125,940000,2580.61,5217.77
189,111.8753,294.4763,189,-83115.046875,945000,1111.07,3357.53
190,80.6496,285.9969,190,-84015.7578125,950000,2443.3,4302.92
191,138.482,295.956,191,-84270.0546875,955000,1886.21,4527.23
192,88.0025,287.585,192,-85876.5390625,960000,4390.48,4825.53
193,105.4502,291.9837,193,-85005.1171875,965000,1278.15,4595.05
194,122.4117,290.3259,194,-85121.7109375,970000,2299.35,3641.04
195,109.3814,294.0141,195,-85046.984375,975000,4588.95,4515.24
196,89.4131,290.2117,196,-85745.9609375,980000,4380.94,4950.56
197,124.794,296.1184,197,-86471.7265625,985000,5106.25,5085.17
198,82.3715,286.2339,198,-85834.78125,990000,4254.79,5208.33
199,83.3384,286.2938,199,-86363.0546875,995000,5329.92,5006.23
200,86.2681,287.5914,200,-86343.7109375,1000000,5049.53,4973.59
201,90.2177,289.122,201,-86303.390625,1005000,4530.23,4529.53
202,85.7691,288.9388,202,-87376.4765625,1010000,5358.13,4332.47
203,90.9975,290.7339,203,-86608.8125,1015000,2242.67,4406.68
204,85.1988,288.5279,204,-87863.234375,1020000,1566.67,5154.53
205,99.1391,288.0546,205,-87182.0234375,1025000,3674.41,4262.46
206,81.1877,282.0881,206,-87165.203125,1030000,3098.11,4932.9
207,107.3459,287.8119,207,-85259.765625,1035000,2346.72,4163.41
208,109.2377,292.278,208,-86845.78125,1040000,1050.79,3657.14
209,99.0155,292.215,209,-87018.3984375,1045000,3723.21,4106.3
210,85.9172,284.8231,210,-87782.3828125,1050000,4246.5,5006.4
211,104.7399,292.5993,211,-88038.1875,1055000,5078.87,4792.73
212,100.0358,293.7249,212,-87694.2265625,1060000,3469.25,4099.8
213,104.6881,289.7539,213,-87551.921875,1065000,2106.72,4756.26
214,104.706,292.0088,214,-87484.828125,1070000,3950.05,4186.56
215,105.6889,291.6453,215,-88476.5859375,1075000,3932.53,4193.87
216,92.5367,289.8427,216,-88558.9609375,1080000,4997.95,4813.81
217,98.0522,288.0894,217,-88458.6171875,1085000,3208.96,4322.9
218,96.3658,291.8914,218,-88566.3984375,1090000,4972.17,4425.73
219,98.3175,286.5319,219,-88401.0078125,1095000,5058.05,4555.15
220,107.8949,295.8472,220,-88129.0859375,1100000,5291.54,4243.4
221,86.081,278.8093,221,-88211.890625,1105000,5341.65,4523.46
222,115.0115,297.3644,222,-86310.921875,1110000,3536.2,4567.89
223,89.916,286.9568,223,-89776.3203125,1115000,5294.34,4364.3
224,126.0492,298.74,224,-81350.328125,1120000,3220.73,3488.1
225,108.9311,291.1932,225,-85621.7578125,1125000,5212.5,2822.53
226,129.7423,306.2983,226,-84191.84375,1130000,3186.73,3547.71
227,159.0022,303.2212,227,-71265.9765625,1135000,3165.75,2701.08
228,141.6415,298.2248,228,-82843.625,1140000,5178.9,4471.53
229,103.691,299.7785,229,-89351.90625,1145000,4887.15,4859.97
230,126.5841,303.5904,230,-87130.9140625,1150000,5243.07,5138.04
231,195.3585,312.2755,231,-85311.0,1155000,4947.45,4792.03
232,106.0869,289.4848,232,-90282.7734375,1160000,5268.08,4735.99
233,106.7796,286.7493,233,-90922.6171875,1165000,5085.31,4731.24
234,99.8967,284.46,234,-91387.3671875,1170000,5308.23,5067.08
235,79.5437,275.4365,235,-88656.3671875,1175000,5342.12,5237.48
236,85.2381,279.7226,236,-89633.5234375,1180000,5037.42,4677.15
237,93.8767,290.1411,237,-90411.46875,1185000,3882.71,3759.98
238,97.2005,292.7865,238,-90948.0234375,1190000,3427.69,4498.78
239,99.9041,294.4606,239,-91234.9921875,1195000,3780.44,3314.86
240,94.2549,288.8642,240,-91589.203125,1200000,3963.79,4380.5
241,100.6106,294.175,241,-90705.09375,1205000,4032.67,3619.59
242,98.6908,299.794,242,-86629.625,1210000,3410.05,2413.73
243,97.8207,295.5222,243,-91674.328125,1215000,2436.7,3466.08
244,106.9036,298.8067,244,-88996.0390625,1220000,4111.59,3955.39
245,112.7607,300.8699,245,-90811.9375,1225000,4087.72,4026.77
246,115.0588,303.9979,246,-91563.8203125,1230000,3906.59,3996.86
247,103.4773,295.1399,247,-92203.7734375,1235000,5280.53,4439.46
248,121.1236,299.4178,248,-91996.578125,1240000,5292.47,4315.32
249,113.8711,296.6868,249,-92383.4453125,1245000,4974.5,4217.41
250,111.7059,300.1582,250,-91986.9375,1250000,5034.0,4697.23
251,107.4086,298.9641,251,-91230.84375,1255000,4819.09,4519.78
252,108.5428,297.7083,252,-91319.9921875,1260000,3736.54,4355.6
253,159.2955,314.413,253,-89588.7890625,1265000,1617.63,3783.59
254,106.7137,294.8019,254,-92855.4609375,1270000,2931.87,4720.21
255,221.2133,335.6172,255,-91972.96875,1275000,3219.06,3316.47
256,170.7548,329.6303,256,-91798.640625,1280000,2037.01,2759.07
257,170.8078,318.9876,257,-88912.3828125,1285000,1627.84,3033.37
258,183.7469,328.4316,258,-89650.0234375,1290000,1546.14,1900.88
259,223.3986,332.4212,259,-90349.90625,1295000,1735.73,1487.25
260,199.8311,368.0107,260,-84613.5546875,1300000,610.18,1251.58
261,140.9071,312.3167,261,-84088.6640625,1305000,1644.29,1523.52
262,179.1242,312.6902,262,-84258.125,1310000,1151.91,1543.17
263,209.5342,364.9801,263,-80593.65625,1315000,694.9,1035.88
264,165.1112,306.3774,264,-82605.7734375,1320000,1675.25,1706.31
265,198.2562,339.7651,265,-81783.5625,1325000,1135.58,2081.02
266,246.5365,355.9274,266,-79437.671875,1330000,778.35,1099.07
267,309.5514,471.9999,267,-80834.1796875,1335000,215.82,227.21
268,229.4835,395.6008,268,-84425.6171875,1340000,564.54,666.99
269,416.6855,386.7754,269,-79906.5546875,1345000,1085.13,1633.44
270,259.6779,380.0054,270,-85954.71875,1350000,983.29,1264.16
271,311.443,437.3765,271,-88036.7578125,1355000,520.8,783.71
272,247.5649,394.0076,272,-88343.5390625,1360000,1106.71,939.86
273,275.5914,406.0469,273,-87024.421875,1365000,832.49,943.82
274,239.6005,400.0294,274,-89760.03125,1370000,1076.79,1329.89
275,398.0664,422.3518,275,-89353.0078125,1375000,1021.57,1078.41
276,261.6206,384.4909,276,-87865.5078125,1380000,1296.84,977.64
277,409.8475,397.5026,277,-84259.921875,1385000,907.53,862.07
278,292.0466,404.3551,278,-90963.0,1390000,877.92,986.95
279,255.7808,368.3088,279,-92226.3984375,1395000,1357.1,1359.22
280,203.6638,366.6297,280,-91222.6875,1400000,1793.35,1452.56
281,327.479,391.1254,281,-92582.5625,1405000,930.09,1197.74
282,245.5705,381.6872,282,-91547.4609375,1410000,1196.31,856.41
283,208.6674,377.2585,283,-90444.515625,1415000,1244.61,1225.55
284,388.5232,408.0797,284,-91001.7578125,1420000,1220.07,1120.74
285,290.0194,395.1982,285,-92102.5625,1425000,819.8,1267.61
286,271.8128,406.575,286,-93267.0,1430000,328.46,679.59
287,265.8446,417.7372,287,-88034.34375,1435000,886.49,633.37
288,274.3812,437.033,288,-90980.34375,1440000,383.45,857.69
289,271.1261,404.5537,289,-91514.4296875,1445000,1069.77,1290.11
290,273.8833,393.7255,290,-93030.5546875,1450000,446.05,760.11
291,305.9963,421.0896,291,-90383.3359375,1455000,313.42,613.12
292,248.3661,356.4689,292,-93260.4609375,1460000,473.96,376.72
293,477.0446,351.3014,293,-93369.3515625,1465000,1275.04,873.04
294,296.5264,378.0689,294,-94099.0625,1470000,240.89,482.81
295,249.3689,341.166,295,-93586.65625,1475000,518.25,1803.35
296,331.4749,443.114,296,-92160.75,1480000,237.57,409.45
297,264.6036,378.4462,297,-94399.171875,1485000,686.96,1313.26
298,359.6029,460.8158,298,-96831.9921875,1490000,179.81,207.57
299,292.9551,392.7955,299,-94493.0078125,1495000,591.65,526.39
300,245.8822,363.6561,300,-95896.765625,1500000,1752.52,1646.48
301,298.5604,375.0283,301,-95740.9296875,1505000,420.96,860.67
302,270.7083,383.7555,302,-95229.3671875,1510000,1091.8,1066.35
303,328.4194,408.4101,303,-96213.71875,1515000,586.82,622.19
304,306.2296,391.9364,304,-96246.2265625,1520000,659.25,1121.64
305,275.3441,365.4909,305,-97004.0859375,1525000,2075.17,2232.4
306,383.5935,388.107,306,-97062.375,1530000,1711.0,1529.25
307,347.4198,386.9493,307,-93096.5703125,1535000,1686.12,1745.5
308,273.1638,396.81,308,-94528.96875,1540000,2366.21,2799.24
309,272.4282,359.6538,309,-95967.9765625,1545000,3817.11,3178.82
310,403.8735,382.3196,310,-96883.5703125,1550000,783.09,1102.09
311,394.2147,356.4665,311,-95957.1875,1555000,1559.38,1760.95
312,345.5831,367.0322,312,-90810.078125,1560000,1729.12,1656.59
313,375.2523,361.8727,313,-95858.1015625,1565000,1728.55,1651.88
314,364.6527,357.3715,314,-95128.109375,1570000,1928.66,2288.34
315,183.3242,327.8257,315,-94993.7890625,1575000,4511.79,4178.99
316,288.4127,356.5853,316,-95700.03125,1580000,2039.49,1997.42
317,290.4719,356.1605,317,-95225.953125,1585000,3002.09,2612.47
318,715.1741,410.1157,318,-96579.7578125,1590000,912.77,1004.67
319,293.8687,357.4843,319,-96660.7265625,1595000,2533.56,2400.21
320,288.5035,362.8586,320,-96223.1796875,1600000,2118.29,1811.9
321,247.6296,358.7915,321,-96440.828125,1605000,1619.53,1153.79
322,411.2822,424.0727,322,-97146.3515625,1610000,724.15,596.6
323,472.5187,377.9279,323,-96572.453125,1615000,487.55,809.13
324,428.453,396.7548,324,-96959.078125,1620000,823.0,811.8
325,308.2977,383.1691,325,-97322.4140625,1625000,1481.33,898.48
326,335.783,400.1764,326,-96673.8515625,1630000,1283.2,1481.42
327,387.2247,456.9486,327,-97151.8125,1635000,345.38,485.15
328,425.2446,429.6267,328,-97448.6015625,1640000,781.86,903.67
329,349.0253,467.3884,329,-97545.5390625,1645000,397.79,468.02
330,749.2919,388.24,330,-97773.453125,1650000,1329.39,1111.58
331,745.5737,414.9347,331,-98109.515625,1655000,805.63,693.28
332,531.3299,388.4558,332,-97905.3046875,1660000,1496.78,1103.18
333,649.142,421.3355,333,-98278.90625,1665000,921.4,734.57
334,1213.417,470.5616,334,-98506.78125,1670000,475.76,513.72
335,671.2007,428.4292,335,-98497.6328125,1675000,507.58,337.97
336,666.2375,501.4994,336,-98722.7734375,1680000,302.31,337.07
337,632.3073,576.0869,337,-99088.9609375,1685000,153.61,165.95
338,645.5771,452.6843,338,-98856.359375,1690000,325.65,398.14
339,693.9228,470.6112,339,-99044.171875,1695000,237.16,355.55
340,1984.7394,471.486,340,-98872.6875,1700000,256.83,281.35
341,1470.5449,493.0058,341,-99073.09375,1705000,254.23,181.75
342,1487.8051,455.9575,342,-98843.25,1710000,247.66,271.71
343,1933.6496,452.6035,343,-98579.703125,1715000,333.77,291.38
344,1190.751,444.0519,344,-98633.578125,1720000,421.3,418.47
345,833.0646,473.741,345,-98363.3125,1725000,335.79,288.67
346,754.6217,451.0035,346,-98601.28125,1730000,285.18,300.41
347,716.6344,603.161,347,-99246.0703125,1735000,163.82,140.22
348,672.2158,554.4308,348,-99254.203125,1740000,191.32,193.63
349,618.0289,512.9138,349,-99137.0625,1745000,231.72,185.64
350,452.7137,538.0877,350,-98810.3515625,1750000,127.28,131.39
351,1097.189,493.5391,351,-99291.875,1755000,149.43,148.3
352,910.2506,634.1561,352,-99297.4140625,1760000,116.49,114.7
353,931.0711,687.4309,353,-99434.7109375,1765000,104.35,106.84
354,934.6558,649.9895,354,-99440.34375,1770000,108.76,108.03
355,718.5266,685.82,355,-99255.390625,1775000,104.85,105.65
356,842.5936,701.4059,356,-99337.1484375,1780000,102.42,102.49
357,1013.3378,701.0395,357,-99339.8515625,1785000,105.78,107.78
358,857.5344,722.5718,358,-99357.734375,1790000,94.38,94.44
359,905.6144,724.7795,359,-99407.6484375,1795000,102.7,101.0
360,815.5225,725.5878,360,-99427.3984375,1800000,100.01,99.39
361,947.1293,713.8758,361,-99298.3203125,1805000,101.27,100.9
362,757.516,712.1014,362,-98861.3203125,1810000,102.63,102.37
363,628.1607,697.8193,363,-99116.953125,1815000,102.2,101.87
364,935.8083,718.1327,364,-99321.15625,1820000,98.29,98.92
365,973.1922,703.1184,365,-99435.8046875,1825000,101.96,104.05
366,1120.9103,720.2681,366,-99382.1875,1830000,93.3,93.47
367,1299.752,723.6078,367,-99418.390625,1835000,95.33,94.24
368,960.1746,721.5139,368,-99444.4453125,1840000,90.22,92.5
369,1163.9285,732.4918,369,-99501.8984375,1845000,91.11,89.47
370,1591.2702,724.1516,370,-99395.625,1850000,86.81,87.69
371,1500.4965,704.282,371,-99391.2421875,1855000,92.73,94.49
372,1684.8888,704.5395,372,-99386.1328125,1860000,87.2,87.38
373,1708.1234,709.5494,373,-99397.9453125,1865000,103.63,101.78
374,1728.5506,578.6528,374,-98993.6328125,1870000,168.67,146.17
375,1727.3428,519.2228,375,-98907.875,1875000,275.13,219.79
376,1538.3145,514.9819,376,-99107.1328125,1880000,257.26,261.35
377,1192.8694,550.8196,377,-98462.375,1885000,323.02,322.72
378,1376.2525,528.5801,378,-98496.59375,1890000,290.31,288.93
379,759.3218,556.8236,379,-97344.578125,1895000,211.83,216.14
380,824.3465,581.739,380,-97700.1171875,1900000,212.77,216.58
381,652.4863,549.3157,381,-97357.9140625,1905000,267.03,263.21
382,1100.1485,546.6609,382,-97998.8046875,1910000,298.66,298.94
383,923.4076,542.5881,383,-98505.5546875,1915000,294.42,305.86
384,913.0577,550.0424,384,-98652.15625,1920000,296.75,299.77
385,1447.2201,560.5913,385,-98811.4765625,1925000,286.78,291.65
386,753.8102,546.1892,386,-97662.875,1930000,278.93,281.06
387,1182.6396,555.554,387,-97927.078125,1935000,198.26,202.09
388,1146.2084,520.2981,388,-97254.0546875,1940000,301.64,290.67
389,960.6139,491.3441,389,-96527.015625,1945000,527.62,488.58
390,673.1575,526.7972,390,-97834.03125,1950000,292.57,290.68
391,869.7841,540.7104,391,-98858.8125,1955000,273.63,263.53
392,605.5089,567.7902,392,-98359.28125,1960000,205.71,202.82
393,800.8076,554.8059,393,-98557.859375,1965000,204.09,203.37
394,734.0381,610.8129,394,-98181.1953125,1970000,167.3,167.62
395,823.7731,504.8965,395,-96110.734375,1975000,218.24,219.5
396,757.3583,513.4488,396,-97478.90625,1980000,308.28,300.08
397,810.6489,569.068,397,-98146.9375,1985000,263.89,248.66
398,1143.2696,544.8434,398,-98105.375,1990000,256.54,253.25
399,796.8564,530.4799,399,-96039.03125,1995000,246.27,238.12
400,981.4831,522.5099,400,-97370.6640625,2000000,302.01,296.42
401,1062.8361,504.209,401,-97812.390625,2005000,297.95,298.29
402,992.1894,500.6515,402,-97230.28125,2010000,339.28,375.11
403,1334.7911,475.4096,403,-97697.203125,2015000,300.45,320.54
404,1818.1981,607.809,404,-98920.9921875,2020000,174.74,185.69
405,1534.8798,567.6485,405,-99029.9140625,2025000,115.01,136.96
