Real Det Return,Running Forward KL,Real Sto Return,Itration,Running Reverse KL
4677.3,302.0554,4532.82,86,131.9439
4862.17,325.4488,4836.37,87,129.6422
4132.88,306.8338,4054.87,88,117.0115
4458.47,322.1762,5045.37,89,132.1617
4823.57,312.8933,4858.5,90,124.3513
5043.33,329.5899,4900.07,91,128.7225
4752.89,316.2744,4933.32,92,129.3253
4994.28,315.4048,4629.88,93,121.5558
4849.64,324.405,4875.97,94,131.2585
4931.05,328.5328,4876.49,95,136.7061
4859.29,328.9483,4730.39,96,129.848
4766.91,323.9577,4877.89,97,133.9361
4163.84,325.355,4921.76,98,133.8832
5091.74,329.3545,4878.64,99,145.9763
4834.84,317.1673,4910.85,100,123.4476
4983.11,329.5976,5052.52,101,137.5681
5111.57,318.2725,5052.27,102,129.0143
5008.99,321.6688,5034.02,103,132.6145
4745.37,313.1555,5116.68,104,124.6157
5035.77,327.9494,4927.05,105,130.5892
5016.93,326.9682,4997.59,106,125.3644
5034.95,327.7233,4758.06,107,133.2919
5126.46,326.049,5079.97,108,130.7176
4423.19,329.7837,4894.12,109,131.4891
4928.13,328.4143,5051.56,110,132.0202
5095.88,321.6069,4904.62,111,126.6441
4983.85,315.4094,5099.51,112,120.2823
4197.22,337.1655,4519.39,113,138.1318
5034.91,336.4546,4869.83,114,138.47
4841.53,334.7709,5060.55,115,132.0705
5066.15,321.3532,4919.37,116,122.7184
4829.52,320.5311,5056.73,117,122.4796
5104.03,319.0319,5074.37,118,124.5766
5075.73,320.2346,4951.41,119,121.5247
5054.16,331.5461,5070.64,120,131.8516
5039.48,320.5,4931.86,121,126.1658
3948.48,329.6166,4497.32,122,127.347
4974.36,328.4819,4756.53,123,124.9065
5019.69,320.7775,4846.97,124,118.9574
4566.59,325.0777,5059.28,125,128.6117
5004.53,327.986,4846.82,126,126.1118
4951.33,322.0923,4625.61,127,117.7627
4881.68,323.6372,4760.7,128,121.8266
4925.22,338.2939,4816.15,129,141.6038
4212.81,338.1195,4899.14,130,129.4214
5075.25,324.5612,4999.74,131,128.2782
5084.44,312.7759,4934.27,132,117.0181
4823.69,333.0943,5054.35,133,133.9049
4929.84,320.1708,4775.06,134,122.2757
4890.32,315.8584,4966.58,135,120.6127
4805.68,319.1109,5070.27,136,126.1121
5109.16,322.8524,5064.59,137,119.0238
5134.16,317.5868,5055.23,138,114.614
4678.56,319.334,5065.37,139,118.5805
5095.9,325.4862,4928.14,140,127.842
4799.27,329.9928,4883.81,141,126.3073
5119.83,318.6703,5050.9,142,121.5022
5114.87,319.4769,5082.75,143,124.516
4894.06,314.1554,5045.52,144,114.7598
5134.54,307.9432,5054.03,145,112.2249
4800.44,320.4447,4830.51,146,118.7753
5055.58,318.9909,5039.82,147,124.2654
5114.13,323.3578,5034.99,148,122.4672
5102.7,322.7241,5060.16,149,125.8017
5074.06,316.766,5055.63,150,123.1292
5066.42,322.5622,5040.48,151,123.535
5142.72,315.189,5043.85,152,118.6552
5105.85,323.5868,5036.7,153,123.1124
5190.09,320.562,4939.67,154,121.7237
5129.93,320.6117,5033.55,155,118.1347
5186.44,315.1321,4859.9,156,114.2545
5155.61,319.6269,4976.39,157,118.4213
5132.71,317.5613,5057.91,158,122.2028
5191.25,317.6032,5077.41,159,119.9306
5169.09,323.2049,5060.54,160,124.417
5091.01,328.4356,5034.6,161,128.6082
5194.15,319.6717,5087.11,162,125.8129
5183.8,315.591,5053.51,163,146.6053
5206.53,313.3873,5082.84,164,112.565
5185.45,315.5023,5050.7,165,114.0506
5146.68,315.3141,4672.54,166,111.7827
5124.45,328.1538,5053.25,167,119.7173
5128.42,319.5928,5032.21,168,118.71
5115.13,316.2048,5018.52,169,111.3775
5174.12,318.9268,5060.02,170,119.0508
5170.23,313.749,5010.86,171,108.2829
4937.44,315.3926,4940.87,172,114.0679
4661.04,316.0153,4076.74,173,114.6476
5095.24,326.0295,5022.82,174,122.1959
5122.29,314.0693,5033.01,175,111.6405
5108.76,318.4537,5022.79,176,119.5185
5138.96,313.9822,4888.73,177,108.3783
5135.97,327.1116,5034.84,178,128.4136
5167.99,318.8838,4972.38,179,120.7539
5100.67,327.6696,4935.21,180,125.2724
4942.48,325.6597,5053.85,181,126.3581
5081.52,328.1275,5012.09,182,123.9103
5065.84,331.4666,5022.44,183,126.5753
5076.16,332.0129,5042.05,184,130.1036
5121.06,328.5135,5030.39,185,129.6353
5138.92,325.8861,5082.84,186,126.295
5131.06,322.3596,4918.94,187,121.5796
5048.54,323.8683,5012.2,188,126.4487
5133.02,318.9379,5014.3,189,116.3476
5101.65,331.1202,5015.57,190,129.1265
5151.26,318.3356,4974.07,191,117.4982
5145.93,330.778,5063.62,192,129.781
5058.62,321.4035,4980.39,193,118.0434
5051.99,336.0205,5027.68,194,136.1993
5182.87,323.2431,5063.6,195,120.2264
5085.24,318.1585,4893.26,196,116.4203
5175.13,322.7401,5003.48,197,120.1808
5148.49,329.2906,5041.58,198,129.3585
5069.48,337.3064,5022.68,199,140.1851
5036.22,324.3341,5064.07,200,125.0371
5163.74,318.8895,5051.75,201,119.2759
5137.76,321.7061,5047.65,202,121.1731
5152.51,313.7651,5052.29,203,116.5241
5094.6,314.5509,4840.13,204,109.644
