Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Reverse KL
504.85,126.49,66.4463,116,26.419
636.36,214.82,61.7124,117,24.8578
677.33,438.32,59.5512,118,23.7373
1385.46,558.64,52.6891,119,18.6932
732.98,554.37,59.9367,120,24.6871
803.76,273.22,61.7352,121,23.7341
498.63,202.43,62.8657,122,25.0443
701.05,320.72,61.0956,123,26.0564
823.41,377.57,59.7314,124,26.6733
917.84,318.49,62.045,125,25.9141
829.71,393.56,64.0017,126,24.7486
905.28,388.15,59.2224,127,23.512
891.24,380.95,58.2459,128,22.4047
873.73,238.84,63.0215,129,27.2255
1044.96,273.93,58.2635,130,23.4432
852.74,305.17,57.4933,131,22.7925
821.3,334.6,57.0249,132,21.7243
864.04,308.27,56.658,133,22.4323
656.72,120.42,60.8887,134,23.9807
494.33,172.02,59.7347,135,24.6944
638.25,238.3,60.5364,136,24.4937
1311.08,750.42,51.2495,137,18.2217
819.04,396.25,60.7212,138,22.8908
1072.13,683.6,54.6024,139,19.4283
1587.74,459.07,53.0985,140,19.9273
847.17,374.87,57.7364,141,21.4939
1000.21,451.27,56.6448,142,20.6381
1035.62,428.44,60.7011,143,22.742
695.94,202.68,63.2556,144,23.8908
868.17,296.91,61.3138,145,22.831
883.98,514.6,57.0211,146,21.3935
1410.64,775.1,50.329,147,17.9035
1964.03,1143.42,49.7099,148,17.1075
681.07,384.02,59.8071,149,24.494
499.89,174.04,62.1032,150,26.2108
589.6,348.66,59.5942,151,23.3428
1087.99,215.13,55.9285,152,21.0377
832.66,286.55,61.3669,153,24.5327
1004.83,454.73,56.1145,154,21.1926
1044.66,559.19,53.0343,155,23.0118
746.41,308.78,63.2851,156,26.9575
719.11,138.97,58.6376,157,25.084
800.33,432.98,65.9788,158,27.8091
1168.59,450.93,57.139,159,21.7222
1391.83,713.27,53.532,160,21.2543
1351.74,790.62,48.0028,161,15.3182
1742.19,693.89,57.9211,162,25.9844
1201.14,750.01,54.361,163,21.764
1132.08,573.63,57.2686,164,21.663
925.66,616.89,59.876,165,25.0863
517.57,360.31,58.6262,166,22.4493
1133.7,477.06,59.0849,167,22.744
1944.86,1101.69,50.536,168,18.2672
1216.69,588.18,60.1445,169,23.63
979.46,254.21,59.1573,170,22.4192
668.73,240.29,62.6516,171,25.95
771.3,284.83,62.0977,172,23.7827
486.91,296.74,62.582,173,23.6019
871.14,420.97,53.3484,174,19.0297
725.48,514.33,59.4927,175,22.7533
719.91,384.77,52.8698,176,18.9584
1926.48,1120.07,49.3032,177,15.9443
689.8,332.68,57.5599,178,22.313
1598.34,788.65,52.2776,179,19.7347
1335.95,546.7,57.2975,180,22.2572
855.79,403.49,60.0792,181,25.8532
1975.08,1204.86,54.703,182,20.1842
1965.45,939.69,50.0104,183,16.6556
853.98,422.04,54.0217,184,19.7827
1205.8,656.27,51.619,185,19.7614
1481.76,864.12,51.6426,186,19.7187
1404.84,654.24,51.1299,187,17.574
943.13,539.88,57.7645,188,20.8407
897.07,374.71,53.4406,189,18.0186
2453.07,1043.38,50.185,190,17.578
1049.9,461.74,52.0279,191,18.9723
2127.42,1264.09,45.0146,192,12.8919
1799.34,604.26,52.441,193,18.6705
1374.11,514.69,54.6361,194,20.4422
1259.42,511.47,55.3021,195,21.8074
1934.25,1119.27,46.4136,196,14.7479
1023.8,725.98,57.9052,197,25.2478
1124.23,856.58,52.5637,198,19.0613
2050.86,786.38,52.509,199,18.2508
1938.24,1135.59,56.2272,200,21.9096
1595.94,791.23,52.5977,201,17.8922
651.86,233.84,64.2154,202,25.2128
710.93,228.63,64.9556,203,26.4674
493.25,139.75,64.8336,204,24.1585
651.06,259.23,60.9569,205,22.5209
355.67,140.37,62.675,206,22.8713
271.48,146.28,65.5768,207,26.7905
861.34,600.98,53.0378,208,18.2558
397.06,315.91,55.7568,209,18.7371
645.64,240.67,62.4999,210,22.4001
536.09,259.35,58.433,211,21.8518
513.79,349.45,58.5561,212,21.2816
636.77,506.77,54.9513,213,19.1653
709.91,555.87,54.3162,214,19.4568
609.0,266.73,61.3283,215,22.2108
921.4,313.23,55.3442,216,19.2917
638.93,250.15,59.6009,217,22.0559
517.45,342.03,55.1123,218,20.4384
726.69,492.36,57.7047,219,21.382
690.55,482.81,55.7552,220,19.9001
721.45,646.72,59.8941,221,23.2375
1185.83,814.07,47.5613,222,13.0477
760.43,468.3,56.8744,223,20.4579
647.51,353.89,50.8637,224,15.5471
851.41,491.06,52.7208,225,18.3581
695.78,236.95,58.5445,226,21.6275
1144.12,696.94,52.821,227,17.5238
410.73,457.74,52.5775,228,16.9376
374.07,224.85,58.1327,229,20.9273
681.93,294.82,62.483,230,22.6849
873.38,715.93,53.6108,231,18.7065
749.97,303.54,56.3153,232,20.4253
727.29,497.52,59.2665,233,21.9334
869.31,764.05,50.3987,234,16.2431
821.07,258.23,53.6044,235,18.6006
620.06,325.85,58.359,236,20.7508
835.92,682.21,54.9275,237,19.1396
1106.11,547.92,51.3271,238,16.5139
1227.99,786.26,51.7351,239,17.7375
908.5,375.75,54.1692,240,17.7553
930.32,490.73,50.9062,241,17.0267
796.12,500.78,54.1166,242,19.2232
592.1,326.12,63.0247,243,24.2048
1270.9,552.4,51.4887,244,18.4627
740.17,321.94,57.4549,245,21.0401
1169.74,451.95,57.5712,246,22.2196
1232.04,695.76,54.6725,247,20.0143
1290.48,500.8,50.4596,248,17.1367
1385.95,703.18,45.4981,249,14.2887
879.13,678.1,56.4712,250,20.0747
1246.22,1068.03,49.6656,251,16.06
926.62,835.86,52.8303,252,19.7078
1690.29,1022.4,50.0487,253,16.4894
1768.67,673.25,51.167,254,18.7214
992.75,635.43,50.0398,255,15.2022
738.84,539.5,54.7049,256,21.6112
1747.92,1042.98,46.8146,257,13.1547
1214.05,652.15,51.1512,258,16.3922
1179.9,774.02,52.5697,259,17.6382
852.31,748.91,49.4211,260,14.6494
1198.58,817.41,49.4076,261,15.1122
1249.1,876.66,49.5463,262,16.4597
1767.71,719.32,49.4796,263,16.3326
895.45,560.68,53.6784,264,18.2289
517.51,426.08,60.8575,265,22.9775
1217.32,836.42,48.081,266,13.068
1338.84,843.05,48.8001,267,14.5454
957.56,676.02,49.6726,268,14.5818
1301.48,655.09,52.0398,269,17.0663
1170.51,667.26,54.676,270,18.1545
1533.05,405.88,55.937,271,19.0244
1096.79,545.33,52.1571,272,15.7158
973.71,390.8,53.3937,273,16.6856
964.61,523.98,56.546,274,18.1382
763.42,365.92,61.4008,275,22.4533
1128.01,652.08,54.1869,276,17.1318
893.17,388.84,57.2499,277,19.6336
726.18,452.67,63.6727,278,23.5375
607.31,425.69,59.1702,279,20.6128
810.03,558.21,58.5523,280,20.2087
702.32,552.39,56.9159,281,18.7458
831.11,500.22,53.3112,282,16.6693
1265.13,590.48,50.7418,283,13.8268
599.45,437.73,56.9347,284,20.0188
537.63,338.79,58.33,285,21.7382
872.0,499.52,53.4188,286,18.2006
1359.21,448.14,52.9032,287,17.3763
1114.45,607.23,50.5679,288,16.2645
1145.56,537.92,54.5414,289,17.469
1522.13,1175.85,55.8903,290,21.8852
721.5,344.61,53.9379,291,17.9174
662.45,343.35,54.4167,292,18.8837
599.59,592.04,61.7815,293,22.1937
1217.21,569.59,53.2937,294,16.7159
661.43,407.21,55.4255,295,19.3173
928.98,737.7,48.8218,296,14.048
804.29,284.23,56.887,297,18.6129
1277.93,435.75,53.695,298,17.0806
728.14,457.95,55.4787,299,18.2417
755.62,527.47,62.3859,300,22.7243
940.94,538.82,56.1828,301,19.452
1437.16,527.89,54.2412,302,18.2898
1476.79,708.87,51.2027,303,15.3401
1381.45,564.29,50.5269,304,14.3711
564.3,394.78,60.5261,305,23.0085
844.56,559.5,56.6969,306,19.5875
1244.54,542.69,45.5506,307,11.7126
610.92,764.08,50.3814,308,14.8541
1325.24,1009.65,52.6488,309,18.692
1207.9,522.74,47.1486,310,13.0777
1274.52,1061.91,47.0828,311,13.1749
1186.17,707.12,53.0256,312,17.6754
1603.91,770.92,48.535,313,13.0079
1505.58,763.01,45.0543,314,10.7433
928.05,408.13,53.2417,315,17.062
726.97,674.32,56.713,316,19.7828
1543.94,816.24,47.4648,317,13.6847
1091.23,686.5,53.9044,318,18.2295
636.2,528.89,57.2344,319,18.4096
1008.5,896.61,51.7398,320,15.7865
895.62,520.19,49.9367,321,13.9399
597.25,405.26,54.1846,322,17.2885
837.17,659.33,48.0908,323,12.35
1335.92,658.21,49.1227,324,15.0216
1357.45,915.64,50.7838,325,15.8832
908.45,434.57,53.5097,326,17.6743
1080.06,932.13,49.798,327,14.7881
1163.38,682.79,50.8274,328,15.9147
505.72,384.06,56.6852,329,20.6396
1065.31,822.44,50.036,330,14.5312
1381.02,696.04,48.4923,331,13.824
748.91,316.32,53.6746,332,17.5003
343.84,454.18,54.3318,333,18.4711
1110.65,949.32,47.5648,334,12.9147
360.52,449.94,53.3371,335,17.2936
1381.57,490.69,50.9191,336,14.5918
820.54,537.66,54.1624,337,16.832
783.31,592.6,56.3328,338,19.4694
860.54,497.92,53.8936,339,17.3205
646.41,558.59,52.142,340,16.1469
723.58,418.57,55.3187,341,21.474
1015.64,525.23,56.127,342,20.2769
1045.7,608.0,59.6268,343,22.5055
1538.9,720.38,53.2725,344,19.1803
1242.83,532.09,54.3686,345,19.0045
949.58,737.81,57.0452,346,21.218
626.68,427.6,55.5273,347,19.6986
1078.08,900.28,50.1769,348,15.4622
1346.15,644.71,50.7045,349,15.499
1238.02,608.89,50.6017,350,15.7251
1251.82,547.22,48.617,351,15.251
829.72,776.23,49.6056,352,15.0734
1586.76,629.64,50.2656,353,16.1507
1909.56,1210.97,43.4846,354,11.1532
2049.23,995.78,49.6643,355,15.1464
1742.39,868.88,49.8694,356,14.0743
1420.81,873.23,51.808,357,16.5168
1786.8,1033.19,48.6687,358,14.9356
1249.71,1238.23,46.1917,359,12.6797
1435.07,1167.74,48.0351,360,14.0706
823.93,1160.02,48.7927,361,14.8061
1251.67,614.22,50.6768,362,18.6021
1503.71,1221.15,54.005,363,19.9319
1153.83,952.69,49.5524,364,15.7283
1852.54,1303.71,50.3466,365,16.8969
1459.6,988.31,50.7726,366,16.9573
1299.42,817.15,51.0045,367,17.2504
2237.16,1572.43,44.356,368,12.9413
926.29,644.02,54.2456,369,20.6202
1818.13,1179.75,50.0664,370,16.0921
1165.46,835.5,51.6946,371,17.9905
1450.99,1241.6,46.2217,372,12.7307
1530.26,602.39,50.8394,373,16.4019
1640.54,877.36,52.0995,374,18.9335
971.62,589.75,57.0523,375,21.2363
1299.43,635.11,50.3332,376,15.8735
2457.93,1581.44,44.3594,377,12.1672
1801.78,937.81,49.0133,378,15.0773
1682.82,743.31,48.1333,379,15.2089
1586.46,1380.74,46.7602,380,13.997
2645.93,1352.57,44.5501,381,11.3723
1974.37,1344.04,47.4589,382,14.3865
2339.48,1482.83,46.21,383,13.4175
2253.88,1467.54,48.3027,384,15.2942
2027.75,1355.16,49.878,385,16.2849
2341.19,1643.86,44.1436,386,12.4047
2113.1,1252.36,45.9387,387,13.756
2484.37,1449.74,47.0608,388,14.5834
1701.94,1173.17,47.3046,389,14.1532
1892.27,1138.22,47.1295,390,13.9908
1785.16,1540.21,46.9684,391,14.2714
2153.07,1363.96,45.4375,392,13.4363
2447.01,1655.01,46.8041,393,16.4657
2452.2,902.16,47.6599,394,14.7814
1922.74,1937.12,45.2126,395,13.8921
2427.39,1444.94,46.9225,396,14.559
1845.26,1362.13,49.7365,397,16.8899
1810.7,1283.91,48.1916,398,15.4503
2240.18,1531.8,48.275,399,14.5465
1998.83,1229.69,48.9293,400,15.9058
1783.67,1621.41,48.77,401,17.6611
1322.29,1087.01,48.6535,402,15.4684
2391.01,1888.29,46.5158,403,13.8825
2610.21,1763.5,46.9552,404,14.3286
2268.22,969.47,50.1708,405,17.6226
2145.68,846.59,46.5238,406,13.1211
2620.34,1391.34,49.051,407,15.9086
1317.08,1388.2,52.0335,408,17.2042
2371.34,1510.17,51.1485,409,17.2887
2485.59,1329.73,47.9265,410,14.9713
2185.99,1612.28,46.7389,411,14.7986
1972.46,1582.88,47.5702,412,14.6167
2539.44,1351.78,44.4158,413,13.9145
