Running Env Steps,Running Forward KL,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Reward Loss,Real Det Return
195000,382.1854,921.53,39,39,234.6876,-7493.1162109375,457.45
200000,384.7867,1038.1,40,40,248.3171,-8067.306640625,543.03
205000,397.861,711.51,41,41,265.3247,-8800.83203125,438.41
210000,410.1016,722.23,42,42,349.85,-9915.3037109375,467.93
215000,393.0162,779.55,43,43,220.5288,-8423.2744140625,687.25
220000,386.936,1058.54,44,44,250.6348,-8752.4736328125,518.22
225000,378.3398,1084.65,45,45,229.4635,-8824.8759765625,999.86
230000,387.3925,1108.59,46,46,233.5348,-9302.98046875,566.94
235000,400.7741,838.63,47,47,238.6361,-8811.5498046875,658.05
240000,391.0692,1225.59,48,48,233.5625,-9112.4423828125,1131.36
245000,390.4526,881.19,49,49,229.3428,-9056.623046875,592.7
250000,356.4097,1411.19,50,50,200.0916,-8107.5029296875,693.82
255000,395.169,862.05,51,51,249.7702,-9807.58984375,592.37
260000,368.2615,989.75,52,52,222.5422,-9021.4599609375,1033.97
265000,389.1751,1263.41,53,53,234.99,-9343.884765625,1078.62
270000,360.9386,1621.11,54,54,213.9765,-9107.828125,1186.28
275000,359.9475,1461.68,55,55,219.047,-9330.5439453125,1161.23
280000,346.9181,1989.6,56,56,205.483,-8418.4599609375,1616.03
285000,349.4116,2075.98,57,57,206.6208,-8110.66357421875,1831.92
290000,344.3095,1977.72,58,58,213.5917,-9203.52734375,1527.86
295000,350.4823,1879.52,59,59,196.1799,-8829.5498046875,1377.81
300000,354.4519,1324.59,60,60,197.395,-8826.3955078125,1191.41
305000,408.912,779.07,61,61,260.3636,-11006.2060546875,1017.42
310000,347.744,3410.15,62,62,170.0362,-6902.31591796875,3787.26
315000,341.4661,4075.08,63,63,174.5699,-5416.6318359375,3527.13
320000,345.7392,3612.82,64,64,187.9306,-7741.98828125,3279.83
325000,328.7614,3626.38,65,65,177.8483,-5702.57373046875,1300.17
330000,320.0126,4086.66,66,66,151.4378,-4964.25634765625,4849.34
335000,335.0451,3366.85,67,67,172.3127,-7430.97607421875,3368.78
340000,324.6514,4655.89,68,68,138.734,-5503.337890625,2583.55
345000,324.9193,4323.49,69,69,147.9782,-4225.2314453125,3385.06
350000,356.5514,2711.35,70,70,196.9107,-8861.9287109375,2341.54
355000,321.994,3519.92,71,71,143.6014,-5770.13134765625,1252.71
360000,340.9231,4193.27,72,72,159.0695,-5432.783203125,1747.46
365000,320.4571,4013.43,73,73,157.5534,-5898.494140625,4038.74
370000,330.581,4564.49,74,74,169.9817,-4949.03955078125,3641.28
375000,316.1154,4697.64,75,75,145.021,-4682.86767578125,4928.51
380000,341.1754,3884.63,76,76,183.5008,-6359.50146484375,3486.57
385000,343.1913,4147.63,77,77,191.7498,-7034.6611328125,1421.08
390000,343.7107,4571.07,78,78,182.7442,-7298.404296875,2807.39
395000,336.1259,4443.19,79,79,168.5786,-5282.36572265625,4162.95
400000,365.5365,2606.76,80,80,224.7201,-8824.9306640625,1288.33
405000,365.7925,3316.24,81,81,222.9824,-9615.8740234375,2294.71
410000,344.06,3369.24,82,82,188.1388,-6690.8876953125,4377.85
415000,333.4749,4314.86,83,83,164.6496,-5269.35693359375,4955.72
420000,334.2297,4252.54,84,84,165.1369,-4356.55810546875,4927.95
425000,366.4993,1841.04,85,85,231.0122,-11367.619140625,1558.43
430000,319.7622,4856.33,86,86,148.9012,-4026.156005859375,4985.62
435000,343.4016,3879.34,87,87,187.8136,-7155.33251953125,5229.87
440000,339.7971,4788.97,88,88,166.621,-4841.58837890625,4853.01
445000,347.2321,3965.77,89,89,191.6922,-6752.98046875,5315.49
450000,363.9692,3051.47,90,90,211.0949,-9363.658203125,4651.75
455000,341.9459,4590.8,91,91,187.3323,-5364.0830078125,5304.96
460000,328.9034,4160.47,92,92,157.3307,-6388.17431640625,5101.22
465000,342.0303,3744.0,93,93,181.1361,-7469.05322265625,5103.54
470000,337.5685,1896.08,94,94,189.9863,-7805.48095703125,4671.59
475000,324.1768,4878.69,95,95,155.5615,-5306.640625,5205.64
480000,326.6207,4963.34,96,96,170.2188,-5591.28173828125,5043.99
485000,321.8424,4678.61,97,97,164.9566,-5504.46923828125,5340.42
490000,311.3248,4953.49,98,98,144.3936,-5337.46923828125,5041.88
495000,321.8892,5170.45,99,99,151.903,-5415.63232421875,5260.52
500000,303.6276,4214.97,100,100,125.6608,-6089.1064453125,2417.85
505000,318.2578,4759.42,101,101,151.1358,-5837.6015625,5296.4
510000,311.3188,5003.78,102,102,134.4007,-5915.43408203125,4201.89
515000,312.7082,4347.04,103,103,137.6988,-6534.2958984375,3343.22
520000,322.6374,4750.26,104,104,140.2455,-6272.84521484375,4759.23
525000,317.3852,4429.76,105,105,150.5832,-7435.6708984375,5356.26
530000,309.7403,4676.4,106,106,134.3166,-6218.9189453125,5078.84
535000,326.4119,4949.4,107,107,152.964,-7559.884765625,2985.37
540000,326.4066,4609.06,108,108,152.9836,-6812.40771484375,4259.94
545000,332.5798,5062.75,109,109,171.9967,-7036.31982421875,4938.36
550000,324.6875,4828.33,110,110,159.914,-7443.3466796875,5120.2
555000,334.4879,4885.39,111,111,169.2062,-8549.447265625,3721.37
560000,320.8424,4808.41,112,112,150.314,-7457.86767578125,4781.83
565000,312.1457,5133.57,113,113,129.678,-7163.2001953125,5054.24
570000,315.6916,4945.33,114,114,142.1141,-7466.19140625,5205.48
575000,311.7597,4659.91,115,115,131.0048,-7489.4716796875,5173.91
580000,307.6371,4994.69,116,116,122.4949,-7700.51806640625,5129.04
585000,323.3122,4785.17,117,117,140.556,-8354.4765625,5040.8
590000,326.1947,5134.36,118,118,147.8414,-8183.85302734375,5039.51
595000,307.5097,4682.92,119,119,126.2359,-8199.58203125,5387.27
600000,328.4104,5117.11,120,120,146.1023,-8532.5908203125,5258.46
605000,321.3048,4750.58,121,121,138.3864,-8780.1591796875,5127.13
610000,327.8233,4880.66,122,122,156.9819,-8962.341796875,5208.58
615000,326.2913,4944.53,123,123,149.8966,-9735.677734375,5243.2
620000,319.9526,5198.31,124,124,141.7595,-9380.90234375,5288.17
625000,314.009,5158.17,125,125,136.0166,-9134.8056640625,5197.2
630000,319.3651,4914.57,126,126,138.0439,-9682.458984375,5300.92
635000,318.3712,5010.43,127,127,136.7535,-9744.716796875,5159.7
640000,316.3593,5156.67,128,128,143.0404,-9575.6376953125,5419.35
645000,334.4966,5058.75,129,129,169.1112,-10722.595703125,5189.51
650000,300.61,4806.25,130,130,122.3217,-10232.3955078125,5313.17
655000,300.2868,5068.26,131,131,117.1785,-9877.7900390625,5331.91
660000,300.3055,5129.03,132,132,117.1256,-9901.3798828125,5355.86
665000,299.3899,4445.17,133,133,114.8772,-10245.9453125,5270.89
670000,321.7281,4788.32,134,134,148.3811,-11317.2685546875,5162.74
675000,305.9794,4968.15,135,135,133.4755,-10419.5498046875,5423.83
680000,315.4115,5261.59,136,136,148.6792,-11342.046875,5377.42
685000,315.4492,5213.49,137,137,154.5501,-11820.232421875,5307.64
690000,319.7808,5244.56,138,138,147.6339,-11550.6708984375,5285.4
695000,308.7796,5243.08,139,139,146.1676,-11506.744140625,5195.71
700000,309.2328,4143.07,140,140,141.724,-11812.376953125,4745.22
705000,296.2922,5089.06,141,141,122.9006,-11326.79296875,5185.85
710000,303.928,4797.35,142,142,140.1834,-11770.890625,5259.44
715000,297.9848,5052.56,143,143,129.3621,-11788.009765625,4694.37
720000,312.6759,5366.88,144,144,138.6567,-11821.603515625,5489.58
725000,296.612,5076.92,145,145,122.9894,-11588.6083984375,5094.25
730000,306.344,5014.3,146,146,132.6653,-12145.4287109375,5439.05
735000,296.5477,4862.71,147,147,128.2284,-11739.2490234375,5440.99
740000,307.3885,5093.94,148,148,136.9796,-12209.1943359375,5452.13
745000,311.1707,4884.56,149,149,151.1583,-12553.20703125,5233.16
750000,305.2604,5263.43,150,150,127.1354,-11903.328125,5435.87
755000,294.8654,5001.37,151,151,123.5378,-12202.5146484375,5380.23
760000,335.9341,4964.26,152,152,207.1529,-14036.51953125,5327.03
765000,336.7605,5158.42,153,153,199.7215,-14167.029296875,5359.41
770000,347.2011,5236.78,154,154,198.2238,-14442.1923828125,5477.78
775000,363.7365,5085.77,155,155,221.0463,-14795.837890625,5095.35
780000,332.0285,4591.54,156,156,180.3893,-14107.5283203125,3397.68
785000,336.1446,4892.85,157,157,196.8889,-14505.111328125,5117.16
790000,334.5691,4868.64,158,158,184.3407,-14622.7587890625,4322.88
795000,326.5482,4848.91,159,159,175.7288,-14382.2158203125,4761.9
800000,313.2773,4864.63,160,160,139.2782,-13958.8896484375,5147.7
805000,298.2915,4855.04,161,161,125.4679,-13354.7587890625,3170.0
810000,304.5657,4920.71,162,162,134.763,-13990.673828125,5206.57
815000,302.4999,4598.78,163,163,122.3791,-13019.138671875,5419.59
820000,298.211,4915.28,164,164,114.1838,-13827.1513671875,5191.27
825000,313.4583,5206.52,165,165,148.539,-14500.6787109375,5140.85
830000,309.9739,5139.26,166,166,131.6071,-14062.658203125,5455.56
835000,292.8263,5015.36,167,167,107.0695,-13541.595703125,5340.74
840000,305.4305,5155.84,168,168,129.1553,-13721.2158203125,5434.06
845000,301.7752,4640.91,169,169,120.8998,-13744.2607421875,5293.23
850000,301.3522,4898.64,170,170,117.1734,-14072.2392578125,5318.46
855000,305.1282,4737.35,171,171,127.9138,-14332.349609375,4816.36
860000,328.8146,5175.17,172,172,157.0979,-15312.419921875,5174.41
865000,294.8341,5225.07,173,173,107.9203,-14072.2421875,4051.59
870000,298.6632,4826.45,174,174,115.96,-14142.2939453125,5442.28
875000,311.6904,5186.36,175,175,144.3366,-14769.697265625,5360.61
880000,301.9102,5232.03,176,176,124.158,-14628.5546875,5426.53
885000,315.8917,4511.39,177,177,140.7252,-15325.59765625,5203.64
890000,304.5555,5010.59,178,178,129.896,-15028.654296875,5391.09
895000,312.6356,5379.75,179,179,141.0166,-15014.6796875,5267.24
900000,312.7371,4729.29,180,180,143.5077,-15098.6943359375,4943.77
905000,317.3648,5006.12,181,181,140.8345,-15445.0,5314.89
910000,305.2371,5177.56,182,182,129.564,-14928.9951171875,5384.07
915000,300.5486,4616.82,183,183,123.2484,-14460.365234375,1810.08
920000,309.4177,5171.24,184,184,134.0304,-15060.6845703125,5409.98
925000,327.1634,4959.04,185,185,153.9303,-15756.9228515625,5225.98
930000,298.6415,4996.47,186,186,112.5562,-15126.99609375,5108.4
935000,293.8175,5179.97,187,187,104.8528,-14899.7021484375,5290.18
940000,310.4121,5170.19,188,188,135.207,-15595.4228515625,5157.05
945000,306.1866,4910.69,189,189,125.7576,-15006.3232421875,5475.16
950000,311.4112,4999.22,190,190,140.796,-15927.3369140625,5391.01
955000,310.1556,4348.83,191,191,127.7473,-15641.1435546875,4380.71
960000,311.9916,4960.71,192,192,130.4196,-15958.3193359375,3958.32
965000,305.1953,5280.24,193,193,125.4404,-14950.6669921875,5001.53
970000,299.0383,4924.18,194,194,124.638,-15459.615234375,5429.56
975000,306.4818,5046.67,195,195,129.6364,-15545.2236328125,5487.67
980000,325.3592,4970.52,196,196,156.6178,-16468.9296875,4864.06
985000,313.083,5277.71,197,197,134.581,-16153.5068359375,5468.97
990000,303.5524,4955.65,198,198,120.8193,-15857.982421875,5377.1
995000,308.4554,4785.21,199,199,125.9465,-16077.568359375,4898.3
1000000,310.1065,5201.6,200,200,125.5239,-16228.3095703125,5067.63
1005000,307.2601,5026.77,201,201,129.7128,-16393.619140625,5377.1
1010000,318.7083,4793.53,202,202,145.1557,-16483.677734375,5049.29
1015000,286.825,5184.42,203,203,106.6195,-15319.4306640625,5000.82
1020000,313.8418,5246.0,204,204,143.1884,-16065.5439453125,5271.95
1025000,313.2494,5143.02,205,205,137.4907,-16231.7314453125,5211.12
1030000,315.4964,4705.96,206,206,151.1032,-16391.509765625,5045.95
1035000,313.5016,4964.23,207,207,150.8093,-16304.0595703125,5368.37
1040000,319.4434,4704.11,208,208,141.1938,-16096.931640625,5325.47
1045000,317.27,4861.08,209,209,140.5227,-16110.046875,5322.5
1050000,308.5523,4729.01,210,210,133.572,-16048.841796875,5207.88
1055000,328.7736,4689.36,211,211,157.9626,-16614.08203125,5248.73
1060000,310.1211,4784.06,212,212,138.5512,-16310.2490234375,5325.03
1065000,475.3781,211.69,213,213,297.1483,-16297.9814453125,98.49
1070000,408.437,698.06,214,214,400.8236,-15969.5126953125,569.44
1075000,389.4563,1040.64,215,215,314.524,-16936.896484375,1886.08
1080000,429.728,582.47,216,216,391.6011,-17393.0546875,598.57
1085000,457.5208,424.43,217,217,450.6174,-17974.986328125,387.21
1090000,512.6004,261.89,218,218,541.2539,-17167.12890625,230.27
1095000,484.5882,295.56,219,219,445.4439,-15933.984375,329.24
1100000,446.7958,341.06,220,220,399.4624,-16549.81640625,399.3
