Reward Loss,Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL
-2031.67724609375,394.24,52,260000,56.1375,52,394.3,32.3705
-1784.6080322265625,463.34,53,265000,20.8955,53,478.92,32.0085
-1459.1710205078125,743.61,54,270000,84.4022,54,746.72,30.5613
-2059.738525390625,68.08,55,275000,40.7086,55,80.43,32.0466
-2446.768310546875,250.97,56,280000,61.27,56,256.33,32.7282
-2108.760498046875,166.66,57,285000,192.0141,57,173.72,33.0748
-2228.677734375,421.57,58,290000,32.8067,58,429.97,31.0814
-1741.4090576171875,252.89,59,295000,39.8362,59,242.9,30.1401
-2183.67822265625,319.7,60,300000,52.9776,60,357.05,29.1394
-1691.785400390625,277.27,61,305000,36.9056,61,255.07,27.5492
-1574.463623046875,466.7,62,310000,28.3162,62,449.99,29.0391
-2199.402587890625,845.28,63,315000,26.2586,63,840.77,31.2124
-1815.1343994140625,222.46,64,320000,30.5072,64,244.46,30.4861
-2311.96484375,220.95,65,325000,62.6534,65,216.31,32.4817
-1852.789306640625,550.66,66,330000,100.5072,66,454.15,32.6807
-2688.55419921875,979.48,67,335000,28.7396,67,979.47,37.1843
-2344.874755859375,1050.2,68,340000,23.7447,68,1051.15,33.957
-2382.455078125,1061.29,69,345000,23.9328,69,1061.95,34.4196
-2201.972900390625,1132.49,70,350000,24.193,70,1134.3,32.8592
-2544.940673828125,1098.31,71,355000,20.9911,71,1097.55,34.1183
-3026.646484375,1010.6,72,360000,35.3711,72,1010.87,38.4506
-3076.429931640625,1000.41,73,365000,35.3582,73,1000.25,38.0152
-2650.806884765625,288.27,74,370000,23.4363,74,288.5,31.0135
-3092.644775390625,976.34,75,375000,57.8709,75,976.15,37.2294
-3129.818115234375,972.12,76,380000,52.9354,76,972.1,37.1574
-2438.783203125,956.9,77,385000,29.0804,77,957.58,35.3331
-3345.080078125,987.24,78,390000,73.5361,78,987.29,38.1341
-3289.9521484375,980.92,79,395000,43.3541,79,980.77,37.4578
-3338.20263671875,969.21,80,400000,53.1071,80,969.49,37.9712
-3431.46337890625,91.98,81,405000,175.889,81,92.02,37.3932
-3540.070068359375,104.54,82,410000,154.4239,82,104.53,34.3045
-3644.642578125,104.36,83,415000,180.3683,83,105.49,32.7707
-3098.17138671875,340.4,84,420000,166.7334,84,343.42,28.3277
-3574.95068359375,965.31,85,425000,44.6703,85,965.37,37.6733
-3606.55419921875,996.03,86,430000,55.866,86,996.09,38.8174
-3747.8955078125,985.97,87,435000,41.3938,87,985.95,38.3184
-3344.924560546875,1003.99,88,440000,25.5118,88,1002.98,36.2248
-3277.598388671875,1029.08,89,445000,24.7,89,1030.09,35.6293
-2866.053955078125,481.29,90,450000,26.8156,90,479.85,33.1484
-3220.8076171875,473.3,91,455000,29.6678,91,473.35,33.7572
-3013.21923828125,386.39,92,460000,25.1474,92,386.97,32.3733
-3741.36865234375,359.93,93,465000,28.3452,93,361.75,32.5632
-3203.527587890625,645.75,94,470000,19.6689,94,651.0,31.2692
-3756.083984375,1025.45,95,475000,24.7106,95,1024.26,34.4124
-4285.70703125,283.81,96,480000,82.0978,96,283.94,34.3135
-4203.9013671875,291.07,97,485000,32.3059,97,296.02,34.045
-4180.3134765625,308.8,98,490000,49.0591,98,309.56,32.2376
-4052.897705078125,288.25,99,495000,28.1895,99,283.68,33.4011
-2904.762939453125,288.87,100,500000,21.3909,100,282.94,30.6354
-4023.3046875,728.51,101,505000,22.2457,101,771.53,32.6175
-3599.306396484375,348.59,102,510000,84.889,102,349.98,28.9148
-3249.649658203125,22.82,103,515000,24.0625,103,23.68,29.9518
-2451.74853515625,543.5,104,520000,20.894,104,359.01,28.2983
-5502.3994140625,3.71,105,525000,200.2904,105,3.75,39.4269
-4800.3701171875,59.31,106,530000,109.4677,106,59.99,32.6414
-4949.40185546875,84.54,107,535000,132.611,107,84.8,38.3208
-4717.11328125,77.37,108,540000,35.0289,108,76.51,32.4219
-4812.3134765625,221.91,109,545000,26.8178,109,223.88,32.2905
-4825.779296875,222.67,110,550000,32.0533,110,225.06,32.6072
-4782.50146484375,235.71,111,555000,29.703,111,234.67,31.5351
-4630.169921875,228.25,112,560000,30.0285,112,227.49,31.6322
-4731.78759765625,247.43,113,565000,101.2637,113,250.88,30.7913
-5223.46630859375,151.13,114,570000,162.8502,114,155.86,32.3427
