Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL,Reward Loss,Real Det Return
96,96,2607.99,480000,361.2612,183.3924,-60634.72265625,1603.34
97,97,2335.61,485000,342.4749,212.4469,-50787.72265625,2359.99
98,98,3507.17,490000,336.0129,146.1315,-51801.01171875,3450.71
99,99,3110.36,495000,337.9184,143.9491,-45001.21875,1971.43
100,100,3166.78,500000,329.9406,132.4876,-45850.90234375,2622.24
101,101,2343.45,505000,356.0417,178.4267,-60419.93359375,2153.86
102,102,3377.43,510000,341.6643,158.1826,-51647.96875,3096.7
103,103,2293.95,515000,363.2085,193.9452,-62906.21875,2273.55
104,104,2005.49,520000,371.1437,211.5466,-63018.2734375,1228.68
105,105,3126.29,525000,321.9304,126.4277,-47287.19140625,4204.48
106,106,3800.3,530000,345.4549,141.0872,-51146.35546875,3583.34
107,107,3086.9,535000,343.51,177.3612,-58218.4765625,2333.37
108,108,4052.04,540000,325.1742,125.9814,-46386.23046875,2783.15
109,109,3998.07,545000,338.7087,155.9575,-57483.9765625,3326.06
110,110,4084.62,550000,334.2815,127.2365,-47845.0234375,3180.64
111,111,3813.19,555000,355.4497,180.0077,-60643.86328125,3144.95
112,112,3896.67,560000,329.446,127.7442,-48637.01953125,3099.51
113,113,3610.24,565000,345.6554,156.5779,-54674.59375,1721.31
114,114,4055.92,570000,332.7798,139.8466,-52387.56640625,3336.71
115,115,4432.82,575000,320.4555,125.3998,-49026.45703125,3816.95
116,116,4334.77,580000,324.1335,121.9668,-50174.078125,3798.88
117,117,2839.31,585000,347.6665,203.0421,-62463.73828125,3303.15
118,118,3710.07,590000,340.3607,147.552,-54575.76953125,2475.24
119,119,3773.39,595000,349.2085,163.4076,-59813.87890625,3967.64
120,120,2058.36,600000,343.453,189.8816,-62240.41015625,2233.89
121,121,4271.78,605000,315.4803,118.7975,-52937.27734375,4213.36
122,122,4650.03,610000,312.8602,120.6656,-53002.140625,4232.31
123,123,4390.69,615000,337.662,143.03,-58047.67578125,2515.8
124,124,4088.69,620000,322.9314,125.5903,-54618.8984375,4166.06
125,125,4223.53,625000,316.5606,116.1945,-55174.3671875,4838.12
126,126,3865.04,630000,334.9462,132.5347,-56984.9140625,2951.78
127,127,4367.59,635000,326.7723,122.1999,-57167.34375,3212.94
128,128,4512.36,640000,329.0283,129.1424,-57664.94140625,3084.13
129,129,4582.46,645000,314.8648,120.17,-56499.5859375,4994.39
130,130,3943.34,650000,337.4635,136.0388,-62017.40625,2105.26
131,131,4822.57,655000,328.4044,127.0848,-59683.5859375,2725.95
132,132,4679.07,660000,318.0652,121.6473,-59187.6875,3973.09
133,133,4157.76,665000,335.5128,129.3379,-61247.81640625,2691.03
134,134,4828.26,670000,327.7664,119.1435,-61887.3984375,4658.6
135,135,4589.91,675000,326.3179,130.4678,-63152.890625,3393.39
136,136,3563.34,680000,346.3324,154.6542,-65968.1328125,1720.96
137,137,4684.85,685000,330.5091,137.3004,-65094.2265625,3753.88
138,138,4906.77,690000,332.8438,128.9524,-64350.56640625,5050.56
139,139,4512.3,695000,328.5012,123.1514,-64225.6015625,3562.65
140,140,4889.46,700000,336.4124,131.6641,-65909.0859375,4061.27
141,141,4298.04,705000,325.1866,118.6764,-63988.54296875,4172.3
142,142,4583.65,710000,348.2177,151.6135,-68515.6171875,3444.62
143,143,4897.04,715000,335.5055,124.9901,-66770.3984375,3472.91
144,144,4735.68,720000,331.0502,124.7643,-67470.15625,4475.43
145,145,4566.16,725000,331.9684,126.0325,-68519.5078125,4676.77
146,146,4699.79,730000,331.3643,128.5179,-69578.671875,3168.55
147,147,4641.56,735000,330.2008,123.8275,-69722.625,3209.68
148,148,4361.87,740000,315.6047,118.8695,-68127.1171875,2111.23
149,149,4807.55,745000,334.0462,121.0178,-69154.8515625,2847.71
150,150,4861.85,750000,335.6092,133.9646,-71888.359375,3177.58
151,151,3636.12,755000,334.9162,136.6118,-72752.2734375,1838.08
152,152,4835.95,760000,334.5486,131.0482,-71137.203125,3408.86
153,153,4726.75,765000,332.9464,125.8654,-71707.8828125,1923.38
154,154,4636.05,770000,341.7523,147.3912,-73874.2109375,2549.59
155,155,3760.07,775000,337.517,155.9313,-74545.75,2820.95
156,156,4300.94,780000,341.745,141.0031,-74564.5390625,3304.65
157,157,4762.87,785000,332.5705,120.3032,-72157.453125,3781.15
158,158,3729.52,790000,348.5082,165.9376,-75880.34375,2167.07
159,159,3777.38,795000,334.5387,139.0133,-75462.9921875,2095.61
160,160,2069.28,800000,357.5136,177.2305,-76546.5078125,1825.53
161,161,4517.55,805000,330.4433,130.8425,-74699.1015625,4009.26
162,162,4532.05,810000,323.8383,125.5456,-74000.0859375,4000.46
163,163,4680.26,815000,328.7996,129.0511,-75527.4453125,4291.62
164,164,3934.86,820000,329.2396,133.8859,-75281.875,2959.48
165,165,3478.89,825000,342.9402,146.6395,-77635.109375,2139.54
166,166,2416.22,830000,349.4558,166.3563,-77330.3671875,1917.66
167,167,3254.64,835000,350.0348,185.6532,-77021.515625,2745.76
168,168,2766.73,840000,363.0551,195.5963,-78603.8984375,2130.04
169,169,3621.89,845000,329.7078,147.7358,-76676.65625,1815.82
170,170,4423.36,850000,330.9644,127.2712,-76931.125,1951.73
171,171,4664.03,855000,338.0786,132.8806,-77098.9765625,3875.29
172,172,4810.92,860000,347.1683,144.3015,-78821.921875,2882.31
173,173,4777.66,865000,329.9907,123.056,-77723.1953125,4392.38
174,174,3784.7,870000,328.0791,128.2036,-76908.0859375,3310.32
175,175,4353.88,875000,335.7228,126.3807,-77572.3359375,2574.03
176,176,3495.27,880000,334.3451,135.4401,-78158.609375,2464.71
177,177,4821.5,885000,331.0061,125.5973,-78521.6171875,4469.99
178,178,4539.18,890000,331.9548,134.975,-78773.4921875,3022.52
179,179,4629.25,895000,329.416,127.455,-78521.3125,3975.24
180,180,4787.17,900000,329.9973,125.086,-78541.140625,3723.19
181,181,4530.11,905000,333.2327,133.5197,-80408.8984375,4259.07
182,182,4339.34,910000,327.5286,130.7534,-80029.8671875,3139.72
183,183,4797.86,915000,322.3029,117.2571,-79240.8203125,4639.09
184,184,3973.23,920000,339.0277,141.71,-81143.0078125,2504.02
185,185,4403.76,925000,339.2608,132.9031,-81254.0703125,3582.44
186,186,4886.33,930000,335.7855,133.0386,-81241.8828125,4157.38
187,187,3973.16,935000,346.713,175.0476,-80270.21875,1843.62
188,188,4497.23,940000,336.4469,136.8339,-82421.859375,3211.04
189,189,4889.8,945000,332.0965,139.6891,-82698.6015625,3540.11
190,190,4554.18,950000,338.8245,146.434,-80719.625,3154.6
191,191,4261.37,955000,358.7371,161.388,-83530.3671875,3004.15
192,192,4519.68,960000,340.1509,139.3397,-82393.7265625,2581.77
193,193,4178.19,965000,329.3238,139.7508,-82582.6953125,2383.0
194,194,4867.41,970000,332.0812,134.2291,-82874.78125,3959.2
195,195,4278.53,975000,337.5374,135.7755,-82352.78125,1717.54
196,196,4863.7,980000,338.4458,134.9787,-82823.4765625,2682.43
197,197,3030.32,985000,347.5424,169.7683,-83726.6953125,1253.41
198,198,3407.8,990000,328.1926,145.2588,-82604.359375,1690.05
199,199,4269.74,995000,329.8754,124.9797,-81669.6875,3482.22
200,200,3385.55,1000000,338.6816,157.464,-82388.234375,1005.94
201,201,4734.63,1005000,336.1194,145.0718,-83216.5859375,833.63
202,202,3242.41,1010000,334.5018,151.5877,-83299.03125,1613.53
203,203,4670.88,1015000,332.9194,142.306,-82261.46875,1597.08
204,204,4023.8,1020000,346.6889,169.6833,-83041.1484375,1428.33
205,205,3630.18,1025000,352.7051,166.6692,-85039.609375,1438.76
206,206,3767.38,1030000,353.5968,168.2297,-84899.5390625,1598.13
207,207,4568.85,1035000,332.3501,136.7382,-84348.328125,2351.94
208,208,4201.82,1040000,337.3418,148.8874,-84178.2890625,1281.2
209,209,4586.95,1045000,328.1782,134.0483,-83994.828125,2282.29
210,210,4045.55,1050000,333.2439,141.735,-83294.3515625,1665.26
211,211,3835.15,1055000,341.7813,151.262,-84045.1953125,1708.5
212,212,3820.85,1060000,330.1871,143.9277,-83903.84375,1914.19
213,213,3879.4,1065000,343.203,163.8295,-84890.09375,2512.5
214,214,4128.62,1070000,338.0492,151.3606,-85327.1171875,2701.61
215,215,4685.5,1075000,329.9441,138.6488,-84798.4921875,2536.55
216,216,4243.27,1080000,346.6884,164.8698,-86278.703125,2490.24
217,217,4622.99,1085000,324.5399,143.2922,-85709.9296875,2654.1
218,218,4427.29,1090000,333.2959,140.4065,-85302.4375,2667.53
219,219,4708.07,1095000,337.4525,144.3723,-85667.9609375,3299.33
220,220,4620.2,1100000,337.4219,140.188,-85854.921875,2541.45
221,221,4464.64,1105000,336.6979,146.8032,-86778.8515625,3558.68
222,222,4473.49,1110000,335.4384,148.708,-86629.953125,3019.05
223,223,4674.03,1115000,348.2843,159.1433,-87503.3125,2697.97
224,224,4507.28,1120000,345.7202,157.8959,-87861.703125,3563.5
225,225,4693.68,1125000,338.2024,157.6322,-85477.59375,2603.67
226,226,3639.29,1130000,343.8191,160.118,-86209.9375,2387.38
227,227,4553.91,1135000,334.3699,144.0101,-86607.6640625,4070.85
228,228,4467.66,1140000,362.1069,168.6982,-88245.8046875,2901.63
229,229,4791.9,1145000,362.4899,175.7434,-89551.734375,3620.72
230,230,4384.48,1150000,354.1408,172.4828,-89035.0390625,2720.21
231,231,4390.31,1155000,354.8383,173.8657,-87967.1953125,2389.47
232,232,4780.92,1160000,359.0934,163.9066,-89504.09375,4332.87
233,233,4734.77,1165000,360.5745,171.3334,-89691.03125,4483.67
234,234,4195.98,1170000,357.1306,174.1364,-89226.9140625,2617.92
235,235,4258.68,1175000,346.2252,162.5542,-89453.875,2414.14
236,236,4456.12,1180000,355.5939,161.3015,-88868.0,4041.1
237,237,3614.76,1185000,346.9121,161.5088,-88061.5390625,1956.99
238,238,3918.53,1190000,350.9067,160.371,-85999.9921875,1454.45
239,239,4441.48,1195000,361.9173,169.9856,-88636.4375,2234.4
240,240,4442.89,1200000,349.6196,160.6145,-87900.6171875,1347.32
241,241,3829.34,1205000,346.9361,155.5924,-85960.0625,1757.88
242,242,2523.24,1210000,351.1388,167.3945,-86039.8984375,1578.79
243,243,4191.11,1215000,355.6622,165.4777,-86922.9453125,2403.3
244,244,4286.23,1220000,349.651,159.2404,-88777.1171875,2620.51
245,245,4724.36,1225000,349.9098,156.7241,-88383.9375,3975.98
246,246,3715.98,1230000,352.6097,159.9915,-88572.046875,2256.48
247,247,4360.37,1235000,362.4147,170.4518,-89940.2578125,4029.53
248,248,4410.02,1240000,358.0401,167.3671,-89087.28125,3234.99
249,249,3146.86,1245000,361.1097,173.3948,-88089.640625,2332.55
250,250,4001.59,1250000,358.5357,162.7759,-88621.953125,1773.79
251,251,3648.19,1255000,365.4224,171.7291,-89751.609375,2964.36
252,252,3874.84,1260000,359.144,165.6595,-88898.265625,3008.3
253,253,3615.27,1265000,368.7653,176.4073,-89597.7890625,4490.95
254,254,3625.11,1270000,353.1604,167.8303,-87761.7890625,4193.17
255,255,4027.12,1275000,354.646,165.8649,-88997.65625,4060.08
256,256,4423.9,1280000,365.1659,166.478,-89944.6328125,4615.85
257,257,4584.31,1285000,365.7394,172.3597,-90135.96875,4357.06
258,258,4383.24,1290000,360.0456,160.5055,-88718.421875,2098.14
259,259,4663.19,1295000,370.5432,168.3852,-90056.125,4525.46
260,260,4345.35,1300000,362.9225,159.3631,-90358.5234375,4721.23
261,261,4478.06,1305000,359.9038,163.0843,-90937.359375,4761.01
262,262,3941.08,1310000,353.1871,158.9172,-90171.6875,3256.29
263,263,4567.24,1315000,361.2839,154.5345,-90275.59375,4686.44
264,264,4223.42,1320000,362.3849,162.5258,-89369.21875,2824.32
265,265,4526.54,1325000,362.6954,162.2574,-89300.8515625,1779.92
266,266,4250.85,1330000,357.494,164.1868,-87547.2265625,2908.36
267,267,4263.04,1335000,356.251,158.3325,-90274.65625,3990.56
268,268,4540.08,1340000,367.3904,167.8697,-91529.7734375,4121.23
269,269,4045.45,1345000,368.7305,168.3066,-86827.28125,1937.39
270,270,4645.06,1350000,350.9931,156.9229,-88521.3359375,3054.51
271,271,3008.21,1355000,357.0036,165.1749,-85681.84375,2200.84
272,272,4769.67,1360000,356.2542,160.3834,-91432.3203125,2391.08
273,273,4708.94,1365000,365.5146,165.2406,-86693.8046875,2714.87
274,274,4473.41,1370000,356.5072,157.9393,-88026.6015625,2559.7
275,275,4790.63,1375000,362.8819,164.5351,-91907.7890625,2667.65
276,276,4673.14,1380000,357.5668,163.7837,-91635.5546875,1312.73
277,277,3952.03,1385000,353.561,156.415,-89852.3515625,1972.16
278,278,4588.3,1390000,364.6181,165.6933,-91892.4375,2327.14
279,279,4597.57,1395000,363.8134,165.1026,-91600.8828125,2453.3
280,280,4583.75,1400000,355.8283,153.383,-90201.0703125,2231.87
281,281,4674.91,1405000,358.6364,160.3153,-91863.328125,2960.36
282,282,4793.2,1410000,362.9143,160.5346,-91961.328125,2217.9
283,283,4794.17,1415000,368.0393,162.2357,-92310.2734375,2637.69
284,284,4623.25,1420000,366.4872,165.0829,-92377.0625,2028.7
285,285,4775.17,1425000,372.8832,172.1092,-92558.890625,2034.0
286,286,4573.38,1430000,368.7578,173.7535,-92177.3828125,1598.05
287,287,4630.14,1435000,370.4947,170.7863,-92333.4375,4221.59
288,288,4540.85,1440000,372.0637,166.9367,-92312.6015625,3426.83
289,289,4585.44,1445000,367.6968,170.3496,-93375.6328125,2382.13
290,290,4751.54,1450000,366.8729,159.1778,-92353.734375,3285.94
291,291,3906.2,1455000,374.2447,166.2529,-92398.8515625,4753.53
292,292,4749.84,1460000,369.1572,162.2343,-92883.796875,4756.11
293,293,4622.56,1465000,372.7558,164.4842,-92958.1953125,2275.44
294,294,4759.58,1470000,368.2077,163.3872,-92564.7109375,2141.04
295,295,4773.44,1475000,369.7996,167.8495,-92711.234375,4869.36
296,296,4072.09,1480000,365.8614,163.7585,-92521.15625,2645.97
297,297,4361.4,1485000,366.9173,168.8256,-93015.71875,2150.96
298,298,3158.95,1490000,372.4754,184.6337,-90170.3046875,1005.58
299,299,4558.64,1495000,368.9179,161.1746,-92098.7578125,4088.46
300,300,4630.86,1500000,373.6609,168.8129,-93079.625,3760.68
301,301,4630.76,1505000,362.2531,164.9076,-92711.7734375,1971.95
302,302,4257.68,1510000,369.3068,169.419,-92316.0234375,2814.31
303,303,3428.57,1515000,373.1686,166.5175,-93181.578125,3174.44
304,304,4173.1,1520000,374.8025,166.0506,-93575.0703125,3760.46
305,305,3681.72,1525000,354.6912,161.7095,-92296.0078125,1766.1
306,306,4413.79,1530000,364.8,166.7053,-92548.15625,4427.57
307,307,4156.59,1535000,363.7982,171.0689,-92318.375,3468.92
308,308,4731.49,1540000,361.7692,175.2127,-93367.65625,3440.37
309,309,4586.77,1545000,363.6965,168.5777,-92707.265625,2133.31
310,310,4780.08,1550000,357.4381,163.146,-91975.4921875,4711.43
311,311,4519.93,1555000,362.7585,159.3901,-91512.375,4022.25
312,312,4738.37,1560000,362.7754,159.8843,-92267.40625,4287.68
313,313,4800.38,1565000,366.1261,172.2059,-93771.65625,3861.92
314,314,4764.77,1570000,366.9001,168.4889,-90983.2734375,3956.96
315,315,4787.88,1575000,367.6328,163.823,-92015.6640625,4159.39
316,316,4438.17,1580000,366.412,180.7327,-93754.375,4401.06
317,317,3844.66,1585000,368.2154,169.9954,-91716.4921875,2323.97
318,318,4759.68,1590000,360.7569,161.5836,-91759.3828125,3139.88
319,319,4631.68,1595000,376.9335,168.2064,-90578.8828125,4183.93
320,320,4775.79,1600000,366.0382,176.5326,-94147.09375,3220.9
321,321,4113.61,1605000,366.9388,182.7938,-93773.375,3442.2
322,322,3598.8,1610000,378.8974,168.6538,-87511.1484375,2346.32
323,323,4356.62,1615000,374.332,176.3746,-88869.75,2418.89
324,324,4722.21,1620000,358.8151,174.6368,-93782.34375,2393.3
325,325,3405.61,1625000,361.7708,176.6119,-92788.9765625,1323.52
326,326,2688.09,1630000,373.0169,186.2789,-83795.5859375,1780.65
327,327,3597.31,1635000,369.5407,179.287,-91515.546875,2310.89
328,328,3615.34,1640000,370.3774,175.4266,-84853.8671875,1630.64
329,329,2820.75,1645000,367.5541,170.7453,-86126.2578125,2658.4
330,330,4501.57,1650000,368.3248,178.3637,-93904.2578125,3233.05
331,331,4388.65,1655000,365.972,170.6964,-89871.9765625,1943.79
332,332,3986.68,1660000,370.8381,163.7161,-90251.265625,3545.06
333,333,3151.37,1665000,373.6646,160.465,-90804.3828125,2175.82
334,334,4056.4,1670000,356.1723,173.2513,-92640.71875,2740.03
335,335,3222.53,1675000,393.0587,171.4345,-81906.8203125,1242.55
336,336,1834.75,1680000,381.5564,174.6582,-84690.1328125,966.78
337,337,1719.94,1685000,381.6318,198.6271,-82687.0703125,838.0
338,338,1595.3,1690000,374.994,193.2117,-79284.9375,1431.55
339,339,1034.04,1695000,382.0538,225.8239,-75961.25,744.52
340,340,3256.36,1700000,374.5664,179.8742,-83296.5390625,1228.52
341,341,790.44,1705000,415.0693,241.7098,-81583.28125,330.36
342,342,1624.31,1710000,380.8076,212.8655,-78348.7890625,2231.3
343,343,1156.9,1715000,406.552,275.3912,-78609.3046875,2604.07
344,344,1694.4,1720000,384.3672,245.0518,-81149.0,1219.74
345,345,898.74,1725000,398.2306,227.9929,-77839.4765625,504.87
346,346,887.49,1730000,373.7481,186.5381,-81718.3125,906.65
347,347,2014.59,1735000,375.8801,197.9996,-72402.859375,2681.36
348,348,987.99,1740000,399.3592,233.7025,-65789.625,886.13
349,349,1263.0,1745000,388.6237,214.7913,-62710.265625,996.63
350,350,1143.07,1750000,370.1197,249.4679,-72064.0078125,716.4
351,351,864.68,1755000,392.1246,259.2122,-64889.92578125,744.05
352,352,1122.55,1760000,407.2887,309.2287,-75466.578125,940.69
353,353,531.79,1765000,443.6888,320.0277,-71081.0,650.81
354,354,1118.65,1770000,384.833,228.2831,-68377.90625,1074.14
355,355,1557.98,1775000,396.3587,267.4781,-71491.0234375,1509.59
356,356,927.05,1780000,404.9652,280.6045,-77010.6640625,618.14
357,357,1469.74,1785000,397.228,303.2767,-78034.5703125,857.54
358,358,1593.8,1790000,394.6898,251.2803,-85671.171875,2760.23
359,359,2744.15,1795000,400.4207,293.8337,-83760.671875,990.0
360,360,2405.55,1800000,415.8129,334.9358,-91971.078125,4578.24
361,361,2387.01,1805000,432.0334,379.1106,-85971.828125,1255.73
362,362,1920.11,1810000,423.0482,382.5061,-93621.8671875,1632.01
363,363,389.47,1815000,485.37,486.7683,-89633.28125,392.12
364,364,918.15,1820000,411.2377,383.4485,-94138.7265625,2385.94
365,365,98.51,1825000,603.5206,526.1814,-89964.734375,91.07
366,366,1229.17,1830000,444.756,515.7263,-82471.90625,92.83
367,367,405.34,1835000,425.1514,402.2662,-76978.078125,93.28
368,368,205.32,1840000,495.4013,577.8323,-73611.0,109.53
369,369,369.59,1845000,463.486,577.8696,-85323.8203125,92.81
370,370,3549.56,1850000,395.2415,296.0758,-94958.703125,3525.81
371,371,3003.83,1855000,398.955,307.3712,-95318.6796875,1074.84
372,372,1357.52,1860000,445.9844,573.7903,-94811.1328125,545.19
373,373,2114.2,1865000,423.1162,536.251,-95228.46875,1189.54
374,374,2417.53,1870000,432.0888,547.3976,-96043.6015625,1986.62
375,375,1339.04,1875000,424.2357,616.5802,-96304.1796875,1122.46
376,376,1800.93,1880000,417.0803,519.3579,-96267.5078125,1405.47
377,377,2317.53,1885000,409.2532,443.4877,-96092.1796875,1912.28
378,378,2488.12,1890000,424.9054,510.0755,-92794.234375,1049.56
379,379,2466.47,1895000,431.233,566.5918,-95454.953125,1060.77
380,380,1429.01,1900000,430.3268,630.0228,-96351.1796875,1952.27
381,381,2091.5,1905000,410.734,512.9199,-96251.046875,1274.8
382,382,2262.24,1910000,423.9281,551.3633,-96705.109375,1926.48
383,383,1199.61,1915000,449.91,700.7959,-96236.71875,1133.4
384,384,1418.05,1920000,427.9919,618.1036,-96981.5234375,1708.27
385,385,1624.09,1925000,432.4816,657.4653,-95853.65625,755.6
386,386,932.99,1930000,449.6189,741.657,-93770.9453125,769.71
387,387,1158.17,1935000,424.2776,725.7656,-96644.0,711.5
388,388,699.85,1940000,427.6066,740.5887,-97128.1953125,1056.03
389,389,515.94,1945000,436.2972,750.3799,-97137.8046875,465.82
390,390,878.67,1950000,449.9827,769.6688,-96979.828125,634.95
391,391,1076.03,1955000,434.3833,756.5779,-96621.25,795.56
392,392,727.01,1960000,439.8699,780.4866,-96981.0703125,539.63
393,393,686.56,1965000,450.6819,802.5654,-97599.1171875,787.39
394,394,381.07,1970000,465.2565,807.2679,-97047.796875,318.17
395,395,158.25,1975000,493.692,790.0554,-96320.109375,167.55
396,396,85.46,1980000,574.4462,898.2141,-98072.2421875,91.8
397,397,63.99,1985000,775.7666,904.5604,-98489.15625,66.42
398,398,63.37,1990000,836.3597,863.0063,-98471.8515625,63.84
399,399,62.97,1995000,851.8726,931.34,-98524.828125,63.49
400,400,61.86,2000000,857.8444,939.5827,-98613.921875,62.61
401,401,61.78,2005000,848.2163,949.5149,-98643.9140625,62.18
402,402,62.24,2010000,841.1696,959.4813,-98677.8984375,62.41
