Running Env Steps,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Itration,Real Det Return
435000,2063.3,-1085.5194091796875,87,23.7443,16.5131,87,3153.14
440000,1688.76,-1721.6466064453125,88,22.5201,18.9666,88,3139.77
445000,1731.0,-2156.603759765625,89,23.5382,19.6847,89,3301.75
450000,1599.47,-2523.622802734375,90,24.3864,26.7041,90,2731.68
455000,1683.16,-2422.391357421875,91,23.2903,25.0873,91,3230.03
460000,1570.38,-1861.0445556640625,92,21.6915,23.0775,92,3392.33
465000,2174.83,-1589.6722412109375,93,22.119,16.9647,93,3258.12
470000,958.89,-2364.601318359375,94,23.5426,22.191,94,724.23
475000,2006.7,-1762.25439453125,95,23.1622,19.4946,95,3276.21
480000,1393.41,-2294.80859375,96,24.5202,22.2774,96,1026.6
485000,1439.2,-2508.37744140625,97,23.8679,22.7792,97,1494.31
490000,1221.96,-2476.221923828125,98,23.7503,22.0025,98,2612.19
495000,1956.78,-1962.1732177734375,99,22.1512,20.8422,99,3242.99
500000,1265.57,-2916.583251953125,100,25.2018,29.1691,100,2493.39
505000,1479.05,-2215.423583984375,101,23.0938,27.3514,101,2761.94
510000,1821.76,-1972.4935302734375,102,23.3415,21.032,102,1739.25
515000,1602.4,-2651.6748046875,103,23.9194,30.2169,103,1870.91
520000,1604.21,-2885.7900390625,104,24.1343,27.4424,104,985.17
525000,1415.6,-3329.6142578125,105,23.6257,32.6987,105,550.35
530000,2141.43,-2294.1630859375,106,23.6109,28.7838,106,3133.95
535000,1228.39,-3046.724365234375,107,23.8041,34.1927,107,1096.41
540000,1308.28,-3165.877685546875,108,24.3672,28.0407,108,1401.66
545000,1220.03,-3235.456787109375,109,24.9788,31.1537,109,1299.07
550000,1383.61,-2601.7099609375,110,23.4175,25.9951,110,1621.54
555000,1652.68,-2701.96826171875,111,22.9994,23.1247,111,2181.92
560000,1571.2,-3237.625,112,24.5683,30.7145,112,1071.76
565000,1082.7,-3651.073974609375,113,24.9776,33.3202,113,1373.4
570000,1157.97,-3343.355712890625,114,24.3921,35.5213,114,1373.22
575000,1140.73,-3828.660400390625,115,24.5181,36.3465,115,964.92
580000,1254.36,-4042.62353515625,116,24.3921,39.8925,116,821.02
585000,1397.85,-3431.39599609375,117,23.5428,37.3035,117,1526.55
590000,1137.1,-3657.315673828125,118,23.4296,37.1532,118,1085.6
595000,1391.39,-3280.531982421875,119,23.4265,31.2058,119,2177.34
600000,1200.48,-3633.98291015625,120,24.0911,32.2929,120,1390.38
605000,1187.9,-3338.02099609375,121,24.4184,28.7979,121,1598.52
610000,1225.31,-4041.356689453125,122,24.6559,37.9788,122,2048.67
615000,1215.9,-4139.06640625,123,24.4088,30.8305,123,1254.18
620000,1505.22,-3849.59521484375,124,24.6294,37.3888,124,1164.8
625000,1382.38,-3653.24365234375,125,24.2879,43.8848,125,978.68
630000,1529.52,-3813.971923828125,126,24.7902,37.7564,126,1125.02
635000,1214.26,-4391.2041015625,127,22.6024,65.5988,127,1086.71
640000,1350.22,-3048.0029296875,128,22.6059,28.1986,128,2553.4
645000,1547.88,-4102.26611328125,129,24.2363,37.2419,129,1600.14
650000,1189.35,-3814.9169921875,130,23.3012,38.3052,130,1814.99
655000,643.67,-4182.62255859375,131,24.1266,36.5952,131,274.46
660000,1406.56,-4514.74658203125,132,24.3237,39.956,132,1674.29
665000,1210.61,-4638.67626953125,133,24.1077,48.8778,133,2081.76
670000,1364.63,-4118.09912109375,134,22.0054,47.4,134,1622.76
675000,1356.66,-4038.931884765625,135,23.8349,33.6871,135,1278.37
680000,1585.73,-4197.2822265625,136,23.8004,37.649,136,945.53
685000,1598.28,-3830.222900390625,137,23.3762,36.8492,137,2038.71
690000,1447.29,-4266.759765625,138,23.0684,46.7974,138,1942.3
695000,1062.65,-3981.481201171875,139,23.7119,36.5588,139,2388.89
700000,1471.59,-4908.34716796875,140,24.3931,40.1017,140,2385.46
705000,1744.23,-3895.842041015625,141,23.0881,35.9155,141,1005.08
710000,1524.56,-4011.15478515625,142,22.8094,39.0732,142,1377.72
715000,1399.6,-3957.56201171875,143,23.6372,32.6894,143,1771.0
720000,1499.19,-4696.279296875,144,23.1467,40.867,144,1188.44
725000,1353.26,-4465.39892578125,145,22.9409,36.9428,145,1724.93
730000,1231.48,-4434.15234375,146,22.9858,41.7899,146,1137.88
735000,1304.8,-4414.275390625,147,23.3572,35.6257,147,1236.01
740000,1650.57,-4499.42529296875,148,23.1098,34.2612,148,1461.71
745000,1579.55,-4328.43505859375,149,22.5629,34.9594,149,1585.51
750000,1817.78,-4331.90185546875,150,22.5895,36.2435,150,1952.88
755000,1390.65,-4283.25390625,151,22.8042,45.8082,151,2420.73
760000,1319.18,-4911.896484375,152,23.5841,33.9914,152,1525.42
765000,1263.99,-5306.71240234375,153,23.354,31.8847,153,1755.58
770000,1879.94,-5021.20263671875,154,23.0534,41.0277,154,3524.95
775000,1500.25,-4328.95703125,155,22.9819,35.0821,155,2304.59
780000,1285.08,-5693.02099609375,156,23.8775,50.2971,156,2372.04
785000,1480.97,-4595.3837890625,157,23.3801,32.8227,157,2188.76
790000,1393.86,-5500.90966796875,158,24.4944,35.1208,158,1119.86
795000,1354.33,-4907.41064453125,159,23.1158,42.2973,159,1741.93
800000,2074.48,-4420.11279296875,160,22.8357,39.3836,160,1963.83
805000,2051.72,-5717.853515625,161,24.1372,55.0984,161,3041.95
810000,1329.54,-5054.0361328125,162,22.6285,50.0829,162,2105.38
815000,1825.3,-5088.1513671875,163,22.3603,41.0262,163,2195.15
820000,1495.13,-5436.80712890625,164,22.9138,30.0218,164,1367.22
825000,1370.37,-5516.255859375,165,23.3587,51.5352,165,1222.7
830000,1623.8,-5013.72998046875,166,22.5303,36.6706,166,1227.14
835000,1797.32,-4920.9296875,167,22.9571,32.8699,167,1212.72
840000,847.12,-5819.5361328125,168,23.3425,51.0345,168,1794.77
845000,1294.16,-6179.04150390625,169,24.0187,37.1215,169,1982.74
850000,1595.13,-5476.29052734375,170,23.3964,33.5852,170,1597.89
855000,1360.31,-5848.85400390625,171,23.7792,52.2059,171,2699.22
860000,1241.74,-5576.55126953125,172,24.169,36.4115,172,1791.95
865000,1575.58,-5711.71435546875,173,23.6249,58.1142,173,1899.61
870000,1630.99,-3275.64208984375,174,21.7138,23.8986,174,2129.34
875000,1358.59,-6228.337890625,175,23.4326,34.5396,175,2394.63
880000,1111.67,-6235.16845703125,176,23.1637,75.1023,176,1504.76
885000,1249.69,-6192.3779296875,177,24.5535,32.6625,177,1689.87
890000,1658.22,-6005.18701171875,178,23.9,40.915,178,1991.41
895000,13.07,-5822.12841796875,179,23.3566,38.5019,179,9.43
900000,1563.44,-5849.50634765625,180,23.3515,34.291,180,1817.83
905000,1268.44,-6667.22509765625,181,24.2214,41.289,181,1333.07
910000,1272.11,-5517.59033203125,182,22.7165,29.5851,182,1049.27
915000,1778.46,-5169.64990234375,183,23.0272,42.3841,183,2517.65
920000,881.0,-6387.52001953125,184,23.563,51.5103,184,1044.1
925000,1294.17,-6781.607421875,185,23.3174,50.1584,185,2564.58
930000,1216.79,-6791.34033203125,186,23.2629,39.182,186,1802.72
935000,1520.44,-6090.37646484375,187,22.8817,48.2207,187,1656.33
940000,1561.22,-5901.4111328125,188,22.1855,42.589,188,1719.82
945000,1521.68,-7344.0205078125,189,23.9092,37.1733,189,1620.85
950000,1694.74,-6366.22021484375,190,23.4568,46.7019,190,2008.45
955000,1428.22,-6372.10791015625,191,22.6011,36.5088,191,1724.99
960000,1283.83,-7701.6455078125,192,23.9373,36.3767,192,1823.73
965000,1202.01,-7726.84912109375,193,23.1006,31.5359,193,1720.1
970000,1506.3,-6676.45849609375,194,23.8732,44.1631,194,1549.33
975000,1126.43,-8455.9716796875,195,23.742,67.1765,195,1505.66
980000,1315.6,-7313.97314453125,196,23.5578,23.5727,196,1301.29
985000,1262.87,-7431.24853515625,197,22.7438,41.3071,197,2428.73
990000,1532.09,-7683.45654296875,198,23.4924,46.053,198,1268.56
995000,1303.12,-7712.90283203125,199,23.3233,45.8983,199,1631.7
