Running Update Time,Real Sto Return,Real Det Return,Itration,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL
40,1338.72,865.49,40,200000,-6940.498046875,319.7129,301.6981
41,1105.71,667.07,41,205000,-6320.486328125,305.8904,251.6983
42,1285.05,888.42,42,210000,-7107.0498046875,313.9909,304.3171
43,1481.94,1278.35,43,215000,-7106.841796875,309.9336,359.4722
44,1927.0,1280.08,44,220000,-6215.84033203125,297.097,251.3619
45,1739.72,1153.3,45,225000,-5950.67626953125,296.9258,280.4252
46,1719.32,923.84,46,230000,-7169.14208984375,306.9141,286.1286
47,1756.66,898.67,47,235000,-7925.28515625,309.0665,291.71
48,1142.45,684.07,48,240000,-8460.234375,312.7464,351.2067
49,3009.37,1131.9,49,245000,-4556.80908203125,282.1528,155.8118
50,3433.48,2197.77,50,250000,-2914.924072265625,269.5441,109.3025
51,2160.67,1026.27,51,255000,-5227.078125,310.1548,186.6643
52,2472.51,1506.25,52,260000,-3329.421875,274.002,126.9789
53,2178.67,1352.94,53,265000,-4659.20556640625,274.3196,172.707
54,2525.57,994.8,54,270000,-7037.25,280.0679,216.754
55,3162.51,3053.71,55,275000,-5301.8583984375,298.8123,196.1695
56,2329.38,3381.61,56,280000,-5537.78369140625,277.7949,160.9475
57,3208.73,1360.05,57,285000,-4787.36328125,278.792,143.6068
58,3106.87,3594.08,58,290000,-2825.353515625,268.8064,102.362
59,3344.3,4413.45,59,295000,-4880.88671875,275.3544,146.5056
60,3073.37,2162.11,60,300000,-5323.9599609375,290.4438,157.0658
61,3183.33,4220.54,61,305000,-3834.482177734375,279.9276,134.7955
62,2745.57,3691.45,62,310000,-6653.1298828125,289.1737,181.5485
63,3761.01,1218.82,63,315000,-3805.76953125,264.148,110.72
64,4534.55,4273.55,64,320000,-2683.4541015625,267.4021,95.7764
65,3151.03,2170.92,65,325000,-5485.2392578125,269.8513,141.6465
66,4688.16,3866.92,66,330000,-3875.365966796875,268.3414,118.0345
67,3640.0,1741.85,67,335000,-1988.30029296875,254.6021,78.552
68,4737.61,2827.89,68,340000,-2514.67138671875,266.9461,94.7819
69,4347.33,4750.71,69,345000,-2056.095703125,267.5496,93.9534
70,4696.71,3868.96,70,350000,-2580.635986328125,259.1988,92.4198
71,3497.52,2271.51,71,355000,-6036.06591796875,267.7539,161.3002
72,4880.04,4938.1,72,360000,-2288.716796875,265.0169,88.8927
73,4184.22,2237.86,73,365000,-4860.6328125,258.9745,127.0972
74,4570.18,4809.21,74,370000,-2927.499755859375,270.5244,87.9183
75,4778.92,3290.39,75,375000,-3443.49365234375,260.1134,89.9613
76,4426.25,4676.56,76,380000,-5554.009765625,269.2451,132.5466
77,4718.43,2703.54,77,385000,-3156.208740234375,262.0429,87.522
78,3936.02,1276.75,78,390000,-5129.41162109375,262.7396,119.0802
79,4296.98,1660.09,79,395000,-4979.85498046875,262.1059,118.2783
80,4600.71,4364.78,80,400000,-2485.645263671875,248.1649,58.9966
81,4123.02,3505.91,81,405000,-3616.911865234375,267.4284,91.3461
82,4246.12,3652.67,82,410000,-3584.31982421875,262.4676,85.4536
83,4024.77,1791.23,83,415000,-3179.9814453125,251.2506,75.4477
84,4153.62,3201.68,84,420000,-6537.4638671875,273.2277,143.2823
85,4809.96,4271.33,85,425000,-3549.576171875,264.4434,84.3247
86,4207.66,1776.18,86,430000,-3976.933837890625,251.9165,81.6542
87,3124.34,3846.74,87,435000,-3982.00341796875,255.6997,83.4927
88,4975.42,1850.87,88,440000,-3282.181884765625,259.0982,71.7267
89,5123.24,4711.78,89,445000,-3371.22705078125,249.2487,69.9192
90,4729.39,3708.32,90,450000,-3663.357421875,249.9764,69.8095
91,4544.09,5180.91,91,455000,-5313.44091796875,279.1911,107.605
92,4237.97,4786.98,92,460000,-4356.12255859375,262.6225,82.1915
93,4817.14,5234.1,93,465000,-4668.10791015625,272.4732,96.3001
94,5067.0,5166.31,94,470000,-3808.253662109375,254.4053,73.0386
95,4536.91,5167.12,95,475000,-4704.56005859375,259.667,84.7439
96,4969.56,5283.24,96,480000,-4165.75927734375,255.8328,81.5429
97,4536.86,3387.93,97,485000,-4536.49755859375,252.1803,79.5618
98,4478.71,5178.78,98,490000,-4969.4638671875,264.3949,86.7865
99,4863.61,5193.83,99,495000,-5233.62548828125,267.1815,92.6121
100,5037.1,5117.93,100,500000,-4936.90625,272.2225,90.4195
101,4989.79,5202.32,101,505000,-5799.32568359375,268.9351,99.4112
102,4630.86,4556.33,102,510000,-5140.8330078125,265.5166,87.1731
103,4937.58,5184.95,103,515000,-4918.0419921875,256.6101,83.4435
104,4991.98,5114.07,104,520000,-5360.388671875,262.597,83.6773
105,5020.44,5173.77,105,525000,-5402.720703125,262.0603,83.5232
106,4889.12,5232.76,106,530000,-5245.4599609375,258.4238,82.1438
107,5065.75,5162.08,107,535000,-5557.2587890625,270.9284,87.4333
108,4546.06,4555.23,108,540000,-5354.5341796875,270.8475,93.0817
109,4939.43,5179.83,109,545000,-5481.6015625,257.8596,77.6501
110,5107.19,5219.14,110,550000,-6331.6357421875,264.7999,97.8839
111,5091.28,5265.92,111,555000,-6058.47998046875,253.3379,80.7424
112,5156.96,5269.66,112,560000,-5580.15234375,250.4408,76.344
113,4408.04,5033.67,113,565000,-7627.2919921875,276.4833,125.3701
114,5059.96,5245.1,114,570000,-6716.41650390625,261.8206,98.2242
115,4829.7,4783.0,115,575000,-6078.9384765625,255.2842,80.8582
116,5049.9,5241.55,116,580000,-6481.33056640625,261.0894,92.0958
117,4944.7,5233.93,117,585000,-6393.4755859375,257.0599,78.6083
118,4529.13,5237.31,118,590000,-6437.7138671875,263.8148,79.2883
119,4939.47,5267.03,119,595000,-6886.06787109375,259.8477,86.5175
120,5010.15,5244.59,120,600000,-6740.927734375,261.5914,80.9941
121,4765.15,5288.06,121,605000,-7765.51171875,265.2846,108.4749
122,4980.53,5216.95,122,610000,-6791.62646484375,259.0766,80.2466
123,5161.89,5249.52,123,615000,-7088.5029296875,257.2092,84.5783
124,4918.67,5260.2,124,620000,-7685.7900390625,258.2091,88.4189
125,4977.5,5273.28,125,625000,-8304.5859375,272.7651,110.0728
126,5068.37,5377.95,126,630000,-7690.06298828125,254.0197,90.3989
127,5083.44,5173.22,127,635000,-7479.0625,254.036,76.3333
128,4512.75,5009.82,128,640000,-7441.62939453125,258.2911,82.2003
129,4339.23,5275.99,129,645000,-7938.60791015625,261.935,84.7402
130,5123.54,5201.66,130,650000,-8007.09130859375,259.3301,80.3377
131,3327.9,3893.72,131,655000,-8740.1796875,265.7018,114.953
132,4454.0,4938.71,132,660000,-8858.4501953125,278.479,106.8095
133,4076.59,4587.27,133,665000,-9508.5244140625,272.436,140.336
134,4413.52,5049.33,134,670000,-9524.23046875,274.1901,148.5572
135,4594.34,5246.67,135,675000,-8801.3408203125,269.4951,101.535
136,4061.48,3485.69,136,680000,-8009.05419921875,259.7948,86.3207
137,3856.34,5371.58,137,685000,-9842.587890625,272.1924,126.9884
138,5048.81,5121.3,138,690000,-7907.4404296875,254.9468,70.8978
139,4887.08,4987.52,139,695000,-7986.4052734375,251.0443,67.826
140,4744.62,5248.87,140,700000,-9816.8662109375,271.1463,107.1702
141,1506.96,1849.86,141,705000,-12179.94140625,313.2392,252.5691
142,5168.99,5240.4,142,710000,-8395.951171875,249.9782,66.8581
143,5020.66,4975.58,143,715000,-7546.7978515625,243.6771,67.3733
144,4349.32,5064.26,144,720000,-7804.58935546875,249.4712,60.1711
145,4562.48,4759.07,145,725000,-8292.8798828125,255.2543,67.5667
146,4961.18,5262.99,146,730000,-8791.529296875,249.3851,69.1736
147,5142.83,4914.2,147,735000,-8295.47265625,248.9344,72.4708
148,5115.88,4894.1,148,740000,-8338.6015625,251.8629,63.0443
149,5175.86,5063.87,149,745000,-7845.896484375,242.4969,55.6755
150,4840.54,5179.41,150,750000,-9460.548828125,254.5432,70.5593
151,4871.05,5256.03,151,755000,-8326.66796875,244.3074,67.5197
152,4726.93,4876.21,152,760000,-8121.19091796875,247.1807,57.7499
153,5021.59,5089.67,153,765000,-8250.80859375,242.3555,52.0627
154,4071.84,5188.94,154,770000,-9335.6904296875,259.4042,91.01
155,5101.39,5204.51,155,775000,-8704.2744140625,245.4443,56.0004
156,4837.05,5153.36,156,780000,-8780.453125,247.3081,54.517
157,4994.97,5107.23,157,785000,-8813.6787109375,244.8217,64.9416
158,5120.41,5147.28,158,790000,-8402.5078125,242.1145,54.6483
159,4684.48,5212.42,159,795000,-9126.404296875,244.3861,55.5505
160,4698.4,5183.79,160,800000,-9420.982421875,246.7386,57.5257
161,4884.52,4989.77,161,805000,-9362.3505859375,249.7721,62.6432
162,5072.99,5127.48,162,810000,-9085.6650390625,250.2646,57.6533
163,5013.48,5237.95,163,815000,-9291.2431640625,244.0761,58.9941
164,4752.74,4963.4,164,820000,-9826.224609375,247.9167,68.046
165,4863.2,4940.09,165,825000,-8945.5751953125,243.4762,54.7397
166,4658.54,5142.3,166,830000,-10106.537109375,252.1737,73.0347
167,3287.14,4205.61,167,835000,-11305.10546875,276.2666,122.058
168,4536.3,5264.02,168,840000,-9662.0029296875,255.7085,59.0036
169,5105.79,4892.18,169,845000,-9665.3876953125,245.6616,48.7081
170,5143.28,5213.45,170,850000,-10175.05078125,247.4898,72.9901
171,5077.9,5143.72,171,855000,-10029.955078125,249.2425,61.4114
172,5065.83,5160.42,172,860000,-9901.548828125,247.5121,56.6108
173,4305.8,5211.69,173,865000,-10665.65625,247.8524,86.1961
174,5223.64,5368.8,174,870000,-10597.328125,252.4444,72.6844
175,4955.72,5021.2,175,875000,-10505.7265625,257.6833,61.4665
176,4656.0,5227.62,176,880000,-10244.0283203125,243.9674,49.7706
177,4961.83,5194.01,177,885000,-10445.4736328125,256.4768,58.3122
178,5105.54,5167.55,178,890000,-9981.85546875,245.0742,51.765
179,4991.9,5348.51,179,895000,-10842.0048828125,251.3977,60.4836
180,4595.33,5164.36,180,900000,-11046.8544921875,257.0265,60.1232
181,5000.84,5242.18,181,905000,-11006.876953125,249.7524,60.5353
182,4920.1,5193.01,182,910000,-10297.662109375,244.9056,55.3097
183,5009.73,5230.84,183,915000,-10662.7529296875,256.4147,58.16
184,5273.06,5353.25,184,920000,-11162.615234375,250.803,66.4367
185,4862.42,5221.26,185,925000,-10954.943359375,249.7378,53.8008
186,5153.99,5364.75,186,930000,-11245.345703125,244.0123,53.7318
187,4492.37,5156.1,187,935000,-11895.9599609375,263.3789,77.2535
188,4727.1,5086.04,188,940000,-10663.55078125,245.8581,46.6321
189,4923.02,5308.14,189,945000,-11289.251953125,248.8235,52.0093
190,4853.98,4612.65,190,950000,-11323.421875,255.5885,52.9459
191,4243.68,4819.79,191,955000,-12712.216796875,266.8898,113.2728
192,4955.13,5205.87,192,960000,-11175.951171875,246.8549,50.1886
193,5075.53,5265.41,193,965000,-11390.138671875,250.1504,50.5277
194,5097.78,5222.43,194,970000,-11062.6181640625,247.8985,45.8591
195,4977.31,5259.7,195,975000,-11425.9912109375,248.0282,50.4859
196,4937.38,5267.39,196,980000,-10461.58984375,243.4541,44.1503
197,4205.79,5233.72,197,985000,-12934.310546875,267.176,115.0852
198,5118.6,5294.49,198,990000,-10941.01171875,238.0326,43.014
199,5180.54,5274.56,199,995000,-11465.6640625,246.207,50.5418
200,4966.92,5283.53,200,1000000,-11396.6259765625,245.904,60.4348
201,4774.89,5367.73,201,1005000,-11269.7548828125,242.6722,43.8312
202,5093.94,5307.37,202,1010000,-11332.212890625,242.7085,43.2975
203,5134.37,5337.29,203,1015000,-11718.4541015625,246.4768,47.9606
204,5116.95,5393.53,204,1020000,-12391.0390625,251.8007,57.2014
205,5027.45,5014.43,205,1025000,-12018.4462890625,247.6014,48.2198
206,5205.7,5385.56,206,1030000,-12197.7998046875,247.7212,51.1437
207,5102.89,5299.6,207,1035000,-11798.3359375,245.0841,45.0486
208,5043.29,5340.17,208,1040000,-12027.5478515625,243.7435,48.8491
209,5209.04,5373.2,209,1045000,-12108.1181640625,249.5931,53.0027
210,5159.04,5297.22,210,1050000,-11975.435546875,243.5302,44.9971
211,4883.58,5026.03,211,1055000,-11952.38671875,246.0883,42.8747
212,5155.67,5265.19,212,1060000,-12553.15234375,254.8145,54.0172
213,5011.15,5250.6,213,1065000,-12273.7939453125,246.4916,49.2987
214,5085.43,5287.33,214,1070000,-12092.4697265625,246.0803,47.0586
215,4952.91,5188.78,215,1075000,-11928.96875,244.8796,46.3087
216,4956.44,5280.29,216,1080000,-12642.341796875,254.4178,70.8848
217,5167.09,5270.35,217,1085000,-12375.095703125,253.1109,65.3971
218,5165.6,5017.17,218,1090000,-12590.5078125,246.1892,49.7305
219,4762.53,5266.14,219,1095000,-13204.044921875,257.9341,80.2404
220,5136.59,5264.53,220,1100000,-13239.9560546875,253.7393,67.481
221,5070.86,5255.68,221,1105000,-12638.224609375,246.1206,48.9072
222,4952.37,5272.52,222,1110000,-13243.93359375,254.666,60.4458
223,5112.13,5304.98,223,1115000,-13050.8671875,249.2026,59.3738
224,5216.39,5291.84,224,1120000,-12546.857421875,243.3876,51.192
225,5228.02,5353.29,225,1125000,-12948.7451171875,248.1387,61.0888
226,4882.09,5299.75,226,1130000,-13833.8291015625,251.4562,65.3741
227,5008.5,5309.24,227,1135000,-13281.62109375,248.9968,61.6987
228,5268.89,5374.09,228,1140000,-13199.9814453125,248.9764,57.8586
229,5248.35,5109.82,229,1145000,-13050.435546875,246.0146,57.0832
