Real Det Return,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Running Env Steps
2027.17,24.8195,1986.21,-569.9942016601562,13.3247,34,34,170000
3073.93,22.8776,2854.36,-688.6223754882812,13.1007,35,35,175000
3015.7,23.0295,2062.77,-837.548095703125,15.3575,36,36,180000
3057.99,22.456,1952.63,-804.2390747070312,17.0996,37,37,185000
3080.73,21.6398,2793.04,-676.5136108398438,11.2579,38,38,190000
3188.48,21.6589,2840.81,-700.0501708984375,13.3531,39,39,195000
3088.75,22.8487,2712.93,-695.2924194335938,12.1746,40,40,200000
3022.13,21.7679,2785.23,-674.0900268554688,10.7903,41,41,205000
3133.82,22.1621,2403.34,-821.060546875,15.3768,42,42,210000
3154.22,22.9742,2225.39,-916.9686279296875,15.0764,43,43,215000
2724.65,23.6335,1703.08,-1188.8201904296875,16.0376,44,44,220000
2317.68,23.1937,2133.57,-1206.3751220703125,15.9608,45,45,225000
3104.57,21.892,3063.64,-685.544677734375,11.0748,46,46,230000
3144.76,21.409,2902.87,-672.94482421875,11.1785,47,47,235000
3126.84,21.8195,2744.44,-916.493408203125,11.6537,48,48,240000
3165.19,21.0502,2534.39,-881.6062622070312,15.7185,49,49,245000
3222.75,20.472,2967.17,-545.7318725585938,11.0128,50,50,250000
3100.51,20.7819,1990.42,-864.6820068359375,12.6766,51,51,255000
2732.11,20.9659,2708.73,-883.2501220703125,12.7449,52,52,260000
3203.92,20.4749,2209.09,-902.9592895507812,15.3024,53,53,265000
3184.16,20.4792,2837.49,-845.207763671875,9.8783,54,54,270000
3165.18,21.1112,2305.67,-1013.3865966796875,13.4857,55,55,275000
3272.91,20.5669,2519.78,-803.5509033203125,10.9683,56,56,280000
3321.44,20.4234,2499.56,-1039.208984375,14.8433,57,57,285000
3346.04,17.8125,3240.06,-585.8309936523438,8.9139,58,58,290000
3254.94,19.4344,2820.26,-841.2202758789062,12.9496,59,59,295000
3342.75,19.4532,2082.42,-1126.8546142578125,18.2602,60,60,300000
3243.75,19.2823,3249.38,-715.2703247070312,10.4086,61,61,305000
3370.78,17.416,3329.83,-618.99755859375,9.4803,62,62,310000
3279.0,18.8787,3144.31,-1016.9555053710938,14.1136,63,63,315000
3328.85,18.8075,2584.91,-816.4547119140625,11.2032,64,64,320000
3273.52,19.241,2137.67,-1103.531982421875,14.9485,65,65,325000
3363.16,17.3507,3319.7,-786.7407836914062,9.8585,66,66,330000
3339.52,17.651,3143.82,-695.1005249023438,9.6321,67,67,335000
3253.45,19.6507,3273.91,-1051.517822265625,10.4253,68,68,340000
3470.89,19.3099,1941.24,-1061.1844482421875,23.8001,69,69,345000
3408.31,17.9467,3315.74,-864.2496337890625,11.0295,70,70,350000
3277.89,17.6205,3318.45,-751.6232299804688,9.332,71,71,355000
3389.64,17.9645,3382.7,-821.7366333007812,10.4192,72,72,360000
3479.83,17.3755,3414.05,-807.3025512695312,9.385,73,73,365000
3403.57,17.9243,3371.5,-877.1654663085938,9.9101,74,74,370000
3452.63,17.8345,3452.17,-755.8028564453125,9.8019,75,75,375000
3471.41,17.8806,3200.39,-779.0029907226562,10.0243,76,76,380000
3417.91,18.5392,2387.09,-1132.2633056640625,11.8892,77,77,385000
3535.26,18.0066,2895.98,-1084.0902099609375,11.246,78,78,390000
3419.68,17.9197,3405.55,-895.716064453125,9.6233,79,79,395000
3550.73,18.5202,1991.18,-1183.6053466796875,13.99,80,80,400000
3449.88,20.6476,2484.46,-1744.0758056640625,22.25,81,81,405000
3532.2,17.0226,3482.23,-798.7014770507812,9.3984,82,82,410000
3501.83,17.3438,3201.41,-873.8951416015625,10.2225,83,83,415000
3523.74,18.0554,3487.94,-812.6226196289062,9.8866,84,84,420000
3525.15,17.2235,3198.2,-879.1117553710938,9.7823,85,85,425000
3477.93,18.5344,3013.16,-1369.7452392578125,13.0365,86,86,430000
3491.63,17.9083,3405.35,-1019.7430419921875,10.4748,87,87,435000
3477.42,16.1968,3385.99,-699.1029052734375,8.8597,88,88,440000
3437.57,17.2633,3437.95,-912.9060668945312,10.3807,89,89,445000
3389.95,16.4629,3393.32,-868.0350952148438,9.4617,90,90,450000
3490.38,16.3354,3209.28,-737.9478759765625,9.0213,91,91,455000
3466.17,17.0726,2776.03,-1232.259765625,10.8414,92,92,460000
3468.01,17.0731,3337.14,-876.6220092773438,9.8354,93,93,465000
3491.2,17.3023,2234.5,-1069.3201904296875,10.4386,94,94,470000
3473.42,17.2349,3280.51,-959.0943603515625,10.1152,95,95,475000
3457.45,16.8497,3464.41,-977.2372436523438,9.5968,96,96,480000
3504.88,16.9725,3503.63,-887.5747680664062,9.8791,97,97,485000
3483.21,16.4542,3464.13,-869.5016479492188,9.6794,98,98,490000
3515.69,17.3345,3310.28,-988.6417846679688,9.808,99,99,495000
3549.06,16.711,3144.82,-923.4161376953125,9.3936,100,100,500000
3489.27,16.8937,2528.42,-1310.90283203125,10.8133,101,101,505000
3555.74,17.7814,3164.21,-1202.743408203125,13.4673,102,102,510000
3431.66,15.7283,3352.35,-907.8513793945312,8.6712,103,103,515000
3473.74,15.6343,3329.0,-877.8600463867188,8.9969,104,104,520000
3487.54,16.869,2944.74,-1011.5326538085938,9.304,105,105,525000
3481.42,16.284,3191.79,-962.1570434570312,9.6754,106,106,530000
3521.13,16.6565,3297.26,-1200.78466796875,10.7632,107,107,535000
3489.96,16.6467,3471.98,-989.8961181640625,10.0964,108,108,540000
3484.94,16.8214,3337.18,-1171.897216796875,10.645,109,109,545000
3520.86,16.8125,3494.28,-1065.07373046875,9.6716,110,110,550000
3472.05,17.2837,3117.78,-1261.12451171875,9.7469,111,111,555000
3499.12,17.241,2578.36,-1546.4501953125,12.6823,112,112,560000
3541.78,16.7747,3368.51,-1003.3716430664062,9.1964,113,113,565000
3523.67,17.1981,3445.46,-1224.5924072265625,9.4296,114,114,570000
3493.5,16.9828,2621.44,-1461.8570556640625,12.1196,115,115,575000
3594.44,16.6631,3563.02,-898.03564453125,9.0054,116,116,580000
3553.05,16.7632,2897.72,-1034.2833251953125,9.2207,117,117,585000
3491.52,16.4928,3464.74,-1115.1455078125,9.9905,118,118,590000
3563.13,16.8813,3210.49,-1144.3829345703125,12.8438,119,119,595000
3521.07,16.194,3478.52,-1093.405029296875,9.0995,120,120,600000
3476.27,15.8168,3367.94,-937.7979736328125,8.7858,121,121,605000
3552.68,15.5477,3364.96,-1080.889892578125,8.7276,122,122,610000
3576.75,16.9701,3456.07,-1125.8377685546875,9.1835,123,123,615000
3548.55,16.519,3121.08,-1185.98681640625,9.5109,124,124,620000
3533.37,16.8632,3193.28,-1307.793701171875,10.7722,125,125,625000
3507.37,16.8498,3499.35,-1123.8980712890625,9.7897,126,126,630000
3540.86,16.874,2996.6,-1308.143310546875,9.6812,127,127,635000
3534.9,16.2165,3447.94,-1167.1505126953125,9.0296,128,128,640000
3486.73,15.6755,3499.19,-1111.0736083984375,9.3862,129,129,645000
3545.0,16.2843,3341.4,-986.7222290039062,8.7474,130,130,650000
3556.48,16.5714,3437.71,-1183.5902099609375,9.4817,131,131,655000
3511.82,16.1461,3389.67,-1163.095947265625,9.1916,132,132,660000
3520.78,16.5431,3526.42,-1032.998291015625,9.6614,133,133,665000
3557.22,16.6171,3429.33,-1194.389892578125,8.9938,134,134,670000
3498.0,16.3778,3477.91,-1337.62109375,9.5176,135,135,675000
3542.81,18.584,2790.17,-1826.34765625,13.9504,136,136,680000
3522.97,16.3126,3393.74,-1310.979736328125,9.1024,137,137,685000
3528.99,18.2275,3059.47,-1631.2020263671875,11.5875,138,138,690000
3585.77,17.1629,3523.47,-1275.652099609375,9.919,139,139,695000
3588.37,16.9514,3563.45,-1156.8314208984375,9.3592,140,140,700000
3568.07,16.7837,3456.71,-1394.504150390625,9.4862,141,141,705000
3541.27,16.7517,3505.78,-1376.146728515625,9.7871,142,142,710000
3554.06,16.5943,3486.42,-1242.0657958984375,9.4272,143,143,715000
3620.65,16.6105,3552.83,-1342.4136962890625,8.9389,144,144,720000
3564.03,16.7301,3130.95,-1447.97998046875,9.0845,145,145,725000
3606.35,17.1286,3561.49,-1438.572021484375,9.7605,146,146,730000
3583.09,16.7165,3463.14,-1295.234619140625,10.1281,147,147,735000
3585.77,17.4288,3502.39,-1411.6395263671875,9.9921,148,148,740000
3572.77,17.14,3020.72,-1468.7874755859375,8.9765,149,149,745000
3555.27,16.7263,3396.0,-1476.0340576171875,13.5786,150,150,750000
3603.57,16.7899,3525.23,-1219.2659912109375,9.183,151,151,755000
3378.52,16.767,2585.69,-1389.2828369140625,9.0209,152,152,760000
3576.84,16.6904,3520.17,-1405.0479736328125,9.8691,153,153,765000
3568.67,16.2491,3465.69,-1323.068359375,9.0846,154,154,770000
3576.69,16.5413,3378.6,-1349.092529296875,9.5521,155,155,775000
3554.82,16.7625,3235.01,-1805.1884765625,14.7547,156,156,780000
3622.36,17.3658,3136.44,-1528.3602294921875,13.7723,157,157,785000
3597.05,17.0746,3452.93,-1466.8822021484375,9.1949,158,158,790000
3558.28,17.3787,3383.7,-1504.4534912109375,9.3093,159,159,795000
3553.97,16.6271,2996.7,-1606.863037109375,9.8539,160,160,800000
3550.6,16.2264,3503.75,-1381.5396728515625,9.0659,161,161,805000
3571.14,17.4093,3058.63,-1901.7998046875,9.9226,162,162,810000
3610.77,17.2675,3483.92,-1606.30078125,9.8135,163,163,815000
3526.83,16.7046,3200.87,-1679.4232177734375,14.7169,164,164,820000
3556.21,16.4595,3301.88,-1681.435791015625,9.2602,165,165,825000
3552.97,15.8499,3469.99,-1519.5682373046875,8.8921,166,166,830000
3573.62,17.105,3244.8,-1300.189453125,9.3853,167,167,835000
3562.76,16.6604,3113.11,-1422.1519775390625,9.0283,168,168,840000
3600.05,16.7002,3416.77,-1642.9365234375,8.9902,169,169,845000
3578.12,17.0103,3505.88,-1748.886474609375,9.5484,170,170,850000
3568.54,16.3714,3401.06,-1464.708984375,8.9901,171,171,855000
3605.82,16.3624,3538.73,-1387.734619140625,8.8336,172,172,860000
3596.98,16.7723,3542.26,-1680.7745361328125,9.879,173,173,865000
3572.98,16.9545,3452.67,-1587.8497314453125,9.2593,174,174,870000
3585.28,17.1271,3541.07,-1813.9241943359375,13.5667,175,175,875000
3599.96,17.1356,3433.6,-1745.50048828125,11.3561,176,176,880000
3561.57,16.4479,3383.95,-1483.17822265625,8.6289,177,177,885000
3596.54,17.0957,3524.01,-1735.280517578125,10.1278,178,178,890000
3612.12,16.7242,3260.48,-1790.9139404296875,9.778,179,179,895000
3612.87,17.5504,3572.02,-1914.855712890625,10.5827,180,180,900000
3550.98,16.0053,3434.58,-1749.50927734375,9.3622,181,181,905000
3555.11,16.9956,3224.65,-2149.427978515625,10.2558,182,182,910000
3572.43,16.6629,3521.59,-1677.3492431640625,8.9651,183,183,915000
3567.32,16.5896,3512.9,-1853.173095703125,9.9778,184,184,920000
3558.07,17.688,3547.3,-2014.4462890625,10.3429,185,185,925000
3593.39,17.6661,3209.07,-2138.599609375,15.3833,186,186,930000
3535.16,17.4771,3193.54,-1894.49169921875,9.0825,187,187,935000
3547.54,15.4,3236.9,-1438.907470703125,8.9341,188,188,940000
3568.48,16.9324,3400.75,-1621.912841796875,8.8547,189,189,945000
3572.32,17.9393,2409.1,-2272.847900390625,9.5705,190,190,950000
3536.22,16.4193,3209.22,-1807.5989990234375,8.9104,191,191,955000
3627.91,17.0072,3554.63,-1679.3387451171875,9.5002,192,192,960000
3592.93,17.8295,2713.81,-2052.394287109375,11.4863,193,193,965000
3584.74,16.8003,3454.0,-1912.482666015625,9.1425,194,194,970000
3599.09,17.3816,3023.73,-2132.16064453125,13.9495,195,195,975000
3625.49,17.0887,3577.11,-2173.968505859375,9.3563,196,196,980000
3569.21,16.5051,3404.21,-1721.095703125,8.9495,197,197,985000
3610.41,17.0364,3427.57,-1760.557373046875,9.3246,198,198,990000
3578.26,17.1226,3494.19,-2062.384765625,9.8217,199,199,995000
