Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Itration
33.2114,694.66,1340.72,48.775,88
41.2678,736.42,1013.18,49.3998,89
24.2062,995.07,1016.87,51.7398,90
14.9528,707.84,750.86,48.6569,91
40.3288,364.49,441.05,51.0458,92
41.2887,558.9,678.28,49.9066,93
28.2095,570.97,683.02,49.1099,94
21.6522,568.1,577.33,49.3247,95
25.5484,410.44,336.47,50.4881,96
31.58,538.48,536.91,48.5705,97
20.551,480.63,524.06,50.0908,98
15.3636,732.12,681.6,47.9851,99
15.611,352.99,587.99,50.0577,100
16.2535,321.01,482.03,50.5006,101
30.071,1163.3,1859.22,48.936,102
74.4865,564.74,698.24,48.996,103
28.5005,974.09,452.67,48.0459,104
42.4854,496.37,671.57,50.2382,105
58.7623,1128.5,1057.07,47.7156,106
26.8652,484.51,143.38,48.4451,107
54.2254,674.53,456.36,49.3317,108
60.3653,321.26,348.33,51.534,109
43.204,564.51,694.95,48.3314,110
46.958,611.1,689.62,49.1817,111
39.2599,506.27,713.48,49.128,112
82.0372,633.35,549.49,48.4073,113
44.7754,874.95,1004.22,48.1978,114
47.4299,382.22,433.57,49.3683,115
36.7168,301.09,172.51,50.5138,116
78.2914,-16.74,-16.77,51.3405,117
187.4652,-11.24,-11.17,57.7592,118
178.9588,-16.31,-13.48,56.3575,119
53.0862,1043.01,1041.36,55.7475,120
41.9574,341.46,309.7,55.5078,121
42.3228,995.21,1025.23,55.1875,122
51.8611,1021.98,1022.76,56.261,123
56.536,1038.6,1038.87,57.0003,124
35.1839,994.09,998.37,54.4588,125
144.6022,111.66,120.84,52.3457,126
36.8587,998.71,999.56,53.8618,127
23.1967,36.54,35.94,50.5268,128
19.0364,291.86,304.0,50.3266,129
68.1197,346.92,405.27,50.9817,130
30.4014,404.09,421.63,50.4658,131
22.1302,472.18,842.28,50.003,132
18.5314,509.94,1007.13,49.3137,133
14.9329,633.79,545.61,49.3348,134
23.5318,729.76,644.44,48.9407,135
16.6733,550.74,959.17,50.0095,136
17.1141,1070.51,1404.62,48.2423,137
15.3641,605.95,1095.96,48.1085,138
13.2813,305.0,338.83,47.7679,139
13.6908,479.55,1018.47,49.2054,140
32.9581,940.92,970.03,48.7955,141
45.1803,170.0,213.73,51.0515,142
22.437,872.66,992.95,51.6252,143
70.2918,648.55,878.84,50.3812,144
17.7098,674.8,740.51,48.6074,145
37.3932,220.57,499.67,48.2715,146
42.4571,791.96,1149.7,48.013,147
19.5739,1036.95,1165.0,47.4911,148
18.4945,986.0,1383.52,47.0281,149
41.8796,432.95,568.76,49.217,150
31.7846,542.12,825.84,48.5106,151
20.43,1201.76,1465.04,47.4439,152
20.2263,1963.28,1941.7,46.4684,153
20.4801,694.2,799.97,47.556,154
18.2459,644.26,709.81,46.7496,155
22.7733,965.61,1029.68,47.4284,156
16.5841,698.7,784.91,48.5947,157
35.5894,337.56,310.91,50.1805,158
25.8583,354.96,648.91,49.5543,159
20.2552,349.34,384.24,49.2928,160
121.4407,6.53,6.82,51.7874,161
32.0794,215.06,176.78,50.3478,162
73.2792,18.35,6.89,55.3933,163
43.5454,474.75,468.79,51.7877,164
55.1892,263.23,123.16,52.029,165
53.2524,609.67,458.03,53.5913,166
63.9462,13.97,13.32,50.6207,167
35.3184,1009.66,1010.35,54.8064,168
31.8462,83.68,77.58,51.7528,169
68.0611,999.28,998.9,57.2296,170
60.3948,996.49,996.83,56.882,171
61.7385,1011.54,1011.55,56.2534,172
61.7644,1004.94,1004.92,57.5291,173
63.3563,1016.12,1015.32,55.029,174
44.0739,402.52,155.45,50.8679,175
23.5116,352.38,384.65,49.6528,176
22.5509,444.6,604.56,49.2989,177
57.616,304.38,987.31,50.3913,178
57.1341,1028.89,1029.39,56.0873,179
64.1773,1030.28,1029.8,56.241,180
63.5394,1025.57,1025.79,56.7026,181
48.5934,165.65,219.39,50.2552,182
45.5783,1032.45,1032.46,56.538,183
62.266,1006.78,1008.53,57.045,184
56.4317,1004.5,1008.78,56.7242,185
44.6731,995.58,1010.9,56.8679,186
15.826,150.91,210.3,49.6216,187
64.2908,995.94,996.42,57.6819,188
39.7957,160.98,66.11,51.2045,189
58.0621,1016.23,1016.6,57.8545,190
34.3065,850.6,1054.45,49.8064,191
47.5086,1016.37,1016.74,57.2358,192
54.7627,1032.29,1032.86,55.1892,193
32.9699,1045.73,1043.52,56.0982,194
50.2944,1040.01,1042.39,56.6865,195
57.1112,221.96,495.51,50.9499,196
32.9041,965.32,999.65,52.799,197
52.0865,1005.64,1005.84,55.9591,198
54.4087,1041.08,1040.7,55.6552,199
31.205,997.98,1012.24,51.3392,200
48.9091,1020.03,1028.6,55.6791,201
59.4466,1015.83,1021.74,57.6981,202
34.183,86.14,46.89,49.5866,203
68.9092,1027.3,1027.17,56.8994,204
61.4911,1002.61,1029.67,56.2967,205
25.6389,527.5,584.33,49.3467,206
16.8235,485.34,454.63,49.5729,207
60.2262,1025.79,1025.88,56.3341,208
72.8285,1023.79,1023.84,57.547,209
51.9232,1011.83,1012.2,56.0471,210
67.9394,1022.06,1021.82,56.7478,211
48.5309,1039.74,1039.23,56.4395,212
43.0252,486.7,353.28,49.7554,213
41.6516,529.82,925.59,52.8137,214
53.417,298.91,278.16,51.2099,215
55.3643,1029.62,1030.0,56.0,216
55.5356,993.21,995.42,57.1802,217
72.8454,1032.5,1032.44,57.2893,218
26.9329,1014.73,1014.47,53.058,219
72.255,1032.44,1032.38,57.9789,220
74.7371,1051.54,1051.53,57.9139,221
61.7987,1039.65,1039.39,57.3226,222
35.5696,860.39,1030.95,51.921,223
60.1037,260.97,199.95,50.7802,224
53.8033,374.58,595.83,50.9391,225
78.8394,273.84,344.66,51.0527,226
28.626,486.62,568.77,49.819,227
25.2051,466.32,771.65,51.3545,228
110.9629,153.31,81.96,52.1656,229
70.728,79.23,41.07,51.222,230
33.8045,146.84,38.69,51.0008,231
90.9105,319.75,391.21,51.181,232
67.4818,218.53,321.07,50.6876,233
37.9523,611.92,859.06,49.294,234
36.6052,418.09,421.8,49.6593,235
29.9929,565.89,620.56,50.3776,236
56.552,471.96,606.06,48.4018,237
36.1489,387.67,486.26,50.3199,238
105.6303,507.36,254.47,49.249,239
170.3835,295.83,540.15,49.1755,240
45.0037,342.81,565.62,49.6918,241
107.4682,384.84,114.48,50.5346,242
67.5114,397.25,386.43,49.3417,243
37.7387,397.71,521.55,50.2038,244
64.1369,220.09,278.55,50.7424,245
26.9604,464.03,654.56,49.6048,246
86.1985,407.55,375.72,50.152,247
29.7378,386.07,642.37,50.3044,248
50.5888,320.45,252.44,49.4876,249
55.0942,619.14,517.56,50.0109,250
25.3939,548.53,468.02,49.9129,251
33.8403,424.04,437.65,50.4978,252
25.5134,432.39,541.37,49.8329,253
29.837,332.73,392.94,48.4723,254
32.5133,428.52,441.37,49.8224,255
39.6878,453.84,357.7,50.0906,256
34.483,134.37,85.38,49.1086,257
20.2124,474.42,505.12,47.9434,258
19.3817,550.72,744.45,47.9738,259
27.9229,450.93,496.12,50.3227,260
24.5875,267.0,268.23,49.0519,261
27.162,300.66,243.03,49.1668,262
35.2675,122.42,250.04,50.5298,263
31.7569,336.82,601.76,50.6786,264
33.4764,262.32,107.08,50.8391,265
24.9702,226.1,570.21,49.9794,266
19.2232,205.51,268.6,50.5588,267
19.5823,374.96,341.08,50.4376,268
39.8392,186.29,192.44,50.8624,269
25.8978,82.54,241.79,49.5554,270
68.8287,372.32,744.09,50.0223,271
88.5875,111.16,32.99,51.0784,272
49.3365,106.44,549.28,48.8674,273
42.7899,264.76,185.09,50.102,274
47.0193,159.22,118.42,49.5107,275
59.9928,225.42,299.05,52.0309,276
57.2842,288.91,196.62,51.4052,277
50.3906,292.83,307.48,50.9489,278
111.5984,37.01,48.82,54.8827,279
39.169,252.37,311.64,49.3759,280
77.7295,553.27,478.12,48.8127,281
91.6464,337.57,356.51,50.0204,282
47.4686,397.3,643.14,49.4342,283
95.0915,210.65,437.13,51.5669,284
51.5048,112.44,254.92,51.2908,285
45.4686,362.77,487.31,50.6873,286
20.8849,185.6,23.66,49.194,287
35.4603,431.08,364.65,48.8673,288
49.0839,295.15,485.79,49.7114,289
39.6289,235.28,298.16,51.7461,290
36.7984,251.0,250.87,51.0713,291
87.5413,282.8,402.52,49.5695,292
25.867,346.24,312.77,49.3363,293
43.7899,359.12,390.95,51.3648,294
21.9638,546.45,463.87,48.4944,295
20.4302,702.01,747.92,49.2357,296
32.1718,559.67,103.69,51.637,297
19.9811,368.05,1087.88,48.3498,298
16.4405,484.85,377.86,48.6762,299
27.4929,1060.89,848.15,49.0654,300
36.842,354.52,128.03,50.8432,301
23.4198,826.58,523.63,48.7347,302
27.9405,651.95,527.25,48.6453,303
21.5704,768.1,685.73,47.6715,304
25.3626,658.16,843.64,48.7903,305
22.7246,582.73,932.74,47.0915,306
59.2487,544.95,650.24,48.6394,307
34.5179,703.24,425.84,49.7117,308
32.5634,448.46,605.06,49.3206,309
34.5265,350.2,408.57,50.3205,310
27.8881,315.27,129.42,49.9671,311
15.2958,366.12,300.17,48.965,312
15.4313,604.55,941.97,48.4585,313
15.647,230.64,166.67,50.0093,314
38.2317,357.16,420.03,50.6601,315
19.5294,542.13,578.84,50.827,316
30.249,461.88,193.15,49.72,317
17.0413,442.27,469.03,50.5361,318
24.681,367.71,578.67,49.283,319
24.3338,227.21,-12.25,50.8405,320
35.4683,39.87,27.98,49.8288,321
18.5865,591.55,1071.63,48.8456,322
24.3985,537.21,726.21,50.7514,323
32.7808,476.29,786.93,49.2521,324
29.6278,460.65,856.98,48.7899,325
22.719,702.28,747.72,48.5389,326
36.238,372.19,382.79,50.1027,327
42.6644,254.4,446.73,51.069,328
40.1291,337.12,275.14,49.8468,329
40.0493,387.53,387.17,49.9292,330
41.5463,574.77,511.04,50.1959,331
35.0106,515.32,405.33,49.5056,332
44.2939,404.45,436.92,50.0584,333
50.6096,433.74,577.89,51.0341,334
36.4458,450.4,449.73,49.2077,335
38.3745,528.01,936.25,48.8804,336
42.103,486.78,349.71,50.2185,337
40.3744,374.02,363.56,50.7603,338
24.9328,380.18,535.45,50.8152,339
33.6235,509.19,580.14,50.6631,340
38.8995,507.6,436.65,49.778,341
51.4678,437.16,456.83,51.0885,342
41.4075,412.77,333.42,50.7674,343
45.6152,394.27,378.08,49.972,344
32.5737,331.61,383.78,49.7181,345
59.6051,191.18,45.51,54.2214,346
45.3169,17.51,17.47,50.8417,347
55.4681,451.88,564.06,54.966,348
48.0892,624.51,429.75,52.7568,349
51.7336,936.56,942.65,56.7495,350
58.4978,122.01,6.79,54.3048,351
47.7407,61.89,38.38,48.3523,352
98.7588,120.31,24.44,56.032,353
60.8369,270.84,317.25,51.5997,354
41.8479,303.46,308.06,51.5144,355
25.02,-8.87,-8.46,55.1496,356
49.5777,364.29,427.76,52.6848,357
43.9263,621.78,549.97,51.0682,358
35.9713,651.85,554.21,54.9218,359
52.3942,1007.26,1009.2,57.092,360
51.866,1015.19,1016.12,56.7699,361
66.0011,230.72,785.3,54.2121,362
71.4304,412.01,426.91,53.2008,363
31.4152,423.29,433.1,52.4609,364
30.212,1333.75,1305.02,50.8255,365
32.966,925.52,929.37,53.9784,366
26.956,348.04,390.5,52.6337,367
33.5783,297.54,401.36,54.1866,368
36.7695,186.99,69.24,52.1724,369
49.5003,413.77,410.63,53.6774,370
31.3216,7.21,4.61,51.7919,371
36.1226,1054.01,1048.86,53.3614,372
68.9643,128.0,24.59,51.2666,373
94.4817,359.25,372.06,53.341,374
160.3795,320.96,393.95,51.3519,375
55.2298,8.81,8.88,52.3148,376
82.7195,39.35,29.88,54.6778,377
96.7667,74.9,50.86,56.6528,378
125.2835,156.91,7.45,56.7967,379
145.8812,-31.8,-32.43,57.5582,380
143.3704,-44.48,-34.06,56.4353,381
32.3348,868.07,835.59,52.3723,382
48.7341,969.68,952.73,53.9657,383
49.7286,693.45,597.13,53.795,384
47.6474,872.38,934.94,55.0508,385
45.7411,1016.63,1013.09,56.7821,386
47.6507,998.01,1001.67,56.902,387
