Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Running Update Time
5580.08,55.9085,-4321.7138671875,65.4922,4936.54,234,1170000,234
5727.8,66.0419,-4597.36376953125,70.1558,5569.13,235,1175000,235
5093.03,64.8556,-4635.80029296875,70.6582,5058.96,236,1180000,236
5714.28,56.5,-4548.701171875,66.0311,5359.56,237,1185000,237
5671.2,64.4531,-4593.4755859375,69.413,5179.53,238,1190000,238
5926.62,65.3596,-4720.732421875,71.5276,5178.41,239,1195000,239
5659.2,61.2916,-4644.439453125,69.8139,5011.39,240,1200000,240
5668.68,62.1494,-4707.01171875,69.5311,5194.13,241,1205000,241
5184.3,55.3364,-4633.607421875,66.5423,4707.6,242,1210000,242
5928.11,63.6352,-4830.27294921875,71.2197,5640.12,243,1215000,243
5247.66,57.448,-4775.900390625,66.4885,4819.14,244,1220000,244
5555.76,60.8774,-4817.4716796875,67.8362,4734.12,245,1225000,245
5479.66,52.7022,-4663.1474609375,64.1371,5237.78,246,1230000,246
5438.8,66.452,-5015.19482421875,70.2623,5329.44,247,1235000,247
5898.5,58.8061,-4975.03662109375,67.3862,4165.6,248,1240000,248
5453.23,61.2383,-5007.4580078125,67.7551,4975.85,249,1245000,249
5802.14,58.9186,-5022.12548828125,66.3296,4971.77,250,1250000,250
5476.73,60.9751,-5069.22412109375,69.4511,4958.89,251,1255000,251
5518.23,57.2697,-5058.23291015625,66.5783,5384.48,252,1260000,252
5636.96,57.247,-5043.6142578125,65.9421,4779.63,253,1265000,253
5549.34,58.1821,-5091.35693359375,66.0246,4275.53,254,1270000,254
5949.55,65.8098,-5341.4541015625,71.1918,5396.71,255,1275000,255
5521.8,63.6994,-5320.4423828125,69.927,5631.07,256,1280000,256
5712.44,56.5617,-5188.90869140625,66.4411,5684.94,257,1285000,257
5800.69,62.1819,-5315.1318359375,69.4261,4775.37,258,1290000,258
5805.19,67.209,-5503.47265625,71.2812,4803.45,259,1295000,259
5916.94,58.0129,-5261.09716796875,67.1045,5632.61,260,1300000,260
5375.69,58.4263,-5296.12451171875,67.2633,5053.91,261,1305000,261
5440.25,55.1095,-5291.63037109375,66.3635,5256.22,262,1310000,262
5045.93,59.18,-5372.873046875,66.6558,4333.15,263,1315000,263
5792.11,60.7601,-5572.3623046875,70.0428,5055.73,264,1320000,264
5959.32,63.2833,-5610.3818359375,70.16,5153.65,265,1325000,265
5511.33,44.781,-4983.42724609375,63.1313,5370.92,266,1330000,266
5313.35,61.439,-5674.8447265625,69.4095,4636.23,267,1335000,267
5360.58,66.4782,-5777.58984375,71.7119,4689.1,268,1340000,268
5515.37,62.7903,-5760.32763671875,70.499,4435.61,269,1345000,269
5168.13,61.4904,-5738.16845703125,69.2631,4881.01,270,1350000,270
5541.7,64.4752,-5901.763671875,69.8912,5695.1,271,1355000,271
5567.0,64.8934,-5982.9697265625,70.8965,5257.56,272,1360000,272
5770.52,61.2861,-5794.99365234375,67.6269,5122.24,273,1365000,273
5632.1,58.9177,-5823.6494140625,67.8099,5367.93,274,1370000,274
5681.78,67.69,-6061.17041015625,71.8038,4687.91,275,1375000,275
5458.23,58.5196,-5914.30810546875,66.986,5199.63,276,1380000,276
5865.88,62.098,-6050.83935546875,69.6457,4693.42,277,1385000,277
5556.07,64.6275,-6196.4609375,71.6488,4957.96,278,1390000,278
5794.22,62.7187,-6173.67578125,70.3489,4931.61,279,1395000,279
5780.71,63.1179,-6226.53369140625,69.7297,5149.78,280,1400000,280
5916.64,62.3222,-6194.61767578125,69.4505,5621.43,281,1405000,281
5860.38,60.666,-6241.435546875,68.6445,4825.33,282,1410000,282
5588.0,60.4161,-6282.8818359375,68.6844,4743.4,283,1415000,283
5410.57,62.191,-6305.39111328125,69.1845,5301.35,284,1420000,284
6146.53,61.9549,-6389.810546875,69.7767,5804.91,285,1425000,285
5823.54,59.4994,-6366.796875,68.3442,4212.62,286,1430000,286
5441.12,61.893,-6542.01318359375,70.4486,5091.5,287,1435000,287
5797.83,63.4536,-6548.2568359375,70.0734,5000.71,288,1440000,288
5879.03,55.4841,-6214.99560546875,65.1841,5381.68,289,1445000,289
5516.51,49.8863,-6058.91845703125,64.5158,5406.33,290,1450000,290
5862.9,61.4098,-6636.77294921875,69.7952,5141.34,291,1455000,291
5464.88,60.2815,-6661.52099609375,69.1089,5609.33,292,1460000,292
5514.9,57.6076,-6453.29541015625,66.6017,5066.34,293,1465000,293
6173.65,55.6802,-6458.556640625,65.6415,5791.25,294,1470000,294
4606.33,61.1021,-6725.474609375,68.1939,5388.22,295,1475000,295
5222.8,55.6824,-6494.5947265625,65.0722,5201.74,296,1480000,296
5765.44,66.7724,-6968.7998046875,71.3607,4949.52,297,1485000,297
6089.36,62.997,-6926.34716796875,69.413,5583.45,298,1490000,298
6111.55,63.3969,-6997.62109375,70.5491,5582.33,299,1495000,299
5564.48,57.5662,-6715.486328125,67.3478,4804.5,300,1500000,300
5213.11,65.2479,-7118.61962890625,72.2999,4366.39,301,1505000,301
6072.52,58.0277,-6888.99951171875,67.2394,4856.48,302,1510000,302
4853.35,60.3444,-7016.4365234375,67.9625,4596.56,303,1515000,303
5000.71,60.2975,-7150.85400390625,68.6164,5008.43,304,1520000,304
6114.64,63.3024,-7304.046875,70.4775,5429.12,305,1525000,305
5570.02,62.0417,-7232.06640625,70.189,4978.19,306,1530000,306
5765.2,61.9603,-7366.72705078125,70.4089,4625.45,307,1535000,307
6078.52,60.4154,-7435.66552734375,69.5571,5586.72,308,1540000,308
5545.68,61.3312,-7417.306640625,70.2379,4883.64,309,1545000,309
5625.69,59.8694,-7480.92626953125,69.5811,5503.33,310,1550000,310
6136.11,61.263,-7494.64013671875,69.957,5293.0,311,1555000,311
5529.26,58.9124,-7382.0556640625,67.1896,5834.23,312,1560000,312
6187.79,58.6967,-7472.65478515625,68.4418,5015.32,313,1565000,313
5609.26,57.5128,-7508.17919921875,67.4551,5326.77,314,1570000,314
5305.61,61.7896,-7595.87255859375,69.3758,4877.36,315,1575000,315
5467.39,62.3247,-7771.10205078125,70.4056,4533.01,316,1580000,316
5462.34,59.4625,-7766.46044921875,69.054,5308.15,317,1585000,317
5981.82,62.0537,-7837.57275390625,70.0818,5188.71,318,1590000,318
4760.25,60.5703,-7792.29736328125,70.0513,4638.41,319,1595000,319
5688.78,56.275,-7619.2373046875,66.8709,5360.99,320,1600000,320
5883.33,57.4862,-7808.845703125,66.9882,5020.85,321,1605000,321
5883.47,61.3443,-7992.48974609375,70.1778,5118.0,322,1610000,322
5873.51,61.3367,-8032.8828125,70.1446,5481.34,323,1615000,323
5981.63,50.2766,-7255.88134765625,65.1906,4875.01,324,1620000,324
5865.05,56.7513,-7837.49560546875,66.5511,5360.42,325,1625000,325
5518.69,58.8599,-8219.03125,68.1913,5624.85,326,1630000,326
5890.34,60.2386,-8237.5185546875,69.131,5077.65,327,1635000,327
5758.89,59.5851,-8242.615234375,68.7049,5277.48,328,1640000,328
5699.09,56.8272,-8221.3671875,67.3756,5830.12,329,1645000,329
6216.11,58.9545,-8242.47265625,68.2814,5578.65,330,1650000,330
6124.86,58.2584,-8280.80859375,67.5696,5421.39,331,1655000,331
6147.95,64.5787,-8610.9130859375,71.2378,5920.14,332,1660000,332
6138.22,60.4551,-8510.3701171875,68.6622,5459.59,333,1665000,333
5652.51,62.0379,-8575.4287109375,70.4884,5263.9,334,1670000,334
5561.37,63.9376,-8575.0654296875,70.4768,5850.28,335,1675000,335
5623.71,61.3234,-8695.755859375,71.4621,5424.72,336,1680000,336
5998.82,55.5045,-8424.93359375,66.6925,5756.73,337,1685000,337
5828.64,54.83,-8114.4638671875,65.5833,5409.66,338,1690000,338
6209.7,63.5693,-8948.1689453125,70.3252,4726.94,339,1695000,339
5616.44,61.9926,-8799.8212890625,70.2512,5702.83,340,1700000,340
5941.39,54.4864,-8210.5576171875,65.7721,5265.09,341,1705000,341
5986.92,62.1346,-8943.4091796875,69.8887,5398.96,342,1710000,342
5422.49,62.646,-8954.6689453125,70.641,5504.03,343,1715000,343
5676.26,59.0782,-8893.3271484375,67.3394,5560.79,344,1720000,344
6127.67,63.2191,-9174.4658203125,70.1232,5483.77,345,1725000,345
6231.43,60.3357,-9143.0185546875,69.1464,4454.2,346,1730000,346
6010.48,58.8956,-8856.5634765625,67.1541,4886.13,347,1735000,347
5845.43,56.9648,-8762.453125,65.6613,5391.1,348,1740000,348
5890.41,59.2199,-9086.185546875,69.1173,4575.83,349,1745000,349
5598.14,58.3369,-9143.0126953125,68.0042,5843.52,350,1750000,350
6151.33,62.0301,-9300.1982421875,69.5325,5488.94,351,1755000,351
5656.58,61.3879,-9433.6796875,70.284,4804.87,352,1760000,352
5497.21,58.796,-9231.6533203125,69.1448,4865.83,353,1765000,353
5646.61,59.2036,-9316.33203125,68.6852,5563.38,354,1770000,354
5979.74,60.2854,-9067.30078125,68.658,5097.63,355,1775000,355
6239.61,60.3174,-9510.6572265625,70.0615,4961.85,356,1780000,356
5847.76,59.9351,-9532.4873046875,69.4008,5024.67,357,1785000,357
6237.15,56.5512,-9428.8310546875,65.6085,5635.99,358,1790000,358
5647.18,59.169,-9659.9658203125,68.7645,4783.57,359,1795000,359
6012.22,60.5337,-9727.556640625,69.2227,5844.82,360,1800000,360
5923.7,57.0301,-9669.26953125,67.5939,4852.83,361,1805000,361
6021.65,57.6903,-9733.32421875,67.718,5458.67,362,1810000,362
5990.39,57.8986,-9566.9208984375,67.4237,4882.34,363,1815000,363
5950.0,60.1708,-9890.763671875,68.4878,5511.84,364,1820000,364
5588.91,61.0232,-9968.3935546875,70.0504,5694.45,365,1825000,365
5936.45,57.5004,-9744.5947265625,67.3714,5527.13,366,1830000,366
6225.49,57.602,-9811.4501953125,68.4109,5600.46,367,1835000,367
5960.32,51.7296,-9356.44921875,65.3948,5349.13,368,1840000,368
6270.77,60.8204,-10300.9638671875,69.7095,5857.23,369,1845000,369
6310.23,60.2918,-10035.138671875,68.8259,5605.21,370,1850000,370
6192.93,60.8682,-10036.30078125,68.7944,5436.98,371,1855000,371
6331.46,57.1976,-10125.8037109375,68.667,5152.61,372,1860000,372
6221.41,58.6921,-10314.06640625,69.1009,5430.15,373,1865000,373
6091.6,57.4723,-10194.2001953125,68.377,5643.67,374,1870000,374
5385.33,59.4514,-10325.4150390625,69.3653,5388.38,375,1875000,375
5758.08,59.6586,-10409.9365234375,69.3258,5020.24,376,1880000,376
5740.23,47.3197,-8828.5791015625,64.1674,5413.83,377,1885000,377
6343.35,57.8095,-10373.892578125,67.6535,5253.85,378,1890000,378
5885.01,58.8988,-10461.3232421875,68.9065,5284.6,379,1895000,379
6146.4,58.2991,-10615.1943359375,68.9675,5171.07,380,1900000,380
6331.23,59.9434,-10558.3359375,68.4825,5561.43,381,1905000,381
