Running Env Steps,Real Sto Return,Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Update Time
195000,3385.33,3421.78,12.0344,-134.6461944580078,19.0133,39,39
200000,2648.32,3392.46,9.7653,-336.2224426269531,17.6877,40,40
205000,3372.05,3493.53,11.0074,-201.38697814941406,18.8072,41,41
210000,2650.34,3463.37,11.0162,-639.4566040039062,18.5954,42,42
215000,2746.34,3420.63,10.926,-616.4337158203125,18.3732,43,43
220000,2815.0,3411.93,10.5372,-574.1162109375,18.1328,44,44
225000,2101.38,3460.81,10.4102,-275.2976989746094,18.2299,45,45
230000,1648.9,1594.63,11.6173,-1327.325439453125,18.5381,46,46
235000,2159.45,2690.15,10.6462,-1021.9133911132812,18.1704,47,47
240000,2714.88,3243.37,11.0013,-1084.936767578125,18.3207,48,48
245000,2544.14,2007.87,11.1323,-833.2567749023438,18.3687,49,49
250000,2292.08,1424.84,12.8233,-1517.1162109375,19.4299,50,50
255000,3360.02,3431.97,10.6251,-619.749267578125,18.0684,51,51
260000,2458.22,2187.17,10.2383,-594.0548095703125,18.0882,52,52
265000,2244.92,2874.04,10.3764,-952.2417602539062,18.6761,53,53
270000,2168.72,3205.07,10.1521,-958.369140625,18.1749,54,54
275000,2368.19,3315.15,10.0756,-762.552734375,17.9532,55,55
280000,2731.75,3462.21,10.1555,-697.6663208007812,17.7945,56,56
285000,2833.46,3486.98,10.12,-564.7428588867188,17.5782,57,57
290000,2743.61,3476.94,10.8162,-973.327880859375,17.4441,58,58
295000,2556.88,2679.43,9.8539,-596.429931640625,17.6431,59,59
300000,2746.27,3487.08,9.5349,-574.6257934570312,16.7646,60,60
305000,2211.51,1560.75,10.2279,-807.2333984375,17.5525,61,61
310000,2860.21,3475.74,9.7577,-978.79052734375,17.1148,62,62
315000,2599.0,3499.96,11.0294,-1001.9688720703125,17.3831,63,63
320000,2667.13,3503.72,9.9581,-659.193603515625,17.8773,64,64
325000,2113.27,2853.5,10.8724,-1045.8427734375,17.8792,65,65
330000,2766.07,3454.95,10.8978,-806.703369140625,17.7343,66,66
335000,2974.66,3480.92,9.7407,-630.1495361328125,17.974,67,67
340000,2991.79,3449.66,9.4449,-136.8871307373047,15.4616,68,68
345000,2989.55,3479.52,9.1076,-562.56201171875,17.1966,69,69
350000,3285.48,3470.38,9.8877,-236.0606689453125,16.7948,70,70
355000,3169.97,3506.42,9.2397,-278.23651123046875,16.3337,71,71
360000,3428.69,3455.17,9.863,-133.44769287109375,16.0099,72,72
365000,2706.13,3492.82,10.9443,-781.1822509765625,17.1732,73,73
370000,2846.27,3491.07,10.4163,-544.2534790039062,16.327,74,74
375000,2616.33,3491.89,9.7106,-534.1195678710938,16.4922,75,75
380000,3403.54,3496.65,9.519,-124.098876953125,15.4388,76,76
385000,3157.51,3456.79,9.3183,-196.7624969482422,15.8956,77,77
390000,3262.64,3466.51,9.5431,-119.80978393554688,15.8742,78,78
395000,3118.02,3452.25,10.2484,-365.34619140625,16.7879,79,79
400000,3410.23,3416.43,10.8873,-198.50381469726562,16.5828,80,80
405000,3195.51,3480.6,9.6607,-574.3547973632812,16.5547,81,81
410000,3382.42,3461.54,9.6371,-419.2197570800781,15.9746,82,82
415000,3402.3,3418.86,10.2336,-235.91854858398438,16.2449,83,83
420000,3425.69,3417.28,9.376,-210.82859802246094,15.682,84,84
425000,2884.3,3474.73,10.5836,-926.9273071289062,16.3071,85,85
430000,3205.64,3450.33,10.3304,-470.0669250488281,16.0284,86,86
435000,3408.73,3426.59,10.6669,-204.08177185058594,15.6857,87,87
440000,3450.64,3480.29,10.271,-321.51361083984375,15.5454,88,88
445000,3408.48,3460.98,10.841,-393.0679626464844,16.2575,89,89
450000,3411.23,3409.8,9.5177,-230.77316284179688,15.1681,90,90
455000,3459.87,3453.88,9.4034,-248.47569274902344,15.6672,91,91
460000,3442.62,3431.33,9.5496,-202.5335693359375,15.4666,92,92
465000,3325.73,3447.42,9.7606,-281.07342529296875,16.1012,93,93
470000,3394.32,3411.11,9.5664,-208.02328491210938,15.0857,94,94
475000,3322.36,3445.99,8.9704,-148.2626190185547,14.8668,95,95
480000,3373.88,3372.59,9.7683,-289.91278076171875,15.5443,96,96
485000,3413.17,3467.51,8.9312,-172.31268310546875,15.5955,97,97
490000,3415.75,3429.25,9.2728,-244.03515625,15.2715,98,98
495000,3373.67,3367.64,9.3904,-323.8135681152344,15.2426,99,99
500000,3123.8,3462.16,9.1572,-442.2394714355469,14.9653,100,100
505000,3181.41,3510.16,9.0478,-436.8039855957031,15.7272,101,101
510000,3343.42,3508.05,8.3912,-542.4511108398438,15.5169,102,102
515000,3444.78,3447.03,8.7348,-221.34616088867188,14.817,103,103
520000,3429.39,3421.45,9.0826,-207.81005859375,14.6196,104,104
525000,3398.64,3423.78,9.5141,-252.65455627441406,15.1581,105,105
530000,3323.23,3468.11,8.2276,-226.03619384765625,14.6046,106,106
535000,3089.32,3424.65,8.8719,-297.82080078125,15.0875,107,107
540000,3411.61,3435.27,9.5177,-276.9236755371094,15.2971,108,108
545000,3364.53,3452.21,8.0652,-183.9209442138672,14.3102,109,109
550000,3434.32,3444.35,9.0859,-307.948486328125,14.9598,110,110
555000,3481.14,3480.56,8.3858,-455.7393798828125,15.0123,111,111
560000,3280.23,3457.24,8.4256,-205.65431213378906,14.8194,112,112
565000,2747.28,3518.73,9.1985,-784.3501586914062,16.2288,113,113
570000,3436.59,3448.98,8.424,-221.9225616455078,14.2248,114,114
575000,3297.02,3432.97,8.3663,-288.3331298828125,14.6864,115,115
580000,3246.72,3475.88,8.8711,-240.32456970214844,15.4882,116,116
585000,3450.34,3465.22,8.3762,-215.66600036621094,14.3197,117,117
590000,3359.22,3443.95,8.4214,-261.8770751953125,14.6675,118,118
595000,3407.69,3479.21,8.3386,-188.78518676757812,14.2615,119,119
600000,3430.28,3424.52,8.4306,-271.4054260253906,14.8036,120,120
605000,3451.08,3434.93,8.3272,-245.2234344482422,14.1579,121,121
610000,3289.96,3428.98,8.7639,-322.4934387207031,15.0127,122,122
615000,3439.75,3427.56,8.6647,-244.848876953125,14.5802,123,123
620000,3418.1,3429.93,8.6372,-228.00494384765625,14.3881,124,124
625000,3321.97,3446.33,8.3675,-194.82237243652344,14.2952,125,125
630000,3437.57,3455.98,8.8994,-235.28529357910156,15.2483,126,126
635000,3441.58,3446.78,9.1322,-249.8910675048828,15.1036,127,127
640000,3379.5,3483.56,7.8772,-194.11599731445312,13.9716,128,128
645000,3455.25,3469.76,8.2744,-210.2351837158203,14.3084,129,129
650000,3449.5,3459.0,8.7315,-223.59368896484375,14.9702,130,130
655000,3452.12,3452.99,8.4604,-214.53968811035156,14.291,131,131
660000,3453.06,3462.98,8.7031,-411.62188720703125,15.1066,132,132
