Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Running Update Time
21.2807,4037.3,151,44.098,4038.22,755000,-791.3206787109375,151
18.5712,4093.69,152,43.2674,4068.9,760000,-785.4373779296875,152
21.3872,3592.39,153,44.0722,4154.82,765000,-755.3848266601562,153
19.1356,4017.92,154,43.8964,4079.17,770000,-852.0802001953125,154
19.9866,4163.79,155,43.7067,4212.16,775000,-864.38525390625,155
18.9843,4038.73,156,43.688,3962.12,780000,-837.9793701171875,156
19.6811,4057.76,157,43.9507,4098.56,785000,-844.380859375,157
19.3757,1848.56,158,43.1502,2290.19,790000,-854.2598876953125,158
19.7305,4113.77,159,43.8917,4132.7,795000,-855.6736450195312,159
19.0446,4070.62,160,43.8087,4124.81,800000,-838.0088500976562,160
21.5521,4099.86,161,43.5502,4135.65,805000,-828.8055419921875,161
21.0307,4214.12,162,43.9575,4211.9,810000,-838.2864990234375,162
21.4598,4214.56,163,43.8342,4230.64,815000,-869.4552612304688,163
20.3754,4205.67,164,43.4463,4217.25,820000,-842.0220336914062,164
18.3581,3714.29,165,43.2602,4179.5,825000,-892.9798583984375,165
21.1021,4218.21,166,43.4648,4232.13,830000,-884.7824096679688,166
20.1889,4138.23,167,43.9863,4168.25,835000,-915.6958618164062,167
18.1196,4170.91,168,43.2875,4191.63,840000,-915.1142578125,168
20.2644,4169.03,169,43.9209,4243.22,845000,-883.7466430664062,169
19.8252,3998.77,170,44.1631,3993.76,850000,-978.039794921875,170
19.8729,4162.03,171,43.4098,4250.84,855000,-899.9237060546875,171
18.8013,3796.86,172,43.8917,4163.55,860000,-994.6366577148438,172
20.0881,4150.23,173,43.1892,4183.18,865000,-931.7108764648438,173
19.4202,4086.52,174,43.6852,4138.1,870000,-962.046142578125,174
19.543,4165.9,175,42.9371,4188.99,875000,-940.3995971679688,175
20.1184,4086.84,176,43.5921,4064.26,880000,-970.0057373046875,176
19.9297,3581.97,177,43.7926,4229.5,885000,-1077.4398193359375,177
19.9787,4139.52,178,43.3809,4202.52,890000,-974.4957885742188,178
18.0864,4184.05,179,43.2354,4171.37,895000,-1025.0269775390625,179
18.7386,4151.68,180,43.3959,4212.24,900000,-1041.241455078125,180
20.4298,4267.86,181,42.9708,4289.18,905000,-1023.03955078125,181
18.232,4161.83,182,42.9978,4170.66,910000,-1063.18896484375,182
20.0844,4157.52,183,43.0625,4204.31,915000,-1025.3385009765625,183
19.1501,4190.81,184,42.9823,4204.72,920000,-1067.7308349609375,184
20.8004,4185.04,185,43.3069,4201.81,925000,-1012.2550659179688,185
20.8486,4162.95,186,43.9302,4194.99,930000,-1076.2589111328125,186
18.2648,4075.03,187,43.5345,4110.45,935000,-1089.37255859375,187
20.7106,4174.27,188,42.9031,4132.48,940000,-1041.9542236328125,188
19.0854,4205.73,189,43.3893,4235.01,945000,-1034.6170654296875,189
18.9067,4116.96,190,43.3226,4122.87,950000,-1076.81298828125,190
19.0976,4197.28,191,42.9058,4217.88,955000,-1101.4378662109375,191
19.9893,4183.67,192,43.1928,4229.96,960000,-1081.6015625,192
20.6019,4187.45,193,43.8677,4205.11,965000,-1103.0675048828125,193
20.0328,4272.49,194,42.8877,4264.55,970000,-1106.53369140625,194
19.5887,4154.0,195,43.3609,4116.81,975000,-1177.5211181640625,195
20.0096,4124.36,196,43.4153,4138.92,980000,-1117.01220703125,196
18.63,4073.81,197,42.7051,4198.9,985000,-1118.783935546875,197
18.698,4185.04,198,42.9728,4191.86,990000,-1199.4486083984375,198
19.5612,4238.33,199,42.7338,4188.56,995000,-1140.3023681640625,199
18.3022,4134.44,200,43.1941,4115.13,1000000,-1153.7884521484375,200
18.4721,4216.9,201,43.2825,4251.89,1005000,-1122.929443359375,201
18.8849,4160.57,202,43.1798,4138.27,1010000,-1140.7216796875,202
17.604,4135.53,203,43.3384,4147.39,1015000,-1163.6387939453125,203
17.6111,4106.16,204,43.5736,4080.63,1020000,-1187.870849609375,204
18.5034,4169.72,205,43.2563,4147.29,1025000,-1175.2362060546875,205
19.0949,4183.21,206,43.205,4157.5,1030000,-1192.7696533203125,206
19.1427,4215.54,207,43.6524,4205.37,1035000,-1188.716796875,207
18.7818,4147.42,208,43.2456,4129.86,1040000,-1241.994140625,208
19.3387,4200.92,209,43.1612,4202.76,1045000,-1197.9635009765625,209
18.6531,4234.27,210,43.3683,4209.0,1050000,-1248.249755859375,210
18.5483,4209.7,211,43.248,4189.45,1055000,-1229.8984375,211
18.2228,4231.78,212,43.1715,4253.11,1060000,-1254.9581298828125,212
18.7663,4243.32,213,43.0255,4249.89,1065000,-1211.5145263671875,213
18.7121,4235.48,214,43.214,4221.38,1070000,-1280.341552734375,214
18.3387,4195.0,215,43.1258,4202.25,1075000,-1297.5283203125,215
18.5896,4233.61,216,43.0278,4256.87,1080000,-1270.6644287109375,216
18.4248,4186.81,217,42.9025,4175.83,1085000,-1279.3468017578125,217
19.2175,4224.38,218,43.3581,4237.48,1090000,-1299.0489501953125,218
19.0578,4179.69,219,43.6335,4164.28,1095000,-1304.18310546875,219
18.4714,4190.83,220,42.7544,4241.53,1100000,-1263.573486328125,220
19.7561,4236.36,221,43.2964,4241.2,1105000,-1278.809814453125,221
19.4736,4225.52,222,43.2871,4275.41,1110000,-1331.4857177734375,222
18.4298,4218.39,223,43.4534,4239.05,1115000,-1330.1029052734375,223
19.7773,3833.41,224,43.3223,4284.94,1120000,-1302.9517822265625,224
17.6057,3122.05,225,43.312,4165.81,1125000,-1412.998046875,225
18.613,846.02,226,42.9046,-2.68,1130000,-1364.7789306640625,226
18.3747,4249.44,227,42.7635,4298.11,1135000,-1303.818115234375,227
17.7642,4161.93,228,42.8588,4204.61,1140000,-1339.0220947265625,228
18.4239,4196.59,229,42.9577,4162.16,1145000,-1394.173583984375,229
18.3692,4178.03,230,42.8124,4166.85,1150000,-1413.80078125,230
18.687,4261.32,231,42.8493,4290.62,1155000,-1406.27099609375,231
18.2653,4162.15,232,43.1893,4209.88,1160000,-1417.7764892578125,232
19.5697,4312.16,233,43.0681,4405.5,1165000,-1463.327392578125,233
18.9163,4015.92,234,43.0631,4298.73,1170000,-1422.7657470703125,234
19.4464,4332.98,235,42.8034,4361.41,1175000,-1432.0845947265625,235
18.6414,4290.91,236,42.5756,4345.82,1180000,-1358.6285400390625,236
18.1914,4313.84,237,42.6427,4373.46,1185000,-1500.1676025390625,237
18.424,4299.19,238,42.4379,4350.8,1190000,-1428.6966552734375,238
19.709,4361.03,239,42.7125,4413.63,1195000,-1499.1810302734375,239
18.7435,4331.74,240,42.954,4401.48,1200000,-1504.6146240234375,240
19.167,4363.22,241,42.7197,4418.02,1205000,-1532.941162109375,241
18.7809,4293.15,242,42.0416,4412.1,1210000,-1520.6204833984375,242
18.782,4389.56,243,42.7581,4447.62,1215000,-1572.1190185546875,243
18.9002,4365.36,244,42.5288,4438.39,1220000,-1534.728515625,244
18.3761,4327.76,245,42.5263,4379.97,1225000,-1589.5360107421875,245
18.2266,4356.81,246,42.4458,4428.02,1230000,-1583.9456787109375,246
19.4426,4433.76,247,42.511,4490.96,1235000,-1645.0380859375,247
19.1157,4385.51,248,42.2994,4438.22,1240000,-1569.68115234375,248
17.8332,4356.27,249,42.2754,4406.4,1245000,-1667.750732421875,249
19.7026,4452.6,250,42.3322,4539.01,1250000,-1679.9749755859375,250
18.66,4358.41,251,42.5287,4423.34,1255000,-1672.6507568359375,251
18.0644,4381.85,252,42.4519,4464.01,1260000,-1640.184814453125,252
18.5478,4468.24,253,42.5233,4533.35,1265000,-1692.6917724609375,253
19.1438,4431.62,254,42.5965,4504.5,1270000,-1738.65185546875,254
19.1034,4420.48,255,42.3705,4501.58,1275000,-1696.9207763671875,255
19.3947,4441.89,256,42.472,4502.61,1280000,-1775.373779296875,256
19.2601,4435.65,257,42.8161,4532.79,1285000,-1778.341796875,257
19.1881,4527.71,258,41.9571,4599.17,1290000,-1737.091552734375,258
19.4691,4487.33,259,42.5048,4579.4,1295000,-1788.6361083984375,259
19.1687,4217.48,260,42.5545,4544.41,1300000,-1738.6143798828125,260
18.9328,4462.47,261,42.301,4532.78,1305000,-1799.2291259765625,261
19.7082,4532.97,262,42.5751,4621.61,1310000,-1732.484130859375,262
19.634,4514.39,263,42.7261,4592.74,1315000,-1827.62890625,263
19.9431,4402.05,264,42.9132,4545.1,1320000,-1874.2996826171875,264
19.1622,4455.51,265,42.1929,4583.3,1325000,-1882.9853515625,265
20.2191,4465.95,266,42.9398,4559.79,1330000,-1965.1553955078125,266
19.4324,4506.25,267,42.6625,4584.78,1335000,-1972.75830078125,267
19.9057,4458.09,268,42.4783,4518.8,1340000,-1961.1859130859375,268
20.3655,4461.49,269,43.0873,4530.61,1345000,-2056.689453125,269
19.712,4486.45,270,42.7559,4555.02,1350000,-1978.366943359375,270
19.5393,4514.52,271,42.6678,4606.02,1355000,-1993.612548828125,271
19.5088,4480.27,272,42.9046,4589.87,1360000,-2051.029052734375,272
20.629,4515.02,273,43.4547,4601.51,1365000,-2102.54052734375,273
19.4401,4468.02,274,43.2111,4562.75,1370000,-2123.690185546875,274
19.4215,4488.69,275,42.8508,4597.22,1375000,-2094.090087890625,275
19.3476,4471.84,276,42.9918,4534.98,1380000,-2187.7275390625,276
18.2196,4463.32,277,42.5666,4571.29,1385000,-2152.6796875,277
18.0527,4478.64,278,42.2923,4557.59,1390000,-2140.001953125,278
17.7771,4387.83,279,42.1466,4562.45,1395000,-2223.765380859375,279
19.0668,4524.73,280,42.3791,4650.61,1400000,-2210.56787109375,280
17.8251,4467.57,281,42.2516,4580.78,1405000,-2248.24560546875,281
18.8119,496.16,282,48.9858,577.2,1410000,-2477.29833984375,282
74.2454,274.83,283,50.275,318.97,1415000,-1756.397216796875,283
46.669,336.43,284,51.6351,392.52,1420000,-2045.9444580078125,284
58.1596,109.94,285,49.4332,47.01,1425000,-1732.197265625,285
25.5172,673.02,286,46.7246,753.21,1430000,-2820.886962890625,286
35.3749,996.39,287,45.5181,937.63,1435000,-2784.275146484375,287
16.5451,2745.8,288,43.3811,2217.46,1440000,-2565.55078125,288
17.4952,3701.65,289,43.3027,2140.61,1445000,-2414.24072265625,289
17.3955,3448.77,290,43.0777,3399.85,1450000,-2565.21435546875,290
18.4319,4371.57,291,43.0077,4472.23,1455000,-2499.135986328125,291
20.0189,4346.04,292,42.7201,4528.23,1460000,-2343.36279296875,292
20.2138,4417.3,293,42.6827,4532.51,1465000,-2307.389892578125,293
19.5393,4398.19,294,42.542,4485.3,1470000,-2504.727294921875,294
19.2174,4409.47,295,42.339,4484.99,1475000,-2497.193603515625,295
19.8033,4497.65,296,41.9488,4618.14,1480000,-2390.914306640625,296
20.2828,4519.57,297,42.9182,4574.22,1485000,-2463.657958984375,297
20.2177,4477.27,298,42.8413,4582.6,1490000,-2501.95166015625,298
19.6229,4311.69,299,42.5976,4644.84,1495000,-2484.22705078125,299
19.7001,4460.69,300,43.0894,4673.07,1500000,-2572.8525390625,300
19.0038,3883.24,301,42.497,4625.79,1505000,-2536.01953125,301
20.027,4562.04,302,42.6261,4663.64,1510000,-2496.31982421875,302
20.3084,4564.38,303,42.0129,4693.58,1515000,-2456.473876953125,303
19.1122,4482.84,304,42.22,4599.56,1520000,-2408.3681640625,304
18.4648,4512.74,305,42.1268,4694.08,1525000,-2437.5703125,305
19.1824,4466.76,306,41.9589,4721.43,1530000,-2403.123779296875,306
18.8149,4535.37,307,41.9277,4638.63,1535000,-2516.830322265625,307
18.2046,3893.76,308,42.4926,4509.01,1540000,-2535.82763671875,308
19.0769,4398.19,309,42.1097,4605.59,1545000,-2452.944091796875,309
18.6885,4590.93,310,41.9831,4675.86,1550000,-2508.551025390625,310
17.6749,4526.68,311,41.6653,4595.73,1555000,-2565.358642578125,311
18.8925,4497.91,312,42.0201,4569.67,1560000,-2470.698486328125,312
18.7143,4603.66,313,41.8567,4652.13,1565000,-2499.20654296875,313
19.6997,4624.0,314,42.3566,4707.14,1570000,-2617.9404296875,314
18.3216,4583.19,315,41.8381,4516.87,1575000,-2479.623779296875,315
18.2929,4381.98,316,41.9431,4674.47,1580000,-2503.9345703125,316
18.0781,4635.28,317,42.1749,4546.05,1585000,-2611.556884765625,317
18.1754,4633.82,318,41.9491,4443.68,1590000,-2664.643798828125,318
17.6192,4530.89,319,41.386,4261.39,1595000,-2594.09619140625,319
19.5656,4427.34,320,41.8514,4705.97,1600000,-2652.050537109375,320
17.4092,4054.52,321,42.2987,4659.94,1605000,-2943.34619140625,321
17.8046,4591.54,322,42.0203,4727.1,1610000,-2811.7626953125,322
21.0666,4494.56,323,41.8391,4588.28,1615000,-2808.2529296875,323
17.3103,4472.07,324,41.9166,4585.22,1620000,-2893.374267578125,324
20.4925,4516.53,325,42.2622,4618.5,1625000,-2935.5673828125,325
18.1725,4549.65,326,42.2071,4619.62,1630000,-2882.077880859375,326
16.5635,4451.06,327,42.2816,4417.53,1635000,-3038.5751953125,327
19.0383,4487.43,328,42.2808,4632.29,1640000,-2932.483154296875,328
17.107,4304.57,329,42.24,4564.13,1645000,-2972.84423828125,329
18.6271,4494.51,330,42.52,4598.37,1650000,-3010.446044921875,330
18.2203,4566.55,331,42.1049,4568.76,1655000,-3064.3193359375,331
18.1573,4537.93,332,42.7369,4638.45,1660000,-3148.166015625,332
18.3203,4498.16,333,42.5892,4529.6,1665000,-3199.452880859375,333
19.1392,4584.06,334,42.4069,4609.78,1670000,-3119.4423828125,334
17.6256,1750.96,335,43.7631,3349.49,1675000,-3078.5673828125,335
17.8695,4367.33,336,42.6064,4718.94,1680000,-3253.1337890625,336
18.3437,4352.36,337,42.5938,4663.87,1685000,-3387.59716796875,337
15.5902,2386.2,338,43.2554,2646.45,1690000,-3372.08544921875,338
38.1164,0.84,339,46.2384,-3.79,1695000,-2836.737548828125,339
25.1463,3305.97,340,42.9538,4025.71,1700000,-2931.702392578125,340
19.7971,4587.45,341,42.428,4720.74,1705000,-3207.173828125,341
19.5474,4659.36,342,42.3663,4778.52,1710000,-3275.322998046875,342
19.8927,4599.57,343,42.4082,4692.08,1715000,-3306.142578125,343
19.8068,4578.11,344,42.6516,4710.69,1720000,-3355.955078125,344
19.4052,4591.19,345,42.1562,4691.21,1725000,-3249.855712890625,345
19.1662,4584.25,346,42.4978,4680.0,1730000,-3393.51416015625,346
19.578,4616.87,347,42.6246,4699.82,1735000,-3370.228271484375,347
18.1394,4575.58,348,41.9744,4677.74,1740000,-3296.091064453125,348
19.4678,4599.43,349,42.1593,4711.89,1745000,-3422.068603515625,349
18.1067,4529.79,350,42.4803,4567.35,1750000,-3491.52099609375,350
19.1842,4582.73,351,41.9034,4675.98,1755000,-3432.28466796875,351
18.542,4543.49,352,42.4958,4614.74,1760000,-3448.5869140625,352
19.132,4562.07,353,42.2795,4590.04,1765000,-3457.247314453125,353
19.0595,4499.55,354,42.2426,4542.64,1770000,-3584.034423828125,354
19.2509,4395.67,355,41.9477,4664.96,1775000,-3581.426025390625,355
18.4594,4569.73,356,42.2984,4612.97,1780000,-3609.6416015625,356
19.1281,4588.4,357,42.1212,4670.06,1785000,-3469.803955078125,357
17.742,4580.84,358,42.037,4622.01,1790000,-3475.510986328125,358
18.4452,4387.33,359,42.2356,4654.41,1795000,-3539.5048828125,359
17.6552,4588.69,360,41.7626,4634.98,1800000,-3469.373779296875,360
20.176,4599.8,361,42.0113,4622.48,1805000,-3514.30419921875,361
17.6708,4588.13,362,41.7471,4607.0,1810000,-3544.275390625,362
15.8246,4179.32,363,42.316,4643.78,1815000,-3817.798583984375,363
19.6427,4576.3,364,41.994,4596.46,1820000,-3618.523193359375,364
19.8971,3940.02,365,42.7886,4027.87,1825000,-3699.14111328125,365
16.2921,4398.27,366,42.4234,4661.19,1830000,-3771.57958984375,366
16.2189,4207.43,367,41.5697,4689.0,1835000,-3616.869384765625,367
17.95,4179.55,368,42.2347,4693.59,1840000,-3826.979736328125,368
14.0263,3322.98,369,42.8677,4633.2,1845000,-3853.876953125,369
14.0999,4407.52,370,42.869,4655.45,1850000,-3996.07177734375,370
17.4922,4619.92,371,41.8725,4675.14,1855000,-3794.1259765625,371
17.5322,4595.74,372,42.098,4639.85,1860000,-3840.06591796875,372
18.4436,4607.6,373,41.7806,4633.67,1865000,-3850.64306640625,373
16.698,4593.64,374,41.9237,4619.03,1870000,-4021.821044921875,374
17.0945,4573.73,375,42.1718,4585.18,1875000,-3985.35595703125,375
17.0052,4632.06,376,41.6234,4668.89,1880000,-3933.26171875,376
17.6779,4634.67,377,42.2417,4691.33,1885000,-4069.872802734375,377
18.3967,4663.63,378,41.803,4699.58,1890000,-3885.611083984375,378
18.5354,4623.98,379,41.6765,4677.71,1895000,-3956.187744140625,379
17.7203,4644.84,380,41.7238,4693.67,1900000,-3945.872802734375,380
18.1805,4636.72,381,41.7855,4684.89,1905000,-4106.05517578125,381
