Real Sto Return,Reward Loss,Running Env Steps,Real Det Return,Itration,Running Reverse KL,Running Update Time,Running Forward KL
65.3,-2199.068115234375,290000,67.32,58,23.6957,58,33.8677
1039.13,-2607.860595703125,295000,1039.43,59,26.9641,59,36.8753
235.39,-2577.632080078125,300000,233.13,60,41.3756,60,32.9657
89.04,-2206.91943359375,305000,87.31,61,25.1971,61,33.966
289.58,-2740.00341796875,310000,288.43,62,29.6385,62,34.646
333.7,-2788.539306640625,315000,341.6,63,32.574,63,33.6187
1041.59,-2799.448486328125,320000,1034.89,64,22.3566,64,36.2352
697.35,-2915.319580078125,325000,977.63,65,32.2951,65,35.5109
976.11,-3055.212158203125,330000,948.5,66,51.0004,66,37.477
1056.13,-2735.824462890625,335000,1044.92,67,25.8957,67,35.4194
1004.03,-3168.512939453125,340000,994.08,68,39.2592,68,38.4083
1035.79,-3174.722412109375,345000,1033.89,69,31.631,69,38.0958
53.98,-3406.37841796875,350000,52.17,70,39.4075,70,34.6942
183.95,-3319.093994140625,355000,154.98,71,43.7646,71,31.8685
326.47,-3215.270263671875,360000,320.39,72,29.3415,72,34.4678
1008.01,-3399.830078125,365000,1019.52,73,29.1339,73,37.023
243.74,-2896.662353515625,370000,229.19,74,49.4431,74,31.0641
252.41,-3328.472412109375,375000,217.63,75,48.1282,75,33.568
409.37,-2710.327392578125,380000,412.08,76,20.95,76,34.379
1055.52,-3682.7822265625,385000,1054.75,77,35.1734,77,38.7789
1058.81,-3687.892822265625,390000,1055.53,78,26.3372,78,38.8684
1052.76,-3691.90576171875,395000,1050.95,79,33.2213,79,37.1694
995.66,-3123.042236328125,400000,1001.74,80,26.3479,80,35.6843
1028.78,-3873.13671875,405000,1029.0,81,35.7953,81,37.5099
1047.17,-3939.874267578125,410000,1046.98,82,35.1306,82,35.8178
970.32,-3913.257568359375,415000,1035.67,83,28.1099,83,35.12
1036.59,-3920.36328125,420000,1033.73,84,26.1022,84,34.8256
1053.24,-4105.578125,425000,1050.93,85,38.862,85,37.1835
990.99,-4205.919921875,430000,983.78,86,46.5616,86,36.9969
989.35,-4173.17041015625,435000,988.7,87,52.5976,87,38.1668
211.39,-3784.9130859375,440000,330.79,88,36.9004,88,34.068
1052.08,-4315.99169921875,445000,1050.62,89,35.6389,89,36.633
1004.96,-4374.0185546875,450000,1005.2,90,40.9851,90,37.6509
1018.35,-4334.07568359375,455000,1017.88,91,37.4916,91,36.6346
496.1,-4404.18408203125,460000,386.82,92,34.9789,92,35.2043
1020.7,-4529.15380859375,465000,1020.3,93,39.5067,93,37.034
1029.25,-4721.93212890625,470000,1029.51,94,39.7585,94,36.8006
332.99,-4682.11962890625,475000,306.41,95,61.7039,95,33.0827
939.56,-4826.4482421875,480000,988.98,96,43.0894,96,38.7972
127.49,-4856.1328125,485000,113.78,97,41.9915,97,39.1434
135.38,-3486.576904296875,490000,142.69,98,18.1691,98,32.6591
471.19,-4599.322265625,495000,224.98,99,25.5963,99,37.0219
988.66,-4912.212890625,500000,988.42,100,35.2978,100,36.8928
1014.94,-5042.2734375,505000,1018.54,101,53.709,101,38.1099
1015.85,-5053.6904296875,510000,1015.1,102,34.0004,102,38.8694
1032.09,-5191.7451171875,515000,1033.13,103,31.8914,103,37.252
170.7,-4915.18603515625,520000,173.18,104,39.0721,104,32.5081
222.93,-2629.449951171875,525000,223.29,105,19.8123,105,31.893
270.53,-3873.64013671875,530000,270.77,106,26.6208,106,30.3382
348.82,-4130.43798828125,535000,595.83,107,56.0825,107,30.654
302.97,-3582.816650390625,540000,305.19,108,14.8151,108,31.1909
534.25,-3203.4169921875,545000,388.15,109,19.0963,109,31.8052
1047.85,-5178.87939453125,550000,1039.78,110,23.7937,110,36.5429
973.15,-5669.427734375,555000,973.47,111,45.6534,111,38.4505
976.18,-5655.470703125,560000,976.74,112,38.4262,112,38.8627
1015.35,-5593.01171875,565000,987.36,113,30.8992,113,34.6465
1023.27,-5530.0712890625,570000,1015.55,114,30.395,114,34.7366
427.76,-3719.50048828125,575000,469.43,115,21.579,115,31.6121
1034.88,-5851.91552734375,580000,1034.81,116,46.8091,116,35.9242
84.92,-3098.5498046875,585000,85.34,117,18.2396,117,31.5383
235.38,-5620.96435546875,590000,239.16,118,58.4892,118,32.1221
1020.72,-6236.384765625,595000,1020.92,119,30.7068,119,38.7755
989.88,-6215.2353515625,600000,989.91,120,44.5181,120,39.0079
182.99,-6193.6904296875,605000,159.44,121,29.6227,121,38.9234
998.91,-6326.353515625,610000,999.82,122,48.3299,122,38.7693
1009.96,-6366.20703125,615000,1010.25,123,33.2124,123,37.987
974.08,-6389.333984375,620000,973.88,124,52.9952,124,38.4381
992.25,-6555.4697265625,625000,991.34,125,40.1728,125,39.0014
934.32,-6638.400390625,630000,993.17,126,48.875,126,38.4233
1043.6,-6610.015625,635000,1043.62,127,28.3293,127,37.2198
67.96,-6651.25244140625,640000,68.91,128,169.1262,128,38.5953
56.23,-6333.44384765625,645000,57.34,129,56.2413,129,32.6527
1023.48,-6818.3671875,650000,1025.03,130,32.0037,130,37.3839
994.05,-6967.71142578125,655000,994.5,131,57.3196,131,38.7757
986.85,-7084.21337890625,660000,986.8,132,60.2409,132,39.3978
1003.23,-7035.740234375,665000,1014.64,133,31.6841,133,39.1088
1035.41,-7067.45703125,670000,1032.2,134,36.4547,134,37.6446
1021.83,-7094.34765625,675000,1021.84,135,42.0048,135,37.2547
1024.01,-7225.103515625,680000,1022.87,136,38.033,136,36.4148
928.44,-6162.689453125,685000,849.81,137,27.0038,137,32.3472
1051.65,-7246.7373046875,690000,1050.89,138,24.5054,138,36.4461
84.99,-6859.22265625,695000,74.74,139,46.0397,139,32.886
499.73,-6910.0537109375,700000,615.69,140,28.8231,140,32.0606
595.55,-7085.759765625,705000,599.06,141,30.65,141,33.7323
467.43,-7078.796875,710000,469.77,142,26.1122,142,33.6269
517.09,-6690.34033203125,715000,511.44,143,22.6356,143,33.9628
994.84,-7454.46044921875,720000,1017.73,144,26.0961,144,36.102
516.09,-7131.2119140625,725000,519.07,145,21.6581,145,33.3956
526.76,-7771.119140625,730000,581.35,146,34.7683,146,35.1621
904.34,-7967.0439453125,735000,907.84,147,36.9822,147,34.3807
314.07,-6805.4375,740000,317.0,148,29.8079,148,32.8278
179.46,-6852.263671875,745000,172.82,149,26.6607,149,34.3545
1000.38,-8272.7119140625,750000,1001.55,150,38.7482,150,37.8667
426.61,-7171.0400390625,755000,427.64,151,32.109,151,32.3733
1029.65,-8340.21484375,760000,1028.71,152,31.414,152,37.629
821.04,-8294.8154296875,765000,579.2,153,29.2523,153,35.7634
1065.49,-8419.8984375,770000,1063.86,154,34.0384,154,35.9456
1057.44,-8405.1630859375,775000,1057.09,155,31.1078,155,36.5726
941.75,-8491.951171875,780000,1034.72,156,54.5722,156,35.1966
1030.66,-8602.595703125,785000,1033.54,157,24.9096,157,35.0872
1009.9,-8462.875,790000,1009.52,158,42.9262,158,35.4566
1017.2,-8326.7197265625,795000,1019.19,159,29.3814,159,35.6259
1033.4,-8766.03515625,800000,1033.42,160,31.6943,160,36.0196
1009.97,-8713.5888671875,805000,1008.46,161,35.5926,161,35.3543
899.69,-8664.341796875,810000,1022.69,162,26.9451,162,35.4491
88.32,-9093.9130859375,815000,88.3,163,31.9007,163,35.438
1042.0,-9174.53125,820000,1041.76,164,39.3958,164,35.0688
953.97,-9224.6484375,825000,978.31,165,30.752,165,36.9407
979.68,-9446.5615234375,830000,978.46,166,38.7327,166,37.7241
243.2,-8202.0458984375,835000,201.22,167,26.4633,167,32.6473
297.18,-9486.486328125,840000,713.16,168,33.0342,168,36.4903
1004.44,-9325.0732421875,845000,1007.08,169,36.1638,169,37.3273
265.49,-8571.2890625,850000,285.43,170,36.2611,170,33.5345
9.4,-8717.3173828125,855000,9.08,171,230.9161,171,36.4496
681.84,-9053.7109375,860000,327.89,172,25.1258,172,33.8343
1057.5,-10013.6953125,865000,1057.4,173,43.1493,173,35.58
1037.35,-10034.2939453125,870000,1037.13,174,33.6318,174,35.9303
1049.3,-9971.9638671875,875000,1047.61,175,25.9152,175,34.3495
920.43,-10014.94140625,880000,918.63,176,30.4903,176,32.5261
515.26,-9647.716796875,885000,577.05,177,74.9803,177,32.1513
1051.87,-10324.70703125,890000,1050.76,178,36.2376,178,36.0143
204.69,-9788.416015625,895000,206.31,179,45.7964,179,31.9529
597.61,-9780.40234375,900000,645.19,180,28.6825,180,33.5155
1050.63,-10568.46875,905000,1050.62,181,38.0867,181,35.0837
1053.18,-10645.3876953125,910000,1053.39,182,41.1632,182,34.2746
819.74,-9521.4033203125,915000,588.18,183,28.7027,183,31.6442
997.33,-10445.7763671875,920000,998.13,184,37.1701,184,37.4146
1050.26,-10766.7685546875,925000,1050.66,185,41.8012,185,33.7529
80.76,-10878.28125,930000,80.53,186,35.2984,186,34.204
1042.44,-11149.0654296875,935000,1042.85,187,47.9388,187,35.8088
1021.5,-11038.76171875,940000,1015.81,188,39.4696,188,35.0434
564.96,-6941.845703125,945000,534.27,189,23.9159,189,27.6738
1005.26,-11296.451171875,950000,1004.18,190,35.387,190,38.2191
452.23,-9847.4755859375,955000,498.97,191,29.9899,191,32.5175
62.15,-10751.6552734375,960000,413.92,192,32.3411,192,32.2172
396.43,-11312.1728515625,965000,246.2,193,36.6116,193,33.0634
674.24,-10295.0888671875,970000,801.29,194,32.0879,194,31.8684
937.85,-11608.029296875,975000,1033.97,195,45.2712,195,33.4394
971.03,-11999.4384765625,980000,971.3,196,53.5724,196,38.283
1045.74,-11847.0302734375,985000,1045.69,197,36.2125,197,33.7286
1046.46,-11998.15625,990000,1046.13,198,49.9775,198,33.6742
54.65,-12117.5908203125,995000,54.05,199,50.7733,199,33.623
