Real Sto Return,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time
743.03,34,170000,-455.98919677734375,1141.69,27.6648,61.9346,34
521.33,35,175000,-499.1264343261719,1074.21,28.0692,62.9506,35
570.97,36,180000,-446.9437255859375,1362.12,25.5999,57.8356,36
730.38,37,185000,-469.44024658203125,1207.64,25.4305,58.7488,37
556.73,38,190000,-475.9532165527344,1123.11,25.3139,58.1213,38
619.41,39,195000,-517.7547607421875,1297.96,26.752,59.8123,39
662.92,40,200000,-524.5435791015625,1252.63,25.7925,59.7101,40
810.28,41,205000,-537.058349609375,1196.53,26.3111,59.0947,41
838.07,42,210000,-570.4039306640625,1199.77,26.3835,61.0906,42
785.33,43,215000,-582.5780639648438,1431.57,26.4804,60.7638,43
1230.94,44,220000,-517.714599609375,1913.65,26.2034,56.8124,44
1016.92,45,225000,-538.6212768554688,1990.99,25.9106,57.4708,45
1284.5,46,230000,-564.988525390625,2300.26,25.6187,56.7719,46
1189.55,47,235000,-620.9398193359375,1401.81,25.3722,58.6723,47
1510.6,48,240000,-511.1788635253906,2497.44,28.552,56.6351,48
1019.44,49,245000,-591.377197265625,1769.73,24.9923,56.5489,49
1557.88,50,250000,-554.160888671875,2398.94,27.4775,54.9233,50
1833.87,51,255000,-530.673828125,2389.9,27.2562,54.9464,51
1564.3,52,260000,-555.645263671875,2365.44,27.5708,56.1189,52
1684.17,53,265000,-535.6701049804688,2546.6,28.3341,55.0258,53
1634.33,54,270000,-607.3595581054688,2666.47,23.001,55.0167,54
1665.75,55,275000,-586.6687622070312,2605.35,27.4897,55.4456,55
1941.89,56,280000,-673.7828979492188,2521.01,24.2862,57.4935,56
1306.57,57,285000,-626.9378051757812,2049.25,23.0096,53.8499,57
1032.35,58,290000,-770.8916015625,2137.63,25.3999,60.1459,58
1773.07,59,295000,-637.5108642578125,2234.93,25.5643,55.6469,59
1644.35,60,300000,-582.53466796875,2643.88,25.3338,51.5969,60
1309.87,61,305000,-712.5516357421875,2393.65,24.8049,55.6315,61
1742.4,62,310000,-688.1754760742188,2437.15,22.4779,54.2706,62
1571.95,63,315000,-634.9454956054688,2566.86,22.7974,52.6307,63
1737.86,64,320000,-709.2042846679688,2640.32,25.3799,56.2844,64
1645.15,65,325000,-703.5997924804688,2570.85,22.1506,53.8536,65
1918.23,66,330000,-638.8126220703125,2758.75,22.456,51.3709,66
1649.22,67,335000,-718.5514526367188,2561.95,20.4883,52.5683,67
1531.46,68,340000,-699.2392578125,2404.67,23.6448,53.3728,68
1303.56,69,345000,-835.0859375,2194.54,23.1085,56.9693,69
1458.58,70,350000,-774.02734375,2653.47,22.1022,53.9188,70
2142.19,71,355000,-694.5972290039062,2532.11,24.7336,53.5274,71
2160.07,72,360000,-717.0067749023438,2880.52,23.7895,52.5398,72
1050.13,73,365000,-802.7567138671875,2474.92,20.412,53.5704,73
1873.29,74,370000,-746.9830322265625,2582.03,23.5647,53.3715,74
2162.44,75,375000,-801.3316650390625,2786.4,20.3577,52.0601,75
1702.82,76,380000,-825.8341674804688,2325.66,21.4696,53.235,76
2010.37,77,385000,-846.3452758789062,2477.66,20.1865,52.55,77
2039.22,78,390000,-916.7909545898438,2983.16,21.9238,55.3013,78
1983.86,79,395000,-814.3779907226562,2445.0,22.3408,52.9402,79
2445.16,80,400000,-763.7391967773438,2914.41,21.9003,50.9048,80
2409.28,81,405000,-785.9863891601562,3022.01,24.7224,53.7028,81
2326.95,82,410000,-825.2946166992188,3198.04,22.0905,52.4839,82
2496.14,83,415000,-878.1625366210938,3122.45,21.5477,52.3202,83
2146.36,84,420000,-937.9718627929688,2637.56,20.5307,52.6064,84
2053.34,85,425000,-884.100341796875,2882.68,19.2526,51.0982,85
2400.35,86,430000,-892.8303833007812,3191.09,20.9036,52.4166,86
2160.19,87,435000,-883.9752807617188,2521.36,19.6168,51.1299,87
1859.04,88,440000,-950.2636108398438,2949.21,20.2346,52.4193,88
2448.19,89,445000,-809.5530395507812,3256.87,22.9678,51.7419,89
2135.61,90,450000,-913.4412841796875,3212.75,20.4335,51.2931,90
1870.42,91,455000,-907.3587646484375,3124.05,21.1979,51.4977,91
2267.31,92,460000,-887.9603271484375,2956.48,20.9325,50.0932,92
2130.72,93,465000,-884.9275512695312,3175.98,22.2497,50.9038,93
2454.38,94,470000,-944.1216430664062,3337.03,19.8655,51.0779,94
2097.74,95,475000,-942.5822143554688,3308.7,19.0795,49.0203,95
2691.11,96,480000,-896.9524536132812,3374.39,22.1134,50.8713,96
2421.01,97,485000,-963.4697875976562,3072.92,21.977,51.6826,97
2113.04,98,490000,-909.79150390625,3431.56,23.4486,51.6884,98
2562.78,99,495000,-930.7303466796875,3369.52,23.9364,51.3309,99
2393.42,100,500000,-1021.106689453125,3246.23,22.3963,52.2595,100
2462.08,101,505000,-1026.8902587890625,3279.28,19.3965,49.8327,101
2604.69,102,510000,-962.393310546875,3499.73,22.3235,50.1623,102
2594.42,103,515000,-1044.8966064453125,3175.49,22.4879,51.2297,103
2100.14,104,520000,-1044.3065185546875,3373.34,21.2127,50.9629,104
2578.71,105,525000,-1063.887451171875,3354.55,20.1814,50.3757,105
1684.9,106,530000,-1240.029541015625,3053.94,18.7698,52.6574,106
2170.4,107,535000,-1019.9956665039062,3296.29,22.0022,49.4006,107
2740.2,108,540000,-1092.1563720703125,3034.65,21.3566,50.7353,108
2350.75,109,545000,-1108.8719482421875,3488.15,19.8531,50.7766,109
2353.05,110,550000,-1091.930419921875,3334.5,19.4957,50.9033,110
2690.23,111,555000,-1119.4461669921875,3551.63,20.9352,52.5236,111
2816.3,112,560000,-1092.324951171875,3423.51,19.1795,49.7782,112
2467.66,113,565000,-1167.33837890625,3109.57,17.4782,49.872,113
2757.68,114,570000,-1186.2828369140625,3284.62,19.3979,50.3876,114
2604.88,115,575000,-1119.569091796875,3675.1,18.2116,49.3492,115
2144.03,116,580000,-1227.86376953125,3512.61,18.7751,50.7153,116
2385.13,117,585000,-1180.46142578125,3052.64,19.8907,50.4151,117
3028.59,118,590000,-1079.47509765625,3639.79,20.2773,48.5614,118
2594.19,119,595000,-1218.9161376953125,3302.49,19.154,50.8583,119
1955.08,120,600000,-1210.9849853515625,2902.1,17.0317,48.864,120
2178.25,121,605000,-1219.0101318359375,3331.26,20.2464,50.6886,121
2519.02,122,610000,-1165.34326171875,3244.46,20.1649,50.1021,122
2333.61,123,615000,-1303.805419921875,3320.11,17.565,49.8304,123
1967.62,124,620000,-1270.526611328125,2848.41,18.2708,48.6424,124
2175.14,125,625000,-1391.3419189453125,3481.08,18.0362,49.7935,125
2599.31,126,630000,-1294.668701171875,3589.93,17.4656,48.3067,126
2465.14,127,635000,-1232.697021484375,3422.1,17.7898,47.5876,127
2944.22,128,640000,-1372.4737548828125,3457.73,18.4855,49.5573,128
2326.32,129,645000,-1420.6934814453125,3083.07,18.4811,50.1408,129
1828.48,130,650000,-1518.85009765625,2907.25,18.3321,51.5703,130
2923.4,131,655000,-1252.6068115234375,3706.6,19.5834,48.7493,131
1896.27,132,660000,-1360.0244140625,3259.66,20.4396,48.662,132
2794.14,133,665000,-1405.7169189453125,3053.65,17.2898,48.1214,133
2655.75,134,670000,-1363.1083984375,3529.18,16.6384,48.1428,134
2499.55,135,675000,-1454.8521728515625,3297.59,17.473,49.6495,135
2458.39,136,680000,-1482.613037109375,3035.42,16.1034,48.5074,136
2301.3,137,685000,-1387.8131103515625,3367.82,17.7907,47.6685,137
2896.16,138,690000,-1456.54150390625,3400.6,16.9771,48.1498,138
2531.1,139,695000,-1488.600830078125,3395.82,16.803,48.6905,139
1694.61,140,700000,-1750.971435546875,2925.96,17.7793,52.416,140
1991.5,141,705000,-1685.074462890625,3257.11,16.4877,50.557,141
1845.09,142,710000,-1538.783203125,3383.82,17.1993,48.8061,142
2741.83,143,715000,-1510.1263427734375,3469.94,18.7554,50.0911,143
2513.85,144,720000,-1753.070556640625,3244.5,15.7086,50.014,144
2586.97,145,725000,-1466.290283203125,3652.74,19.8303,49.0707,145
2100.31,146,730000,-1736.0977783203125,3660.66,16.7716,51.401,146
2808.47,147,735000,-1638.1392822265625,3664.15,16.5329,49.283,147
2950.3,148,740000,-1585.0670166015625,3604.92,17.7927,48.7626,148
2114.38,149,745000,-1947.144287109375,3496.9,18.2304,52.3578,149
1670.29,150,750000,-1782.5377197265625,3085.6,15.8881,49.4415,150
2471.33,151,755000,-1833.0538330078125,3441.29,18.1436,51.4554,151
2235.33,152,760000,-1716.9322509765625,3187.89,16.5701,48.6437,152
2313.52,153,765000,-1933.5260009765625,2816.64,16.7603,50.1466,153
2691.06,154,770000,-1830.5872802734375,3850.66,17.8444,49.3636,154
2645.3,155,775000,-1750.470458984375,3519.54,17.2797,48.7084,155
2486.08,156,780000,-1786.316162109375,3888.96,17.5405,47.4583,156
2967.85,157,785000,-1742.5972900390625,3708.2,19.6798,50.1366,157
2413.44,158,790000,-2089.1494140625,2861.12,16.0176,50.5375,158
2902.31,159,795000,-2024.7552490234375,3837.25,18.2593,51.3832,159
2690.28,160,800000,-1899.5,3519.15,16.8001,48.716,160
2616.87,161,805000,-1900.929443359375,3063.81,16.7907,48.6484,161
2999.16,162,810000,-1898.0909423828125,3834.12,17.0249,48.8957,162
2814.9,163,815000,-1934.253173828125,3841.78,17.2402,49.3536,163
2583.71,164,820000,-1773.762939453125,3728.33,19.7006,49.0529,164
3161.29,165,825000,-1886.2412109375,3821.75,19.4332,50.3801,165
3170.4,166,830000,-2028.7628173828125,3869.26,16.4224,49.1093,166
2897.39,167,835000,-1932.1314697265625,3906.34,18.7949,48.4645,167
2502.47,168,840000,-2033.5443115234375,3755.67,15.7462,48.1322,168
2642.65,169,845000,-1983.271484375,3994.4,17.8061,49.2716,169
2311.84,170,850000,-2156.415283203125,3762.26,15.2465,48.734,170
2211.08,171,855000,-2272.31640625,3153.7,15.1652,49.439,171
2934.8,172,860000,-2141.0673828125,3684.32,15.7196,48.7468,172
3079.49,173,865000,-2009.72705078125,3889.79,20.0198,50.3486,173
2825.44,174,870000,-2198.871337890625,3861.21,16.2112,47.929,174
3191.44,175,875000,-2087.144775390625,3716.41,15.9119,47.0961,175
3272.43,176,880000,-2362.179931640625,3836.48,15.4794,49.0014,176
2708.02,177,885000,-2289.15087890625,3722.83,17.4151,48.8271,177
2764.78,178,890000,-2092.669921875,3353.79,19.4769,50.1329,178
2596.67,179,895000,-2140.877685546875,3554.8,19.3436,49.7637,179
2421.7,180,900000,-2461.345703125,4015.69,16.4368,49.4828,180
2704.32,181,905000,-2260.6220703125,3223.23,19.0377,49.0774,181
2352.53,182,910000,-2434.185302734375,3569.12,16.4685,49.9925,182
2872.6,183,915000,-2231.75439453125,3914.51,18.2492,48.9373,183
1956.63,184,920000,-2563.988037109375,3224.95,16.273,49.5535,184
2591.9,185,925000,-2331.8330078125,3887.0,17.4686,49.4818,185
2794.87,186,930000,-2466.2138671875,3660.64,16.707,48.4839,186
1913.88,187,935000,-2612.741943359375,3514.33,17.5082,50.5086,187
3096.95,188,940000,-2630.5859375,3386.8,16.5724,49.4619,188
3234.85,189,945000,-2653.234375,3659.98,17.2391,50.9734,189
2698.3,190,950000,-2641.72607421875,3809.8,17.0789,49.7988,190
3036.9,191,955000,-2513.41796875,4005.27,19.5415,49.2355,191
3018.63,192,960000,-2706.052001953125,4048.35,16.6775,48.8677,192
1977.5,193,965000,-2679.275634765625,3746.9,18.9982,50.5834,193
3121.64,194,970000,-2550.015625,3606.19,17.2531,48.6442,194
2628.47,195,975000,-2656.653076171875,3238.06,19.0011,50.2464,195
2677.56,196,980000,-2833.125,3737.38,15.3331,49.2456,196
3032.04,197,985000,-2810.215087890625,3695.26,16.4724,50.0767,197
2780.78,198,990000,-2782.834716796875,3901.24,16.0897,50.3378,198
2708.48,199,995000,-3099.30517578125,4021.65,15.5621,49.6814,199
2555.63,200,1000000,-2748.0224609375,3613.22,17.3362,49.8013,200
3322.14,201,1005000,-2686.881103515625,3969.63,17.3265,47.8077,201
2457.95,202,1010000,-2781.4765625,3361.59,17.2545,48.7472,202
2414.05,203,1015000,-2862.701904296875,3569.95,17.4074,49.1329,203
2625.44,204,1020000,-3139.9228515625,3212.42,15.0785,49.3476,204
2138.32,205,1025000,-3017.396728515625,3540.42,15.8905,48.1432,205
2938.41,206,1030000,-2808.0458984375,3146.75,18.4988,47.8208,206
3104.6,207,1035000,-2975.44140625,3977.87,15.9958,47.7452,207
2751.87,208,1040000,-3040.06103515625,3759.62,15.7291,48.5043,208
2700.05,209,1045000,-2940.562255859375,3969.68,16.8904,48.5462,209
2435.77,210,1050000,-3105.417724609375,3761.73,14.8386,48.1715,210
3073.94,211,1055000,-2878.672119140625,3924.32,16.8157,46.9587,211
3102.41,212,1060000,-3090.85595703125,3889.01,15.6492,47.0928,212
3112.9,213,1065000,-3279.358154296875,3442.01,15.8677,48.6837,213
2939.58,214,1070000,-3350.1923828125,3791.37,14.9072,48.8703,214
2462.3,215,1075000,-3390.194091796875,3625.56,14.8047,48.3785,215
2775.68,216,1080000,-3490.97216796875,3996.73,15.5861,49.0879,216
2942.37,217,1085000,-3094.3388671875,3505.53,16.8182,46.4671,217
2865.95,218,1090000,-3021.560546875,3659.28,17.4698,47.7896,218
2186.71,219,1095000,-3383.388916015625,3938.78,14.7986,48.4315,219
3357.13,220,1100000,-3267.70068359375,4062.35,16.7161,47.0313,220
3151.1,221,1105000,-3153.803466796875,3834.87,19.0609,47.9981,221
3035.79,222,1110000,-3362.14111328125,3866.42,15.4523,48.3979,222
3105.69,223,1115000,-3223.59033203125,3836.08,17.9019,47.4258,223
2131.83,224,1120000,-3302.6552734375,3966.95,17.0201,48.1952,224
2561.96,225,1125000,-3222.01904296875,3973.27,17.8778,47.6768,225
2413.85,226,1130000,-3615.916259765625,4111.69,15.3838,49.0247,226
3311.55,227,1135000,-3524.24853515625,4078.15,15.5854,48.3195,227
2772.72,228,1140000,-3591.427001953125,3699.53,15.9612,48.1328,228
3165.76,229,1145000,-3458.787841796875,3227.62,16.498,47.9078,229
2974.45,230,1150000,-3481.54248046875,3694.59,17.7096,48.0113,230
3146.98,231,1155000,-3515.23779296875,3986.28,15.9735,47.8478,231
3136.01,232,1160000,-3838.756591796875,4179.46,15.9576,48.9665,232
2947.71,233,1165000,-3891.1787109375,3834.71,17.5552,49.6389,233
3029.14,234,1170000,-3738.591552734375,4176.38,16.4497,47.9598,234
2945.1,235,1175000,-3595.17919921875,4207.01,19.3762,48.8274,235
3113.5,236,1180000,-3842.34130859375,4071.36,17.2042,49.0779,236
3196.54,237,1185000,-3820.789306640625,4403.95,17.3602,48.2929,237
3199.47,238,1190000,-4007.3037109375,3739.63,15.6492,49.0374,238
3060.85,239,1195000,-3744.74853515625,3692.55,19.4691,49.3461,239
2542.64,240,1200000,-4050.793212890625,3934.81,15.5644,48.8137,240
2815.46,241,1205000,-4265.20361328125,3830.05,15.4921,50.6523,241
3201.34,242,1210000,-4052.24462890625,4016.22,17.896,49.5684,242
3023.32,243,1215000,-4147.1923828125,3913.34,16.1951,48.2432,243
2719.19,244,1220000,-4081.252197265625,3513.87,16.4982,48.7843,244
2915.02,245,1225000,-4049.9453125,3982.53,19.5464,48.7365,245
2599.34,246,1230000,-4144.8603515625,3807.02,17.2599,49.3626,246
2667.91,247,1235000,-4248.5830078125,3838.12,16.7779,48.9978,247
2709.51,248,1240000,-4276.77001953125,3892.7,16.0512,48.5747,248
2465.21,249,1245000,-4229.86865234375,4112.42,17.1245,48.8032,249
3185.29,250,1250000,-4262.2509765625,4269.31,17.0403,49.2651,250
2704.38,251,1255000,-4236.3427734375,4452.34,18.0582,49.1208,251
3003.65,252,1260000,-4604.6845703125,4134.34,16.6775,49.9388,252
2726.57,253,1265000,-4382.5,3815.36,17.1471,49.1113,253
3177.34,254,1270000,-4609.66650390625,4034.63,17.7435,50.6197,254
3088.27,255,1275000,-4603.8447265625,4127.37,17.0657,50.1165,255
3200.81,256,1280000,-4714.80126953125,4039.17,16.4509,50.3437,256
3100.71,257,1285000,-4616.83447265625,4408.54,17.7366,49.6815,257
3057.38,258,1290000,-4569.82373046875,4220.61,16.6759,49.5743,258
3331.7,259,1295000,-4839.00146484375,4032.46,15.8071,49.8314,259
3087.87,260,1300000,-4703.216796875,4318.78,16.7867,49.2227,260
2644.38,261,1305000,-4425.19287109375,3928.5,18.3897,48.0034,261
2999.37,262,1310000,-4665.6484375,4304.53,17.9869,49.0481,262
3286.75,263,1315000,-4777.2646484375,4067.72,18.1354,49.8941,263
2663.39,264,1320000,-4790.3115234375,4170.92,17.1518,49.4833,264
2955.17,265,1325000,-4818.7109375,4145.27,16.5532,48.7421,265
3257.82,266,1330000,-5006.25830078125,4038.57,17.4208,50.0378,266
2895.05,267,1335000,-4951.25537109375,4207.87,18.2302,49.9432,267
3532.51,268,1340000,-5168.04638671875,4227.3,17.8211,50.1009,268
3241.07,269,1345000,-5167.12255859375,4213.86,18.9644,50.6843,269
-2127.41,270,1350000,-7211.00146484375,-2225.25,174.6793,115.098,270
-700.84,271,1355000,-7341.94921875,-840.43,267.43,96.2871,271
-621.5,272,1360000,-8438.7568359375,-816.06,286.0004,92.7344,272
-1285.7,273,1365000,-8821.869140625,-1263.11,186.0319,99.9494,273
-1158.64,274,1370000,-9481.9541015625,-1192.3,390.7098,99.171,274
-184.05,275,1375000,-7849.9267578125,-127.6,162.8277,76.827,275
-95.9,276,1380000,-7590.1591796875,-134.6,129.2158,77.2877,276
-597.36,277,1385000,-7837.8876953125,-388.61,170.8923,77.618,277
-581.06,278,1390000,-8464.9404296875,-479.19,331.2727,80.5277,278
-409.11,279,1395000,-9060.166015625,-498.81,245.6203,84.3603,279
-533.11,280,1400000,-8845.189453125,-649.63,256.008,82.6204,280
-110.94,281,1405000,-8757.423828125,-121.63,258.6557,78.6752,281
-395.75,282,1410000,-7921.51611328125,-325.45,297.8601,80.8037,282
-388.86,283,1415000,-7938.3154296875,-282.91,351.0092,86.6146,283
150.96,284,1420000,-8195.3779296875,-119.62,72.2102,75.431,284
414.02,285,1425000,-8071.869140625,195.07,61.3296,71.5076,285
71.97,286,1430000,-8259.1875,67.66,115.1813,72.1894,286
-56.07,287,1435000,-8672.34375,-285.84,151.9603,76.1891,287
119.34,288,1440000,-8384.9716796875,187.15,98.4677,72.4578,288
170.3,289,1445000,-8085.13623046875,372.09,67.6942,65.0378,289
204.05,290,1450000,-9142.0361328125,-55.58,111.3389,76.9829,290
212.02,291,1455000,-8657.029296875,269.15,108.9649,66.941,291
184.93,292,1460000,-8703.5341796875,-13.1,114.6648,68.7325,292
205.16,293,1465000,-9197.296875,250.08,77.8197,69.5024,293
272.02,294,1470000,-8869.7890625,262.41,86.874,66.5515,294
246.75,295,1475000,-8964.240234375,261.52,80.1348,69.7457,295
262.17,296,1480000,-8188.7568359375,412.29,48.035,64.0479,296
567.8,297,1485000,-9259.6201171875,549.8,78.2027,69.4638,297
256.62,298,1490000,-9472.23828125,369.26,87.8845,70.2744,298
431.08,299,1495000,-9678.4775390625,256.46,70.0376,73.8551,299
393.51,300,1500000,-9134.3857421875,426.0,62.8108,62.9636,300
333.06,301,1505000,-9247.8291015625,263.92,62.0752,63.5284,301
335.25,302,1510000,-9382.638671875,194.08,60.6896,64.2905,302
395.18,303,1515000,-9991.1728515625,598.64,84.5387,65.9777,303
732.49,304,1520000,-8370.6552734375,986.16,50.8433,57.0747,304
775.28,305,1525000,-7797.10888671875,1526.87,37.1043,57.0533,305
906.78,306,1530000,-7581.7919921875,1595.33,27.7646,54.6295,306
1177.97,307,1535000,-7850.54638671875,1790.3,37.913,55.6021,307
936.0,308,1540000,-7872.71142578125,1449.06,33.7142,55.2052,308
1462.95,309,1545000,-7610.2998046875,2099.11,28.8928,54.8463,309
1856.02,310,1550000,-7791.572265625,2109.94,33.3059,54.5172,310
1480.3,311,1555000,-9045.123046875,2087.56,46.9477,56.4846,311
1442.21,312,1560000,-8263.6806640625,1845.33,31.3553,54.3552,312
