Running Env Steps,Itration,Running Update Time,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Reward Loss
375000,75,75,843.14,32.1311,53.4992,931.16,-2825.669677734375
380000,76,76,1056.74,33.2759,48.3353,1049.25,-3015.519775390625
385000,77,77,919.28,32.6339,41.69,943.87,-2898.7646484375
390000,78,78,185.8,31.9365,27.8636,202.66,-2564.365234375
395000,79,79,1170.85,32.2858,18.7891,1217.99,-2298.740966796875
400000,80,80,1182.22,31.8363,22.3039,1183.13,-2272.987060546875
405000,81,81,998.43,40.0003,94.3844,998.34,-3582.99609375
410000,82,82,1024.14,37.4128,29.8048,1024.17,-3286.56103515625
415000,83,83,687.97,30.3496,38.4338,719.62,-2964.467041015625
420000,84,84,246.86,31.869,122.09,246.1,-2775.59912109375
425000,85,85,714.82,29.3385,22.5274,717.75,-2652.276611328125
430000,86,86,906.68,31.1723,45.931,1021.29,-2447.9970703125
435000,87,87,1024.35,31.5893,25.4146,1002.0,-2856.60302734375
440000,88,88,1131.4,32.7652,18.2626,1195.9,-2911.726806640625
445000,89,89,1291.61,32.2896,16.6775,1259.01,-2468.337646484375
450000,90,90,1085.8,29.9205,32.401,1086.97,-3209.606201171875
455000,91,91,1067.28,33.5679,26.697,1073.4,-3722.200439453125
460000,92,92,813.87,33.8798,26.7283,853.99,-3879.667236328125
465000,93,93,1147.2,33.0222,20.8057,1153.13,-3027.794921875
470000,94,94,1042.28,33.7897,60.2382,1038.56,-4044.172119140625
475000,95,95,1156.04,32.7493,24.9429,1031.91,-3347.81201171875
480000,96,96,1071.57,33.387,30.0214,1064.96,-3906.43310546875
485000,97,97,725.88,27.4797,42.6991,964.32,-2229.553955078125
490000,98,98,1054.28,33.7055,60.3885,1052.98,-4096.67724609375
495000,99,99,1062.2,31.6234,34.8138,1016.9,-3999.974609375
500000,100,100,1165.41,33.5914,25.5583,1161.71,-3261.8046875
505000,101,101,1083.98,32.8674,25.8777,1085.98,-3657.620361328125
510000,102,102,1059.29,34.8858,55.1394,1059.44,-4311.83056640625
515000,103,103,1081.8,32.5591,32.413,1074.76,-3884.997314453125
520000,104,104,1006.92,33.6127,54.3248,1060.0,-4277.396484375
525000,105,105,1184.81,32.8734,31.8645,1183.38,-3861.466552734375
530000,106,106,1155.29,33.3245,34.8347,1153.0,-4026.68798828125
535000,107,107,1048.38,34.0752,65.3286,1048.3,-4520.873046875
540000,108,108,1076.45,33.7933,42.1576,1078.53,-4450.62548828125
545000,109,109,1060.49,33.3539,25.4757,991.85,-3601.69482421875
550000,110,110,1206.59,32.7649,18.9114,1198.22,-3038.649658203125
555000,111,111,1022.68,32.6679,23.6123,1029.1,-4140.26953125
560000,112,112,1109.88,33.2584,47.6882,1106.23,-4638.8212890625
565000,113,113,419.6,29.3765,74.5253,390.73,-3957.4599609375
570000,114,114,1065.3,34.1991,77.1149,1060.93,-4976.8291015625
575000,115,115,1161.55,33.1656,29.3013,1163.84,-3659.13134765625
580000,116,116,1084.82,33.0726,24.8322,1081.58,-4700.65576171875
585000,117,117,1020.19,32.8229,41.8227,1079.27,-5134.70703125
590000,118,118,1087.96,32.7408,86.7366,1106.51,-4840.10107421875
595000,119,119,1050.07,33.4469,41.5071,1049.41,-5186.6923828125
600000,120,120,1058.66,33.9518,55.0221,1062.46,-5288.93603515625
605000,121,121,992.1,31.3728,42.925,1006.43,-5226.298828125
610000,122,122,777.79,33.8812,77.2663,745.95,-5512.79296875
615000,123,123,1045.64,33.9164,75.4435,1044.81,-5737.01708984375
620000,124,124,1066.34,34.1804,64.3654,1065.46,-5453.791015625
625000,125,125,1062.51,34.3063,76.8149,1062.2,-5609.2236328125
630000,126,126,1296.91,32.5691,18.2606,1236.75,-3634.35888671875
635000,127,127,776.7,29.9998,55.0499,687.21,-4213.65283203125
640000,128,128,1216.88,32.9126,19.6488,1228.85,-4513.08935546875
645000,129,129,1057.29,33.7255,71.7555,1057.12,-5790.25341796875
650000,130,130,1052.54,34.0382,35.8446,1052.51,-5698.81005859375
655000,131,131,709.81,30.3686,62.8737,594.48,-4671.40087890625
660000,132,132,967.49,32.5181,59.5714,961.32,-5837.93408203125
665000,133,133,1184.34,32.0095,22.8016,1182.2,-4618.0478515625
670000,134,134,1157.71,32.5774,26.5965,1157.16,-5096.01953125
675000,135,135,953.23,32.3723,17.1446,961.34,-4756.591796875
680000,136,136,580.96,29.1099,35.2431,634.75,-4393.45361328125
685000,137,137,1085.64,33.1615,28.9639,1083.8,-5694.3515625
690000,138,138,1048.95,35.4902,49.6771,1049.09,-6427.2421875
695000,139,139,961.93,30.5813,28.7179,997.8,-4771.79931640625
700000,140,140,1057.4,34.2348,81.1059,1057.55,-6463.74951171875
705000,141,141,1039.3,35.9016,56.6303,1039.05,-6860.05126953125
710000,142,142,858.71,30.8887,16.4901,924.92,-4572.12890625
715000,143,143,1157.27,32.948,18.7521,1157.28,-5811.0166015625
720000,144,144,1062.92,32.6971,77.3962,1011.58,-6287.91162109375
725000,145,145,1058.23,34.4676,40.5923,1058.33,-6760.76220703125
730000,146,146,212.95,32.6157,160.6154,238.19,-4732.28662109375
735000,147,147,1122.68,30.8569,22.9186,1031.72,-5208.978515625
740000,148,148,1181.35,32.3594,24.8534,1184.87,-5486.400390625
745000,149,149,1118.32,32.0041,28.2146,1109.75,-5431.416015625
750000,150,150,1052.19,34.2978,66.8183,1051.9,-7231.109375
755000,151,151,1057.78,34.21,82.3929,1057.55,-7091.33544921875
760000,152,152,961.23,30.891,36.4365,892.77,-5381.22998046875
765000,153,153,1139.26,33.2142,20.4783,1137.88,-5744.96435546875
770000,154,154,1086.53,32.5149,34.6008,1125.6,-6147.50439453125
775000,155,155,940.78,32.116,33.253,982.65,-6125.87158203125
780000,156,156,1070.67,32.848,36.8826,1062.01,-7312.65380859375
785000,157,157,1138.55,33.1048,49.22,1137.09,-6435.626953125
790000,158,158,934.22,29.5715,20.3019,982.7,-5991.58447265625
795000,159,159,1182.88,32.9078,26.1517,1179.9,-6446.0166015625
800000,160,160,1313.17,32.4546,20.0688,1294.87,-5324.8115234375
805000,161,161,1242.44,32.8436,19.2633,1237.94,-6121.34912109375
810000,162,162,1040.95,33.2332,50.8658,1041.14,-7708.60205078125
815000,163,163,1070.05,33.3972,48.0582,1065.32,-7666.47607421875
820000,164,164,1096.78,32.5331,57.2964,1031.25,-7104.1630859375
825000,165,165,1097.92,32.9613,24.4129,1094.08,-6733.68798828125
830000,166,166,1308.23,32.6165,23.9338,1303.02,-5931.2099609375
835000,167,167,1252.9,33.121,25.2261,1254.77,-6952.7216796875
840000,168,168,867.87,29.5257,35.9537,856.04,-5911.15478515625
845000,169,169,845.25,29.7541,54.9706,922.31,-6416.82470703125
850000,170,170,1215.49,31.7493,20.936,1168.24,-6272.43212890625
855000,171,171,1007.97,39.6264,60.5027,1007.96,-9056.3916015625
860000,172,172,1246.83,33.1338,36.3564,1246.09,-6743.84619140625
865000,173,173,1189.58,32.9023,35.7297,1191.72,-7700.5595703125
870000,174,174,1070.28,32.8995,42.7819,1069.97,-8073.966796875
875000,175,175,1158.1,32.2542,24.934,1165.84,-7430.21044921875
880000,176,176,1231.95,32.5427,24.5104,1224.23,-7004.736328125
885000,177,177,1281.31,32.7941,24.7266,1274.35,-7295.81640625
890000,178,178,1264.07,33.0632,24.7248,1266.77,-6572.8818359375
895000,179,179,666.56,31.1817,48.8415,891.87,-7339.36328125
900000,180,180,1006.99,33.1392,30.3277,1011.51,-9107.1513671875
905000,181,181,1299.43,32.6525,35.2252,1302.34,-7080.525390625
910000,182,182,1046.13,33.3016,21.2622,1045.92,-9055.0009765625
915000,183,183,1021.63,30.9915,89.0883,993.9,-8479.294921875
920000,184,184,1241.44,31.6094,20.7401,1241.48,-5876.4931640625
925000,185,185,700.49,31.2308,20.2559,871.92,-7308.8974609375
930000,186,186,883.16,29.9908,35.6801,909.31,-7102.5634765625
935000,187,187,1147.55,32.8642,53.9297,1108.14,-8581.8466796875
940000,188,188,955.22,31.7799,52.6481,957.13,-9258.8173828125
945000,189,189,1030.3,31.7289,16.6291,1039.81,-7313.84228515625
950000,190,190,928.28,31.7569,59.2203,958.33,-8317.3017578125
955000,191,191,1035.27,38.2646,113.7971,1035.35,-10641.2509765625
960000,192,192,385.36,29.7606,135.2863,318.21,-8006.2080078125
965000,193,193,1042.42,34.7246,48.8476,1041.01,-10525.76953125
970000,194,194,1046.86,34.3527,60.6576,1015.11,-10684.0830078125
975000,195,195,1027.52,33.2295,88.0556,1046.91,-9919.771484375
980000,196,196,1107.78,33.2285,24.661,1110.0,-9206.478515625
985000,197,197,221.42,32.9801,24.7666,222.06,-9573.3154296875
990000,198,198,1262.25,32.97,20.1583,1259.57,-7447.865234375
995000,199,199,1038.84,30.8476,22.2216,1012.04,-7698.50244140625
