Running Env Steps,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Itration,Real Det Return,Running Reverse KL
165000,239.85,-380.9129638671875,33,73.8354,33,713.68,31.7147
170000,256.88,-391.9883728027344,34,73.8826,34,841.97,31.8252
175000,232.1,-408.2704772949219,35,74.431,35,870.04,32.4176
180000,214.88,-414.8648986816406,36,72.846,36,938.54,31.2267
185000,269.02,-430.1825256347656,37,72.5454,37,939.27,31.1798
190000,264.77,-443.2806701660156,38,70.0308,38,898.11,30.9374
195000,257.67,-456.89593505859375,39,73.7411,39,883.69,31.4947
200000,220.03,-476.5202941894531,40,73.4894,40,832.82,31.6326
205000,261.71,-480.48126220703125,41,72.1004,41,892.83,31.1906
210000,254.37,-504.4367980957031,42,72.718,42,740.97,31.4121
215000,198.36,-515.2501831054688,43,73.5236,43,946.68,31.2265
220000,256.89,-528.520751953125,44,73.2168,44,759.38,31.3248
225000,272.15,-542.8118896484375,45,71.9368,45,735.46,31.2232
230000,223.2,-561.8595581054688,46,73.7423,46,845.66,31.454
235000,256.79,-580.244873046875,47,73.4217,47,869.44,31.7252
240000,302.52,-592.1466064453125,48,73.4179,48,878.03,31.5776
245000,203.29,-600.0096435546875,49,71.0426,49,859.14,30.8394
250000,265.22,-623.51904296875,50,74.5522,50,803.73,31.5028
255000,259.33,-632.9535522460938,51,73.162,51,900.09,31.2669
260000,222.36,-655.4404907226562,52,73.6957,52,831.32,31.8878
265000,239.05,-674.0386962890625,53,75.4532,53,705.73,31.6025
270000,244.74,-673.7071533203125,54,73.5189,54,947.91,30.8764
275000,275.87,-697.549072265625,55,74.8927,55,787.92,31.5578
280000,219.42,-715.2460327148438,56,73.7198,56,890.71,31.0607
285000,237.87,-726.3796997070312,57,72.8206,57,757.1,31.0604
290000,222.07,-749.5095825195312,58,74.3168,58,747.75,30.9668
295000,276.61,-761.7710571289062,59,71.9942,59,740.12,31.0382
300000,248.08,-783.9219360351562,60,75.1183,60,794.46,31.2279
305000,228.27,-807.6054077148438,61,75.8173,61,741.94,31.7031
310000,243.18,-817.9923095703125,62,75.8628,62,886.03,31.4522
315000,251.22,-838.7845458984375,63,74.9443,63,698.62,31.5174
320000,261.97,-855.8822631835938,64,75.1901,64,940.33,31.3738
325000,255.16,-874.1671142578125,65,74.6901,65,882.46,31.7486
330000,241.56,-885.6657104492188,66,74.4124,66,991.08,31.5465
335000,267.1,-913.4381103515625,67,74.8116,67,936.23,31.5172
340000,227.27,-936.8684692382812,68,75.2376,68,752.16,31.4453
345000,206.25,-955.50830078125,69,74.9909,69,886.59,31.961
350000,277.35,-973.2244873046875,70,75.4065,70,860.87,31.6555
355000,260.61,-995.3901977539062,71,75.7819,71,904.17,31.115
360000,235.13,-1007.1935424804688,72,76.4076,72,842.67,31.4401
365000,208.08,-1021.84423828125,73,75.257,73,887.07,31.6056
370000,271.52,-1046.2686767578125,74,76.4201,74,845.88,31.53
375000,250.37,-1072.291015625,75,75.8263,75,884.93,31.4527
380000,259.48,-1093.7235107421875,76,75.6387,76,798.6,32.0553
385000,235.71,-1118.064697265625,77,75.7751,77,784.32,31.9472
390000,259.34,-1132.0721435546875,78,75.37,78,943.12,32.2382
395000,237.63,-1152.117431640625,79,74.8455,79,789.78,31.2222
400000,271.2,-1173.1795654296875,80,75.5229,80,842.62,31.6448
405000,262.74,-1192.9254150390625,81,75.901,81,936.91,31.2607
410000,288.33,-1210.005126953125,82,75.008,82,897.81,31.7482
415000,240.95,-1236.6627197265625,83,75.4466,83,836.16,31.7411
420000,293.01,-1259.36767578125,84,76.176,84,992.08,31.6813
425000,270.42,-1284.7105712890625,85,76.2818,85,891.13,31.8624
430000,276.48,-1306.8763427734375,86,75.0079,86,929.14,32.054
435000,233.35,-1316.92919921875,87,75.8378,87,900.23,31.4489
440000,283.5,-1357.8436279296875,88,76.0471,88,742.99,31.6354
445000,248.82,-1380.074951171875,89,75.8471,89,900.77,31.4044
450000,252.31,-1407.73193359375,90,76.5249,90,828.7,31.8177
455000,214.45,-1423.400634765625,91,74.687,91,896.47,31.0703
460000,259.93,-1435.443359375,92,74.2153,92,948.19,31.2665
465000,286.43,-1472.837158203125,93,74.5024,93,836.86,31.1323
470000,285.79,-1484.189453125,94,75.9852,94,945.8,31.4395
475000,248.12,-1518.678955078125,95,76.2458,95,782.64,31.4583
480000,257.25,-1560.107177734375,96,75.9737,96,793.15,31.4125
485000,249.03,-1575.5679931640625,97,75.9547,97,784.78,31.4483
490000,289.74,-1606.3238525390625,98,75.1963,98,893.18,31.6165
495000,255.61,-1634.8712158203125,99,76.1071,99,940.95,31.4379
500000,276.53,-1662.7926025390625,100,75.911,100,945.84,32.0706
505000,201.53,-1707.0318603515625,101,76.1142,101,889.52,31.8925
510000,234.97,-1705.4854736328125,102,74.8949,102,846.49,31.4885
515000,245.53,-1722.877197265625,103,75.8685,103,941.76,31.446
520000,269.85,-1781.2255859375,104,75.4888,104,1000.5,31.3115
525000,265.33,-1799.5308837890625,105,76.7441,105,894.03,31.7093
530000,237.15,-1820.8887939453125,106,76.4846,106,840.6,31.0807
535000,243.44,-1842.3162841796875,107,76.2156,107,753.04,31.2795
540000,244.45,-1875.1685791015625,108,75.1477,108,744.41,31.3616
545000,277.5,-1919.6268310546875,109,75.7022,109,945.13,31.3532
550000,237.73,-1932.0208740234375,110,75.2833,110,939.85,31.2199
555000,242.01,-1976.9127197265625,111,75.2433,111,844.76,31.2588
560000,215.42,-2001.7943115234375,112,75.3823,112,883.84,31.1562
565000,272.68,-2064.836669921875,113,77.3203,113,944.56,31.6408
570000,254.19,-2076.0947265625,114,74.9706,114,790.73,31.0188
575000,271.46,-2121.658203125,115,76.1235,115,897.6,31.4135
580000,258.84,-2148.512451171875,116,76.2593,116,852.99,31.3804
585000,228.41,-2181.660400390625,117,75.7551,117,784.67,31.5352
590000,286.94,-2189.1171875,118,75.4266,118,941.37,31.2118
595000,271.18,-2251.83740234375,119,76.7134,119,944.85,31.436
600000,286.78,-2283.048583984375,120,75.115,120,798.25,31.553
605000,257.33,-2309.4501953125,121,75.7799,121,894.58,31.1955
610000,240.79,-2341.293701171875,122,75.3906,122,706.33,31.53
615000,283.95,-2373.854736328125,123,75.2078,123,845.09,31.5368
620000,199.66,-2394.69677734375,124,76.4579,124,794.34,31.7801
625000,266.69,-2458.91064453125,125,76.462,125,847.45,31.5661
630000,265.81,-2506.616455078125,126,75.4344,126,702.96,31.2092
635000,246.4,-2496.778564453125,127,75.4285,127,850.91,31.1528
640000,241.63,-2591.072021484375,128,76.1039,128,901.17,31.6121
645000,189.78,-2606.65869140625,129,75.182,129,801.65,31.0004
650000,283.5,-2637.050537109375,130,75.8894,130,892.78,31.2348
655000,289.11,-2658.714111328125,131,76.6575,131,942.21,31.7691
660000,257.98,-2712.0859375,132,76.1439,132,996.92,31.0236
665000,305.78,-2772.516845703125,133,75.2457,133,952.67,31.4773
670000,253.66,-2815.167236328125,134,75.697,134,787.17,31.5418
675000,287.78,-2875.569091796875,135,75.739,135,947.28,31.792
680000,242.46,-2908.666015625,136,76.3289,136,897.94,31.5279
685000,301.91,-2966.683349609375,137,77.3301,137,950.66,31.6753
690000,186.48,-2938.1064453125,138,76.4694,138,900.06,30.8768
695000,249.87,-3022.330322265625,139,76.3747,139,861.39,31.4597
700000,292.95,-3096.774658203125,140,76.2623,140,795.94,31.2616
705000,281.35,-3143.307861328125,141,76.0439,141,888.65,31.2452
710000,272.71,-3160.141357421875,142,75.8104,142,899.06,31.4737
715000,277.04,-3218.4677734375,143,74.9914,143,899.38,31.5673
720000,239.59,-3261.82763671875,144,75.9636,144,851.55,31.0297
725000,222.36,-3274.169921875,145,76.0063,145,996.22,31.3485
730000,313.59,-3397.048095703125,146,75.7978,146,797.33,31.2646
735000,288.25,-3391.727294921875,147,76.522,147,953.52,31.3966
740000,239.58,-3439.5048828125,148,76.4854,148,799.17,31.1642
745000,295.84,-3485.90185546875,149,75.2609,149,952.34,30.8091
750000,228.67,-3544.915771484375,150,76.0188,150,753.86,31.2177
755000,211.56,-3603.500732421875,151,76.6886,151,857.46,31.408
760000,255.17,-3629.834716796875,152,76.1881,152,951.4,31.3644
765000,236.43,-3669.751220703125,153,75.183,153,795.01,30.8973
770000,245.72,-3741.18994140625,154,75.1932,154,1001.98,31.2804
775000,255.76,-3817.296630859375,155,75.1356,155,989.1,30.894
780000,294.45,-3850.835205078125,156,74.6424,156,949.63,30.9915
785000,298.25,-3905.032958984375,157,75.1866,157,951.48,31.0226
790000,276.88,-3958.56591796875,158,76.1674,158,902.13,31.2817
795000,261.11,-4009.78857421875,159,75.9306,159,709.39,31.2899
800000,188.61,-4127.88818359375,160,76.7162,160,743.02,31.3592
805000,230.09,-4119.15087890625,161,76.0168,161,697.34,31.1094
810000,286.98,-4233.90087890625,162,75.9507,162,858.91,31.5582
815000,240.48,-4229.3876953125,163,75.1079,163,953.56,31.1532
820000,288.49,-4281.42333984375,164,77.1879,164,908.66,31.3202
825000,258.35,-4327.919921875,165,76.6373,165,795.61,31.12
830000,229.46,-4427.3671875,166,75.6182,166,755.12,31.3108
835000,252.99,-4512.18798828125,167,76.3255,167,956.77,31.294
840000,271.18,-4573.4375,168,77.0955,168,848.32,31.6578
845000,285.07,-4605.1748046875,169,76.0212,169,847.19,31.5634
850000,274.1,-4673.25341796875,170,75.646,170,1000.09,30.8985
855000,279.29,-4744.38330078125,171,75.62,171,864.7,30.9329
860000,279.91,-4822.9521484375,172,75.5733,172,952.95,31.1381
865000,226.82,-4832.8408203125,173,73.7744,173,802.77,30.7041
870000,286.79,-4921.34765625,174,75.3569,174,806.18,30.9699
875000,246.35,-4997.17431640625,175,74.4529,175,803.45,30.9612
880000,325.58,-5105.109375,176,75.6277,176,956.65,31.5666
885000,267.1,-5119.884765625,177,75.8447,177,855.99,30.7498
890000,212.65,-5257.43359375,178,75.6606,178,849.66,31.2269
895000,249.13,-5301.94970703125,179,74.9951,179,960.92,31.3941
900000,259.21,-5321.2861328125,180,75.895,180,1010.52,30.9339
905000,241.18,-5401.3173828125,181,74.5908,181,760.89,31.0036
910000,295.3,-5431.55615234375,182,74.7757,182,799.76,31.1185
915000,292.49,-5518.810546875,183,75.4174,183,796.19,30.7907
920000,248.2,-5542.9482421875,184,76.4299,184,901.22,31.0578
925000,265.31,-5742.37646484375,185,76.5001,185,856.07,31.5544
930000,268.76,-5841.67578125,186,74.9501,186,857.74,30.9584
935000,274.56,-5892.6103515625,187,75.442,187,949.49,31.0141
940000,299.65,-5840.255859375,188,75.6234,188,850.33,30.7256
945000,274.34,-5945.16064453125,189,75.3082,189,949.5,30.8374
950000,245.48,-6137.5224609375,190,75.8605,190,848.19,31.1243
955000,302.15,-6120.30224609375,191,75.9836,191,854.31,31.0844
960000,295.31,-6289.970703125,192,74.8873,192,1002.41,31.1809
965000,280.06,-6296.0126953125,193,75.6655,193,799.58,31.1602
970000,296.34,-6450.61376953125,194,75.6548,194,858.02,31.0257
975000,194.05,-6561.3486328125,195,76.049,195,1000.79,31.2327
980000,295.57,-6631.0322265625,196,75.2147,196,946.33,31.2338
985000,239.71,-6605.828125,197,75.5098,197,856.81,31.1743
990000,318.57,-6690.10888671875,198,75.659,198,755.98,30.7326
995000,296.17,-6912.896484375,199,76.0991,199,895.23,31.6394
1000000,229.05,-6935.89501953125,200,75.1899,200,953.19,30.4331
1005000,285.11,-7029.63525390625,201,76.4818,201,947.41,30.938
1010000,215.31,-7173.23193359375,202,75.4824,202,706.86,31.2426
1015000,226.01,-7269.88525390625,203,75.2942,203,750.71,30.878
1020000,245.89,-7275.5185546875,204,75.8168,204,693.31,30.5079
1025000,250.59,-7383.435546875,205,75.6431,205,796.2,31.102
1030000,233.46,-7439.31201171875,206,75.4533,206,757.5,30.9902
1035000,270.48,-7592.373046875,207,75.1842,207,800.87,30.9372
1040000,191.98,-7640.7099609375,208,75.1539,208,749.71,31.4556
1045000,224.71,-7749.21630859375,209,76.1433,209,800.65,31.4437
1050000,264.1,-7885.32177734375,210,75.9774,210,849.72,31.0775
1055000,243.9,-7882.4111328125,211,77.0052,211,797.34,31.4743
1060000,281.69,-7986.69580078125,212,75.4782,212,845.78,31.2991
1065000,291.62,-8017.95458984375,213,74.6693,213,900.23,31.2745
1070000,267.58,-8307.4951171875,214,76.8499,214,693.76,31.5954
1075000,269.91,-8398.599609375,215,76.0955,215,902.15,31.4336
1080000,260.34,-8455.826171875,216,76.3674,216,905.32,31.323
1085000,282.55,-8528.056640625,217,76.3387,217,907.6,31.3266
1090000,247.28,-8563.46484375,218,74.9573,218,749.96,30.8443
1095000,256.4,-8707.693359375,219,74.3022,219,699.05,31.3086
1100000,241.66,-8800.02734375,220,75.3422,220,859.08,30.9399
1105000,257.05,-8872.033203125,221,74.4476,221,703.26,31.1756
1110000,244.26,-9012.765625,222,74.9021,222,656.26,30.9997
1115000,292.52,-9159.7333984375,223,75.4389,223,852.68,30.9903
1120000,259.77,-9307.2392578125,224,74.7586,224,693.15,31.0249
1125000,280.98,-9294.3642578125,225,75.0817,225,705.29,31.2234
1130000,293.82,-9571.5888671875,226,75.9743,226,672.7,31.3788
1135000,244.12,-9632.0,227,75.6326,227,846.34,30.9025
1140000,225.97,-9617.048828125,228,75.9028,228,755.76,31.0335
1145000,242.85,-9730.3974609375,229,74.9476,229,558.0,31.4704
1150000,205.05,-9925.1650390625,230,75.5537,230,646.62,31.0948
1155000,230.17,-10052.3427734375,231,75.3822,231,597.4,31.1302
1160000,238.78,-9976.021484375,232,76.3052,232,650.52,30.8162
1165000,237.5,-10212.455078125,233,76.5837,233,757.06,31.3619
1170000,205.99,-10262.7099609375,234,76.1787,234,653.91,31.2931
1175000,222.26,-10313.484375,235,76.4375,235,604.94,31.0216
1180000,182.38,-10453.2392578125,236,74.5028,236,501.49,30.7749
1185000,194.23,-10595.0810546875,237,76.482,237,603.83,31.1082
1190000,227.3,-10573.654296875,238,76.6843,238,609.05,30.8962
1195000,160.5,-10678.291015625,239,75.729,239,707.05,30.7299
1200000,231.75,-10775.9697265625,240,74.8722,240,595.56,30.7964
1205000,259.32,-10877.2490234375,241,75.3607,241,752.22,30.7331
1210000,260.79,-11098.349609375,242,75.7536,242,606.59,30.8139
1215000,241.52,-11240.392578125,243,75.5655,243,851.89,30.9583
1220000,280.09,-11064.2490234375,244,74.951,244,709.48,30.6403
1225000,194.58,-11482.259765625,245,75.8031,245,688.31,31.0878
1230000,209.93,-11378.056640625,246,75.9537,246,756.89,30.6134
1235000,206.21,-11378.31640625,247,74.71,247,793.85,30.5477
1240000,228.07,-11606.4619140625,248,75.1159,248,712.51,30.7377
1245000,197.62,-11694.7841796875,249,75.5857,249,608.09,30.609
1250000,218.95,-11704.462890625,250,75.6484,250,556.06,30.7701
1255000,197.8,-11842.376953125,251,75.7818,251,553.48,30.9415
1260000,224.18,-12021.173828125,252,76.2151,252,807.72,31.2428
1265000,162.8,-12127.673828125,253,76.1857,253,757.07,31.1254
1270000,180.25,-12090.6142578125,254,75.0109,254,591.36,30.7286
1275000,182.66,-12004.49609375,255,74.3412,255,648.62,30.7154
1280000,196.02,-12349.796875,256,75.0068,256,504.3,30.2963
1285000,185.85,-12388.828125,257,75.5937,257,597.34,30.5258
1290000,227.18,-12713.6787109375,258,74.7485,258,504.65,30.6873
1295000,251.38,-12723.1640625,259,74.5086,259,655.43,30.8301
1300000,128.28,-12667.2626953125,260,74.3071,260,702.45,30.5129
1305000,186.02,-12688.9931640625,261,76.0246,261,701.83,30.7151
1310000,177.23,-12766.099609375,262,74.2759,262,741.86,30.6023
1315000,228.33,-12885.482421875,263,75.234,263,556.36,30.7998
1320000,186.27,-13103.4677734375,264,74.1288,264,655.76,30.3968
1325000,184.09,-12961.833984375,265,75.0854,265,643.89,30.9012
1330000,176.35,-13355.2470703125,266,76.1236,266,650.84,31.0858
1335000,253.63,-13317.8232421875,267,75.2441,267,661.83,30.7289
1340000,195.6,-13285.87890625,268,75.1936,268,741.3,30.4384
1345000,221.84,-13368.2802734375,269,75.5342,269,651.69,30.9973
1350000,250.39,-13346.7353515625,270,74.4511,270,799.95,30.66
1355000,197.36,-13700.7998046875,271,75.6049,271,553.65,31.0531
1360000,103.77,-14063.6640625,272,75.6299,272,649.78,31.2209
1365000,153.99,-13940.216796875,273,75.9132,273,701.05,31.0795
1370000,169.52,-14069.3896484375,274,75.0629,274,704.29,30.9243
1375000,236.56,-14191.9248046875,275,75.5334,275,745.99,30.954
1380000,204.95,-14179.677734375,276,75.459,276,799.26,30.9053
1385000,219.28,-14103.69140625,277,76.0724,277,645.8,30.8211
1390000,167.6,-14428.455078125,278,76.2509,278,743.61,30.8896
1395000,224.74,-14381.8779296875,279,75.7489,279,685.15,31.1052
1400000,196.13,-14360.1396484375,280,75.7272,280,735.38,30.975
1405000,122.7,-14611.083984375,281,75.0866,281,696.64,30.8558
1410000,233.36,-14715.5185546875,282,75.6533,282,709.73,30.9912
1415000,163.9,-14740.8134765625,283,75.2774,283,700.63,30.9058
1420000,159.3,-14819.3740234375,284,76.4383,284,699.91,30.729
1425000,179.85,-14911.703125,285,75.0891,285,889.33,30.643
1430000,234.81,-14840.3271484375,286,76.2925,286,544.78,30.7965
1435000,196.26,-15055.1953125,287,74.6951,287,795.95,30.8953
1440000,158.14,-15310.5107421875,288,75.4496,288,779.59,31.2205
1445000,257.36,-15555.9638671875,289,75.1379,289,650.05,31.2223
1450000,206.67,-15165.384765625,290,76.8765,290,745.69,31.0121
1455000,202.31,-15524.025390625,291,75.1061,291,490.85,31.1575
1460000,213.91,-15565.1259765625,292,75.5642,292,640.62,30.8733
1465000,200.75,-15672.537109375,293,75.9311,293,696.4,31.2632
1470000,238.73,-15988.7021484375,294,76.0166,294,691.26,31.2313
1475000,224.71,-15597.5771484375,295,75.311,295,791.93,30.8987
1480000,234.34,-15827.6396484375,296,75.4857,296,689.51,30.6766
1485000,198.27,-16147.5654296875,297,76.3094,297,693.3,30.7889
1490000,165.87,-16405.255859375,298,76.361,298,801.25,31.2919
1495000,181.61,-16298.767578125,299,75.5732,299,700.59,30.6783
1500000,223.71,-16400.03515625,300,75.9952,300,590.64,31.2741
1505000,212.53,-16151.92578125,301,76.0135,301,535.74,30.6642
1510000,226.47,-16595.0390625,302,76.8286,302,584.09,31.3111
1515000,177.91,-16543.171875,303,75.4359,303,677.45,31.1224
1520000,164.23,-16763.25390625,304,76.219,304,722.52,30.8963
1525000,181.74,-16605.044921875,305,75.4643,305,641.05,30.8709
1530000,215.55,-16890.509765625,306,77.0999,306,646.87,31.5298
1535000,232.29,-16882.015625,307,75.8911,307,729.69,30.873
1540000,207.51,-17087.337890625,308,75.9483,308,793.62,31.433
1545000,171.65,-16869.44140625,309,75.817,309,789.96,30.8427
1550000,157.28,-17160.69140625,310,76.0687,310,545.34,31.0436
1555000,215.74,-17159.4296875,311,76.2286,311,823.3,30.5934
1560000,214.58,-17444.99609375,312,76.0642,312,644.01,31.0005
1565000,263.23,-17272.533203125,313,75.7551,313,599.18,30.7474
1570000,218.74,-17297.6015625,314,75.7733,314,903.57,31.1448
1575000,184.91,-17323.43359375,315,76.3325,315,790.08,31.254
1580000,224.67,-17495.078125,316,76.1357,316,694.17,30.994
1585000,157.84,-17807.4609375,317,76.021,317,690.46,31.4015
1590000,124.34,-17119.978515625,318,75.8522,318,747.35,30.6223
1595000,231.58,-17901.68359375,319,76.7017,319,648.35,31.0329
1600000,117.31,-17589.783203125,320,76.5256,320,741.58,31.0509
1605000,207.37,-17609.2265625,321,75.4645,321,744.03,30.6833
1610000,255.03,-17912.44921875,322,75.801,322,738.85,30.9336
1615000,185.95,-17995.740234375,323,75.6135,323,845.09,30.9631
1620000,176.86,-17984.10546875,324,76.3624,324,648.62,30.6322
1625000,162.07,-18224.73828125,325,75.3726,325,795.88,31.0692
1630000,233.27,-18055.791015625,326,75.4617,326,751.88,30.9576
1635000,209.34,-17939.998046875,327,74.697,327,697.18,30.8251
1640000,181.44,-18343.841796875,328,76.0248,328,745.29,30.9855
1645000,185.62,-18039.681640625,329,75.0993,329,699.78,29.923
1650000,158.34,-18102.310546875,330,74.8583,330,741.55,30.4756
1655000,166.69,-17960.2578125,331,76.2123,331,697.25,31.0712
1660000,208.21,-18096.80859375,332,75.6877,332,699.66,30.735
1665000,213.04,-18344.951171875,333,76.7466,333,650.65,31.1632
1670000,211.78,-18551.849609375,334,76.1395,334,898.37,31.3759
1675000,205.65,-18237.208984375,335,74.7562,335,647.47,30.6329
1680000,212.47,-18382.095703125,336,75.1759,336,704.18,30.6929
1685000,199.98,-18205.51171875,337,75.4339,337,835.6,30.4994
1690000,253.74,-18723.529296875,338,76.0311,338,700.06,31.5112
1695000,244.02,-18553.759765625,339,76.0247,339,848.5,31.2578
1700000,172.19,-18532.455078125,340,76.3784,340,847.69,30.902
1705000,170.31,-18527.013671875,341,75.5031,341,751.25,30.6878
1710000,135.91,-18611.49609375,342,75.2908,342,846.38,30.972
1715000,203.65,-18534.232421875,343,75.7152,343,627.88,30.9911
1720000,221.88,-18603.04296875,344,75.6705,344,697.16,30.8664
1725000,185.32,-18544.46484375,345,75.9903,345,554.05,30.9395
1730000,244.42,-18842.744140625,346,76.0609,346,701.46,31.0322
1735000,209.99,-18632.171875,347,76.0006,347,853.77,30.7084
1740000,215.63,-18645.1953125,348,75.8847,348,807.87,30.7855
1745000,154.5,-18783.3203125,349,75.5303,349,752.18,31.138
1750000,193.67,-18597.2890625,350,75.807,350,702.13,30.7904
1755000,195.99,-18829.4609375,351,75.5878,351,739.29,30.9738
1760000,239.61,-18780.572265625,352,75.4657,352,697.97,31.1224
1765000,209.09,-18640.73828125,353,75.2504,353,702.84,30.7342
1770000,190.08,-18810.859375,354,75.9077,354,757.9,30.6275
1775000,231.39,-18861.65625,355,75.9734,355,798.03,31.1318
1780000,220.5,-18951.056640625,356,76.0117,356,560.01,31.081
1785000,195.38,-18826.33984375,357,75.5155,357,652.25,30.7395
1790000,252.1,-18856.56640625,358,74.9766,358,754.57,31.0949
1795000,229.23,-18819.7265625,359,75.6177,359,702.76,30.5643
1800000,222.93,-18944.0859375,360,76.0915,360,665.81,31.276
1805000,187.58,-18918.033203125,361,75.625,361,748.37,30.6038
1810000,196.9,-18946.41796875,362,76.0418,362,755.44,31.0412
1815000,208.95,-18785.64453125,363,76.3457,363,806.19,30.9553
1820000,161.38,-18904.701171875,364,75.7611,364,846.15,30.9559
1825000,183.49,-18934.48046875,365,74.9471,365,855.79,30.9639
1830000,221.57,-19042.228515625,366,75.8985,366,749.74,31.3806
1835000,190.78,-18996.470703125,367,75.7003,367,704.69,30.6723
1840000,189.68,-18921.1015625,368,76.0964,368,746.9,30.963
1845000,175.98,-18992.447265625,369,76.4945,369,839.09,31.183
1850000,181.29,-19103.369140625,370,76.0778,370,696.36,31.1631
1855000,208.76,-18982.43359375,371,75.853,371,735.66,30.8458
1860000,227.3,-19096.087890625,372,76.1137,372,848.05,31.3004
1865000,225.64,-19117.62109375,373,76.5861,373,650.94,31.1154
1870000,141.01,-19064.412109375,374,76.1205,374,718.68,31.3767
1875000,189.39,-19087.970703125,375,76.5255,375,642.11,30.8997
1880000,206.55,-19225.8984375,376,75.7648,376,730.1,31.4021
1885000,226.71,-19105.796875,377,75.5405,377,840.5,31.1075
1890000,200.16,-19152.138671875,378,76.2344,378,840.35,31.667
1895000,219.77,-19124.125,379,76.3603,379,769.66,31.1409
1900000,183.35,-19201.30078125,380,76.2716,380,844.38,31.2891
1905000,185.45,-19194.20703125,381,76.0193,381,733.62,30.9786
1910000,173.64,-19227.8046875,382,76.4214,382,834.47,31.4533
1915000,284.84,-19072.25,383,75.8603,383,586.21,31.0325
1920000,184.11,-19083.72265625,384,76.0462,384,549.72,31.3036
1925000,240.92,-19152.900390625,385,75.9047,385,673.27,30.7857
1930000,174.6,-18903.083984375,386,75.8988,386,697.23,30.695
1935000,154.3,-19217.9765625,387,75.2309,387,726.22,31.1881
1940000,253.43,-18978.0390625,388,75.562,388,788.54,31.457
1945000,227.62,-18999.78515625,389,75.3478,389,785.3,30.3967
1950000,242.12,-19253.44921875,390,76.3825,390,695.24,31.3385
1955000,185.31,-19227.279296875,391,75.5202,391,645.51,31.3806
1960000,159.0,-19224.44921875,392,75.7288,392,782.84,31.4933
1965000,195.1,-19294.87109375,393,76.5763,393,735.09,31.6025
1970000,217.04,-19044.744140625,394,74.9936,394,772.75,31.2038
1975000,186.73,-19105.240234375,395,76.3257,395,477.64,31.3027
1980000,141.22,-19200.77734375,396,76.5213,396,647.14,31.4452
1985000,234.27,-19195.740234375,397,75.7781,397,739.5,31.0886
1990000,206.18,-19299.12890625,398,75.9101,398,736.56,31.2002
1995000,216.94,-19216.03125,399,75.9191,399,616.34,31.259
2000000,171.2,-19216.544921875,400,76.2455,400,691.71,30.9759
2005000,218.59,-19354.46484375,401,76.965,401,635.87,31.7358
2010000,201.44,-19202.712890625,402,75.932,402,689.02,31.372
2015000,103.41,-19110.86328125,403,76.3018,403,693.43,31.2856
2020000,192.47,-19181.40625,404,76.0053,404,686.53,30.9645
2025000,126.2,-19130.87109375,405,75.8304,405,636.95,31.226
2030000,210.11,-19157.26171875,406,75.735,406,676.36,31.1124
2035000,205.78,-19209.029296875,407,75.5113,407,729.28,30.5815
2040000,214.44,-19340.416015625,408,75.6643,408,621.17,31.0114
2045000,145.23,-19294.9765625,409,76.0226,409,634.48,31.0645
