Itration,Real Det Return,Running Forward KL,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return
65,3376.87,24.7005,65,325000,20.9401,-956.8274536132812,2721.84
66,3390.42,24.4663,66,330000,20.3863,-830.3897705078125,2902.78
67,3383.8,25.1598,67,335000,20.1506,-673.512451171875,3156.8
68,3382.79,24.6669,68,340000,19.5889,-741.7610473632812,3330.13
69,3368.94,24.9512,69,345000,20.0179,-668.469970703125,3319.85
70,3376.66,25.2701,70,350000,20.559,-802.6473388671875,3162.62
71,2699.49,25.4174,71,355000,20.2439,-680.9427490234375,2502.7
72,3370.21,25.0161,72,360000,21.3779,-699.999755859375,3156.71
73,3396.0,23.9171,73,365000,17.9747,-726.2314453125,3212.68
74,3381.85,25.0767,74,370000,19.2116,-901.6721801757812,3127.58
75,3376.52,25.3045,75,375000,21.2265,-906.2492065429688,3186.15
76,3396.01,24.9335,76,380000,18.6912,-657.0405883789062,3148.74
77,3371.53,25.1007,77,385000,19.943,-773.7379760742188,3138.28
78,3388.94,24.5291,78,390000,18.571,-842.173583984375,3170.04
79,3391.07,24.5918,79,395000,20.4856,-744.2130126953125,3296.61
80,3380.38,24.9507,80,400000,20.0193,-863.6790161132812,3280.1
81,3387.44,25.4163,81,405000,21.03,-794.15625,3298.24
82,3385.3,24.4392,82,410000,19.9022,-827.715576171875,3243.25
83,3384.58,24.5155,83,415000,19.7051,-895.0911254882812,3270.14
84,3408.22,24.3228,84,420000,18.0532,-1002.1652221679688,2897.85
85,3380.9,24.452,85,425000,19.7191,-870.0087280273438,3312.05
86,3377.11,25.1042,86,430000,19.6715,-1019.5388793945312,3355.76
87,3399.2,24.8057,87,435000,19.9006,-867.347900390625,3239.42
88,3408.14,24.0093,88,440000,17.3947,-947.5416259765625,3207.45
89,3397.75,23.949,89,445000,17.2061,-1079.6512451171875,3147.49
90,3297.95,23.887,90,450000,17.822,-950.9883422851562,3340.82
91,3423.28,24.6188,91,455000,18.2451,-1003.429443359375,3126.68
92,3322.04,24.9119,92,460000,20.9926,-847.1958618164062,3185.8
93,3390.37,24.5772,93,465000,20.3198,-1069.13671875,3187.01
94,3368.57,24.1157,94,470000,19.4511,-984.9817504882812,3347.16
95,3375.06,24.9147,95,475000,19.5674,-962.9774780273438,3362.44
96,3403.5,24.3461,96,480000,19.5218,-1079.8875732421875,3232.31
97,3404.99,24.1099,97,485000,18.6026,-935.0452880859375,3115.89
98,3387.7,24.4924,98,490000,19.8794,-1184.826171875,3262.18
99,3369.59,24.9176,99,495000,20.5155,-1030.38671875,3364.21
100,3390.24,25.0963,100,500000,21.148,-1022.4368286132812,3287.87
101,3388.53,24.5443,101,505000,19.9122,-1087.208740234375,3322.89
102,3398.65,24.7282,102,510000,19.6996,-1099.8436279296875,3322.38
103,3398.63,24.2736,103,515000,16.9044,-1320.183837890625,3078.34
104,3367.56,24.5268,104,520000,19.3812,-1122.5904541015625,3353.99
105,3397.81,24.4398,105,525000,18.5886,-1234.836181640625,3218.4
106,3346.22,24.8925,106,530000,21.5285,-1104.16455078125,3366.6
107,3159.95,24.7942,107,535000,19.1296,-1167.6444091796875,3034.97
108,3167.19,24.6504,108,540000,19.8454,-1164.499755859375,3240.02
109,3357.91,24.2867,109,545000,17.6665,-1234.147705078125,3366.57
110,864.33,24.6359,110,550000,18.9847,-1215.207763671875,1681.45
111,3403.27,23.7422,111,555000,17.1016,-1235.1041259765625,3111.33
112,3419.22,24.1066,112,560000,17.4277,-1377.7862548828125,2631.71
113,3396.89,24.1436,113,565000,19.1929,-1338.60205078125,3323.98
114,3353.96,23.7585,114,570000,17.222,-1320.9930419921875,3354.04
115,3367.43,24.1949,115,575000,17.933,-1342.757568359375,3144.1
116,3421.26,24.7919,116,580000,19.7402,-1275.628173828125,3324.85
117,3285.7,23.7709,117,585000,17.9277,-1324.6519775390625,3364.81
118,3410.01,24.6586,118,590000,20.7364,-1326.7535400390625,3287.02
119,3219.91,24.3088,119,595000,19.5458,-1312.478271484375,3336.61
120,3328.95,24.0869,120,600000,17.4955,-1372.7225341796875,3322.0
121,2349.72,24.1563,121,605000,17.5461,-1339.939208984375,3383.32
122,3302.21,23.719,122,610000,17.8844,-1359.605224609375,3277.74
123,3270.52,24.1279,123,615000,18.7283,-1346.252685546875,3341.81
124,3359.27,24.0146,124,620000,18.1343,-1397.9111328125,3160.3
125,819.48,24.1244,125,625000,17.5243,-1469.8134765625,2348.13
126,602.7,22.9343,126,630000,15.5089,-1373.3232421875,1059.89
127,3404.69,24.5422,127,635000,18.6994,-1433.628173828125,3050.43
128,3385.25,23.9469,128,640000,16.4218,-1580.878173828125,3055.39
129,3406.14,23.9503,129,645000,18.2846,-1626.4554443359375,3247.49
130,3401.32,24.6062,130,650000,18.0656,-1570.884765625,3281.92
131,3392.5,24.719,131,655000,19.2125,-1514.076904296875,3386.07
132,3375.18,24.6496,132,660000,19.0918,-1531.4705810546875,3383.45
133,3421.69,24.5298,133,665000,19.0661,-1505.003662109375,3396.57
134,3355.98,24.3023,134,670000,17.6697,-1569.3892822265625,3234.27
135,3390.29,24.3081,135,675000,18.4016,-1563.8514404296875,3203.97
136,3416.17,24.3533,136,680000,18.5085,-1634.8267822265625,3398.22
137,3395.11,24.5182,137,685000,18.0599,-1643.2242431640625,3368.86
138,3395.49,24.2015,138,690000,17.022,-1685.69873046875,3358.4
139,2506.64,23.3309,139,695000,17.5126,-1768.0926513671875,3043.27
140,3420.03,23.8944,140,700000,18.2239,-1688.7777099609375,2882.1
141,3416.75,24.3057,141,705000,17.9806,-1715.95458984375,3388.69
142,3416.46,24.1136,142,710000,18.0745,-1696.328369140625,3052.96
143,3390.41,23.8834,143,715000,20.7283,-1764.04638671875,3286.41
144,3418.79,23.6897,144,720000,16.4047,-1841.771728515625,2976.34
145,3415.84,24.0555,145,725000,16.5322,-1865.494140625,3129.64
146,3418.76,24.0036,146,730000,17.0932,-1802.9136962890625,3184.65
147,3357.8,24.0279,147,735000,17.1775,-1790.94189453125,3281.59
148,3429.57,24.1578,148,740000,17.9278,-1885.501708984375,3323.83
149,3404.89,23.7689,149,745000,16.4074,-1937.2301025390625,3024.88
150,3414.88,23.8387,150,750000,18.3322,-1939.9217529296875,3395.02
151,3324.52,23.3908,151,755000,15.8863,-1863.8189697265625,3158.41
152,3382.85,24.5448,152,760000,19.0619,-1865.0438232421875,3172.88
153,3338.68,24.2859,153,765000,19.6795,-1873.7032470703125,3389.76
154,3395.03,24.0884,154,770000,17.8438,-1968.150634765625,3394.27
155,3380.43,24.0038,155,775000,17.9486,-1940.6866455078125,3403.1
156,3350.62,24.2959,156,780000,17.711,-1999.0665283203125,3375.76
157,3378.02,23.697,157,785000,17.7389,-2008.640869140625,3396.4
158,3434.35,24.0978,158,790000,18.2812,-1945.687744140625,3234.6
159,3430.88,24.3004,159,795000,19.2226,-2068.963134765625,3212.96
160,3421.09,23.7845,160,800000,18.2438,-2133.435302734375,3395.69
161,3343.46,24.63,161,805000,18.6298,-2049.013671875,3389.04
162,3425.35,24.6339,162,810000,18.1591,-2101.15380859375,3252.29
163,3369.31,24.4031,163,815000,17.564,-2107.94140625,2985.47
164,3417.42,24.3781,164,820000,18.3479,-2123.6572265625,3394.53
165,3429.54,24.2772,165,825000,18.9994,-2133.937744140625,3410.4
166,3399.48,23.9381,166,830000,18.7519,-2166.73291015625,3095.68
167,3426.64,23.9475,167,835000,19.691,-2192.952392578125,3307.41
168,1726.64,23.8838,168,840000,16.0716,-2216.333984375,3121.67
169,3405.75,24.2436,169,845000,17.7835,-2253.3994140625,3385.25
170,3417.47,23.9938,170,850000,17.2617,-2287.791748046875,3393.08
171,3432.59,24.0774,171,855000,17.6171,-2174.964599609375,3154.04
172,3423.65,23.8609,172,860000,17.1003,-2243.917724609375,3137.28
173,3422.8,23.6366,173,865000,17.2016,-2297.80029296875,3406.75
174,3420.95,23.8166,174,870000,22.4519,-2371.45458984375,3410.32
175,3430.99,24.097,175,875000,17.7951,-2327.062744140625,3368.43
176,3381.76,23.9477,176,880000,17.6066,-2342.55224609375,3302.33
177,3406.66,24.2879,177,885000,17.5407,-2403.263916015625,3383.98
178,3415.72,23.25,178,890000,15.9563,-2425.1162109375,3375.18
179,3435.41,24.2502,179,895000,17.8401,-2435.04150390625,3377.25
180,3420.14,24.55,180,900000,18.575,-2516.171630859375,3368.68
181,3404.32,24.6912,181,905000,17.0147,-2540.28466796875,3332.76
182,3444.06,24.403,182,910000,17.5642,-2469.767578125,3200.91
183,3420.53,24.4248,183,915000,18.1114,-2593.2548828125,3353.14
184,3421.83,24.1771,184,920000,17.9134,-2605.877197265625,3399.75
185,3447.71,23.5937,185,925000,30.524,-2878.0576171875,2419.03
186,3426.48,24.0002,186,930000,18.6793,-2585.036865234375,3364.59
187,3399.98,24.5489,187,935000,17.6114,-2687.976806640625,3378.88
188,3424.6,23.8304,188,940000,17.4155,-2604.06494140625,3389.7
189,3424.23,23.7866,189,945000,18.5926,-2700.696533203125,3404.13
190,3414.5,23.9449,190,950000,16.3461,-2682.1875,3324.99
191,3431.0,23.999,191,955000,16.8551,-2658.671142578125,3115.27
192,3413.61,24.123,192,960000,17.544,-2736.634765625,3392.46
193,3432.32,24.0356,193,965000,18.2465,-2714.656982421875,3298.22
194,3429.43,23.62,194,970000,17.965,-2792.20361328125,3298.11
195,3433.63,24.0623,195,975000,16.9347,-2790.11572265625,3351.65
196,3423.06,23.9534,196,980000,16.4673,-2870.378662109375,3402.19
197,3421.76,23.9179,197,985000,16.8735,-2813.86962890625,3228.05
198,3426.25,24.1133,198,990000,17.088,-2921.029541015625,3415.16
199,3420.83,23.5834,199,995000,16.4072,-2930.94189453125,3391.06
