Running Env Steps,Running Reverse KL,Real Sto Return,Real Det Return,Reward Loss,Running Update Time,Itration,Running Forward KL
370000,29.6923,214.88,845.07,-1003.6140747070312,74,74,69.7113
375000,30.2609,273.74,1036.46,-1021.5548095703125,75,75,71.0304
380000,30.2939,268.57,902.38,-1042.7835693359375,76,76,71.5532
385000,30.4987,374.03,1005.11,-1069.0018310546875,77,77,70.139
390000,30.293,290.04,1088.06,-1091.0794677734375,78,78,72.4377
395000,29.8656,239.18,896.6,-1117.6845703125,79,79,72.172
400000,30.4798,326.24,914.6,-1136.0966796875,80,80,72.1625
405000,30.1151,219.24,1036.87,-1150.857177734375,81,81,72.0762
410000,29.7253,276.94,890.75,-1156.792236328125,82,82,70.2717
415000,30.077,289.04,1007.15,-1193.6204833984375,83,83,71.4555
420000,29.4089,336.94,997.43,-1188.82568359375,84,84,68.6235
425000,29.9533,314.51,945.93,-1235.7177734375,85,85,71.2305
430000,30.0835,242.97,1058.73,-1263.719970703125,86,86,71.3205
435000,28.7261,247.57,984.59,-1237.2044677734375,87,87,69.5455
440000,29.8055,194.07,944.8,-1315.0335693359375,88,88,71.4737
445000,30.2765,255.83,890.87,-1327.41552734375,89,89,71.4146
450000,29.7642,253.69,804.4,-1344.1461181640625,90,90,71.5382
455000,30.0437,256.83,1097.19,-1371.678955078125,91,91,71.6949
460000,29.8189,304.59,1017.31,-1367.518798828125,92,92,70.0065
465000,29.8698,349.29,814.06,-1402.9146728515625,93,93,70.2992
470000,30.7507,396.48,919.77,-1454.58203125,94,94,72.4978
475000,30.151,364.71,936.64,-1469.03955078125,95,95,70.3913
480000,32.3981,327.36,947.11,-1512.619140625,96,96,72.6677
485000,31.8045,304.75,863.39,-1488.77734375,97,97,72.0873
490000,31.9765,226.72,859.97,-1481.628662109375,98,98,70.622
495000,29.9149,390.35,843.53,-1529.12353515625,99,99,70.1447
500000,30.6024,358.92,723.86,-1558.6444091796875,100,100,71.3988
505000,30.1605,317.64,1092.61,-1594.566162109375,101,101,71.4752
510000,31.4012,250.4,614.35,-1632.422607421875,102,102,71.9538
515000,29.641,255.52,922.95,-1649.7327880859375,103,103,71.2344
520000,30.1595,310.48,939.94,-1689.271728515625,104,104,72.1945
525000,31.0202,390.24,1017.35,-1703.2730712890625,105,105,71.4179
530000,29.5151,317.94,1023.53,-1701.548828125,106,106,68.9074
535000,29.9482,321.01,737.88,-1770.4149169921875,107,107,71.2472
540000,30.9417,247.48,908.83,-1820.208251953125,108,108,73.0002
545000,30.1562,398.77,958.68,-1830.6396484375,109,109,71.4251
550000,30.1744,280.1,849.13,-1872.596923828125,110,110,71.6474
555000,30.5725,352.9,1049.56,-1873.8223876953125,111,111,70.4243
560000,29.7002,291.83,1014.47,-1900.9766845703125,112,112,71.018
565000,29.3302,232.93,901.93,-1931.9703369140625,113,113,69.7783
570000,29.9164,320.89,1035.15,-1977.7890625,114,114,71.5738
575000,30.1921,279.48,903.43,-1987.748046875,115,115,71.1887
580000,30.4748,309.22,976.3,-2039.1505126953125,116,116,71.6721
585000,30.3489,361.58,987.02,-2089.088134765625,117,117,73.0046
590000,29.2322,300.92,1052.91,-2073.105224609375,118,118,70.7423
595000,29.5392,273.74,750.36,-2132.41796875,119,119,71.0867
600000,30.0314,341.66,913.12,-2158.48095703125,120,120,72.4073
605000,30.1411,226.62,954.21,-2208.924072265625,121,121,71.8211
610000,29.9456,298.12,918.0,-2240.208740234375,122,122,70.7395
615000,29.9087,304.05,812.89,-2278.12841796875,123,123,70.661
620000,30.6531,325.57,985.21,-2303.0224609375,124,124,72.2114
625000,28.6491,266.02,912.62,-2234.449462890625,125,125,67.4523
630000,28.7749,292.12,820.74,-2289.437744140625,126,126,68.3009
635000,30.0607,288.91,965.07,-2413.134033203125,127,127,71.3614
640000,29.6647,356.25,997.73,-2403.071044921875,128,128,69.8714
645000,29.916,318.66,792.37,-2468.206298828125,129,129,71.5713
650000,29.9274,376.73,955.56,-2497.84423828125,130,130,69.6389
655000,29.7388,393.21,1141.43,-2533.032958984375,131,131,69.2609
660000,31.0717,277.81,1084.59,-2625.054443359375,132,132,71.3295
665000,30.5562,314.6,938.39,-2621.097900390625,133,133,69.9807
670000,30.0501,311.42,915.76,-2651.348388671875,134,134,71.18
675000,28.5422,283.79,898.22,-2637.0029296875,135,135,68.7045
680000,30.3756,261.78,748.4,-2794.401611328125,136,136,71.9666
685000,29.4105,348.01,985.08,-2757.909912109375,137,137,69.7644
690000,28.983,263.71,823.41,-2798.208740234375,138,138,70.16
695000,29.2618,284.49,908.62,-2835.912109375,139,139,70.813
700000,29.1813,343.76,854.57,-2859.033935546875,140,140,69.9826
705000,29.7312,299.74,777.92,-2958.378173828125,141,141,71.851
710000,28.9395,329.77,769.7,-2939.78662109375,142,142,68.7734
715000,30.0581,330.55,945.53,-3052.725830078125,143,143,71.0203
720000,30.37,274.77,974.55,-3114.766845703125,144,144,71.8752
725000,28.6555,321.31,1061.15,-3047.074951171875,145,145,67.673
730000,29.6773,341.61,734.63,-3150.26904296875,146,146,70.862
735000,30.9369,374.33,738.54,-3232.120361328125,147,147,71.2077
740000,29.254,465.72,1061.25,-3224.988037109375,148,148,69.8649
745000,29.3653,384.46,797.74,-3250.0361328125,149,149,70.2112
750000,29.6333,311.72,973.9,-3332.980224609375,150,150,70.7704
755000,28.6219,443.44,1187.4,-3241.960205078125,151,151,67.5956
760000,30.8021,294.16,922.27,-3506.728271484375,152,152,72.8912
765000,29.8397,388.52,1189.36,-3489.3056640625,153,153,70.2166
770000,29.4072,347.14,887.22,-3504.06396484375,154,154,70.3398
775000,29.2909,304.07,969.65,-3577.750732421875,155,155,69.1795
780000,29.6311,340.31,746.86,-3615.254150390625,156,156,69.9686
785000,29.4482,324.31,762.3,-3644.485107421875,157,157,69.7005
790000,29.1827,471.61,1287.9,-3549.29052734375,158,158,67.9471
795000,30.1431,356.96,1119.14,-3827.345947265625,159,159,71.8159
800000,29.3152,571.71,1215.8,-3756.358642578125,160,160,68.2437
805000,30.4401,332.59,1054.76,-3881.57177734375,161,161,70.8889
810000,30.2799,291.98,848.62,-4005.5703125,162,162,72.3394
815000,28.7537,302.61,1017.41,-3958.012939453125,163,163,69.5862
820000,28.6523,299.1,944.44,-3999.289794921875,164,164,69.3627
825000,29.957,298.37,830.77,-4157.09423828125,165,165,71.1051
830000,29.7531,292.61,943.03,-4190.7587890625,166,166,70.3393
835000,29.1831,392.4,910.97,-4135.60595703125,167,167,70.2702
840000,29.3009,359.38,979.86,-4270.95263671875,168,168,70.0243
845000,29.7375,360.35,918.82,-4381.109375,169,169,70.3999
850000,29.2967,306.19,1234.71,-4347.49267578125,170,170,69.2062
855000,28.5993,412.72,993.33,-4246.74169921875,171,171,66.9954
860000,29.3178,367.58,1178.24,-4515.52099609375,172,172,70.656
865000,29.7211,379.06,1071.47,-4529.62353515625,173,173,69.202
870000,29.9018,316.16,807.78,-4643.73193359375,174,174,71.3189
875000,28.9142,361.37,1025.25,-4671.5947265625,175,175,69.2364
880000,29.2743,380.74,1137.94,-4759.36865234375,176,176,69.517
885000,29.1083,365.41,1089.54,-4596.79150390625,177,177,66.4627
890000,27.9896,359.18,1085.7,-4719.4833984375,178,178,65.9266
895000,29.9536,472.38,827.84,-4712.14990234375,179,179,66.8622
900000,147.3245,-863.89,-1514.57,-4775.18603515625,180,180,90.6756
905000,48.0183,-132.49,-213.42,-5078.3017578125,181,181,79.8412
910000,33.3951,33.6,527.21,-5246.96484375,182,182,74.8355
915000,75.3193,-791.58,-1291.37,-5389.59814453125,183,183,84.6579
920000,294.552,-1630.06,-1895.21,-3774.9248046875,184,184,122.7983
925000,121.9208,-1500.19,-1818.36,-5602.6630859375,185,185,91.9436
930000,190.2597,-1359.31,-1920.68,-5098.75634765625,186,186,87.5512
935000,63.0731,-34.86,-284.85,-5799.69482421875,187,187,84.202
940000,58.781,-22.58,-192.79,-5980.748046875,188,188,83.191
945000,37.4234,22.98,28.32,-5830.94775390625,189,189,77.3786
950000,34.8335,34.93,62.88,-6037.83154296875,190,190,77.7605
955000,35.6941,-33.97,56.88,-5828.912109375,191,191,76.023
960000,30.0744,105.22,329.21,-5701.6376953125,192,192,71.5579
965000,31.0707,114.06,294.27,-5930.76806640625,193,193,72.6999
970000,29.2646,163.78,880.06,-5811.90234375,194,194,70.4759
975000,29.0007,246.49,931.28,-5750.71728515625,195,195,68.2856
980000,31.1052,276.93,663.61,-5313.01416015625,196,196,66.864
985000,30.2585,299.75,660.78,-6232.0078125,197,197,69.7548
990000,29.8053,456.74,701.68,-5832.533203125,198,198,67.4094
995000,30.9142,693.07,1225.46,-5912.3974609375,199,199,66.7679
1000000,30.9149,554.1,980.63,-5740.89697265625,200,200,65.6262
1005000,30.7031,604.48,879.11,-6120.3916015625,201,201,67.53
1010000,31.1899,645.76,859.03,-6519.64599609375,202,202,70.7167
1015000,29.315,424.06,835.36,-6285.1552734375,203,203,66.3504
1020000,28.666,467.25,830.42,-6156.86376953125,204,204,65.4246
1025000,28.859,507.78,932.39,-6542.474609375,205,205,67.0407
1030000,28.7922,462.7,1059.68,-6706.18310546875,206,206,67.7449
1035000,29.2674,469.02,1131.94,-6688.09912109375,207,207,67.6586
1040000,29.4423,435.41,923.59,-6961.0771484375,208,208,69.4303
1045000,29.4602,275.45,607.62,-7032.63427734375,209,209,69.6106
1050000,32.7219,30.33,-17.12,-7308.77587890625,210,210,74.9301
1055000,29.6273,188.79,618.44,-7345.89013671875,211,211,73.3557
1060000,29.31,206.41,584.28,-7516.50390625,212,212,72.9528
1065000,30.813,273.72,798.96,-7324.7421875,213,213,69.688
1070000,30.1315,102.48,281.18,-7525.763671875,214,214,73.2925
1075000,32.7287,237.49,633.88,-7270.91748046875,215,215,72.884
1080000,29.4492,342.35,958.34,-7621.63720703125,216,216,68.4255
1085000,175.5904,-1156.31,-767.81,-9002.6796875,217,217,91.9414
1090000,39.9857,-57.05,282.88,-8054.21240234375,218,218,78.5991
1095000,32.8602,6.88,6.98,-8339.7626953125,219,219,75.7605
1100000,34.753,80.94,310.96,-8501.587890625,220,220,76.8508
1105000,31.4253,101.33,313.65,-8563.333984375,221,221,76.0267
1110000,38.0593,92.56,370.19,-8304.75390625,222,222,76.2428
1115000,73.265,-96.86,-166.26,-8837.9150390625,223,223,78.3418
1120000,52.2143,-170.91,-325.26,-8571.7578125,224,224,79.1929
1125000,51.3296,-47.85,-564.35,-8456.3173828125,225,225,73.5142
1130000,30.8981,113.59,401.7,-8836.681640625,226,226,72.4752
1135000,29.1806,61.7,411.59,-8953.4873046875,227,227,73.3827
1140000,29.118,73.54,400.89,-8944.0263671875,228,228,73.9984
1145000,29.5373,124.7,482.29,-9099.087890625,229,229,73.5097
1150000,31.3835,274.58,718.56,-9223.4423828125,230,230,72.5106
1155000,35.4894,309.78,794.89,-9192.935546875,231,231,71.8402
1160000,30.8642,334.72,839.99,-9423.1630859375,232,232,71.3953
