Running Update Time,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Real Sto Return,Reward Loss
136,156.78,15.3909,680000,136,2154.29,1837.92,-5311.9765625
137,156.796,15.5751,685000,137,2222.07,1839.05,-5344.48583984375
138,156.6835,15.8168,690000,138,2193.88,1876.54,-5437.2109375
139,156.7117,15.6531,695000,139,2243.25,1890.76,-5426.5625
140,156.6475,15.7039,700000,140,2218.07,1878.06,-5450.87548828125
141,156.9502,15.2432,705000,141,2160.31,1848.26,-5532.7939453125
142,156.5011,15.0823,710000,142,2170.92,1837.05,-5527.90234375
143,156.6282,15.4574,715000,143,2195.74,1843.86,-5589.16259765625
144,156.5886,15.5107,720000,144,2216.69,1873.4,-5676.83935546875
145,156.744,15.32,725000,145,2181.07,1849.24,-5685.9599609375
146,156.8735,15.586,730000,146,2232.09,1890.64,-5748.859375
147,156.7047,15.2476,735000,147,2204.61,1867.97,-5788.8896484375
148,156.671,15.1718,740000,148,2202.51,1854.25,-5861.74951171875
149,156.622,15.5585,745000,149,2160.03,1844.54,-5843.8564453125
150,156.7795,15.4979,750000,150,2195.0,1858.33,-5930.49951171875
151,156.6745,15.2557,755000,151,2194.26,1848.84,-5937.326171875
152,156.74,15.252,760000,152,2159.56,1822.91,-5987.00537109375
153,156.7557,15.5576,765000,153,2212.15,1871.08,-6064.9560546875
154,156.7083,15.1296,770000,154,2187.95,1836.46,-6101.26953125
155,156.7612,15.2641,775000,155,2195.39,1844.41,-6161.46142578125
156,156.8146,15.1837,780000,156,2197.36,1863.31,-6175.99267578125
157,156.5837,15.2362,785000,157,2179.68,1845.72,-6215.46533203125
158,156.8819,15.43,790000,158,2206.52,1888.29,-6289.064453125
159,156.8118,15.5882,795000,159,2209.8,1868.83,-6322.77587890625
160,156.7886,15.5051,800000,160,2197.53,1871.65,-6375.38134765625
161,156.7822,15.343,805000,161,2164.75,1865.05,-6374.7421875
162,156.7265,15.6079,810000,162,2240.02,1888.01,-6477.39306640625
163,156.9714,15.5657,815000,163,2240.95,1856.68,-6538.677734375
164,156.8009,15.5447,820000,164,2211.7,1875.45,-6586.91748046875
165,156.8762,15.4246,825000,165,2213.84,1865.32,-6627.1884765625
166,156.6685,15.2317,830000,166,2234.97,1868.89,-6668.673828125
167,156.5489,15.2862,835000,167,2199.77,1863.71,-6709.07666015625
168,156.8042,15.5443,840000,168,2227.0,1873.08,-6762.85498046875
169,156.7729,15.2953,845000,169,2176.92,1869.4,-6795.7509765625
170,156.7438,15.4109,850000,170,2242.35,1901.79,-6850.69775390625
171,156.5303,15.0907,855000,171,2224.75,1885.3,-6846.18603515625
172,156.6209,15.4518,860000,172,2254.6,1901.8,-6913.16845703125
173,156.8061,15.5325,865000,173,2234.22,1891.57,-7001.8828125
174,156.6653,15.5895,870000,174,2247.12,1906.64,-7066.10302734375
175,156.6958,15.3166,875000,175,2235.21,1873.58,-7048.98779296875
176,156.6486,15.2407,880000,176,2223.18,1875.74,-7115.41650390625
177,156.7885,15.7864,885000,177,2264.05,1901.43,-7211.845703125
178,156.767,15.1841,890000,178,2234.19,1874.41,-7244.14404296875
179,156.7366,15.2624,895000,179,2201.5,1888.73,-7283.65673828125
180,156.7305,15.52,900000,180,2246.81,1896.27,-7362.66943359375
181,156.7783,15.2801,905000,181,2239.9,1895.61,-7391.9248046875
182,156.5688,15.3653,910000,182,2219.6,1908.6,-7389.8251953125
183,156.6458,15.4188,915000,183,2206.41,1880.01,-7482.3818359375
184,156.6855,15.3679,920000,184,2224.06,1882.96,-7519.3173828125
185,156.7566,15.1816,925000,185,2237.75,1889.8,-7583.279296875
186,156.6458,15.3256,930000,186,2241.15,1875.88,-7625.22265625
187,156.7024,15.4561,935000,187,2266.38,1906.46,-7636.9208984375
188,156.705,15.3786,940000,188,2160.84,1890.3,-7770.08642578125
189,156.6021,15.4759,945000,189,2285.39,1938.53,-7823.8583984375
190,156.4496,15.4517,950000,190,2246.54,1904.52,-7850.19140625
191,156.5471,15.0522,955000,191,2244.54,1898.61,-7847.35986328125
192,156.7752,15.4174,960000,192,2261.8,1908.27,-7925.4423828125
193,156.7263,15.5599,965000,193,2237.96,1916.07,-7959.732421875
194,156.5867,15.0312,970000,194,2227.23,1886.73,-7980.43212890625
195,156.6782,15.1864,975000,195,2184.5,1881.84,-8020.64990234375
196,156.621,15.1238,980000,196,2171.76,1878.03,-8040.5302734375
197,156.763,15.1794,985000,197,2259.44,1911.07,-8167.240234375
198,156.6622,15.5529,990000,198,2280.99,1928.3,-8194.9873046875
199,156.7058,15.0107,995000,199,2211.95,1886.25,-8216.6123046875
200,156.5707,15.2558,1000000,200,2198.29,1919.92,-8234.8876953125
201,156.5354,15.0888,1005000,201,2227.95,1908.81,-8273.6611328125
202,156.4889,14.9527,1010000,202,2197.63,1881.96,-8310.3544921875
203,156.6029,15.066,1015000,203,2240.88,1908.41,-8346.5009765625
204,156.5383,15.2824,1020000,204,2243.4,1900.84,-8401.80859375
205,156.6115,15.2682,1025000,205,2203.14,1888.01,-8429.353515625
206,156.4056,15.1404,1030000,206,2214.27,1905.74,-8455.9228515625
207,156.5718,15.117,1035000,207,2198.58,1887.33,-8515.994140625
208,156.5592,15.0531,1040000,208,2180.26,1866.93,-8537.7822265625
209,156.5201,15.0605,1045000,209,2218.53,1916.68,-8578.2353515625
210,156.5719,15.2606,1050000,210,2236.71,1895.17,-8633.2412109375
211,156.5428,15.2096,1055000,211,2222.45,1912.98,-8633.333984375
212,156.5066,15.2908,1060000,212,2218.56,1911.25,-8678.2470703125
213,156.7058,15.2077,1065000,213,2244.56,1928.43,-8684.55078125
214,156.657,15.1493,1070000,214,2204.63,1904.9,-8730.6103515625
215,156.7456,15.152,1075000,215,2231.34,1926.18,-8742.48046875
216,156.6249,15.2825,1080000,216,2252.08,1927.78,-8760.45703125
217,156.5193,15.3553,1085000,217,2250.5,1922.67,-8815.0986328125
218,156.7061,15.3274,1090000,218,2217.08,1902.75,-8859.7802734375
219,156.6569,15.1428,1095000,219,2207.65,1898.63,-8847.8017578125
220,156.617,15.3051,1100000,220,2206.32,1908.95,-8882.0986328125
221,156.5987,15.1685,1105000,221,2214.76,1912.73,-8921.5185546875
222,156.6227,15.4235,1110000,222,2223.79,1916.9,-8941.2431640625
223,156.6586,15.3104,1115000,223,2224.8,1899.48,-8969.16796875
224,156.6121,15.4013,1120000,224,2241.62,1915.3,-9017.5078125
225,156.6998,15.3651,1125000,225,2226.25,1927.28,-9011.86328125
226,156.6125,15.4458,1130000,226,2259.12,1919.85,-9079.7470703125
227,156.6208,15.491,1135000,227,2254.72,1922.1,-9110.31640625
228,156.5605,15.258,1140000,228,2231.71,1929.34,-9080.033203125
229,156.6978,15.3961,1145000,229,2243.37,1918.43,-9132.248046875
230,156.4932,15.4135,1150000,230,2235.34,1909.79,-9140.4169921875
231,156.6402,15.2678,1155000,231,2207.17,1902.64,-9199.7900390625
232,156.6552,15.5596,1160000,232,2270.75,1930.3,-9220.193359375
233,156.6061,15.4021,1165000,233,2250.88,1924.62,-9265.33203125
234,156.7399,15.2584,1170000,234,2277.3,1929.21,-9289.5869140625
235,156.5727,15.5387,1175000,235,2274.59,1916.97,-9292.927734375
236,156.7242,15.4486,1180000,236,2285.49,1943.46,-9336.0595703125
237,156.5749,15.4292,1185000,237,2272.26,1948.4,-9326.17578125
238,156.5819,15.483,1190000,238,2295.58,1950.67,-9353.1904296875
239,156.6566,15.3211,1195000,239,2279.85,1918.65,-9379.7890625
240,156.6072,15.6798,1200000,240,2284.42,1926.31,-9419.185546875
241,156.51,15.5477,1205000,241,2292.76,1955.66,-9447.47265625
242,156.5136,15.4643,1210000,242,2299.1,1958.36,-9483.7236328125
243,156.5793,15.3533,1215000,243,2286.03,1921.72,-9514.681640625
244,156.5903,15.4062,1220000,244,2290.92,1928.89,-9537.6005859375
245,156.5822,15.3197,1225000,245,2288.88,1933.7,-9562.0634765625
246,156.6572,15.4864,1230000,246,2274.65,1913.44,-9577.8203125
247,156.6377,15.3725,1235000,247,2294.21,1927.85,-9597.3642578125
248,156.7755,15.2986,1240000,248,2282.72,1937.92,-9629.3037109375
249,156.5918,15.2645,1245000,249,2294.33,1935.81,-9637.0771484375
250,156.5716,15.2754,1250000,250,2290.5,1914.53,-9654.267578125
251,156.5854,15.2354,1255000,251,2286.97,1919.71,-9713.4873046875
252,156.6627,15.4233,1260000,252,2289.38,1916.28,-9724.4658203125
253,156.5577,15.3621,1265000,253,2292.07,1934.64,-9762.892578125
254,156.6334,15.27,1270000,254,2320.03,1928.35,-9779.5205078125
255,156.5753,15.1516,1275000,255,2288.97,1920.23,-9814.298828125
256,156.689,15.228,1280000,256,2279.65,1911.34,-9839.921875
257,156.6662,15.3055,1285000,257,2289.1,1915.82,-9877.205078125
258,156.6615,15.3034,1290000,258,2275.7,1912.07,-9902.0634765625
259,156.564,15.1639,1295000,259,2273.76,1916.24,-9927.6474609375
260,156.4647,15.1727,1300000,260,2293.31,1924.06,-9945.357421875
261,156.6687,15.2878,1305000,261,2304.04,1928.32,-9983.58203125
262,156.6271,15.3035,1310000,262,2296.19,1924.99,-9989.6474609375
263,156.5488,15.3449,1315000,263,2301.75,1921.81,-9990.525390625
264,156.5097,15.3068,1320000,264,2303.48,1935.88,-10017.974609375
265,156.6502,15.4298,1325000,265,2317.0,1940.04,-10046.005859375
266,156.6082,15.2393,1330000,266,2297.49,1935.64,-10038.1943359375
267,156.5887,15.4061,1335000,267,2289.66,1935.17,-10088.7236328125
268,156.5868,15.2325,1340000,268,2306.01,1931.03,-10115.8486328125
269,156.6313,15.1725,1345000,269,2275.0,1942.87,-10137.060546875
270,156.4444,15.3252,1350000,270,2301.7,1931.47,-10163.8759765625
271,156.6367,15.3417,1355000,271,2299.35,1932.75,-10163.9443359375
272,156.5269,15.3489,1360000,272,2281.55,1928.03,-10189.1875
273,156.556,15.4239,1365000,273,2320.38,1944.76,-10212.54296875
274,156.6113,15.324,1370000,274,2299.46,1927.28,-10224.9794921875
275,156.7257,15.3237,1375000,275,2296.84,1934.08,-10240.4208984375
276,156.5712,15.4342,1380000,276,2311.39,1939.61,-10306.6806640625
277,156.5317,15.3378,1385000,277,2295.08,1926.39,-10324.3720703125
278,156.684,15.617,1390000,278,2307.73,1955.79,-10337.69921875
279,156.4905,15.6407,1395000,279,2320.2,1932.79,-10373.7509765625
280,156.6629,15.3139,1400000,280,2322.72,1936.11,-10405.6953125
281,156.7577,15.5549,1405000,281,2325.25,1949.39,-10421.0087890625
282,156.5057,15.3494,1410000,282,2297.28,1943.35,-10399.3935546875
283,156.636,15.6082,1415000,283,2313.04,1960.61,-10436.9619140625
284,156.6694,15.4415,1420000,284,2311.25,1949.87,-10480.9873046875
285,156.5886,15.4153,1425000,285,2315.52,1940.17,-10497.52734375
286,156.6123,15.3196,1430000,286,2312.61,1958.64,-10525.052734375
287,156.7385,15.605,1435000,287,2307.22,1940.54,-10559.880859375
288,156.6547,15.4729,1440000,288,2310.96,1922.38,-10537.1650390625
289,156.7028,15.42,1445000,289,2315.94,1958.24,-10591.740234375
290,156.5688,15.2991,1450000,290,2298.45,1909.93,-10608.57421875
291,156.5811,15.4438,1455000,291,2293.33,1945.19,-10633.2119140625
292,156.6324,15.5252,1460000,292,2312.75,1940.45,-10633.36328125
293,156.5362,15.3821,1465000,293,2309.77,1929.5,-10646.5712890625
294,156.4373,15.2761,1470000,294,2298.65,1932.3,-10636.9951171875
295,156.7139,15.5133,1475000,295,2314.2,1965.32,-10662.3857421875
296,156.5267,15.3454,1480000,296,2316.11,1944.61,-10709.5634765625
297,156.451,15.3433,1485000,297,2310.07,1934.54,-10739.37890625
298,156.6288,15.3148,1490000,298,2322.76,1950.71,-10739.1181640625
299,156.6805,15.4785,1495000,299,2313.04,1951.26,-10759.9111328125
300,156.5897,15.4429,1500000,300,2308.82,1925.44,-10766.20703125
301,156.6307,15.1776,1505000,301,2290.93,1930.5,-10793.533203125
302,156.6612,15.2751,1510000,302,2301.97,1928.54,-10830.494140625
303,156.5501,15.2791,1515000,303,2298.14,1935.52,-10828.7373046875
304,156.6409,15.3734,1520000,304,2318.33,1925.77,-10880.2333984375
305,156.607,15.3909,1525000,305,2310.41,1946.11,-10864.306640625
306,156.5795,15.3397,1530000,306,2307.46,1939.12,-10900.3564453125
307,156.5766,15.4343,1535000,307,2293.23,1936.87,-10909.0390625
308,156.7788,15.2115,1540000,308,2317.44,1953.3,-10942.841796875
309,156.6974,15.3225,1545000,309,2302.34,1926.68,-10964.3837890625
310,156.6399,15.4162,1550000,310,2339.51,1944.85,-11003.6103515625
311,156.5918,15.4337,1555000,311,2320.31,1958.17,-11022.5498046875
312,156.6085,15.1932,1560000,312,2327.55,1943.52,-11028.4208984375
313,156.6009,15.3204,1565000,313,2320.16,1941.55,-11013.123046875
314,156.7253,15.5397,1570000,314,2348.36,1967.33,-11082.185546875
315,156.6282,15.4866,1575000,315,2329.3,1942.33,-11119.1650390625
316,156.6238,15.3939,1580000,316,2317.6,1933.96,-11112.7138671875
317,156.5815,15.2915,1585000,317,2322.03,1911.36,-11146.6240234375
318,156.5518,15.2178,1590000,318,2323.06,1944.57,-11108.201171875
319,156.6464,15.4737,1595000,319,2330.14,1952.76,-11163.609375
320,156.6005,15.182,1600000,320,2309.39,1947.49,-11173.7216796875
321,156.5445,15.1435,1605000,321,2325.17,1941.09,-11187.91796875
322,156.6931,15.4031,1610000,322,2315.55,1942.9,-11223.599609375
323,156.5922,15.4062,1615000,323,2329.68,1937.26,-11244.1318359375
324,156.5995,15.2859,1620000,324,2322.0,1944.59,-11257.3828125
325,156.6699,15.2881,1625000,325,2335.75,1950.28,-11249.6630859375
326,156.6868,15.2785,1630000,326,2325.58,1959.3,-11303.7373046875
327,156.4583,15.1689,1635000,327,2325.6,1939.88,-11271.0185546875
328,156.732,15.2862,1640000,328,2316.29,1943.13,-11304.181640625
329,156.6482,15.2655,1645000,329,2317.46,1956.24,-11322.853515625
330,156.5449,15.2257,1650000,330,2324.64,1950.82,-11380.4736328125
331,156.4715,15.3043,1655000,331,2337.55,1972.38,-11388.5654296875
332,156.7348,15.2725,1660000,332,2320.66,1926.28,-11431.6396484375
333,156.633,15.389,1665000,333,2322.64,1934.97,-11451.3369140625
334,156.5471,15.3995,1670000,334,2325.7,1949.93,-11444.84375
335,156.6805,15.4283,1675000,335,2338.26,1965.26,-11489.4677734375
336,156.4891,15.3416,1680000,336,2328.62,1948.47,-11504.4384765625
337,156.5935,15.2338,1685000,337,2319.88,1944.75,-11544.7236328125
338,156.615,15.3494,1690000,338,2334.35,1975.22,-11527.91796875
339,156.4608,15.3908,1695000,339,2314.7,1948.42,-11579.8671875
340,156.6316,15.3837,1700000,340,2312.67,1979.56,-11546.8212890625
341,156.6775,15.4319,1705000,341,2321.42,1947.91,-11594.2880859375
342,156.5669,15.2559,1710000,342,2319.89,1964.4,-11577.8525390625
343,156.623,15.5065,1715000,343,2329.92,1948.55,-11635.189453125
344,156.5207,15.3682,1720000,344,2332.05,1952.09,-11660.75390625
345,156.5838,15.4564,1725000,345,2324.14,1943.01,-11631.6943359375
346,156.646,15.4106,1730000,346,2325.32,1793.04,-11679.87890625
347,156.5216,15.3746,1735000,347,2340.16,1956.54,-11701.5966796875
348,156.667,15.47,1740000,348,2330.55,1968.34,-11716.1240234375
349,156.4738,15.1557,1745000,349,2314.58,1951.78,-11737.4912109375
350,156.6467,15.3355,1750000,350,2308.12,1958.24,-11768.4404296875
351,156.7213,15.4579,1755000,351,2309.6,1955.78,-11787.0068359375
352,156.6134,15.4089,1760000,352,2299.97,1949.47,-11809.9609375
353,156.6141,15.2548,1765000,353,2313.18,1956.3,-11813.3681640625
354,156.4982,15.4532,1770000,354,2313.41,1967.19,-11866.6865234375
355,156.569,15.2599,1775000,355,2307.22,1953.44,-11820.8310546875
356,156.5404,15.259,1780000,356,2303.37,1971.58,-11880.0576171875
357,156.507,15.4273,1785000,357,2325.18,1961.35,-11906.1708984375
358,156.6638,15.3939,1790000,358,2345.62,1970.62,-11924.7470703125
359,156.55,15.4549,1795000,359,2322.82,1963.08,-11955.064453125
360,156.699,15.431,1800000,360,2331.83,1978.31,-11959.7314453125
361,156.5411,15.4345,1805000,361,2301.19,1955.01,-11958.0634765625
362,156.7585,15.3642,1810000,362,2313.87,1969.35,-12002.7490234375
363,156.5657,15.4269,1815000,363,2318.95,1953.31,-12000.796875
364,156.4981,15.4785,1820000,364,2320.63,1972.41,-12016.671875
365,156.5444,15.1872,1825000,365,2324.7,1960.37,-12011.42578125
366,156.5837,15.3468,1830000,366,2342.87,1986.8,-12063.3232421875
367,156.6605,15.3862,1835000,367,2316.19,1977.56,-12060.7294921875
368,156.4137,15.0443,1840000,368,2272.66,1931.09,-12101.0458984375
369,156.7036,15.2915,1845000,369,2313.76,1942.7,-12097.7685546875
370,156.4842,15.1842,1850000,370,2320.43,1949.1,-12116.0732421875
371,156.6555,15.2133,1855000,371,2294.28,1929.08,-12171.625
372,156.5756,15.1938,1860000,372,2294.61,1952.18,-12139.6962890625
373,156.676,15.2031,1865000,373,2303.38,1924.94,-12157.853515625
374,156.5587,15.1026,1870000,374,2301.8,1928.82,-12194.9013671875
375,156.6141,15.1539,1875000,375,2301.9,1959.09,-12226.58984375
376,156.5055,15.1671,1880000,376,2307.57,1926.05,-12228.6982421875
377,156.4764,15.1607,1885000,377,2328.14,1970.67,-12263.5751953125
378,156.4376,15.1674,1890000,378,2316.88,1941.33,-12300.30859375
379,156.577,15.1332,1895000,379,2320.48,1938.88,-12288.3564453125
380,156.5786,15.1011,1900000,380,2286.84,1930.29,-12276.2265625
381,156.6152,14.9182,1905000,381,2271.04,1938.75,-12304.283203125
382,156.4386,14.9824,1910000,382,2318.09,1953.13,-12378.912109375
383,156.6063,15.1303,1915000,383,2325.1,1951.8,-12360.697265625
384,156.4713,15.052,1920000,384,2331.21,1966.6,-12381.916015625
385,156.5161,15.0167,1925000,385,2308.93,1964.05,-12411.7822265625
