Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Forward KL,Real Sto Return
34,17.2584,170000,-269.6152038574219,3120.83,34,22.3858,2791.12
35,17.8128,175000,-357.73382568359375,2964.54,35,22.4557,1967.1
36,25.0326,180000,-440.2752990722656,1317.01,36,22.59,1321.68
37,12.9975,185000,-108.92081451416016,3125.36,37,22.4707,3067.3
38,20.2251,190000,-403.0976257324219,3116.4,38,22.3383,1740.51
39,21.6401,195000,-503.5639953613281,2449.76,39,22.762,1334.74
40,21.533,200000,-350.31793212890625,3122.93,40,21.7843,1625.74
41,26.9024,205000,-537.984619140625,1766.24,41,22.6013,1401.9
42,25.6763,210000,-481.5093994140625,2522.86,42,21.7143,1617.01
43,13.1868,215000,-177.3353271484375,3234.17,43,18.8788,3160.15
44,14.25,220000,-369.4220275878906,3224.4,44,20.2619,2048.43
45,11.5219,225000,-90.29483795166016,3236.87,45,19.4052,3238.1
46,23.4234,230000,-242.08929443359375,3392.26,46,19.4801,2665.75
47,19.9111,235000,-422.3369445800781,3085.01,47,20.8209,2637.11
48,11.3988,240000,-46.758949279785156,3422.96,48,18.5783,3365.71
49,18.9336,245000,-495.968505859375,3222.68,49,20.7764,1805.88
50,20.3756,250000,-408.9554443359375,1707.72,50,20.0293,1939.64
51,13.7384,255000,-303.49530029296875,3388.84,51,18.1406,2808.38
52,23.6213,260000,-453.7210693359375,3441.63,52,19.5817,2021.51
53,32.8908,265000,-528.7515258789062,3361.83,53,20.0542,1904.14
54,15.4954,270000,-156.42266845703125,3379.52,54,19.0432,2961.61
55,15.2867,275000,-153.41139221191406,3383.82,55,18.2465,2721.18
56,12.5203,280000,-73.17173767089844,3393.64,56,18.7783,3168.06
57,11.8032,285000,-45.4172477722168,3400.63,57,18.2539,3201.19
58,15.7804,290000,-110.98408508300781,3373.72,58,17.3406,3129.46
59,10.1792,295000,-38.202762603759766,3437.87,59,16.1626,3322.21
60,13.9601,300000,-109.26705932617188,3443.3,60,17.6889,3301.84
61,11.3055,305000,-77.67564392089844,3356.05,61,18.3482,3315.43
62,16.0246,310000,-97.83863830566406,3408.36,62,17.3094,3375.72
63,10.9659,315000,-45.37421417236328,3435.46,63,17.0608,3267.27
64,12.1144,320000,-54.2581672668457,3407.88,64,18.5667,3261.32
65,14.1789,325000,-144.78517150878906,3461.27,65,17.8491,2815.92
66,13.1981,330000,-125.09614562988281,3395.89,66,18.8071,3117.2
67,11.2294,335000,-47.43158721923828,3416.43,67,17.6259,3395.04
68,11.1555,340000,-41.974544525146484,3448.17,68,17.8324,3418.46
69,11.3706,345000,-52.27553939819336,3432.66,69,17.2261,3237.34
70,11.7365,350000,-49.493553161621094,3404.38,70,18.0869,3349.49
71,11.5281,355000,-37.377296447753906,3461.13,71,17.022,3332.45
72,18.3689,360000,-186.55223083496094,3476.4,72,18.0276,2882.31
73,13.7136,365000,-151.77285766601562,3452.91,73,17.8871,2981.2
74,11.4658,370000,-39.720237731933594,3434.34,74,18.3153,3297.21
75,14.3476,375000,-178.88922119140625,3436.31,75,17.5619,3267.08
76,11.3678,380000,-104.74622344970703,3444.78,76,17.8347,3236.55
77,12.1573,385000,-52.37001037597656,3449.12,77,18.6769,3431.82
78,11.0054,390000,-63.644229888916016,3424.88,78,17.6174,3398.83
79,11.7075,395000,-51.858184814453125,3447.44,79,18.3922,3318.12
80,10.1526,400000,-41.47475814819336,3479.91,80,16.5493,3443.9
81,10.5821,405000,-57.523250579833984,3482.99,81,17.2236,3329.66
82,10.8676,410000,-45.34041976928711,3442.16,82,17.155,3423.26
83,11.1373,415000,-58.68953323364258,3448.56,83,17.4173,3424.28
84,10.4484,420000,-100.02613067626953,3473.06,84,16.7335,3291.53
85,11.1506,425000,-77.96138763427734,3496.59,85,17.1752,3453.73
86,11.813,430000,-59.41986846923828,3458.36,86,17.8791,3429.77
87,11.6915,435000,-49.40873336791992,3466.15,87,18.3192,3186.37
88,11.2783,440000,-72.79574584960938,3417.15,88,17.938,3307.25
89,10.9309,445000,-71.31427764892578,3445.41,89,17.5176,3285.93
90,10.983,450000,-124.08500671386719,3429.69,90,17.9873,3237.83
91,11.1656,455000,-69.83226776123047,3442.01,91,17.6608,3421.03
92,11.6135,460000,-73.3066177368164,3424.87,92,18.6099,3024.83
93,10.9878,465000,-130.5741729736328,3418.41,93,18.0388,3186.62
94,13.235,470000,-169.20668029785156,3472.21,94,18.3675,3085.52
95,11.4769,475000,-121.50162506103516,3465.57,95,17.5332,3207.59
96,11.8391,480000,-89.96694946289062,3430.62,96,18.3464,3130.04
97,10.1309,485000,-58.92431640625,3478.51,97,17.0281,3195.86
98,11.2571,490000,-71.66421508789062,3469.12,98,17.358,3343.83
99,11.3502,495000,-105.42023468017578,3478.16,99,18.5339,3336.42
100,11.4675,500000,-57.832481384277344,3473.12,100,18.0689,2940.82
101,11.4107,505000,-80.99925231933594,3432.81,101,18.1048,3307.37
102,10.932,510000,-70.40846252441406,3469.64,102,17.5539,3056.75
103,11.8912,515000,-101.52488708496094,3491.06,103,18.3246,2824.89
104,11.5369,520000,-69.07588195800781,3470.66,104,17.8495,3431.89
105,11.1045,525000,-44.46560287475586,3508.98,105,17.7996,3278.79
106,11.7332,530000,-70.69921875,3486.33,106,17.9332,3255.95
107,11.4432,535000,-85.416015625,3450.89,107,17.0738,3319.61
108,12.1373,540000,-79.35577392578125,3467.61,108,18.3776,3350.9
109,10.6708,545000,-88.82003784179688,3475.33,109,17.0361,3279.03
110,12.2865,550000,-184.7588348388672,3483.82,110,17.7267,3267.08
111,9.6214,555000,-155.20870971679688,3475.43,111,17.4234,3044.63
112,11.1782,560000,-63.92377471923828,3449.27,112,17.1883,3293.27
113,10.9395,565000,-65.90855407714844,3433.38,113,17.1148,1517.16
114,11.2677,570000,-77.6961441040039,3479.11,114,17.8642,3167.93
115,10.4039,575000,-79.55610656738281,3440.88,115,16.9099,3302.87
116,11.0168,580000,-217.80264282226562,3447.87,116,18.478,2973.86
117,11.2764,585000,-81.466552734375,3427.53,117,17.8697,2406.89
118,10.5875,590000,-94.5703353881836,3481.04,118,18.0757,3213.72
119,11.3825,595000,-83.19902038574219,3455.13,119,17.1747,3247.05
120,11.2142,600000,-82.84140014648438,3439.34,120,17.5182,2375.18
121,11.9268,605000,-97.56177520751953,3433.39,121,17.5799,3426.7
122,11.3881,610000,-205.13040161132812,3480.64,122,17.3365,2924.57
123,10.4207,615000,-86.12787628173828,3463.31,123,16.9724,3364.19
124,11.9851,620000,-94.86621856689453,3460.23,124,17.7724,3255.4
125,12.2323,625000,-112.02127075195312,3460.23,125,18.2564,3351.42
126,11.8969,630000,-108.7561264038086,3470.95,126,18.4564,3388.36
127,11.7379,635000,-88.67365264892578,3486.35,127,18.1168,3475.23
128,11.6139,640000,-94.62142181396484,3461.5,128,17.5546,3212.15
129,11.1615,645000,-112.23870849609375,3451.97,129,17.6442,3419.01
130,11.6503,650000,-105.1778793334961,3453.14,130,17.3448,3438.42
131,11.5384,655000,-93.85812377929688,3459.39,131,17.1971,3447.32
132,11.016,660000,-109.27522277832031,3466.0,132,17.2351,3353.55
133,10.7856,665000,-107.91117095947266,3454.65,133,17.3568,3357.46
134,10.7821,670000,-107.3446273803711,3455.23,134,16.8987,3422.77
135,11.1143,675000,-111.09716033935547,3451.95,135,16.6491,3428.85
136,10.7979,680000,-107.21975708007812,3434.83,136,16.6209,3399.14
137,11.4111,685000,-105.84593200683594,3468.64,137,17.416,3433.67
138,10.9104,690000,-108.81549072265625,3463.07,138,17.0496,3442.24
139,11.6423,695000,-250.41830444335938,3473.09,139,18.0622,2805.13
140,10.7183,700000,-105.13288116455078,3460.95,140,16.7895,3329.88
141,11.0224,705000,-107.09309387207031,3465.24,141,17.477,3229.18
142,10.8569,710000,-108.07520294189453,3471.46,142,16.9288,3433.39
143,10.7086,715000,-110.38583374023438,3457.19,143,17.1512,3346.45
144,12.2654,720000,-313.5498046875,3469.06,144,18.2137,2955.41
145,10.5701,725000,-127.7500991821289,3504.22,145,17.4638,2968.72
146,10.9881,730000,-169.0464630126953,3420.68,146,17.39,3316.19
147,11.2227,735000,-113.80398559570312,3465.51,147,17.4502,3189.7
148,11.7089,740000,-131.52557373046875,3458.02,148,17.8351,3440.53
149,11.3398,745000,-174.40098571777344,3469.72,149,18.2466,2829.53
150,10.9152,750000,-112.5149154663086,3495.99,150,17.523,3339.63
151,10.644,755000,-149.5662384033203,3425.45,151,16.7562,3396.15
152,11.7632,760000,-103.82145690917969,3477.86,152,18.3183,3309.78
153,10.4918,765000,-114.52102661132812,3482.2,153,17.0711,3369.49
154,10.7241,770000,-169.58778381347656,3484.57,154,17.616,3241.74
155,10.6024,775000,-137.7747039794922,3453.7,155,17.0419,3425.0
156,10.9446,780000,-220.1328887939453,3483.34,156,18.0489,3178.02
157,10.8033,785000,-115.24748992919922,3484.48,157,17.2412,3458.43
158,10.8538,790000,-132.0856170654297,3455.55,158,16.994,3280.51
159,10.7153,795000,-249.8594512939453,3471.58,159,18.0102,3201.39
160,11.6144,800000,-127.01583099365234,3492.2,160,17.6834,3389.57
161,10.6721,805000,-242.50149536132812,3505.58,161,17.5867,3262.68
162,10.6949,810000,-349.1195373535156,3407.89,162,18.6307,2966.14
163,10.8889,815000,-130.09918212890625,3464.93,163,16.6706,3338.6
164,10.106,820000,-158.90914916992188,3480.61,164,16.6418,3328.68
165,11.1277,825000,-151.34645080566406,3446.14,165,16.9558,3426.29
166,10.9119,830000,-151.44813537597656,3464.35,166,17.2383,3315.29
167,11.6308,835000,-326.5930480957031,3469.92,167,18.4667,2825.58
168,10.8504,840000,-126.762451171875,3482.48,168,16.5357,3468.21
169,11.8943,845000,-164.1724090576172,3449.63,169,18.0391,3421.35
170,10.9275,850000,-160.65472412109375,3467.41,170,17.2325,3260.23
171,10.0875,855000,-118.98380279541016,3480.66,171,15.973,3458.9
172,12.4728,860000,-321.5093688964844,3279.1,172,19.2661,2796.75
173,11.2598,865000,-221.47071838378906,3475.64,173,17.5549,3317.2
174,10.9689,870000,-157.2086181640625,3467.55,174,17.189,3362.19
175,9.5855,875000,-302.77716064453125,3451.15,175,17.0516,2937.43
176,10.9724,880000,-161.7154541015625,3457.08,176,17.288,3445.36
177,10.9589,885000,-161.0116424560547,3466.9,177,16.871,3442.32
178,10.7212,890000,-174.12698364257812,3467.28,178,16.8058,3082.45
179,11.0848,895000,-171.6617889404297,3487.64,179,16.9356,3353.04
180,10.4285,900000,-218.66392517089844,3488.93,180,16.9027,3235.83
181,10.0099,905000,-158.0777130126953,3450.0,181,16.5473,3293.92
182,10.7823,910000,-165.56280517578125,3481.72,182,16.7258,3393.57
183,11.1116,915000,-151.2915496826172,3479.11,183,17.2535,3373.9
184,10.5825,920000,-155.66366577148438,3479.8,184,16.6706,3450.14
185,9.8547,925000,-172.46324157714844,3499.86,185,16.4276,2959.58
186,10.3509,930000,-163.39248657226562,3474.89,186,16.6684,3360.22
187,10.7599,935000,-138.0487060546875,3480.96,187,16.6885,3391.11
188,11.3225,940000,-184.2240753173828,3497.21,188,17.4535,3339.66
189,10.1021,945000,-143.82827758789062,3481.96,189,16.5835,3034.63
190,11.2752,950000,-177.71392822265625,3468.03,190,16.7964,3429.0
191,10.7633,955000,-166.26548767089844,3458.75,191,16.9868,3391.8
192,11.1354,960000,-185.0924530029297,3504.57,192,17.6974,3178.7
193,12.2869,965000,-257.2790832519531,3511.61,193,17.5915,3035.71
194,11.3026,970000,-208.53012084960938,3437.51,194,16.9897,3419.95
195,10.835,975000,-184.82846069335938,3473.79,195,16.7724,3406.88
196,10.8069,980000,-171.6288299560547,3498.02,196,16.5763,3341.59
197,12.5851,985000,-229.67129516601562,3476.72,197,16.9159,3440.06
198,12.9832,990000,-230.26507568359375,3504.68,198,16.7856,3184.72
199,11.0192,995000,-184.60708618164062,3481.18,199,16.6831,3450.45
