Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Update Time,Real Det Return,Running Reverse KL
210000,-6747.72216796875,157.2535,1639.85,42,42,1986.25,16.0589
215000,-7006.857421875,157.3487,1650.49,43,43,2000.0,16.1705
220000,-7194.37353515625,157.2574,1641.28,44,44,2002.95,15.8422
225000,-7252.15673828125,157.1359,1720.0,45,45,2088.1,16.0782
230000,-7496.234375,157.1451,1669.21,46,46,2039.46,15.8472
235000,-7683.2177734375,157.0123,1694.97,47,47,2031.26,16.0362
240000,-7827.5126953125,156.9926,1713.34,48,48,2068.32,16.0265
245000,-8034.84912109375,157.1398,1726.08,49,49,2102.83,16.4713
250000,-8063.39013671875,157.1686,1731.92,50,50,2110.51,16.4258
255000,-8368.04296875,157.1201,1741.65,51,51,2117.74,16.0696
260000,-8524.4111328125,156.9779,1679.64,52,52,2072.27,15.7298
265000,-8802.5673828125,157.1771,1744.93,53,53,2110.79,15.9629
270000,-8933.33203125,157.0178,1702.6,54,54,2089.56,15.8399
275000,-9116.7802734375,157.1727,1735.6,55,55,2119.41,16.1187
280000,-9293.2578125,156.9476,1762.77,56,56,2163.58,16.1683
285000,-9573.1328125,157.0789,1703.68,57,57,2077.85,16.3508
290000,-9720.12890625,157.1279,1714.2,58,58,2061.43,15.9118
295000,-9733.357421875,156.9256,1756.8,59,59,2125.17,16.1611
300000,-10006.814453125,156.9091,1731.14,60,60,2146.26,15.7671
305000,-10213.02734375,156.944,1736.54,61,61,2095.56,15.7883
310000,-10421.544921875,157.1009,1797.55,62,62,2166.88,16.437
315000,-10662.6181640625,156.7838,1725.5,63,63,2090.85,15.5451
320000,-10859.9990234375,156.9913,1742.11,64,64,2124.71,15.9224
325000,-11069.2822265625,157.0812,1748.3,65,65,2101.85,15.9379
330000,-11193.7919921875,156.7901,1739.91,66,66,2135.75,15.7295
335000,-11373.8564453125,156.7661,1787.91,67,67,2130.0,15.6312
340000,-11540.7353515625,156.8811,1780.21,68,68,2135.61,16.0182
345000,-11764.791015625,156.908,1772.93,69,69,2165.08,16.0052
350000,-12081.7890625,157.037,1748.61,70,70,2095.12,15.5675
355000,-12191.9501953125,156.8465,1760.46,71,71,2147.25,15.5685
360000,-12348.9130859375,156.8137,1787.86,72,72,2131.56,15.9443
365000,-12504.830078125,156.7248,1790.6,73,73,2151.59,15.829
370000,-12770.294921875,156.7965,1781.5,74,74,2169.44,15.6432
375000,-13104.517578125,156.9341,1768.39,75,75,2148.51,16.096
380000,-13194.8564453125,156.8378,1823.48,76,76,2182.58,16.1394
385000,-13406.783203125,156.7965,1757.79,77,77,2136.34,15.8092
390000,-13561.7333984375,156.8789,1784.6,78,78,2106.41,15.5303
395000,-13860.451171875,156.8905,1734.7,79,79,2075.03,15.312
400000,-14069.5556640625,156.8407,1763.42,80,80,2161.58,15.8587
405000,-14136.9248046875,156.6791,1800.45,81,81,2168.43,15.599
410000,-14458.8994140625,156.8075,1800.11,82,82,2147.67,15.7213
415000,-14601.890625,156.8442,1770.08,83,83,2087.1,15.5072
420000,-14820.326171875,156.8325,1788.85,84,84,2157.22,15.6626
425000,-15055.2978515625,156.9101,1781.02,85,85,2146.0,15.5396
430000,-15268.6689453125,156.7635,1819.48,86,86,2172.21,16.1351
435000,-15431.0615234375,156.8189,1786.13,87,87,2156.35,15.5162
440000,-15725.1015625,156.9078,1796.04,88,88,2171.87,15.8145
445000,-15816.9541015625,156.7419,1855.53,89,89,2189.19,15.6712
450000,-16147.0830078125,156.9588,1808.93,90,90,2177.61,15.6765
455000,-16351.916015625,156.8184,1780.84,91,91,2142.46,15.7103
460000,-16587.380859375,156.8239,1804.36,92,92,2166.35,15.6756
465000,-16743.640625,156.7677,1854.67,93,93,2195.79,15.8862
470000,-16955.58203125,156.8637,1845.74,94,94,2205.67,15.8863
475000,-17184.0390625,156.8018,1835.1,95,95,2214.53,15.7331
480000,-17356.6171875,156.7315,1820.75,96,96,2186.9,15.6167
485000,-17602.724609375,156.7753,1797.35,97,97,2158.6,15.4795
490000,-17968.265625,156.9205,1831.55,98,98,2191.91,15.6305
495000,-18151.234375,156.8726,1792.53,99,99,2107.6,15.4258
500000,-18305.337890625,156.8633,1848.84,100,100,2210.7,15.8892
505000,-18606.111328125,156.8775,1832.86,101,101,2167.55,15.7342
510000,-18916.849609375,157.1012,1835.07,102,102,2202.08,15.8788
515000,-18958.146484375,156.7642,1799.73,103,103,2160.59,15.4321
520000,-19342.51171875,157.0398,1808.74,104,104,2176.23,15.7441
525000,-19522.724609375,156.8091,1837.18,105,105,2190.23,15.7203
530000,-19833.478515625,156.8068,1816.32,106,106,2145.92,15.5553
535000,-19821.9609375,156.6587,1811.05,107,107,2189.96,15.4381
540000,-20114.89453125,156.888,1827.97,108,108,2206.47,15.8688
545000,-20361.11328125,156.7515,1849.19,109,109,2220.72,15.5389
550000,-20611.95703125,156.8814,1847.77,110,110,2232.49,15.5444
555000,-21009.134765625,156.7818,1821.23,111,111,2173.47,15.6262
560000,-21243.474609375,156.781,1819.83,112,112,2201.32,15.5609
565000,-21280.068359375,156.8979,1860.18,113,113,2200.49,15.6564
570000,-21652.05859375,156.747,1844.18,114,114,2195.45,15.6945
575000,-21856.572265625,156.83,1837.5,115,115,2163.98,15.7391
580000,-22071.685546875,156.8634,1820.15,116,116,2148.69,15.2565
585000,-22266.072265625,156.5686,1849.94,117,117,2175.81,15.6239
590000,-22599.64453125,156.8247,1814.33,118,118,2136.42,15.1925
595000,-22862.28125,156.5541,1865.01,119,119,2210.29,15.4789
600000,-23043.900390625,156.658,1861.36,120,120,2186.79,15.6928
605000,-23377.177734375,156.7348,1819.99,121,121,2142.28,15.355
610000,-23542.4453125,156.8634,1859.05,122,122,2226.31,15.648
615000,-23793.40234375,156.627,1852.29,123,123,2197.69,15.3054
620000,-24147.423828125,156.8934,1828.31,124,124,2155.36,15.4589
625000,-24214.8515625,156.6712,1818.99,125,125,2187.0,15.4789
630000,-24548.197265625,156.6872,1847.32,126,126,2164.52,15.3416
635000,-24929.74609375,156.7572,1863.96,127,127,2228.99,15.9441
640000,-25225.251953125,156.6299,1892.39,128,128,2230.94,15.6761
645000,-25378.8359375,156.8058,1845.04,129,129,2194.92,15.4664
650000,-25671.3359375,156.8572,1888.04,130,130,2257.51,15.8895
655000,-25828.224609375,156.7657,1854.61,131,131,2191.19,15.3739
660000,-26009.11328125,156.6528,1860.93,132,132,2176.05,15.4656
665000,-26280.904296875,156.7171,1878.62,133,133,2239.29,15.3574
670000,-26720.92578125,156.8125,1873.19,134,134,2230.16,15.3779
675000,-26891.103515625,156.6308,1884.57,135,135,2252.96,15.2522
680000,-27272.58984375,156.7799,1904.21,136,136,2227.27,15.8185
685000,-27416.40234375,156.8667,1872.14,137,137,2217.79,15.5007
690000,-27652.650390625,156.7598,1872.05,138,138,2210.29,15.3135
695000,-28054.646484375,156.7982,1897.96,139,139,2271.13,15.6164
700000,-28394.205078125,156.7908,1908.55,140,140,2260.77,15.8299
705000,-28618.1015625,156.6448,1863.53,141,141,2227.98,15.4925
710000,-28980.44140625,156.7904,1868.19,142,142,2231.75,15.4345
715000,-29301.626953125,156.8315,1860.8,143,143,2197.27,15.5416
720000,-29560.7109375,156.787,1938.55,144,144,2252.88,15.8431
725000,-29801.47265625,156.8829,1866.75,145,145,2197.9,15.4349
730000,-29978.873046875,156.8615,1885.02,146,146,2242.44,15.5411
735000,-30160.751953125,156.6964,1874.87,147,147,2270.94,15.4549
740000,-30379.5859375,156.7809,1909.22,148,148,2248.54,15.4744
745000,-30555.150390625,156.8253,1880.37,149,149,2240.36,15.2856
750000,-30985.162109375,156.8024,1919.99,150,150,2233.65,15.5217
755000,-31301.53515625,156.7566,1859.81,151,151,2195.65,15.5978
760000,-31362.40234375,156.7019,1877.1,152,152,2233.05,15.3522
765000,-31737.962890625,156.8488,1869.91,153,153,2244.73,15.1276
770000,-32014.7109375,156.9605,1910.54,154,154,2227.0,15.6328
775000,-32113.23828125,156.583,1890.48,155,155,2212.95,15.3226
780000,-32410.634765625,156.7621,1858.32,156,156,2210.26,15.3645
785000,-32359.693359375,156.6738,1896.07,157,157,2181.34,15.3527
790000,-32614.32421875,156.7436,1901.89,158,158,2235.87,15.2374
795000,-33097.61328125,156.8209,1897.95,159,159,2253.6,15.5805
800000,-33137.203125,156.8572,1906.53,160,160,2249.75,15.5741
805000,-33382.03515625,156.7393,1893.75,161,161,2234.38,15.4655
810000,-33615.54296875,156.7951,1891.63,162,162,2250.69,15.4131
815000,-33894.2421875,156.7537,1837.4,163,163,2192.65,14.9994
820000,-34130.69140625,156.7161,1827.47,164,164,2117.22,15.1184
825000,-34274.42578125,156.6344,1882.75,165,165,2214.93,15.2117
830000,-34565.01171875,156.6704,1878.77,166,166,2225.93,15.5171
835000,-34863.28125,156.742,1860.72,167,167,2185.02,15.3303
840000,-35060.91015625,156.7032,1898.42,168,168,2234.83,15.375
845000,-35351.0234375,156.7879,1895.9,169,169,2262.98,15.6277
850000,-35214.07421875,156.5704,1901.9,170,170,2265.57,15.2948
855000,-35695.890625,156.5502,1908.07,171,171,2260.15,15.3729
860000,-35909.20703125,156.6267,1886.56,172,172,2206.72,15.3386
865000,-35959.24609375,156.7475,1879.97,173,173,2258.37,15.1316
870000,-36184.046875,156.5587,1912.72,174,174,2253.8,15.2102
875000,-36576.5,156.6841,1927.53,175,175,2195.43,15.361
880000,-36674.5625,156.6777,1907.61,176,176,2262.13,15.2852
885000,-37028.08984375,156.6726,1897.27,177,177,2231.86,15.2999
890000,-37152.828125,156.7233,1921.92,178,178,2266.39,15.451
895000,-37335.34375,156.8141,1889.14,179,179,2232.73,15.3506
900000,-37385.671875,156.5472,1927.49,180,180,2241.39,15.2105
905000,-37934.1015625,156.7859,1911.92,181,181,2305.8,15.5513
910000,-37861.34765625,156.8561,1897.32,182,182,2233.07,15.1932
915000,-38034.44921875,156.5686,1876.66,183,183,2221.33,15.1963
920000,-38248.0,156.8123,1905.06,184,184,2240.68,15.2009
925000,-38326.16796875,156.7171,1920.16,185,185,2250.05,15.1767
930000,-38614.3046875,156.6796,1915.94,186,186,2301.04,15.2613
935000,-38702.203125,156.7077,1913.98,187,187,2242.13,15.2424
940000,-38931.8046875,156.6201,1941.79,188,188,2283.25,15.5256
945000,-38820.12109375,156.6422,1905.97,189,189,2265.58,15.088
950000,-39142.02734375,156.7714,1833.58,190,190,2188.6,14.9673
955000,-39103.26171875,156.5842,1901.28,191,191,2273.47,15.2548
960000,-39326.55859375,156.8487,1896.24,192,192,2176.03,15.2213
965000,-39342.05859375,156.5811,1893.25,193,193,2238.59,14.9534
970000,-39444.34375,156.5879,1898.59,194,194,2266.47,15.1053
975000,-39851.125,156.7755,1888.05,195,195,2267.97,15.1282
980000,-39897.8203125,156.6005,1915.31,196,196,2271.17,15.2479
985000,-40097.62890625,156.7031,1888.82,197,197,2263.63,15.0972
990000,-40044.35546875,156.7429,1934.32,198,198,2322.0,15.2833
995000,-39905.41015625,156.5096,1966.17,199,199,2309.45,15.0044
1000000,-40422.0703125,156.6145,1913.71,200,200,2312.94,15.26
1005000,-40745.51171875,156.5883,1913.27,201,201,2307.14,15.3132
1010000,-40808.5390625,156.5501,1950.07,202,202,2311.55,15.4084
1015000,-40925.2734375,156.6701,1938.72,203,203,2316.12,15.5075
1020000,-40956.5625,156.4993,1940.01,204,204,2287.54,15.2003
1025000,-41171.4609375,156.7308,1927.83,205,205,2307.71,15.344
1030000,-41372.47265625,156.6713,1918.45,206,206,2283.37,15.2124
1035000,-41418.45703125,156.6532,1929.07,207,207,2308.27,15.1834
1040000,-41658.92578125,156.6135,1926.53,208,208,2316.28,15.247
1045000,-41650.96484375,156.68,1924.97,209,209,2286.51,15.2021
1050000,-41870.5390625,156.705,1944.75,210,210,2313.04,15.3115
1055000,-42048.375,156.6024,1915.59,211,211,2311.62,15.1127
1060000,-42230.69921875,156.6558,1933.04,212,212,2306.36,15.1843
1065000,-42368.5078125,156.6389,1953.93,213,213,2338.47,15.2701
1070000,-42659.92578125,156.6647,1939.85,214,214,2334.16,15.4195
1075000,-42887.00390625,156.7422,1955.59,215,215,2330.7,15.411
1080000,-42740.23828125,156.6525,1941.91,216,216,2308.83,15.2225
1085000,-43050.3828125,156.5427,1963.14,217,217,2331.15,15.3689
1090000,-43063.3515625,156.7699,1940.03,218,218,2309.39,15.3607
1095000,-43223.48046875,156.6759,1937.91,219,219,2320.26,15.3791
1100000,-43541.1640625,156.604,1964.22,220,220,2342.32,15.5539
1105000,-43452.921875,156.608,1947.07,221,221,2325.38,15.4485
1110000,-43616.10546875,156.7317,1932.86,222,222,2322.99,15.4397
1115000,-43720.390625,156.7499,1943.25,223,223,2324.57,15.2302
1120000,-43888.13671875,156.7789,1953.87,224,224,2324.7,15.3999
1125000,-43915.0078125,156.5004,1955.55,225,225,2318.39,15.3059
1130000,-44090.06640625,156.6042,1936.34,226,226,2323.94,15.4982
1135000,-44213.90234375,156.6078,1939.93,227,227,2319.64,15.257
1140000,-44398.68359375,156.5456,1947.67,228,228,2328.28,15.3555
1145000,-44412.27734375,156.6509,1950.38,229,229,2325.02,15.3089
1150000,-44582.74609375,156.5725,1910.35,230,230,2308.4,15.2994
1155000,-44563.6171875,156.6487,1931.75,231,231,2306.52,15.2328
1160000,-44950.93359375,156.623,1945.05,232,232,2316.12,15.4268
1165000,-44983.87109375,156.5865,1934.6,233,233,2283.89,15.3069
1170000,-45054.3828125,156.6867,1955.44,234,234,2292.86,15.3724
1175000,-45328.6953125,156.7265,1947.58,235,235,2306.16,15.4677
1180000,-45332.265625,156.4784,1959.21,236,236,2296.71,15.3994
1185000,-45631.34765625,156.6498,1950.52,237,237,2308.68,15.4343
1190000,-45764.2578125,156.7997,1933.62,238,238,2274.59,15.2453
1195000,-45885.84375,156.6651,1953.52,239,239,2289.47,15.3161
1200000,-45970.22265625,156.5948,1945.19,240,240,2277.99,15.1916
1205000,-46124.26171875,156.7498,1955.87,241,241,2317.84,15.5654
1210000,-46015.47265625,156.5186,1966.84,242,242,2321.98,15.2991
1215000,-46149.98046875,156.6675,1975.45,243,243,2305.37,15.3167
1220000,-46400.1328125,156.5148,1983.56,244,244,2339.12,15.4301
1225000,-46535.51953125,156.5687,1966.21,245,245,2312.89,15.3995
1230000,-46681.0625,156.6727,1946.45,246,246,2322.13,15.2007
1235000,-46778.26953125,156.4763,1953.23,247,247,2298.77,15.2207
1240000,-47081.44921875,156.6518,1963.07,248,248,2307.76,15.4377
1245000,-47377.1875,156.7823,1951.39,249,249,2285.79,15.4027
1250000,-47285.140625,156.7322,1955.11,250,250,2327.67,15.3586
1255000,-47362.3203125,156.4283,1944.75,251,251,2304.54,15.2502
1260000,-47381.78515625,156.6174,1952.19,252,252,2300.9,15.2351
1265000,-47409.5859375,156.7134,1930.79,253,253,2252.42,15.297
1270000,-47793.77734375,156.6082,1957.67,254,254,2314.77,15.332
1275000,-47850.109375,156.6156,1956.46,255,255,2302.32,15.4268
1280000,-47659.515625,156.5248,1958.29,256,256,2292.27,15.1645
1285000,-48032.7734375,156.6429,1958.4,257,257,2312.6,15.1884
1290000,-47998.859375,156.6204,1964.89,258,258,2312.91,15.2902
1295000,-48159.46875,156.6389,1958.47,259,259,2320.28,15.274
1300000,-48426.40625,156.5373,1950.94,260,260,2301.53,15.3908
1305000,-48694.15625,156.4299,1969.9,261,261,2299.37,15.5479
1310000,-48694.76953125,156.6468,1956.42,262,262,2331.71,15.3616
1315000,-49005.34765625,156.6364,1956.95,263,263,2349.6,15.4068
1320000,-49001.4140625,156.6125,1964.37,264,264,2341.08,15.331
1325000,-48934.00390625,156.6302,1954.64,265,265,2297.8,15.2398
1330000,-49083.93359375,156.6213,1951.18,266,266,2306.44,15.3544
1335000,-49072.0625,156.4669,1964.25,267,267,2304.65,15.2147
1340000,-49297.48046875,156.4811,1975.19,268,268,2337.35,15.3819
1345000,-49337.6640625,156.7056,1964.24,269,269,2313.94,15.3633
1350000,-49443.5859375,156.553,1976.73,270,270,2331.22,15.2533
1355000,-49687.40625,156.6165,1966.19,271,271,2321.63,15.4216
1360000,-49658.19140625,156.534,1961.73,272,272,2334.68,15.4132
1365000,-49868.45703125,156.5297,1978.76,273,273,2335.82,15.3443
1370000,-49853.57421875,156.4895,1954.89,274,274,2330.5,15.2475
1375000,-49985.61328125,156.5315,1958.94,275,275,2326.45,15.4292
1380000,-50146.25390625,156.5438,1994.53,276,276,2334.43,15.4269
1385000,-50297.9140625,156.525,1975.44,277,277,2330.04,15.2348
1390000,-50414.0,156.3982,1960.9,278,278,2345.97,15.2539
1395000,-50701.6796875,156.663,1973.25,279,279,2338.41,15.2369
1400000,-50615.90625,156.5157,1963.05,280,280,2354.62,15.3103
1405000,-50816.890625,156.6346,1966.17,281,281,2333.28,15.439
1410000,-50751.921875,156.5314,1979.03,282,282,2340.17,15.3297
1415000,-50987.76953125,156.5083,1994.8,283,283,2337.76,15.4978
1420000,-51078.76953125,156.675,1998.34,284,284,2324.06,15.4035
1425000,-51125.2734375,156.6677,1972.21,285,285,2321.41,15.4194
1430000,-51339.6953125,156.5521,1961.7,286,286,2324.55,15.3429
1435000,-51473.2421875,156.5371,1985.98,287,287,2343.16,15.5713
1440000,-51599.609375,156.6561,1978.12,288,288,2353.35,15.6145
1445000,-51769.0703125,156.6231,1983.88,289,289,2328.35,15.4888
1450000,-51862.12890625,156.6457,1972.54,290,290,2328.51,15.4366
1455000,-51947.0625,156.5517,1984.51,291,291,2341.04,15.3325
1460000,-51911.265625,156.5112,1977.25,292,292,2336.57,15.3017
1465000,-52005.48828125,156.4591,1952.3,293,293,2313.54,15.2605
1470000,-52035.6953125,156.5279,1967.24,294,294,2328.91,15.1951
1475000,-52188.19140625,156.5285,1969.16,295,295,2295.27,15.4009
1480000,-52327.03515625,156.4091,1968.15,296,296,2317.95,15.3178
1485000,-52275.61328125,156.7324,1952.28,297,297,2275.63,15.2407
1490000,-52456.44140625,156.6042,1968.02,298,298,2310.27,15.3157
1495000,-52392.80078125,156.6555,1949.42,299,299,2289.22,15.2876
1500000,-52458.87890625,156.6258,1985.04,300,300,2325.5,15.2723
1505000,-52764.28125,156.7826,1963.37,301,301,2293.03,15.2033
1510000,-52885.984375,156.524,1983.44,302,302,2325.49,15.3692
1515000,-52928.2421875,156.5759,1986.57,303,303,2327.01,15.5316
1520000,-52894.3515625,156.5634,1965.63,304,304,2307.08,15.312
1525000,-53216.19140625,156.6261,1981.08,305,305,2334.04,15.4492
1530000,-53201.80859375,156.5944,1967.08,306,306,2335.21,15.2794
1535000,-53075.7890625,156.6798,1956.72,307,307,2317.38,15.2148
1540000,-53331.3515625,156.63,1979.84,308,308,2310.91,15.2128
1545000,-53508.359375,156.6429,1989.72,309,309,2337.66,15.3443
1550000,-53516.23828125,156.6846,1971.38,310,310,2320.02,15.4004
1555000,-53633.77734375,156.5987,1962.47,311,311,2317.34,15.3779
1560000,-53803.83984375,156.5788,1957.37,312,312,2344.49,15.5026
1565000,-53800.62890625,156.5451,1976.85,313,313,2337.04,15.2672
1570000,-53966.25390625,156.6212,1984.31,314,314,2351.45,15.6052
1575000,-54021.08984375,156.5788,1987.26,315,315,2356.11,15.4846
1580000,-54162.8671875,156.6301,1971.92,316,316,2354.69,15.2887
1585000,-54213.59375,156.5643,1990.93,317,317,2341.65,15.4011
1590000,-54174.2265625,156.7125,1992.82,318,318,2339.88,15.4598
1595000,-54262.765625,156.5497,1986.25,319,319,2359.41,15.3317
1600000,-54308.6015625,156.7687,1966.17,320,320,2344.97,15.4294
1605000,-54397.1171875,156.6435,1955.88,321,321,2348.02,15.2399
1610000,-54527.7109375,156.527,1946.46,322,322,2331.81,15.1094
1615000,-54720.79296875,156.7105,1977.04,323,323,2362.48,15.3528
1620000,-54767.375,156.6751,1961.32,324,324,2341.6,15.2654
1625000,-54824.28515625,156.6661,1969.45,325,325,2349.65,15.2259
1630000,-54881.44140625,156.6315,1972.66,326,326,2342.0,15.1809
1635000,-55191.5859375,156.5926,1973.17,327,327,2348.92,15.4293
1640000,-54942.95703125,156.5403,1957.8,328,328,2335.34,15.2279
1645000,-55053.0,156.7322,1951.41,329,329,2323.37,15.2287
1650000,-55163.5703125,156.4189,1957.1,330,330,2337.73,15.1456
1655000,-55202.48046875,156.6453,1958.75,331,331,2307.86,15.1974
1660000,-55219.9453125,156.6357,1959.46,332,332,2318.49,15.0181
1665000,-55387.19921875,156.6016,1978.79,333,333,2330.53,15.2623
1670000,-55511.46875,156.627,1977.98,334,334,2346.35,15.1521
1675000,-55514.60546875,156.6428,1951.46,335,335,2333.77,15.0606
1680000,-55553.87109375,156.6209,1959.61,336,336,2331.31,15.178
1685000,-55694.359375,156.508,1965.41,337,337,2339.19,15.1578
1690000,-55562.75390625,156.5571,1953.91,338,338,2325.73,14.9336
1695000,-55892.3203125,156.5029,1958.14,339,339,2346.92,15.0402
1700000,-56035.51953125,156.4948,1984.31,340,340,2358.29,15.2034
1705000,-56059.7421875,156.4945,1955.26,341,341,2347.79,15.1606
1710000,-56127.2890625,156.5618,1959.33,342,342,2329.24,15.1203
1715000,-56198.19921875,156.5586,1954.69,343,343,2342.22,15.2039
1720000,-55969.51953125,156.5502,1932.56,344,344,2312.64,15.0422
1725000,-56042.72265625,156.5751,1955.1,345,345,2294.05,14.9529
1730000,-56182.78125,156.5604,1957.5,346,346,2310.39,15.1121
1735000,-56542.5546875,156.5832,1949.09,347,347,2341.22,15.1592
1740000,-56408.421875,156.5782,1937.67,348,348,2302.16,14.9523
1745000,-56732.109375,156.5465,1953.38,349,349,2321.84,15.0796
1750000,-56453.7265625,156.543,1920.01,350,350,2310.2,14.8669
1755000,-56592.953125,156.5133,1936.26,351,351,2317.48,14.919
1760000,-56753.31640625,156.4602,1956.98,352,352,2307.49,15.0263
1765000,-56785.6640625,156.5182,1912.73,353,353,2301.8,14.9985
1770000,-56866.06640625,156.5897,1944.47,354,354,2305.0,15.0311
1775000,-56942.77734375,156.5446,1911.15,355,355,2302.76,14.9736
1780000,-57213.01953125,156.5441,1946.57,356,356,2322.25,14.9761
1785000,-57051.54296875,156.7038,1932.03,357,357,2293.57,14.9336
1790000,-57360.28125,156.5602,1931.74,358,358,2307.54,15.0393
1795000,-57127.29296875,156.6757,1926.67,359,359,2267.46,15.0648
1800000,-57411.17578125,156.5791,1931.44,360,360,2270.72,15.0336
1805000,-57369.0,156.5627,1939.54,361,361,2303.18,15.0761
1810000,-57469.53125,156.5823,1941.77,362,362,2299.38,14.8866
1815000,-57443.63671875,156.5659,1934.6,363,363,2277.03,15.0549
1820000,-57618.296875,156.5842,1960.87,364,364,2308.89,15.0084
1825000,-57577.73828125,156.736,1914.77,365,365,2262.56,14.7185
1830000,-57938.84375,156.6002,1928.01,366,366,2290.42,14.9814
1835000,-58013.765625,156.6018,1938.18,367,367,2302.81,15.0806
1840000,-57974.984375,156.6336,1952.47,368,368,2306.41,15.091
1845000,-58082.61328125,156.5884,1927.01,369,369,2268.98,15.0487
1850000,-58529.9453125,156.5028,1966.75,370,370,2328.14,15.1748
1855000,-58149.55859375,156.5096,1937.25,371,371,2285.34,15.0595
1860000,-58414.140625,156.567,1961.85,372,372,2306.84,14.9631
1865000,-58355.828125,156.5935,1964.26,373,373,2294.4,14.956
1870000,-58582.6328125,156.5615,1957.61,374,374,2311.27,14.9702
1875000,-58495.83203125,156.5491,1937.26,375,375,2297.41,15.1564
1880000,-58816.15625,156.5858,1972.09,376,376,2319.23,15.1112
1885000,-58782.37890625,156.6385,1964.23,377,377,2297.97,15.1287
1890000,-58929.90625,156.615,1927.96,378,378,2298.49,15.137
1895000,-59080.0234375,156.6023,1950.31,379,379,2333.55,15.1268
1900000,-59150.140625,156.6417,1954.03,380,380,2301.91,15.1534
1905000,-59296.50390625,156.5275,1958.94,381,381,2308.77,15.1524
1910000,-59563.4921875,156.5728,1976.87,382,382,2319.95,15.1909
1915000,-59293.5,156.554,1943.75,383,383,2289.24,15.0397
1920000,-59526.765625,156.5066,1960.15,384,384,2312.7,15.0766
1925000,-59506.59765625,156.5888,1967.65,385,385,2305.08,15.1056
1930000,-59715.73828125,156.5904,1954.35,386,386,2287.01,14.9393
1935000,-59880.546875,156.6615,1979.64,387,387,2324.47,15.2863
1940000,-59796.76171875,156.5915,1968.7,388,388,2308.64,15.1901
1945000,-60028.546875,156.4566,1975.37,389,389,2331.08,15.3283
1950000,-60370.7890625,156.5351,1980.29,390,390,2340.95,15.3407
1955000,-60156.046875,156.4957,1965.71,391,391,2306.14,15.0496
1960000,-60328.875,156.438,1977.73,392,392,2330.88,15.1001
1965000,-60479.7421875,156.5136,1969.11,393,393,2334.67,15.2368
