Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Reward Loss
500000,100,69.2586,4055.68,63.2702,100,3629.65,-942.5034790039062
505000,101,71.4915,5191.73,66.4873,101,4109.34,-978.70263671875
510000,102,77.6098,5103.64,74.9467,102,5060.09,-988.3944702148438
515000,103,75.3275,5142.8,70.6913,103,4486.51,-1008.4467163085938
520000,104,74.9818,5131.22,72.5148,104,4417.77,-1017.3366088867188
525000,105,79.5001,5218.16,81.6066,105,4757.6,-1075.94287109375
530000,106,75.2469,4952.85,75.0359,106,4086.4,-1060.881591796875
535000,107,69.3388,4974.27,63.7788,107,3604.65,-1074.439453125
540000,108,72.4079,5201.09,69.5548,108,4755.04,-1109.72119140625
545000,109,71.9846,5207.15,70.7919,109,4574.31,-1132.98583984375
550000,110,74.0086,4470.85,70.8599,110,4515.95,-1141.235595703125
555000,111,76.4174,5038.58,73.2994,111,4724.21,-1171.13134765625
560000,112,75.3328,4840.57,73.3518,112,4686.91,-1200.26708984375
565000,113,78.3183,5232.58,76.5951,113,4652.41,-1221.9171142578125
570000,114,76.471,4766.36,70.401,114,4433.15,-1228.55712890625
575000,115,70.4827,4173.51,66.4772,115,4339.43,-1255.2352294921875
580000,116,77.268,5163.1,77.8997,116,4616.28,-1268.247802734375
585000,117,67.1205,4577.44,58.1991,117,4549.22,-1271.5107421875
590000,118,76.9397,5226.87,70.4924,118,4912.19,-1320.8179931640625
595000,119,77.2276,4895.79,75.8426,119,4900.86,-1368.75146484375
600000,120,77.2118,5364.71,71.1698,120,5003.96,-1364.212646484375
605000,121,75.89,4576.86,69.7688,121,4221.33,-1374.3251953125
610000,122,78.6254,4898.17,76.6116,122,4533.39,-1443.3328857421875
615000,123,79.2507,4928.09,76.1511,123,4820.03,-1446.7021484375
620000,124,75.4151,5079.83,72.1778,124,4781.05,-1467.4620361328125
625000,125,71.187,5449.52,66.2292,125,5119.76,-1488.2342529296875
630000,126,77.2801,4745.8,75.2745,126,4614.1,-1505.7088623046875
635000,127,72.2409,5367.22,64.8708,127,4652.96,-1528.165283203125
640000,128,70.5818,5092.14,71.8824,128,4784.62,-1572.0828857421875
645000,129,69.3218,5148.01,65.4002,129,4733.21,-1541.291015625
650000,130,73.9501,5043.23,68.0875,130,4554.71,-1590.2384033203125
655000,131,76.3984,5375.96,72.3602,131,4513.54,-1643.9459228515625
660000,132,75.2887,4169.64,70.1,132,4207.82,-1648.02001953125
665000,133,78.2172,4766.97,77.664,133,5250.87,-1719.646728515625
670000,134,75.6256,5093.19,72.3574,134,4366.34,-1711.80712890625
675000,135,76.1178,5426.79,76.0343,135,4942.22,-1759.7052001953125
680000,136,77.6922,5142.12,76.1851,136,4492.48,-1790.0013427734375
685000,137,78.7254,4960.82,77.083,137,5103.4,-1828.5286865234375
690000,138,78.0297,5409.39,76.7259,138,4909.32,-1850.45361328125
695000,139,75.4069,5039.22,73.4792,139,4033.91,-1864.3125
700000,140,76.2728,5195.16,73.1911,140,5203.98,-1888.454345703125
705000,141,77.876,5551.4,74.5306,141,4598.38,-1936.599609375
710000,142,70.5812,5576.16,69.1533,142,5055.63,-1925.4195556640625
715000,143,75.1421,5567.69,70.609,143,4142.09,-1955.3726806640625
720000,144,77.7889,4893.93,76.9913,144,4780.85,-2029.9237060546875
725000,145,79.5469,5232.62,74.7425,145,4623.04,-2057.86572265625
730000,146,76.185,4603.97,74.0337,146,3694.14,-2083.113525390625
735000,147,73.3602,5505.44,71.0525,147,5180.44,-2100.544921875
740000,148,70.4931,4808.1,69.6219,148,4100.72,-2095.467041015625
745000,149,70.4889,5256.5,67.6706,149,5196.96,-2145.201904296875
750000,150,75.7846,4867.8,70.9892,150,4769.82,-2207.5751953125
755000,151,77.8144,5242.33,76.9112,151,4293.59,-2265.2998046875
760000,152,76.8432,5615.71,74.7573,152,4885.91,-2282.709228515625
765000,153,77.0728,5646.01,73.6167,153,5316.66,-2328.831298828125
770000,154,76.156,5582.81,71.7305,154,5145.92,-2352.6123046875
775000,155,75.6356,5648.26,73.5714,155,4999.35,-2381.486328125
780000,156,68.5467,5095.65,59.6082,156,3321.41,-2310.621826171875
785000,157,77.3449,5264.31,75.941,157,5280.34,-2459.703369140625
790000,158,73.6928,5417.11,69.8248,158,4736.25,-2474.931396484375
795000,159,76.4353,5251.71,74.8688,159,4276.39,-2524.220458984375
800000,160,74.1927,5343.28,73.7077,160,5243.28,-2600.58935546875
805000,161,76.3249,4351.92,71.9158,161,4584.43,-2573.969482421875
810000,162,69.1809,5159.33,61.6953,162,4850.66,-2517.187255859375
815000,163,76.2722,4489.01,73.6913,163,4883.64,-2687.54248046875
820000,164,73.8933,5410.53,70.0649,164,4275.66,-2704.07568359375
825000,165,78.1325,5336.7,73.2871,165,4982.57,-2798.39599609375
830000,166,76.703,5683.85,74.8536,166,4727.3,-2835.61767578125
835000,167,76.5974,5392.14,74.3048,167,5210.1,-2870.513427734375
840000,168,70.949,5582.32,64.7136,168,4649.11,-2831.145751953125
845000,169,76.3775,5193.81,67.5187,169,4564.56,-2914.09619140625
850000,170,69.6298,5288.88,63.8743,170,5058.25,-2875.972900390625
855000,171,77.4229,5643.19,74.1301,171,5075.48,-3055.828369140625
860000,172,75.5373,4799.58,68.921,172,4508.04,-3045.60302734375
865000,173,72.281,5326.55,66.9198,173,4559.04,-3059.47412109375
870000,174,77.2558,5593.38,74.2062,174,4198.58,-3202.031982421875
875000,175,78.8111,5402.42,74.5794,175,4366.08,-3248.676025390625
880000,176,76.4098,5523.93,73.4047,176,4708.01,-3262.172607421875
885000,177,76.7986,5489.39,71.7014,177,4840.07,-3299.643310546875
890000,178,76.9882,5280.89,72.8856,178,5209.88,-3346.76611328125
895000,179,75.8251,5645.2,73.0563,179,4882.68,-3389.640625
900000,180,76.5199,5650.44,73.512,180,4953.99,-3441.4931640625
905000,181,76.5478,5471.2,77.6378,181,5356.56,-3536.384033203125
910000,182,77.4786,5689.92,76.2422,182,4532.0,-3598.606689453125
915000,183,75.9876,5607.6,69.9202,183,5019.77,-3581.079345703125
920000,184,74.2726,5633.36,70.2894,184,4970.11,-3577.4970703125
925000,185,77.0616,5703.67,74.555,185,4645.59,-3692.576904296875
930000,186,78.1876,5072.77,75.3388,186,4616.64,-3737.121337890625
935000,187,79.4053,5711.17,76.8244,187,4961.57,-3844.31396484375
940000,188,78.262,5597.96,70.3899,188,5320.85,-3861.325439453125
945000,189,77.2867,5533.31,73.548,189,5048.21,-3902.048828125
950000,190,76.4238,5623.84,70.8767,190,5090.07,-3965.9072265625
955000,191,73.5126,5728.3,69.4996,191,5088.26,-3960.716064453125
960000,192,75.6699,5461.85,72.6422,192,5348.92,-4051.37646484375
965000,193,77.5103,5387.41,74.9971,193,5147.54,-4084.02685546875
970000,194,73.5178,5347.85,72.0919,194,5173.74,-4148.1630859375
975000,195,71.1219,5255.64,66.3927,195,4583.53,-4092.24853515625
980000,196,75.9383,5034.57,70.2915,196,4647.63,-4261.1201171875
985000,197,77.0466,5172.78,72.059,197,5087.66,-4321.2060546875
990000,198,78.3508,5506.02,80.3633,198,4602.73,-4448.37548828125
995000,199,79.1415,5708.66,76.3468,199,4791.9,-4496.12841796875
1000000,200,71.4735,5728.77,67.4845,200,4513.92,-4417.03076171875
1005000,201,71.6847,5244.96,66.4548,201,5115.21,-4455.6630859375
1010000,202,71.4283,5390.37,67.3812,202,5288.52,-4497.35498046875
1015000,203,72.6386,5384.47,70.6975,203,4841.56,-4582.93896484375
1020000,204,73.1265,5708.26,70.933,204,5056.44,-4618.9736328125
1025000,205,77.7545,5549.45,73.5328,205,5329.75,-4786.4833984375
1030000,206,77.0687,5657.19,72.6698,206,5463.9,-4834.18701171875
1035000,207,70.4674,5498.22,65.3296,207,5004.7,-4644.03125
1040000,208,77.8459,5546.36,75.1363,208,4963.33,-4983.7724609375
1045000,209,78.581,5552.06,77.7487,209,4887.69,-5034.6875
1050000,210,77.4379,5098.68,74.7892,210,4961.74,-5073.04638671875
1055000,211,78.1162,4718.08,76.6423,211,5075.96,-5112.1328125
1060000,212,78.0121,5440.52,78.7331,212,4283.99,-5201.99609375
1065000,213,77.5769,5044.06,75.838,213,5284.76,-5237.28564453125
1070000,214,70.1011,5764.01,65.8509,214,4824.77,-4986.4794921875
1075000,215,79.0106,5717.16,77.3727,215,5223.74,-5362.49658203125
1080000,216,70.1138,5263.45,65.1011,216,4888.99,-4962.44873046875
1085000,217,76.7004,5319.66,73.8292,217,4734.95,-5427.888671875
1090000,218,76.8588,5407.55,72.0978,218,4935.88,-5484.6376953125
1095000,219,78.8434,5710.16,78.0314,219,5109.1,-5575.29296875
1100000,220,77.2222,5839.08,73.0668,220,4862.55,-5601.73779296875
1105000,221,70.7311,5364.61,66.4215,221,5070.3,-5360.453125
1110000,222,77.6978,5522.4,75.0997,222,4999.67,-5652.05126953125
1115000,223,77.8864,5493.13,75.1,223,4366.01,-5783.671875
1120000,224,78.8452,5181.95,77.3841,224,4796.42,-5793.0869140625
1125000,225,79.8289,5730.33,77.1163,225,4945.14,-5868.0810546875
1130000,226,78.2175,5450.93,74.3486,226,4799.02,-5865.78466796875
1135000,227,75.8296,5110.29,72.1715,227,4548.05,-5816.79248046875
1140000,228,79.8314,4908.59,76.3077,228,5135.47,-5975.20068359375
1145000,229,78.352,5506.25,72.5097,229,4324.67,-6013.38916015625
1150000,230,78.1202,5571.53,74.8869,230,5103.89,-6102.58984375
1155000,231,69.7035,5231.94,66.0188,231,4919.78,-5760.279296875
1160000,232,78.1568,5677.2,74.3459,232,4906.58,-6195.95947265625
1165000,233,77.2745,5122.36,71.0985,233,4958.67,-6186.1865234375
1170000,234,78.6546,5528.27,73.4178,234,4682.45,-6250.51025390625
1175000,235,78.4291,5312.35,74.8171,235,4691.31,-6382.259765625
1180000,236,78.0174,5331.64,72.9391,236,4722.63,-6322.265625
1185000,237,77.5883,5486.23,73.7802,237,4900.12,-6430.8125
1190000,238,78.945,5603.29,71.7748,238,5297.89,-6487.396484375
1195000,239,70.9834,5549.99,65.8046,239,4715.98,-6158.31103515625
1200000,240,78.3521,5888.12,74.7524,240,5163.65,-6587.998046875
1205000,241,78.3699,5835.57,73.188,241,5257.2,-6616.55029296875
1210000,242,77.6538,5863.18,73.0422,242,3538.78,-6731.40869140625
1215000,243,77.7579,5239.88,74.1524,243,4716.4,-6749.30419921875
1220000,244,76.5929,5667.77,72.4732,244,5375.15,-6805.130859375
1225000,245,77.799,5605.52,74.3863,245,5215.76,-6832.11279296875
1230000,246,78.4632,5917.81,71.4321,246,4880.42,-6929.6240234375
1235000,247,77.786,5903.64,71.2962,247,5044.19,-6900.57275390625
1240000,248,74.0179,5747.78,68.7695,248,5504.92,-6929.61669921875
1245000,249,76.9692,5757.34,70.0732,249,4917.69,-7020.40234375
1250000,250,78.3477,5727.26,72.3056,250,4775.22,-7161.4443359375
1255000,251,75.7414,5920.85,68.5149,251,5234.11,-7076.24951171875
1260000,252,75.4632,5703.19,65.5048,252,5035.94,-7104.111328125
1265000,253,77.0229,5889.31,70.9249,253,5351.05,-7259.28271484375
1270000,254,77.0389,5452.46,73.2402,254,5224.34,-7296.46533203125
1275000,255,79.0177,5713.65,74.7313,255,4937.67,-7418.63427734375
1280000,256,77.9527,5897.39,73.0921,256,5189.85,-7440.6796875
1285000,257,76.9965,5257.9,70.2128,257,4964.19,-7470.72412109375
1290000,258,77.9878,5956.64,71.9971,258,4948.26,-7512.10107421875
1295000,259,78.5068,5413.98,71.7689,259,4745.09,-7549.83349609375
1300000,260,76.5808,6053.51,70.2262,260,5152.59,-7642.33447265625
1305000,261,77.7943,5838.94,70.017,261,5132.76,-7601.6181640625
1310000,262,79.3049,5706.12,73.4348,262,5436.62,-7823.70556640625
1315000,263,71.6524,5527.97,65.361,263,5427.26,-7481.52294921875
1320000,264,76.682,5987.82,71.5216,264,5267.32,-7918.83642578125
1325000,265,74.5564,6033.75,67.9523,265,4871.21,-7824.49267578125
1330000,266,79.2756,5653.74,71.8165,266,5328.8,-7964.345703125
1335000,267,76.9494,5635.91,69.895,267,5075.53,-7993.25634765625
1340000,268,72.2276,5953.42,65.5855,268,5012.01,-7698.4111328125
1345000,269,77.4355,5967.59,71.5999,269,5389.78,-8171.57470703125
1350000,270,78.0996,5617.73,72.2954,270,4519.03,-8163.55126953125
1355000,271,73.0975,4624.0,68.307,271,5442.44,-7949.08447265625
1360000,272,77.2055,5478.66,71.9627,272,5090.89,-8359.205078125
1365000,273,78.3804,5957.07,72.4753,273,5571.11,-8402.232421875
1370000,274,77.9616,5954.0,69.8026,274,5345.23,-8399.525390625
1375000,275,75.8262,5962.36,70.7451,275,5321.36,-8379.0048828125
1380000,276,78.3868,5961.2,74.1016,276,5372.07,-8528.794921875
1385000,277,78.6199,5900.02,75.8217,277,4899.54,-8630.3515625
1390000,278,77.0741,5948.83,71.3673,278,5247.08,-8612.3486328125
1395000,279,76.6922,5894.71,72.5554,279,4890.24,-8644.388671875
1400000,280,70.2894,5959.79,62.4954,280,5130.17,-8085.31689453125
1405000,281,78.07,5972.67,73.7915,281,5173.57,-8839.869140625
1410000,282,78.4501,5735.93,77.1427,282,5447.83,-8890.7392578125
1415000,283,75.3164,5983.47,71.3537,283,5256.5,-8748.14453125
1420000,284,77.7706,5954.79,74.8721,284,5243.41,-9047.4853515625
1425000,285,69.1461,5901.48,59.5404,285,5409.56,-7964.99609375
1430000,286,75.5331,5612.07,69.9393,286,5028.72,-8973.853515625
1435000,287,76.0489,6032.46,70.4171,287,5332.42,-9090.26953125
1440000,288,77.238,5694.82,72.9593,288,5059.56,-9212.9404296875
1445000,289,78.8082,5535.44,74.4815,289,5106.97,-9275.2529296875
1450000,290,78.7846,5878.57,78.4307,290,5419.6,-9355.6748046875
1455000,291,78.16,5936.8,74.3562,291,5548.25,-9326.8291015625
1460000,292,77.1961,5635.71,71.9632,292,4887.23,-9383.9677734375
1465000,293,76.1898,5651.01,72.2757,293,5575.5,-9488.8603515625
1470000,294,77.4057,5881.43,71.5111,294,5307.12,-9511.16796875
1475000,295,75.6946,5695.36,68.2908,295,5279.77,-9500.966796875
1480000,296,77.0864,5878.93,73.6408,296,5604.72,-9673.013671875
1485000,297,70.5837,5716.04,65.102,297,5236.0,-9087.7265625
1490000,298,69.3534,5911.59,61.5914,298,5261.35,-8872.1982421875
1495000,299,69.0433,6015.36,61.717,299,5349.35,-9056.884765625
1500000,300,77.3299,5940.05,74.9303,300,5633.08,-9879.7744140625
1505000,301,78.9715,5650.65,76.5309,301,4984.51,-10128.888671875
1510000,302,77.679,5460.21,73.0428,302,5055.43,-9969.359375
1515000,303,77.7473,5967.37,75.5314,303,5271.56,-10131.0751953125
1520000,304,102.0246,-1495.53,411.1418,304,-1639.63,-3619.646484375
1525000,305,106.2957,-2016.3,395.1535,305,-1644.64,-6495.720703125
1530000,306,84.5419,-1284.29,154.8591,306,-681.86,-6486.365234375
1535000,307,72.0918,39.15,90.914,307,-43.34,-5097.64697265625
1540000,308,68.4342,218.67,241.9598,308,360.16,-6451.90771484375
1545000,309,66.5783,1810.52,81.8933,309,945.61,-7623.47021484375
1550000,310,64.3727,1278.31,110.5613,310,1291.97,-7442.28857421875
1555000,311,66.2325,1196.22,101.3338,311,1091.81,-8121.43408203125
