Running Forward KL,Itration,Running Reverse KL,Real Det Return,Real Sto Return
307.9141,75,133.6855,4302.14,2967.09
318.0139,76,194.7072,5313.92,3194.22
321.7413,77,181.1104,4819.69,3478.66
310.3388,78,162.2346,4924.86,3396.3
314.8857,79,147.4072,5373.63,3403.65
303.6442,80,137.9639,5243.67,4154.36
313.8378,81,179.4567,5510.12,4527.71
306.7047,82,162.3079,3424.86,3442.43
298.1743,83,114.9005,4710.34,4577.27
314.8221,84,178.2034,5487.72,4075.76
303.4354,85,153.2391,5245.75,4343.74
307.7385,86,123.1601,5543.71,5434.66
310.812,87,205.4469,5259.69,3492.9
315.5172,88,158.181,4428.36,4297.48
311.3215,89,157.0058,5526.06,5113.81
303.9608,90,132.988,5391.77,5019.7
306.7885,91,128.2772,3460.11,4586.98
310.0645,92,153.926,5188.17,3831.72
303.4439,93,138.6151,5425.07,4518.67
297.8915,94,114.6927,5068.03,4802.48
305.1926,95,155.8139,5308.69,5051.63
311.8372,96,152.6321,5436.75,4533.91
315.8041,97,150.1971,5466.61,4123.76
314.0621,98,154.2725,5411.52,4516.96
317.7693,99,187.0776,5398.76,4269.42
335.5178,100,197.5892,3917.28,3002.3
310.6925,101,143.2531,5580.59,5497.74
309.1091,102,143.4885,5519.88,5010.96
313.8744,103,173.5062,5371.29,4478.47
315.3974,104,180.1011,5311.68,4151.99
326.0518,105,163.9313,5368.42,4852.21
307.8824,106,143.1488,5478.48,5467.71
321.5511,107,155.404,5416.04,5113.55
330.343,108,189.9896,4792.14,4122.19
324.1927,109,172.6397,5469.7,4483.18
317.1854,110,169.2158,5542.19,4664.05
312.2707,111,150.6392,5448.88,5002.78
330.1172,112,171.4976,5382.02,4881.73
319.9046,113,177.2925,5634.85,4787.28
316.1295,114,159.288,5626.01,5199.94
304.0152,115,133.4794,5571.39,5501.82
310.2012,116,152.5394,5552.05,4791.54
311.5799,117,145.1689,5659.35,5601.15
325.8931,118,167.0577,5510.52,4640.36
309.4775,119,149.8351,5557.23,5229.15
317.5678,120,157.7245,5601.68,5266.18
319.9104,121,153.1054,5556.12,4701.71
316.5209,122,155.4565,5646.29,5145.81
310.2047,123,142.6931,5772.42,5405.44
308.5871,124,137.6443,5169.37,5272.31
300.9386,125,130.4961,5256.32,5544.25
314.214,126,132.4446,5387.14,4962.26
338.2256,127,208.9472,5709.49,3852.28
308.597,128,135.1305,5567.94,5198.94
311.3601,129,127.647,5613.3,5486.88
301.7377,130,123.3997,5683.16,5288.25
313.4672,131,156.6526,5712.55,5188.18
314.9835,132,141.796,5708.4,5322.81
319.8733,133,161.2104,5387.37,5344.85
309.1248,134,125.8543,5465.71,5061.48
310.9393,135,137.8939,5714.64,5197.94
310.953,136,128.5597,5737.69,4815.4
313.9003,137,128.1287,5709.82,5570.89
308.9337,138,129.4158,4953.57,5589.99
316.8459,139,138.4574,5707.07,5612.09
314.628,140,149.6369,5750.42,5649.43
308.8516,141,135.0377,5608.9,5624.51
304.1512,142,122.0346,4080.33,5350.73
307.7832,143,131.3932,4972.78,5466.71
320.4793,144,158.5883,5741.14,5600.35
315.7113,145,152.9947,5696.58,5498.81
313.3502,146,126.705,4738.49,5489.49
301.3307,147,123.8887,5464.95,5523.1
303.4317,148,133.0939,5606.47,5547.71
313.3805,149,152.5623,5748.55,5620.17
313.4528,150,143.6606,5181.95,5222.45
319.4366,151,128.3225,3430.13,5346.85
328.3774,152,175.8214,4200.98,4940.6
310.5372,153,129.5789,5196.07,5487.36
313.2421,154,125.0122,5650.11,5428.31
320.743,155,155.0549,5811.91,5729.35
313.9169,156,141.7396,5253.33,5307.91
312.8907,157,136.2009,3337.67,5391.01
312.3348,158,130.1719,5711.5,5615.72
299.3985,159,119.4359,4614.03,5536.87
325.1798,160,181.2819,3682.7,3673.99
357.8207,161,269.5636,3431.18,1961.96
311.426,162,131.2203,5577.02,5528.28
313.6733,163,143.2957,5587.84,5641.35
304.2919,164,134.1269,5683.86,5582.74
309.176,165,135.4757,5841.1,5522.27
313.1073,166,138.2339,5870.24,5762.73
333.8785,167,192.4107,5913.99,4562.02
325.8083,168,147.7705,5899.17,5609.29
312.2112,169,137.9491,5695.3,4666.26
318.9563,170,144.3737,5441.69,5509.67
330.3791,171,170.533,5600.72,4769.04
325.9433,172,164.0952,5210.25,5220.2
302.9354,173,123.0742,4820.33,5205.46
306.2423,174,119.5574,5419.22,5456.03
311.7589,175,129.6236,5075.59,5271.74
312.7741,176,128.0096,5773.29,5382.91
314.8163,177,141.6719,5975.19,5700.17
330.2615,178,155.1415,5870.27,5657.99
326.222,179,141.5401,5092.98,5431.06
320.2394,180,137.0097,5950.67,5753.51
326.0451,181,140.0606,5491.36,5587.8
308.2122,182,122.6559,4830.98,5510.73
318.7444,183,134.9767,5341.53,5672.55
319.6022,184,141.8344,5905.7,5543.63
317.4443,185,136.2112,5527.35,5671.93
309.6727,186,127.343,5784.31,5421.96
321.4842,187,142.4529,5685.78,4797.94
307.5834,188,128.0898,5820.33,5408.76
309.6645,189,125.3065,5607.99,5495.45
317.4413,190,140.3283,5789.07,5488.48
321.8293,191,133.92,5839.26,5711.09
318.3711,192,130.448,5863.15,5511.27
309.1281,193,120.466,5492.99,5497.65
316.9426,194,134.6993,5620.14,5425.78
319.8179,195,126.7812,5810.55,5632.87
315.0114,196,124.5873,5783.31,5548.94
311.1308,197,126.6474,5853.37,5753.7
317.302,198,127.5528,4990.99,4971.82
306.2863,199,118.6599,4679.6,4927.74
314.8749,200,136.7763,5799.27,5572.54
320.0577,201,133.9521,5914.25,5751.99
317.3274,202,135.1221,5997.4,5461.43
322.9199,203,133.0641,5875.44,5449.18
327.0232,204,145.3588,5994.18,5661.8
312.9748,205,138.0713,5520.42,5132.25
324.7327,206,145.4664,5738.89,5597.8
323.5221,207,165.4463,5685.66,5166.96
327.0284,208,148.0824,5795.58,5342.3
320.2563,209,142.708,6011.26,5336.62
315.2971,210,131.1691,5948.19,5640.18
