Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Sto Return,Running Env Steps,Real Det Return,Itration
171,-1349.549560546875,13.222,19.2749,3264.21,855000,3461.94,171
172,-1342.912109375,12.4785,19.3781,3392.41,860000,3450.97,172
173,-1410.029052734375,13.5536,19.5337,3381.66,865000,3472.97,173
174,-1334.2449951171875,13.1909,18.9998,3333.44,870000,3457.58,174
175,-1358.8258056640625,13.1323,19.1377,3430.82,875000,3457.57,175
176,-1469.9365234375,13.7738,19.51,3413.08,880000,3438.63,176
177,-1482.510498046875,13.9169,19.308,3396.8,885000,3437.08,177
178,-1447.248291015625,12.9225,19.829,3336.14,890000,3474.92,178
179,-1507.449462890625,13.6218,19.0371,3373.77,895000,3438.12,179
180,-1652.869873046875,14.2072,19.8248,3348.84,900000,3459.77,180
181,-1454.4566650390625,13.4218,19.4708,3390.11,905000,3440.64,181
182,-1533.5589599609375,14.0385,19.8155,3423.41,910000,3424.8,182
183,-1571.6304931640625,14.3235,19.636,3388.38,915000,3461.17,183
184,-1581.0933837890625,18.6827,20.5775,2893.4,920000,3462.82,184
185,-1543.457763671875,13.6447,19.1052,3329.73,925000,3420.47,185
186,-1481.220703125,12.8357,18.5756,3393.28,930000,3444.4,186
187,-1493.215087890625,13.6321,19.677,3374.57,935000,3397.62,187
188,-1515.8408203125,13.4729,19.3648,3390.49,940000,3440.79,188
189,-1594.593017578125,13.9951,19.4079,3364.94,945000,3461.28,189
190,-1504.437255859375,13.8619,20.2534,3301.15,950000,3478.4,190
191,-1496.4161376953125,13.4499,18.9316,3439.01,955000,3460.01,191
192,-1581.091796875,14.5654,19.5626,3257.59,960000,3476.06,192
193,-1605.882568359375,13.3273,19.5541,3425.16,965000,3471.3,193
194,-1676.6424560546875,13.864,19.5374,3439.18,970000,3448.28,194
195,-1672.043701171875,13.8416,19.8942,2762.81,975000,3475.96,195
196,-1660.8211669921875,13.9069,18.9163,3403.19,980000,3479.59,196
197,-1654.20556640625,13.8618,19.2143,3356.43,985000,3460.12,197
198,-1423.8651123046875,12.3743,19.0756,3281.8,990000,3457.06,198
199,-1597.4842529296875,13.184,19.2458,3405.37,995000,3435.42,199
