Real Det Return,Reward Loss,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Itration
3442.85,-373.4650573730469,16.0435,88,3453.26,22.0665,440000,88
3485.87,-416.6290588378906,15.6773,89,3467.2,21.431,445000,89
3494.23,-752.025390625,27.9838,90,3213.47,21.8468,450000,90
3467.03,-429.15618896484375,15.6478,91,3421.82,21.4503,455000,91
3498.04,-558.875,17.6813,92,3282.04,21.5352,460000,92
3518.87,-404.27880859375,15.1379,93,3481.34,21.8135,465000,93
3500.83,-614.46923828125,15.5797,94,2962.42,21.1292,470000,94
3450.68,-417.288818359375,15.0454,95,3437.11,20.8483,475000,95
3464.87,-528.14990234375,17.6888,96,3365.54,21.3846,480000,96
3475.19,-469.4152526855469,14.029,97,3356.99,20.523,485000,97
3513.17,-449.7466125488281,14.7881,98,3469.36,21.5171,490000,98
3472.03,-452.34649658203125,14.8453,99,3332.67,21.1494,495000,99
3494.6,-578.3043212890625,14.1858,100,2874.83,20.8733,500000,100
3508.72,-488.82745361328125,14.8227,101,3492.95,21.281,505000,101
3495.25,-477.21466064453125,15.3446,102,3467.37,21.2596,510000,102
3487.48,-518.452880859375,15.3914,103,3483.77,21.8173,515000,103
3522.42,-507.7081298828125,15.5841,104,3289.9,22.0232,520000,104
3485.41,-579.5799560546875,13.9868,105,3278.84,21.4326,525000,105
3508.79,-512.9077758789062,14.7438,106,3159.7,21.6036,530000,106
3503.46,-608.292724609375,14.7309,107,2867.47,21.5646,535000,107
3538.66,-656.1828002929688,14.828,108,2881.16,22.3233,540000,108
3504.06,-921.9026489257812,22.0927,109,3086.29,21.7622,545000,109
3487.73,-613.8351440429688,14.4031,110,3478.67,21.4148,550000,110
3494.25,-761.76025390625,16.4414,111,2312.67,21.908,555000,111
3486.93,-796.3497924804688,14.4709,112,2879.15,21.3978,560000,112
3031.91,-1121.4541015625,20.8809,113,1912.22,22.543,565000,113
3464.96,-624.3238525390625,13.8701,114,3241.71,20.7029,570000,114
3490.72,-1041.3211669921875,22.3364,115,2429.58,21.8067,575000,115
3479.45,-731.2201538085938,15.7666,116,3205.51,20.5869,580000,116
3242.05,-1193.3465576171875,18.0107,117,1971.16,21.6587,585000,117
3473.4,-839.8046264648438,15.4418,118,2846.61,21.0404,590000,118
3501.76,-769.7174072265625,14.1585,119,3131.17,20.7653,595000,119
3455.26,-1036.99365234375,15.5078,120,2678.71,21.2759,600000,120
3495.6,-675.6205444335938,13.0901,121,2659.39,20.4006,605000,121
3486.94,-905.1538696289062,14.9664,122,3073.95,21.5807,610000,122
3502.46,-1044.664794921875,15.7801,123,2902.13,21.7796,615000,123
3511.36,-743.2744750976562,14.2528,124,3041.99,21.2813,620000,124
3474.72,-742.5004272460938,13.5129,125,3410.44,20.3657,625000,125
3473.85,-704.892822265625,14.9877,126,3291.05,21.8253,630000,126
3503.77,-836.0909423828125,13.8458,127,3082.4,20.938,635000,127
3508.96,-814.4334106445312,14.7316,128,3327.66,20.4215,640000,128
3471.44,-1010.0523681640625,17.0382,129,2943.99,21.4632,645000,129
3493.23,-966.4694213867188,17.4633,130,2824.44,20.7642,650000,130
3489.45,-911.7982177734375,15.1567,131,3078.93,21.199,655000,131
3511.39,-1359.4154052734375,17.7921,132,2420.88,21.512,660000,132
3505.91,-1058.9324951171875,16.0375,133,2859.98,21.0545,665000,133
3439.15,-1238.4327392578125,16.7441,134,2722.33,21.129,670000,134
3521.87,-832.8007202148438,14.5669,135,3266.47,20.943,675000,135
3490.2,-774.0575561523438,14.6601,136,3427.11,20.588,680000,136
3514.61,-867.1466064453125,15.5172,137,3180.6,20.5116,685000,137
