Real Sto Return,Itration,Running Update Time,Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Real Det Return
2651.36,51,51,13.9759,-139.7732696533203,255000,22.5988,3183.1
3114.55,52,52,13.2152,-123.9780044555664,260000,21.0443,3232.3
2857.46,53,53,13.7276,-152.6053009033203,265000,22.0428,3269.46
2581.98,54,54,13.7142,-211.45565795898438,270000,23.2904,3200.53
3089.18,55,55,12.6458,-160.61868286132812,275000,22.3479,3258.76
3112.45,56,56,14.2171,-171.59938049316406,280000,23.0319,3090.76
3223.63,57,57,14.4112,-142.88082885742188,285000,22.5378,3207.71
2717.64,58,58,12.6473,-173.06158447265625,290000,22.4567,3214.37
3171.11,59,59,14.2002,-151.9297637939453,295000,22.1419,3139.06
3289.31,60,60,14.2181,-142.87408447265625,300000,21.9419,3265.15
3199.52,61,61,12.7105,-159.27239990234375,305000,21.4921,3168.31
3229.72,62,62,13.9835,-169.05120849609375,310000,22.2803,3173.9
3165.73,63,63,13.3723,-182.38134765625,315000,22.3553,3177.97
2901.25,64,64,12.5977,-170.88795471191406,320000,22.521,3177.25
3195.4,65,65,14.0038,-178.8187255859375,325000,22.3846,3140.68
3126.99,66,66,14.9532,-188.92178344726562,330000,23.2362,3179.83
3198.96,67,67,13.4334,-165.92649841308594,335000,21.6158,3146.9
3204.91,68,68,13.7352,-161.6524200439453,340000,21.9841,3197.23
3054.62,69,69,14.2665,-190.3623809814453,345000,22.942,3107.15
3220.77,70,70,13.7579,-175.63458251953125,350000,22.0003,3189.64
3219.12,71,71,14.6376,-183.63729858398438,355000,22.6978,3202.02
3224.84,72,72,13.9987,-186.74957275390625,360000,22.0268,3211.15
3231.36,73,73,13.4105,-191.07603454589844,365000,21.6472,3173.78
2818.0,74,74,11.6037,-204.04776000976562,370000,22.1054,3304.19
3030.41,75,75,13.985,-162.25677490234375,375000,21.4215,3338.2
3312.56,76,76,12.7856,-173.0311737060547,380000,21.1319,3271.51
3250.58,77,77,13.5466,-175.3441925048828,385000,21.9375,3237.39
3308.18,78,78,13.7006,-168.38890075683594,390000,21.3091,3269.8
3319.6,79,79,15.0581,-165.79571533203125,395000,22.3627,3256.14
3145.47,80,80,13.9361,-184.9324951171875,400000,22.4773,3289.07
3227.31,81,81,15.607,-196.660400390625,405000,23.22,3174.94
2728.12,82,82,12.9307,-206.339111328125,410000,21.2938,3361.55
3313.65,83,83,13.8791,-169.16236877441406,415000,21.5693,3246.14
3271.41,84,84,14.7358,-193.45223999023438,420000,22.2766,3287.72
3325.6,85,85,14.6878,-182.77853393554688,425000,22.148,3320.68
3063.34,86,86,12.8357,-176.5169219970703,430000,21.1064,3403.46
3357.77,87,87,14.3072,-173.86019897460938,435000,21.4042,3324.59
3302.61,88,88,14.0307,-202.2192840576172,440000,21.9625,3299.62
3343.95,89,89,12.493,-162.7405548095703,445000,20.1661,3375.84
3394.43,90,90,12.8029,-148.1322021484375,450000,20.595,3426.61
2778.83,91,91,12.7149,-186.93905639648438,455000,20.1171,3441.11
3357.15,92,92,13.8457,-176.15142822265625,460000,20.8066,3360.06
3186.34,93,93,12.3589,-162.40341186523438,465000,19.6638,3403.16
3348.36,94,94,14.003,-202.63186645507812,470000,21.4082,3371.25
3307.65,95,95,12.7937,-157.25833129882812,475000,19.9037,3413.26
2984.42,96,96,12.8391,-193.44276428222656,480000,20.6607,3383.99
3094.54,97,97,11.3993,-169.83953857421875,485000,19.9602,3365.52
2887.39,98,98,12.5842,-228.6765594482422,490000,20.9419,3368.36
3033.28,99,99,13.7727,-205.5402069091797,495000,20.3796,3375.89
2655.15,100,100,12.0429,-206.32669067382812,500000,20.7269,3429.53
3095.32,101,101,13.4308,-240.72760009765625,505000,21.1707,3294.09
3059.89,102,102,13.0742,-203.02322387695312,510000,19.6632,3359.72
3009.82,103,103,11.7893,-241.42440795898438,515000,20.4977,3315.71
2813.68,104,104,12.6991,-268.5556640625,520000,21.1813,3398.9
2732.16,105,105,13.0444,-221.73593139648438,525000,20.5111,3369.77
2725.1,106,106,13.3157,-276.6892395019531,530000,20.7646,3426.62
2980.49,107,107,11.8189,-205.9276123046875,535000,20.2194,3400.63
3295.07,108,108,12.1863,-204.66661071777344,540000,19.8198,3368.28
3364.69,109,109,11.4061,-181.2227325439453,545000,18.8837,3346.21
2318.8,110,110,10.7051,-145.62600708007812,550000,19.4658,3410.02
3271.98,111,111,11.7247,-254.4510955810547,555000,19.7366,3336.25
2217.38,112,112,12.525,-283.7108154296875,560000,20.6338,3384.13
3341.93,113,113,12.9631,-237.79893493652344,565000,20.9457,3369.97
2930.62,114,114,11.7097,-230.98573303222656,570000,19.8808,3372.49
3226.48,115,115,11.1567,-223.5265655517578,575000,18.9731,3314.94
3311.11,116,116,11.5246,-224.9873809814453,580000,19.075,3367.38
3269.83,117,117,11.3363,-271.6086120605469,585000,20.3298,3314.4
3343.15,118,118,12.1565,-197.07623291015625,590000,19.3622,3373.07
3266.45,119,119,12.2215,-250.2713165283203,595000,19.9076,3280.44
3353.73,120,120,11.6312,-228.2870635986328,600000,19.6461,3349.87
3134.14,121,121,12.0299,-242.66392517089844,605000,20.2505,3335.61
3168.21,122,122,11.4727,-200.49826049804688,610000,19.4252,3378.36
2986.43,123,123,11.8957,-279.828125,615000,20.6891,3370.27
2177.48,124,124,10.7197,-257.54620361328125,620000,19.7754,3382.55
3208.44,125,125,12.3929,-210.6036834716797,625000,20.1116,3372.41
2464.02,126,126,11.0038,-290.3121643066406,630000,20.9471,3411.9
3063.52,127,127,13.4806,-293.5522766113281,635000,20.9444,3301.66
3415.3,128,128,13.2876,-232.88514709472656,640000,19.8525,3379.45
3352.32,129,129,12.8332,-248.5193328857422,645000,19.6656,3378.17
3161.86,130,130,13.6455,-241.87750244140625,650000,20.3757,3376.0
2995.22,131,131,12.3048,-254.90029907226562,655000,19.6582,3371.83
3188.66,132,132,12.5442,-246.48316955566406,660000,19.6271,3382.31
3174.06,133,133,12.7078,-249.5222930908203,665000,20.1092,3408.55
2989.85,134,134,12.8837,-302.120849609375,670000,20.3664,3333.06
3035.98,135,135,12.7971,-210.45806884765625,675000,19.5362,3385.84
3141.12,136,136,13.0047,-284.7257080078125,680000,20.2681,3330.0
3347.99,137,137,11.87,-282.9374694824219,685000,19.5949,3354.19
3301.56,138,138,11.9388,-271.3196716308594,690000,19.4014,3328.73
3121.59,139,139,12.7707,-294.79815673828125,695000,19.8736,3373.31
3390.94,140,140,12.3639,-243.3784942626953,700000,19.3247,3396.91
2922.04,141,141,11.3137,-290.8152160644531,705000,19.8906,3392.24
2251.26,142,142,10.4878,-339.9640197753906,710000,20.9737,3412.78
3228.61,143,143,10.8174,-261.14288330078125,715000,19.4051,3392.57
2888.5,144,144,11.3912,-262.5814514160156,720000,18.5339,3382.13
2506.62,145,145,10.8743,-319.18560791015625,725000,19.889,3364.37
2022.27,146,146,10.1499,-340.9315490722656,730000,20.1487,2554.17
2441.39,147,147,10.1665,-325.2846374511719,735000,19.3697,3389.91
2242.48,148,148,11.1156,-307.4310302734375,740000,19.8943,3384.32
3340.35,149,149,12.2663,-269.0054931640625,745000,19.3405,3366.5
3390.53,150,150,12.931,-257.9518127441406,750000,19.1665,3400.92
3299.24,151,151,11.8068,-327.8251953125,755000,19.3069,3342.78
3311.25,152,152,11.6926,-338.6995544433594,760000,19.6199,3338.69
3092.35,153,153,11.9907,-324.2816162109375,765000,19.4513,3346.71
3260.46,154,154,12.1158,-329.69219970703125,770000,19.77,3347.71
3200.29,155,155,12.3081,-294.917724609375,775000,19.5298,3373.57
3216.5,156,156,11.9768,-326.6916198730469,780000,19.3334,3345.68
3039.95,157,157,11.0529,-289.4056701660156,785000,18.5838,3374.88
3226.64,158,158,11.9417,-302.7007141113281,790000,19.0596,3388.69
2975.37,159,159,10.6703,-274.42718505859375,795000,18.726,3377.19
3111.22,160,160,11.7138,-312.5078430175781,800000,19.1582,3381.15
3352.4,161,161,11.6483,-274.33160400390625,805000,18.7033,3432.02
3321.05,162,162,11.5997,-335.71588134765625,810000,19.1853,3350.88
2967.81,163,163,11.9609,-318.15826416015625,815000,19.7913,3408.39
3271.41,164,164,11.2859,-408.420166015625,820000,19.7004,3290.59
3341.29,165,165,12.8979,-386.8736572265625,825000,20.1991,3336.25
3253.65,166,166,12.2243,-398.95703125,830000,19.6568,3328.83
3134.59,167,167,11.7873,-312.59844970703125,835000,20.073,3454.85
3256.13,168,168,11.4137,-342.13592529296875,840000,19.0034,3377.01
3284.59,169,169,11.7077,-321.8395080566406,845000,18.83,3403.96
3324.77,170,170,11.8991,-403.6080627441406,850000,19.8039,3341.5
3168.37,171,171,12.963,-480.6765441894531,855000,21.5108,3182.01
3386.44,172,172,12.1534,-327.352294921875,860000,19.2419,3391.72
3360.6,173,173,11.4338,-359.580322265625,865000,19.623,3377.18
3392.1,174,174,12.4793,-335.4029541015625,870000,19.4658,3406.03
2596.85,175,175,10.0823,-363.70538330078125,875000,18.7432,3398.16
3321.21,176,176,11.3646,-369.007568359375,880000,18.9907,3355.47
3303.63,177,177,11.8594,-356.2743225097656,885000,19.0798,3381.64
3385.53,178,178,11.6154,-338.60186767578125,890000,18.5279,3412.08
3305.59,179,179,11.2092,-316.6668701171875,895000,18.2306,3398.53
3407.2,180,180,11.9377,-301.14508056640625,900000,18.7073,3444.94
3245.32,181,181,11.8441,-368.75567626953125,905000,19.7355,3370.25
3408.19,182,182,12.0785,-302.3875732421875,910000,18.5333,3422.33
3395.1,183,183,11.6418,-328.41290283203125,915000,18.1561,3410.56
3398.8,184,184,11.1417,-313.3064880371094,920000,18.0115,3419.07
3380.41,185,185,12.2319,-370.76324462890625,925000,19.25,3396.43
3402.49,186,186,11.6163,-335.9019470214844,930000,18.1854,3418.95
3339.88,187,187,12.3568,-406.7532958984375,935000,19.2727,3363.01
3388.69,188,188,11.0811,-344.0736083984375,940000,17.9391,3400.26
3337.39,189,189,12.0462,-418.009521484375,945000,19.1552,3354.4
3234.18,190,190,11.2089,-394.30255126953125,950000,18.8946,3380.68
3366.04,191,191,11.642,-343.55865478515625,955000,18.2788,3391.33
3340.69,192,192,11.474,-389.11767578125,960000,18.8196,3394.49
3334.07,193,193,10.14,-369.71441650390625,965000,17.7163,3352.16
3373.72,194,194,11.8878,-379.5143737792969,970000,18.9633,3385.46
3301.78,195,195,11.9227,-376.0646057128906,975000,18.8428,3393.49
3362.83,196,196,11.5982,-385.3524475097656,980000,18.52,3393.39
3391.2,197,197,11.3054,-318.9876403808594,985000,18.1338,3444.48
3355.34,198,198,11.6065,-412.5029296875,990000,18.6741,3359.89
3396.06,199,199,11.564,-355.039794921875,995000,18.3672,3415.84
