Running Env Steps,Running Reverse KL,Running Forward KL,Reward Loss,Running Update Time,Real Sto Return,Itration,Real Det Return
315000,22.8585,19.173,-775.9971923828125,63,3142.81,63,3345.21
320000,23.1192,21.3778,-1114.8367919921875,64,2912.12,64,3460.45
325000,18.6203,20.8592,-1316.350341796875,65,1646.79,65,3309.92
330000,12.618,19.2293,-379.08721923828125,66,3094.48,66,3397.19
335000,12.1903,18.5225,-356.44329833984375,67,3357.8,67,3366.86
340000,12.3141,19.0092,-553.0259399414062,68,2947.76,68,3326.67
345000,23.1056,18.2068,-1067.3199462890625,69,1819.44,69,3307.64
350000,29.1736,19.6015,-1768.008056640625,70,2287.59,70,3289.63
355000,24.1645,22.1965,-2049.243896484375,71,1133.65,71,1048.4
360000,11.368,19.0877,-926.4340209960938,72,2829.11,72,3278.69
365000,11.8413,18.0959,-438.9458923339844,73,3150.42,73,3434.55
370000,12.1633,19.7508,-692.2698364257812,74,3037.59,74,3316.38
375000,12.8321,17.7373,-643.1922607421875,75,2977.46,75,3437.85
380000,19.5227,18.0599,-701.332763671875,76,3266.28,76,3370.65
385000,12.0763,18.5737,-690.8569946289062,77,2995.82,77,3298.21
390000,58.8854,20.1774,-2523.856689453125,78,1780.3,78,3367.56
395000,11.4838,17.8198,-408.819091796875,79,2848.4,79,3364.39
400000,9.9437,16.631,-402.4855651855469,80,3285.7,80,3372.98
405000,21.1121,17.8665,-644.728759765625,81,3403.68,81,3397.88
410000,17.0017,18.7076,-888.81201171875,82,2656.75,82,3330.41
415000,21.6169,17.0698,-581.9313354492188,83,3305.11,83,3417.97
420000,12.7491,19.177,-182.10618591308594,84,3320.69,84,3466.6
425000,20.8352,19.5284,-1189.0792236328125,85,2582.58,85,3448.57
430000,17.4965,18.7622,-1060.989013671875,86,2747.27,86,3384.44
435000,12.1214,17.9152,-434.0596923828125,87,3366.89,87,3367.47
440000,12.2146,18.0013,-471.9341735839844,88,3390.79,88,3400.2
445000,12.0812,17.2372,-235.8336944580078,89,3437.83,89,3444.91
450000,13.914,19.5716,-47.18787384033203,90,3474.23,90,3473.25
455000,11.7552,17.7739,-371.3549499511719,91,3398.73,91,3416.08
460000,12.4221,17.3193,-223.31671142578125,92,3435.62,92,3455.68
465000,20.5938,18.1939,-1330.568359375,93,2521.98,93,3484.56
470000,17.4368,18.1763,-806.7655639648438,94,2962.88,94,3429.11
475000,24.4742,18.4774,-677.8827514648438,95,2837.02,95,3509.9
480000,11.8818,18.3505,-368.7853088378906,96,3260.46,96,3412.23
485000,12.0536,17.8721,-554.2103881835938,97,3248.89,97,3403.79
490000,18.303,17.8515,-682.3065795898438,98,3183.35,98,3425.54
495000,37.2449,17.7355,-1625.8956298828125,99,2253.03,99,3486.91
500000,19.7295,18.5262,-1012.3455200195312,100,2184.32,100,3515.27
505000,25.5718,19.1438,-1292.4188232421875,101,2511.82,101,3485.74
510000,12.1078,17.9627,-252.10939025878906,102,3127.96,102,3498.7
515000,11.7298,17.5806,-350.03729248046875,103,3112.79,103,3458.14
520000,12.8576,17.4442,-237.02890014648438,104,3463.85,104,3474.17
525000,11.4294,17.4424,-378.6268615722656,105,3311.29,105,3416.99
530000,12.3921,17.7975,-397.9181213378906,106,3431.86,106,3436.19
535000,10.9118,16.4954,-490.8376159667969,107,3401.42,107,3414.55
540000,20.3007,19.4939,-861.1043090820312,108,2836.54,108,3469.96
545000,11.7246,17.894,-464.8979187011719,109,3454.19,109,3459.6
550000,12.3346,17.9983,-398.1652526855469,110,3425.32,110,3447.59
555000,12.1657,17.2535,-342.7371826171875,111,3452.73,111,3470.38
560000,11.3859,16.8287,-346.23675537109375,112,3441.44,112,3456.51
565000,25.0242,18.0216,-1424.0474853515625,113,2021.29,113,3333.61
570000,13.676,17.1865,-474.3018798828125,114,3371.75,114,3472.95
575000,12.1438,17.7944,-405.7035827636719,115,3374.09,115,3453.6
580000,11.7258,16.9499,-407.9234924316406,116,3441.82,116,3461.82
585000,12.7766,17.3367,-584.7549438476562,117,3197.95,117,3484.22
590000,12.0089,17.1517,-239.5541534423828,118,3487.13,118,3501.04
595000,13.0437,17.899,-425.3787536621094,119,3464.23,119,3476.01
600000,12.8291,17.8449,-399.1783142089844,120,3467.61,120,3484.77
605000,12.2496,17.1922,-342.5301818847656,121,3460.7,121,3482.48
610000,12.9704,18.2605,-452.39324951171875,122,3458.73,122,3469.1
615000,12.3432,18.0832,-527.4801025390625,123,3432.09,123,3439.7
620000,13.1714,19.0881,-1096.9161376953125,124,2792.79,124,3452.24
625000,12.2917,17.3331,-443.4653015136719,125,3459.3,125,3474.91
630000,12.0673,18.1065,-593.8771362304688,126,3455.9,126,3453.0
635000,12.6701,17.9092,-615.0759887695312,127,3417.61,127,3431.27
640000,13.1662,18.5439,-627.9774780273438,128,3401.4,128,3414.03
645000,11.7574,17.4113,-599.6316528320312,129,3418.76,129,3422.81
650000,13.2734,18.067,-749.197021484375,130,3414.94,130,3462.96
655000,11.8742,17.7573,-302.9530029296875,131,3171.39,131,3516.26
660000,10.9704,17.1453,-413.0610046386719,132,3397.41,132,3475.6
665000,12.0518,17.5334,-559.8060302734375,133,3344.79,133,3478.33
670000,10.7207,16.6837,-529.4571533203125,134,3448.14,134,3488.0
675000,11.1779,17.3049,-522.373046875,135,3299.89,135,3440.67
680000,17.4767,18.7198,-1072.299072265625,136,3061.43,136,3457.19
685000,11.5764,17.4882,-508.0850524902344,137,3375.06,137,3461.62
690000,12.0878,17.9113,-639.7008666992188,138,3419.0,138,3454.38
695000,12.0506,17.69,-540.1962890625,139,3392.64,139,3431.17
700000,11.0093,16.7717,-523.8666381835938,140,3461.02,140,3477.14
705000,13.5587,17.0943,-907.2509765625,141,3303.8,141,3503.75
710000,11.2509,17.0075,-640.2078247070312,142,3424.65,142,3485.31
715000,11.9822,17.3744,-478.3536376953125,143,3168.23,143,3516.3
720000,11.8968,17.6683,-544.353271484375,144,3406.0,144,3481.36
725000,11.5078,17.9834,-693.1888427734375,145,3390.42,145,3488.94
730000,11.9111,17.2579,-691.8005981445312,146,3367.51,146,3494.8
735000,11.3209,17.3488,-619.3936157226562,147,3428.0,147,3476.74
740000,11.583,17.5536,-538.0026245117188,148,3461.84,148,3484.29
745000,11.459,17.2875,-538.9169921875,149,3375.27,149,3478.64
750000,12.5827,17.3325,-646.2454223632812,150,3281.92,150,3535.06
755000,12.8866,17.9764,-568.5628662109375,151,3347.81,151,3506.45
760000,12.069,17.7777,-545.4095458984375,152,3350.24,152,3487.48
765000,59.1949,19.1671,-2745.605712890625,153,2094.56,153,3362.02
770000,16.7367,17.0105,-940.2113037109375,154,3132.65,154,3437.98
775000,11.5764,16.6389,-558.8259887695312,155,3465.45,155,3488.71
780000,11.943,17.6909,-675.7955322265625,156,3222.4,156,3505.87
785000,12.4674,18.1597,-745.6065673828125,157,3214.23,157,3468.57
790000,11.391,17.5454,-580.4871826171875,158,3218.3,158,3495.51
795000,12.1347,17.1193,-519.6520385742188,159,3487.17,159,3503.37
800000,10.6016,16.2145,-744.2842407226562,160,3374.46,160,3470.66
805000,11.3482,17.3468,-674.328125,161,3196.35,161,3468.16
810000,12.2092,17.5569,-562.9358520507812,162,3326.95,162,3498.97
815000,21.5785,18.5644,-1267.94580078125,163,40.91,163,24.6
820000,30.6236,18.2907,-1939.478271484375,164,3138.25,164,3508.18
825000,10.6618,16.775,-482.0623779296875,165,3462.41,165,3494.25
830000,28.599,17.0921,-1652.1197509765625,166,2800.83,166,3499.12
835000,10.4764,16.2342,-685.7362670898438,167,3338.46,167,3471.52
840000,15.0622,17.1812,-990.662353515625,168,3384.85,168,3466.0
845000,23.5771,17.1205,-1509.269287109375,169,2891.27,169,3479.53
850000,17.2473,17.9964,-1578.2110595703125,170,2968.19,170,3488.72
855000,11.9376,17.5376,-608.949951171875,171,3348.87,171,3491.36
860000,10.4459,16.1382,-573.96923828125,172,3447.1,172,3474.5
865000,16.2288,17.1279,-770.6698608398438,173,2863.31,173,3486.99
870000,11.4222,16.8512,-456.3551330566406,174,3351.43,174,3517.23
875000,9.893,15.6188,-532.1372680664062,175,3240.81,175,3482.52
880000,10.8216,16.5404,-759.8388061523438,176,3351.1,176,3478.56
885000,12.3338,16.8015,-843.3692626953125,177,3166.98,177,3472.06
890000,11.6756,17.2146,-482.2428894042969,178,3286.18,178,3503.48
895000,11.2855,16.7841,-837.4746704101562,179,3383.63,179,3492.43
900000,23.1672,18.3577,-1837.7606201171875,180,2686.04,180,3466.69
905000,36.7037,18.6722,-2742.803955078125,181,2539.43,181,3447.17
910000,11.2631,17.2791,-606.561767578125,182,3419.18,182,3475.91
915000,14.1179,17.2281,-1284.3489990234375,183,2571.79,183,3488.19
920000,22.9625,16.5067,-1651.520263671875,184,2362.85,184,3471.06
925000,11.5976,17.0022,-954.6161499023438,185,2958.38,185,3462.83
930000,11.5298,16.6529,-782.4756469726562,186,3386.32,186,3487.31
935000,16.3372,17.0111,-982.7198486328125,187,2994.88,187,3502.83
940000,10.7803,16.4151,-689.68701171875,188,3322.11,188,3485.07
945000,16.6272,16.8657,-1275.0,189,2911.19,189,3468.43
950000,13.0032,16.617,-849.3325805664062,190,3361.94,190,3498.87
955000,10.3237,16.2204,-598.985595703125,191,3448.8,191,3494.17
960000,12.2445,16.8621,-911.7264404296875,192,3308.9,192,3489.86
965000,9.8758,15.8238,-840.0598754882812,193,3390.6,193,3437.59
970000,9.6367,15.9819,-705.572265625,194,3029.61,194,3500.19
975000,10.3052,16.1722,-961.2549438476562,195,3334.29,195,3497.13
980000,19.7193,17.215,-1541.9774169921875,196,3098.02,196,3487.79
985000,21.7115,18.1637,-1815.0716552734375,197,2636.51,197,3518.36
990000,19.4645,17.1902,-1602.3907470703125,198,3181.9,198,3491.55
995000,20.6183,16.3455,-1469.8067626953125,199,2993.79,199,3504.43
