Real Sto Return,Running Forward KL,Itration,Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return
1072.37,386.5522,54,54,260.51,270000,-11165.6875,1250.94
1320.94,384.4048,55,55,230.114,275000,-10701.767578125,2551.39
1548.13,366.1477,56,56,212.6797,280000,-10175.640625,3418.77
1113.87,393.7038,57,57,263.3244,285000,-11686.703125,1784.39
1131.82,391.1577,58,58,253.0567,290000,-11205.9912109375,2918.44
1431.91,372.3546,59,59,224.7745,295000,-10473.9072265625,2279.58
1491.62,374.5718,60,60,239.6453,300000,-11094.060546875,1161.47
2499.6,369.4673,61,61,232.2926,305000,-10639.7861328125,2623.56
1964.43,378.0515,62,62,237.3099,310000,-11261.361328125,1935.09
1121.22,378.814,63,63,257.5941,315000,-11544.359375,1656.08
1446.72,382.5379,64,64,268.5417,320000,-11704.7119140625,1583.03
1241.01,386.2623,65,65,234.8336,325000,-11634.146484375,1762.02
2025.51,362.359,66,66,217.1149,330000,-10821.7119140625,1810.56
2176.27,353.4589,67,67,204.47,335000,-9848.5908203125,3097.98
2623.79,367.2336,68,68,254.6193,340000,-10748.5556640625,3191.54
3143.28,356.5461,69,69,187.7938,345000,-9755.388671875,4477.81
3864.7,345.6551,70,70,168.5721,350000,-7578.79150390625,4466.89
2478.34,355.4417,71,71,184.5063,355000,-8417.232421875,2337.85
2992.11,345.0231,72,72,209.0587,360000,-10092.412109375,1768.58
2568.45,360.8825,73,73,196.1574,365000,-9702.9765625,4149.13
2612.53,343.6176,74,74,156.7003,370000,-8027.4697265625,3433.08
2836.44,368.2044,75,75,211.0509,375000,-10729.10546875,3148.91
4133.0,349.1788,76,76,177.5595,380000,-8686.470703125,5032.86
4671.01,344.32,77,77,172.3353,385000,-8776.587890625,5278.73
2675.66,350.1239,78,78,194.0557,390000,-10260.1484375,4174.92
4510.47,337.9955,79,79,146.2095,395000,-7578.291015625,4062.79
4140.26,344.6178,80,80,169.6766,400000,-8727.30078125,4658.4
3693.4,332.139,81,81,141.7686,405000,-6919.40185546875,5280.07
3267.63,344.1057,82,82,170.6571,410000,-8889.951171875,5395.23
3279.03,337.6655,83,83,155.0175,415000,-8153.82275390625,5373.64
4035.0,338.2617,84,84,139.9994,420000,-6977.47607421875,5393.68
4357.6,344.3081,85,85,160.758,425000,-7521.05517578125,5210.88
3031.76,348.9379,86,86,186.1653,430000,-9603.388671875,4568.14
3431.39,348.4275,87,87,157.9445,435000,-7437.4921875,5409.67
3482.77,339.8849,88,88,153.0911,440000,-8079.8408203125,5203.94
4113.77,348.6909,89,89,173.7377,445000,-9036.6494140625,5376.35
3948.46,340.8543,90,90,170.7383,450000,-9003.2783203125,5408.1
4918.38,340.5314,91,91,150.2687,455000,-7722.2158203125,5199.99
4669.77,346.0811,92,92,151.378,460000,-7855.10888671875,5355.78
4109.48,334.0305,93,93,152.2162,465000,-8772.318359375,5013.75
3633.79,346.8351,94,94,184.8798,470000,-8558.77734375,5241.49
3991.97,335.4741,95,95,144.0256,475000,-8072.599609375,4806.39
3821.44,347.6055,96,96,183.2954,480000,-9937.4365234375,4977.32
4604.03,339.9762,97,97,153.916,485000,-7970.6142578125,5375.21
4792.95,348.9519,98,98,169.7008,490000,-9424.578125,3101.16
4614.77,336.2693,99,99,156.4087,495000,-8312.0654296875,5204.64
4690.93,346.8987,100,100,170.7254,500000,-9797.9677734375,4745.25
4957.7,355.0157,101,101,172.5824,505000,-9839.6396484375,3122.22
4907.73,347.0118,102,102,172.8793,510000,-10245.96875,4262.56
4101.82,342.186,103,103,156.0681,515000,-10026.4677734375,5081.4
4842.58,348.4395,104,104,166.6385,520000,-10451.1455078125,4763.14
5100.56,343.9517,105,105,161.0024,525000,-10112.857421875,5181.21
3971.29,346.5865,106,106,173.254,530000,-10968.5849609375,3815.12
4669.96,341.7983,107,107,170.0097,535000,-10739.40625,5337.37
4411.3,358.3331,108,108,194.9109,540000,-11191.501953125,5375.88
5059.9,334.0148,109,109,157.9471,545000,-10253.359375,5394.69
4741.94,346.5645,110,110,160.5633,550000,-10545.5048828125,5441.81
5279.83,348.642,111,111,175.3561,555000,-11020.91015625,5391.6
4941.85,337.6131,112,112,154.2922,560000,-10767.75,5423.11
4849.46,347.9887,113,113,165.5028,565000,-11260.9287109375,5443.16
4113.44,369.497,114,114,210.8449,570000,-13075.7919921875,5173.45
4522.93,338.003,115,115,153.171,575000,-11531.318359375,5287.57
5092.65,353.5876,116,116,197.8319,580000,-12390.1328125,4209.43
3452.36,352.4608,117,117,195.6101,585000,-12849.8916015625,5210.57
608.55,435.096,118,118,289.4551,590000,-14460.6796875,586.39
956.61,391.2246,119,119,267.3083,595000,-13633.9169921875,638.38
310.4,462.8878,120,120,320.9156,600000,-14831.2880859375,374.44
1420.97,395.6488,121,121,264.9263,605000,-14914.9248046875,1147.22
368.64,481.8568,122,122,302.1573,610000,-15978.1494140625,343.21
1204.42,406.5573,123,123,258.9719,615000,-15531.189453125,1078.04
517.38,460.8039,124,124,305.38,620000,-16157.1865234375,441.44
299.22,483.1719,125,125,336.5677,625000,-15806.8251953125,301.05
515.63,430.6468,126,126,326.9796,630000,-15901.451171875,512.46
632.14,422.5874,127,127,304.7213,635000,-16029.8095703125,552.17
520.89,446.2595,128,128,285.1588,640000,-15683.7001953125,463.35
616.05,424.2782,129,129,281.14,645000,-16289.0244140625,813.71
1147.67,421.0926,130,130,256.907,650000,-16408.900390625,1482.54
995.36,428.0099,131,131,246.6207,655000,-16227.2607421875,484.14
3347.86,353.0293,132,132,179.9683,660000,-13563.0126953125,3455.46
2378.45,362.1925,133,133,214.0365,665000,-14734.03125,2015.19
5045.42,364.007,134,134,183.7927,670000,-13539.1484375,5302.64
4733.98,358.6677,135,135,174.79,675000,-13036.9755859375,5464.42
4812.93,352.1652,136,136,177.7666,680000,-12460.95703125,5080.78
5344.76,350.1754,137,137,172.9277,685000,-12570.455078125,4663.28
4988.01,343.55,138,138,162.8697,690000,-13610.77734375,5526.98
5210.38,347.0135,139,139,161.4473,695000,-13014.4267578125,5673.6
4973.53,356.0075,140,140,172.2451,700000,-13812.06640625,5587.5
5209.82,358.4335,141,141,177.0387,705000,-13215.552734375,5578.62
4111.1,363.9972,142,142,186.212,710000,-14055.771484375,4789.24
4835.94,363.0992,143,143,185.7938,715000,-14379.599609375,5530.43
4479.26,379.9634,144,144,227.0056,720000,-14633.568359375,5663.68
3078.82,380.1655,145,145,217.2692,725000,-15272.8173828125,4991.78
4551.11,350.8768,146,146,178.3094,730000,-14231.8515625,5243.36
4760.89,359.8989,147,147,184.9147,735000,-14307.765625,5480.74
4523.52,354.2962,148,148,163.6349,740000,-14527.9580078125,5318.35
4781.07,368.2911,149,149,193.6795,745000,-15137.0048828125,5310.21
4398.02,333.9436,150,150,147.6759,750000,-14917.564453125,5450.82
3824.27,329.6823,151,151,145.7654,755000,-14476.4384765625,5441.4
2917.53,386.9166,152,152,258.6293,760000,-16028.9111328125,5367.55
3816.07,324.5562,153,153,166.8022,765000,-14661.7431640625,5235.62
5019.32,335.0764,154,154,149.3449,770000,-14465.5283203125,5371.74
3284.13,335.3647,155,155,194.2726,775000,-15220.521484375,2748.99
1923.87,346.5868,156,156,230.289,780000,-15544.287109375,3234.65
4516.59,324.754,157,157,145.4806,785000,-14842.189453125,5439.58
4815.97,332.099,158,158,156.7412,790000,-15060.841796875,5366.5
3767.81,321.8433,159,159,146.4366,795000,-15069.3447265625,2595.43
5186.13,331.7903,160,160,152.9162,800000,-15219.044921875,5507.55
4474.67,359.3663,161,161,192.5856,805000,-15773.58203125,4804.03
4613.1,328.406,162,162,141.8911,810000,-15105.1025390625,5521.91
4828.73,343.5221,163,163,172.2961,815000,-15163.1005859375,5635.95
4754.04,352.7742,164,164,174.4668,820000,-15602.4765625,5097.37
2630.41,351.3647,165,165,190.3888,825000,-15992.205078125,4227.57
4104.69,345.0504,166,166,162.8378,830000,-15385.216796875,2910.18
4382.6,350.236,167,167,176.3466,835000,-15927.3125,4969.7
4613.93,346.8847,168,168,170.2288,840000,-15989.888671875,5303.15
4836.54,364.7568,169,169,196.8122,845000,-16353.6513671875,5471.82
4797.29,345.8419,170,170,170.6903,850000,-15838.462890625,5069.66
4903.22,349.953,171,171,187.0754,855000,-15997.3603515625,5530.16
4958.85,339.4701,172,172,160.0343,860000,-16224.7939453125,5018.16
5100.76,350.6776,173,173,171.2033,865000,-16313.2626953125,5326.46
3701.77,372.436,174,174,216.7973,870000,-16602.095703125,3557.68
5355.6,350.6501,175,175,182.2452,875000,-16216.3662109375,5496.52
4893.71,355.0123,176,176,206.0232,880000,-16579.517578125,5383.52
5199.29,335.3803,177,177,147.3757,885000,-16032.642578125,5364.13
5072.94,355.9464,178,178,191.9439,890000,-16423.46484375,5043.85
5258.13,334.0028,179,179,150.0833,895000,-16006.0537109375,5471.92
5145.27,328.5975,180,180,135.1695,900000,-15538.724609375,5198.32
5148.02,324.3562,181,181,130.4,905000,-16015.8955078125,5274.42
5253.11,339.3461,182,182,160.2032,910000,-16111.013671875,5455.93
5389.55,338.582,183,183,175.297,915000,-16330.6162109375,5550.66
5262.79,347.089,184,184,173.2502,920000,-16603.32421875,5603.08
4869.12,334.2932,185,185,146.0543,925000,-16280.5576171875,5487.86
5036.32,330.7743,186,186,135.2297,930000,-16399.521484375,5260.7
4981.12,326.9723,187,187,134.7816,935000,-16454.029296875,5180.01
4940.21,340.3001,188,188,153.6478,940000,-16861.880859375,5156.38
5095.3,324.0808,189,189,130.6565,945000,-16061.2353515625,4897.16
5478.87,329.733,190,190,154.7449,950000,-15987.2509765625,5531.79
5460.42,346.9003,191,191,184.1184,955000,-16652.34375,5559.64
5196.34,326.4887,192,192,134.2825,960000,-16184.5966796875,5510.9
5349.59,346.4256,193,193,162.2438,965000,-16876.080078125,5288.5
4988.98,329.4878,194,194,145.1126,970000,-16762.828125,5194.43
5490.46,334.5971,195,195,151.2446,975000,-16544.822265625,5608.99
5241.5,316.2982,196,196,128.1902,980000,-16417.869140625,5067.38
4725.07,325.9227,197,197,127.2356,985000,-16609.294921875,5103.31
5556.83,335.0302,198,198,181.6235,990000,-16972.6328125,5877.28
4978.82,315.4718,199,199,123.031,995000,-16966.701171875,5257.71
4864.91,324.5997,200,200,138.6445,1000000,-16549.75390625,5215.6
4708.73,316.9147,201,201,127.2702,1005000,-16363.94921875,5509.52
5157.46,326.1241,202,202,143.5016,1010000,-16729.9921875,5462.42
5221.03,319.727,203,203,135.5609,1015000,-16131.0673828125,5352.3
4369.49,326.5343,204,204,153.1682,1020000,-16201.19140625,5049.22
3078.81,338.625,205,205,172.3856,1025000,-16222.5380859375,3394.66
4064.53,318.7113,206,206,144.1637,1030000,-16104.177734375,4483.75
5367.31,340.7441,207,207,166.9703,1035000,-17333.0625,5487.29
5420.45,335.681,208,208,165.1171,1040000,-17224.861328125,5343.0
5459.43,333.0907,209,209,155.6395,1045000,-17083.869140625,5376.3
5310.14,337.9204,210,210,161.5828,1050000,-17028.609375,5348.38
5278.43,343.161,211,211,172.6592,1055000,-16902.193359375,5763.52
4950.09,360.6344,212,212,196.9329,1060000,-17149.169921875,4387.63
5365.98,336.7616,213,213,162.0225,1065000,-17283.69140625,5648.41
4691.16,354.9472,214,214,190.319,1070000,-17391.62890625,5838.31
5343.44,349.468,215,215,186.6777,1075000,-17317.84765625,5753.51
5297.99,361.7298,216,216,199.9383,1080000,-17268.599609375,5895.7
5493.39,358.458,217,217,189.8241,1085000,-17501.83203125,5900.28
3385.93,392.2748,218,218,232.462,1090000,-17712.91015625,5865.11
