Itration,Real Det Return,Real Sto Return,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps
93,3288.54,3312.36,93,-3646.863037109375,59.8791,36.895,465000
94,3495.08,3376.42,94,-3492.3271484375,60.2458,41.036,470000
95,4361.38,4071.31,95,-3224.229736328125,59.8705,42.6254,475000
96,4493.44,4119.15,96,-2768.3076171875,62.5101,50.8408,480000
97,4388.99,3538.42,97,-3731.28173828125,61.822,40.3581,485000
98,4365.75,4215.24,98,-3106.3818359375,63.6991,53.1711,490000
99,4365.81,3422.27,99,-3210.525390625,60.9175,44.8766,495000
100,4681.14,4302.53,100,-4061.48779296875,60.3966,37.7878,500000
101,4379.79,4183.61,101,-3631.321044921875,61.6815,46.2925,505000
102,4210.02,4091.57,102,-4147.9462890625,59.809,36.1573,510000
103,4648.89,4353.66,103,-3896.6630859375,63.8485,52.503,515000
104,4713.09,3992.95,104,-3405.61376953125,64.2877,52.6048,520000
105,4752.45,3970.97,105,-3645.5517578125,61.6538,45.1347,525000
106,3006.32,3463.92,106,-3286.278564453125,63.3329,51.9224,530000
107,4214.73,4398.02,107,-3889.09912109375,61.4411,43.3161,535000
108,4486.05,3742.18,108,-3909.544677734375,60.8675,43.2046,540000
109,4679.26,4784.07,109,-3693.583251953125,64.7906,54.6924,545000
110,4850.62,4409.11,110,-3670.476806640625,64.6035,54.696,550000
111,4740.18,4802.19,111,-3631.679443359375,63.7982,54.1644,555000
112,5121.28,4355.36,112,-4182.1337890625,62.8101,49.7249,560000
113,3619.77,3416.5,113,-4006.124267578125,61.6422,48.8592,565000
114,4734.92,4351.03,114,-4307.6064453125,59.8977,43.4566,570000
115,4704.76,4366.89,115,-4399.26708984375,61.1336,45.1056,575000
116,5154.53,4791.35,116,-4470.48388671875,62.2347,47.0832,580000
117,5154.64,4141.84,117,-4573.955078125,61.4075,45.7883,585000
118,4458.78,4278.32,118,-4609.2236328125,61.4648,49.328,590000
119,4713.49,4392.35,119,-4368.81689453125,66.218,55.4321,595000
120,4470.35,4286.92,120,-4595.14013671875,62.1808,51.512,600000
121,4873.55,4676.23,121,-4727.20166015625,65.1563,57.5747,605000
122,4995.21,4703.34,122,-4905.81201171875,63.4887,52.8861,610000
123,5493.64,5001.58,123,-4885.4072265625,62.7062,51.8497,615000
124,4163.81,4298.64,124,-4953.287109375,60.8947,43.7356,620000
125,4832.88,4237.18,125,-4856.35107421875,63.4019,53.2115,625000
126,4764.08,4393.33,126,-4743.81591796875,66.4711,58.2166,630000
127,4633.31,4150.67,127,-5044.25537109375,63.7116,55.7198,635000
128,5359.74,4571.96,128,-5285.455078125,65.3832,57.7875,640000
129,4676.97,4637.09,129,-5533.94140625,62.6569,48.0628,645000
130,4498.73,3192.87,130,-5325.0029296875,63.7511,54.6373,650000
131,5021.54,4411.78,131,-5476.4111328125,64.0227,52.8066,655000
132,5238.56,4132.82,132,-5417.029296875,64.4337,54.5432,660000
133,4534.62,4469.88,133,-5515.83447265625,67.7853,59.1891,665000
134,4830.73,4241.63,134,-5727.1279296875,68.3138,60.4309,670000
135,5224.43,4956.93,135,-5745.064453125,65.3783,59.2586,675000
136,4764.31,4054.7,136,-5721.64111328125,65.7528,58.7316,680000
137,4958.91,4608.62,137,-6049.92578125,62.3704,47.6015,685000
138,5230.43,4752.89,138,-6083.662109375,62.7947,52.3596,690000
139,5185.7,4324.23,139,-6136.97119140625,66.0906,58.5663,695000
140,5198.38,4030.43,140,-6343.51171875,62.9986,50.9245,700000
141,4883.21,4217.18,141,-6672.38232421875,62.9659,50.7816,705000
142,4971.26,4260.46,142,-6532.82470703125,65.3834,55.25,710000
143,5180.52,4415.17,143,-6667.71044921875,64.8376,56.1029,715000
144,5045.29,4389.82,144,-6528.2607421875,63.2376,52.3528,720000
145,5022.95,4924.79,145,-6771.52734375,64.3115,57.7703,725000
146,5031.16,4476.37,146,-7007.55078125,66.187,58.9449,730000
147,5581.78,4564.66,147,-7042.93505859375,64.9543,56.0857,735000
148,5396.18,4302.76,148,-6955.25244140625,64.932,56.1617,740000
149,5039.19,4450.08,149,-7285.79443359375,63.9472,54.8936,745000
150,5214.64,4224.98,150,-7520.87939453125,61.9505,44.2577,750000
151,5440.38,4807.1,151,-7819.91259765625,67.9707,62.073,755000
152,4895.1,4753.62,152,-7657.41259765625,63.8932,53.8285,760000
153,4915.29,4161.82,153,-7672.94873046875,63.3683,53.0575,765000
154,5408.62,5313.65,154,-7844.31005859375,61.8941,44.8096,770000
155,5672.41,4626.13,155,-8290.9169921875,62.6128,52.5919,775000
156,5161.77,4852.74,156,-8050.37109375,65.347,59.9057,780000
157,5253.61,4846.43,157,-8238.087890625,66.0908,57.2025,785000
158,5567.18,4864.06,158,-8695.6806640625,66.3925,57.8929,790000
159,4519.93,4408.09,159,-8748.357421875,65.9555,57.6267,795000
160,4374.95,3540.2,160,-8477.869140625,61.157,46.61,800000
161,5562.65,4796.46,161,-8873.9892578125,62.9155,48.5717,805000
162,5075.85,4501.71,162,-8883.6513671875,63.6842,55.558,810000
163,5227.04,4400.13,163,-9068.9306640625,65.2803,56.9238,815000
164,5200.4,5036.9,164,-9282.30859375,61.9551,46.7017,820000
165,5206.25,5000.84,165,-9784.70703125,67.6191,61.0437,825000
166,5388.48,4906.6,166,-9628.486328125,62.8843,49.7443,830000
167,5264.39,4655.43,167,-9842.798828125,65.5204,56.6677,835000
168,5528.97,5070.71,168,-9903.5361328125,63.8688,51.4114,840000
169,4942.4,5010.19,169,-10130.244140625,65.1095,54.8377,845000
170,5155.66,4822.75,170,-10101.6240234375,63.8697,56.3774,850000
171,5694.14,4160.4,171,-10367.11328125,67.5165,61.6616,855000
172,5217.78,5192.48,172,-10657.9697265625,65.6983,56.7738,860000
173,5590.89,5062.24,173,-10515.0009765625,60.8296,45.3303,865000
174,5231.98,5120.89,174,-10974.9384765625,65.9384,59.617,870000
175,5116.87,5337.29,175,-11244.619140625,66.6061,56.851,875000
176,5522.62,5126.37,176,-11263.4990234375,65.4793,59.8117,880000
177,4454.15,3859.35,177,-10914.0888671875,66.7642,56.9134,885000
178,4643.41,4363.46,178,-11325.8701171875,62.223,46.228,890000
179,5511.08,5066.31,179,-11909.0966796875,64.0135,53.6246,895000
180,4417.68,4372.5,180,-11794.939453125,65.9948,56.7417,900000
181,5387.09,4973.35,181,-11628.3701171875,62.9914,48.5665,905000
182,5126.34,4739.12,182,-12314.197265625,66.7944,60.3468,910000
183,5350.08,4765.77,183,-12731.9775390625,67.8164,63.3634,915000
184,5430.8,4687.0,184,-12276.5556640625,63.4246,50.901,920000
185,4784.12,4825.45,185,-12470.130859375,65.1114,53.1516,925000
186,5143.27,4595.01,186,-12558.9560546875,67.0651,60.4364,930000
187,5810.38,5097.56,187,-12954.111328125,66.4493,57.996,935000
188,5172.97,4694.35,188,-13176.10546875,65.6522,56.1026,940000
189,5336.47,5206.35,189,-13715.634765625,66.3657,59.6716,945000
190,5023.18,5043.77,190,-13148.794921875,62.2185,43.8558,950000
191,5578.44,5227.89,191,-13925.3359375,64.394,54.724,955000
192,5555.55,4933.86,192,-14058.662109375,66.5572,58.492,960000
193,5193.14,4681.31,193,-14126.947265625,63.047,52.8401,965000
194,5235.12,4568.92,194,-14286.9345703125,64.4135,52.3576,970000
195,5110.59,4907.01,195,-14525.90625,63.2647,52.3026,975000
196,5393.8,5493.93,196,-14840.2578125,64.9246,56.5652,980000
197,5821.2,4541.83,197,-14662.4775390625,64.8795,54.2863,985000
198,5519.98,4813.76,198,-15012.67578125,67.1133,59.6783,990000
199,5804.92,4901.87,199,-15264.2373046875,64.0364,53.7107,995000
200,4958.28,5007.32,200,-15049.4833984375,62.8742,47.818,1000000
201,5847.32,5446.21,201,-16120.9716796875,66.8918,59.0256,1005000
202,5524.56,4977.36,202,-16267.833984375,67.5591,60.717,1010000
203,5133.09,4676.94,203,-16271.3798828125,65.3266,58.6433,1015000
204,5256.48,5107.47,204,-16380.2392578125,65.9627,55.2333,1020000
205,5646.01,5038.98,205,-16109.2236328125,63.1608,47.0296,1025000
206,5273.81,4553.77,206,-16937.3359375,66.9544,60.2308,1030000
207,5527.09,4746.79,207,-16995.1640625,65.3283,58.7476,1035000
208,5241.17,4544.4,208,-17248.359375,65.289,57.5389,1040000
209,5454.22,5301.6,209,-17346.955078125,67.1898,61.5063,1045000
210,5321.14,4401.07,210,-17590.455078125,65.1911,57.0496,1050000
211,5167.38,5115.46,211,-18003.75,66.7664,60.2168,1055000
212,5658.34,5008.78,212,-18169.001953125,67.2153,59.5417,1060000
213,5364.46,4978.52,213,-18188.451171875,66.7684,58.2985,1065000
214,5792.16,4890.93,214,-19020.146484375,68.6363,64.8555,1070000
215,5473.96,5050.36,215,-18473.677734375,67.4008,60.8734,1075000
216,5903.42,5102.17,216,-18794.63671875,66.7889,60.9018,1080000
217,5281.42,4285.41,217,-19086.818359375,67.9245,62.548,1085000
218,5471.05,5162.02,218,-19138.947265625,65.9554,61.9291,1090000
219,5722.08,4948.05,219,-19432.505859375,66.0381,56.405,1095000
220,5609.25,5052.38,220,-20361.04296875,68.6996,63.362,1100000
221,5800.48,5291.26,221,-19523.849609375,64.7568,56.9507,1105000
222,5131.38,5045.3,222,-19800.705078125,66.2377,60.0339,1110000
223,5620.44,5285.24,223,-20224.314453125,67.8998,60.8949,1115000
224,5933.5,5185.77,224,-20316.5546875,67.9651,61.6137,1120000
225,5685.15,5427.44,225,-20831.26953125,68.7246,66.7631,1125000
226,5747.19,4550.11,226,-20426.796875,65.032,57.2341,1130000
227,5911.61,5101.57,227,-20937.828125,67.3657,61.6466,1135000
228,5934.04,5436.08,228,-20918.697265625,67.9836,64.073,1140000
229,5706.83,5323.71,229,-21387.484375,66.2231,61.1219,1145000
230,5373.03,4838.61,230,-20960.443359375,64.9305,57.3145,1150000
231,5592.19,4270.13,231,-21455.072265625,65.1655,56.704,1155000
232,5696.24,5120.59,232,-22359.59765625,69.6824,68.7559,1160000
233,5032.95,4935.76,233,-22168.990234375,66.9476,60.9741,1165000
234,5209.65,5059.86,234,-22894.546875,69.8717,65.995,1170000
235,5262.0,5008.25,235,-22782.798828125,68.8998,65.5284,1175000
236,5647.49,5014.83,236,-22555.24609375,67.6277,60.2988,1180000
237,5826.8,4693.21,237,-22635.705078125,65.5282,58.9604,1185000
238,5915.38,4987.61,238,-22970.931640625,65.6888,56.695,1190000
239,5759.79,5073.52,239,-22808.568359375,65.2785,59.5577,1195000
240,4714.79,4985.58,240,-23014.515625,65.386,55.1721,1200000
241,5786.56,4836.39,241,-23946.876953125,68.2264,64.955,1205000
242,5616.57,4827.85,242,-23682.861328125,66.6784,60.5764,1210000
243,5908.18,5441.76,243,-23716.94140625,65.4927,55.9189,1215000
244,5395.5,5339.1,244,-24405.57421875,68.6266,64.2339,1220000
245,5408.91,5028.34,245,-23971.701171875,66.2701,58.2617,1225000
246,6027.37,4643.24,246,-24834.486328125,66.9556,63.4381,1230000
247,4886.83,4322.28,247,-23089.783203125,63.7245,51.804,1235000
248,5861.7,5347.95,248,-24859.21875,67.6904,59.6689,1240000
249,5777.76,4349.63,249,-23900.107421875,64.1399,53.2922,1245000
250,6064.68,4788.52,250,-24334.181640625,64.0326,54.828,1250000
251,5952.85,5626.14,251,-25320.4609375,66.1865,58.019,1255000
252,5239.53,4838.25,252,-26084.61328125,68.2571,64.039,1260000
253,5394.01,4432.07,253,-25346.197265625,66.4031,59.5694,1265000
254,5415.65,4588.88,254,-24677.18359375,63.9999,55.2353,1270000
255,6050.3,4915.31,255,-26184.640625,69.0828,65.1572,1275000
256,6044.46,5277.67,256,-26249.62109375,68.3754,60.3807,1280000
257,6111.55,5027.22,257,-25534.478515625,64.5782,55.6068,1285000
258,6194.32,4547.76,258,-26791.880859375,68.3073,64.4407,1290000
259,5522.73,5028.67,259,-27014.640625,67.5832,62.9713,1295000
260,6016.98,5322.09,260,-27187.123046875,69.4621,63.7131,1300000
261,6046.03,5782.0,261,-26202.51171875,64.3407,53.8816,1305000
262,5963.6,5498.43,262,-26184.318359375,64.5113,53.7766,1310000
263,5324.0,5651.18,263,-26224.111328125,63.7679,53.6223,1315000
264,6184.4,5588.72,264,-27751.107421875,67.2736,62.4577,1320000
265,5572.55,5550.74,265,-28107.318359375,67.9,60.0184,1325000
266,5482.69,5219.48,266,-26955.193359375,64.5199,53.1022,1330000
267,5732.39,5369.02,267,-27490.685546875,63.8468,56.1779,1335000
268,5507.22,4880.54,268,-28631.802734375,67.4911,59.8909,1340000
269,5424.72,4476.67,269,-27907.048828125,63.7577,53.9215,1345000
270,6159.32,4865.28,270,-28972.978515625,69.0498,61.4668,1350000
271,5824.27,5099.19,271,-28218.1953125,64.6735,53.0725,1355000
272,5535.43,5186.24,272,-29525.314453125,66.3634,61.1575,1360000
273,6018.09,4986.7,273,-29586.98046875,68.6559,62.6782,1365000
274,5813.56,5507.74,274,-28773.736328125,65.2681,56.6785,1370000
275,6247.11,4877.82,275,-30217.38671875,67.9394,63.9519,1375000
276,5711.18,4823.6,276,-30319.228515625,67.5517,62.1418,1380000
277,5736.09,4993.58,277,-28929.869140625,64.0108,54.0789,1385000
278,5137.01,4602.78,278,-29544.6328125,64.2238,53.919,1390000
279,5917.62,5544.17,279,-29542.30859375,65.8238,57.6749,1395000
280,6200.74,5552.74,280,-29557.857421875,65.7459,56.9453,1400000
281,5628.99,5206.64,281,-30380.14453125,65.6766,56.6914,1405000
282,5107.37,4756.16,282,-30190.876953125,65.0425,56.2347,1410000
283,6166.11,5732.14,283,-30333.98046875,65.7868,58.2788,1415000
284,6043.34,5001.86,284,-32075.96875,68.3501,62.7841,1420000
285,5429.18,5345.51,285,-31677.9296875,66.8105,59.1963,1425000
286,5647.74,4884.04,286,-32397.384765625,67.4356,60.9638,1430000
287,5612.73,4517.64,287,-31478.146484375,65.9638,56.5438,1435000
288,5928.74,5060.93,288,-32886.421875,67.3583,61.669,1440000
289,5918.9,5092.86,289,-31563.7890625,64.3362,54.4455,1445000
290,5832.61,5543.18,290,-33050.1875,68.1585,62.536,1450000
291,6206.99,5280.5,291,-33555.71875,67.855,60.7563,1455000
292,5727.55,5382.79,292,-33512.828125,67.9632,59.5318,1460000
293,5533.31,5166.29,293,-33860.83984375,67.3224,60.5456,1465000
294,5521.46,5755.87,294,-32879.85546875,65.199,54.1648,1470000
295,5761.43,5233.35,295,-33357.390625,64.9758,54.1692,1475000
296,5352.66,4966.5,296,-34682.03125,69.6558,63.828,1480000
297,6210.7,5413.67,297,-32928.69140625,64.7482,57.5834,1485000
298,6230.36,5559.24,298,-33496.265625,64.6985,54.8032,1490000
299,5580.33,5535.29,299,-35141.4140625,68.4152,60.0839,1495000
300,6192.94,5765.52,300,-34904.05078125,67.6569,63.2674,1500000
301,6127.97,5096.89,301,-34658.98828125,66.4925,59.7415,1505000
302,5926.15,5458.74,302,-33967.59375,65.5533,53.4084,1510000
303,5450.59,4637.52,303,-36286.84765625,67.9885,62.3159,1515000
304,5411.42,5020.86,304,-35494.33984375,66.0542,57.8607,1520000
305,5838.39,5462.81,305,-33719.54296875,64.2171,53.2117,1525000
306,5757.63,5260.87,306,-35154.4453125,65.0183,58.1111,1530000
307,6193.9,5271.52,307,-36626.53125,66.6271,59.2178,1535000
308,6276.27,5649.32,308,-37046.015625,67.2668,59.949,1540000
309,6253.56,5739.47,309,-37041.0546875,66.7849,58.6598,1545000
310,6222.6,5154.22,310,-38162.4375,68.1279,58.4926,1550000
311,6240.29,5426.32,311,-36595.78515625,65.3145,55.0428,1555000
312,5997.48,5373.12,312,-38419.375,67.5456,62.2418,1560000
313,6141.21,5442.45,313,-38865.5859375,69.413,62.1935,1565000
314,5827.5,5429.88,314,-38458.515625,67.7905,62.2142,1570000
315,5841.49,5018.72,315,-38207.34375,66.3035,56.8969,1575000
316,6054.27,5334.27,316,-38780.49609375,67.8719,61.3133,1580000
317,6191.56,5492.84,317,-39965.14453125,67.8684,63.3648,1585000
318,5707.19,5238.28,318,-39873.33203125,67.6851,60.8348,1590000
319,5529.6,5813.94,319,-39946.0390625,68.0908,60.1172,1595000
320,6265.05,5245.69,320,-40073.1953125,67.0459,57.0271,1600000
321,6206.2,5449.31,321,-36963.609375,64.1201,50.754,1605000
322,6014.64,5364.87,322,-40268.62109375,67.892,58.8587,1610000
323,6138.83,5543.8,323,-41154.578125,69.2553,62.604,1615000
324,6036.8,5159.07,324,-41941.07421875,68.2356,61.6212,1620000
325,6020.1,5405.06,325,-38428.640625,64.485,50.9449,1625000
326,6082.54,5319.82,326,-39709.21875,66.2708,55.8882,1630000
327,6008.32,4961.45,327,-41638.83984375,67.9001,60.2014,1635000
328,5753.44,5028.52,328,-41977.375,66.4176,57.1396,1640000
329,6236.07,5352.1,329,-40504.17578125,66.1122,57.53,1645000
330,5998.66,4947.03,330,-42711.84765625,68.634,62.6143,1650000
331,6008.82,5167.36,331,-41453.15625,65.8275,57.9127,1655000
332,6305.89,5679.86,332,-43416.046875,68.5278,60.2836,1660000
333,6143.83,5776.09,333,-40542.53125,64.4579,56.3121,1665000
334,6017.78,5447.48,334,-42304.5625,66.5188,57.4116,1670000
335,5197.96,5032.16,335,-39510.40234375,64.0257,52.2822,1675000
336,6029.0,5130.21,336,-44331.87890625,67.9276,60.1288,1680000
337,6131.43,5497.8,337,-43051.390625,65.4768,55.0197,1685000
338,6263.16,5377.6,338,-44768.453125,68.7323,62.7452,1690000
339,6229.66,5698.35,339,-44961.578125,69.086,62.1249,1695000
340,6094.11,5066.97,340,-41331.734375,64.5239,50.1554,1700000
341,5999.11,4627.09,341,-41567.109375,64.6428,54.1231,1705000
342,6286.46,4703.42,342,-41662.6953125,65.0552,52.9289,1710000
343,5951.96,4778.07,343,-38580.90625,64.203,45.9296,1715000
344,6283.6,5220.54,344,-42624.7578125,64.7048,52.6084,1720000
345,5805.01,5223.67,345,-45018.1484375,66.6827,56.6205,1725000
346,6017.65,4784.57,346,-45777.36328125,66.0214,58.5972,1730000
347,6040.26,5088.24,347,-44130.421875,63.8594,54.2045,1735000
348,6042.53,4843.17,348,-45864.41015625,67.9937,57.576,1740000
349,5357.83,4712.18,349,-46502.296875,68.2055,59.1839,1745000
350,6314.08,5724.39,350,-47180.1171875,67.6919,61.9141,1750000
351,5965.32,5212.37,351,-42417.0546875,62.6874,50.9875,1755000
352,5564.65,5467.94,352,-48248.34765625,67.9866,61.5329,1760000
353,6230.22,5511.98,353,-44913.63671875,65.1281,54.7862,1765000
354,5935.49,5022.35,354,-47871.703125,67.2648,62.3556,1770000
355,5983.27,5496.33,355,-47698.33203125,67.257,58.4414,1775000
356,5995.74,5576.04,356,-48547.0703125,67.6751,59.5913,1780000
357,6264.99,5638.07,357,-48621.515625,67.9458,59.8824,1785000
358,6320.76,5352.79,358,-49029.984375,67.5574,61.6219,1790000
359,6225.06,4664.88,359,-45371.0546875,64.3433,55.2049,1795000
360,5953.27,4175.67,360,-48705.37109375,67.5771,60.5266,1800000
361,6196.46,5453.85,361,-42419.48046875,62.7108,47.3442,1805000
362,6214.78,5442.98,362,-50201.90234375,68.3922,63.3752,1810000
363,6232.85,4568.82,363,-44074.80859375,65.0459,50.0023,1815000
364,5574.83,5160.11,364,-43956.04296875,63.1798,49.7524,1820000
365,5749.73,5316.8,365,-48423.6171875,65.8301,57.5021,1825000
366,6154.19,5173.72,366,-49174.4765625,68.1699,57.9969,1830000
367,6279.42,5235.7,367,-50377.0,68.1717,60.5864,1835000
368,5971.06,4989.43,368,-47142.48828125,65.1694,56.4197,1840000
369,6242.95,5450.88,369,-50309.71875,68.2216,59.384,1845000
370,5520.73,4565.34,370,-49287.17578125,67.1125,57.3852,1850000
371,5608.48,5432.11,371,-42904.66796875,64.4812,50.1313,1855000
372,5861.03,4573.83,372,-50534.37890625,65.93,57.5264,1860000
373,5912.3,4995.78,373,-47256.7421875,64.3628,54.5143,1865000
374,5532.84,5325.06,374,-49835.28515625,66.1361,57.031,1870000
375,5904.18,5131.28,375,-50909.5234375,65.9624,59.069,1875000
376,5524.53,5482.45,376,-51048.640625,66.7666,57.264,1880000
377,5933.3,4463.43,377,-48704.296875,65.193,56.1329,1885000
378,5682.3,4886.01,378,-51553.55078125,67.0168,58.3034,1890000
379,5759.89,4733.85,379,-52001.86328125,66.9095,57.0904,1895000
380,5450.9,4996.77,380,-47782.8359375,63.9858,51.784,1900000
381,5957.44,5723.18,381,-50374.53125,66.15,54.559,1905000
382,5998.24,4726.19,382,-49217.421875,64.7205,56.1751,1910000
383,6026.92,5202.66,383,-48671.50390625,65.1458,52.4262,1915000
384,5897.53,4942.19,384,-49544.484375,64.127,56.1249,1920000
385,6267.34,5537.25,385,-50537.01953125,65.7387,53.2893,1925000
386,5979.26,5248.36,386,-49782.765625,64.7431,53.124,1930000
387,6079.57,5139.22,387,-50624.7890625,65.0907,54.343,1935000
388,6315.92,5397.71,388,-54462.65625,68.0213,62.0125,1940000
389,6266.62,5835.59,389,-55668.0703125,68.08,61.4006,1945000
390,5900.84,4890.21,390,-54765.8515625,66.163,57.9247,1950000
391,6258.61,5799.83,391,-49428.8125,64.6572,50.7244,1955000
392,6153.49,4840.89,392,-48662.33203125,64.3298,50.0468,1960000
