Real Sto Return,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Env Steps
2144.07,-1186.8084716796875,33.936,23.4108,3174.86,82,82,410000
2617.27,-822.0697021484375,21.4332,22.4497,3152.97,83,83,415000
2480.76,-999.9637451171875,22.2392,23.3455,3161.29,84,84,420000
2350.42,-1379.0771484375,24.9821,23.9234,3203.4,85,85,425000
2271.76,-874.652587890625,20.0943,21.6818,3155.4,86,86,430000
2552.17,-1281.2034912109375,24.1459,23.6193,3188.05,87,87,435000
1732.38,-1557.8145751953125,30.5169,23.0586,3186.47,88,88,440000
2671.87,-1075.322509765625,20.8504,23.5248,3161.41,89,89,445000
1811.99,-1821.5648193359375,49.4783,23.9584,3173.43,90,90,450000
1749.5,-1282.095458984375,23.7569,23.0716,3191.36,91,91,455000
1496.0,-2220.863037109375,43.8086,24.7275,3106.72,92,92,460000
1118.97,-2303.810546875,49.094,24.6622,1478.36,93,93,465000
1736.87,-1807.2490234375,34.2765,23.547,1199.18,94,94,470000
2281.77,-1088.771240234375,23.9368,22.0613,3149.05,95,95,475000
2857.49,-855.6697998046875,19.6895,22.4822,3183.18,96,96,480000
2768.83,-983.0790405273438,26.1667,21.9278,3135.89,97,97,485000
2445.67,-973.1390380859375,24.3714,22.0733,3192.36,98,98,490000
1520.76,-1871.03076171875,32.9822,22.0731,3225.78,99,99,495000
1529.2,-2256.78173828125,44.1946,23.6439,2832.11,100,100,500000
2194.56,-2064.984130859375,38.2574,23.0168,2284.23,101,101,505000
2886.03,-1046.8157958984375,18.0405,20.9994,3160.23,102,102,510000
2399.12,-1265.91162109375,21.444,22.2393,3167.89,103,103,515000
2035.61,-1589.62060546875,25.3405,21.6798,3201.1,104,104,520000
1844.67,-1799.0206298828125,31.8591,22.4102,3185.45,105,105,525000
2500.79,-1819.6700439453125,36.1813,22.2539,3147.09,106,106,530000
1536.15,-2024.1131591796875,35.3469,23.1183,3229.09,107,107,535000
2020.93,-2475.7998046875,41.6973,23.139,1775.59,108,108,540000
1317.46,-2282.115478515625,34.0526,22.4148,3256.28,109,109,545000
2967.93,-657.9680786132812,14.1753,20.8371,3132.28,110,110,550000
2406.64,-1780.6519775390625,26.1341,21.8535,3214.72,111,111,555000
2820.93,-957.969970703125,18.1732,21.808,3180.28,112,112,560000
2058.22,-2583.412109375,51.405,23.2809,2698.56,113,113,565000
1551.19,-2375.87548828125,49.8868,23.7484,3244.77,114,114,570000
1724.98,-2463.373291015625,53.6183,23.2929,1551.31,115,115,575000
1199.69,-2927.65380859375,35.0695,24.4969,1198.6,116,116,580000
2203.46,-1376.9332275390625,20.5972,21.5321,3171.31,117,117,585000
2137.65,-1751.790283203125,28.2719,22.1989,3206.88,118,118,590000
3041.27,-1156.5921630859375,18.2394,23.0365,3161.9,119,119,595000
1702.65,-3064.47021484375,37.5454,23.8317,3108.29,120,120,600000
1858.99,-2264.92626953125,37.6993,22.4578,3014.1,121,121,605000
1605.18,-3065.9716796875,36.3026,24.0318,1593.01,122,122,610000
1326.58,-3379.251708984375,48.1812,24.5291,2522.83,123,123,615000
2157.55,-1702.8026123046875,23.4285,22.2145,3351.3,124,124,620000
2155.05,-2068.627197265625,33.6338,22.6415,3236.25,125,125,625000
2428.74,-825.763427734375,14.6146,21.0291,3147.27,126,126,630000
2731.62,-1436.3927001953125,24.6708,21.0529,3247.9,127,127,635000
1948.43,-2827.239990234375,39.5761,23.5008,3190.72,128,128,640000
3204.73,-1136.188720703125,18.6982,20.971,3223.33,129,129,645000
2983.95,-650.8936157226562,13.7798,21.185,3187.24,130,130,650000
1838.93,-2022.413818359375,39.7784,21.292,3208.52,131,131,655000
2175.8,-2370.498046875,33.2817,21.7295,3212.11,132,132,660000
1926.03,-2327.962890625,36.8359,22.7097,2899.92,133,133,665000
1870.61,-2159.053466796875,34.7796,21.6579,2031.67,134,134,670000
2652.49,-874.8804931640625,16.4782,20.96,3202.12,135,135,675000
2212.83,-2324.176025390625,43.2158,21.9186,2534.7,136,136,680000
2801.21,-942.6048583984375,19.9181,20.3035,3163.13,137,137,685000
2735.27,-2032.014404296875,22.7398,22.2027,3167.41,138,138,690000
2694.07,-1981.9833984375,33.5486,22.283,2384.37,139,139,695000
2162.04,-2376.0087890625,42.2128,22.2708,1826.58,140,140,700000
2598.33,-2348.701171875,27.48,21.9641,2398.02,141,141,705000
1554.62,-3056.649658203125,35.4195,23.7054,1717.61,142,142,710000
1606.0,-3065.42919921875,32.2464,24.2219,1237.08,143,143,715000
1996.67,-3011.33056640625,31.5274,22.9489,2140.07,144,144,720000
1813.84,-3292.472900390625,28.8367,23.1124,1517.17,145,145,725000
2846.26,-1708.65380859375,29.6505,21.3026,3257.56,146,146,730000
2367.18,-2659.48291015625,37.5723,22.8854,1805.21,147,147,735000
2110.76,-2428.922607421875,33.0923,22.5082,3092.14,148,148,740000
2499.65,-1772.8743896484375,24.5073,21.8306,3309.48,149,149,745000
2198.73,-2491.63134765625,24.6908,22.114,2566.28,150,150,750000
2595.08,-2886.517578125,26.1415,22.5294,3276.28,151,151,755000
1585.11,-2271.474609375,21.0425,22.7196,3388.08,152,152,760000
2577.45,-2052.293212890625,16.836,21.0728,2025.18,153,153,765000
2254.08,-2027.4805908203125,16.0981,22.2493,3196.21,154,154,770000
1374.75,-3957.17529296875,38.7346,25.0769,1367.81,155,155,775000
1516.38,-3718.37890625,46.3118,25.2977,1293.1,156,156,780000
1248.87,-3413.100830078125,26.9425,23.9955,1106.79,157,157,785000
1953.74,-3639.191162109375,25.7277,23.8304,1560.79,158,158,790000
1928.9,-2617.162109375,16.3582,22.7435,1584.51,159,159,795000
2163.67,-2699.29248046875,15.2783,23.2466,3180.19,160,160,800000
1895.1,-2496.93115234375,13.3724,23.9533,1800.06,161,161,805000
1762.03,-2367.136962890625,12.9549,22.6738,1659.85,162,162,810000
1697.09,-3399.9326171875,21.4436,24.0516,2396.54,163,163,815000
2231.95,-2336.429931640625,14.7531,22.3597,3316.12,164,164,820000
2569.92,-1354.035400390625,12.3019,20.4483,2522.89,165,165,825000
1987.69,-1739.3350830078125,11.6924,21.8171,3257.08,166,166,830000
1846.18,-2693.07958984375,18.9122,22.213,3348.66,167,167,835000
1662.36,-2507.897705078125,14.2316,22.3313,3378.99,168,168,840000
2531.34,-1113.5296630859375,12.6696,20.9274,2147.49,169,169,845000
1582.47,-3526.533935546875,19.0946,23.7775,3317.09,170,170,850000
1722.68,-3374.859130859375,26.3207,23.1572,1976.21,171,171,855000
1478.1,-2878.34228515625,15.6172,24.1568,2655.63,172,172,860000
2513.87,-2583.3857421875,18.9509,22.2835,3340.73,173,173,865000
1979.09,-3207.042236328125,15.7682,23.7135,3384.24,174,174,870000
2928.72,-1760.712646484375,16.1217,20.8192,3440.66,175,175,875000
2263.25,-3018.537353515625,14.0573,24.0558,3297.99,176,176,880000
2084.02,-2577.9599609375,13.3818,21.5794,2648.51,177,177,885000
2539.12,-2197.519287109375,12.5734,21.1422,3091.43,178,178,890000
2045.33,-2944.202880859375,20.6273,22.2371,1782.21,179,179,895000
2399.97,-2492.63623046875,16.1496,21.2641,3373.81,180,180,900000
1505.29,-2924.9453125,13.4624,21.9007,2076.58,181,181,905000
2591.52,-2687.59326171875,15.0092,21.1,1745.26,182,182,910000
2361.04,-2525.9736328125,20.0701,22.0242,3379.57,183,183,915000
2443.18,-2394.194580078125,19.0495,21.7494,2658.4,184,184,920000
1810.85,-3649.62744140625,23.6249,23.8481,2621.62,185,185,925000
2064.34,-1847.5057373046875,15.05,20.3517,3414.95,186,186,930000
1613.17,-4445.9873046875,24.271,23.4344,1803.47,187,187,935000
1770.76,-4054.421142578125,16.4201,23.0462,1708.45,188,188,940000
2923.11,-1372.423583984375,12.154,20.0116,3206.87,189,189,945000
1910.82,-3393.185546875,26.5519,22.9263,1443.91,190,190,950000
3020.77,-1794.38427734375,18.8501,21.4512,3397.97,191,191,955000
1970.63,-3938.2197265625,19.8636,23.0039,1895.48,192,192,960000
1781.74,-3979.172119140625,22.0281,24.0545,1922.63,193,193,965000
2029.73,-4187.0791015625,23.3495,23.0027,3084.39,194,194,970000
2519.48,-3022.301513671875,20.4351,20.904,3381.3,195,195,975000
2047.43,-3464.94580078125,20.8479,21.1114,1515.11,196,196,980000
2562.18,-1800.32763671875,13.7369,20.0907,3401.18,197,197,985000
2432.22,-3386.387939453125,36.4123,21.6324,3495.72,198,198,990000
1979.41,-4190.33203125,20.6361,22.3656,1399.94,199,199,995000
