Running Update Time,Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps
56,56,37.1513,289.66,31.9918,-2038.6353759765625,289.68,280000
57,57,30.4202,1078.69,34.9353,-2244.75244140625,1078.29,285000
58,58,84.3008,970.54,39.8994,-2406.814697265625,970.52,290000
59,59,40.5863,988.54,39.5508,-2408.052001953125,988.36,295000
60,60,17.2543,1088.44,32.7719,-1673.976806640625,1091.78,300000
61,61,45.7552,973.05,36.7368,-2436.121337890625,973.4,305000
62,62,19.7446,977.34,33.4145,-1988.0164794921875,979.63,310000
63,63,29.0447,526.0,31.6866,-1773.105712890625,526.31,315000
64,64,50.5111,987.33,33.0477,-2585.064208984375,985.5,320000
65,65,50.1921,1060.21,34.225,-2735.64990234375,1059.99,325000
66,66,21.1071,1116.67,32.6858,-2124.41357421875,1114.06,330000
67,67,18.6258,1001.46,33.2268,-2371.34130859375,1001.25,335000
68,68,25.5281,993.64,34.3988,-2716.5947265625,992.14,340000
69,69,22.8091,997.33,34.1284,-2603.791259765625,1000.66,345000
70,70,31.8317,992.54,37.0184,-2855.11083984375,992.67,350000
71,71,31.0097,996.68,38.0734,-3015.17138671875,996.74,355000
72,72,30.2957,997.69,36.8176,-2953.2255859375,997.34,360000
73,73,33.1038,980.23,37.3452,-3057.358154296875,980.03,365000
74,74,19.0821,945.43,33.1124,-2651.68994140625,944.83,370000
75,75,22.6826,1027.51,33.3483,-2631.8525390625,1064.74,375000
76,76,25.1774,411.14,33.6817,-2552.27783203125,404.12,380000
77,77,111.6229,409.91,34.0379,-2705.15185546875,414.01,385000
78,78,22.685,1359.62,32.9595,-1422.2803955078125,1357.12,390000
79,79,25.8118,1283.68,32.8019,-1387.8292236328125,1327.94,395000
80,80,29.9743,535.45,32.5986,-2458.299560546875,394.5,400000
81,81,50.1062,991.24,32.1034,-1730.133544921875,994.02,405000
82,82,53.5372,271.12,32.206,-3423.794189453125,292.89,410000
83,83,24.36,1014.51,33.0093,-3509.674560546875,1009.78,415000
84,84,57.1543,385.28,32.2267,-3611.848388671875,380.78,420000
85,85,87.9242,351.08,32.7132,-3633.143310546875,359.05,425000
86,86,40.291,650.61,32.2566,-3369.431396484375,700.96,430000
87,87,43.2722,979.32,38.2198,-3892.719482421875,979.27,435000
88,88,29.3946,981.82,38.1706,-3916.89013671875,981.51,440000
89,89,66.2659,985.51,38.6666,-3960.022216796875,985.65,445000
90,90,77.5804,989.41,38.604,-4076.810546875,989.27,450000
91,91,20.184,1085.22,32.8711,-2435.03173828125,1083.59,455000
92,92,60.2145,1038.41,34.3237,-4067.8984375,1038.66,460000
93,93,58.9679,834.56,32.745,-3795.148681640625,586.88,465000
94,94,20.8209,1179.29,32.5463,-2423.00390625,1216.47,470000
95,95,37.5038,539.85,31.208,-3114.894287109375,544.61,475000
96,96,97.0775,352.91,31.7894,-3494.50537109375,348.05,480000
97,97,128.9477,391.23,32.4834,-3594.243408203125,387.14,485000
98,98,113.7555,393.29,32.2276,-3716.12255859375,396.47,490000
99,99,94.5392,453.36,31.9804,-3984.6943359375,440.48,495000
100,100,133.3481,441.76,32.0575,-3770.096923828125,459.6,500000
101,101,24.8508,1172.47,28.9894,-2464.419677734375,1188.7,505000
102,102,21.7096,1075.61,33.1265,-2314.13525390625,1212.87,510000
103,103,22.6076,1263.32,32.4513,-2842.07666015625,1254.49,515000
104,104,24.3127,1228.73,33.6775,-2779.5751953125,1239.28,520000
105,105,18.213,707.92,33.2628,-3881.75927734375,895.62,525000
106,106,23.3025,1052.5,33.8532,-4250.33251953125,1012.72,530000
107,107,20.538,1127.93,33.235,-3051.05126953125,1120.29,535000
108,108,17.878,1115.82,33.3848,-3335.864501953125,1120.93,540000
109,109,40.6618,1054.45,33.9655,-4855.3974609375,1055.76,545000
110,110,28.5605,1042.16,34.0987,-4909.779296875,1042.14,550000
111,111,20.353,1156.75,33.7012,-2886.117919921875,1152.22,555000
112,112,25.7115,1148.33,33.9467,-2970.087158203125,1149.65,560000
113,113,21.4383,1073.53,33.4079,-4912.44140625,1074.17,565000
114,114,21.1524,1115.04,33.6658,-4291.5947265625,1113.44,570000
115,115,41.3089,1046.61,34.2577,-5308.78515625,1046.81,575000
116,116,23.7431,1147.26,33.6369,-2811.595703125,1149.81,580000
117,117,21.9865,1170.01,33.3352,-3205.412353515625,1169.11,585000
118,118,21.2818,1234.61,33.4422,-2619.903076171875,1233.69,590000
119,119,18.4065,1176.18,33.195,-3623.26806640625,1173.43,595000
120,120,22.6793,800.1,33.5344,-3519.98974609375,813.56,600000
121,121,87.978,1044.64,34.1253,-5587.125,1044.42,605000
122,122,22.0351,1130.14,33.497,-4092.566650390625,1129.9,610000
123,123,18.0085,1091.24,33.6035,-4390.05517578125,1090.53,615000
124,124,22.8582,1080.71,34.3446,-5404.349609375,1080.65,620000
125,125,22.3074,1124.36,33.6237,-4813.48193359375,1138.79,625000
126,126,21.2223,1029.79,33.8576,-5555.6923828125,1083.24,630000
127,127,22.3463,1133.14,33.7933,-4311.41796875,1135.08,635000
128,128,22.8485,1134.17,33.4312,-3426.2109375,1133.99,640000
129,129,22.453,1233.45,33.0413,-3370.1630859375,1233.33,645000
130,130,24.428,1171.28,33.5613,-4110.859375,1169.65,650000
131,131,21.9148,1186.21,33.3788,-3580.904296875,1184.61,655000
132,132,21.6245,1182.44,33.3903,-4489.146484375,1181.09,660000
133,133,19.6964,1082.79,33.6303,-5788.0263671875,1084.06,665000
134,134,19.8173,1130.51,33.7557,-5198.5810546875,1128.23,670000
135,135,22.1605,1080.95,34.2683,-6151.99609375,1087.4,675000
136,136,22.0245,1152.65,33.3255,-4530.39404296875,1153.0,680000
137,137,17.928,1130.34,32.8754,-4958.7236328125,1129.6,685000
138,138,18.8085,1195.68,33.4025,-4451.75390625,1205.77,690000
139,139,24.4061,1216.0,33.4421,-4078.49853515625,1214.83,695000
140,140,26.4953,1165.38,33.2475,-5355.994140625,1159.47,700000
141,141,19.3267,1179.1,33.4594,-5034.197265625,1178.51,705000
142,142,21.5379,1087.46,34.8328,-6287.39453125,1087.95,710000
143,143,35.2818,1030.88,33.0331,-5121.0322265625,768.09,715000
144,144,54.9981,1060.67,33.5552,-6610.10595703125,1025.47,720000
145,145,24.9956,953.9,33.1968,-5526.9765625,999.12,725000
146,146,18.7034,277.08,33.0916,-5408.64404296875,288.08,730000
147,147,28.6082,1121.57,33.6411,-4703.75634765625,1124.52,735000
148,148,27.5879,510.62,33.1651,-6476.77197265625,629.84,740000
149,149,20.9657,544.92,33.7426,-6634.55517578125,640.98,745000
150,150,18.0744,1104.82,33.2376,-5903.74365234375,1101.2,750000
151,151,24.5625,1097.91,33.2434,-6057.958984375,1095.89,755000
152,152,22.1396,925.83,33.325,-6191.5458984375,1029.39,760000
153,153,74.7589,1044.98,33.779,-7366.19580078125,1046.48,765000
154,154,23.4969,427.53,33.1638,-4372.18701171875,357.84,770000
155,155,24.6927,1207.32,32.9513,-4766.22900390625,1205.56,775000
156,156,21.8365,1069.19,34.0569,-7202.72900390625,1066.48,780000
157,157,28.2167,1049.0,34.886,-7505.2314453125,1048.91,785000
158,158,27.8684,1115.69,35.1023,-6646.59765625,1115.02,790000
159,159,33.0295,923.39,32.7155,-6577.1201171875,824.81,795000
160,160,25.7315,264.91,33.2309,-5424.0693359375,462.03,800000
161,161,25.647,1116.31,33.6211,-4197.3232421875,1117.21,805000
162,162,23.5044,1216.77,32.8438,-4617.2998046875,1218.6,810000
163,163,19.7803,1113.08,33.2375,-4591.71484375,1107.31,815000
164,164,29.8355,1179.07,33.8066,-5408.552734375,1181.85,820000
165,165,25.1145,1154.54,33.3758,-5985.91845703125,1150.34,825000
166,166,17.4475,1058.73,33.4267,-6235.42431640625,1054.37,830000
167,167,20.7045,1076.45,33.5402,-7057.63623046875,1075.96,835000
168,168,15.9758,1093.83,32.845,-5063.3388671875,1129.21,840000
169,169,18.4684,1055.11,33.5017,-7022.94287109375,1064.2,845000
170,170,18.9951,1081.07,33.1552,-5048.0126953125,1063.18,850000
171,171,18.9328,1079.08,32.8052,-4309.8447265625,1067.07,855000
172,172,16.4753,1166.17,32.7782,-4922.2841796875,1179.29,860000
173,173,21.1208,1042.96,33.5812,-7945.916015625,1046.74,865000
174,174,88.1104,1044.73,33.5488,-8370.794921875,1042.42,870000
175,175,18.4304,1117.97,33.0213,-5806.9248046875,1118.36,875000
176,176,25.7197,1181.47,33.9935,-5151.98486328125,1181.26,880000
177,177,23.422,1220.25,33.3566,-5895.0927734375,1220.73,885000
178,178,21.4771,1097.17,33.514,-6648.8134765625,1088.65,890000
179,179,17.6872,836.54,32.7952,-5209.57421875,731.0,895000
180,180,19.6985,1045.75,33.2412,-6822.8515625,1047.36,900000
181,181,18.0426,1097.83,33.0768,-5761.9033203125,1101.56,905000
182,182,18.6763,1090.81,33.25,-4918.02099609375,1093.84,910000
183,183,19.2754,1027.8,33.3721,-4955.43115234375,1027.28,915000
184,184,53.1067,1015.77,33.3684,-8511.0400390625,1000.5,920000
185,185,23.0563,1060.99,33.7921,-7224.908203125,1062.01,925000
186,186,21.8192,1110.7,33.5205,-6660.3427734375,1111.17,930000
187,187,28.5452,1059.16,33.7655,-7430.2548828125,1071.83,935000
188,188,35.1378,1054.44,32.9869,-8636.1474609375,1052.68,940000
189,189,50.376,1056.82,33.5272,-8925.025390625,1055.81,945000
190,190,23.2664,1121.69,33.4227,-6136.8515625,1125.08,950000
191,191,22.4829,1128.87,33.686,-5028.82568359375,1127.22,955000
192,192,40.3178,1052.82,34.4651,-9741.4326171875,1053.33,960000
193,193,18.4598,1019.24,33.2322,-4634.21240234375,1011.36,965000
194,194,34.8854,1049.97,34.1417,-9666.6708984375,1049.42,970000
195,195,36.1288,1057.31,35.0442,-9786.310546875,1056.75,975000
196,196,23.6822,1199.72,33.6311,-7820.900390625,1204.04,980000
197,197,19.4307,1079.63,33.1642,-6197.80908203125,1075.2,985000
198,198,38.5686,1056.19,35.4252,-10193.5771484375,1056.44,990000
199,199,34.6815,1055.45,34.9311,-10270.431640625,1060.4,995000
