Real Sto Return,Real Det Return,Itration,Running Reverse KL,Running Forward KL
-80.7,43.27,316,26.2209,70.9291
-129.11,31.29,317,27.0521,70.6301
-76.47,-125.68,318,28.5366,71.3418
-40.63,56.86,319,26.3872,72.0311
-79.63,43.16,320,25.1809,71.337
-67.72,1.37,321,25.7957,71.8469
-143.77,57.93,322,24.2516,70.0221
-201.4,3.66,323,25.627,69.9998
-103.76,-11.37,324,24.489,69.2877
-85.55,28.81,325,25.046,70.4649
-105.48,5.74,326,25.3228,69.1128
-98.95,24.31,327,23.9886,68.9334
-88.71,17.34,328,25.5669,70.1415
-67.45,-6.55,329,28.0883,71.5525
-55.68,39.54,330,26.3024,71.3402
-95.34,41.38,331,24.9595,69.7166
-47.73,12.55,332,23.9146,70.6764
-134.82,9.36,333,24.3533,69.8964
-56.66,21.89,334,24.7966,69.7749
-53.68,-21.14,335,26.0657,71.6495
-27.41,11.58,336,26.2105,72.1034
-29.24,21.49,337,24.8307,70.0849
-50.95,2.99,338,23.7587,70.7755
-113.01,-23.79,339,24.1519,70.4726
-30.22,-17.86,340,25.2296,71.6052
-85.74,31.29,341,26.2619,72.0992
-72.85,20.9,342,26.8588,71.5179
-96.96,2.77,343,26.1191,70.9267
-38.72,-18.43,344,25.5942,70.5294
12.91,52.82,345,25.755,71.0525
-14.33,62.05,346,25.7751,71.8743
-15.75,11.32,347,26.4287,71.2534
-22.71,-4.78,348,24.9813,69.9863
-65.81,5.44,349,25.6763,70.9838
-107.76,-0.31,350,27.0419,71.046
-53.99,4.57,351,25.5124,69.9673
-74.73,-6.09,352,24.1645,69.4221
