Running Update Time,Real Sto Return,Running Reverse KL,Itration,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps
57,1631.84,21.8406,57,51.1971,-398.30279541015625,2530.1,285000
58,2520.53,27.9985,58,50.5182,-307.6937255859375,3525.95,290000
59,2346.76,28.5263,59,50.603,-308.91265869140625,3751.28,295000
60,1851.18,25.0364,60,51.5526,-388.9085693359375,3528.67,300000
61,1760.74,23.477,61,55.1933,-534.5233154296875,2393.61,305000
62,2017.22,27.5475,62,51.7439,-359.1809387207031,3242.59,310000
63,1895.68,26.3653,63,52.5026,-399.9405517578125,3407.9,315000
64,2236.21,26.7274,64,51.498,-378.6053161621094,3261.04,320000
65,2841.25,29.9579,65,52.4662,-347.2596740722656,3921.32,325000
66,1934.76,30.3357,66,51.6452,-317.7856750488281,3441.05,330000
67,1979.6,27.0589,67,50.8247,-343.83526611328125,3409.58,335000
68,2225.97,24.9945,68,51.2543,-407.2916259765625,3572.2,340000
69,3147.51,32.046,69,53.4854,-388.77630615234375,3816.94,345000
70,2605.91,29.8789,70,52.6715,-410.9826354980469,3331.0,350000
71,3371.79,34.5854,71,52.4989,-341.25726318359375,3785.16,355000
72,1897.61,33.5924,72,53.85,-364.2445068359375,2946.51,360000
73,2911.53,36.5567,73,55.1674,-415.927490234375,3849.6,365000
74,3283.1,28.5901,74,52.2083,-420.70367431640625,4041.41,370000
75,2987.61,34.9904,75,53.4624,-395.58050537109375,3813.02,375000
76,1304.29,23.3943,76,54.084,-561.8173828125,2726.39,380000
77,2947.51,31.517,77,52.8642,-411.2733459472656,3756.43,385000
78,2583.78,34.7759,78,53.3445,-400.8596496582031,3254.47,390000
79,1606.9,25.0738,79,54.1018,-559.2042236328125,2150.38,395000
80,1979.16,27.2581,80,51.892,-444.951904296875,2450.79,400000
81,2403.02,24.0427,81,53.9699,-566.4683837890625,3339.14,405000
82,2841.94,31.4172,82,53.1121,-404.1950378417969,4022.04,410000
83,2265.91,30.641,83,53.3248,-467.3311462402344,4141.96,415000
84,3529.76,39.7249,84,55.3924,-377.850341796875,3843.92,420000
85,3719.68,37.3251,85,53.5101,-431.4222412109375,4174.9,425000
86,2679.74,30.5588,86,54.0205,-498.49560546875,3986.85,430000
87,3545.1,39.7402,87,55.8186,-460.7803039550781,4241.48,435000
88,3812.1,35.2542,88,53.5814,-478.74945068359375,4189.12,440000
89,3077.0,26.5988,89,53.9185,-544.7217407226562,3382.29,445000
90,3543.71,36.882,90,54.552,-444.6112365722656,3781.88,450000
91,2687.41,29.6017,91,53.9349,-567.0477905273438,3808.88,455000
92,3755.2,31.7474,92,52.9666,-483.7835388183594,4565.37,460000
93,3438.06,38.1762,93,54.0984,-456.2416687011719,4592.96,465000
94,3828.06,29.0085,94,52.8243,-517.8837890625,4014.04,470000
95,3718.97,35.8964,95,55.2843,-441.53277587890625,4169.26,475000
96,4082.77,39.3945,96,56.1655,-482.38177490234375,4564.82,480000
97,3163.7,33.9569,97,54.8447,-495.03302001953125,3023.82,485000
98,3239.66,34.0187,98,54.5645,-485.0854797363281,4563.36,490000
99,3279.19,34.7559,99,53.6954,-494.44293212890625,4664.11,495000
100,3837.39,39.6562,100,56.3928,-534.7064208984375,4410.52,500000
101,3248.9,31.9786,101,54.5226,-598.7999267578125,4481.06,505000
102,3292.77,35.6569,102,55.5233,-491.51318359375,4463.32,510000
103,3066.5,33.2427,103,56.5704,-678.8858032226562,3213.1,515000
104,2956.27,27.9249,104,54.8523,-674.8014526367188,3903.85,520000
105,4088.43,33.9071,105,54.4444,-588.6576538085938,4792.34,525000
106,2905.66,34.4594,106,55.6653,-636.83837890625,4476.85,530000
107,3381.85,38.6532,107,57.5409,-569.2115478515625,4139.01,535000
108,2277.56,34.7935,108,56.929,-657.9915771484375,3628.8,540000
109,3425.22,36.639,109,55.7919,-589.7872314453125,5155.54,545000
110,3914.01,35.2922,110,57.1601,-682.2699584960938,4442.36,550000
111,4154.15,36.4865,111,55.5919,-610.8997802734375,4249.02,555000
112,3345.87,32.209,112,57.1338,-689.29150390625,4166.83,560000
113,3596.84,43.1508,113,58.1827,-603.6505737304688,4440.59,565000
114,2881.16,33.1002,114,56.7713,-692.6185302734375,3312.64,570000
115,4507.43,32.1609,115,56.69,-708.522216796875,4357.08,575000
116,2995.72,40.4346,116,57.7363,-668.2957763671875,4745.14,580000
117,3442.81,36.9081,117,55.997,-721.3601684570312,4149.44,585000
118,3276.6,28.0032,118,57.3533,-833.6492919921875,4034.45,590000
119,2030.61,33.2543,119,56.0198,-716.6280517578125,2893.32,595000
120,2773.78,41.0907,120,58.5217,-700.6533813476562,4705.15,600000
121,3213.01,27.712,121,56.1947,-813.7413330078125,3881.0,605000
122,2431.02,30.6476,122,55.5396,-798.47900390625,3039.82,610000
123,3775.67,37.9618,123,58.1663,-759.9169311523438,5098.75,615000
124,3607.9,36.2789,124,57.4873,-769.630126953125,4473.69,620000
125,4091.72,41.8223,125,58.602,-756.4218139648438,4935.21,625000
126,3342.32,36.0863,126,57.7064,-783.7713623046875,4667.09,630000
127,3071.72,37.675,127,59.2653,-853.6107177734375,4142.93,635000
128,4427.5,42.3976,128,58.9443,-815.8261108398438,5108.64,640000
129,4452.51,39.2727,129,58.2218,-840.5145874023438,5203.94,645000
130,3323.1,38.5519,130,58.1472,-853.1083984375,4867.19,650000
131,2187.44,32.8639,131,57.1149,-931.7249145507812,3180.89,655000
132,4185.18,41.2357,132,60.0587,-841.1182861328125,5134.69,660000
133,4600.64,42.1446,133,57.66,-846.1585083007812,5073.05,665000
134,3836.39,40.9042,134,57.9446,-865.6299438476562,3978.84,670000
135,3930.92,38.5469,135,57.4516,-880.0555419921875,5296.09,675000
136,3614.34,38.6768,136,57.0414,-922.1617431640625,5190.24,680000
137,3689.69,39.3876,137,59.2931,-973.580810546875,5273.08,685000
138,4209.54,41.8794,138,59.6027,-879.06982421875,5316.57,690000
139,3990.47,46.6575,139,60.0125,-997.1507568359375,5243.83,695000
140,3922.68,39.7963,140,59.231,-944.2100830078125,4748.5,700000
141,3663.82,39.2144,141,58.4124,-972.5531616210938,4748.59,705000
142,3458.12,36.5383,142,56.7465,-1035.1214599609375,4287.15,710000
143,4345.79,42.2777,143,59.6714,-1045.2303466796875,5002.79,715000
144,4188.71,38.4942,144,58.2856,-1033.5755615234375,4726.41,720000
145,3475.93,38.3278,145,57.9801,-1148.5958251953125,4395.84,725000
146,3260.83,33.98,146,57.8139,-1153.1832275390625,4657.78,730000
147,4309.91,42.8839,147,61.051,-1103.4271240234375,5420.31,735000
148,4534.65,33.6167,148,57.0662,-1189.707275390625,5260.08,740000
149,4433.13,41.5404,149,58.7172,-1074.836669921875,4461.71,745000
150,3698.88,37.4506,150,57.4042,-1115.1290283203125,4691.18,750000
151,4754.93,32.1986,151,58.2504,-1197.6683349609375,4844.06,755000
152,4302.68,42.2029,152,58.5679,-1157.234130859375,4425.81,760000
153,4343.66,41.7465,153,59.903,-1196.5015869140625,5247.18,765000
154,4558.25,46.8987,154,61.6215,-1186.78759765625,5327.12,770000
155,4695.8,42.0606,155,60.9567,-1232.7490234375,5317.6,775000
156,5029.33,39.0786,156,59.5508,-1240.3111572265625,4901.34,780000
157,4214.45,44.308,157,59.8185,-1227.923095703125,4455.8,785000
158,4074.35,47.0669,158,61.3524,-1273.7611083984375,4661.73,790000
159,4609.57,44.8061,159,61.1341,-1303.149169921875,5285.92,795000
160,4308.28,39.7532,160,60.0108,-1397.37744140625,4674.29,800000
161,4605.78,41.9461,161,60.1592,-1243.8662109375,4445.62,805000
162,4039.93,42.034,162,60.4275,-1350.2950439453125,4396.59,810000
163,4544.27,40.8792,163,59.9541,-1436.3079833984375,5202.13,815000
164,3486.66,43.9267,164,61.0393,-1412.442626953125,5349.82,820000
165,4391.57,36.8453,165,56.5799,-1438.5653076171875,5264.41,825000
166,4189.41,39.3132,166,60.1888,-1454.1363525390625,4954.06,830000
167,3566.54,39.022,167,58.6634,-1432.4307861328125,4819.8,835000
168,4507.97,36.2584,168,58.2414,-1504.895263671875,5154.1,840000
169,4166.03,39.6338,169,59.1934,-1499.015869140625,4149.3,845000
170,4721.5,39.8486,170,58.3446,-1542.8673095703125,5109.05,850000
171,5063.72,38.8541,171,58.3653,-1604.3533935546875,5617.94,855000
172,2867.82,46.3066,172,60.022,-1606.4581298828125,4994.84,860000
173,5006.46,40.8257,173,59.7891,-1679.2763671875,5592.11,865000
174,4421.43,43.0349,174,61.735,-1685.0849609375,5266.18,870000
175,3581.05,41.9267,175,58.3431,-1712.6873779296875,4247.14,875000
176,4235.93,44.1553,176,59.9739,-1714.8016357421875,5265.09,880000
177,4708.75,46.5904,177,61.3649,-1733.8319091796875,5375.48,885000
178,4376.8,45.6563,178,60.3998,-1820.0460205078125,5431.1,890000
179,4874.97,50.3572,179,63.0744,-1845.1138916015625,5420.19,895000
180,4929.41,38.2719,180,58.7038,-1796.3516845703125,4875.57,900000
181,3930.43,41.2855,181,59.8155,-1797.7066650390625,4660.95,905000
182,4878.02,44.6138,182,60.8312,-1922.9718017578125,5445.3,910000
183,3932.5,42.6953,183,59.375,-1915.17919921875,5396.52,915000
184,4764.54,40.7944,184,59.9129,-1947.3223876953125,5121.25,920000
185,4058.47,49.3719,185,62.0078,-2025.53466796875,5389.92,925000
186,4965.16,40.1615,186,59.074,-1945.9588623046875,4880.88,930000
187,4554.65,44.3162,187,61.0477,-2014.6016845703125,5511.34,935000
188,5068.16,44.494,188,60.0863,-2053.459228515625,5834.73,940000
189,4059.08,46.5202,189,62.5077,-2064.4365234375,5374.49,945000
190,4960.11,49.0915,190,61.8114,-2100.503173828125,5094.21,950000
191,4438.93,52.985,191,63.4487,-2149.740234375,5141.87,955000
192,4558.82,40.4669,192,58.6077,-2123.462646484375,5472.65,960000
193,5231.48,46.9865,193,61.6262,-2135.79150390625,5565.11,965000
194,3565.97,48.8318,194,62.3103,-2294.74951171875,5510.78,970000
195,3902.45,39.3158,195,60.2966,-2256.707763671875,5221.35,975000
196,5002.33,45.0848,196,61.1525,-2280.505615234375,4978.94,980000
197,4672.3,41.2804,197,59.9448,-2301.585693359375,5370.19,985000
198,4764.33,50.3501,198,61.897,-2459.96337890625,5826.54,990000
199,5068.44,45.5557,199,60.7497,-2382.266845703125,5237.97,995000
200,4363.49,46.7024,200,61.7884,-2472.03076171875,5800.85,1000000
201,4688.48,48.1124,201,60.7531,-2429.002685546875,5710.96,1005000
202,5062.16,45.1784,202,60.1585,-2483.325927734375,5895.34,1010000
203,4737.71,46.6167,203,60.3357,-2486.9326171875,5510.71,1015000
204,4638.02,45.0307,204,59.8461,-2508.299560546875,5843.42,1020000
205,4532.49,43.1863,205,59.0537,-2589.85107421875,4944.71,1025000
206,3296.18,45.8777,206,60.2901,-2601.056884765625,4318.61,1030000
207,4127.3,42.8785,207,59.6018,-2575.946533203125,5838.74,1035000
208,4401.52,41.9314,208,59.5437,-2605.289794921875,4684.37,1040000
209,4440.94,41.9186,209,59.7382,-2696.63623046875,4957.9,1045000
210,4719.68,44.4551,210,61.8865,-2833.705078125,5344.29,1050000
211,4276.48,47.7141,211,61.9853,-2858.432861328125,5551.51,1055000
212,3771.41,38.7021,212,59.1804,-2775.7412109375,5373.17,1060000
213,5343.01,44.9662,213,60.9773,-2887.893310546875,5620.71,1065000
214,4963.98,43.5791,214,59.2502,-2788.70654296875,5737.35,1070000
215,4914.85,40.7591,215,59.4397,-2885.541748046875,5342.01,1075000
216,5477.16,48.7834,216,63.0466,-2964.09619140625,4942.5,1080000
217,4976.47,42.5104,217,60.4907,-2994.876953125,5497.41,1085000
218,5439.23,47.5945,218,61.5947,-3059.46435546875,5651.03,1090000
219,4011.59,41.2655,219,58.8729,-2868.6337890625,4334.5,1095000
220,5470.25,41.0667,220,59.0001,-2996.519775390625,5381.17,1100000
221,4974.59,49.2259,221,62.1193,-3102.890869140625,5795.1,1105000
222,4795.65,39.0637,222,58.7939,-3044.92236328125,5758.09,1110000
223,4742.4,49.4805,223,63.5122,-3265.400390625,5571.62,1115000
224,4829.41,46.6624,224,62.2398,-3327.348388671875,5613.02,1120000
225,4749.95,42.9351,225,58.7594,-3236.029541015625,5451.61,1125000
226,4966.92,45.5624,226,60.1853,-3288.972412109375,5408.18,1130000
227,4312.87,45.4303,227,61.4427,-3364.60400390625,4788.86,1135000
228,4430.84,35.9474,228,58.2354,-3324.698974609375,5625.46,1140000
229,4678.66,42.2519,229,59.5881,-3424.490966796875,5700.61,1145000
230,5391.44,47.2692,230,62.3538,-3542.15966796875,5932.62,1150000
231,4696.47,47.5041,231,63.1008,-3601.740966796875,5864.79,1155000
232,4092.4,47.9688,232,62.9095,-3612.041748046875,5292.73,1160000
233,4424.13,43.6424,233,60.0109,-3704.88330078125,4392.89,1165000
234,4563.22,48.13,234,62.7784,-3776.417724609375,5548.59,1170000
235,4662.41,43.2813,235,60.9145,-3715.98095703125,5437.42,1175000
236,4967.86,48.7804,236,62.5422,-3857.387939453125,5712.51,1180000
237,4591.18,41.9688,237,60.7887,-3848.200927734375,5315.35,1185000
238,4706.56,48.0155,238,63.5289,-3976.79052734375,4960.02,1190000
239,4967.2,48.2952,239,62.0014,-4045.998046875,5871.89,1195000
240,5228.16,45.5425,240,62.1564,-4043.21533203125,6085.92,1200000
241,4856.88,41.6059,241,59.9999,-4065.33203125,6025.69,1205000
242,4917.09,46.8749,242,61.655,-4232.623046875,5477.02,1210000
243,4989.95,41.4639,243,59.794,-4061.938720703125,6049.51,1215000
244,5186.01,45.5625,244,61.3416,-4151.3193359375,5851.49,1220000
245,5439.49,47.4457,245,61.776,-4300.53857421875,5074.21,1225000
246,5444.41,50.018,246,62.3395,-4305.16748046875,5658.79,1230000
247,5387.88,46.8786,247,62.2392,-4390.732421875,6005.37,1235000
248,5432.17,42.092,248,60.3948,-4351.36962890625,6166.64,1240000
249,5333.32,40.7428,249,60.7271,-4413.9580078125,5949.66,1245000
250,5463.91,43.6141,250,60.5556,-4530.955078125,6079.03,1250000
251,5292.29,48.0815,251,63.0842,-4606.64404296875,6003.56,1255000
252,5187.37,43.9243,252,60.4387,-4662.59716796875,6166.8,1260000
253,4695.95,44.967,253,61.0949,-4577.63134765625,5887.54,1265000
254,5140.87,45.3981,254,62.0681,-4741.78466796875,6039.19,1270000
255,4661.74,46.1501,255,62.1352,-4751.65380859375,5930.77,1275000
256,5235.98,48.3551,256,62.7017,-4857.87109375,6184.26,1280000
257,5206.58,44.0874,257,61.8026,-4741.3447265625,6048.86,1285000
258,5019.84,47.3075,258,62.3114,-4923.35302734375,5981.35,1290000
259,4491.16,42.4361,259,60.0249,-4803.94921875,5906.66,1295000
260,5637.8,43.7331,260,60.9427,-4875.55224609375,5902.12,1300000
261,5146.13,35.6346,261,58.6939,-4555.61328125,5905.11,1305000
262,5617.08,40.6855,262,59.7947,-4929.91162109375,5845.99,1310000
263,5362.57,46.0002,263,61.3482,-4946.70068359375,5678.41,1315000
264,4779.95,35.3532,264,59.1372,-4756.4326171875,6185.83,1320000
265,5332.26,41.9027,265,59.685,-5104.2216796875,5894.22,1325000
266,5042.46,47.1343,266,62.3767,-5189.39990234375,5634.66,1330000
267,5259.91,47.3109,267,62.2786,-5310.2822265625,6083.02,1335000
268,4648.73,42.8549,268,60.9023,-5168.5625,5607.46,1340000
269,5263.17,44.2563,269,61.6398,-5299.6474609375,5965.07,1345000
270,5145.85,46.2109,270,61.9619,-5508.78076171875,6158.28,1350000
271,4727.72,45.3162,271,61.1641,-5367.20166015625,6174.08,1355000
272,5272.88,42.8381,272,60.7394,-5303.2734375,5878.78,1360000
273,5194.69,45.7501,273,60.3675,-5508.50341796875,5281.07,1365000
274,5267.66,44.5499,274,61.574,-5467.16748046875,5968.01,1370000
275,4889.57,42.0676,275,61.2567,-5433.64501953125,5771.48,1375000
276,5267.8,46.6552,276,60.713,-5588.0517578125,6177.83,1380000
277,5506.06,45.6605,277,60.7581,-5598.13427734375,5973.59,1385000
278,5106.73,37.6565,278,59.6375,-5229.3896484375,6245.04,1390000
279,4947.48,40.9298,279,60.6105,-5606.8359375,5917.77,1395000
280,4725.05,44.9701,280,60.6624,-5700.3349609375,6045.89,1400000
281,5494.63,43.8833,281,61.1125,-5697.453125,6005.75,1405000
282,5212.6,37.2498,282,60.8063,-5421.5380859375,6041.05,1410000
283,4895.6,45.3228,283,61.8438,-5937.1552734375,6274.62,1415000
284,4583.61,43.4635,284,61.3741,-5750.09423828125,6204.08,1420000
285,4513.09,45.6576,285,60.6378,-5884.42041015625,5422.72,1425000
286,5087.76,47.3438,286,62.4734,-6133.35791015625,5402.36,1430000
287,5467.76,49.3027,287,63.6246,-6262.01220703125,6267.69,1435000
288,5456.72,39.2694,288,60.0745,-5776.14111328125,4998.36,1440000
289,5336.83,49.4939,289,63.057,-6124.63134765625,5666.21,1445000
290,5279.21,50.1652,290,63.6279,-6245.50146484375,5632.14,1450000
291,5164.44,47.5915,291,63.1003,-6404.5205078125,6287.35,1455000
292,4860.62,53.7385,292,64.3882,-6397.5107421875,6046.14,1460000
293,4882.6,47.0595,293,62.1148,-6230.6416015625,6057.93,1465000
294,4877.37,48.6433,294,62.4794,-6404.39794921875,5850.19,1470000
295,5063.28,47.9893,295,62.5638,-6473.5576171875,5677.42,1475000
296,4531.35,50.1141,296,63.6004,-6635.939453125,5985.0,1480000
297,5553.36,49.8472,297,63.3818,-6629.41259765625,5976.44,1485000
298,4903.43,49.2016,298,62.5624,-6638.62744140625,5766.54,1490000
299,5100.9,50.765,299,63.8438,-6616.994140625,5396.74,1495000
300,5400.77,42.4016,300,61.3722,-6281.5322265625,5626.48,1500000
301,4760.22,48.5145,301,62.7839,-6646.638671875,5687.26,1505000
302,4777.5,46.6774,302,62.7936,-6572.89599609375,5239.51,1510000
303,4923.6,43.6127,303,60.8436,-6586.3427734375,6234.94,1515000
304,4732.51,50.3337,304,63.1852,-6751.6943359375,5897.33,1520000
305,4170.32,48.6547,305,62.5026,-6827.19921875,5902.38,1525000
306,4874.03,50.8182,306,64.1472,-6998.18505859375,6027.26,1530000
307,5732.42,49.7562,307,63.3582,-7002.587890625,6079.26,1535000
308,5521.05,47.1649,308,63.2173,-6769.50439453125,6177.01,1540000
309,4784.63,50.3313,309,63.3162,-7006.56591796875,6260.39,1545000
310,4546.69,43.7605,310,61.1597,-6478.8369140625,5696.51,1550000
311,4503.98,49.3735,311,63.7788,-7007.24609375,5669.45,1555000
312,5301.27,43.1702,312,60.5498,-6852.1064453125,5021.73,1560000
313,5247.01,47.3052,313,62.8939,-6998.47119140625,4966.51,1565000
314,4707.01,48.1791,314,62.0933,-7156.83740234375,5535.82,1570000
315,4707.19,48.185,315,62.3152,-7194.13037109375,5933.45,1575000
316,4535.58,50.2471,316,62.853,-7204.81884765625,5562.36,1580000
317,4279.95,42.8808,317,60.6972,-6672.43798828125,5192.14,1585000
318,4566.85,40.9513,318,60.7983,-6554.2783203125,5958.02,1590000
319,5206.12,46.5619,319,62.1783,-7157.72021484375,5065.44,1595000
320,5262.67,51.7257,320,64.2782,-7458.490234375,6231.4,1600000
321,4644.8,40.7569,321,61.2857,-6602.0751953125,5868.84,1605000
322,5256.17,45.507,322,61.094,-7295.06591796875,5586.58,1610000
323,4712.19,51.1916,323,64.5639,-7569.70556640625,4688.3,1615000
324,5309.04,48.4028,324,63.9887,-7750.115234375,5885.05,1620000
325,4936.01,51.3353,325,64.8464,-7795.7548828125,5830.13,1625000
326,5497.62,49.4743,326,63.9822,-7758.11376953125,5530.56,1630000
327,5362.7,49.927,327,63.5699,-7811.76904296875,5631.47,1635000
328,4699.98,49.5627,328,63.1019,-7564.9326171875,5250.46,1640000
329,5237.2,53.6609,329,65.3132,-7703.44677734375,5492.69,1645000
330,4578.21,44.1042,330,60.7846,-7356.291015625,4613.24,1650000
331,4598.41,53.405,331,64.6331,-7891.05419921875,5247.92,1655000
332,5144.35,49.5454,332,61.8933,-7742.6416015625,5824.14,1660000
333,5706.79,44.0105,333,61.2573,-7159.7109375,5905.74,1665000
334,4642.09,48.0724,334,62.6568,-7287.77587890625,5813.7,1670000
335,4875.77,54.0061,335,64.8904,-8040.6591796875,5928.3,1675000
336,5325.2,45.4194,336,62.8207,-7520.3828125,5980.0,1680000
337,5216.74,54.8727,337,65.4976,-8111.76953125,5030.91,1685000
338,5112.88,51.2829,338,63.3192,-7879.19921875,5552.93,1690000
339,5137.5,53.9169,339,65.826,-8352.015625,6157.81,1695000
340,5357.36,54.5651,340,66.611,-8519.8916015625,6234.31,1700000
341,5097.49,56.4947,341,66.0156,-8265.1845703125,5524.37,1705000
342,5535.38,55.4036,342,65.3982,-8321.6064453125,6201.84,1710000
343,5452.79,54.0012,343,65.0978,-8569.3583984375,5654.92,1715000
344,5660.49,56.1052,344,66.3103,-8466.0419921875,5955.46,1720000
345,5539.63,55.7834,345,66.0711,-8438.810546875,5664.17,1725000
346,5229.17,50.9329,346,63.5811,-8413.9931640625,5776.27,1730000
347,4595.92,45.9537,347,62.3807,-8088.822265625,4671.79,1735000
348,5673.41,53.2607,348,64.7426,-8608.33203125,6080.3,1740000
349,5546.02,51.1351,349,63.5902,-8722.4765625,5755.43,1745000
350,4951.1,43.1025,350,61.5664,-7912.3984375,5535.26,1750000
351,5376.25,49.5121,351,64.1187,-8339.8984375,5974.85,1755000
352,5269.84,44.1886,352,62.4234,-8134.28515625,6035.84,1760000
353,4982.09,52.4734,353,64.7916,-8966.1708984375,6174.84,1765000
354,5351.32,48.5358,354,63.4321,-8429.9189453125,6241.94,1770000
355,5727.37,52.9598,355,65.4689,-8970.755859375,6094.06,1775000
356,5204.92,48.1361,356,62.9505,-8452.3837890625,5188.62,1780000
357,4976.85,49.5313,357,62.632,-8638.6962890625,6080.92,1785000
358,5399.37,45.3904,358,62.379,-8020.1015625,6277.35,1790000
359,5398.12,53.3427,359,65.3014,-9033.5009765625,5412.73,1795000
360,4459.31,53.5763,360,65.1325,-8764.7138671875,5192.97,1800000
361,4701.27,53.1645,361,66.2955,-9140.0244140625,5847.41,1805000
362,4694.45,42.4597,362,61.3289,-7896.234375,5456.32,1810000
363,4386.31,54.9196,363,65.7079,-9101.0908203125,5857.6,1815000
364,5316.82,53.5703,364,65.0914,-9193.3837890625,5815.89,1820000
365,4789.22,51.5485,365,63.9559,-8939.1982421875,5961.82,1825000
366,5103.5,39.9381,366,61.3634,-7580.58154296875,5235.85,1830000
367,5134.1,53.7857,367,64.6476,-9163.8330078125,5523.1,1835000
368,5003.84,47.5026,368,62.3477,-8375.4326171875,6195.62,1840000
369,5566.1,45.8913,369,61.5993,-8537.3876953125,6258.7,1845000
370,5212.55,57.0865,370,66.0999,-9397.2978515625,6149.17,1850000
371,5388.47,54.017,371,65.4818,-9474.1494140625,5866.66,1855000
372,4949.98,50.9296,372,63.3088,-9224.28515625,5873.56,1860000
373,5320.97,51.4621,373,63.5425,-9477.931640625,6091.73,1865000
374,5752.62,52.2474,374,64.64,-9409.66796875,6226.53,1870000
375,4754.02,53.2881,375,65.6764,-9711.8681640625,6250.3,1875000
376,5474.16,45.6884,376,62.0063,-8826.810546875,6009.04,1880000
377,5517.58,47.0613,377,62.6639,-9187.951171875,6247.0,1885000
378,5394.74,47.8744,378,63.4433,-8972.728515625,6289.14,1890000
379,5653.66,52.5112,379,64.8296,-9715.8701171875,5702.7,1895000
380,5073.06,48.4101,380,63.3097,-9211.9365234375,6149.34,1900000
381,5244.43,43.5628,381,62.5691,-8780.4453125,6269.49,1905000
382,5683.04,47.0985,382,61.5699,-8907.1728515625,6213.85,1910000
383,5755.47,54.9982,383,65.7408,-9967.998046875,6203.38,1915000
384,5499.57,53.7654,384,65.9839,-9835.060546875,6220.09,1920000
