Itration,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
166,3265.31,13.4746,3275.63,27.5527
167,2603.17,15.8422,2604.98,31.7692
168,2941.31,15.036,2919.08,29.8062
169,3008.35,15.7065,3046.71,29.3226
170,3014.81,14.3343,3093.68,28.1403
171,2533.37,17.876,1975.55,31.4527
172,2811.4,13.9181,2896.06,28.4084
173,3137.45,15.6215,3144.22,28.3818
174,2384.73,14.1559,2461.68,31.0015
175,2272.39,19.475,1638.08,30.9825
176,3123.89,16.3688,3144.03,29.1766
177,3051.23,14.4818,3069.87,28.0442
178,1632.01,14.1711,1977.28,34.7332
179,2094.47,12.3134,2335.88,30.8452
180,2792.68,15.4826,2777.12,30.1389
181,3042.56,16.2984,2953.46,29.6241
182,3188.86,17.741,3192.18,29.2763
183,2965.67,16.8333,2981.5,31.8651
184,3000.09,17.1431,3032.62,30.5395
185,3062.57,15.9821,3073.0,28.673
186,1498.92,17.5421,2079.24,31.3285
187,3095.49,14.4113,3003.66,27.8457
188,884.73,18.7226,1548.8,29.925
189,2321.02,14.2864,2318.87,32.0105
190,2774.8,13.8409,2773.28,29.8218
191,2830.4,16.3565,2783.85,30.2125
192,3295.77,15.9708,3263.44,28.9271
193,3058.25,15.6298,3047.43,29.7243
194,3166.68,16.3033,3161.03,28.2966
195,3018.63,16.4271,3051.09,28.6613
196,2862.18,14.9861,2896.81,28.2903
197,3011.23,14.667,3025.28,28.5389
198,1991.21,13.0005,2523.09,27.8363
199,3090.16,16.2728,3273.98,29.9056
