Itration,Real Det Return,Real Sto Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Running Forward KL
34,3136.75,2248.41,-1014.9523315429688,14.6928,170000,34,22.2348
35,3194.17,2104.42,-1485.074462890625,22.9676,175000,35,22.0802
36,3061.54,1855.76,-1262.0699462890625,21.4518,180000,36,22.1184
37,3222.48,2435.1,-1281.1336669921875,26.1415,185000,37,21.0952
38,3128.6,2659.12,-1351.659423828125,21.8334,190000,38,20.7405
39,3158.67,2541.22,-1080.65869140625,21.6106,195000,39,21.383
40,3204.07,2354.65,-1436.802978515625,29.9775,200000,40,21.695
41,3150.47,1718.58,-1443.1204833984375,30.0798,205000,41,21.2734
42,3160.82,3111.23,-708.1963500976562,13.6164,210000,42,19.7641
43,3215.62,2948.95,-383.9269104003906,11.3772,215000,43,19.8006
44,3121.64,2916.86,-765.2276611328125,18.3046,220000,44,19.9166
45,3224.93,1714.13,-1705.3253173828125,21.28,225000,45,20.3426
46,3155.35,2929.52,-568.2744140625,13.5347,230000,46,19.7318
47,3218.87,3234.3,-473.38604736328125,20.3736,235000,47,19.714
48,3223.86,2789.1,-700.8795166015625,21.1222,240000,48,19.6288
49,3252.88,3088.13,-983.6135864257812,31.95,245000,49,19.3643
50,3346.51,3188.87,-248.37217712402344,11.1509,250000,50,18.288
51,3250.02,3159.22,-396.925048828125,10.8255,255000,51,18.913
52,3262.92,3263.65,-336.0340881347656,10.1934,260000,52,17.5682
53,3375.78,3351.4,-226.2911834716797,11.5538,265000,53,17.9641
54,3290.03,2654.96,-307.1307373046875,12.6317,270000,54,18.1308
55,3397.87,2439.94,-996.2800903320312,33.4357,275000,55,18.4508
56,3343.0,3259.78,-658.0162353515625,19.5859,280000,56,17.6019
57,3363.81,3239.78,-358.7146301269531,12.9504,285000,57,17.6488
58,3405.59,3223.97,-211.33328247070312,10.4816,290000,58,17.9293
59,3372.35,3346.09,-277.59625244140625,10.6494,295000,59,17.6963
60,3265.97,3139.29,-414.934326171875,10.2856,300000,60,18.0084
61,3443.29,2785.2,-169.88922119140625,10.6877,305000,61,17.1711
62,3340.69,3330.23,-260.252685546875,10.3374,310000,62,17.4694
63,3424.09,3395.11,-177.20578002929688,10.4983,315000,63,16.9114
64,3418.02,3189.99,-161.85081481933594,10.2305,320000,64,16.7522
65,3416.32,3345.26,-306.32763671875,11.5275,325000,65,17.6253
66,3420.87,3368.06,-211.51516723632812,10.1441,330000,66,16.746
67,3393.21,3364.48,-663.8683471679688,14.3973,335000,67,16.9802
68,3444.66,3227.49,-353.7533874511719,12.4637,340000,68,17.5491
69,3407.71,3206.79,-197.5747833251953,9.6371,345000,69,16.3464
70,3391.77,3378.35,-196.79994201660156,9.8706,350000,70,16.4333
71,3424.87,3396.0,-217.71371459960938,10.3006,355000,71,16.6324
72,3406.96,3279.34,-473.82269287109375,12.3113,360000,72,17.0787
73,3383.75,3305.17,-402.4959411621094,10.7745,365000,73,17.3636
74,3457.96,3111.0,-594.36962890625,11.0373,370000,74,17.724
75,3431.96,3317.97,-490.9881286621094,10.9732,375000,75,16.7307
76,3467.39,2715.61,-762.5128784179688,16.9982,380000,76,17.8267
77,3446.66,2926.95,-372.1389465332031,12.0755,385000,77,16.4692
78,3425.95,3295.26,-345.0702209472656,10.3825,390000,78,16.9286
79,3373.79,3128.7,-234.51881408691406,10.1242,395000,79,16.5154
80,3403.33,3363.51,-358.312255859375,10.9672,400000,80,16.976
81,3452.6,3353.94,-144.04293823242188,10.973,405000,81,17.1949
82,3404.19,3400.07,-703.0769653320312,9.7962,410000,82,16.7367
83,3393.53,2869.65,-789.771728515625,10.2225,415000,83,16.9832
84,3441.06,2687.93,-870.1129150390625,10.0763,420000,84,17.9195
85,3451.72,3006.72,-458.7060546875,9.8214,425000,85,16.5475
86,3424.94,3369.39,-421.0677185058594,9.7359,430000,86,16.1868
87,3395.55,2872.39,-1192.445556640625,10.9303,435000,87,16.9992
88,3436.03,2837.54,-775.7167358398438,9.835,440000,88,17.0796
89,3429.88,3029.28,-556.4296264648438,10.2082,445000,89,16.7713
90,3431.83,3128.52,-501.2342834472656,11.1888,450000,90,16.989
91,3408.06,3163.14,-560.1250610351562,9.6312,455000,91,16.5415
92,3433.5,2828.48,-1222.9896240234375,15.6762,460000,92,17.4087
93,3421.62,3085.95,-555.5643920898438,9.2344,465000,93,15.3124
94,3424.57,2467.32,-1350.2703857421875,14.7698,470000,94,17.8893
95,3422.14,2791.34,-739.1318359375,10.3783,475000,95,15.8387
96,3425.86,2987.02,-801.980224609375,10.3278,480000,96,16.7995
97,3425.19,2735.01,-605.5241088867188,10.4969,485000,97,16.4895
98,3409.7,3384.19,-310.1253662109375,9.5839,490000,98,15.7831
99,3404.75,3379.97,-345.7241516113281,10.3283,495000,99,16.685
100,3406.99,3331.09,-248.70034790039062,10.0512,500000,100,16.1777
101,3413.08,3255.69,-784.7056274414062,12.5295,505000,101,16.8324
102,3396.3,3264.68,-484.95330810546875,9.7481,510000,102,16.0255
103,3448.73,3023.13,-728.542236328125,12.1671,515000,103,17.2186
104,3470.02,3034.53,-1358.3861083984375,11.2497,520000,104,17.4739
105,3466.41,3281.78,-269.7117004394531,9.7973,525000,105,15.9365
106,3444.5,2648.22,-1201.4716796875,13.0166,530000,106,16.9708
107,3399.27,3350.81,-691.8056030273438,10.9471,535000,107,16.2866
108,3417.28,3199.93,-375.667724609375,9.965,540000,108,16.401
109,3403.71,3056.84,-945.5291137695312,10.2722,545000,109,16.8763
110,3376.87,3217.1,-520.6766967773438,9.6943,550000,110,16.4131
111,3425.9,2914.83,-1378.539306640625,9.4796,555000,111,17.4139
112,3387.4,3389.66,-351.97265625,9.8672,560000,112,16.108
113,3398.74,3145.87,-684.4876098632812,9.2096,565000,113,15.9119
114,3410.48,2917.08,-383.4740905761719,9.8025,570000,114,16.0655
115,3379.24,3364.73,-378.2152404785156,9.3258,575000,115,15.7454
116,3433.03,3174.36,-994.7818603515625,17.3888,580000,116,16.0307
117,3369.8,3090.75,-673.991943359375,8.5882,585000,117,15.8859
118,3444.94,2627.43,-1486.6845703125,10.9915,590000,118,17.2252
119,3419.17,3254.23,-1742.5316162109375,16.7732,595000,119,17.0316
120,3445.99,3373.11,-577.3418579101562,13.4505,600000,120,16.412
121,3391.47,3237.81,-823.2344970703125,12.4456,605000,121,16.2258
122,3410.69,3280.95,-473.8064270019531,9.8354,610000,122,16.1154
123,3435.34,3040.85,-807.1878662109375,9.9038,615000,123,15.8738
124,3389.33,3390.49,-499.11639404296875,9.7824,620000,124,15.765
125,3425.17,3062.7,-383.2683410644531,9.4193,625000,125,15.4308
126,3425.4,2866.79,-917.7811279296875,11.0275,630000,126,16.2942
127,3455.69,3379.4,-499.7591857910156,10.201,635000,127,15.8501
128,3474.91,3219.57,-1091.4959716796875,12.3258,640000,128,16.4455
129,3410.74,2905.14,-1313.2908935546875,12.3237,645000,129,16.3271
130,3383.61,3252.25,-508.9936218261719,9.6782,650000,130,15.8734
131,3451.78,2671.87,-1454.7529296875,10.9152,655000,131,16.8127
132,3476.22,2916.41,-1167.1778564453125,10.433,660000,132,17.9001
133,3444.1,2890.56,-835.4842529296875,8.9582,665000,133,15.708
134,3454.75,3237.79,-599.7416381835938,9.4656,670000,134,16.1203
135,3393.13,3379.68,-444.2972717285156,9.8027,675000,135,15.5359
136,3380.86,3387.57,-464.2039489746094,9.6683,680000,136,16.2483
137,3409.77,3383.73,-464.3529052734375,9.4014,685000,137,15.4135
138,3402.07,3349.42,-436.7381896972656,9.7247,690000,138,15.7492
139,3406.67,2961.92,-1465.0565185546875,10.4057,695000,139,16.6057
140,3421.37,3351.36,-474.29052734375,10.2863,700000,140,15.893
141,3406.41,3378.29,-477.774658203125,9.4819,705000,141,15.9626
142,3393.14,3395.97,-450.7699890136719,9.4228,710000,142,15.8325
143,3406.81,3184.7,-834.7223510742188,9.8773,715000,143,16.5318
144,3456.5,2551.53,-1835.8895263671875,10.2476,720000,144,17.9788
145,3423.84,3301.81,-362.0766296386719,9.1225,725000,145,15.0686
146,3441.18,2886.01,-1057.9656982421875,9.47,730000,146,16.4935
147,3421.35,3149.23,-1054.6746826171875,11.6262,735000,147,16.0184
148,3412.37,3214.55,-740.3863525390625,8.8093,740000,148,15.2264
149,3429.45,2986.1,-990.4027099609375,9.4596,745000,149,16.6811
150,3399.54,3386.99,-548.4631958007812,10.0291,750000,150,15.831
151,3425.26,2995.27,-959.8302612304688,9.2791,755000,151,16.2843
152,3425.37,3023.79,-827.2615966796875,8.569,760000,152,16.129
153,3390.87,3163.01,-741.4739379882812,9.3404,765000,153,16.381
154,3401.43,3160.57,-511.4394836425781,9.2554,770000,154,15.4471
155,3416.98,3295.69,-989.8627319335938,9.6639,775000,155,16.5054
156,3422.52,3051.1,-1083.341064453125,9.0185,780000,156,16.5485
157,3409.98,3056.06,-769.7620239257812,9.3596,785000,157,15.9546
158,3432.6,3050.76,-872.3364868164062,9.3013,790000,158,16.8828
159,3461.48,2996.93,-827.3558349609375,9.1056,795000,159,16.2978
160,3451.48,2617.17,-1509.78759765625,10.3786,800000,160,17.2268
161,3445.45,3086.81,-1222.8887939453125,11.4381,805000,161,16.0055
162,3421.58,3395.91,-898.0180053710938,9.2331,810000,162,15.9627
163,3450.37,3270.97,-707.7884521484375,9.8325,815000,163,16.1694
164,3454.79,2268.54,-2005.518310546875,10.0119,820000,164,17.691
165,3421.85,2915.24,-1284.1785888671875,9.3361,825000,165,16.5669
166,3433.73,2724.05,-1510.0377197265625,12.8808,830000,166,17.1156
167,3431.83,2719.92,-1647.7315673828125,10.9978,835000,167,17.3082
168,3400.64,2724.84,-1262.9571533203125,9.5434,840000,168,16.9765
169,3449.76,2350.28,-2154.661865234375,9.7048,845000,169,17.7668
170,3430.73,3277.65,-1546.58349609375,12.0754,850000,170,16.7691
171,3456.86,2320.41,-2321.85400390625,9.5953,855000,171,17.8014
172,3420.05,2861.0,-1582.075927734375,9.6247,860000,172,16.8457
173,3475.92,2389.74,-1123.98779296875,9.5951,865000,173,15.9653
174,3425.62,3222.63,-1257.407958984375,9.7613,870000,174,16.1422
175,3431.96,3285.51,-562.609130859375,9.6612,875000,175,15.7856
176,3438.76,2841.82,-1509.3802490234375,9.9379,880000,176,17.0389
177,3422.28,2675.01,-1627.65234375,11.3363,885000,177,17.7764
178,3430.89,2604.35,-1926.22607421875,9.6606,890000,178,16.816
179,3420.3,2691.62,-1791.10498046875,10.0649,895000,179,16.9342
180,3425.61,3303.09,-1063.60693359375,9.5221,900000,180,15.6563
181,3401.29,3074.87,-1551.440673828125,9.3363,905000,181,16.4587
182,3439.3,2744.68,-1132.216064453125,9.7585,910000,182,16.8758
183,3410.87,3062.46,-732.5630493164062,9.3922,915000,183,15.6037
184,3423.58,2940.14,-843.7713623046875,10.131,920000,184,16.1011
185,3408.1,3346.94,-627.6473388671875,9.433,925000,185,15.3785
186,3427.75,3186.86,-1466.328125,9.8333,930000,186,16.3859
187,3423.22,3121.26,-1112.7733154296875,9.5245,935000,187,16.526
188,3423.74,3080.68,-1726.76953125,10.4324,940000,188,16.5797
189,3411.66,2694.11,-2150.907958984375,10.2537,945000,189,17.5462
190,3428.53,3177.29,-1314.440673828125,9.2543,950000,190,16.5095
191,3432.08,2509.57,-2767.610107421875,14.6599,955000,191,16.3618
192,3426.89,2763.27,-1287.3216552734375,9.8621,960000,192,16.7339
193,3430.69,2804.28,-2098.182861328125,10.1698,965000,193,17.1501
194,3438.94,2827.05,-962.33154296875,9.5215,970000,194,16.2211
195,3449.26,3120.69,-878.7887573242188,9.5132,975000,195,15.9214
196,3436.67,3314.03,-785.6172485351562,9.3615,980000,196,15.7705
197,3435.3,3141.85,-1158.6533203125,9.873,985000,197,16.4141
198,3425.31,3369.2,-801.3387451171875,9.45,990000,198,15.6157
199,3445.09,2756.76,-3125.6025390625,10.9291,995000,199,17.5
