Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Env Steps,Real Sto Return,Running Update Time,Running Forward KL
82,14.7182,-1744.947509765625,702.34,410000,744.25,82,152.0026
83,11.9426,-1643.1748046875,5081.26,415000,4711.15,83,151.0479
84,14.1294,-1402.5682373046875,6309.28,420000,8117.2,84,148.4216
85,41.8663,-1313.2197265625,-490.62,425000,-480.45,85,161.2241
86,14.8646,-1870.8486328125,-128.06,430000,-140.73,86,158.7653
87,16.8875,-1866.8472900390625,1114.24,435000,999.85,87,156.9657
88,12.936,-1687.78515625,6567.83,440000,5609.07,88,152.0344
89,14.9436,-1499.0074462890625,8266.25,445000,7688.87,89,149.7144
90,14.3623,-1479.3123779296875,8371.34,450000,8058.26,90,149.0753
91,14.8753,-1446.6318359375,9093.68,455000,8658.13,91,148.1411
92,15.3524,-1467.0919189453125,9373.33,460000,8798.56,92,148.3054
93,15.4779,-1524.3175048828125,9365.76,465000,8620.36,93,148.5559
94,15.2276,-1484.0,9422.14,470000,8991.82,94,147.9219
95,15.8227,-1617.892578125,9112.53,475000,8283.13,95,148.7406
96,15.9278,-1567.2900390625,9595.23,480000,8885.08,96,147.7677
97,15.5515,-1593.2987060546875,9648.82,485000,8447.5,97,148.7275
98,15.717,-1545.00146484375,9880.25,490000,9357.38,98,147.453
99,15.8001,-1580.6361083984375,9604.22,495000,9199.29,99,147.731
100,16.4637,-1563.0145263671875,9400.83,500000,9072.53,100,148.2266
101,15.4,-1659.8990478515625,9509.7,505000,9348.06,101,147.8312
102,16.0372,-1580.4083251953125,10087.13,510000,9567.23,102,147.2963
103,16.5703,-1564.7969970703125,9943.31,515000,9505.32,103,147.1967
104,15.8554,-1640.737060546875,9838.96,520000,9219.81,104,147.517
105,16.3431,-1660.335693359375,9886.88,525000,9385.32,105,147.1802
106,16.3971,-1650.4688720703125,10150.85,530000,9566.69,106,147.4404
107,15.704,-1580.5806884765625,10279.63,535000,9815.24,107,146.1236
108,16.4748,-1607.2850341796875,10183.52,540000,9772.46,108,146.6969
109,16.9914,-1611.80810546875,10244.81,545000,9729.35,109,146.9009
110,16.7746,-1670.279541015625,10246.05,550000,9753.46,110,147.3808
111,17.5804,-1691.7843017578125,10423.79,555000,9927.38,111,147.6777
112,16.1986,-1683.34912109375,10110.15,560000,9743.49,112,146.8811
113,15.8833,-1680.6611328125,10381.62,565000,9979.99,113,146.294
114,16.3008,-1670.7396240234375,10560.03,570000,9915.96,114,145.1941
115,16.6774,-1644.9368896484375,10391.79,575000,9927.79,115,146.0714
116,16.6631,-1693.6826171875,10476.54,580000,9847.37,116,146.7171
117,17.5591,-1713.0887451171875,10508.97,585000,10071.13,117,146.6001
118,17.0226,-1805.7435302734375,10058.78,590000,9771.43,118,146.5234
119,16.7538,-1721.0447998046875,10601.64,595000,10147.85,119,145.3799
120,16.1683,-1804.2147216796875,10522.43,600000,9025.58,120,145.7718
121,18.5069,-1865.5025634765625,9908.16,605000,9638.0,121,147.2518
122,17.2721,-1768.51025390625,10592.13,610000,10125.69,122,145.756
123,16.6731,-1783.82373046875,10637.61,615000,10109.73,123,145.2961
124,17.0856,-1785.6522216796875,10517.03,620000,10065.47,124,146.4202
125,15.9387,-1766.8492431640625,10758.97,625000,10230.28,125,144.8182
126,16.5652,-1790.8480224609375,10694.84,630000,10152.65,126,145.084
127,16.9675,-1751.4049072265625,10597.3,635000,10234.66,127,144.9712
128,16.0051,-1863.126220703125,10558.15,640000,10152.72,128,145.5212
129,15.6307,-1835.50830078125,10664.62,645000,10214.3,129,144.8962
130,16.0935,-1814.4742431640625,10953.1,650000,10479.08,130,144.7608
131,16.6309,-1826.413818359375,10541.88,655000,10320.41,131,144.1813
132,17.7579,-1832.5379638671875,10863.27,660000,10409.17,132,144.3943
133,16.5965,-1823.8372802734375,10927.1,665000,10537.28,133,143.8345
134,15.0699,-1961.7076416015625,10332.67,670000,10451.25,134,144.9899
135,16.9608,-1856.9598388671875,11002.34,675000,10613.04,135,144.3106
136,15.8402,-1844.74755859375,11061.62,680000,10588.59,136,142.295
137,16.3064,-1821.5780029296875,11135.54,685000,10652.63,137,141.9296
138,16.331,-1899.3990478515625,11027.07,690000,10427.07,138,143.5625
139,17.424,-1943.494384765625,10904.02,695000,10454.31,139,144.1987
140,16.8327,-1913.430419921875,11135.97,700000,10655.97,140,142.8372
141,16.9845,-1973.9097900390625,10913.1,705000,10468.06,141,142.6644
142,16.6178,-1881.9249267578125,11106.99,710000,10699.2,142,143.2832
143,17.2789,-1918.9925537109375,11010.6,715000,10712.11,143,143.3266
144,16.0325,-1949.5570068359375,11174.87,720000,10743.57,144,142.2462
145,16.431,-1893.1031494140625,11114.01,725000,10824.04,145,142.1335
146,15.5063,-1919.1607666015625,11330.56,730000,10811.65,146,141.2587
147,15.5654,-2022.4716796875,11176.51,735000,10763.08,147,142.2066
148,15.5042,-2057.9619140625,11266.94,740000,10814.21,148,142.1245
149,16.4625,-1995.8436279296875,11202.06,745000,10688.48,149,142.2993
150,15.476,-1978.4906005859375,11215.0,750000,10752.69,150,141.7362
151,16.3464,-2045.326171875,11323.88,755000,10882.54,151,141.971
152,16.1036,-2021.2032470703125,11141.52,760000,10764.03,152,142.2278
153,15.2715,-1943.56689453125,11437.68,765000,10278.22,153,141.0994
154,16.1209,-1974.8927001953125,11387.88,770000,10964.04,154,141.6339
155,16.3247,-2056.8330078125,11374.61,775000,10999.65,155,141.4973
156,17.5205,-2028.5211181640625,11307.35,780000,10992.1,156,141.8111
157,16.7899,-2050.834716796875,11436.95,785000,10946.77,157,141.7206
158,15.9924,-2090.386474609375,11346.77,790000,10857.31,158,141.6437
159,16.235,-2159.501220703125,11207.62,795000,10861.65,159,142.2341
160,16.8479,-2054.1611328125,11508.23,800000,11004.79,160,141.251
161,15.6348,-2234.98046875,10841.66,805000,10492.17,161,142.3894
162,15.2946,-2163.32666015625,11055.22,810000,10718.37,162,141.7619
163,15.5019,-2159.006591796875,11296.05,815000,10823.21,163,141.2637
164,16.0578,-2083.279541015625,11500.06,820000,11019.06,164,141.0938
165,15.7839,-2053.05908203125,11329.9,825000,10946.72,165,140.5965
166,16.2358,-2174.98291015625,11640.82,830000,11132.58,166,140.5774
167,16.0721,-2241.753662109375,11500.66,835000,10984.7,167,141.1587
168,16.5217,-2262.04736328125,11565.04,840000,10809.23,168,140.4701
169,16.3042,-2247.6640625,11289.3,845000,10944.4,169,140.504
170,16.8393,-2204.110107421875,11635.35,850000,11188.27,170,140.7443
171,16.3398,-2241.03466796875,11557.05,855000,11241.12,171,140.136
172,17.4123,-2284.53369140625,11479.73,860000,11079.42,172,141.3994
173,17.8742,-2297.203369140625,11307.23,865000,10990.39,173,141.368
174,16.0173,-2308.6708984375,11496.68,870000,10975.72,174,140.6652
175,16.8955,-2260.184326171875,11626.87,875000,11118.47,175,140.5115
176,15.9714,-2301.158447265625,11638.36,880000,11273.42,176,139.6069
177,17.3971,-2385.283203125,11537.19,885000,11216.42,177,140.1731
178,16.6978,-2306.911376953125,11656.57,890000,11211.75,178,140.5653
179,16.3492,-2274.700439453125,11740.03,895000,11329.16,179,138.4947
180,16.7411,-2278.78564453125,11700.43,900000,11252.92,180,139.6988
181,16.377,-2371.6162109375,11671.56,905000,11303.13,181,140.6297
182,16.8498,-2365.6083984375,11804.27,910000,11335.34,182,139.5909
183,16.5598,-2411.36474609375,11541.79,915000,11164.83,183,140.0318
184,16.1038,-2379.445068359375,11633.27,920000,11167.75,184,139.2341
185,16.3691,-2426.302001953125,11677.51,925000,11289.39,185,140.156
186,17.0801,-2520.04541015625,11732.72,930000,11219.43,186,139.5066
187,17.3019,-2454.312744140625,11650.95,935000,11307.61,187,140.1818
188,17.2517,-2533.2568359375,11815.21,940000,11395.57,188,140.2441
189,17.9901,-2533.98291015625,11655.14,945000,11273.88,189,140.7419
190,16.8938,-2509.023681640625,11713.81,950000,11290.29,190,139.6264
191,17.8161,-2554.919677734375,11661.96,955000,11278.27,191,140.7796
192,17.5731,-2471.671142578125,11849.17,960000,11498.47,192,139.8473
193,17.1002,-2488.1357421875,11682.77,965000,11294.91,193,139.7027
194,17.6169,-2540.404541015625,11822.04,970000,11452.79,194,139.5085
195,17.2279,-2719.205810546875,11728.92,975000,11299.22,195,139.8866
196,16.6189,-2552.27880859375,11786.67,980000,11270.18,196,139.3575
197,17.1805,-2505.79833984375,11863.07,985000,11560.72,197,137.8634
198,17.3325,-2586.60595703125,11976.59,990000,11406.85,198,139.0661
199,16.2362,-2582.921630859375,11783.88,995000,11375.52,199,137.8311
200,16.7626,-2517.359375,11988.54,1000000,11228.37,200,138.2681
201,16.9406,-2552.380126953125,12104.43,1005000,11709.74,201,138.3452
202,16.9005,-2673.409423828125,11913.23,1010000,11627.43,202,137.3255
203,16.9771,-2533.663818359375,12262.28,1015000,11720.58,203,138.3412
204,16.8011,-2626.747314453125,11820.92,1020000,11568.89,204,138.3085
205,17.2408,-2561.05908203125,12151.65,1025000,11251.65,205,138.3131
206,16.7129,-2584.6357421875,12097.0,1030000,10314.38,206,138.2524
207,17.2656,-2570.93017578125,12207.94,1035000,11690.0,207,137.3693
208,16.883,-2674.51611328125,12198.67,1040000,11313.05,208,137.769
209,17.1728,-2604.058349609375,12401.66,1045000,11802.56,209,138.3975
210,17.2754,-2682.56640625,12088.22,1050000,11284.23,210,139.2953
211,13.0869,-3681.80908203125,103.34,1055000,-85.21,211,156.9935
212,22.5634,-4291.73046875,-301.22,1060000,-234.64,212,157.0238
213,19.6932,-2949.67529296875,-421.52,1065000,-412.55,213,157.4416
214,13.677,-4351.75048828125,-272.94,1070000,-158.55,214,157.6327
215,16.2329,-4414.7255859375,313.61,1075000,318.97,215,158.2338
216,11.5764,-4326.02001953125,1277.01,1080000,1082.6,216,155.3987
217,12.5056,-4482.255859375,948.5,1085000,1078.08,217,154.5186
218,12.8239,-3644.97607421875,777.55,1090000,1249.95,218,152.2201
219,13.1787,-3449.73681640625,852.94,1095000,580.19,219,152.3658
220,10.1653,-4590.64208984375,1174.02,1100000,661.2,220,151.3188
221,11.1594,-4653.375,1268.76,1105000,853.98,221,154.007
222,12.114,-4438.373046875,3191.63,1110000,3285.66,222,150.7525
223,12.196,-4631.13671875,2529.91,1115000,3086.59,223,148.7204
224,11.1237,-4477.97216796875,2855.16,1120000,3022.72,224,147.2011
225,10.7582,-4024.3564453125,4818.09,1125000,3844.92,225,145.3743
226,14.0419,-4034.896484375,7088.22,1130000,5742.53,226,144.0192
227,12.8685,-3740.386962890625,7151.53,1135000,6315.51,227,143.3723
228,13.8556,-3663.7998046875,7870.16,1140000,8709.95,228,141.7191
229,13.7455,-3487.09521484375,9210.32,1145000,9417.95,229,140.8029
230,14.3777,-3416.52001953125,10361.45,1150000,9830.19,230,140.1581
231,14.6353,-3326.967529296875,10533.38,1155000,10227.96,231,140.1098
232,14.4393,-3226.867919921875,11254.22,1160000,10642.3,232,138.8145
233,13.7906,-3477.706787109375,10533.52,1165000,10012.26,233,140.1059
234,14.0723,-3679.0458984375,9732.32,1170000,8862.1,234,139.8991
235,13.0718,-3926.417236328125,8582.46,1175000,8013.04,235,141.3446
236,12.6379,-3848.367919921875,9748.05,1180000,8619.6,236,140.0183
237,14.9962,-3829.3623046875,10315.88,1185000,9409.13,237,141.2216
238,15.8642,-3649.9189453125,10676.19,1190000,10158.47,238,140.7076
239,14.8345,-3567.125732421875,10879.99,1195000,10374.36,239,140.1073
240,14.7236,-3636.89599609375,10377.39,1200000,10014.47,240,139.8329
241,15.2364,-3513.83203125,10509.93,1205000,10271.02,241,139.2198
242,14.0984,-3647.087646484375,10200.02,1210000,9751.43,242,139.993
243,13.1764,-4002.979736328125,9302.69,1215000,9000.57,243,142.772
244,12.6686,-4671.916015625,7400.81,1220000,6601.15,244,146.2597
245,11.8927,-5022.99560546875,5576.69,1225000,5757.56,245,149.7781
246,11.9131,-5206.88916015625,5253.0,1230000,5389.48,246,150.4881
247,22.0975,-5906.51611328125,-141.31,1235000,252.57,247,158.69
248,10.9442,-5294.6708984375,5032.57,1240000,4213.28,248,150.2452
249,58.445,-5144.03369140625,-472.28,1245000,-491.42,249,161.7064
250,54.3293,-5346.052734375,-194.09,1250000,15.97,250,156.726
251,20.7243,-5695.0380859375,-405.76,1255000,-366.9,251,160.7017
252,15.9662,-6044.98876953125,28.07,1260000,37.93,252,158.7807
253,14.5844,-5228.98779296875,6358.82,1265000,5840.1,253,149.7457
254,13.7671,-4596.5078125,8387.38,1270000,7778.99,254,143.0588
255,18.8323,-5346.8798828125,29.18,1275000,3286.78,255,143.7021
256,13.5295,-5085.3427734375,5012.73,1280000,5819.14,256,141.6812
257,19.9677,-6190.3896484375,983.74,1285000,1070.31,257,151.5573
258,15.3579,-5006.7333984375,7864.27,1290000,6873.3,258,144.0278
259,13.8009,-5533.951171875,6367.66,1295000,6041.21,259,148.0658
260,115.7338,-6110.43896484375,-592.83,1300000,-576.61,260,161.1644
261,91.8645,-6153.11328125,-537.22,1305000,-533.22,261,162.4617
262,51.1405,-6809.3193359375,-420.88,1310000,-433.2,262,161.8625
263,24.7993,-6545.1953125,-474.6,1315000,-499.24,263,160.1552
264,30.8387,-6573.24609375,-887.67,1320000,-889.54,264,160.1982
265,28.4515,-6888.32177734375,-803.35,1325000,-800.37,265,160.2007
266,23.4341,-7002.6943359375,-632.16,1330000,-644.2,266,159.4639
267,54.8656,-6696.87158203125,-414.91,1335000,-440.38,267,159.9073
268,62.1862,-6718.4228515625,-487.92,1340000,-483.12,268,161.1053
269,36.3298,-6915.93310546875,-460.32,1345000,-521.55,269,160.0
270,30.1655,-6991.5390625,-593.29,1350000,-590.76,270,160.1076
271,60.458,-6767.70751953125,-485.87,1355000,-480.75,271,161.8845
272,38.7031,-7073.44140625,-390.93,1360000,-360.89,272,160.3546
273,91.0835,-7060.68896484375,-527.07,1365000,-526.58,273,162.7164
274,89.2114,-7076.849609375,-505.79,1370000,-506.57,274,161.6627
275,54.4389,-7216.07763671875,-452.23,1375000,-454.09,275,161.2983
276,36.2181,-7424.6943359375,-437.25,1380000,-444.39,276,160.322
277,24.7158,-7500.55712890625,-567.48,1385000,-591.66,277,160.4601
278,70.4971,-7312.7099609375,-490.15,1390000,-482.87,278,161.135
279,85.491,-7433.6162109375,-566.84,1395000,-570.11,279,159.0602
280,80.1586,-7525.58154296875,-567.61,1400000,-564.87,280,159.3781
281,20.7757,-6672.39794921875,-644.15,1405000,-669.16,281,158.3288
282,51.1677,-7467.88037109375,-516.55,1410000,-510.26,282,157.7516
283,13.9927,-6677.93017578125,-488.71,1415000,-477.92,283,157.6924
284,14.5234,-7324.35400390625,-570.3,1420000,-567.39,284,158.0984
285,17.5638,-7514.71875,-450.24,1425000,-454.19,285,158.202
286,18.0852,-7749.74365234375,-413.57,1430000,-416.44,286,158.1415
287,26.2116,-8546.35546875,-213.73,1435000,-222.98,287,159.2081
288,20.3152,-8668.5400390625,-182.38,1440000,-173.86,288,158.87
289,21.2269,-8482.205078125,-384.29,1445000,-393.22,289,159.4856
290,23.8414,-8669.5234375,-372.1,1450000,-366.27,290,159.216
291,78.4452,-7782.486328125,-499.4,1455000,-512.51,291,160.2616
292,34.1903,-8320.439453125,-358.71,1460000,-334.41,292,159.2418
293,41.6194,-8377.1640625,-429.46,1465000,-400.87,293,158.8189
294,18.6887,-8550.0,-266.1,1470000,-262.41,294,158.969
295,40.7456,-8561.0,-346.13,1475000,-358.08,295,158.7208
296,64.8335,-8368.0478515625,-448.83,1480000,-378.7,296,159.0457
297,58.0247,-8210.84765625,-371.76,1485000,-367.94,297,159.4304
298,20.4095,-8698.685546875,-244.57,1490000,-268.82,298,158.8389
299,30.4396,-8409.8056640625,-479.3,1495000,-457.14,299,159.2089
300,106.5707,-8584.216796875,-504.67,1500000,-518.78,300,158.9873
301,107.2957,-8664.4443359375,-497.27,1505000,-519.27,301,158.5002
302,93.5894,-8632.841796875,-521.73,1510000,-547.68,302,158.8558
303,98.2531,-8737.0673828125,-501.86,1515000,-499.61,303,158.8947
304,102.5023,-8794.2060546875,-535.75,1520000,-530.45,304,158.2358
305,61.5067,-8739.5732421875,-442.71,1525000,-424.49,305,158.4521
306,79.4963,-8759.44921875,-477.77,1530000,-481.49,306,159.0379
307,59.391,-8812.73046875,-490.26,1535000,-484.2,307,158.7367
308,53.4354,-8857.1416015625,-441.82,1540000,-455.46,308,158.8852
309,67.3596,-8927.8271484375,-442.53,1545000,-453.99,309,158.6886
310,58.1666,-8910.7734375,-444.95,1550000,-444.3,310,158.6054
311,74.6303,-8992.3994140625,-507.57,1555000,-502.28,311,158.3781
312,53.0424,-9156.9599609375,-433.8,1560000,-426.11,312,158.473
313,69.4404,-8936.89453125,-523.76,1565000,-517.05,313,158.1141
314,21.1931,-8997.109375,-443.89,1570000,-450.43,314,158.2213
315,20.3189,-8971.78125,-441.56,1575000,-459.12,315,158.7321
316,30.7059,-8827.1005859375,-434.98,1580000,-433.24,316,158.3584
317,13.6634,-8904.7734375,-330.43,1585000,-342.37,317,157.7597
318,30.8962,-8993.8095703125,-361.18,1590000,-375.68,318,158.2462
319,14.0495,-8553.3837890625,-433.17,1595000,-454.91,319,157.661
320,13.1861,-8640.9423828125,-461.03,1600000,-351.95,320,157.6852
321,47.7894,-9065.7890625,-413.5,1605000,-420.41,321,158.906
322,32.6232,-9122.48828125,-208.37,1610000,-200.88,322,158.7531
323,23.8487,-9119.318359375,-96.37,1615000,-103.58,323,159.6534
324,20.6503,-9361.2666015625,-251.7,1620000,-229.82,324,158.8961
325,26.995,-9398.5361328125,-430.35,1625000,-429.75,325,159.373
326,32.8878,-9493.154296875,-478.69,1630000,-462.63,326,160.2277
327,22.7894,-9536.5078125,-293.33,1635000,-297.65,327,158.9151
328,19.4838,-9426.12109375,-364.23,1640000,-362.72,328,159.408
329,16.8317,-9524.833984375,-210.11,1645000,-205.62,329,159.2638
330,20.96,-9398.2158203125,-356.01,1650000,-337.13,330,158.9374
331,29.1305,-9542.05859375,-177.02,1655000,-166.72,331,158.761
332,22.2233,-9689.4833984375,-141.16,1660000,-138.11,332,159.0674
333,74.5263,-9346.494140625,-308.78,1665000,-398.56,333,158.957
334,29.2845,-9745.08984375,-237.36,1670000,-254.84,334,158.9302
335,78.1791,-9332.33984375,-203.23,1675000,-205.08,335,159.0355
336,62.6026,-9264.45703125,-322.77,1680000,-359.54,336,159.261
337,92.5709,-9156.5048828125,-360.17,1685000,-346.11,337,159.3626
338,130.0533,-8951.2880859375,-497.37,1690000,-487.82,338,159.6219
339,68.9616,-9319.58203125,-381.46,1695000,-401.78,339,159.222
340,167.1253,-8487.4521484375,-593.09,1700000,-593.11,340,162.4449
341,61.0473,-9223.9951171875,-559.75,1705000,-559.02,341,162.0644
342,203.5059,-9436.6962890625,-683.05,1710000,-652.29,342,161.0485
343,115.0738,-9347.345703125,-769.98,1715000,-736.98,343,157.983
344,20.1442,-8977.8798828125,-992.0,1720000,-952.97,344,157.9409
345,30.9164,-9662.38671875,-654.32,1725000,-651.22,345,159.042
346,18.6943,-10305.189453125,-277.76,1730000,-243.8,346,158.6464
347,19.0515,-10090.671875,-728.31,1735000,-746.66,347,159.107
348,18.2611,-10060.1884765625,-758.57,1740000,-772.06,348,159.267
349,21.8281,-10021.25390625,-203.39,1745000,-182.15,349,159.6305
350,16.5163,-9991.4267578125,-245.84,1750000,-230.28,350,158.7152
351,29.314,-9999.8076171875,95.34,1755000,108.44,351,158.3952
352,82.2368,-9336.353515625,-216.6,1760000,-179.57,352,159.0533
353,71.4163,-9443.0595703125,-8.65,1765000,15.13,353,157.0867
354,19.3352,-9965.591796875,-72.83,1770000,-75.62,354,158.5571
355,20.5589,-9873.271484375,5.37,1775000,20.79,355,157.919
356,60.4859,-9694.4443359375,-68.71,1780000,-137.38,356,158.546
357,18.2083,-10133.2265625,-285.93,1785000,-287.79,357,158.8047
358,104.7965,-9385.435546875,-464.03,1790000,-466.07,358,159.4654
359,237.7875,-9324.93359375,-552.09,1795000,-552.09,359,161.7944
360,280.0138,-9235.2919921875,-518.14,1800000,-514.58,360,161.9732
361,113.7332,-9342.67578125,-454.46,1805000,-466.43,361,161.9233
362,113.827,-8953.7275390625,-478.1,1810000,-478.36,362,162.1211
363,68.153,-9074.19140625,-499.08,1815000,-500.82,363,161.9357
364,203.3632,-8892.8330078125,-511.43,1820000,-511.43,364,162.2662
365,143.9581,-8894.3486328125,-526.1,1825000,-526.1,365,162.4111
366,226.3887,-9574.5537109375,-519.95,1830000,-519.06,366,160.9417
367,356.8176,-9393.4130859375,-577.91,1835000,-597.49,367,159.408
368,352.9157,-9270.62890625,-549.62,1840000,-553.93,368,158.9252
369,345.168,-9512.7890625,-599.79,1845000,-575.92,369,158.8644
370,229.9199,-9561.3154296875,-635.52,1850000,-643.84,370,158.5269
371,39.1768,-9487.0615234375,-631.37,1855000,-619.15,371,160.5686
372,275.2198,-9275.5419921875,-429.59,1860000,-429.59,372,162.5636
373,156.0895,-9196.7080078125,-396.21,1865000,-396.09,373,162.361
374,154.1211,-10214.6123046875,-239.27,1870000,-262.57,374,159.3047
375,27.9292,-9929.7509765625,-386.03,1875000,-373.19,375,159.5218
376,59.2619,-9647.21484375,-494.86,1880000,-481.71,376,160.4998
377,165.37,-9751.84375,-421.67,1885000,-443.73,377,160.4671
378,163.5105,-9375.779296875,-533.66,1890000,-467.51,378,160.3025
379,415.1888,-9689.1142578125,-598.34,1895000,-598.35,379,161.843
380,414.7912,-9632.517578125,-600.4,1900000,-600.4,380,161.6475
381,72.3195,-10031.6005859375,-371.53,1905000,-371.75,381,160.5877
382,202.4183,-9527.7275390625,-506.98,1910000,-506.98,382,162.5203
383,224.741,-9604.9677734375,-509.07,1915000,-509.07,383,161.9253
