Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Real Sto Return,Itration,Running Update Time,Running Forward KL
360000,-795.5350952148438,973.13,54.635,973.07,72,72,38.3011
365000,-803.2033081054688,979.19,42.2884,979.19,73,73,38.0322
370000,-805.7685546875,246.36,32.1886,246.61,74,74,34.1481
375000,-512.32421875,339.27,58.4353,303.41,75,75,31.8345
380000,-859.2740478515625,1002.57,51.0864,1002.67,76,76,38.9035
385000,-860.210205078125,989.17,54.1109,989.19,77,77,37.3874
390000,-862.9856567382812,1035.4,38.0105,1035.47,78,78,36.3174
395000,-857.9326782226562,1040.95,39.8891,1040.97,79,79,37.1492
400000,-719.8644409179688,864.12,36.2198,633.41,80,80,35.2039
405000,-509.3856506347656,134.83,24.5251,143.97,81,81,32.2677
410000,-982.7787475585938,139.36,165.2994,141.71,82,82,32.714
415000,-927.2085571289062,991.92,44.0055,991.09,83,83,40.1347
420000,-368.3682556152344,216.17,40.3476,170.03,84,84,36.7061
425000,-1010.0227661132812,67.54,38.8403,73.95,85,85,31.212
430000,-952.9120483398438,983.35,49.8296,989.18,86,86,38.709
435000,-983.6124877929688,1003.73,60.613,1003.9,87,87,39.717
440000,-649.3924560546875,48.98,171.6268,49.52,88,88,34.42
445000,-976.9708251953125,998.4,47.3588,998.18,89,89,38.7655
450000,-972.9014892578125,1038.42,28.2097,1037.18,90,90,35.6411
455000,-984.06640625,880.72,29.2649,908.9,91,91,37.036
460000,-1104.3193359375,246.61,92.4668,244.56,92,92,35.5981
465000,-1047.3983154296875,997.96,62.2721,997.83,93,93,38.0516
470000,-1037.7364501953125,392.62,31.4778,578.28,94,94,36.8644
475000,-1047.3543701171875,1023.03,32.7241,1023.53,95,95,36.4589
480000,-1062.2945556640625,1028.27,31.2794,1029.09,96,96,37.1287
485000,-1064.7730712890625,1029.79,28.5121,1025.28,97,97,36.9928
490000,-1075.2232666015625,1043.17,41.8608,1043.39,98,98,37.4863
495000,-998.20068359375,141.76,18.8362,47.73,99,99,36.2255
500000,-807.2262573242188,56.4,58.5228,58.49,100,100,35.0698
505000,-857.4002685546875,76.31,39.7242,75.49,101,101,35.2656
510000,-1161.8963623046875,1005.62,54.2727,1005.56,102,102,40.5411
515000,-778.0885620117188,61.51,61.1542,61.84,103,103,32.2094
520000,-966.9468994140625,86.9,58.0923,84.73,104,104,33.3471
525000,-1117.495361328125,55.06,55.0061,56.61,105,105,34.5641
530000,-1015.384765625,70.34,50.1902,69.54,106,106,31.4852
535000,-1219.109130859375,77.83,30.5305,80.01,107,107,34.524
540000,-1213.470703125,1027.21,39.944,1027.1,108,108,36.492
545000,-1225.186279296875,983.27,59.702,983.28,109,109,40.4315
550000,-1214.9666748046875,77.21,30.5594,77.81,110,110,35.5929
555000,-668.4722900390625,50.69,152.9988,48.95,111,111,33.9228
560000,-1310.846923828125,87.8,70.0871,95.61,112,112,33.7687
565000,-1270.4989013671875,1014.24,46.0111,1014.15,113,113,38.6876
570000,-1276.3143310546875,1021.98,44.7452,1021.86,114,114,37.2302
575000,-1309.110107421875,998.7,54.5213,999.18,115,115,39.9084
580000,-1278.060546875,81.96,60.2214,81.56,116,116,32.4286
585000,-1323.209228515625,203.22,143.2205,206.24,117,117,32.7024
590000,-1290.537353515625,57.67,35.4033,58.41,118,118,38.6064
595000,-1332.8292236328125,1000.32,48.7242,1000.06,119,119,38.9346
600000,-1010.8257446289062,37.28,117.6964,37.83,120,120,33.3642
605000,-1333.6844482421875,349.19,97.5125,348.11,121,121,33.4489
610000,-1386.9915771484375,988.25,52.0413,988.48,122,122,38.8597
615000,-1390.97412109375,987.88,40.5647,987.73,123,123,39.2743
620000,-1214.806884765625,221.54,57.9463,190.61,124,124,31.0674
625000,-1393.038330078125,835.63,52.034,713.35,125,125,34.4693
630000,-1446.0333251953125,995.87,59.4378,995.68,126,126,38.5712
635000,-1462.6396484375,998.86,48.7775,998.77,127,127,39.9544
640000,-1452.439208984375,998.38,38.5784,999.29,128,128,37.6224
645000,-1467.8790283203125,976.39,58.3749,976.4,129,129,38.5717
650000,-1264.6002197265625,361.31,27.3513,360.56,130,130,33.5003
655000,-1475.9022216796875,1038.15,40.3328,1038.19,131,131,33.8723
660000,-1338.8958740234375,738.99,34.6011,721.4,132,132,34.2945
665000,-1523.0306396484375,1018.21,42.5773,1017.97,133,133,34.4029
670000,-1517.302001953125,1050.76,26.1813,1050.66,134,134,36.2284
675000,-1509.9830322265625,1079.18,33.5266,1043.74,135,135,34.1887
680000,-1553.519775390625,1043.59,27.7864,1042.37,136,136,36.1687
685000,-1477.0958251953125,1004.14,29.6608,1003.05,137,137,37.7577
690000,-1534.572021484375,996.09,33.8889,995.2,138,138,38.6418
695000,-1574.075439453125,994.37,30.3138,1000.78,139,139,38.2821
700000,-1638.557373046875,1005.59,41.9698,1007.7,140,140,36.7681
705000,-1640.7012939453125,985.53,50.7779,986.03,141,141,37.2651
710000,-1654.053955078125,253.85,37.1589,253.13,142,142,36.0485
715000,-1585.599365234375,944.81,28.2048,944.64,143,143,33.5347
720000,-1558.7459716796875,100.46,32.0093,101.03,144,144,32.7183
725000,-1718.2618408203125,93.57,42.5634,93.52,145,145,33.1045
730000,-1717.7408447265625,998.67,42.4171,998.46,146,146,39.0104
735000,-1731.49072265625,1005.56,35.8044,1005.61,147,147,39.4255
740000,-1707.177978515625,1008.73,24.7241,1007.8,148,148,35.1528
745000,-1620.1986083984375,198.13,33.7024,197.72,149,149,32.9341
750000,-1663.154296875,324.12,34.6275,322.94,150,150,32.0983
755000,-1766.1552734375,1019.86,28.9608,1021.2,151,151,36.9164
760000,-1806.494384765625,985.11,54.5118,984.99,152,152,37.3844
765000,-1809.2926025390625,990.48,42.4055,990.49,153,153,37.9793
770000,-1813.845947265625,988.33,39.223,987.72,154,154,38.8352
775000,-1854.085205078125,1023.38,48.4891,869.01,155,155,34.8284
780000,-1864.5599365234375,999.07,44.4574,999.27,156,156,38.7937
785000,-1875.0458984375,1034.9,39.4505,1035.21,157,157,37.8262
790000,-1845.844970703125,246.09,36.8398,246.64,158,158,34.564
795000,-1722.00537109375,250.65,23.0274,250.97,159,159,33.8015
800000,-1742.985595703125,234.03,16.9592,233.91,160,160,34.4353
805000,-1931.5865478515625,982.51,49.5011,982.37,161,161,38.6549
810000,-1968.0770263671875,1000.37,44.7591,997.15,162,162,39.1038
815000,-1965.93359375,985.64,51.2763,985.47,163,163,39.3281
820000,-1974.1083984375,984.41,51.7039,984.46,164,164,40.0995
825000,-1970.9130859375,984.37,37.537,984.06,165,165,37.5978
830000,-1994.154541015625,986.62,39.8337,986.37,166,166,36.4466
835000,-2005.73974609375,981.59,40.533,983.31,167,167,38.1481
840000,-1372.0040283203125,146.01,29.0004,145.93,168,168,30.2044
845000,-1708.5618896484375,344.44,62.527,342.55,169,169,32.2671
850000,-2078.993408203125,1024.94,38.6115,1025.45,170,170,36.5307
855000,-2083.5234375,989.44,36.6584,989.72,171,171,36.8158
860000,-2083.607666015625,980.25,38.6227,980.5,172,172,37.6314
865000,-2035.635009765625,992.34,30.6181,993.17,173,173,37.9132
870000,-2131.5302734375,1028.23,40.3824,1028.33,174,174,37.0867
875000,-2144.738525390625,1029.03,37.5788,1029.05,175,175,37.4182
880000,-2144.510498046875,1031.21,38.2996,1030.68,176,176,36.7528
885000,-2165.049560546875,1028.25,37.4663,1028.28,177,177,37.9247
890000,-2176.575927734375,1032.23,32.9324,995.04,178,178,37.0099
895000,-1572.0364990234375,1023.42,20.0881,579.19,179,179,29.8515
900000,-2168.802734375,1011.36,34.5416,981.72,180,180,34.496
905000,-1697.1103515625,282.18,48.2709,303.9,181,181,31.3543
910000,-2122.688720703125,447.59,32.4825,710.72,182,182,32.5853
915000,-1738.32666015625,258.99,73.5301,257.24,183,183,34.0357
920000,-2071.360595703125,1021.06,26.8417,1020.33,184,184,37.5834
925000,-1945.892822265625,1008.21,21.1165,820.59,185,185,32.9654
930000,-2303.533447265625,1016.6,28.5085,1016.1,186,186,37.4292
935000,-2237.39111328125,272.82,64.3642,273.37,187,187,32.0232
940000,-2348.302001953125,1008.0,32.813,1008.4,188,188,38.1412
945000,-2398.966796875,353.85,124.5522,370.02,189,189,32.4936
950000,-2392.827392578125,976.06,44.7289,975.88,190,190,38.0499
955000,-2439.745849609375,256.1,84.6271,246.35,191,191,32.4966
960000,-2631.032470703125,251.13,137.6915,249.1,192,192,31.9455
965000,-2255.462890625,543.71,63.2804,474.97,193,193,34.2542
970000,-2237.955810546875,318.67,104.9843,287.07,194,194,29.8974
975000,-2183.67822265625,314.43,101.381,307.2,195,195,30.4619
980000,-1611.205078125,211.22,63.1229,239.88,196,196,30.8751
985000,-1663.0589599609375,220.21,51.1399,215.12,197,197,30.8804
990000,-2401.031982421875,252.94,55.8534,150.73,198,198,28.3191
995000,-2373.85205078125,359.12,67.6019,349.15,199,199,29.381
