Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL
150,345.53,67.0405,164.61,29.579
151,685.06,60.298,148.26,29.245
152,778.7,60.9091,237.15,27.6683
153,465.87,66.0894,10.1,30.192
154,319.73,69.8894,9.31,27.806
155,423.11,65.8079,110.52,26.034
156,850.24,64.2673,257.68,27.4358
157,852.39,66.013,221.96,28.0163
158,1110.8,52.3434,821.19,20.5059
159,1210.41,49.6552,861.55,19.9423
160,1423.98,58.5373,860.7,26.1859
161,1240.9,56.814,794.37,25.1691
162,1326.76,51.7836,946.7,22.9454
163,2366.69,47.6406,1448.26,19.581
164,2267.02,46.832,1682.6,20.2588
165,2160.9,52.6556,1028.49,22.8378
166,184.82,74.8595,-1.36,43.3405
167,362.45,63.7117,194.74,37.3591
168,400.06,65.5212,52.28,31.1792
169,702.1,63.4082,296.53,31.2753
170,605.82,58.0683,194.3,24.5933
171,1159.86,55.3825,374.07,20.938
172,1853.21,52.2493,752.3,19.8118
173,671.29,64.7377,212.22,29.0178
174,1241.21,49.3073,542.78,18.7263
175,1154.54,51.9803,893.6,21.0204
176,1121.46,49.0593,902.07,19.2862
177,800.9,58.7595,391.41,25.9181
178,1809.33,45.2941,1161.58,16.3752
179,1730.71,45.662,1249.46,17.1328
180,1519.74,49.9483,1075.81,19.9942
181,1249.81,48.2828,994.61,18.8657
182,2125.42,46.2639,1707.58,19.134
183,1109.71,58.7922,609.13,26.2279
184,-353.47,74.1018,-341.52,57.2421
185,448.4,65.4249,187.11,35.5517
186,929.46,58.2333,760.02,28.2759
187,1026.95,62.3723,535.29,29.1325
188,1304.14,52.4906,893.55,25.7499
189,1399.68,53.5637,795.22,22.3785
190,1191.84,57.5725,979.13,23.5413
191,1672.57,53.6385,860.75,21.9248
192,2245.48,45.0627,1540.18,17.6092
193,2498.32,45.8665,1445.11,16.1699
194,2301.84,45.8872,1663.91,16.3488
195,1992.68,49.502,1525.6,20.8526
196,2575.7,42.5972,1577.08,13.9085
197,1615.87,46.7685,1166.12,15.2571
198,2586.63,43.4375,2038.42,14.5068
199,1828.22,51.7659,1197.75,22.0801
200,656.32,66.0409,539.64,52.5746
201,1321.41,53.2603,946.01,31.7049
202,697.96,58.5111,497.18,33.108
203,1213.85,57.9106,450.34,28.6745
204,1798.56,51.7394,944.97,22.753
205,2374.29,43.5915,1556.2,15.5647
206,1597.08,55.1924,901.25,23.7262
207,1478.22,56.0325,611.45,25.4466
208,1205.63,53.5551,873.36,26.269
209,1220.49,54.2991,1165.92,23.1727
210,1571.66,53.0267,858.88,22.6688
211,636.58,62.0428,319.46,33.9926
212,929.11,54.3632,486.58,23.4519
213,945.93,55.3177,554.68,24.0265
214,2426.36,44.0474,1304.12,13.6461
215,1904.09,45.6768,1404.85,16.6517
216,1678.46,51.5886,1085.15,26.7222
217,1451.75,45.694,928.31,14.6361
218,681.02,54.6316,464.61,19.7414
219,707.76,65.2889,141.65,24.2531
220,1179.09,48.9468,523.88,16.445
221,2132.99,43.2577,938.0,21.2233
222,1711.98,49.5087,906.06,17.9379
223,810.48,57.7154,489.58,23.7122
224,1604.7,48.3926,1146.33,17.5323
225,1263.22,51.528,803.78,19.9703
226,1883.38,45.7998,941.68,18.4268
227,1820.79,44.6019,1322.0,15.3473
228,554.84,61.1662,467.64,35.2876
229,1431.96,51.4014,845.73,18.5499
230,1961.37,44.8331,1017.01,14.1776
231,2007.54,46.9153,1155.55,15.5587
232,1314.77,48.4007,602.4,15.9681
233,884.46,56.7507,362.79,23.8065
234,1868.45,40.9216,1619.77,11.3563
235,1277.38,47.1234,755.1,15.863
236,1089.96,54.7273,574.64,21.2376
237,2078.55,46.7204,1348.36,15.5995
238,2022.94,43.2678,1161.66,12.0027
239,1154.45,51.9546,904.37,18.8073
240,915.42,48.4695,678.67,16.8636
241,1411.15,48.6465,1090.48,17.7982
242,2334.03,45.8508,1571.5,16.8624
243,1937.47,44.9141,1484.15,14.4416
244,780.43,58.5007,436.9,25.3653
245,2191.64,44.4018,1169.62,14.7638
246,1595.26,45.4541,1124.28,15.7926
247,1234.2,49.8066,899.31,18.9177
248,1770.71,50.4689,1128.6,19.3442
249,2165.24,45.6917,1010.62,16.9104
250,1468.2,51.479,626.49,21.7819
251,1930.88,45.7211,1008.02,15.4535
252,2249.79,41.4305,1127.63,11.1457
253,1475.53,47.08,1136.99,18.4637
254,1078.36,53.362,644.31,21.1315
255,1563.94,49.0388,1017.06,18.5021
256,943.68,47.6576,905.02,16.1804
257,1795.42,49.9107,1061.8,18.6759
258,1443.84,53.1853,878.69,22.5475
259,1215.95,49.9356,717.56,18.7502
260,1159.36,49.7157,713.87,25.4598
261,1590.07,54.7382,598.28,24.3269
262,1928.65,46.9327,1294.51,18.6478
263,2011.19,44.2759,979.17,14.7401
264,1890.02,47.3917,994.89,16.268
265,1995.59,48.6798,1334.53,19.4833
266,927.29,59.285,608.98,28.7484
267,1173.57,55.5792,633.86,23.5301
268,2409.99,46.2609,1261.46,15.9185
269,1808.98,46.7201,1052.12,15.6694
270,2006.01,51.1904,844.88,18.667
271,1296.07,48.6894,939.45,17.538
272,1887.46,50.4702,910.67,20.8832
273,1404.66,51.9192,655.28,19.6802
274,1739.89,43.9843,1172.32,12.3361
275,1954.65,46.4088,1323.7,14.0341
276,1544.2,47.5079,1273.04,15.5476
277,1904.46,45.5369,1490.73,14.2874
278,1637.05,49.8598,1108.79,21.2232
279,2291.33,44.8114,1536.59,14.4193
280,1803.28,45.0365,1580.02,14.4069
281,1544.64,47.0565,944.89,15.071
282,1748.77,52.8107,1137.44,20.6442
283,1280.14,51.4857,864.23,19.453
284,1604.03,47.6696,811.2,17.0865
285,1746.25,48.9406,1126.14,16.2997
286,2126.57,46.6472,1263.16,15.164
287,1290.8,52.5259,1089.88,92.3979
288,1236.06,51.1332,1098.44,23.2511
289,1081.94,50.9997,833.09,18.8089
290,1668.21,47.8977,1795.19,16.756
291,1566.66,48.7383,809.11,17.8534
292,1898.24,43.2442,990.22,13.1012
293,1064.84,50.4357,778.29,18.1181
294,1101.67,43.5834,1121.01,13.0433
295,1565.0,44.0647,964.93,14.0191
296,1918.51,52.3209,929.45,21.054
297,938.67,53.5539,612.36,22.0608
298,1549.29,51.587,1095.45,20.6209
299,1101.8,55.6865,698.07,23.3614
300,915.26,56.821,543.19,23.3972
301,1260.12,45.4891,526.52,14.3099
302,1288.09,47.511,689.42,16.1632
303,884.98,48.7045,802.74,24.9902
304,1552.02,50.9239,551.64,19.1735
305,1289.56,50.6004,1018.47,20.3607
306,1947.96,51.2732,954.12,18.2603
307,1831.53,42.7969,1450.95,13.902
308,1726.96,46.1377,1092.38,15.2673
309,1436.68,45.4548,986.01,15.4491
310,1351.08,42.8061,863.19,12.2882
311,1917.41,43.2574,867.54,13.1081
312,1560.74,52.9932,783.73,20.2518
313,455.2,56.8007,468.27,23.7074
314,742.15,55.9417,537.17,22.5456
315,668.34,54.0782,633.91,20.4235
316,1191.87,50.4152,904.17,17.885
317,927.49,56.5871,858.55,22.9061
318,1263.57,51.7642,515.11,18.3984
319,1767.25,46.5078,954.44,14.7208
320,1273.78,50.638,551.01,18.5639
321,1431.59,50.6108,717.55,17.6892
322,1975.93,47.3509,1165.58,17.1805
323,1756.55,50.0723,1085.17,18.4124
324,1063.87,51.2289,739.55,18.1611
325,1767.63,48.599,970.51,16.101
326,2033.61,43.2889,1083.48,11.9786
327,1711.47,51.1128,1101.86,18.0559
328,2372.15,45.1031,1324.69,13.892
329,2340.31,44.5273,1243.34,13.4665
330,2367.47,45.3451,1592.77,14.4027
331,2492.76,49.0176,1418.68,15.7688
332,2723.72,48.3923,1241.12,27.1411
333,2377.78,44.551,1994.79,17.1105
334,1623.32,47.7928,827.87,21.3749
335,2157.52,43.8597,1134.22,16.0715
336,2204.88,42.8141,1709.34,13.8465
337,1917.75,46.5881,1269.9,19.3707
338,1009.64,54.9854,589.73,26.5898
339,3154.24,41.169,2103.61,13.6429
340,2685.03,43.0956,2172.46,13.7251
341,2335.34,40.8944,1949.43,10.999
342,2090.23,43.4431,1900.48,14.0447
343,1389.7,47.5327,896.43,15.9739
344,1238.26,55.558,1183.9,23.0691
345,1444.6,47.4299,1293.18,16.9463
346,937.08,49.5761,1063.83,17.7714
347,1501.83,49.3501,943.12,24.0685
348,1465.18,47.6453,744.75,19.6238
349,820.89,52.4095,482.56,20.634
350,1298.55,50.9112,696.07,21.7077
351,753.16,49.2472,525.77,17.9034
352,1826.5,47.8705,1266.62,17.7167
353,1399.14,46.0563,985.01,15.0723
354,1649.51,46.069,934.95,15.52
355,1162.43,46.7039,768.41,15.3306
356,1447.55,46.9468,672.68,15.0724
357,1440.81,50.8229,494.25,18.0419
358,1163.18,55.4875,1150.6,21.9484
359,2001.2,43.6069,874.6,12.5367
360,1035.23,47.2661,541.09,16.4253
361,1897.21,42.3203,1169.52,13.6071
362,2177.3,39.7572,1406.24,10.5998
363,2248.83,40.1869,1346.26,11.1269
364,1708.86,42.8186,1172.89,13.3914
365,929.95,55.532,545.64,23.6229
366,1445.6,44.5872,1213.26,13.6049
367,1853.34,45.5776,935.11,17.7269
368,1958.0,42.8292,832.4,12.9976
369,1452.71,44.1454,1138.91,14.7384
370,1431.48,45.2251,927.14,16.8786
371,1142.93,44.5018,591.89,15.4816
372,1323.12,46.3123,907.31,16.2465
373,2119.55,43.2844,1151.09,13.1685
374,1525.59,46.7447,1243.23,16.8541
375,2053.11,43.675,1368.82,14.1557
376,1485.78,49.4956,806.56,18.1085
377,1707.27,42.9073,1283.07,13.108
378,1684.99,44.779,939.42,14.5362
379,1783.29,47.5055,1025.36,17.7247
380,1436.64,42.6894,800.53,11.3444
381,833.14,47.8315,814.71,18.3936
382,1237.33,44.8122,535.27,15.6177
383,2125.55,40.6199,1282.26,11.017
384,1831.31,42.9356,1201.14,11.5798
385,2027.14,43.5689,1496.35,13.0383
386,1931.09,41.8368,1160.76,13.5679
387,2488.28,39.955,1482.38,10.4533
388,1179.13,48.8291,873.18,18.2449
389,1828.66,40.775,1125.04,11.542
390,1148.36,42.2787,677.89,11.4999
391,2080.92,47.8415,1722.52,18.8336
392,1674.19,47.801,1045.51,17.1496
393,2544.32,40.4936,2010.29,11.2374
394,1962.38,43.5172,1207.7,13.4878
395,2166.12,41.9345,1380.31,11.4896
396,1868.78,41.7672,1365.93,11.1652
397,2088.93,43.0524,1821.34,12.489
398,1973.12,39.8412,1706.1,10.9436
399,2097.28,43.3178,1663.87,13.249
