Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Real Sto Return,Real Det Return
110,-22585.08203125,15.5692,550000,110,156.7397,1853.35,2214.22
111,-22773.8984375,15.2539,555000,111,156.8186,1823.21,2163.01
112,-23022.05078125,15.9573,560000,112,156.9265,1879.43,2230.24
113,-23211.701171875,15.6511,565000,113,156.6293,1873.37,2228.33
114,-23490.447265625,15.8544,570000,114,156.7912,1887.98,2227.7
115,-23749.302734375,15.5889,575000,115,156.8767,1846.28,2199.57
116,-23966.720703125,15.3143,580000,116,156.7109,1842.44,2161.33
117,-24383.564453125,15.6225,585000,117,156.8064,1880.8,2229.54
118,-24588.259765625,15.675,590000,118,156.9312,1825.04,2178.28
119,-24916.90625,15.5324,595000,119,156.8129,1830.38,2167.52
120,-25076.833984375,15.6634,600000,120,156.7203,1885.36,2242.17
121,-25284.439453125,15.5152,605000,121,156.8574,1857.63,2166.52
122,-25537.177734375,15.5628,610000,122,156.5681,1849.35,2237.91
123,-25752.091796875,15.5693,615000,123,156.8017,1854.79,2222.03
124,-26211.51953125,15.7341,620000,124,156.766,1844.64,2192.47
125,-26424.294921875,15.63,625000,125,156.7167,1899.75,2264.35
126,-26616.2109375,15.6108,630000,126,156.7633,1871.89,2196.98
127,-26831.69140625,15.5135,635000,127,156.6106,1835.66,2206.81
128,-27165.966796875,15.3024,640000,128,156.9332,1859.23,2204.56
129,-27281.525390625,15.2035,645000,129,156.6141,1845.38,2183.09
130,-27620.12109375,15.2386,650000,130,156.619,1845.6,2139.23
131,-28011.619140625,15.3117,655000,131,156.6685,1857.02,2158.44
132,-28077.6328125,15.5777,660000,132,156.5758,1887.01,2233.1
133,-28302.4921875,15.1836,665000,133,156.5928,1837.69,2171.61
134,-28802.18359375,15.2415,670000,134,156.7721,1834.62,2155.94
135,-29239.44921875,15.9038,675000,135,156.9921,1884.78,2242.08
136,-29378.107421875,15.6866,680000,136,156.7534,1906.88,2263.28
137,-29805.509765625,15.5256,685000,137,156.8199,1868.82,2218.64
138,-29925.447265625,15.3958,690000,138,156.6771,1889.68,2223.5
139,-30080.59765625,15.646,695000,139,156.7295,1866.72,2217.1
140,-30406.4453125,15.325,700000,140,156.541,1886.43,2272.42
141,-30706.654296875,15.4036,705000,141,156.7395,1853.87,2207.77
142,-30993.45703125,15.2769,710000,142,156.7151,1851.34,2198.36
143,-31118.185546875,15.2155,715000,143,156.8775,1824.85,2184.12
144,-31530.876953125,15.7187,720000,144,156.7704,1890.06,2209.0
145,-31935.92578125,15.4876,725000,145,156.8133,1866.81,2232.28
146,-32031.4453125,15.5029,730000,146,156.6787,1900.7,2209.53
147,-32344.775390625,15.5368,735000,147,156.6471,1884.75,2276.33
148,-32632.431640625,15.8294,740000,148,156.6695,1904.03,2254.2
149,-33124.71484375,15.4489,745000,149,156.5727,1887.69,2237.28
150,-33399.80078125,15.7288,750000,150,156.8592,1913.78,2258.71
151,-33559.23046875,15.9199,755000,151,156.7883,1909.12,2263.74
152,-33768.1484375,15.417,760000,152,156.6745,1891.9,2251.55
153,-34050.640625,15.3884,765000,153,156.6126,1904.92,2267.38
154,-34372.0078125,15.3804,770000,154,156.7274,1876.51,2258.82
155,-34534.41015625,15.4134,775000,155,156.7769,1880.76,2220.79
156,-35235.78515625,15.3256,780000,156,156.6161,1882.76,2254.34
157,-35298.140625,15.379,785000,157,156.6245,1848.14,2208.24
158,-35588.17578125,15.4581,790000,158,156.8329,1889.09,2263.98
159,-36075.71875,15.2185,795000,159,156.6752,1862.27,2217.36
160,-36279.3984375,15.7276,800000,160,156.8247,1922.75,2301.2
161,-36795.43359375,15.755,805000,161,156.724,1904.16,2296.63
162,-36662.15234375,15.521,810000,162,156.7112,1928.66,2281.12
163,-37137.5,15.5344,815000,163,156.6859,1911.08,2253.15
164,-37391.84765625,15.5569,820000,164,156.6154,1903.24,2254.87
165,-37492.4921875,15.4148,825000,165,156.6142,1865.01,2223.86
166,-37883.12890625,15.2361,830000,166,156.8039,1879.86,2199.43
167,-38246.6640625,15.76,835000,167,156.6863,1954.53,2278.41
168,-38538.546875,15.6495,840000,168,156.7771,1881.5,2188.31
169,-38574.578125,15.423,845000,169,156.6892,1881.0,2211.3
170,-38839.59765625,15.6945,850000,170,156.6154,1916.3,2290.54
171,-39092.5546875,15.5707,855000,171,156.7258,1903.92,2222.37
172,-39237.94921875,15.5459,860000,172,156.6284,1921.1,2282.51
173,-39415.36328125,15.3193,865000,173,156.7479,1928.47,2292.73
174,-39283.15625,15.2112,870000,174,156.6426,1884.29,2202.36
175,-39668.92578125,14.8619,875000,175,156.5549,1907.45,2261.59
176,-40279.99609375,15.1932,880000,176,156.8003,1905.45,2257.53
177,-40342.83984375,15.3881,885000,177,156.6646,1907.3,2265.96
178,-40350.96484375,15.3862,890000,178,156.54,1914.91,2274.56
179,-40619.19140625,15.438,895000,179,156.7514,1915.02,2226.53
180,-40768.84765625,14.9892,900000,180,156.7284,1912.81,2257.01
181,-41066.3203125,15.4759,905000,181,156.5423,1946.89,2284.71
182,-41278.125,15.3356,910000,182,156.5811,1932.57,2306.9
183,-41439.23828125,15.1684,915000,183,156.6987,1891.29,2255.37
184,-41740.53515625,15.4469,920000,184,156.6831,1897.64,2287.12
185,-41786.7734375,15.1725,925000,185,156.7455,1888.91,2274.46
186,-42113.11328125,15.5764,930000,186,156.6958,1907.99,2278.7
187,-42418.41015625,15.3484,935000,187,156.8188,1929.7,2262.2
188,-42253.7578125,15.2516,940000,188,156.4786,1907.97,2262.36
189,-42823.47265625,15.5364,945000,189,156.6171,1945.19,2294.64
190,-42880.0703125,15.219,950000,190,156.6683,1894.56,2279.8
191,-42929.86328125,15.1526,955000,191,156.6972,1867.62,2234.29
192,-43475.41015625,15.4875,960000,192,156.6026,1894.65,2211.99
193,-43454.30859375,15.1113,965000,193,156.5144,1891.6,2254.92
194,-43430.90625,15.1599,970000,194,156.4349,1904.91,2259.4
195,-43819.6875,15.1852,975000,195,156.4464,1946.78,2281.16
196,-44147.7890625,15.1286,980000,196,156.4798,1903.13,2241.45
197,-44628.00390625,15.459,985000,197,156.5615,1932.63,2293.01
198,-44263.85546875,15.0486,990000,198,156.4568,1905.03,2254.79
199,-44886.1875,15.5372,995000,199,156.7718,1910.9,2300.85
200,-45057.296875,15.1973,1000000,200,156.6744,1939.44,2290.31
201,-45664.40625,15.5356,1005000,201,156.6312,1949.47,2300.65
202,-45791.0703125,15.2574,1010000,202,156.4715,1928.44,2277.91
203,-45790.671875,15.1904,1015000,203,156.7722,1938.33,2288.45
204,-45994.25390625,15.3564,1020000,204,156.7472,1948.84,2265.75
205,-46201.66796875,15.2911,1025000,205,156.769,1930.98,2275.25
206,-46514.0234375,15.3612,1030000,206,156.6335,1932.63,2290.48
207,-46695.9296875,15.1776,1035000,207,156.6663,1943.7,2279.5
208,-46783.62109375,15.2681,1040000,208,156.6106,1938.86,2277.29
209,-47171.93359375,15.3278,1045000,209,156.713,1936.87,2300.34
210,-47045.23828125,15.3269,1050000,210,156.647,1924.66,2272.32
211,-47361.3828125,15.3044,1055000,211,156.8194,1948.69,2280.92
212,-47606.01171875,15.3099,1060000,212,156.6805,1931.34,2302.1
213,-47868.1875,15.2175,1065000,213,156.6754,1935.46,2304.37
214,-47889.3828125,15.2032,1070000,214,156.6354,1927.51,2293.65
215,-48285.01171875,15.486,1075000,215,156.7628,1943.73,2289.03
216,-48201.921875,15.4195,1080000,216,156.7318,1928.72,2281.7
217,-48452.6484375,15.2502,1085000,217,156.6422,1929.49,2276.8
218,-48603.38671875,15.2663,1090000,218,156.7696,1945.05,2294.06
219,-48903.43359375,15.4604,1095000,219,156.6982,1954.53,2284.81
220,-49095.3515625,15.2691,1100000,220,156.6914,1934.08,2272.32
221,-49087.2109375,15.3913,1105000,221,156.6176,1956.02,2290.99
222,-49390.265625,15.3734,1110000,222,156.5621,1939.61,2297.13
223,-49465.97265625,15.2785,1115000,223,156.5746,1935.84,2276.72
224,-49753.734375,15.3107,1120000,224,156.5865,1956.73,2286.87
225,-50016.96484375,15.3631,1125000,225,156.4403,1944.65,2297.46
226,-50125.13671875,15.4449,1130000,226,156.6517,1950.86,2293.29
227,-50143.83203125,15.3795,1135000,227,156.6953,1946.73,2305.14
228,-50544.296875,15.3223,1140000,228,156.7066,1947.6,2264.88
229,-50713.0234375,15.3173,1145000,229,156.525,1939.6,2284.94
230,-50888.1953125,15.4021,1150000,230,156.5417,1953.33,2276.09
231,-51163.68359375,15.5013,1155000,231,156.6166,1941.09,2290.06
232,-51397.2578125,15.5065,1160000,232,156.5882,1963.87,2307.31
233,-51555.92578125,15.5616,1165000,233,156.6072,1954.34,2288.25
234,-51640.20703125,15.3833,1170000,234,156.6687,1940.7,2290.65
235,-52117.546875,15.5743,1175000,235,156.6696,1954.02,2297.37
236,-51907.3203125,15.474,1180000,236,156.6526,1934.21,2286.22
237,-52065.87890625,15.2271,1185000,237,156.73,1918.64,2279.49
238,-52416.7734375,15.4527,1190000,238,156.6434,1952.12,2280.5
239,-52353.67578125,15.3051,1195000,239,156.5513,1928.5,2262.96
240,-52668.28515625,15.4447,1200000,240,156.5532,1949.97,2255.97
241,-52706.4609375,15.4092,1205000,241,156.6137,1936.43,2271.28
242,-53115.83984375,15.3454,1210000,242,156.6441,1926.77,2257.24
243,-53254.33203125,15.4243,1215000,243,156.5763,1941.06,2245.22
244,-53209.375,15.2231,1220000,244,156.8116,1930.3,2254.3
245,-53441.20703125,15.3841,1225000,245,156.7271,1939.61,2257.2
246,-53767.72265625,15.4166,1230000,246,156.7032,1930.33,2260.7
247,-53836.84765625,15.4489,1235000,247,156.6556,1934.05,2273.5
248,-54043.37890625,15.3116,1240000,248,156.538,1935.83,2265.45
249,-54233.8046875,15.3314,1245000,249,156.6717,1941.3,2281.29
250,-54338.1015625,15.4253,1250000,250,156.7327,1925.84,2249.03
251,-54513.578125,15.3932,1255000,251,156.6962,1917.37,2239.31
252,-54745.38671875,15.3467,1260000,252,156.78,1919.3,2277.57
253,-54741.17578125,15.3924,1265000,253,156.7048,1922.05,2238.78
254,-55043.2890625,15.5045,1270000,254,156.611,1945.17,2283.57
255,-55041.40625,15.1639,1275000,255,156.6937,1898.76,2259.28
256,-55347.44921875,15.3075,1280000,256,156.7993,1913.91,2243.57
257,-55389.34375,15.4168,1285000,257,156.7392,1929.01,2302.45
258,-55761.4765625,15.4944,1290000,258,156.7402,1929.02,2255.9
259,-56008.703125,15.555,1295000,259,156.6404,1930.36,2292.6
260,-55975.359375,15.5925,1300000,260,156.7394,1949.48,2271.57
261,-56279.2109375,15.397,1305000,261,156.61,1942.24,2281.27
262,-56393.84375,15.5146,1310000,262,156.7118,1952.02,2301.21
263,-56662.21484375,15.4979,1315000,263,156.7004,1941.84,2289.85
264,-57161.67578125,15.6084,1320000,264,156.6411,1951.18,2308.04
265,-56855.52734375,15.407,1325000,265,156.6325,1928.99,2304.7
266,-57008.15625,15.2823,1330000,266,156.719,1955.34,2273.83
267,-57112.12890625,15.4123,1335000,267,156.569,1957.65,2313.47
268,-57330.828125,15.3781,1340000,268,156.7005,1968.44,2313.74
269,-57487.70703125,15.3171,1345000,269,156.6578,1937.75,2303.78
270,-57550.96875,15.2903,1350000,270,156.6839,1943.66,2264.33
271,-57728.48828125,15.2938,1355000,271,156.6403,1936.56,2277.76
272,-57933.40625,15.3101,1360000,272,156.6572,1952.76,2302.96
273,-58053.83203125,15.2228,1365000,273,156.6178,1950.91,2298.61
274,-57927.4765625,15.1704,1370000,274,156.6928,1941.19,2237.88
275,-58248.24609375,15.5107,1375000,275,156.7528,1937.59,2297.59
276,-58631.02734375,15.3033,1380000,276,156.596,1923.57,2283.41
277,-58589.9453125,15.1541,1385000,277,156.569,1929.46,2287.06
278,-59026.74609375,15.4121,1390000,278,156.5863,1941.8,2291.01
279,-59056.51953125,15.2939,1395000,279,156.6328,1934.81,2284.64
280,-59083.1484375,15.3103,1400000,280,156.6367,1954.17,2298.2
281,-59179.921875,15.146,1405000,281,156.5239,1948.34,2288.62
282,-59581.15625,15.0907,1410000,282,156.625,1940.22,2292.4
283,-59505.2109375,15.3972,1415000,283,156.6401,1950.25,2295.85
284,-59844.5234375,15.2986,1420000,284,156.6356,1952.85,2309.18
285,-60013.63671875,15.2219,1425000,285,156.5224,1920.63,2281.2
286,-60155.23046875,15.4577,1430000,286,156.6332,1952.27,2292.24
287,-60035.23828125,15.3641,1435000,287,156.5329,1914.75,2294.99
288,-60299.13671875,15.3154,1440000,288,156.6579,1932.63,2279.65
289,-60321.59765625,15.1518,1445000,289,156.6066,1904.51,2282.43
290,-60408.02734375,15.3575,1450000,290,156.5596,1968.12,2322.68
291,-60606.53515625,15.1364,1455000,291,156.5678,1931.33,2280.32
292,-60715.13671875,15.0029,1460000,292,156.6171,1905.68,2249.64
293,-60723.2265625,15.1279,1465000,293,156.5842,1902.33,2266.81
294,-60682.8203125,14.7276,1470000,294,156.5703,1923.42,2287.31
295,-61268.640625,15.2516,1475000,295,156.5667,1942.56,2299.98
296,-61287.96875,14.9834,1480000,296,156.7283,1898.61,2246.25
297,-61425.98828125,15.1121,1485000,297,156.5692,1928.94,2256.05
298,-61670.9375,15.1076,1490000,298,156.8553,1924.55,2275.65
299,-61793.30078125,15.1101,1495000,299,156.5548,1901.14,2279.53
300,-61817.25390625,15.2053,1500000,300,156.6273,1910.14,2295.11
301,-61910.859375,15.0341,1505000,301,156.6659,1932.9,2291.57
302,-62355.25390625,15.1573,1510000,302,156.5226,1932.27,2285.75
303,-62182.3828125,14.9261,1515000,303,156.6326,1935.79,2275.28
304,-62766.26171875,15.152,1520000,304,156.5209,1927.62,2277.75
305,-62757.33984375,15.1005,1525000,305,156.5909,1928.25,2273.71
306,-62667.40625,15.1533,1530000,306,156.6364,1929.67,2237.99
307,-62809.55859375,15.216,1535000,307,156.6009,1931.87,2292.01
308,-62891.35546875,15.004,1540000,308,156.5664,1913.41,2267.82
309,-62959.875,14.9984,1545000,309,156.3894,1910.55,2289.17
310,-63356.23828125,15.0804,1550000,310,156.5134,1938.96,2290.27
311,-63411.03125,15.1094,1555000,311,156.6568,1925.69,2284.79
312,-63592.91015625,15.1047,1560000,312,156.6504,1932.3,2274.67
313,-63502.56640625,15.2074,1565000,313,156.5486,1948.12,2269.96
314,-63637.63671875,15.2277,1570000,314,156.6676,1947.84,2298.42
315,-63875.55859375,15.1927,1575000,315,156.6909,1962.79,2305.73
316,-64341.29296875,15.3299,1580000,316,156.6482,1935.32,2297.69
317,-64055.99609375,15.0106,1585000,317,156.3888,1922.24,2290.79
318,-64448.3515625,15.142,1590000,318,156.4223,1933.52,2308.83
319,-64487.37109375,15.1333,1595000,319,156.5691,1934.98,2302.01
320,-64446.484375,15.1206,1600000,320,156.5852,1927.0,2291.37
321,-64541.0078125,15.0993,1605000,321,156.4755,1923.49,2283.38
322,-64505.06640625,15.0092,1610000,322,156.5505,1952.54,2300.52
323,-65053.50390625,15.0991,1615000,323,156.6614,1944.58,2291.45
324,-65341.8671875,15.1565,1620000,324,156.6887,1929.95,2301.41
325,-65117.40625,15.1061,1625000,325,156.6864,1940.08,2302.67
326,-65476.875,15.1052,1630000,326,156.5693,1912.27,2288.62
327,-65427.4453125,15.1517,1635000,327,156.8527,1948.54,2306.9
328,-65736.2734375,15.1801,1640000,328,156.4394,1941.42,2285.1
329,-65779.6015625,15.1635,1645000,329,156.6192,1916.99,2294.13
330,-66289.109375,15.2397,1650000,330,156.5819,1957.49,2320.83
331,-65778.7890625,15.0054,1655000,331,156.5601,1919.72,2274.46
332,-66042.6796875,15.2186,1660000,332,156.5291,1924.5,2302.64
333,-66154.3046875,15.1463,1665000,333,156.6481,1941.38,2305.23
334,-66255.921875,15.0042,1670000,334,156.5789,1921.69,2294.33
335,-66209.2578125,14.9998,1675000,335,156.5585,1944.04,2306.05
336,-66600.171875,15.231,1680000,336,156.6202,1922.63,2279.09
337,-66631.5234375,15.1267,1685000,337,156.6623,1921.38,2289.02
338,-66677.984375,15.0799,1690000,338,156.5946,1935.06,2303.6
339,-66858.4609375,15.1082,1695000,339,156.6357,1941.73,2307.86
340,-66988.34375,15.0536,1700000,340,156.6,1946.27,2306.76
341,-67043.15625,15.3385,1705000,341,156.7664,1937.32,2281.76
342,-67255.40625,15.1302,1710000,342,156.5203,1941.64,2307.5
343,-67322.5703125,15.1057,1715000,343,156.6646,1938.72,2282.8
344,-67248.4921875,14.9601,1720000,344,156.5486,1931.46,2295.5
345,-67395.53125,14.9126,1725000,345,156.5077,1921.35,2293.14
346,-67772.203125,15.0048,1730000,346,156.5547,1925.73,2292.86
347,-67435.828125,15.0747,1735000,347,156.6601,1905.87,2276.23
348,-67543.90625,14.9159,1740000,348,156.6132,1895.08,2265.29
349,-67597.515625,15.116,1745000,349,156.5346,1924.78,2287.98
350,-68178.3203125,14.889,1750000,350,156.6996,1891.92,2288.2
351,-68049.3203125,14.836,1755000,351,156.5027,1907.73,2278.23
352,-68322.203125,15.3214,1760000,352,156.6395,1931.26,2305.02
353,-68441.28125,14.9786,1765000,353,156.544,1932.86,2293.25
354,-68214.8515625,15.1475,1770000,354,156.6146,1935.58,2290.7
355,-68782.328125,15.036,1775000,355,156.4937,1924.13,2315.17
356,-68428.90625,15.0377,1780000,356,156.5124,1918.41,2276.14
357,-68765.125,15.0885,1785000,357,156.6138,1922.71,2300.97
358,-68937.5703125,15.1562,1790000,358,156.4923,1951.07,2300.04
359,-68931.359375,15.1186,1795000,359,156.5668,1929.71,2293.95
360,-69317.5703125,15.0884,1800000,360,156.5139,1932.39,2325.87
361,-69324.203125,15.2935,1805000,361,156.6879,1939.91,2328.81
362,-69119.75,15.0565,1810000,362,156.655,1933.06,2327.48
363,-69420.90625,14.8922,1815000,363,156.4813,1927.3,2295.91
364,-69621.9296875,15.1562,1820000,364,156.5846,1924.57,2306.06
365,-69620.40625,15.1629,1825000,365,156.6074,1928.35,2307.69
366,-70075.203125,15.1387,1830000,366,156.6909,1934.95,2325.06
367,-69828.6875,14.968,1835000,367,156.5489,1915.63,2316.92
368,-69614.2421875,14.9324,1840000,368,156.472,1927.27,2311.74
369,-70076.609375,14.9616,1845000,369,156.5204,1932.61,2321.74
370,-70182.3359375,14.977,1850000,370,156.5517,1937.15,2315.24
371,-70048.7265625,15.1404,1855000,371,156.5918,1921.82,2296.49
372,-70337.4140625,14.9611,1860000,372,156.4598,1929.87,2319.86
373,-70471.6953125,14.8736,1865000,373,156.6166,1933.7,2321.16
374,-70701.6484375,15.0207,1870000,374,156.6366,1922.57,2319.56
375,-70624.703125,15.0035,1875000,375,156.6422,1923.65,2304.6
376,-70548.7890625,15.1085,1880000,376,156.597,1907.27,2293.92
377,-70435.8828125,15.0762,1885000,377,156.5934,1933.74,2307.46
378,-70684.9765625,15.1044,1890000,378,156.5513,1923.9,2305.39
379,-70998.078125,14.9794,1895000,379,156.49,1931.91,2292.34
380,-70961.1875,15.0634,1900000,380,156.5717,1925.8,2311.8
381,-71209.9375,15.2173,1905000,381,156.5858,1905.81,2315.33
382,-71270.546875,15.1187,1910000,382,156.4483,1937.35,2294.57
383,-71251.359375,15.2024,1915000,383,156.6744,1936.96,2321.49
384,-71547.1875,15.3818,1920000,384,156.6229,1963.37,2347.09
385,-71291.3203125,15.1339,1925000,385,156.564,1939.26,2334.9
386,-71823.625,15.4067,1930000,386,156.5712,1981.49,2372.22
387,-71635.0234375,15.0694,1935000,387,156.5225,1962.0,2338.23
388,-71823.75,15.2995,1940000,388,156.7082,1949.43,2315.87
389,-71673.84375,15.2767,1945000,389,156.6378,1960.86,2310.87
390,-71860.5625,15.1194,1950000,390,156.5899,1938.59,2313.41
391,-72318.96875,15.4303,1955000,391,156.6123,1988.06,2329.58
392,-72371.546875,15.2783,1960000,392,156.5258,1967.62,2336.98
393,-72232.328125,15.4002,1965000,393,156.6785,1956.57,2338.77
