Real Det Return,Reward Loss,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Running Update Time
3414.66,-1013.7130126953125,545000,14.451,3398.75,109,22.3519,109
3346.31,-1210.1253662109375,550000,14.0391,3271.16,110,21.5209,110
3353.73,-1315.4012451171875,555000,13.8017,2823.07,111,21.7791,111
3439.43,-928.69091796875,560000,15.2498,3395.74,112,22.9846,112
3410.64,-1194.848876953125,565000,15.0793,3367.31,113,22.3535,113
3328.25,-1314.074462890625,570000,15.0397,3239.86,114,22.0424,114
3391.97,-1122.0157470703125,575000,14.6955,3372.45,115,22.0702,115
3373.26,-1306.364990234375,580000,15.4231,3339.14,116,22.5197,116
3409.39,-1202.2083740234375,585000,14.5336,3371.15,117,22.618,117
3317.61,-1376.7496337890625,590000,14.3871,3212.77,118,21.8005,118
3421.47,-1166.8809814453125,595000,14.559,3380.03,119,21.8653,119
3440.57,-1177.4359130859375,600000,14.5103,3369.57,120,22.0381,120
3443.31,-1058.941650390625,605000,14.3699,3232.28,121,22.0282,121
3443.64,-1192.38330078125,610000,13.1829,3390.58,122,21.2106,122
3392.53,-1228.7294921875,615000,14.2864,3282.76,123,21.1662,123
3378.88,-1509.3087158203125,620000,13.0629,3281.8,124,21.1282,124
3434.68,-1128.3292236328125,625000,14.9689,3391.19,125,21.5947,125
3455.91,-956.8135986328125,630000,14.6042,3081.39,126,21.2802,126
3437.16,-1318.0262451171875,635000,12.905,3105.13,127,21.0068,127
3483.25,-1072.810302734375,640000,14.1604,3424.26,128,22.1062,128
3476.49,-1225.332275390625,645000,14.0025,3405.8,129,21.6802,129
3435.12,-1241.83544921875,650000,14.0792,3400.63,130,21.549,130
3444.06,-983.3353881835938,655000,13.4606,3415.54,131,20.1912,131
3453.66,-1154.4034423828125,660000,14.6189,3414.88,132,21.4152,132
3436.06,-1162.6708984375,665000,13.9381,3403.75,133,20.9568,133
3452.82,-1052.4307861328125,670000,14.8144,3419.03,134,21.0745,134
3440.62,-1254.5230712890625,675000,14.7151,3414.88,135,21.3442,135
3471.47,-1193.0257568359375,680000,13.9176,3410.65,136,21.0782,136
3403.34,-1493.948486328125,685000,14.7338,3371.78,137,21.6398,137
3435.21,-1247.875732421875,690000,13.7506,3404.79,138,20.9022,138
3520.34,-1122.2218017578125,695000,14.6637,3484.22,139,21.8562,139
3417.1,-1257.27783203125,700000,13.3981,3269.26,140,20.5529,140
3430.52,-1305.189208984375,705000,14.3815,3360.64,141,21.1368,141
3428.97,-1454.3109130859375,710000,13.3709,3368.99,142,21.4119,142
3398.74,-1359.487060546875,715000,13.9167,3377.57,143,20.9714,143
3474.33,-1194.043212890625,720000,14.7238,3442.75,144,20.9476,144
3452.83,-1262.608642578125,725000,14.2148,3425.09,145,20.8907,145
3426.18,-1357.89306640625,730000,13.8854,3392.17,146,20.65,146
3388.34,-1578.3497314453125,735000,13.4529,2973.13,147,21.5052,147
3448.48,-1242.2181396484375,740000,13.655,3415.21,148,20.3476,148
3470.19,-1112.81396484375,745000,13.1359,3428.84,149,19.7719,149
3472.42,-1230.6566162109375,750000,13.6708,3433.86,150,19.7127,150
3446.16,-1304.0067138671875,755000,13.5165,3421.07,151,20.9033,151
3493.52,-1093.2154541015625,760000,14.2591,3458.13,152,20.2409,152
3444.87,-1350.3739013671875,765000,13.9713,3423.14,153,20.6659,153
3438.11,-1210.5643310546875,770000,13.6126,2570.83,154,20.3713,154
3448.86,-1355.9737548828125,775000,13.7973,3386.26,155,20.228,155
3464.92,-1317.1239013671875,780000,14.2779,3425.08,156,20.9508,156
3476.86,-1372.7176513671875,785000,14.0406,3437.85,157,20.289,157
3496.25,-1455.16015625,790000,14.6712,3448.5,158,21.178,158
3442.1,-1363.0966796875,795000,12.7191,3334.93,159,19.7244,159
3436.45,-1395.4276123046875,800000,13.8914,3396.74,160,19.9952,160
3460.2,-1460.785888671875,805000,13.2115,3435.76,161,20.2577,161
3480.84,-1268.94140625,810000,14.2162,3450.0,162,20.3732,162
3501.03,-1245.3494873046875,815000,13.723,3453.9,163,19.8743,163
3467.09,-1480.7559814453125,820000,13.9303,3437.6,164,20.4447,164
3485.81,-1410.0306396484375,825000,13.9395,3454.94,165,20.2599,165
3472.65,-1437.0738525390625,830000,13.084,3318.83,166,20.4223,166
3477.38,-1360.258544921875,835000,13.7749,3433.05,167,20.2865,167
3469.54,-1379.18603515625,840000,13.7277,3430.22,168,20.3547,168
3503.95,-1224.2337646484375,845000,13.1453,3447.85,169,20.4762,169
3454.34,-1434.1077880859375,850000,13.7204,3426.74,170,20.228,170
3468.17,-1431.8992919921875,855000,14.0162,3434.46,171,20.2147,171
3473.65,-1442.1634521484375,860000,13.7227,3442.68,172,20.0036,172
3471.53,-1368.8358154296875,865000,13.131,3441.26,173,20.137,173
3487.22,-1352.156982421875,870000,13.5853,3452.93,174,19.3173,174
3452.77,-1459.5389404296875,875000,13.9476,3424.96,175,19.9453,175
3479.92,-1486.849365234375,880000,13.4787,3441.39,176,20.2405,176
3476.43,-1393.0040283203125,885000,13.9867,3446.31,177,19.9395,177
3454.8,-1589.40234375,890000,13.5152,3332.23,178,20.3178,178
3461.57,-1613.4141845703125,895000,14.0467,3433.16,179,20.0279,179
3457.78,-1649.7818603515625,900000,13.5995,3423.02,180,20.1978,180
3488.67,-1447.973876953125,905000,12.9673,3422.45,181,19.6602,181
3481.9,-1543.5460205078125,910000,13.2895,3436.26,182,19.5453,182
3479.82,-1674.79541015625,915000,14.4754,3446.39,183,20.4277,183
3465.7,-1550.304931640625,920000,14.1925,3449.73,184,19.9839,184
3484.29,-1495.26171875,925000,13.177,3441.14,185,19.4783,185
3468.58,-1729.5758056640625,930000,13.3371,3432.96,186,20.2708,186
3478.81,-1505.85595703125,935000,13.9176,3444.75,187,19.8436,187
3496.09,-1506.1014404296875,940000,14.2901,3464.19,188,20.4328,188
3490.65,-1513.56689453125,945000,13.4112,3444.99,189,19.8557,189
3481.9,-1787.298583984375,950000,13.8526,3359.79,190,20.8338,190
3444.79,-1677.426513671875,955000,13.4599,3411.36,191,19.6084,191
3479.67,-1641.967041015625,960000,13.3751,3440.68,192,19.8333,192
3453.14,-1773.052734375,965000,13.5741,3425.98,193,20.0864,193
3487.51,-1609.59912109375,970000,13.3247,3449.62,194,19.7366,194
3487.1,-1721.2691650390625,975000,13.2055,3443.9,195,19.7774,195
3484.9,-1777.372802734375,980000,13.416,3437.27,196,20.0466,196
3502.19,-1483.960205078125,985000,12.6873,3455.02,197,18.9699,197
3504.78,-1761.9677734375,990000,13.7551,3467.02,198,19.8413,198
3490.05,-1681.2672119140625,995000,13.3445,3458.55,199,19.5566,199
