Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss,Itration
3094.99,65.4117,59,295000,2915.65,78.1464,-424.86566162109375,59
2615.5,58.7393,60,300000,2774.78,71.8726,-459.8764343261719,60
3546.34,56.6896,61,305000,2829.41,71.6526,-468.0700988769531,61
3104.26,53.1902,62,310000,2954.4,71.7764,-474.84271240234375,62
3860.19,46.5785,63,315000,2524.85,69.2609,-531.2366943359375,63
4179.14,61.8874,64,320000,3698.89,77.5938,-476.15838623046875,64
3712.05,63.3822,65,325000,3134.14,78.5993,-502.5924377441406,65
3956.72,51.7437,66,330000,3226.17,71.1619,-525.5028076171875,66
4229.66,59.2815,67,335000,4077.29,75.7322,-519.5838012695312,67
4678.38,65.2948,68,340000,3938.34,82.1691,-508.2366943359375,68
2543.2,52.653,69,345000,3349.9,71.9147,-545.5926513671875,69
3672.92,64.1913,70,350000,3929.22,81.068,-533.9464111328125,70
4040.14,63.9431,71,355000,3712.98,75.6455,-538.4932861328125,71
4100.17,62.2911,72,360000,3006.78,78.9959,-560.1437377929688,72
4437.26,62.7706,73,365000,4006.68,77.8173,-592.3123779296875,73
4688.43,54.3697,74,370000,3540.75,71.4307,-623.144287109375,74
3437.64,55.282,75,375000,3365.08,72.3098,-603.4615478515625,75
4030.69,62.3302,76,380000,3504.83,76.284,-629.1488037109375,76
3295.89,59.4733,77,385000,3505.76,73.9945,-639.86376953125,77
4939.35,71.879,78,390000,4363.44,81.3988,-636.5031127929688,78
4177.32,57.3155,79,395000,3330.24,72.4707,-689.0405883789062,79
4389.87,69.2003,80,400000,3671.33,79.722,-679.7237548828125,80
4008.01,66.0192,81,405000,3581.8,74.554,-697.2841186523438,81
4765.06,77.9935,82,410000,3780.59,85.3679,-707.0596313476562,82
4324.41,75.9058,83,415000,4338.68,83.8063,-727.1385498046875,83
4680.45,68.1473,84,420000,4360.62,77.6264,-770.7159423828125,84
4475.34,61.6818,85,425000,4148.97,73.4828,-768.406005859375,85
5147.19,66.2564,86,430000,4466.66,77.6745,-797.1162109375,86
4462.61,67.2831,87,435000,3969.15,76.2614,-801.5573120117188,87
5074.81,80.2624,88,440000,4711.87,84.7498,-816.049072265625,88
4470.44,74.4683,89,445000,3804.97,81.7651,-823.2705078125,89
4913.42,75.4274,90,450000,4695.46,84.9042,-851.0665893554688,90
5332.84,81.4416,91,455000,4722.92,84.5908,-867.1942749023438,91
4366.64,77.46,92,460000,3982.39,84.8082,-873.6365966796875,92
4067.41,67.8161,93,465000,3569.82,75.1051,-885.349853515625,93
4747.42,62.8665,94,470000,4496.9,76.8127,-917.03466796875,94
4791.81,77.4143,95,475000,4710.86,84.716,-934.0882568359375,95
5154.05,65.3634,96,480000,4417.59,74.4671,-946.7328491210938,96
5066.3,79.7398,97,485000,4855.55,85.7486,-966.7122802734375,97
5142.97,64.2339,98,490000,4567.67,74.2236,-982.354736328125,98
4952.71,80.5537,99,495000,4755.69,80.9166,-1012.3731079101562,99
5129.87,79.2046,100,500000,4375.85,84.1844,-1054.0179443359375,100
4896.03,74.2509,101,505000,3971.8,76.6595,-1025.1741943359375,101
5220.91,83.2035,102,510000,4167.22,85.1693,-1063.0853271484375,102
5097.79,71.2279,103,515000,4532.99,78.3317,-1083.7401123046875,103
4593.09,85.7828,104,520000,3618.13,85.4035,-1102.0943603515625,104
5500.58,76.7753,105,525000,4227.46,83.2459,-1131.4619140625,105
4915.47,68.9819,106,530000,4372.41,77.7978,-1146.58203125,106
5262.36,83.6796,107,535000,4823.58,86.0824,-1177.9454345703125,107
5372.7,75.8639,108,540000,4723.82,77.4349,-1191.4090576171875,108
5406.24,78.0453,109,545000,3741.07,85.859,-1208.23583984375,109
4444.3,71.987,110,550000,4726.92,77.802,-1226.4327392578125,110
5100.11,75.0742,111,555000,4426.64,77.1586,-1238.1519775390625,111
5146.78,67.3983,112,560000,4840.51,73.7209,-1259.8472900390625,112
5327.13,80.7538,113,565000,4780.16,84.0055,-1316.1156005859375,113
5415.16,77.1935,114,570000,3967.83,82.6204,-1328.2890625,114
5402.12,69.2835,115,575000,4862.65,74.584,-1309.2841796875,115
5392.44,82.3483,116,580000,4434.39,85.4355,-1381.191650390625,116
5289.95,76.5822,117,585000,4506.89,79.4993,-1376.7607421875,117
4851.37,82.8567,118,590000,4653.8,84.3312,-1417.293212890625,118
5456.11,84.7375,119,595000,4575.65,86.599,-1436.0947265625,119
5270.18,84.3668,120,600000,4823.34,80.9313,-1472.3033447265625,120
5380.56,85.2467,121,605000,4944.92,87.8175,-1507.6812744140625,121
5304.18,91.419,122,610000,3832.41,90.1252,-1509.3310546875,122
4675.35,76.4485,123,615000,4559.09,79.0319,-1528.380615234375,123
5474.69,80.6023,124,620000,4879.52,83.2624,-1574.435546875,124
5086.16,76.6132,125,625000,4456.38,77.0989,-1565.9281005859375,125
5104.37,81.202,126,630000,4986.88,83.9337,-1640.013916015625,126
5378.79,71.5787,127,635000,4669.96,75.9998,-1621.1405029296875,127
5131.26,85.7383,128,640000,4566.22,88.8321,-1689.692138671875,128
5380.41,70.747,129,645000,4591.27,74.8698,-1646.7735595703125,129
5280.96,81.1702,130,650000,4790.07,82.9927,-1744.683837890625,130
4722.62,83.0209,131,655000,4396.73,83.2707,-1734.50048828125,131
5271.8,84.8022,132,660000,4660.83,88.1885,-1796.534912109375,132
4717.86,82.5875,133,665000,4337.27,80.7473,-1801.43359375,133
4930.09,76.6338,134,670000,4890.41,77.3666,-1818.6796875,134
5430.81,76.6272,135,675000,4836.85,73.7961,-1783.602783203125,135
5349.14,74.2724,136,680000,4428.58,74.6461,-1845.62646484375,136
5368.79,81.2701,137,685000,4951.02,82.5181,-1932.859130859375,137
5370.8,78.3388,138,690000,4609.57,84.5595,-1963.2833251953125,138
5117.69,84.087,139,695000,4704.12,82.8863,-1965.5113525390625,139
5207.07,83.3184,140,700000,4804.09,84.6917,-2003.7562255859375,140
5473.85,92.4879,141,705000,4675.94,90.3841,-2053.3056640625,141
5296.6,88.8132,142,710000,4301.34,89.2954,-2098.420166015625,142
5078.3,78.0501,143,715000,5077.72,81.8053,-2111.209716796875,143
5192.82,71.5103,144,720000,4506.64,77.3746,-2074.452880859375,144
5225.17,81.7281,145,725000,4552.02,84.8462,-2161.606201171875,145
5026.05,82.9084,146,730000,3959.96,80.1542,-2165.002197265625,146
5584.14,85.3211,147,735000,5182.99,85.0658,-2239.13525390625,147
4872.0,86.8882,148,740000,4273.41,87.4364,-2287.829833984375,148
5508.66,75.6897,149,745000,4988.35,78.5262,-2268.50341796875,149
5424.34,82.6493,150,750000,4299.68,79.4341,-2284.594970703125,150
4815.89,85.0997,151,755000,4090.18,84.7884,-2358.896728515625,151
5371.39,86.6812,152,760000,5131.86,87.0386,-2393.806640625,152
5484.78,79.5062,153,765000,4986.1,83.1262,-2436.70458984375,153
5295.55,85.0434,154,770000,4731.03,83.9231,-2481.616455078125,154
4936.79,72.1343,155,775000,4298.04,76.2891,-2413.174560546875,155
5495.91,80.4956,156,780000,4621.01,83.7102,-2531.910400390625,156
5291.85,81.533,157,785000,4664.45,84.5033,-2577.23095703125,157
5133.71,81.4896,158,790000,4924.54,85.1694,-2623.669189453125,158
5398.89,83.5845,159,795000,5170.04,85.7447,-2692.657470703125,159
5230.4,82.3259,160,800000,5020.02,84.4197,-2692.06103515625,160
5535.54,84.1882,161,805000,4971.53,85.5722,-2737.373779296875,161
5500.38,75.2433,162,810000,5008.93,77.3137,-2686.895263671875,162
5197.65,83.5295,163,815000,5092.49,81.7119,-2787.63330078125,163
5573.64,85.3955,164,820000,5040.08,83.1033,-2863.814453125,164
5502.03,91.226,165,825000,5138.75,87.992,-2937.37646484375,165
5252.87,84.6945,166,830000,5087.19,80.0936,-2893.194580078125,166
5537.4,84.819,167,835000,4922.16,84.2829,-2982.635009765625,167
5242.23,83.5832,168,840000,5247.25,86.3486,-3044.220458984375,168
5576.94,85.2901,169,845000,5202.49,85.226,-3087.805419921875,169
5160.5,91.3975,170,850000,4978.03,89.5865,-3124.842529296875,170
5526.67,85.6142,171,855000,4703.5,86.1325,-3154.663818359375,171
5614.7,89.1985,172,860000,5115.6,87.8001,-3212.072021484375,172
5024.1,76.2749,173,865000,5009.24,77.056,-3121.824462890625,173
5407.2,70.4005,174,870000,3497.16,74.8637,-3131.72314453125,174
5574.38,84.8927,175,875000,4858.81,86.1036,-3353.65283203125,175
5397.4,87.5696,176,880000,5283.31,89.3698,-3401.93017578125,176
5647.58,78.5529,177,885000,4720.07,77.9249,-3311.32568359375,177
5447.0,92.6803,178,890000,5320.34,88.6504,-3487.220947265625,178
5145.17,92.4167,179,895000,5022.95,89.3829,-3524.79931640625,179
5598.79,79.1698,180,900000,4590.99,75.8115,-3413.14306640625,180
5407.33,90.5393,181,905000,5254.29,87.9921,-3645.533447265625,181
5417.99,84.1514,182,910000,5141.86,83.9878,-3660.146484375,182
5177.94,90.9386,183,915000,4645.62,87.4411,-3682.572021484375,183
5411.79,86.3823,184,920000,4977.79,84.014,-3757.718505859375,184
5402.57,71.1446,185,925000,4404.73,76.1184,-3649.61279296875,185
5540.18,84.4534,186,930000,4819.65,86.4688,-3848.132080078125,186
5392.32,90.1895,187,935000,4873.83,85.3911,-3856.65283203125,187
5435.99,81.6664,188,940000,5155.98,80.8559,-3875.32373046875,188
5622.17,88.6356,189,945000,4503.96,84.6835,-3956.04833984375,189
5537.22,83.039,190,950000,4398.56,78.06,-3875.70703125,190
5492.86,88.0677,191,955000,5237.34,89.1322,-4096.04833984375,191
5544.85,83.5827,192,960000,5390.85,86.2733,-4134.763671875,192
5558.95,90.3804,193,965000,5086.08,88.8466,-4189.7685546875,193
5576.77,91.2461,194,970000,5117.36,87.9574,-4270.25927734375,194
5321.55,84.6718,195,975000,5140.76,85.0284,-4281.291015625,195
5673.04,82.6385,196,980000,5177.36,84.6067,-4319.958984375,196
5268.95,87.8601,197,985000,4852.54,83.43,-4342.787109375,197
5614.39,85.4631,198,990000,5311.94,86.4897,-4409.400390625,198
5701.34,84.0733,199,995000,5061.2,85.3058,-4467.17919921875,199
5318.98,86.518,200,1000000,4628.17,86.0885,-4522.197265625,200
5581.21,86.2885,201,1005000,4944.67,86.5496,-4580.12109375,201
5534.32,86.7113,202,1010000,5129.34,88.3966,-4652.2861328125,202
5722.3,90.4172,203,1015000,4801.72,88.9609,-4725.4521484375,203
4907.82,79.0426,204,1020000,5043.58,77.0332,-4511.75341796875,204
5059.46,87.975,205,1025000,5136.72,88.3951,-4732.66552734375,205
5385.6,81.2893,206,1030000,5110.69,77.4371,-4662.18798828125,206
5466.42,81.7648,207,1035000,4776.9,83.9046,-4827.197265625,207
5411.1,87.4753,208,1040000,5160.78,86.0437,-4924.40771484375,208
5436.24,86.7492,209,1045000,5041.3,87.9315,-5010.5419921875,209
5761.67,83.6704,210,1050000,4250.05,80.8095,-4973.67431640625,210
5514.87,70.8863,211,1055000,5326.29,74.7037,-4839.41015625,211
5411.69,84.6989,212,1060000,4493.02,87.4843,-5155.76806640625,212
5831.58,85.3474,213,1065000,5272.68,81.81,-5196.63134765625,213
5402.41,75.5133,214,1070000,4765.53,75.4763,-5002.11474609375,214
5275.3,86.1241,215,1075000,4324.59,87.395,-5307.361328125,215
5817.56,83.1806,216,1080000,4438.19,86.0017,-5336.31884765625,216
5789.72,89.5554,217,1085000,5424.08,88.3443,-5439.44287109375,217
5650.35,85.3932,218,1090000,5355.48,88.8018,-5503.0810546875,218
5363.11,89.5277,219,1095000,5096.82,88.5737,-5546.232421875,219
5594.68,86.0321,220,1100000,5250.48,86.1064,-5537.48974609375,220
5816.15,87.106,221,1105000,5242.97,87.7563,-5669.49951171875,221
5783.13,92.4268,222,1110000,4918.57,88.2934,-5684.77734375,222
5516.26,84.5811,223,1115000,4777.85,80.1329,-5584.44287109375,223
5681.63,81.2557,224,1120000,5102.67,85.1288,-5712.75439453125,224
5648.15,83.0235,225,1125000,4889.88,83.5519,-5757.33251953125,225
5440.1,73.6373,226,1130000,4796.2,77.6311,-5548.6083984375,226
5454.22,87.2505,227,1135000,5023.18,87.0129,-5901.95654296875,227
5266.16,80.8909,228,1140000,4128.49,79.1883,-5753.09912109375,228
5779.68,86.5639,229,1145000,5139.41,85.9904,-5986.98046875,229
5564.75,79.1554,230,1150000,5153.57,81.1464,-5987.0185546875,230
5234.44,82.6907,231,1155000,4943.47,87.0785,-6114.23681640625,231
5423.39,82.6176,232,1160000,4732.41,79.5008,-5982.6015625,232
5186.48,83.0961,233,1165000,4767.44,85.9491,-6238.65771484375,233
4658.9,89.1499,234,1170000,3586.95,87.7321,-6243.255859375,234
4417.82,76.7695,235,1175000,5144.87,77.164,-6025.5458984375,235
5515.54,91.0435,236,1180000,4846.67,92.9678,-6427.45751953125,236
5725.18,87.0823,237,1185000,5038.23,89.7138,-6458.7421875,237
5715.42,87.469,238,1190000,4474.05,87.6071,-6423.37353515625,238
4684.85,80.2048,239,1195000,4357.42,85.8544,-6498.97119140625,239
5334.37,73.8849,240,1200000,5242.86,77.5658,-6338.51806640625,240
5544.66,89.6868,241,1205000,5252.01,88.5984,-6679.701171875,241
4345.44,80.0387,242,1210000,3827.99,82.4435,-6562.126953125,242
4944.8,83.8587,243,1215000,4321.32,87.3971,-6771.91357421875,243
5505.19,85.5954,244,1220000,5231.55,88.4986,-6881.37060546875,244
5516.65,86.1282,245,1225000,3918.36,88.0663,-6833.45703125,245
5473.18,82.4682,246,1230000,4633.44,85.946,-6866.95263671875,246
4766.5,83.8348,247,1235000,4673.1,85.113,-6935.224609375,247
5275.12,86.2791,248,1240000,4705.7,89.2849,-6982.966796875,248
5038.74,84.2178,249,1245000,4082.46,86.0454,-6998.07080078125,249
5721.31,84.92,250,1250000,4887.42,89.1575,-7163.078125,250
4701.57,81.908,251,1255000,4642.28,83.8847,-7099.77734375,251
5236.65,82.8214,252,1260000,5032.59,86.3036,-7243.4453125,252
5718.07,86.2252,253,1265000,5136.58,85.8934,-7299.39111328125,253
4845.31,82.5727,254,1270000,4457.34,86.1139,-7326.9140625,254
5560.94,82.4464,255,1275000,4557.19,87.1876,-7416.6318359375,255
4329.01,84.5705,256,1280000,3515.9,85.5514,-7336.40673828125,256
5431.68,83.4381,257,1285000,5094.63,87.321,-7574.49462890625,257
5059.18,75.0209,258,1290000,4508.11,77.0757,-7180.37548828125,258
5743.41,87.8692,259,1295000,4743.14,87.453,-7603.57958984375,259
5209.88,76.95,260,1300000,4725.05,80.8335,-7373.8330078125,260
4777.4,79.2951,261,1305000,4743.34,78.9298,-7456.630859375,261
5596.99,84.3005,262,1310000,5244.86,86.3387,-7811.26416015625,262
5338.03,84.1054,263,1315000,4411.37,87.2945,-7836.1015625,263
5329.12,83.0527,264,1320000,4805.88,85.5847,-7863.36962890625,264
5517.17,81.6054,265,1325000,4758.61,85.489,-7842.75341796875,265
5948.01,72.058,266,1330000,4046.05,75.9264,-7443.33642578125,266
5491.68,84.8345,267,1335000,4864.03,85.8595,-8018.7119140625,267
5812.74,83.9264,268,1340000,4511.43,85.897,-8104.68505859375,268
5351.07,82.9905,269,1345000,5276.02,84.8443,-8076.455078125,269
5771.97,83.5892,270,1350000,5171.47,86.6416,-8191.658203125,270
4388.94,81.1432,271,1355000,3266.18,83.0102,-8137.95263671875,271
4799.81,83.1198,272,1360000,4449.24,86.4555,-8262.2119140625,272
5498.22,82.2632,273,1365000,4668.71,85.7298,-8277.4990234375,273
5180.98,82.9313,274,1370000,5221.52,84.5947,-8347.0673828125,274
5769.61,86.8306,275,1375000,4445.81,87.7588,-8477.787109375,275
5467.03,81.8022,276,1380000,4364.36,84.3093,-8431.548828125,276
5745.71,79.8569,277,1385000,5252.93,85.1838,-8506.4267578125,277
5539.29,81.1849,278,1390000,4939.53,83.4891,-8550.5,278
5485.77,83.9277,279,1395000,4466.21,84.8277,-8528.8837890625,279
4582.78,83.9969,280,1400000,3940.58,83.6042,-8558.4296875,280
5287.35,83.3501,281,1405000,4999.6,83.8697,-8708.79296875,281
5469.56,83.33,282,1410000,4944.8,84.5056,-8745.31640625,282
5191.5,85.4863,283,1415000,4788.14,86.0263,-8755.8291015625,283
5773.98,87.6096,284,1420000,5494.27,86.7162,-8915.6259765625,284
5766.98,82.8484,285,1425000,4490.83,86.1298,-8892.5859375,285
5110.44,80.5965,286,1430000,4559.42,84.2922,-8896.3408203125,286
5263.84,83.3702,287,1435000,4563.38,85.702,-9001.947265625,287
5591.48,81.8355,288,1440000,5318.54,83.809,-9001.6845703125,288
4948.11,85.4513,289,1445000,3667.43,85.3339,-8983.9052734375,289
5545.16,84.2789,290,1450000,4921.92,88.5286,-9168.6181640625,290
5322.78,75.5358,291,1455000,4106.11,76.6497,-8693.673828125,291
4527.94,81.0573,292,1460000,4755.76,83.9117,-9068.7919921875,292
5520.55,85.7926,293,1465000,4830.17,87.8512,-9343.1923828125,293
5343.93,86.0743,294,1470000,5395.7,88.2816,-9508.302734375,294
5004.63,84.8369,295,1475000,4526.75,87.1677,-9520.0107421875,295
5725.94,84.6478,296,1480000,5016.29,89.2659,-9592.837890625,296
5754.82,84.3415,297,1485000,5189.88,90.1058,-9634.4423828125,297
5972.58,85.7334,298,1490000,5178.69,87.405,-9620.08984375,298
5377.92,77.7797,299,1495000,4333.88,77.9851,-9284.833984375,299
5779.32,82.9096,300,1500000,5219.64,86.9143,-9741.9130859375,300
5699.1,85.3879,301,1505000,4874.06,90.0389,-9886.84375,301
5048.34,86.4094,302,1510000,4061.13,89.0335,-9874.8115234375,302
5685.84,88.0547,303,1515000,3338.52,89.9046,-9902.3681640625,303
5408.35,90.348,304,1520000,4666.75,89.7918,-9955.15625,304
5486.78,85.5885,305,1525000,4597.58,86.118,-9873.6513671875,305
5043.59,81.6915,306,1530000,5110.79,86.3264,-9946.83203125,306
5104.23,76.617,307,1535000,4774.49,83.0748,-9878.6826171875,307
5910.74,84.724,308,1540000,4777.65,85.2088,-10162.7998046875,308
4998.0,83.5773,309,1545000,4039.63,87.3333,-10156.7744140625,309
4828.34,85.1423,310,1550000,5235.59,89.5043,-10302.2939453125,310
5128.3,86.5872,311,1555000,5264.65,89.7836,-10310.8310546875,311
5773.06,85.6313,312,1560000,4090.3,88.7579,-10343.7705078125,312
5256.54,73.6939,313,1565000,5253.45,77.1968,-9830.5859375,313
5365.54,83.0586,314,1570000,4177.11,85.5161,-10350.9404296875,314
5275.38,86.9252,315,1575000,4120.51,85.8961,-10441.798828125,315
5702.81,74.9657,316,1580000,4481.53,76.7092,-9933.7744140625,316
5843.8,81.8949,317,1585000,4470.67,86.4119,-10529.580078125,317
4613.73,79.0907,318,1590000,3418.25,82.5306,-10229.9462890625,318
5282.92,81.6191,319,1595000,4145.22,85.4613,-10674.3505859375,319
5629.83,85.6589,320,1600000,5224.77,87.7455,-10842.5576171875,320
5650.16,79.014,321,1605000,5081.71,80.1635,-10455.84765625,321
5769.05,83.9706,322,1610000,5056.7,88.5818,-10742.70703125,322
4655.27,81.3973,323,1615000,3858.27,87.6599,-10824.9091796875,323
5411.41,77.1583,324,1620000,4962.8,81.6588,-10790.361328125,324
5461.83,84.2438,325,1625000,4897.59,88.1703,-11019.189453125,325
4524.19,79.3329,326,1630000,5284.07,85.3603,-10903.4853515625,326
5802.28,83.227,327,1635000,5260.84,86.4494,-11125.6689453125,327
5586.49,83.5546,328,1640000,4468.89,87.9561,-10970.2626953125,328
5795.86,80.7475,329,1645000,4726.98,79.3041,-10611.2158203125,329
5373.87,82.5368,330,1650000,4743.04,86.5244,-11158.0673828125,330
5915.62,79.5252,331,1655000,5119.14,85.6546,-11181.98046875,331
4705.27,79.5098,332,1660000,4289.4,87.8141,-11181.5908203125,332
5538.78,84.4483,333,1665000,5130.34,86.3314,-11303.8037109375,333
5142.63,83.53,334,1670000,4444.85,89.0779,-11440.095703125,334
5457.23,83.8962,335,1675000,5205.98,86.1186,-11559.1708984375,335
5522.48,78.8071,336,1680000,4883.81,84.4519,-11458.8603515625,336
5875.07,74.6017,337,1685000,4647.98,75.963,-10505.697265625,337
5823.52,85.0377,338,1690000,5375.89,87.3579,-11608.4287109375,338
5659.18,81.5683,339,1695000,5132.16,82.1654,-11321.125,339
5550.0,85.9433,340,1700000,4269.9,87.3595,-11618.7724609375,340
6032.08,77.5695,341,1705000,5317.36,79.5409,-11269.9814453125,341
5693.07,81.9805,342,1710000,5657.34,87.0037,-11773.4453125,342
5895.22,86.4032,343,1715000,5383.24,89.726,-11831.623046875,343
5511.72,72.912,344,1720000,5172.16,76.8846,-10942.060546875,344
5920.78,84.7378,345,1725000,5606.66,85.5981,-11934.826171875,345
5600.94,79.9212,346,1730000,4355.87,85.3954,-11884.28125,346
5888.38,82.2945,347,1735000,4113.97,85.1152,-11863.2451171875,347
5880.58,84.9158,348,1740000,5445.84,87.3735,-12001.380859375,348
5617.46,84.0195,349,1745000,4730.94,86.5389,-12013.3740234375,349
5586.35,68.2335,350,1750000,4525.1,74.0612,-10454.1591796875,350
5811.83,72.8649,351,1755000,5157.68,75.1453,-10789.0810546875,351
5597.1,82.3386,352,1760000,4606.97,85.5425,-12093.0576171875,352
5815.31,84.6384,353,1765000,4772.98,87.7239,-12312.171875,353
5250.91,68.3606,354,1770000,4785.32,74.6037,-10905.509765625,354
5771.44,84.8753,355,1775000,5276.73,89.0579,-12271.66015625,355
5647.5,76.6979,356,1780000,5262.63,78.3443,-11681.0654296875,356
5925.13,81.6578,357,1785000,5024.94,85.3852,-12259.900390625,357
5376.5,81.4728,358,1790000,5575.4,86.1559,-12270.1416015625,358
5939.33,81.1102,359,1795000,5548.5,83.8401,-12226.416015625,359
5966.55,82.9895,360,1800000,4641.2,85.9364,-12378.271484375,360
5032.54,73.7508,361,1805000,5007.88,81.535,-11989.833984375,361
5164.82,71.7451,362,1810000,5028.67,77.4172,-11602.1103515625,362
5146.15,67.9351,363,1815000,4117.94,74.4778,-11111.1923828125,363
5419.78,71.5581,364,1820000,4852.41,75.5646,-11473.24609375,364
5572.53,81.6997,365,1825000,5160.69,86.8361,-12490.8935546875,365
5928.77,78.1798,366,1830000,5107.45,86.5339,-12568.923828125,366
5357.68,83.1683,367,1835000,4552.71,89.3589,-12656.8486328125,367
5898.64,78.7747,368,1840000,5065.38,86.546,-12583.8603515625,368
5588.62,79.3078,369,1845000,4818.69,86.3907,-12622.7744140625,369
5924.86,73.8058,370,1850000,4590.23,77.6197,-11883.89453125,370
4988.85,78.5564,371,1855000,3857.87,84.4889,-12541.1640625,371
5393.91,74.2034,372,1860000,5002.35,81.1835,-12285.5380859375,372
5578.84,82.5945,373,1865000,4935.59,88.7589,-12842.0205078125,373
5680.88,75.1223,374,1870000,4544.57,81.0156,-12167.0703125,374
5786.51,77.6446,375,1875000,4077.0,83.0381,-12561.0810546875,375
5705.49,78.1931,376,1880000,4866.45,79.8151,-12466.451171875,376
5775.78,80.774,377,1885000,4858.59,86.4534,-12891.50390625,377
4714.91,81.762,378,1890000,4267.46,87.2198,-12761.4287109375,378
5789.44,79.7966,379,1895000,4572.06,82.7049,-12631.1455078125,379
5130.65,87.3808,380,1900000,4884.0,86.8391,-13099.841796875,380
5736.33,84.7861,381,1905000,4575.5,88.6806,-13030.6259765625,381
5967.23,81.405,382,1910000,5052.31,85.3513,-13011.7158203125,382
4633.35,87.2811,383,1915000,4197.15,87.0691,-13114.2783203125,383
5325.89,77.0906,384,1920000,5588.03,81.6186,-12438.2958984375,384
5316.63,78.5883,385,1925000,4231.87,87.0079,-12913.8466796875,385
