Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return
775000,155,31.2982,1333.79,19.2693,155,-4347.87255859375,1329.7
780000,156,31.8085,1426.95,21.6425,156,-3626.598388671875,1429.47
785000,157,32.8011,1167.47,21.8705,157,-4888.439453125,1188.15
790000,158,31.984,1229.65,21.4051,158,-4209.6494140625,1062.18
795000,159,32.1484,1204.75,22.6186,159,-4666.732421875,1167.47
800000,160,31.8677,1511.96,25.2247,160,-3854.798583984375,1511.16
805000,161,30.3464,936.6,26.8238,161,-4208.03466796875,901.91
810000,162,31.9248,1177.84,21.2082,162,-4696.15283203125,1209.47
815000,163,29.7456,363.42,97.1463,163,-5929.4912109375,553.36
820000,164,32.9065,1143.92,23.2136,164,-5250.89013671875,1141.09
825000,165,31.0854,1280.26,17.4517,165,-4516.97216796875,1288.69
830000,166,31.2208,1382.84,16.3725,166,-4791.470703125,1396.52
835000,167,33.7313,1122.83,26.2259,167,-5887.501953125,1121.62
840000,168,32.0039,1593.11,24.0419,168,-4197.95458984375,1593.73
845000,169,32.6888,1305.8,32.5233,169,-4506.07470703125,1310.7
850000,170,32.8083,346.24,29.0215,170,-5196.37744140625,393.52
855000,171,32.6235,97.04,28.9739,171,-5037.00341796875,103.37
860000,172,30.4029,1174.69,19.877,172,-5222.22705078125,1123.46
865000,173,30.1449,1018.58,21.2582,173,-5285.740234375,1080.54
870000,174,33.2602,1187.12,22.8206,174,-5724.28466796875,1184.83
875000,175,33.2411,1215.13,29.7925,175,-6332.5673828125,1152.06
880000,176,30.5258,144.21,27.452,176,-4941.154296875,115.64
885000,177,32.3942,1099.89,21.1522,177,-5392.22705078125,1056.64
890000,178,32.4508,1269.9,24.7331,178,-5052.29931640625,1273.3
895000,179,37.496,999.74,51.9842,179,-7861.6787109375,999.73
900000,180,34.8037,1040.53,39.53,180,-7654.11767578125,1036.51
905000,181,33.0778,1067.34,49.047,181,-6777.6328125,1043.54
910000,182,31.8476,867.86,25.2423,182,-5749.82421875,748.55
915000,183,32.7709,1081.21,23.3429,183,-6164.76171875,1099.06
920000,184,33.5701,981.7,22.5506,184,-6121.70849609375,956.41
925000,185,32.5359,1518.6,23.802,185,-5192.44287109375,1516.78
930000,186,32.174,1377.46,22.0854,186,-5178.70556640625,1324.66
935000,187,34.0369,1029.3,26.3009,187,-6867.03564453125,1029.72
940000,188,31.491,497.16,113.2877,188,-7423.4970703125,492.81
945000,189,35.1456,1018.39,83.3158,189,-8254.6298828125,1018.48
950000,190,31.0254,1082.75,25.3813,190,-5192.36328125,970.4
955000,191,31.1096,637.92,26.2765,191,-7141.681640625,592.54
960000,192,32.1989,1405.65,20.8366,192,-5282.09228515625,1401.3
965000,193,32.8504,1180.69,19.659,193,-6853.14599609375,1174.94
970000,194,32.8567,1159.24,27.6745,194,-7106.90869140625,1117.83
975000,195,33.1314,1245.97,24.5208,195,-6738.03857421875,1229.7
980000,196,32.3361,1274.4,24.6127,196,-6751.9169921875,1283.98
985000,197,31.79,1341.54,21.3784,197,-5949.50537109375,1285.69
990000,198,32.4887,1327.48,22.0286,198,-6287.7001953125,1328.71
995000,199,32.4214,1353.34,23.2433,199,-5987.2861328125,1345.42
