Running Env Steps,Itration,Reward Loss,Running Reverse KL,Running Update Time,Running Forward KL,Real Sto Return,Real Det Return
390000,78,-814.0777587890625,11.8491,78,20.401,3294.38,3344.03
395000,79,-691.3805541992188,11.8091,79,20.7881,2924.3,2996.05
400000,80,-732.783935546875,11.9852,80,19.9577,3385.11,3402.83
405000,81,-777.7049560546875,11.2274,81,19.6908,3328.03,3355.31
410000,82,-758.8460083007812,11.2424,82,18.7499,3284.92,3332.58
415000,83,-1638.36572265625,29.3405,83,21.3387,1923.51,3468.39
420000,84,-987.55810546875,14.1203,84,20.8373,3415.92,3409.27
425000,85,-800.5792236328125,32.2444,85,17.862,3195.49,3496.75
430000,86,-812.5692138671875,12.1203,86,20.4259,3329.76,3340.53
435000,87,-976.170654296875,11.9103,87,20.1391,3174.83,3299.92
440000,88,-723.6885375976562,11.5711,88,19.1872,2959.1,3435.8
445000,89,-819.247802734375,10.8252,89,18.845,3271.75,3335.92
450000,90,-896.9020385742188,10.836,90,18.7955,3234.77,3343.21
455000,91,-1361.733642578125,35.3091,91,18.9858,2286.26,3595.6
460000,92,-828.8781127929688,16.5266,92,19.3185,2864.33,3446.52
465000,93,-597.9395751953125,10.1305,93,17.674,3420.36,3448.89
470000,94,-859.6897583007812,10.7911,94,18.3012,3391.08,3393.64
475000,95,-858.1390991210938,10.8562,95,17.7197,3341.77,3419.11
480000,96,-825.437744140625,10.5099,96,18.4779,3414.94,3436.93
485000,97,-897.7872314453125,10.7163,97,19.1014,3396.99,3414.28
490000,98,-985.0693969726562,11.658,98,19.9073,3330.52,3378.75
495000,99,-988.9210205078125,10.3723,99,18.6988,3284.93,3471.12
500000,100,-1170.6495361328125,11.2376,100,20.3982,3324.63,3350.74
505000,101,-1269.08154296875,14.3214,101,20.1632,2682.53,3427.55
510000,102,-953.1481323242188,9.9747,102,18.7582,3335.3,3367.7
515000,103,-809.2586669921875,9.6141,103,17.2148,3428.97,3463.54
520000,104,-999.3788452148438,11.3709,104,18.7352,3404.65,3418.49
525000,105,-906.726806640625,10.755,105,18.358,3386.32,3493.27
530000,106,-879.779296875,10.4206,106,18.0126,3467.54,3494.03
535000,107,-1018.203369140625,11.1009,107,19.0476,3468.91,3478.97
540000,108,-976.7202758789062,10.4294,108,18.3008,3274.02,3321.25
545000,109,-1310.3551025390625,17.5164,109,17.9507,3354.55,3513.68
550000,110,-977.12353515625,11.2303,110,18.6139,3475.77,3480.28
555000,111,-1011.2704467773438,9.9718,111,18.3327,3269.78,3432.28
560000,112,-1053.437744140625,9.8998,112,17.7471,3399.97,3456.4
565000,113,-1013.2506103515625,14.0563,113,17.2213,3240.13,3527.41
570000,114,-1233.119140625,12.5488,114,18.0295,3273.48,3533.4
575000,115,-1131.9945068359375,10.2785,115,18.3416,3407.75,3446.23
580000,116,-792.4733276367188,10.8945,116,17.0021,3549.97,3591.26
585000,117,-785.39990234375,9.189,117,16.3492,3255.69,3445.46
590000,118,-1168.29736328125,12.1511,118,18.2414,3172.68,3487.24
595000,119,-1410.569580078125,16.6865,119,18.6122,2907.78,3539.96
600000,120,-1143.586669921875,14.2488,120,18.0882,3072.51,3589.38
605000,121,-1078.532958984375,11.1398,121,17.9982,3401.26,3408.34
610000,122,-1227.4219970703125,24.2619,122,17.9448,2962.6,3561.34
615000,123,-930.5720825195312,9.672,123,17.2713,3391.56,3586.04
620000,124,-1306.9385986328125,12.8901,124,18.9172,2967.51,3602.06
625000,125,-1653.8973388671875,43.784,125,20.5853,2908.27,3565.28
630000,126,-1332.5726318359375,13.9615,126,19.5001,2841.71,3463.59
635000,127,-1751.72216796875,32.0609,127,21.8163,1976.4,3459.18
640000,128,-1450.0230712890625,27.3672,128,19.5153,2855.87,3604.74
645000,129,-1710.27734375,37.5641,129,19.7165,1908.55,3384.44
650000,130,-1862.9664306640625,33.4867,130,20.7566,1974.62,3460.85
655000,131,-1401.115234375,18.0626,131,18.3752,3040.43,3556.64
660000,132,-2215.2080078125,80.8555,132,22.8011,1884.83,3274.09
665000,133,-1593.3447265625,25.2043,133,19.8453,2854.95,3566.18
670000,134,-1124.8802490234375,9.8749,134,17.671,3388.69,3333.24
675000,135,-1329.1510009765625,11.5925,135,19.0069,3427.93,3554.23
680000,136,-1674.498046875,22.0629,136,18.8232,2600.57,3454.87
685000,137,-2644.4208984375,56.6996,137,23.2416,955.77,1266.65
690000,138,-1417.004638671875,14.1566,138,18.8074,2660.8,3433.43
695000,139,-1408.314697265625,13.8307,139,19.2626,3001.5,3460.68
700000,140,-1817.4429931640625,36.7362,140,19.4377,2777.11,3474.12
705000,141,-2223.740234375,28.5903,141,20.8143,2425.13,3566.93
710000,142,-1452.82421875,12.5712,142,18.4212,3460.85,3568.01
715000,143,-1670.84326171875,14.6196,143,19.491,2713.14,3498.83
720000,144,-1821.8116455078125,30.8067,144,19.0901,2427.2,3537.21
725000,145,-1724.22265625,14.0287,145,18.894,3482.55,3470.09
730000,146,-1492.7523193359375,15.9703,146,18.6934,3230.77,3478.66
735000,147,-1447.7554931640625,12.6782,147,18.4574,3435.38,3555.5
740000,148,-1324.936767578125,10.755,148,17.5499,3468.1,3440.38
745000,149,-1028.2930908203125,8.605,149,16.868,3400.42,3398.05
750000,150,-1832.46923828125,15.2055,150,19.5557,2670.22,3575.36
755000,151,-2594.084228515625,38.0299,151,19.5859,2267.26,2755.55
760000,152,-1661.90185546875,13.0288,152,19.2967,2942.23,3552.72
765000,153,-1993.8565673828125,24.326,153,18.8003,2202.27,3424.88
770000,154,-1283.4537353515625,10.8705,154,17.2286,3470.6,3513.76
775000,155,-1708.87939453125,18.2716,155,18.214,2744.48,3491.37
780000,156,-2175.67822265625,39.7562,156,19.4282,2967.91,3493.22
785000,157,-1506.5072021484375,10.5957,157,18.09,3454.37,3510.05
790000,158,-1831.173828125,26.183,158,18.076,3184.52,3454.16
795000,159,-1387.553955078125,10.1783,159,17.64,3105.9,3521.16
800000,160,-1333.18359375,10.034,160,17.051,3443.3,3463.25
805000,161,-1689.3985595703125,11.7818,161,19.1372,3504.5,3546.87
810000,162,-1387.9464111328125,12.0976,162,17.2609,3460.64,3497.85
815000,163,-1811.4542236328125,10.7324,163,18.693,3488.34,3513.22
820000,164,-1958.564208984375,18.0918,164,18.3443,3177.62,3475.76
825000,165,-1886.033935546875,14.727,165,18.7622,3233.81,3496.65
830000,166,-1867.9361572265625,27.4468,166,18.2934,2725.34,3514.31
835000,167,-1753.2960205078125,11.0536,167,17.6391,3490.49,3564.38
840000,168,-2752.3876953125,44.5114,168,19.6564,2816.33,3468.17
845000,169,-2766.714111328125,51.872,169,20.3401,2424.0,3542.76
850000,170,-1489.4464111328125,10.5434,170,18.3555,3391.12,3432.66
855000,171,-1071.279052734375,8.9838,171,16.8663,3388.77,3467.59
860000,172,-1886.2276611328125,11.7125,172,19.1042,3339.23,3511.59
865000,173,-1563.104736328125,9.5109,173,17.1674,3523.85,3592.17
870000,174,-2209.5537109375,17.3293,174,18.3712,2608.78,3493.25
875000,175,-1844.1085205078125,11.2076,175,18.0363,3379.17,3529.29
880000,176,-1760.361083984375,11.4316,176,18.616,2532.3,3525.52
885000,177,-1839.1904296875,11.5558,177,19.4301,1959.47,3564.72
890000,178,-2210.89013671875,17.4987,178,18.6783,3182.75,3466.06
895000,179,-1359.748291015625,9.0612,179,16.3897,3227.48,3478.5
900000,180,-2055.73828125,15.298,180,17.9531,3211.67,3552.67
905000,181,-1736.9122314453125,10.653,181,18.5159,3244.42,3486.82
910000,182,-1892.9521484375,10.9855,182,17.8797,3471.9,3487.28
915000,183,-1744.5662841796875,10.6353,183,17.6217,3245.36,3437.14
920000,184,-2113.71533203125,21.204,184,18.2657,3345.95,3495.34
925000,185,-2274.67138671875,22.1829,185,17.8626,2886.67,3530.81
930000,186,-1951.5679931640625,11.2368,186,18.2219,3114.24,3440.84
935000,187,-2824.33740234375,36.6328,187,19.7484,2963.98,3452.57
940000,188,-2562.68603515625,23.3832,188,19.0393,2977.32,3527.36
945000,189,-2105.51171875,10.716,189,18.4186,3458.51,3497.8
950000,190,-2583.665283203125,24.2704,190,19.3068,2945.83,3622.32
955000,191,-2267.1630859375,10.7822,191,18.1412,3346.82,3537.08
960000,192,-2146.560302734375,10.9182,192,18.1769,3374.27,3484.19
965000,193,-1638.923828125,8.8417,193,16.7314,3185.84,3413.29
970000,194,-2119.178466796875,16.3687,194,17.3284,3394.79,3499.44
975000,195,-2246.738037109375,15.4846,195,17.787,3139.84,3512.67
980000,196,-2469.121826171875,18.1451,196,18.7438,2795.73,3412.41
985000,197,-2000.205078125,10.9539,197,17.6923,3509.29,3495.3
990000,198,-2921.769775390625,24.2195,198,19.6626,2762.62,3471.08
995000,199,-2217.802978515625,21.4039,199,17.9654,3134.67,3529.27
