Itration,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL
63,41.3245,3845.92,3889.51,15.9567
64,41.4308,3926.07,3943.33,18.0423
65,41.2276,3871.31,3943.89,16.18
66,40.4367,3943.34,3908.07,15.1719
67,40.9008,3938.46,3946.33,17.0694
68,40.2018,4004.67,3941.07,16.8239
69,39.7783,3981.41,4025.5,16.1708
70,40.295,4019.6,4036.82,16.7407
71,39.7582,4009.81,3939.82,14.7755
72,39.6392,3971.18,4071.0,15.6441
73,39.8018,3958.21,3932.47,14.9247
74,39.8506,4036.33,4030.64,15.705
75,39.5063,4077.75,4083.39,15.5891
76,39.9102,4020.09,4045.45,14.4154
77,39.0886,4113.65,4185.91,15.1983
78,38.8219,4145.66,4120.27,15.266
79,38.6956,4124.63,4168.17,15.3613
80,38.6722,3746.64,3956.4,14.3803
81,38.8633,3920.59,4123.24,13.4557
82,38.2728,4206.57,4214.63,15.0048
83,38.203,4274.56,4278.58,14.842
84,38.0955,4245.74,4234.91,14.3721
85,37.9432,4249.05,4282.87,14.9883
86,37.4597,4241.34,4296.69,13.4377
87,35.9834,4438.74,4518.08,13.9219
88,37.5011,4309.0,4492.37,14.4389
89,36.4337,4400.61,4511.85,14.4301
90,36.6232,4342.22,4357.89,14.429
91,37.0612,4327.52,4525.75,14.2689
92,35.7705,4356.0,4492.38,13.7635
93,36.096,4384.77,4498.19,13.6837
94,35.5611,4417.26,4558.34,13.2274
95,35.5954,4459.29,4573.27,13.0843
96,35.3368,4414.93,4541.37,13.6301
97,35.8635,4471.82,4596.94,14.5497
98,35.9208,4403.82,4568.74,12.9626
99,35.7721,4400.47,4506.45,13.1942
100,34.9888,4504.28,4581.1,13.7152
101,34.7298,4572.65,4661.56,13.1122
102,35.8785,4543.23,4601.21,14.0118
103,34.2956,4557.83,4636.19,12.2773
104,34.9742,4554.31,4693.45,13.2522
105,35.4778,4459.12,4524.46,12.3091
106,35.8015,4451.2,4631.88,12.3992
107,34.3853,4555.43,4682.27,12.9635
108,35.8593,4407.66,4537.81,12.6907
109,35.6873,4421.78,4557.1,12.5384
110,35.5916,4413.41,4561.13,12.9955
111,34.9398,4517.61,4588.45,13.4012
112,35.559,4548.35,4620.84,13.7006
113,34.9439,4532.65,4608.78,12.3473
114,34.9648,4530.21,4629.62,12.6206
115,34.9692,4562.53,4650.04,12.8598
116,35.0715,4578.9,4670.78,13.2523
117,35.1599,4573.07,4688.52,11.6927
118,34.6872,4514.5,4580.55,12.9395
119,35.615,4478.27,4597.63,12.3851
120,35.252,4517.18,4562.26,13.1893
121,34.7031,4603.5,4718.24,12.7248
122,34.0272,4619.35,4781.69,13.0503
123,34.2136,4643.58,4779.23,12.5099
124,35.0046,4646.72,4779.72,12.5604
125,34.9719,4551.37,4700.74,12.4739
126,34.3831,4509.48,4719.6,12.7127
127,35.1045,4530.68,4702.18,12.2888
128,35.061,4521.11,4705.49,12.4697
129,34.8837,4572.92,4787.8,12.0039
130,33.8953,4647.23,4713.93,12.7643
131,34.7059,4526.88,4736.17,12.8885
132,34.6133,4620.45,4764.47,13.0897
133,34.4637,4601.15,4737.89,12.6894
134,34.1027,4448.71,4843.57,11.8159
135,34.3879,4590.21,4695.09,12.6764
136,33.952,4599.24,4723.92,12.3004
137,34.483,4500.04,4681.86,12.4195
138,34.3241,4636.19,4815.26,12.2452
139,33.6941,4497.27,4838.5,12.0883
140,33.7465,4655.42,4767.33,12.7587
141,33.968,4116.69,4872.89,12.0429
142,34.9161,4379.28,4491.14,11.6371
143,34.2477,4450.8,4679.99,11.7389
144,35.1988,4407.72,4541.39,11.5338
145,35.2009,4450.37,4821.16,10.7428
146,33.3683,4697.93,4846.1,11.957
147,34.766,4582.77,4864.54,12.4398
148,35.1327,4526.28,4759.77,12.292
149,34.8358,4016.33,4640.13,12.3485
150,35.7034,4465.83,4649.76,12.1392
151,34.3831,4666.34,4857.37,12.7553
152,33.7572,4617.2,4806.62,11.4386
153,33.9987,4668.79,4902.71,12.1108
154,34.5414,4714.43,4877.65,12.3881
155,33.9713,4643.48,4886.0,12.542
156,34.1239,4639.16,4831.91,11.6717
157,33.584,4672.06,4932.17,11.9078
158,33.8058,4708.65,4881.04,12.5283
159,34.5902,4664.21,4787.87,11.9999
160,33.2972,4710.71,4787.09,12.6702
161,33.8807,4690.32,4888.52,12.3
162,33.8604,4682.9,4867.52,11.6
163,35.1833,4621.04,4695.09,12.4365
164,33.6077,4717.49,4894.19,11.5995
165,33.903,4679.71,4874.2,11.7991
166,34.3614,4344.56,4701.25,12.2938
167,34.5572,4675.83,4804.29,12.0507
168,33.771,4672.94,4866.14,12.1823
169,35.7955,4469.34,4708.77,13.4741
170,33.659,4685.05,4919.54,11.588
171,33.7844,4747.83,4850.28,11.8925
172,33.6811,4672.78,4920.53,11.419
173,32.8987,4693.95,4849.42,11.7511
174,33.3547,4773.11,4984.38,11.9732
175,33.2469,4763.53,4941.06,11.3488
176,33.1833,4769.85,4967.24,11.862
177,32.9966,4743.49,4864.89,11.7435
178,34.1835,4357.32,4733.92,11.2161
179,34.0056,4724.71,4805.4,11.4672
180,33.217,4742.35,4838.86,11.8985
181,33.3745,4760.49,4849.63,11.452
182,34.0709,4677.76,4846.84,11.0087
183,33.4763,4720.1,4865.68,11.7215
184,32.8216,4733.76,4906.99,12.0559
185,33.1223,4772.43,4891.74,11.3187
186,34.0388,4639.75,4829.46,12.5563
187,33.4566,4773.87,4896.51,11.8779
188,33.3162,4781.37,4914.14,11.6163
189,33.526,4695.6,4835.93,11.1975
190,33.0818,4783.55,4888.06,11.7023
191,33.4552,4765.57,4884.82,11.562
192,33.1025,4830.56,5043.2,12.3543
193,34.0463,4709.61,4823.52,11.8697
194,33.4179,4770.18,4910.01,11.8072
195,33.5244,4757.9,4908.48,11.1898
196,32.9865,4822.58,4966.03,11.4221
197,34.181,4730.83,4828.85,11.6238
198,33.0836,4826.37,4942.29,11.8123
199,33.602,4821.14,4989.14,12.6459
200,33.4892,4817.2,4953.77,12.631
201,32.9172,4848.24,4980.87,12.3662
202,32.9989,4821.63,4912.48,12.5884
203,33.3639,4814.01,5015.21,12.2135
204,32.7616,4821.29,5026.5,12.8026
205,33.4228,4782.79,4970.61,12.2128
206,32.9912,4790.46,5000.96,12.9269
207,33.0726,4825.37,4981.3,12.8572
208,33.0405,4813.27,4967.94,12.6973
209,32.9503,4772.0,4957.87,12.5449
210,33.3073,4800.18,4924.71,13.1419
211,32.9546,4838.43,4933.26,12.5484
212,33.0408,4812.53,4987.58,12.7319
213,32.8599,4793.08,4903.72,12.0394
214,33.34,4758.98,4888.01,12.6304
215,32.5758,4834.86,4918.47,12.1616
216,32.2829,4797.03,4909.18,12.2458
217,32.7716,4826.21,4970.7,12.6131
218,32.7884,4792.69,4955.23,11.8639
219,33.3381,4763.23,4837.47,11.9425
220,32.5263,4775.59,4866.9,11.7623
221,32.3502,4721.27,4966.83,12.0211
222,32.5631,4854.37,4989.98,12.3713
223,32.6282,4822.09,4974.82,11.7722
224,32.6079,4820.94,4970.11,12.0044
225,32.2723,4746.34,4973.1,12.3852
226,32.8003,4843.81,4949.76,11.4879
227,32.2047,4895.34,5021.85,12.1489
228,32.4393,4860.59,5021.88,12.2202
229,32.8575,4680.72,5077.71,11.6726
230,32.3251,4673.83,5060.7,11.4212
231,32.5384,4782.16,5023.29,11.5545
232,32.8102,4871.94,4977.13,12.2705
233,32.373,4889.21,5002.46,11.7979
234,32.6301,4886.26,5058.12,11.7694
235,32.8999,4859.0,5015.84,11.7041
236,33.1523,4691.03,5031.81,12.1319
237,32.9277,4914.01,4987.88,12.2782
238,32.7819,4910.89,5014.08,12.0199
239,32.519,4879.76,5029.12,12.265
240,32.8649,4842.06,4988.07,11.7795
241,32.8035,4767.25,4888.75,11.7203
242,33.1057,4850.46,4929.28,12.6336
243,33.6183,4789.69,4977.58,11.7963
244,33.5105,4818.53,4966.91,12.2559
245,32.9538,4776.81,4971.85,12.2413
246,33.2288,4487.35,4947.06,12.2639
247,33.4279,4679.14,5006.81,11.8746
248,34.2299,4416.86,4967.44,11.9325
249,33.8051,4495.03,5039.9,11.4557
250,33.6508,4657.56,5056.5,12.0784
251,34.0994,4845.64,5052.79,11.5619
252,33.1113,4673.62,4977.09,11.561
253,34.1007,4703.04,5041.12,12.6665
254,32.9623,4886.1,5023.07,11.6987
255,32.7194,4843.27,5018.8,11.4345
256,32.4838,4912.94,5028.08,12.4408
257,32.345,4926.7,5102.28,12.467
258,32.5252,4860.06,5032.89,12.4421
259,32.9402,4664.53,5028.43,12.545
260,32.6062,4942.36,5054.68,12.3898
261,32.1505,4849.61,4981.73,11.9255
262,33.258,4684.95,5078.86,11.9045
263,32.9204,4706.41,5101.56,11.5545
264,32.5597,4681.05,5104.17,11.7292
265,32.6944,4705.44,5041.02,11.3515
266,33.2254,4625.69,5099.34,13.2922
267,32.7344,4730.75,5064.46,11.4965
268,33.2148,4749.94,5110.84,12.4726
269,32.2635,4933.36,5105.41,12.2677
270,32.566,4945.53,5134.16,11.9616
271,32.5047,4920.29,5094.6,11.7855
272,32.6919,4940.6,5123.11,11.9109
273,33.1333,4709.8,5047.29,12.0295
274,32.6293,4857.86,5039.76,11.7833
275,33.1265,4911.1,5070.49,12.1455
276,32.5112,4667.96,5028.89,11.7253
277,33.3163,4908.08,5099.26,11.7798
278,33.3232,4911.06,5123.86,11.8822
279,33.2896,4932.26,5083.7,12.4787
280,33.3116,4749.55,5117.78,12.0458
281,33.8061,4934.63,5098.82,12.3617
282,33.3796,4909.77,5094.38,12.0145
283,33.5489,4943.69,5193.76,12.491
284,33.0992,4719.99,5149.12,12.0528
285,33.2844,4914.22,5091.65,12.1273
286,33.6405,4682.33,5177.36,11.0695
287,33.9846,4518.16,5106.11,12.1786
288,33.2241,4925.41,5114.09,12.0422
289,33.78,4873.62,5118.22,11.4048
290,33.6534,4826.63,5192.52,11.6651
291,33.8589,4646.94,5027.27,11.2398
292,33.4189,4269.72,5202.38,11.4137
293,33.1795,4940.19,5214.25,11.4307
294,33.3034,4851.41,5210.75,11.7096
295,33.4826,4944.01,5153.17,11.6455
296,33.35,4872.75,5158.35,11.6007
297,33.451,4357.77,4997.5,13.15
298,51.8643,314.77,362.77,76.0972
299,46.9022,1193.04,1202.15,21.9157
300,38.7945,3934.9,4147.15,18.2757
301,38.9434,3585.86,3817.4,17.0299
302,37.6259,3720.45,4142.72,12.8951
303,36.183,3316.82,4667.91,22.3774
304,34.9438,4223.31,4559.15,12.0922
305,32.6102,4809.5,4901.34,13.0907
306,33.6719,4732.7,4924.47,12.2362
307,34.5276,4574.62,4684.13,12.2994
308,39.8819,3754.33,3916.49,20.3581
309,33.8296,4722.03,4844.77,13.2469
310,35.4064,4614.57,4453.34,15.1889
311,34.0099,4707.38,4842.27,13.0422
312,34.4365,4185.83,4861.84,12.7108
313,33.6955,4692.83,4863.2,12.22
314,33.8918,4770.45,4945.88,12.7191
315,33.9521,4714.84,4937.13,11.9412
316,33.5033,4641.78,5020.87,11.2209
317,33.4175,4729.53,5045.24,12.1256
318,33.0993,4731.03,4929.04,11.7684
319,32.9723,4702.16,4921.21,11.7685
320,33.0515,4744.08,4844.94,11.5066
321,33.0801,4742.67,4827.6,11.5318
322,33.0998,4782.17,5002.21,11.5782
323,32.6997,4761.58,4897.45,11.7812
324,33.0288,4793.77,4964.08,11.4897
325,33.8321,4788.81,4972.5,12.5824
326,33.2249,4817.55,5017.29,12.2906
327,33.1869,4762.14,4837.21,11.886
328,32.9802,4794.96,4924.91,12.0494
329,33.2644,4828.81,4966.41,11.8492
330,33.1928,4877.8,5061.59,12.0229
331,33.5555,4750.45,4938.7,12.2411
332,33.2614,4787.78,4918.17,11.8577
333,33.1353,4778.48,4945.23,12.0167
334,33.3958,4837.0,4901.46,12.1134
335,33.4536,4880.04,4965.3,11.3253
336,33.0717,4870.8,4961.53,11.9521
337,33.4495,4873.57,5075.64,11.6673
338,33.1724,4709.03,5095.97,11.7746
339,33.1869,4835.82,5020.74,11.5888
340,32.9865,4909.68,5031.0,11.7337
341,32.7809,4842.6,4876.54,11.9128
342,33.0063,4867.79,4919.02,11.705
343,33.4481,4838.23,5028.9,11.4096
344,33.0115,4905.61,5064.86,12.0332
345,32.4585,4836.67,4882.06,11.4181
346,32.9308,4912.76,5029.09,11.4885
347,32.9794,4927.88,5031.88,11.9739
348,33.0609,4868.18,5073.51,11.6769
349,32.6612,4951.79,5078.72,12.2571
350,33.1715,4908.02,4992.55,12.1461
351,33.3361,4958.92,5134.11,11.96
352,32.4003,4978.61,4944.3,12.4991
353,33.478,5002.13,5167.13,12.7055
354,32.6426,4999.29,5105.58,12.1394
355,32.9679,4977.1,5113.9,12.2683
356,33.1633,4989.96,5085.17,11.8498
357,32.5498,4967.16,5112.51,11.8814
358,31.7653,4980.16,5080.2,12.1592
359,32.7045,4952.34,5078.13,11.6896
360,32.4146,5000.56,5147.19,12.467
361,33.0697,4957.96,5117.91,11.849
362,32.7591,4976.52,5105.58,12.197
363,32.843,4960.19,5123.72,12.3108
364,32.6477,4945.83,5047.46,12.1348
365,32.6615,4960.72,5116.73,11.9562
366,32.6453,4920.03,5157.9,12.1488
367,32.5347,4957.43,5050.98,11.9106
368,32.8485,4976.7,5133.47,12.342
369,32.6391,4754.97,5155.31,12.0225
370,32.9922,4998.24,5142.96,12.0685
