Running Update Time,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Itration,Reward Loss
99,15.5473,3522.89,495000,3406.27,9.5436,99,-168.18788146972656
100,15.0958,3497.04,500000,3471.53,9.4179,100,-182.59866333007812
101,16.3626,3537.23,505000,2982.6,24.5744,101,-801.5607299804688
102,15.396,3504.61,510000,3367.62,10.155,102,-201.72384643554688
103,15.9497,3492.11,515000,3469.69,10.6806,103,-238.15628051757812
104,15.184,3525.22,520000,3430.93,9.2303,104,-273.4803771972656
105,15.2013,3522.21,525000,3471.83,9.3143,105,-289.7008056640625
106,15.4568,3525.06,530000,3280.11,9.7059,106,-220.17889404296875
107,15.9867,3506.96,535000,3489.69,10.1576,107,-204.1732177734375
108,15.9803,3548.1,540000,3522.42,9.9375,108,-201.58139038085938
109,16.6817,3523.44,545000,3284.45,10.1948,109,-377.0863342285156
110,15.3319,3516.58,550000,3325.63,9.36,110,-259.7948913574219
111,15.4625,3528.61,555000,3502.11,9.7824,111,-223.26177978515625
112,15.8323,3500.23,560000,3448.71,9.9675,112,-258.5250549316406
113,15.9528,3485.85,565000,3473.18,9.4804,113,-289.65582275390625
114,15.6505,3474.0,570000,3450.28,9.8145,114,-230.99403381347656
115,14.9878,3524.11,575000,3285.08,9.2244,115,-273.3349609375
116,15.8599,3494.61,580000,3362.39,10.1505,116,-283.78204345703125
117,15.8025,3500.53,585000,3346.87,10.384,117,-260.04449462890625
118,15.3416,3497.89,590000,3222.57,9.0009,118,-263.2679443359375
119,15.5606,3500.29,595000,3321.83,9.8351,119,-274.1858215332031
120,15.8468,3463.17,600000,3441.29,10.2273,120,-283.4988098144531
121,15.3077,3512.75,605000,3259.26,9.5509,121,-304.1063232421875
122,16.1036,3532.9,610000,3408.5,9.5002,122,-367.74200439453125
123,15.3577,3521.08,615000,3505.35,10.0437,123,-249.07972717285156
124,14.5098,3516.31,620000,3502.66,8.9988,124,-302.75628662109375
125,15.3264,3506.51,625000,3475.45,9.749,125,-273.4213562011719
126,14.5638,3498.17,630000,3455.11,9.3393,126,-248.31451416015625
127,16.2895,3518.35,635000,2449.06,12.0228,127,-626.9447631835938
128,15.6642,3507.15,640000,3482.06,9.7882,128,-267.01104736328125
129,14.8323,3507.41,645000,3477.76,9.0496,129,-307.5199279785156
130,15.7314,3527.64,650000,3497.08,9.3256,130,-424.8321228027344
131,15.0601,3516.53,655000,3348.23,9.5844,131,-317.89605712890625
132,15.1955,3515.65,660000,3104.5,9.4613,132,-330.1298522949219
133,15.9405,3508.22,665000,3473.84,10.7255,133,-341.2676086425781
134,15.4313,3493.89,670000,3470.24,9.912,134,-313.6739196777344
135,14.6739,3499.86,675000,3366.8,9.37,135,-307.43719482421875
136,15.3447,3518.68,680000,3494.41,9.4505,136,-350.41302490234375
137,15.0616,3522.58,685000,3481.51,9.0057,137,-302.6932373046875
138,15.1585,3505.08,690000,3372.85,9.9491,138,-307.3450012207031
139,15.7023,3536.58,695000,3255.41,9.5631,139,-520.0811767578125
140,14.8943,3497.43,700000,2909.33,9.4942,140,-320.2633361816406
141,15.0514,3519.38,705000,3336.07,9.7742,141,-324.0606384277344
142,15.5203,3532.83,710000,3433.66,10.4828,142,-419.0303649902344
143,15.2772,3530.97,715000,3491.42,8.8504,143,-374.28924560546875
144,15.0912,3524.09,720000,3119.31,11.6515,144,-441.42919921875
145,16.8311,3517.12,725000,2828.43,10.2741,145,-716.7061157226562
146,15.5945,3538.26,730000,2802.91,9.9872,146,-549.2415771484375
147,15.647,3527.24,735000,3495.07,9.7985,147,-404.23919677734375
148,15.8151,3503.56,740000,3300.15,9.6498,148,-447.6044006347656
149,15.6117,3500.06,745000,3468.06,9.9337,149,-437.8221740722656
150,15.2588,3510.9,750000,3458.98,9.78,150,-411.958251953125
151,16.4549,3498.7,755000,3472.87,10.9331,151,-399.879638671875
152,15.3383,3505.14,760000,3483.7,9.9477,152,-422.4527587890625
153,15.5198,3478.1,765000,3452.31,10.1081,153,-407.9619445800781
154,15.4937,3518.64,770000,3488.16,9.9546,154,-422.93487548828125
155,15.5391,3486.36,775000,3443.53,9.939,155,-440.33978271484375
156,15.2882,3503.28,780000,3471.63,10.0667,156,-430.8710632324219
157,15.3459,3473.8,785000,3442.2,9.9446,157,-436.5379943847656
158,14.8076,3488.56,790000,3451.76,9.236,158,-392.66143798828125
159,15.2585,3500.58,795000,3483.46,9.9292,159,-475.09918212890625
160,15.5512,3482.32,800000,3449.0,9.965,160,-493.16253662109375
161,15.5239,3529.88,805000,3410.99,9.554,161,-571.968505859375
162,14.9061,3490.19,810000,3464.02,9.5552,162,-522.7251586914062
163,15.2958,3508.36,815000,3481.13,9.8977,163,-462.5420227050781
164,15.33,3507.84,820000,3236.7,9.4394,164,-631.3226318359375
165,14.9638,3520.68,825000,3488.0,9.1662,165,-437.9928894042969
166,15.5042,3539.93,830000,3396.97,10.05,166,-708.7821044921875
167,15.1548,3517.69,835000,3379.33,8.9054,167,-510.1142578125
168,15.1197,3499.06,840000,3462.64,9.5545,168,-472.29296875
169,16.2665,3536.29,845000,3187.21,10.3877,169,-778.2171630859375
170,15.113,3519.64,850000,3310.86,9.2548,170,-487.7778625488281
171,15.2818,3509.12,855000,3483.91,9.9262,171,-542.5399169921875
172,15.4639,3517.38,860000,2877.52,9.226,172,-777.5782470703125
173,14.9936,3502.54,865000,3474.09,8.8773,173,-539.7752685546875
174,16.1448,3499.9,870000,3443.86,10.5257,174,-638.63232421875
175,14.9885,3520.67,875000,3373.57,9.4034,175,-633.5077514648438
176,15.3146,3508.09,880000,3489.02,10.0928,176,-599.0585327148438
177,15.0165,3505.6,885000,3482.48,9.698,177,-590.808349609375
178,14.7989,3491.2,890000,3456.72,9.1817,178,-512.8864135742188
179,15.1023,3507.9,895000,3430.58,9.5719,179,-635.1840209960938
180,15.4966,3516.23,900000,3481.81,10.158,180,-664.7635498046875
181,16.3621,3527.37,905000,3172.43,8.9908,181,-928.0936889648438
182,16.4216,3532.48,910000,3364.88,10.1343,182,-734.1949462890625
183,15.7268,3502.26,915000,3489.93,9.6668,183,-710.644775390625
184,14.9169,3496.07,920000,3471.49,9.5215,184,-677.6460571289062
185,16.268,3511.28,925000,3089.4,10.2042,185,-1077.0120849609375
186,15.741,3476.04,930000,3442.01,9.874,186,-584.6265258789062
187,15.4882,3504.8,935000,3398.25,9.8623,187,-670.8330078125
188,15.8021,3517.45,940000,3486.27,10.359,188,-796.2322998046875
189,16.0754,3505.22,945000,3413.58,10.1594,189,-821.025390625
190,15.678,3490.35,950000,3462.77,9.7532,190,-773.8865356445312
191,15.5881,3488.27,955000,3474.93,9.4417,191,-685.5709838867188
192,16.0833,3515.92,960000,3489.74,10.0407,192,-743.0874633789062
193,16.3819,3518.7,965000,3301.17,9.8272,193,-966.4644775390625
194,15.5934,3536.16,970000,3330.82,9.6298,194,-825.2739868164062
195,14.9465,3490.73,975000,3308.15,9.201,195,-682.1123657226562
196,16.0695,3508.39,980000,3384.29,9.8442,196,-1189.1575927734375
197,15.461,3493.58,985000,3390.51,9.4746,197,-802.32666015625
198,15.4682,3488.13,990000,3447.02,10.0189,198,-780.5740966796875
199,14.8584,3499.06,995000,3473.89,9.5336,199,-764.2088012695312
