Itration,Running Update Time,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Running Env Steps,Reward Loss
87,87,12.6072,19.6642,3353.23,3351.05,435000,-715.84326171875
88,88,13.1151,20.0599,3130.84,3408.12,440000,-669.1720581054688
89,89,13.3535,20.4593,3337.72,3367.49,445000,-747.0632934570312
90,90,12.5153,18.9313,3274.81,3384.72,450000,-700.5016479492188
91,91,13.6562,20.4758,3108.47,3384.26,455000,-741.0322265625
92,92,12.6789,20.2058,3336.01,3369.28,460000,-726.8441772460938
93,93,14.3691,21.1612,2792.12,3393.94,465000,-881.7736206054688
94,94,13.2021,20.0568,3294.34,3389.26,470000,-720.7346801757812
95,95,13.4802,20.3553,3318.11,3328.07,475000,-871.9168701171875
96,96,13.1111,19.1879,3416.24,3438.97,480000,-815.176513671875
97,97,13.0633,19.7423,3332.52,3356.11,485000,-805.6586303710938
98,98,14.6332,21.3243,3184.0,3371.58,490000,-1083.1417236328125
99,99,12.8164,19.9844,3330.43,3418.55,495000,-874.1650390625
100,100,12.6246,19.616,3316.31,3391.32,500000,-869.4639892578125
101,101,13.0642,19.5728,3363.49,3369.52,505000,-806.1786499023438
102,102,13.1835,19.857,3264.31,3400.62,510000,-880.9807739257812
103,103,13.0292,20.1492,3192.21,3430.84,515000,-951.5228271484375
104,104,13.1094,20.4701,3279.54,3410.59,520000,-1011.7493896484375
105,105,16.0383,20.388,3060.35,3379.72,525000,-1097.857666015625
106,106,12.7918,19.8003,3159.48,3383.4,530000,-1081.609375
107,107,13.5173,19.8525,3375.89,3375.49,535000,-866.8936767578125
108,108,13.8249,20.1443,3373.42,3389.63,540000,-932.683349609375
109,109,12.5787,19.2211,3232.37,3381.07,545000,-875.5625610351562
110,110,12.2009,18.8418,2997.42,3435.55,550000,-774.0386352539062
111,111,12.6246,19.682,3264.4,3389.88,555000,-976.3447265625
112,112,12.7141,19.1874,3307.96,3416.76,560000,-988.2350463867188
113,113,12.546,19.5557,3261.98,3378.49,565000,-1005.7047729492188
114,114,12.5296,19.6157,3240.2,3429.15,570000,-1026.2235107421875
115,115,12.1776,19.3839,3362.57,3433.83,575000,-850.8247680664062
116,116,12.4446,20.1521,3415.28,3436.96,580000,-1175.2486572265625
117,117,11.5221,19.2534,2768.52,3459.99,585000,-972.8585205078125
118,118,12.7908,19.7048,3402.7,3411.6,590000,-1122.13916015625
119,119,18.469,21.1042,1951.75,3451.08,595000,-1721.979736328125
120,120,12.2684,19.1317,3215.52,3411.48,600000,-987.7843017578125
121,121,12.0522,18.8253,3312.66,3422.11,605000,-1055.42822265625
122,122,11.9957,18.9027,3299.29,3366.56,610000,-1113.5694580078125
123,123,13.1029,19.3644,3363.67,3368.83,615000,-1123.770751953125
124,124,12.1579,19.4509,2979.63,3418.49,620000,-1324.9927978515625
125,125,11.9163,18.9921,3211.99,3446.47,625000,-1004.1463012695312
126,126,12.381,19.5375,3266.76,3418.43,630000,-1293.163330078125
127,127,12.1114,19.0675,3134.78,3429.02,635000,-1097.505859375
128,128,11.7446,19.2152,3087.67,3399.61,640000,-1285.5555419921875
129,129,12.5214,19.4944,3204.97,3420.5,645000,-1225.030029296875
130,130,12.5606,19.3729,3399.21,3421.35,650000,-1197.95458984375
131,131,12.4546,19.8311,3293.91,3400.61,655000,-1171.339111328125
132,132,12.4319,19.1514,2811.24,3457.8,660000,-1273.6593017578125
133,133,12.4371,18.9774,3175.43,3408.48,665000,-1281.4259033203125
134,134,13.0263,20.198,2424.29,3409.45,670000,-1512.890625
135,135,13.6414,19.9656,2819.2,3439.48,675000,-1291.4561767578125
136,136,12.3093,19.1585,3164.86,3411.97,680000,-1266.753173828125
137,137,19.3154,19.7726,2858.14,3422.72,685000,-1529.5318603515625
138,138,12.5487,18.9479,3385.26,3410.88,690000,-1275.912109375
139,139,11.9611,19.5787,3248.15,3365.37,695000,-1385.014892578125
140,140,12.2259,20.0143,2760.9,3476.06,700000,-1203.9207763671875
141,141,11.85,18.8613,3208.74,3391.58,705000,-1460.8436279296875
142,142,16.3628,19.1939,3308.75,3408.09,710000,-1493.8594970703125
143,143,12.4743,18.9949,3371.8,3435.27,715000,-1206.6759033203125
144,144,11.1349,19.2936,3205.37,3416.91,720000,-1199.4405517578125
145,145,11.9118,18.6519,3214.98,3394.79,725000,-1288.6263427734375
146,146,12.6648,18.942,3190.38,3479.94,730000,-1126.2037353515625
147,147,11.6479,19.4804,3073.76,3415.17,735000,-1516.8955078125
148,148,12.8725,19.1104,3388.54,3427.83,740000,-1475.897216796875
149,149,12.4426,19.3695,3389.77,3424.29,745000,-1537.2813720703125
150,150,13.0225,19.4172,3363.97,3447.19,750000,-1436.0162353515625
151,151,11.6384,18.9973,3272.21,3438.33,755000,-1307.7684326171875
152,152,12.6377,19.0733,3407.0,3437.54,760000,-1531.806884765625
153,153,13.7228,18.8657,3203.47,3432.97,765000,-1435.8575439453125
154,154,14.0114,19.4787,3145.14,3437.1,770000,-1351.540771484375
155,155,11.9083,18.3595,3327.58,3454.7,775000,-1516.8482666015625
156,156,12.9209,19.4447,3438.58,3451.53,780000,-1407.0535888671875
157,157,12.4247,19.2266,3383.31,3455.19,785000,-1505.05224609375
158,158,15.1974,18.8258,3299.02,3450.31,790000,-1570.5126953125
159,159,12.3199,19.2922,3417.96,3433.4,795000,-1601.1331787109375
160,160,11.7151,18.6508,3196.48,3435.0,800000,-1298.6805419921875
161,161,12.3317,19.0675,3319.27,3444.52,805000,-1614.354248046875
162,162,28.0856,20.5371,2519.22,3425.55,810000,-1873.8387451171875
163,163,13.67,18.6703,3435.91,3430.57,815000,-1426.9344482421875
164,164,12.7149,18.9265,2395.29,3439.36,820000,-1476.1246337890625
165,165,12.0306,18.3334,3286.47,3460.2,825000,-1297.207763671875
166,166,13.319,19.007,3138.99,3430.79,830000,-1531.3642578125
167,167,12.322,18.6563,3348.79,3433.48,835000,-1650.9605712890625
168,168,12.0999,19.3064,3307.63,3444.22,840000,-1498.39990234375
169,169,12.0154,19.1,3296.25,3458.69,845000,-1579.03125
170,170,12.0031,18.4536,3415.97,3448.43,850000,-1561.8743896484375
171,171,15.3323,19.06,3396.94,3427.01,855000,-1822.8153076171875
172,172,12.3827,19.0711,2790.82,3461.38,860000,-1632.9681396484375
173,173,12.0925,18.7063,3215.4,3441.92,865000,-1711.097412109375
174,174,13.0293,19.4229,3418.64,3453.31,870000,-1853.752197265625
175,175,12.0935,19.6154,3331.96,3419.29,875000,-1847.95068359375
176,176,12.5152,19.3688,3436.25,3452.09,880000,-1976.63720703125
177,177,12.178,18.5863,3189.52,3418.72,885000,-1810.0302734375
178,178,15.2126,19.3964,3197.81,3422.78,890000,-1864.2449951171875
179,179,20.1896,19.3229,3055.41,3462.24,895000,-1747.43701171875
180,180,17.9386,19.7481,3206.33,3447.61,900000,-1719.146484375
181,181,12.7443,19.5011,3270.94,3445.05,905000,-1897.5579833984375
182,182,15.3985,19.6491,3246.29,3428.9,910000,-2024.468017578125
183,183,12.1432,19.4649,3338.17,3448.2,915000,-1768.0819091796875
184,184,12.1399,19.0882,3315.09,3447.01,920000,-1852.0601806640625
185,185,11.5168,18.4157,3416.9,3444.79,925000,-1700.0477294921875
186,186,15.3382,19.6374,2810.12,3451.25,930000,-1808.347412109375
187,187,12.5949,18.7329,3418.2,3458.3,935000,-1974.68701171875
188,188,12.4186,19.2679,3405.52,3438.83,940000,-1806.95068359375
189,189,12.6588,19.5084,2678.85,3453.17,945000,-2016.89306640625
190,190,12.2251,19.2633,3434.11,3461.47,950000,-1878.8399658203125
191,191,11.9703,18.8868,3255.09,3472.96,955000,-1682.7451171875
192,192,12.2302,18.8401,3322.46,3442.46,960000,-1805.9915771484375
193,193,11.5069,18.0944,3318.76,3456.13,965000,-1751.0496826171875
194,194,12.9359,19.4205,3101.2,3440.66,970000,-1907.8883056640625
195,195,11.948,18.8848,3372.73,3451.19,975000,-1922.4495849609375
196,196,12.1886,18.8457,3331.5,3460.56,980000,-1804.8414306640625
197,197,11.7207,18.6882,3355.47,3443.4,985000,-1959.563720703125
198,198,11.6781,18.346,3247.56,3438.63,990000,-1952.15283203125
199,199,20.6009,19.4766,3341.07,3445.06,995000,-2209.740966796875
