Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Itration
17.9277,43.6913,3804.48,3863.19,399
17.7745,43.7546,3930.64,4017.85,400
18.0225,43.718,3967.95,3865.93,401
17.084,43.8386,4002.93,3813.8,402
16.8683,43.4013,4017.42,3915.24,403
17.0538,43.7718,3965.79,3836.24,404
17.7,43.442,4011.13,3972.67,405
15.808,43.6102,3892.89,3535.62,406
17.383,43.8589,3980.69,3975.83,407
17.715,43.5556,3892.84,3920.82,408
17.3861,43.6094,3986.15,4042.76,409
18.4154,43.6268,4019.78,3965.81,410
16.8247,43.7084,3981.61,4034.06,411
17.3711,43.7117,3937.95,3995.76,412
17.1219,43.6939,4013.72,4031.91,413
17.5521,43.3128,3945.32,4007.29,414
18.0267,43.4639,4005.91,4050.56,415
17.4631,43.5924,3988.2,4010.46,416
17.6821,43.8738,4017.74,4080.07,417
17.3206,43.4687,3922.1,4040.14,418
16.4991,43.3479,3999.16,4014.05,419
16.6688,43.3722,3994.97,4024.49,420
16.7276,43.5655,3995.66,4018.72,421
17.4092,43.4226,4067.26,4067.1,422
17.3553,43.432,4014.13,4014.04,423
16.3759,43.4823,3940.92,3974.76,424
17.404,43.5978,3964.25,4009.09,425
16.6738,43.7884,4026.19,4025.34,426
16.9338,43.3521,3978.47,4037.53,427
17.234,43.7153,4123.82,3964.33,428
16.597,43.7018,4052.01,4051.0,429
17.2408,43.6479,4002.54,4015.58,430
16.5757,43.4082,3972.73,4024.07,431
16.9215,43.4913,3963.52,4015.45,432
16.5417,43.2639,4040.63,4035.28,433
16.5901,43.713,3981.03,4043.56,434
16.5183,43.3133,3873.77,4043.05,435
17.6818,43.8838,3977.35,4041.47,436
17.4193,43.26,3993.13,4053.03,437
19.3787,43.798,4072.94,3945.65,438
16.5346,43.6169,4143.31,3808.33,439
17.6422,43.5235,4084.35,4134.86,440
17.3716,43.5109,4080.69,3820.03,441
17.0483,43.4564,4091.75,4085.76,442
17.0978,43.5149,4055.4,4093.02,443
17.4591,43.6207,3975.27,3716.65,444
17.2853,43.6566,4125.95,4140.4,445
