Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Real Det Return,Running Update Time,Real Sto Return
325000,30.7697,-3051.200927734375,36.5299,65,1076.51,65,1077.81
330000,33.4457,-2853.900634765625,19.5756,66,1112.95,66,1115.99
335000,31.4454,-3163.3544921875,38.5205,67,266.94,67,264.32
340000,33.7747,-3153.0048828125,27.949,68,234.18,68,261.06
345000,38.136,-3479.1845703125,50.7659,69,990.94,69,991.04
350000,38.3148,-3250.093505859375,27.5576,70,995.06,70,994.82
355000,36.6893,-4283.041015625,220.3276,71,93.12,71,47.1
360000,39.9075,-2215.856689453125,194.3896,72,2.59,72,2.59
365000,36.8011,-3659.194091796875,58.6489,73,1020.36,73,1020.57
370000,36.5248,-3644.306396484375,49.3602,74,1013.38,74,1013.29
375000,30.286,-4119.4541015625,111.7734,75,279.28,75,273.01
380000,36.1152,-3833.54541015625,50.7763,76,1043.57,76,1043.16
385000,28.1169,-3739.31787109375,49.048,77,786.62,77,695.74
390000,36.1087,-3912.75048828125,32.2453,78,1022.44,78,1023.95
395000,35.5437,-3818.548583984375,24.8623,79,1031.1,79,1030.51
400000,34.0114,-3867.63232421875,21.1779,80,1077.52,80,1078.2
405000,30.2695,-3629.25146484375,24.8071,81,804.58,81,844.67
410000,33.1576,-3767.4189453125,60.7815,82,778.39,82,755.79
415000,38.4853,-4191.95751953125,31.7488,83,1002.23,83,1001.75
420000,36.6264,-4034.533935546875,124.9544,84,325.58,84,275.05
425000,30.3492,-3193.531982421875,26.3985,85,1414.21,85,1481.69
430000,32.963,-3877.70947265625,37.7917,86,793.12,86,869.93
435000,33.3134,-3630.771484375,73.2709,87,220.13,87,258.52
440000,37.9432,-4605.14794921875,40.2555,88,984.24,88,984.36
445000,38.7833,-4649.6884765625,80.3869,89,988.51,89,988.49
450000,37.9075,-4773.623046875,80.6917,90,990.56,90,991.0
455000,37.183,-4767.05419921875,52.0467,91,1009.94,91,1009.8
460000,37.1321,-4818.31982421875,63.1454,92,998.6,92,998.53
465000,37.1882,-4869.31494140625,58.1233,93,1003.1,93,1003.5
470000,36.1394,-4901.18896484375,45.9935,94,1001.35,94,1001.58
475000,40.3933,-5002.4189453125,76.2715,95,984.7,95,984.74
480000,34.0223,-4276.263671875,21.8589,96,1016.56,96,1016.99
485000,33.2732,-4865.736328125,48.8968,97,236.15,97,239.71
490000,31.9836,-4783.0830078125,44.7758,98,317.29,98,317.27
495000,32.8098,-5303.10400390625,64.3673,99,222.75,99,224.22
500000,32.7136,-4862.40966796875,54.5737,100,233.8,100,234.38
505000,30.9136,-3900.306884765625,24.9279,101,287.0,101,276.9
510000,30.4253,-4106.93212890625,21.1677,102,251.14,102,232.67
515000,33.6038,-4949.61376953125,48.0336,103,209.73,103,210.53
520000,33.1931,-5182.58935546875,48.0271,104,182.28,104,181.84
525000,32.5717,-5415.6494140625,46.3076,105,266.43,105,267.09
530000,32.5447,-5409.75439453125,62.1273,106,366.2,106,371.05
535000,36.4938,-5334.26611328125,31.7732,107,1016.24,107,1013.87
540000,34.9586,-5256.794921875,24.9029,108,1040.79,108,1034.15
545000,34.3061,-5184.23095703125,25.8396,109,1059.11,109,1062.64
550000,29.5341,-4709.02880859375,24.6887,110,745.59,110,795.65
555000,27.9989,-4651.18212890625,37.9138,111,780.54,111,768.47
560000,30.8001,-4539.76611328125,24.3131,112,1425.16,112,1437.49
565000,28.4099,-4591.15771484375,32.9484,113,857.52,113,869.37
570000,31.6759,-4917.359375,30.9162,114,803.0,114,794.92
575000,31.913,-4698.13134765625,34.4057,115,1476.7,115,1479.6
580000,28.9462,-4350.3583984375,21.9782,116,1178.49,116,1192.58
585000,36.4045,-6281.9990234375,41.9022,117,998.44,117,997.58
590000,38.592,-6362.51220703125,65.1672,118,998.24,118,998.45
595000,38.4223,-6484.08740234375,63.8093,119,998.91,119,998.85
600000,37.2271,-6505.67138671875,60.9888,120,1022.15,120,1022.1
605000,38.0659,-6453.76416015625,41.9026,121,1015.39,121,1015.28
610000,37.5246,-6502.18701171875,41.4393,122,1014.02,122,1014.26
615000,38.1569,-6542.1982421875,33.5683,123,1000.71,123,1000.03
620000,37.4204,-6514.875,58.8053,124,1043.89,124,1043.96
625000,36.3051,-6678.9453125,56.8424,125,1042.1,125,1041.95
630000,36.4025,-6850.86572265625,53.3557,126,1042.2,126,1042.29
635000,36.0849,-6855.5830078125,58.2033,127,1040.87,127,1041.13
640000,37.9721,-6975.52001953125,41.9854,128,1041.63,128,1041.53
645000,32.0006,-6355.7470703125,41.6243,129,664.96,129,663.52
650000,31.1455,-6515.97705078125,78.8846,130,588.66,130,585.21
655000,35.0411,-7107.1435546875,38.8547,131,1055.07,131,1055.81
660000,31.6903,-6228.2060546875,25.9921,132,786.25,132,769.18
665000,29.8474,-5414.9619140625,75.8754,133,302.23,133,285.06
670000,36.5499,-6551.32666015625,40.9222,134,860.42,134,902.12
675000,36.3393,-7314.61962890625,40.1521,135,990.56,135,989.81
680000,34.7545,-6424.78173828125,24.806,136,1078.09,136,1072.91
685000,30.5589,-5751.4267578125,37.3114,137,845.15,137,856.42
690000,28.7731,-5124.50927734375,25.0245,138,487.33,138,480.74
695000,35.4435,-5864.35693359375,25.9458,139,925.14,139,926.67
700000,34.5536,-5969.68310546875,29.394,140,1002.1,140,1002.72
705000,33.8985,-5720.900390625,20.9417,141,1020.24,141,1014.96
710000,29.6781,-4703.71142578125,76.226,142,543.83,142,480.64
715000,31.1425,-4800.2685546875,25.2302,143,1416.77,143,1401.8
720000,33.3857,-5497.09033203125,21.545,144,1306.12,144,1308.35
725000,36.0863,-7928.4365234375,37.3567,145,1035.55,145,1035.48
730000,33.2171,-6608.74951171875,54.4866,146,988.33,146,871.25
735000,29.7339,-5547.81591796875,169.0881,147,363.86,147,393.62
740000,28.8809,-6017.08349609375,166.5367,148,556.2,148,604.24
745000,29.2307,-7231.52294921875,45.4444,149,419.2,149,422.71
750000,36.4336,-8498.9716796875,79.2601,150,987.3,150,987.46
755000,37.953,-8542.7783203125,79.2708,151,983.75,151,983.39
760000,35.5948,-8557.0927734375,71.9677,152,994.21,152,993.28
765000,38.0866,-8651.921875,66.6419,153,980.71,153,980.66
770000,38.5271,-8220.0908203125,62.0422,154,983.18,154,983.06
775000,31.2057,-6720.17578125,29.9004,155,1099.13,155,1075.45
780000,35.5018,-7187.109375,31.3881,156,1029.82,156,1029.49
785000,35.7405,-8930.8154296875,46.4265,157,1018.27,157,1018.67
790000,34.4097,-8774.26171875,71.617,158,1006.65,158,1005.79
795000,32.7252,-8238.4677734375,57.4734,159,625.33,159,676.68
