Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Update Time
24.497,3205.31,21.9401,37,185000,-260.58868408203125,3363.2,37
14.5634,3253.16,22.2728,38,190000,-356.45550537109375,3254.37,38
14.7745,3278.13,21.7697,39,195000,-299.29974365234375,3337.13,39
15.4778,3367.36,22.0117,40,200000,-259.4805908203125,3370.84,40
31.3588,2525.11,21.462,41,205000,-685.4823608398438,3399.77,41
14.2722,2972.04,20.7869,42,210000,-235.48011779785156,3361.37,42
15.339,3265.71,21.8548,43,215000,-287.28924560546875,3373.46,43
14.9015,3292.31,21.4641,44,220000,-271.574462890625,3384.86,44
21.9278,2252.08,21.4948,45,225000,-673.4191284179688,3423.27,45
14.993,3368.25,21.5536,46,230000,-297.5537414550781,3380.98,46
14.4747,3236.56,21.6529,47,235000,-297.1294860839844,3387.98,47
15.4987,3359.83,21.7735,48,240000,-348.50433349609375,3367.02,48
14.9555,3362.18,21.1919,49,245000,-306.1186828613281,3379.01,49
13.783,3092.18,20.1931,50,250000,-543.0830078125,3450.8,50
22.5056,3189.97,21.4722,51,255000,-347.62506103515625,3411.63,51
14.7952,3326.24,21.7888,52,260000,-378.3468017578125,3350.87,52
14.0733,3187.88,20.9531,53,265000,-336.3138427734375,3370.38,53
14.9158,3382.63,21.8375,54,270000,-338.23211669921875,3392.03,54
13.3628,3011.48,21.1238,55,275000,-456.5632629394531,3418.96,55
15.2506,3413.07,21.9026,56,280000,-320.4787902832031,3430.04,56
13.9244,3150.96,20.4887,57,285000,-347.1382141113281,3426.4,57
14.2782,3275.62,21.3828,58,290000,-368.42138671875,3420.18,58
13.817,3310.77,20.1696,59,295000,-342.8209228515625,3419.05,59
14.3344,3355.68,21.4793,60,300000,-421.7135009765625,3374.09,60
14.3823,3409.69,21.0134,61,305000,-385.2684326171875,3433.52,61
13.8482,3340.07,21.0803,62,310000,-456.414306640625,3437.5,62
15.1515,3358.08,21.5751,63,315000,-454.34295654296875,3373.61,63
15.0275,3380.54,21.0796,64,320000,-413.9231872558594,3402.79,64
13.1608,3361.92,21.0272,65,325000,-444.1805419921875,3413.52,65
12.5482,3022.96,20.5521,66,330000,-626.3995361328125,3444.15,66
13.5044,3210.55,20.6518,67,335000,-579.4560546875,3430.8,67
14.5714,3326.35,20.9712,68,340000,-466.5743713378906,3392.34,68
14.6177,3380.88,21.1774,69,345000,-444.04327392578125,3395.87,69
13.8612,3366.04,20.7945,70,350000,-472.9206848144531,3394.7,70
15.058,3396.12,21.4321,71,355000,-480.0155944824219,3422.75,71
13.9675,3396.89,20.5491,72,360000,-485.7024230957031,3417.99,72
13.7188,3403.11,20.5577,73,365000,-596.6895751953125,3428.21,73
12.9075,3036.02,19.9873,74,370000,-603.38623046875,3428.92,74
13.206,2977.54,20.5335,75,375000,-552.4547729492188,3448.86,75
14.443,3384.76,20.9643,76,380000,-525.9483032226562,3404.89,76
11.7772,2704.87,20.607,77,385000,-738.4747314453125,3445.2,77
14.6883,3343.9,20.9871,78,390000,-499.0047912597656,3424.37,78
14.4007,3340.15,20.9808,79,395000,-524.7206420898438,3421.09,79
12.3859,2726.44,20.7452,80,400000,-722.9329833984375,3429.44,80
14.6565,3322.36,20.7596,81,405000,-538.6380615234375,3441.67,81
12.9056,2876.82,21.0758,82,410000,-869.5870971679688,3450.95,82
13.8963,3247.1,21.0999,83,415000,-665.67919921875,3431.86,83
14.1052,3344.3,20.8237,84,420000,-543.0460205078125,3435.54,84
12.8784,3232.03,20.9537,85,425000,-752.6981201171875,3414.3,85
13.613,3273.66,20.1445,86,430000,-550.5927734375,3453.43,86
12.2406,2874.13,20.3278,87,435000,-631.2827758789062,3448.63,87
14.5426,3429.79,20.7611,88,440000,-564.8853759765625,3460.93,88
13.4007,3411.05,20.8717,89,445000,-649.4141845703125,3441.28,89
14.3404,3405.73,21.0411,90,450000,-623.5552978515625,3416.22,90
13.5294,3400.71,20.9411,91,455000,-711.750732421875,3435.66,91
14.977,3413.32,21.417,92,460000,-634.3175048828125,3447.07,92
13.6177,3336.0,20.7297,93,465000,-673.657958984375,3435.81,93
13.6347,3350.98,20.7946,94,470000,-632.6903076171875,3460.0,94
14.2642,3392.5,21.2622,95,475000,-690.5791625976562,3421.64,95
14.7167,3266.55,21.3921,96,480000,-634.2021484375,3455.97,96
14.4038,3351.81,21.1594,97,485000,-659.9896240234375,3443.94,97
13.5815,3404.76,20.6579,98,490000,-641.9821166992188,3479.52,98
14.7488,3026.17,21.3479,99,495000,-741.5695190429688,3425.89,99
14.0495,3159.64,20.7979,100,500000,-637.5230102539062,3479.29,100
14.5749,3440.94,21.2922,101,505000,-688.3218994140625,3458.84,101
14.2599,3410.57,20.9843,102,510000,-701.0662231445312,3448.04,102
13.5994,3191.16,20.8856,103,515000,-747.3178100585938,3429.9,103
12.9888,3028.9,20.7583,104,520000,-766.9627685546875,3460.43,104
13.4311,3018.26,20.6524,105,525000,-707.640625,3432.82,105
12.1702,3024.15,20.8506,106,530000,-910.98291015625,3445.81,106
12.837,3431.3,20.6718,107,535000,-778.4461059570312,3442.72,107
13.6886,3386.14,20.8681,108,540000,-748.2254028320312,3440.73,108
13.5415,3329.52,20.9885,109,545000,-789.1320190429688,3443.02,109
13.8089,3282.35,20.8975,110,550000,-816.0792236328125,3396.55,110
13.9562,3297.73,21.0147,111,555000,-780.9931030273438,3434.71,111
14.034,3440.28,21.2771,112,560000,-781.5995483398438,3458.66,112
13.4151,3310.37,21.0082,113,565000,-884.2388916015625,3472.38,113
22.1,3394.09,20.9199,114,570000,-840.46142578125,3433.98,114
13.1019,3424.02,20.153,115,575000,-771.7882080078125,3450.87,115
13.8832,3400.55,21.1329,116,580000,-919.3494262695312,3433.6,116
14.1713,3403.95,20.7805,117,585000,-842.369873046875,3421.96,117
13.3246,3406.5,21.1302,118,590000,-896.1229248046875,3456.07,118
14.168,3428.1,20.8735,119,595000,-839.62548828125,3450.9,119
18.9859,3344.4,20.6983,120,600000,-830.8176879882812,3430.25,120
13.7405,3308.24,20.8597,121,605000,-863.6776123046875,3442.0,121
14.5219,3413.67,21.2239,122,610000,-927.2298583984375,3432.45,122
13.184,2965.22,21.4116,123,615000,-1060.934326171875,3447.59,123
14.2993,3407.36,20.8806,124,620000,-896.9379272460938,3453.78,124
13.161,3147.44,20.7655,125,625000,-968.6718139648438,3418.41,125
13.8475,3025.83,21.2366,126,630000,-893.0269775390625,3454.35,126
13.0263,3231.5,21.5036,127,635000,-1193.9217529296875,3445.93,127
14.3742,3404.55,21.2586,128,640000,-949.5006103515625,3439.11,128
14.6958,3420.64,21.8024,129,645000,-1032.704345703125,3462.09,129
14.9489,3439.94,21.4959,130,650000,-937.8382568359375,3468.77,130
13.649,3389.88,20.3114,131,655000,-946.6044311523438,3442.14,131
12.8393,3295.33,21.0335,132,660000,-1107.867919921875,3464.11,132
14.5802,3391.2,20.8085,133,665000,-1010.2806396484375,3432.29,133
14.5122,3217.29,21.4465,134,670000,-1003.3017578125,3455.47,134
13.9411,3424.53,20.456,135,675000,-983.72705078125,3460.53,135
14.0617,3317.68,21.0932,136,680000,-987.9432983398438,3451.31,136
14.0765,3349.34,21.0924,137,685000,-970.2095336914062,3471.85,137
