Running Update Time,Running Env Steps,Real Det Return,Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss
33,165000,3136.38,33,14.0494,23.0877,2846.66,-541.7021484375
34,170000,1213.57,34,29.8,25.0073,1315.15,-2041.019287109375
35,175000,3157.72,35,18.0426,23.1245,2298.27,-1090.774169921875
36,180000,3209.12,36,15.9066,22.7674,2691.95,-849.661865234375
37,185000,3172.62,37,14.881,23.22,3159.44,-586.4508056640625
38,190000,3144.98,38,13.8489,22.6115,3137.29,-580.6343383789062
39,195000,2579.34,39,13.7334,22.9681,3098.83,-647.6015014648438
40,200000,3196.14,40,15.3824,23.1754,2747.08,-774.489990234375
41,205000,3216.25,41,13.2813,21.7535,3123.81,-568.6934814453125
42,210000,3194.05,42,15.3606,22.6396,3166.83,-767.2144165039062
43,215000,3235.05,43,13.565,22.1488,3220.75,-583.8037719726562
44,220000,3171.24,44,14.3617,22.9761,3181.71,-660.8037109375
45,225000,3158.09,45,13.3018,21.8037,3201.13,-627.43115234375
46,230000,3083.24,46,14.2962,22.4034,3212.55,-662.839111328125
47,235000,3234.67,47,14.6208,22.8575,3239.23,-626.9545288085938
48,240000,3241.78,48,13.9196,22.1998,3153.9,-693.4989624023438
49,245000,49.29,49,15.2644,22.2439,1008.46,-965.899169921875
50,250000,3247.14,50,13.304,21.8535,2922.24,-680.9806518554688
51,255000,3249.16,51,14.795,22.2796,3219.74,-805.479736328125
52,260000,3252.01,52,13.3953,21.595,3226.43,-691.4949340820312
53,265000,3222.44,53,13.7257,22.5829,3199.94,-734.6127319335938
54,270000,3159.63,54,15.1869,23.396,2883.23,-812.270751953125
55,275000,3193.44,55,15.8849,23.18,3111.18,-912.380615234375
56,280000,3239.2,56,14.4897,22.6343,3225.08,-761.6632080078125
57,285000,3299.67,57,13.1566,21.5567,3098.75,-696.083740234375
58,290000,3282.81,58,12.8256,20.9984,3247.12,-682.5382080078125
59,295000,3331.82,59,13.3346,21.4648,2661.53,-952.7205200195312
60,300000,3271.84,60,13.4435,22.3729,3132.7,-913.8214721679688
61,305000,3262.49,61,13.5605,21.698,3044.17,-775.4021606445312
62,310000,3315.21,62,15.8808,22.4391,2271.72,-1405.785888671875
63,315000,3307.75,63,12.6921,20.9855,2763.63,-733.0625610351562
64,320000,3296.96,64,13.5963,21.6471,3077.26,-788.8746337890625
65,325000,3314.53,65,12.8506,20.9506,3281.2,-741.6689453125
66,330000,3219.29,66,13.7843,21.8419,2460.97,-1021.3793334960938
67,335000,3283.63,67,13.5981,21.2731,3180.6,-791.8607788085938
68,340000,3256.0,68,13.2612,21.104,3241.15,-801.4547119140625
69,345000,3281.16,69,13.0445,21.0927,3245.85,-820.0789794921875
70,350000,3332.64,70,13.2199,20.8069,3296.19,-702.0230712890625
71,355000,3297.47,71,12.2806,20.216,3212.2,-808.4908447265625
72,360000,3266.34,72,12.6553,20.9473,3188.03,-860.7057495117188
73,365000,3311.53,73,12.3946,20.4479,3223.8,-783.2867431640625
74,370000,3329.83,74,12.2039,20.0007,3275.81,-772.6251220703125
75,375000,3339.76,75,12.7934,20.8546,3285.68,-712.4439697265625
76,380000,3389.85,76,11.1936,18.8336,3359.73,-657.3641357421875
77,385000,3259.24,77,12.3655,20.3115,3173.66,-863.2994995117188
78,390000,3249.14,78,12.9155,20.7884,3231.75,-915.8938598632812
79,395000,3312.6,79,12.6265,19.8011,3294.25,-797.8814697265625
80,400000,3342.09,80,13.2483,20.606,3297.93,-776.0468139648438
81,405000,3337.0,81,11.9725,19.6795,3319.34,-761.6748657226562
82,410000,3410.08,82,12.4516,19.2505,3270.88,-578.2269287109375
83,415000,3325.03,83,12.5225,20.0031,3303.09,-816.2892456054688
84,420000,3263.45,84,12.7593,20.7676,3253.6,-986.8779907226562
85,425000,3350.91,85,11.0848,18.4802,3342.83,-550.0862426757812
86,430000,3371.22,86,11.9115,19.1233,3366.0,-688.0125122070312
87,435000,3346.89,87,11.4444,19.1692,3350.1,-734.2882690429688
88,440000,3366.96,88,12.1413,19.2712,3365.06,-666.4346313476562
89,445000,3312.14,89,12.1468,19.8007,3277.43,-852.7652587890625
90,450000,3306.12,90,15.7905,19.2176,3244.23,-981.9562377929688
91,455000,3360.4,91,11.0619,18.1481,3359.5,-608.8212890625
92,460000,3320.51,92,12.3138,19.2294,3311.3,-826.0904541015625
93,465000,3382.42,93,11.4257,19.0892,3352.74,-767.49658203125
94,470000,3387.57,94,11.5665,18.6366,3345.52,-745.46923828125
95,475000,3359.01,95,12.3497,19.2827,3351.49,-834.0322875976562
96,480000,3361.74,96,11.0828,18.1784,3355.34,-630.4437866210938
97,485000,3411.38,97,11.4346,18.6174,3374.27,-732.8983764648438
98,490000,3373.48,98,12.0488,19.4812,3350.35,-680.3504028320312
99,495000,3320.61,99,11.335,18.653,3302.66,-913.77978515625
100,500000,3382.65,100,11.2272,18.3152,3364.43,-616.58447265625
101,505000,3368.21,101,11.8141,19.0549,3379.58,-730.4451293945312
102,510000,3402.42,102,11.295,18.4792,3306.89,-759.6146240234375
103,515000,3350.44,103,11.0234,18.2057,3349.9,-736.6755981445312
104,520000,3359.7,104,11.8157,18.5126,3348.39,-733.4378662109375
105,525000,3407.53,105,11.8517,18.4352,3403.98,-441.3134460449219
106,530000,3420.98,106,10.8272,18.4816,3397.59,-635.1467895507812
107,535000,3391.92,107,11.836,18.4773,2591.16,-593.3722534179688
108,540000,3376.13,108,12.4722,19.0536,3364.68,-730.80810546875
109,545000,3355.46,109,12.2761,18.9676,3314.5,-824.8853759765625
110,550000,3433.1,110,10.4259,17.3308,3418.59,-250.94459533691406
111,555000,3357.72,111,11.4286,18.4521,3328.51,-892.35888671875
112,560000,3425.9,112,11.1826,18.0918,3122.14,-704.7576293945312
113,565000,3396.85,113,11.8375,18.6749,3392.75,-803.0352783203125
114,570000,3431.4,114,11.4489,18.4795,3410.88,-684.2330322265625
115,575000,3416.79,115,11.607,18.0235,3389.79,-729.4978637695312
116,580000,3447.62,116,11.7921,18.3352,3343.22,-491.26715087890625
117,585000,3394.15,117,11.7305,18.4368,3383.52,-643.0781860351562
118,590000,3451.5,118,11.2913,17.7195,3420.99,-521.5687255859375
119,595000,3347.88,119,12.8821,20.0868,3334.27,-1022.2320556640625
120,600000,3414.29,120,11.1172,17.7922,3411.98,-562.7164916992188
121,605000,3421.59,121,11.2281,17.9923,3345.18,-665.987548828125
122,610000,3406.21,122,11.8493,18.023,3384.68,-713.1697998046875
123,615000,3412.07,123,10.8684,17.8502,3388.04,-585.1421508789062
124,620000,3401.55,124,12.1071,18.698,3424.37,-753.8515014648438
125,625000,3382.98,125,11.4783,18.797,3360.3,-774.1254272460938
126,630000,3410.5,126,11.3728,18.1919,3405.57,-565.7713012695312
127,635000,3405.63,127,10.9698,18.024,3362.01,-736.4301147460938
128,640000,3387.46,128,11.4445,18.0083,3370.37,-812.603271484375
129,645000,3396.15,129,11.9257,18.9215,3372.74,-876.1395263671875
130,650000,3393.45,130,11.6524,18.9133,3293.48,-913.142822265625
131,655000,3401.02,131,11.2443,18.5435,3391.74,-811.1234741210938
132,660000,3425.83,132,10.7914,17.908,3391.32,-745.6331176757812
133,665000,3382.47,133,11.2972,18.3549,3248.4,-922.2201538085938
134,670000,3440.73,134,11.5444,18.114,3448.63,-626.9434814453125
135,675000,3432.19,135,11.5332,18.104,3418.85,-803.8037719726562
136,680000,3422.99,136,10.8342,18.2533,2998.07,-888.4732666015625
137,685000,3397.64,137,11.1409,17.8581,3393.9,-728.8843383789062
138,690000,3413.27,138,11.3767,18.2946,3246.73,-954.5855712890625
139,695000,3428.85,139,11.1078,17.7815,3336.53,-702.345703125
140,700000,3482.67,140,11.1148,17.7448,3216.13,-540.5962524414062
141,705000,3391.07,141,11.1728,18.4917,3382.28,-947.535888671875
142,710000,3420.04,142,11.3219,17.8202,3412.99,-789.2242431640625
143,715000,3440.72,143,11.7456,18.1098,3422.64,-754.996337890625
144,720000,3422.25,144,11.0776,17.8361,3395.81,-837.968994140625
145,725000,3379.71,145,11.7398,18.7281,3354.91,-1028.433349609375
146,730000,3440.71,146,11.3482,18.6361,3385.61,-693.8265991210938
147,735000,3470.76,147,10.2394,17.3936,3265.16,-670.6947021484375
148,740000,3464.04,148,11.684,18.3338,3442.35,-685.6552734375
149,745000,3447.3,149,11.4164,17.6962,3432.56,-735.3338623046875
150,750000,3454.72,150,10.867,17.4574,3445.08,-522.5830078125
151,755000,3418.94,151,11.7884,18.4084,3429.09,-769.841796875
152,760000,3452.29,152,10.8616,17.7024,3430.9,-768.1201171875
153,765000,3443.53,153,11.1651,17.4443,3425.08,-815.4208374023438
154,770000,3462.39,154,11.4748,17.7167,3448.32,-699.3356323242188
155,775000,3461.48,155,11.3177,17.7626,3352.8,-795.9288330078125
156,780000,3424.43,156,10.8224,17.9299,3172.58,-784.470458984375
157,785000,3382.09,157,11.2245,17.9323,3361.16,-1098.95556640625
158,790000,3462.66,158,11.3834,18.0388,3445.37,-709.16259765625
159,795000,3439.45,159,11.3508,18.5814,3418.3,-829.4385986328125
160,800000,3447.96,160,10.6752,17.5622,3355.51,-769.9119873046875
161,805000,3436.28,161,10.9749,17.6344,3414.48,-816.951171875
162,810000,3429.17,162,10.4878,18.2721,3200.72,-1110.4637451171875
163,815000,3454.4,163,10.9698,17.9887,3269.96,-912.8921508789062
164,820000,3419.45,164,11.3456,18.4356,3371.24,-950.7365112304688
165,825000,3444.28,165,12.0043,18.6675,2948.34,-1052.5965576171875
166,830000,3455.01,166,10.8904,17.92,3234.61,-823.2804565429688
167,835000,3398.77,167,10.4709,17.3994,3384.51,-824.6682739257812
168,840000,3460.33,168,10.9477,17.7234,3448.14,-747.218505859375
169,845000,3447.17,169,11.4815,17.9887,3433.04,-829.10986328125
170,850000,3439.79,170,11.2411,17.6707,3407.76,-821.92919921875
171,855000,3462.22,171,11.1276,17.757,3424.12,-794.2039794921875
172,860000,3417.32,172,10.8607,17.2073,3410.99,-803.3451538085938
173,865000,3466.3,173,10.1733,16.8367,3448.08,-648.626953125
174,870000,3434.44,174,11.0926,17.7038,3414.37,-880.790771484375
175,875000,3464.06,175,10.8999,17.5866,3195.12,-777.5704956054688
176,880000,3448.18,176,11.597,18.3091,3395.25,-939.1525268554688
177,885000,3480.3,177,11.393,17.8823,3478.33,-647.906494140625
178,890000,3430.58,178,10.4629,17.2746,3405.0,-909.2631225585938
179,895000,3438.36,179,11.0514,18.0803,3407.64,-936.6181030273438
180,900000,3476.4,180,14.0856,18.2297,3214.6,-1020.981689453125
181,905000,3433.0,181,10.6681,17.8277,3376.75,-947.1239624023438
182,910000,3485.17,182,11.0471,17.7286,3464.89,-708.5278930664062
183,915000,3482.56,183,10.9939,17.1186,3460.76,-620.9954833984375
184,920000,3463.61,184,11.1528,17.4936,3438.1,-859.3229370117188
185,925000,3461.4,185,10.6903,17.8698,3206.22,-885.79248046875
186,930000,3417.06,186,10.0923,17.0675,3404.42,-920.8088989257812
187,935000,3457.95,187,11.3334,17.8589,3431.25,-967.81591796875
188,940000,3425.39,188,11.1475,17.9749,3420.67,-1051.471923828125
189,945000,3465.67,189,10.5449,17.19,3449.45,-748.661865234375
190,950000,3456.69,190,10.9046,17.3737,3435.7,-847.6138916015625
191,955000,3440.13,191,10.3962,17.2323,3265.55,-863.6629638671875
192,960000,3443.36,192,9.8132,17.456,2849.75,-1062.3443603515625
193,965000,3440.52,193,10.3156,17.5302,3049.79,-808.12548828125
194,970000,3428.62,194,10.5048,17.0886,3313.38,-1026.57861328125
195,975000,3493.56,195,10.5972,17.49,3310.66,-741.2640991210938
196,980000,3430.51,196,11.1882,17.978,3383.56,-1034.32666015625
197,985000,3451.91,197,10.4278,17.7545,3194.3,-817.64111328125
198,990000,3464.19,198,10.4206,17.0091,3422.15,-817.2844848632812
199,995000,3440.92,199,10.9069,17.897,3355.13,-980.2929077148438
