Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Running Forward KL,Real Sto Return
57,-682.63525390625,16.5208,285000,57,3129.33,24.2074,2595.21
58,-1129.7103271484375,24.5347,290000,58,1967.86,24.352,1629.99
59,-747.5573120117188,16.5589,295000,59,3171.47,23.3949,2086.62
60,-928.8597412109375,16.5156,300000,60,1178.22,24.341,2094.18
61,-1232.951904296875,21.8596,305000,61,926.37,25.2588,1055.82
62,-441.2950134277344,13.9998,310000,62,3146.67,23.8681,3072.26
63,-531.5936279296875,13.4933,315000,63,3143.66,23.7759,2876.15
64,-694.9320678710938,20.3083,320000,64,3139.33,23.7805,1964.58
65,-1027.5450439453125,18.5787,325000,65,3164.35,24.3064,2085.82
66,-878.5930786132812,21.2635,330000,66,3146.45,24.3087,2748.89
67,-1354.664794921875,32.9964,335000,67,2210.58,24.6163,1605.76
68,-534.8523559570312,15.195,340000,68,3160.07,23.5246,2818.27
69,-482.7938232421875,15.1132,345000,69,3122.27,24.4577,3050.79
70,-1029.884033203125,24.7074,350000,70,3121.41,23.8329,2356.2
71,-609.1098022460938,15.2113,355000,71,3175.13,23.1863,3007.76
72,-719.3316040039062,15.3448,360000,72,3205.06,23.0174,2634.1
73,-592.410400390625,14.4405,365000,73,3174.57,23.3959,2762.81
74,-683.7979736328125,15.5655,370000,74,3138.52,23.2363,2646.34
75,-863.819580078125,22.3025,375000,75,2268.53,23.2064,2251.89
76,-920.813232421875,21.944,380000,76,3184.93,23.4983,2550.78
77,-692.341796875,14.4776,385000,77,3167.21,22.631,2551.24
78,-584.5130615234375,13.8146,390000,78,3187.69,23.8,3071.61
79,-865.968505859375,17.2116,395000,79,3197.05,23.0999,2787.17
80,-630.9525756835938,16.9376,400000,80,3205.33,23.331,3117.8
81,-616.2013549804688,16.2329,405000,81,3198.64,23.0755,2852.78
82,-657.1346435546875,16.753,410000,82,3194.09,23.152,2579.21
83,-584.4828491210938,13.7141,415000,83,3166.92,23.1964,3147.59
84,-711.5947265625,13.1719,420000,84,3148.31,23.5328,2926.18
85,-703.3870849609375,14.2052,425000,85,3172.71,23.5856,2866.91
86,-834.813232421875,16.0727,430000,86,3205.13,23.0514,2902.56
87,-1427.9482421875,28.7263,435000,87,3194.84,22.8781,1975.49
88,-660.3301391601562,14.9306,440000,88,3172.64,23.5906,3000.31
89,-665.6728515625,14.5449,445000,89,3157.67,23.4305,2951.24
90,-799.9000854492188,14.4984,450000,90,3213.97,22.5828,2912.24
91,-820.58447265625,19.452,455000,91,3205.06,23.1762,2661.6
92,-680.400634765625,16.6383,460000,92,3184.75,23.0939,2936.32
93,-742.1768798828125,13.2868,465000,93,3186.79,23.1628,2796.24
94,-747.8460693359375,13.5797,470000,94,3184.42,23.0877,2598.08
95,-664.4200439453125,13.2721,475000,95,3164.35,22.7614,3033.66
96,-668.3336181640625,13.0992,480000,96,3233.4,22.6095,2988.84
97,-1528.486572265625,33.8579,485000,97,3197.08,23.6435,1897.32
98,-735.4193725585938,13.3044,490000,98,3177.58,23.0763,3011.24
99,-743.178955078125,15.4677,495000,99,3209.34,22.9977,2788.7
100,-836.062744140625,15.6557,500000,100,3209.27,22.5209,2683.7
101,-692.8197631835938,13.534,505000,101,3187.28,23.482,3027.33
102,-787.3909301757812,14.8435,510000,102,3204.25,23.0273,2749.73
103,-1046.34765625,19.5965,515000,103,3240.13,22.5888,2540.03
104,-827.5150756835938,17.0376,520000,104,3235.36,22.8595,2823.49
105,-963.8621215820312,17.762,525000,105,3165.88,23.1219,2738.46
106,-731.6275024414062,13.0607,530000,106,3197.41,22.9102,3089.2
107,-747.9208374023438,13.2929,535000,107,3208.62,22.9405,3133.77
108,-710.0692138671875,12.9259,540000,108,3202.64,23.2884,3049.31
109,-752.535400390625,12.9702,545000,109,3190.96,22.7824,2705.45
110,-1007.6123657226562,17.8806,550000,110,3217.53,22.9965,2909.36
111,-728.862548828125,13.1748,555000,111,3188.91,22.4011,3135.52
112,-766.3748779296875,13.5512,560000,112,3173.72,23.2976,2857.17
113,-782.6759033203125,13.6243,565000,113,3210.29,22.4768,2787.88
114,-1080.613037109375,15.9167,570000,114,3196.91,22.284,2534.54
115,-807.0885620117188,12.9183,575000,115,3210.04,22.6145,3074.06
116,-858.1226196289062,13.5195,580000,116,3229.06,22.1042,2888.45
117,-795.1844482421875,13.0742,585000,117,3247.24,22.3949,2914.79
118,-772.5489501953125,12.5408,590000,118,3235.78,22.2433,3111.26
119,-805.2791748046875,12.8012,595000,119,3241.76,22.1522,3139.27
120,-841.1763916015625,12.7194,600000,120,3252.11,22.3183,3233.05
121,-816.697265625,12.5017,605000,121,3223.14,22.2297,3201.9
122,-811.104736328125,12.4629,610000,122,3254.73,22.094,2994.94
123,-858.6392822265625,12.2761,615000,123,3219.32,22.1495,3101.08
124,-863.2325439453125,12.7743,620000,124,3260.35,22.3346,3061.78
125,-852.00244140625,12.66,625000,125,3244.84,22.0054,3194.95
126,-878.8986206054688,12.4225,630000,126,3252.8,21.9243,3230.68
127,-828.6480712890625,12.1569,635000,127,3218.16,21.5863,3069.62
128,-858.5693969726562,12.3732,640000,128,3245.85,21.44,2958.38
129,-1030.69775390625,15.5895,645000,129,3244.73,21.7739,2679.48
130,-983.5314331054688,12.303,650000,130,3205.4,22.0591,2518.32
131,-928.2559204101562,12.7325,655000,131,3264.35,22.1893,3083.36
132,-919.1519165039062,12.5559,660000,132,3280.54,21.8915,3134.69
133,-919.3952026367188,12.2494,665000,133,3248.58,21.6915,3224.02
134,-787.5010375976562,11.9359,670000,134,3246.96,21.334,3233.62
135,-1109.13818359375,14.4964,675000,135,3271.06,21.3881,3054.33
136,-915.557861328125,11.9243,680000,136,3267.62,21.1524,3093.78
137,-904.3553466796875,12.3909,685000,137,3267.13,21.4249,3115.68
138,-803.7899780273438,12.1777,690000,138,3267.44,20.9987,2795.11
139,-829.5831298828125,12.8084,695000,139,3255.32,21.2316,3135.63
140,-996.9326171875,12.4877,700000,140,3271.38,21.4416,3188.38
141,-868.1355590820312,11.9427,705000,141,3256.31,21.0583,3107.0
142,-890.6095581054688,12.0622,710000,142,3279.04,21.088,3266.11
143,-971.9204711914062,11.951,715000,143,3261.39,21.5336,3131.88
144,-986.7182006835938,11.4283,720000,144,3285.59,20.6946,3263.44
145,-924.5447387695312,11.7261,725000,145,3298.77,21.2056,3128.51
146,-1007.6928100585938,12.0346,730000,146,3241.91,21.256,3130.29
147,-730.4829711914062,12.3027,735000,147,3272.2,21.1556,3227.67
148,-903.5459594726562,11.7817,740000,148,3253.75,20.6586,3055.05
149,-912.0504150390625,12.758,745000,149,3239.65,21.3724,3224.64
150,-957.6395263671875,13.0583,750000,150,3281.94,21.5618,3271.32
151,-977.2523803710938,12.5128,755000,151,3280.0,21.161,3231.85
152,-937.5098876953125,12.2412,760000,152,3265.99,20.6784,3242.41
153,-1035.66650390625,12.8487,765000,153,3263.41,21.595,3244.96
154,-1099.8719482421875,12.1628,770000,154,3275.59,20.9508,3259.37
155,-971.119140625,12.5033,775000,155,3253.87,21.1436,3229.0
156,-935.0582275390625,11.863,780000,156,3272.43,20.3451,3116.9
157,-801.9471435546875,12.0928,785000,157,3335.59,20.4903,3067.43
158,-1048.9478759765625,14.111,790000,158,3314.72,21.1587,3175.69
159,-1022.1117553710938,12.3622,795000,159,3260.23,21.0138,3088.34
160,-971.39990234375,11.8489,800000,160,3270.43,20.4636,3257.72
161,-1128.5848388671875,12.4568,805000,161,3258.76,21.1639,3148.83
162,-982.7993774414062,11.7277,810000,162,3296.11,20.4764,3108.33
163,-1141.072998046875,12.4947,815000,163,3277.36,21.5652,3233.79
164,-985.4822998046875,11.8055,820000,164,3279.91,20.5583,3262.01
165,-1014.819091796875,12.7021,825000,165,3284.16,20.666,3257.3
166,-980.633056640625,11.5242,830000,166,3290.15,20.1788,3167.78
167,-1009.0689697265625,11.7844,835000,167,3295.46,20.478,3175.82
168,-1102.8367919921875,12.8273,840000,168,3273.52,21.1604,3260.56
169,-996.2993774414062,12.5643,845000,169,3308.97,20.5827,3294.45
170,-965.2315063476562,11.941,850000,170,3293.83,20.0354,3282.84
171,-1110.9693603515625,12.1339,855000,171,3284.31,20.8679,3280.17
172,-976.938720703125,12.3117,860000,172,3326.86,20.5464,3205.18
173,-1103.6282958984375,12.3995,865000,173,3295.72,20.3354,3279.31
174,-1025.7318115234375,11.9088,870000,174,3286.98,20.1807,3127.59
175,-1256.744140625,14.9929,875000,175,3317.46,20.4609,2739.68
176,-1094.5218505859375,14.3697,880000,176,3312.64,20.7114,2607.09
177,-968.9686889648438,11.9013,885000,177,3328.14,20.0652,3227.71
178,-1192.7982177734375,12.5231,890000,178,3263.09,20.9089,3253.51
179,-1227.7071533203125,12.1311,895000,179,3267.81,21.2704,3259.14
180,-1078.406982421875,12.2588,900000,180,3281.26,20.7546,3279.09
181,-1013.2297973632812,12.0988,905000,181,3338.73,19.8587,3186.77
182,-994.263671875,11.4496,910000,182,3291.55,20.118,3295.61
183,-1315.10693359375,15.162,915000,183,3284.02,20.6561,2350.98
184,-1426.7742919921875,14.2869,920000,184,3096.89,23.4158,3096.49
185,-1940.1654052734375,15.008,925000,185,3265.24,23.3309,2576.82
186,-1032.6510009765625,12.159,930000,186,3261.6,21.1632,3238.61
187,-1086.37548828125,12.3887,935000,187,3244.03,20.7994,3248.17
188,-1029.91357421875,11.4235,940000,188,3290.69,19.7246,3279.13
189,-970.3822631835938,11.7401,945000,189,3276.25,19.7362,3282.24
190,-1143.4188232421875,11.1447,950000,190,3330.26,20.2394,3208.31
191,-1006.7818603515625,11.9662,955000,191,3342.84,20.3467,3302.7
192,-979.404296875,11.8412,960000,192,3336.98,20.1521,3024.13
193,-1038.3468017578125,11.5031,965000,193,3353.32,19.6419,3327.95
194,-1095.39306640625,12.6725,970000,194,3341.34,20.3662,3332.58
195,-1079.250732421875,12.1657,975000,195,3327.43,19.6973,3321.22
196,-1147.0150146484375,11.7296,980000,196,3342.11,19.686,3326.07
197,-1138.6826171875,11.5262,985000,197,3349.97,19.4368,3329.99
198,-1125.6285400390625,11.3157,990000,198,3356.27,19.7025,3231.2
199,-1190.25,12.1509,995000,199,3329.18,19.8415,3322.29
