Running Update Time,Itration,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL,Reward Loss,Real Sto Return
124,124,2749.23,150.1481,620000,324.9721,-10971.0205078125,4579.4
125,125,3970.45,133.9798,625000,314.3024,-9853.97265625,4193.22
126,126,3836.86,145.4628,630000,328.9945,-10463.48046875,3251.79
127,127,4813.87,136.5082,635000,321.44,-9687.6337890625,4655.05
128,128,4992.51,125.5354,640000,314.9818,-9394.7021484375,4679.95
129,129,3491.09,156.958,645000,330.2223,-10716.8271484375,4443.97
130,130,4168.29,153.2155,650000,327.4973,-10403.93359375,4285.4
131,131,4369.39,131.4589,655000,317.9321,-10755.583984375,4559.31
132,132,4653.94,158.9203,660000,323.9856,-11656.662109375,4050.09
133,133,4657.95,165.3981,665000,328.4283,-11177.759765625,4965.42
134,134,4797.54,127.7147,670000,315.6178,-10883.72265625,3994.43
135,135,4328.69,145.97,675000,330.655,-11563.529296875,3936.22
136,136,3455.54,153.6172,680000,321.6719,-11954.01953125,3910.88
137,137,4810.63,142.3466,685000,333.1641,-12173.0078125,4437.73
138,138,3903.84,146.7874,690000,330.816,-12147.521484375,4001.16
139,139,4897.45,143.5424,695000,323.7937,-11781.986328125,4367.22
140,140,4768.72,141.79,700000,324.9459,-12446.87109375,4605.77
141,141,5016.19,143.2273,705000,326.3103,-11977.8642578125,5053.27
142,142,4728.94,128.555,710000,319.1969,-12387.11328125,4087.46
143,143,4659.03,134.3515,715000,321.6663,-12581.61328125,4564.74
144,144,4187.96,138.403,720000,315.6667,-12141.5595703125,3903.23
145,145,4917.64,134.8376,725000,319.4773,-12109.650390625,5034.41
146,146,4947.93,132.4322,730000,326.1337,-12455.7216796875,5031.81
147,147,4338.9,157.2129,735000,333.4144,-13653.650390625,4925.67
148,148,4871.11,109.5197,740000,308.244,-11733.2314453125,5040.19
149,149,4819.92,131.9976,745000,323.3636,-12813.4453125,5065.84
150,150,4982.46,151.2916,750000,324.2182,-13732.6953125,4969.21
151,151,4793.66,128.9516,755000,318.3929,-13779.1025390625,4205.06
152,152,4892.21,119.3889,760000,315.9834,-12953.30078125,5099.7
153,153,4434.17,118.8898,765000,312.0777,-13216.3994140625,4714.58
154,154,3548.02,123.5038,770000,319.1931,-13236.9931640625,4756.5
155,155,5026.63,130.9747,775000,329.2399,-14065.1669921875,4621.69
156,156,5041.66,130.715,780000,315.8825,-13903.576171875,4752.03
157,157,4993.51,132.378,785000,322.1759,-13899.74609375,4744.99
158,158,5116.25,133.6609,790000,315.4404,-13590.2470703125,4420.22
159,159,3461.15,115.9411,795000,309.5839,-13525.701171875,4627.14
160,160,4521.54,122.0653,800000,312.7981,-13907.0029296875,4231.75
161,161,3385.62,122.1576,805000,315.8177,-14001.533203125,4303.38
162,162,5180.32,121.8406,810000,307.9432,-14260.6396484375,4934.76
163,163,3123.63,156.3255,815000,327.1687,-14960.841796875,3863.89
164,164,2565.83,147.9468,820000,328.7237,-14605.8173828125,3404.66
165,165,1715.92,121.1048,825000,316.144,-14386.11328125,4698.75
166,166,1538.31,132.9326,830000,321.494,-15119.447265625,3977.64
167,167,2403.32,118.4232,835000,310.7458,-14611.23046875,4797.28
168,168,5070.05,133.3728,840000,320.8609,-15211.763671875,4783.4
169,169,3507.48,124.0957,845000,311.3692,-15079.494140625,5043.46
170,170,4061.03,131.5009,850000,321.5501,-15519.140625,4750.18
171,171,3603.04,126.7008,855000,314.843,-15509.0234375,5192.2
172,172,1869.84,124.5927,860000,316.6066,-15175.28515625,4382.71
173,173,3917.88,127.6242,865000,314.8582,-15689.47265625,4704.82
174,174,1612.61,124.3319,870000,310.3539,-15556.1484375,4395.51
175,175,3018.69,133.1022,875000,317.3193,-15892.15625,4600.87
176,176,2709.25,130.727,880000,321.239,-15742.330078125,4711.74
177,177,1938.63,113.0609,885000,311.7276,-16080.505859375,4564.25
178,178,4642.72,137.1006,890000,322.9226,-16068.0048828125,4673.82
179,179,2736.6,117.2518,895000,307.517,-16046.5087890625,5112.23
180,180,4468.82,138.843,900000,320.9889,-16218.1396484375,4286.19
181,181,4856.21,166.9318,905000,334.1051,-16623.791015625,4914.78
182,182,2847.9,158.7238,910000,333.0569,-16292.81640625,5065.07
183,183,4487.11,133.1139,915000,324.9864,-16542.4921875,4361.66
184,184,1664.84,123.949,920000,313.493,-16113.0791015625,4730.44
185,185,2233.71,144.8539,925000,325.1848,-16748.109375,3960.91
186,186,3861.08,128.8216,930000,315.6314,-16715.123046875,4858.17
187,187,2728.22,131.595,935000,316.7161,-16240.1005859375,4996.51
188,188,1652.27,136.3789,940000,323.4445,-16474.40625,4662.37
189,189,3069.6,141.0299,945000,322.7084,-16422.150390625,3932.03
190,190,4238.21,116.727,950000,316.1793,-16209.396484375,5278.76
191,191,3908.38,124.3131,955000,314.2861,-16699.34375,5200.37
192,192,4614.35,133.9293,960000,321.1934,-16898.001953125,5353.15
193,193,2219.44,133.1033,965000,320.2589,-17008.015625,3624.85
194,194,5049.54,139.7437,970000,326.5654,-16962.90234375,4696.68
195,195,4039.36,144.3694,975000,326.9673,-16779.826171875,5044.64
196,196,5188.41,122.5533,980000,314.0145,-16936.3671875,4238.47
197,197,5026.78,148.2733,985000,336.5867,-16926.142578125,4652.58
198,198,4642.82,141.5074,990000,327.649,-16850.689453125,4686.36
199,199,5376.38,123.6394,995000,321.8707,-16805.267578125,5341.28
200,200,5443.38,139.1684,1000000,325.1349,-17329.19921875,4709.74
201,201,4824.1,140.1492,1005000,325.0206,-17368.384765625,4978.61
202,202,4815.98,132.8563,1010000,326.2599,-17255.51171875,4792.99
