Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return
2625.38,112,347.4346,180.6771,1057.86
3364.82,113,338.466,151.4612,1828.8
4229.06,114,338.8012,139.7501,2490.1
2904.71,115,344.1748,193.3343,2074.46
4423.37,116,334.6585,154.5751,2493.87
3138.65,117,339.9866,165.0285,2155.15
4062.05,118,339.3096,139.2236,1792.14
3926.17,119,339.9992,144.1472,1781.07
2628.67,120,352.5732,177.7631,3243.8
2820.86,121,353.1326,166.7692,1783.55
4575.22,122,336.2564,147.6993,2540.29
4541.86,123,347.4553,156.0111,2563.35
4510.57,124,331.7213,133.8162,4576.84
4877.87,125,328.1911,125.1994,1595.05
5121.12,126,332.8128,131.9164,2996.87
4961.84,127,332.351,136.9881,3453.22
4822.94,128,333.6117,140.2654,2238.02
5045.42,129,334.909,136.7973,3483.44
3454.21,130,341.6343,156.6594,1574.67
3669.42,131,335.8602,151.7835,1911.75
4557.5,132,342.5839,151.6798,2549.67
4995.16,133,326.7251,122.3346,5017.99
4899.72,134,336.348,125.5904,3092.9
2939.19,135,347.4984,213.7367,1810.63
4298.1,136,336.9265,139.6395,4037.09
4385.26,137,334.3323,141.3443,3879.6
4168.98,138,330.3016,120.1153,3532.41
3459.36,139,338.334,154.0236,4457.97
4847.86,140,333.4887,136.9334,4299.0
4720.33,141,330.5425,128.2005,4702.46
4247.07,142,337.2574,142.9942,2782.84
4527.36,143,329.8625,134.7591,4703.07
4935.79,144,327.0208,120.4956,3917.74
5012.61,145,330.6643,121.1501,4493.55
4618.99,146,348.1503,174.505,3559.51
4982.79,147,335.1832,128.4565,3929.88
3080.95,148,331.9197,158.9766,1478.38
3809.42,149,340.6964,150.5444,3837.48
4477.45,150,340.2814,132.5883,2890.79
4409.19,151,337.5246,131.9442,4902.11
4894.12,152,344.8149,141.9231,3898.38
4505.65,153,342.7357,163.4565,3812.22
5014.01,154,334.2763,135.0995,4276.4
4086.07,155,337.9209,141.0832,2496.09
4681.24,156,343.0778,152.0973,4161.35
4106.83,157,341.6391,151.8994,2558.86
2540.5,158,338.0379,175.3329,1830.12
4613.02,159,354.709,166.3938,4787.77
4738.76,160,347.0405,155.9552,2659.76
4904.97,161,339.7406,149.4272,4003.81
4789.41,162,341.3972,164.4755,3848.1
4867.33,163,354.106,160.0476,4343.42
4264.7,164,344.4593,171.6007,1516.3
4964.61,165,336.7634,145.452,2996.59
3040.51,166,346.1956,172.639,3776.31
3774.4,167,340.2302,151.2199,4108.13
4013.26,168,338.9931,151.0755,1925.2
4739.74,169,338.3695,141.2311,3664.07
4588.21,170,336.7256,136.9774,5078.53
4510.31,171,338.3699,134.6074,4387.02
4496.94,172,327.8001,127.9187,4955.64
4612.76,173,339.1255,146.7084,2999.65
2933.78,174,359.3182,210.8753,4191.81
4570.69,175,340.8613,147.4954,5015.26
4954.15,176,331.1695,142.5892,5170.09
4981.32,177,332.5121,133.4926,4461.8
4551.31,178,333.2023,138.6748,4813.17
4967.79,179,326.4595,125.8239,5087.05
4799.84,180,334.0697,146.1391,5075.33
4906.09,181,332.5198,143.1173,5003.09
4889.78,182,332.544,136.4419,4822.57
5038.04,183,330.2082,142.0098,5102.26
4881.12,184,327.4121,124.8302,5160.51
4818.17,185,331.0111,138.3002,3913.87
4201.82,186,337.1091,153.2961,4321.71
4673.26,187,328.4861,134.2126,5123.63
3881.87,188,338.8906,168.5673,4471.69
4432.93,189,357.3727,192.7816,2382.21
4049.59,190,342.5528,167.9741,2057.83
4364.74,191,332.5508,143.2348,4316.16
4883.68,192,343.6843,145.4584,5115.4
5066.94,193,322.9907,114.2032,4047.92
5089.96,194,327.1822,121.1317,4362.12
5089.24,195,325.6992,116.0771,5097.67
4885.01,196,327.8203,123.6209,4861.43
4842.96,197,328.1184,125.6471,2757.49
4619.49,198,323.6981,148.639,4793.53
4990.04,199,324.2416,117.6469,4712.12
5013.03,200,328.1589,118.0907,5077.78
5075.08,201,322.7229,115.3669,5159.11
5128.96,202,319.357,112.7148,5216.86
